Fiscal year,Division ID,CountryRegion name,Climate change adaptation (marker),Desertification (marker),PBA type,Indigenous issues (marker),Organisation ID,Fund centre ID,Status,Maximum CIDA contribution (project-level),Organisation class,Sector ID,Climate change mitigation (marker),IRTC percent,Continent name,Disability issues (marker),Section ID,Enviromental sustainability (marker),CountryRegion percent,Regional program (marker),Division name,Sector name,Branch ID,CFLI (marker),Project number,Branch name,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
2009/2010,D4207,Cameroon,0,0,Not PBA,0,1000948,4289,Closed,2457111.5,Civil Society,43010,0,0.0,Africa,0,S4287,1,1.0,0,WWD West & Central Africa,Multisector aid,B4200,0,A020449003,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4207,Cameroon,0,0,Not PBA,0,Information not available,4289,Closed,2457111.5,Individual,43010,0,0.0,Africa,0,S4287,1,1.0,0,WWD West & Central Africa,Multisector aid,B4200,0,A020449003,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4207,Cameroon,0,0,Not PBA,0,Information not available,4289,Closed,2457111.5,Unknown,43010,0,0.0,Africa,0,S4287,1,1.0,0,WWD West & Central Africa,Multisector aid,B4200,0,A020449003,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1000171,4242,Closed,11427061.07,Civil Society,15150,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Democratic participation and civil society,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1001142,4242,Closed,11427061.07,Civil Society,15150,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Democratic participation and civil society,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1000171,4242,Closed,11427061.07,Civil Society,31161,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Food crop production,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1001142,4242,Closed,11427061.07,Civil Society,31161,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Food crop production,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1000171,4242,Closed,11427061.07,Civil Society,31166,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural extension,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1001142,4242,Closed,11427061.07,Civil Society,31166,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural extension,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1000171,4242,Closed,11427061.07,Civil Society,31181,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural education/training,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1001142,4242,Closed,11427061.07,Civil Society,31181,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural education/training,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1000171,4242,Closed,11427061.07,Civil Society,31191,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural services,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Guinea,0,0,Not PBA,0,1001142,4242,Closed,11427061.07,Civil Society,31191,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Agricultural services,B4200,0,A020715001,WGM Sub-Saharan Africa,Senegal Program,*Guinea,11427061.07,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4100,Sri Lanka,0,0,Not PBA,0,1000136,4118,Closed,4308867.95,Civil Society,15150,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Democratic participation and civil society,B4100,0,A020790001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4100,Sri Lanka,0,0,Not PBA,0,1000136,4118,Closed,4308867.95,Civil Society,15160,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Human rights,B4100,0,A020790001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Other PBA,0,10050,4216,Closed,3063216.68,Governmental,11110,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Education policy and administrative management,B4200,0,A020891001,WGM Sub-Saharan Africa,Mali Program Section,Mali,0.0,0.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Other PBA,0,Information not available,4216,Closed,3063216.68,Unknown,11110,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Education policy and administrative management,B4200,0,A020891001,WGM Sub-Saharan Africa,Mali Program Section,Mali,0.0,0.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Other PBA,0,10050,4216,Closed,16726210.87,Governmental,11130,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Teacher training,B4200,0,A020892001,WGM Sub-Saharan Africa,Mali Program Section,Mali,16726210.87,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Other PBA,0,1001126,4216,Closed,16726210.87,Civil Society,11130,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Teacher training,B4200,0,A020892001,WGM Sub-Saharan Africa,Mali Program Section,Mali,16726210.87,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Other PBA,0,1014203,4216,Closed,16726210.87,Civil Society,11130,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Teacher training,B4200,0,A020892001,WGM Sub-Saharan Africa,Mali Program Section,Mali,16726210.87,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,11220,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Primary education,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,11220,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Primary education,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,12220,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Basic health care,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,12220,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Basic health care,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,13030,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Family planning,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,13030,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Family planning,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,15110,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Public sector policy and administrative management,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,15110,0,0.0,America,0,S4413,1,0.1,1,NDD Americas Programming,Public sector policy and administrative management,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,11220,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Primary education,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,11220,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Primary education,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,12220,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Basic health care,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,12220,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Basic health care,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,10050,4422,Closed,1488850.78,Governmental,13030,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Family planning,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,South America,0,0,Not PBA,0,Information not available,4422,Closed,1488850.78,Unknown,13030,0,0.0,America,0,S4413,1,0.3,1,NDD Americas Programming,Family planning,B4400,0,A020910001,NGM Americas,South America,*Southern Cone,0.0,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
