assay_id,src_assay_id,description,assay_category,bao_format,chembl_id,doc_id,assay_tax_id,curated_by,src_id,cell_id,assay_type,assay_test_type,assay_organism,assay_strain,assay_tissue,assay_cell_type
80,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,CHEMBL615201,17117,,Expert,1,,B,,,,,
81,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,BAO_0000357,CHEMBL615202,17117,,Expert,1,,B,,,,,
82,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,BAO_0000251,CHEMBL615203,11375,5476.0,Autocuration,1,,B,,Candida albicans,,,
83,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,BAO_0000251,CHEMBL615204,11375,5476.0,Autocuration,1,,B,,Candida albicans,,,
84,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,CHEMBL615205,11375,4932.0,Autocuration,1,,B,,Saccharomyces cerevisiae,,,
85,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,CHEMBL615206,11375,4932.0,Autocuration,1,,B,,Saccharomyces cerevisiae,,,
86,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,BAO_0000251,CHEMBL615207,11375,9823.0,Autocuration,1,,B,,Sus scrofa,,Liver,
87,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,BAO_0000019,CHEMBL827084,791,10116.0,Autocuration,1,,B,,Rattus norvegicus,,,
88,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,BAO_0000019,CHEMBL615208,791,10116.0,Autocuration,1,,B,,Rattus norvegicus,,,
89,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,BAO_0000019,CHEMBL615209,791,10116.0,Autocuration,1,,B,,Rattus norvegicus,,,
90,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,BAO_0000251,CHEMBL615210,11375,10116.0,Autocuration,1,,B,,Rattus norvegicus,,Liver,
91,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,BAO_0000251,CHEMBL615211,11375,10116.0,Autocuration,1,,B,,Rattus norvegicus,,Liver,
92,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,BAO_0000251,CHEMBL615212,153,10116.0,Autocuration,1,,B,,Rattus norvegicus,,Liver,
93,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,BAO_0000357,CHEMBL615213,8269,,Expert,1,,B,,,,,
94,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,BAO_0000357,CHEMBL615273,8269,,Expert,1,,B,,,,,
95,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000219,CHEMBL615274,17653,9606.0,Expert,1,726.0,F,,Homo sapiens,,,HepG2
96,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,BAO_0000219,CHEMBL615275,14277,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
97,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,BAO_0000219,CHEMBL615276,1717,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
98,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,BAO_0000219,CHEMBL615277,14091,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
99,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,BAO_0000219,CHEMBL615326,14091,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
100,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000218,CHEMBL883130,17653,10407.0,Expert,1,,F,,Hepatitis B virus,,,
101,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,BAO_0000219,CHEMBL884519,13105,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
102,,Concentration required to inhibit 50% of 2.2.15 cell line,,BAO_0000219,CHEMBL615327,1717,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
103,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,BAO_0000219,CHEMBL615328,13105,9606.0,Intermediate,1,726.0,A,,Homo sapiens,,,HepG2
104,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,BAO_0000218,CHEMBL615329,13600,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
105,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,BAO_0000218,CHEMBL615330,13467,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
106,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,BAO_0000218,CHEMBL615331,17477,10407.0,Expert,1,,F,,Hepatitis B virus,,,2.2.15
107,,In vitro anti-HBV activity in 2.2.15 cells,,BAO_0000218,CHEMBL615332,1593,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
108,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,BAO_0000218,CHEMBL615333,1593,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
109,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,BAO_0000218,CHEMBL615334,15089,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
110,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,BAO_0000218,CHEMBL615335,15089,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
111,,Cytotoxicity in 2.2.15 cells,,BAO_0000218,CHEMBL615336,1593,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
112,,Cytotoxicity in 2.2.15 cells; Not determined,,BAO_0000218,CHEMBL615337,1593,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
113,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,BAO_0000218,CHEMBL615338,13600,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
114,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,BAO_0000218,CHEMBL615339,13467,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
115,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,BAO_0000218,CHEMBL615340,13467,9606.0,Intermediate,1,,F,,Homo sapiens,,,2.2.15
116,,Antiviral activity against HBV was determined in 2.215 cell line,,BAO_0000219,CHEMBL615341,14764,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
117,,Inhibition of 20-HETE synthesis in human renal microsomes,,BAO_0000251,CHEMBL615342,6531,9606.0,Autocuration,1,,B,,Homo sapiens,,,
118,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,BAO_0000019,CHEMBL615343,17322,,Autocuration,1,,B,,,,,
119,,Inhibitory concentration against 2008 (ovarian) cells,,BAO_0000219,CHEMBL615344,17072,9606.0,Intermediate,1,388.0,F,,Homo sapiens,,,2008
120,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,BAO_0000219,CHEMBL615345,16936,9606.0,Intermediate,1,388.0,F,,Homo sapiens,,,2008
121,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,BAO_0000219,CHEMBL615346,16936,9606.0,Intermediate,1,388.0,F,,Homo sapiens,,,2008
122,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,BAO_0000219,CHEMBL615347,17146,9606.0,Intermediate,1,388.0,F,,Homo sapiens,,,2008
123,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,BAO_0000219,CHEMBL615348,17146,9606.0,Intermediate,1,388.0,F,,Homo sapiens,,,2008
124,,In vitro inhibition of 2008/R ovarian cancer cell line,,BAO_0000219,CHEMBL827085,10797,9606.0,Intermediate,1,561.0,F,,Homo sapiens,,,2008/R
125,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,BAO_0000219,CHEMBL615349,10797,9606.0,Intermediate,1,561.0,F,,Homo sapiens,,,2008/R
126,,In vitro inhibition of 2008/S ovarian cancer cell line,,BAO_0000219,CHEMBL615350,10797,9606.0,Intermediate,1,389.0,F,,Homo sapiens,,,2008/S
127,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,BAO_0000219,CHEMBL615351,10797,9606.0,Intermediate,1,389.0,F,,Homo sapiens,,,2008/S
128,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,BAO_0000220,CHEMBL615352,4823,9606.0,Expert,1,,B,,Homo sapiens,,,
129,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,BAO_0000220,CHEMBL615353,12912,9606.0,Intermediate,1,,B,,Homo sapiens,,,
130,,Inhibition of chymotrypsin-like activity of 20S proteasome,,BAO_0000220,CHEMBL615354,2957,,Expert,1,,B,,,,,
131,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,BAO_0000220,CHEMBL615355,2957,,Expert,1,,B,,,,,
132,,Inhibitory activity against 20S proteosome,,BAO_0000220,CHEMBL615356,3260,,Intermediate,1,,B,,,,,
133,,Compound was tested for inhibitory activity against tryptase,,BAO_0000019,CHEMBL615357,3451,9606.0,Autocuration,1,,B,,Homo sapiens,,,
134,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,CHEMBL615358,13885,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
135,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,CHEMBL827086,13885,9606.0,Intermediate,1,726.0,F,,Homo sapiens,,,HepG2
136,,Compound was tested for the inhibition of Alpha-glucosidase,,BAO_0000019,CHEMBL615359,3676,,Autocuration,1,,B,,,,,
137,,Inhibitory concentration against human neutrophil elastase (HNE),,BAO_0000357,CHEMBL615360,6043,,Autocuration,1,,B,,,,,
138,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,BAO_0000218,CHEMBL615361,11140,10116.0,Autocuration,1,,F,,Rattus norvegicus,,Heart,
139,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,CHEMBL615362,10543,,Autocuration,1,,F,,,,,
140,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,CHEMBL615363,10543,,Expert,1,,F,,,,,
141,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000357,CHEMBL615364,10543,,Autocuration,1,,B,,,,,
142,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,CHEMBL615365,10543,,Expert,1,,F,,,,,
143,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,BAO_0000219,CHEMBL615366,11365,10090.0,Intermediate,1,524.0,F,,Mus musculus,,,P338
144,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,BAO_0000219,CHEMBL615367,11365,10090.0,Intermediate,1,524.0,F,,Mus musculus,,,P338
145,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,BAO_0000219,CHEMBL615368,11803,9606.0,Intermediate,1,554.0,F,,Homo sapiens,,,PBL
146,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,BAO_0000019,CHEMBL615369,11803,9940.0,Autocuration,1,,F,,Ovis aries,,,
147,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,BAO_0000019,CHEMBL615370,11803,9940.0,Autocuration,1,,F,,Ovis aries,,,
148,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,BAO_0000357,CHEMBL615673,12278,,Autocuration,1,,B,,,,,
149,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,BAO_0000019,CHEMBL615674,8249,9606.0,Autocuration,1,,F,,Homo sapiens,,,
150,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,BAO_0000019,CHEMBL615675,8249,9606.0,Autocuration,1,,F,,Homo sapiens,,,
151,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,BAO_0000219,CHEMBL615676,8249,9606.0,Autocuration,1,635.0,F,,Homo sapiens,,,CCRF-CEM
152,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,BAO_0000219,CHEMBL615677,8249,9606.0,Autocuration,1,635.0,F,,Homo sapiens,,,CCRF-CEM
153,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,BAO_0000219,CHEMBL615678,8249,9606.0,Autocuration,1,635.0,F,,Homo sapiens,,,CCRF-CEM
