curated_by,assay_tissue,assay_id,assay_strain,src_assay_id,tid,doc_id,relationship_type,assay_category,description,assay_subcellular_fraction,bao_format,assay_type,assay_test_type,chembl_id,src_id,tissue_id,variant_id,assay_tax_id,assay_cell_type,confidence_score,cell_id,assay_organism
Autocuration,,23.0,,,12054.0,16474.0,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,B,,CHEMBL615137,1.0,,,,,8.0,,
Autocuration,,24.0,,,12054.0,16474.0,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,B,,CHEMBL615138,1.0,,,,,8.0,,
Autocuration,,25.0,,,22226.0,14352.0,U,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,BAO_0000219,B,,CHEMBL836324,1.0,,,,,0.0,,
Autocuration,,26.0,,,12054.0,5646.0,H,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,BAO_0000357,B,,CHEMBL615139,1.0,,,9986.0,,8.0,,Oryctolagus cuniculus
Autocuration,,27.0,,,12054.0,5646.0,H,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,BAO_0000357,B,,CHEMBL615140,1.0,,,9986.0,,8.0,,Oryctolagus cuniculus
Autocuration,,28.0,,,12426.0,10997.0,H,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,BAO_0000219,B,,CHEMBL615141,1.0,,,,,8.0,,
Autocuration,,29.0,,,12054.0,6309.0,H,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,BAO_0000357,B,,CHEMBL615142,1.0,,,3847.0,,8.0,,soya bean
Autocuration,,30.0,,,12054.0,167.0,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,BAO_0000357,B,,CHEMBL615143,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,31.0,,,12054.0,167.0,H,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,BAO_0000357,B,,CHEMBL615144,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,32.0,,,12054.0,11087.0,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,BAO_0000357,B,,CHEMBL872867,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,33.0,,,12054.0,11087.0,H,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,BAO_0000357,B,,CHEMBL615145,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,34.0,,,12054.0,13622.0,H,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,B,,CHEMBL615146,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,35.0,,,12054.0,13622.0,H,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,B,,CHEMBL615147,1.0,,,3847.0,,8.0,,Glycine max
Autocuration,,36.0,,,22226.0,11347.0,U,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,BAO_0000019,A,,CHEMBL615148,1.0,,,10116.0,,0.0,,Rattus norvegicus
Autocuration,,37.0,,,22226.0,5926.0,U,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,BAO_0000019,B,,CHEMBL615149,1.0,,,562.0,,0.0,,Escherichia coli
Autocuration,,38.0,,,22226.0,4567.0,U,,Dissociation constant with dimeric 16S rRNA RNA construct B,,BAO_0000019,B,,CHEMBL615150,1.0,,,,,0.0,,
Intermediate,,39.0,,,22222.0,3782.0,M,,Dissociation constant towards 16S rRNA construct A,,BAO_0000225,B,,CHEMBL615151,1.0,,,,,3.0,,
Intermediate,,40.0,,,22222.0,3782.0,M,,Dissociation constant towards 16S rRNA construct B,,BAO_0000225,B,,CHEMBL615152,1.0,,,,,3.0,,
Expert,,41.0,,,100263.0,4466.0,M,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,BAO_0000225,B,,CHEMBL615153,1.0,,,562.0,,3.0,,Escherichia coli
Expert,,42.0,,,100263.0,6592.0,M,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,BAO_0000225,B,,CHEMBL615154,1.0,,,562.0,,3.0,,Escherichia coli
Autocuration,,43.0,,,13053.0,898.0,H,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,B,,CHEMBL615155,1.0,,,,,8.0,,
Autocuration,,44.0,,,13053.0,898.0,H,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,B,,CHEMBL615156,1.0,,,,,8.0,,
Autocuration,,45.0,,,20001.0,13163.0,H,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,B,,CHEMBL615157,1.0,,,9606.0,,8.0,,Homo sapiens
Autocuration,,46.0,,,20001.0,13163.0,H,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,B,,CHEMBL615158,1.0,,,9606.0,,8.0,,Homo sapiens
Expert,,47.0,,,12971.0,10691.0,D,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,B,,CHEMBL615159,1.0,,,10116.0,,9.0,,Rattus norvegicus
Expert,,48.0,,,12971.0,10691.0,D,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,B,,CHEMBL615172,1.0,,,10116.0,,9.0,,Rattus norvegicus
Expert,,49.0,,,12971.0,10691.0,D,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,B,,CHEMBL615173,1.0,,,10116.0,,9.0,,Rattus norvegicus
Expert,,50.0,,,12971.0,10691.0,D,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,B,,CHEMBL615174,1.0,,,10116.0,,9.0,,Rattus norvegicus
Autocuration,,51.0,,,13053.0,898.0,H,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,B,,CHEMBL884518,1.0,,,,,8.0,,
Autocuration,,52.0,,,11512.0,912.0,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,BAO_0000357,B,,CHEMBL615175,1.0,,,,,8.0,,
Autocuration,,53.0,,,11512.0,912.0,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,BAO_0000357,B,,CHEMBL615176,1.0,,,,,8.0,,
Autocuration,,54.0,,,11512.0,912.0,H,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,BAO_0000357,B,,CHEMBL615177,1.0,,,,,8.0,,
Autocuration,,55.0,,,104740.0,15103.0,D,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Membranes,BAO_0000249,B,,CHEMBL615178,1.0,,,10116.0,,5.0,,Rattus norvegicus
Intermediate,,56.0,,,80002.0,5116.0,N,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,BAO_0000219,F,,CHEMBL615179,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Autocuration,,57.0,,,104835.0,14578.0,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,BAO_0000219,F,,CHEMBL615180,1.0,,,10116.0,Oocytes,7.0,,Rattus norvegicus
Autocuration,,58.0,,,104821.0,14578.0,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,BAO_0000219,F,,CHEMBL615181,1.0,,,10116.0,Oocytes,7.0,,Rattus norvegicus
Autocuration,,59.0,,,104848.0,14578.0,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,BAO_0000219,F,,CHEMBL615182,1.0,,,10116.0,Oocytes,7.0,,Rattus norvegicus
Expert,,60.0,,,80002.0,4787.0,N,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,BAO_0000219,F,,CHEMBL615183,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,61.0,,,80002.0,4787.0,N,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,BAO_0000219,F,,CHEMBL615184,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,62.0,,,80002.0,3547.0,N,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,BAO_0000219,F,,CHEMBL615185,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,63.0,,,80002.0,3547.0,N,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,BAO_0000219,F,,CHEMBL615186,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,64.0,,,80002.0,6726.0,N,,Effective dose of compound against replication of 1A9 cell line was evaluated,,BAO_0000219,F,,CHEMBL615187,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Expert,,65.0,,,80002.0,3455.0,N,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,BAO_0000219,F,,CHEMBL885343,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,66.0,,,80002.0,5726.0,N,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,BAO_0000219,F,,CHEMBL615188,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,67.0,,,80002.0,5726.0,N,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,BAO_0000219,F,,CHEMBL615189,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,68.0,,,80002.0,5726.0,N,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,BAO_0000219,F,,CHEMBL615190,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,69.0,,,80002.0,3395.0,N,,Inhibitory activity against Taxol resistant 1A9 cell lines,,BAO_0000219,F,,CHEMBL615191,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Expert,,70.0,,,80002.0,3415.0,N,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,BAO_0000219,F,,CHEMBL615192,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Expert,,71.0,,,80002.0,3415.0,N,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,BAO_0000219,F,,CHEMBL827083,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Expert,,72.0,,,80002.0,17099.0,N,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,BAO_0000219,F,,CHEMBL615193,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,73.0,,,80002.0,17099.0,N,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,BAO_0000219,F,,CHEMBL615194,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,74.0,,,80002.0,17099.0,N,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,BAO_0000219,F,,CHEMBL615195,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,75.0,,,80002.0,17099.0,N,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,BAO_0000219,F,,CHEMBL615196,1.0,,,9606.0,1A9,1.0,506.0,Homo sapiens
Intermediate,,76.0,,,81072.0,17721.0,N,,Inhibitory concentration against Jurkat cells,,BAO_0000219,F,,CHEMBL615197,1.0,,,9606.0,Jurkat,1.0,503.0,Homo sapiens
Intermediate,,77.0,,,22226.0,1229.0,U,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,BAO_0000019,F,,CHEMBL615198,1.0,,,,,0.0,,
Expert,,78.0,,,100121.0,11347.0,D,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,BAO_0000357,A,,CHEMBL615199,1.0,,,10116.0,,9.0,,Rattus norvegicus
Expert,,79.0,,,11231.0,17117.0,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,B,,CHEMBL615200,1.0,,,,,8.0,,
Expert,,80.0,,,11231.0,17117.0,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,B,,CHEMBL615201,1.0,,,,,8.0,,
Expert,,81.0,,,11231.0,17117.0,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,BAO_0000357,B,,CHEMBL615202,1.0,,,,,8.0,,
Autocuration,,82.0,,,11231.0,11375.0,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Microsomes,BAO_0000251,B,,CHEMBL615203,1.0,,,5476.0,,8.0,,Candida albicans
Autocuration,,83.0,,,11231.0,11375.0,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Microsomes,BAO_0000251,B,,CHEMBL615204,1.0,,,5476.0,,8.0,,Candida albicans
Autocuration,,84.0,,,11231.0,11375.0,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Microsomes,BAO_0000251,B,,CHEMBL615205,1.0,,,4932.0,,8.0,,Saccharomyces cerevisiae
Autocuration,,85.0,,,11231.0,11375.0,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Microsomes,BAO_0000251,B,,CHEMBL615206,1.0,,,4932.0,,8.0,,Saccharomyces cerevisiae
Autocuration,Liver,86.0,,,12083.0,11375.0,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Microsomes,BAO_0000251,B,,CHEMBL615207,1.0,2107.0,,9823.0,,8.0,,Sus scrofa
Autocuration,,87.0,,,11231.0,791.0,H,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,BAO_0000019,B,,CHEMBL827084,1.0,,,10116.0,,8.0,,Rattus norvegicus
Autocuration,,88.0,,,11231.0,791.0,H,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,BAO_0000019,B,,CHEMBL615208,1.0,,,10116.0,,8.0,,Rattus norvegicus
Autocuration,,89.0,,,11231.0,791.0,H,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,BAO_0000019,B,,CHEMBL615209,1.0,,,10116.0,,8.0,,Rattus norvegicus
Autocuration,Liver,90.0,,,12083.0,11375.0,D,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Microsomes,BAO_0000251,B,,CHEMBL615210,1.0,2107.0,,10116.0,,9.0,,Rattus norvegicus
Autocuration,Liver,91.0,,,12083.0,11375.0,D,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,BAO_0000251,B,,CHEMBL615211,1.0,2107.0,,10116.0,,9.0,,Rattus norvegicus
Autocuration,Liver,92.0,,,12083.0,153.0,D,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,BAO_0000251,B,,CHEMBL615212,1.0,2107.0,,10116.0,,9.0,,Rattus norvegicus
Expert,,93.0,,,11377.0,8269.0,H,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,BAO_0000357,B,,CHEMBL615213,1.0,,,,,8.0,,
Expert,,94.0,,,11377.0,8269.0,H,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,BAO_0000357,B,,CHEMBL615273,1.0,,,,,8.0,,
Expert,,95.0,,,81020.0,17653.0,N,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000219,F,,CHEMBL615274,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,96.0,,,81020.0,14277.0,N,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,BAO_0000219,F,,CHEMBL615275,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,97.0,,,81020.0,1717.0,N,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,BAO_0000219,F,,CHEMBL615276,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,98.0,,,81020.0,14091.0,N,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,BAO_0000219,F,,CHEMBL615277,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,99.0,,,81020.0,14091.0,N,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,BAO_0000219,F,,CHEMBL615326,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Expert,,100.0,,,50606.0,17653.0,N,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000218,F,,CHEMBL883130,1.0,,,10407.0,,1.0,,Hepatitis B virus
Intermediate,,101.0,,,81020.0,13105.0,N,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,BAO_0000219,F,,CHEMBL884519,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,102.0,,,81020.0,1717.0,N,,Concentration required to inhibit 50% of 2.2.15 cell line,,BAO_0000219,F,,CHEMBL615327,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,103.0,,,81020.0,13105.0,N,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,BAO_0000219,A,,CHEMBL615328,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Intermediate,,104.0,,,50587.0,13600.0,N,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,BAO_0000218,F,,CHEMBL615329,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,105.0,,,50587.0,13467.0,N,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,BAO_0000218,F,,CHEMBL615330,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Expert,,106.0,,,50606.0,17477.0,N,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,BAO_0000218,F,,CHEMBL615331,1.0,,,10407.0,2.2.15,1.0,,Hepatitis B virus
Intermediate,,107.0,,,50587.0,1593.0,N,,In vitro anti-HBV activity in 2.2.15 cells,,BAO_0000218,F,,CHEMBL615332,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,108.0,,,50587.0,1593.0,N,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,BAO_0000218,F,,CHEMBL615333,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,109.0,,,50587.0,15089.0,N,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,BAO_0000218,F,,CHEMBL615334,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,110.0,,,50587.0,15089.0,N,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,BAO_0000218,F,,CHEMBL615335,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,111.0,,,50587.0,1593.0,N,,Cytotoxicity in 2.2.15 cells,,BAO_0000218,F,,CHEMBL615336,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,112.0,,,50587.0,1593.0,N,,Cytotoxicity in 2.2.15 cells; Not determined,,BAO_0000218,F,,CHEMBL615337,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,113.0,,,50587.0,13600.0,N,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,BAO_0000218,F,,CHEMBL615338,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,114.0,,,50587.0,13467.0,N,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,BAO_0000218,F,,CHEMBL615339,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,115.0,,,50587.0,13467.0,N,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,BAO_0000218,F,,CHEMBL615340,1.0,,,9606.0,2.2.15,1.0,,Homo sapiens
Intermediate,,116.0,,,81020.0,14764.0,N,,Antiviral activity against HBV was determined in 2.215 cell line,,BAO_0000219,F,,CHEMBL615341,1.0,,,9606.0,HepG2,1.0,726.0,Homo sapiens
Autocuration,,117.0,,,22226.0,6531.0,U,,Inhibition of 20-HETE synthesis in human renal microsomes,Microsomes,BAO_0000251,B,,CHEMBL615342,1.0,,,9606.0,,0.0,,Homo sapiens
Autocuration,,118.0,,,22226.0,17322.0,U,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,BAO_0000019,B,,CHEMBL615343,1.0,,,,,0.0,,
Intermediate,,119.0,,,80612.0,17072.0,N,,Inhibitory concentration against 2008 (ovarian) cells,,BAO_0000219,F,,CHEMBL615344,1.0,,,9606.0,2008,1.0,388.0,Homo sapiens
Intermediate,,120.0,,,80612.0,16936.0,N,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,BAO_0000219,F,,CHEMBL615345,1.0,,,9606.0,2008,1.0,388.0,Homo sapiens
Intermediate,,121.0,,,80612.0,16936.0,N,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,BAO_0000219,F,,CHEMBL615346,1.0,,,9606.0,2008,1.0,388.0,Homo sapiens
Intermediate,,122.0,,,80612.0,17146.0,N,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,BAO_0000219,F,,CHEMBL615347,1.0,,,9606.0,2008,1.0,388.0,Homo sapiens
Intermediate,,123.0,,,80612.0,17146.0,N,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,BAO_0000219,F,,CHEMBL615348,1.0,,,9606.0,2008,1.0,388.0,Homo sapiens
Intermediate,,124.0,,,80613.0,10797.0,N,,In vitro inhibition of 2008/R ovarian cancer cell line,,BAO_0000219,F,,CHEMBL827085,1.0,,,9606.0,2008/R,1.0,561.0,Homo sapiens
