assay_id,assay_organism,variant_id,assay_type,description,assay_strain,chembl_id,assay_tax_id,confidence_score,src_id,relationship_type,tid,curated_by,src_assay_id,cell_id,bao_format,tissue_id
98,Homo sapiens,,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,CHEMBL615277,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
99,Homo sapiens,,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,CHEMBL615326,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
100,Hepatitis B virus,,F,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,CHEMBL883130,10407.0,1,1,N,50606,Expert,,,BAO_0000218,
101,Homo sapiens,,F,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,CHEMBL884519,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
102,Homo sapiens,,F,Concentration required to inhibit 50% of 2.2.15 cell line,,CHEMBL615327,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
103,Homo sapiens,,A,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,CHEMBL615328,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
104,Homo sapiens,,F,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,CHEMBL615329,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
105,Homo sapiens,,F,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,CHEMBL615330,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
106,Hepatitis B virus,,F,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,CHEMBL615331,10407.0,1,1,N,50606,Expert,,,BAO_0000218,
107,Homo sapiens,,F,In vitro anti-HBV activity in 2.2.15 cells,,CHEMBL615332,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
108,Homo sapiens,,F,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,CHEMBL615333,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
109,Homo sapiens,,F,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,CHEMBL615334,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
110,Homo sapiens,,F,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,CHEMBL615335,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
111,Homo sapiens,,F,Cytotoxicity in 2.2.15 cells,,CHEMBL615336,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
112,Homo sapiens,,F,Cytotoxicity in 2.2.15 cells; Not determined,,CHEMBL615337,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
113,Homo sapiens,,F,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,CHEMBL615338,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
114,Homo sapiens,,F,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,CHEMBL615339,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
115,Homo sapiens,,F,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,CHEMBL615340,9606.0,1,1,N,50587,Intermediate,,,BAO_0000218,
116,Homo sapiens,,F,Antiviral activity against HBV was determined in 2.215 cell line,,CHEMBL615341,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
117,Homo sapiens,,B,Inhibition of 20-HETE synthesis in human renal microsomes,,CHEMBL615342,9606.0,0,1,U,22226,Autocuration,,,BAO_0000251,
118,,,B,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,CHEMBL615343,,0,1,U,22226,Autocuration,,,BAO_0000019,
119,Homo sapiens,,F,Inhibitory concentration against 2008 (ovarian) cells,,CHEMBL615344,9606.0,1,1,N,80612,Intermediate,,388.0,BAO_0000219,
120,Homo sapiens,,F,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,CHEMBL615345,9606.0,1,1,N,80612,Intermediate,,388.0,BAO_0000219,
121,Homo sapiens,,F,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,CHEMBL615346,9606.0,1,1,N,80612,Intermediate,,388.0,BAO_0000219,
122,Homo sapiens,,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,CHEMBL615347,9606.0,1,1,N,80612,Intermediate,,388.0,BAO_0000219,
123,Homo sapiens,,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,CHEMBL615348,9606.0,1,1,N,80612,Intermediate,,388.0,BAO_0000219,
124,Homo sapiens,,F,In vitro inhibition of 2008/R ovarian cancer cell line,,CHEMBL827085,9606.0,1,1,N,80613,Intermediate,,561.0,BAO_0000219,
125,Homo sapiens,,F,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,CHEMBL615349,9606.0,1,1,N,80613,Intermediate,,561.0,BAO_0000219,
126,Homo sapiens,,F,In vitro inhibition of 2008/S ovarian cancer cell line,,CHEMBL615350,9606.0,1,1,N,80614,Intermediate,,389.0,BAO_0000219,
127,Homo sapiens,,F,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,CHEMBL615351,9606.0,1,1,N,80614,Intermediate,,389.0,BAO_0000219,
128,Homo sapiens,,B,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,CHEMBL615352,9606.0,2,1,S,100256,Expert,,,BAO_0000220,
129,Homo sapiens,,B,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,CHEMBL615353,9606.0,2,1,S,100256,Intermediate,,,BAO_0000220,
130,,,B,Inhibition of chymotrypsin-like activity of 20S proteasome,,CHEMBL615354,,2,1,S,100256,Expert,,,BAO_0000220,
131,,,B,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,CHEMBL615355,,2,1,S,100256,Expert,,,BAO_0000220,
132,,,B,Inhibitory activity against 20S proteosome,,CHEMBL615356,,2,1,S,100256,Intermediate,,,BAO_0000220,
133,Homo sapiens,,B,Compound was tested for inhibitory activity against tryptase,,CHEMBL615357,9606.0,0,1,U,22226,Autocuration,,,BAO_0000019,
134,Homo sapiens,,F,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,CHEMBL615358,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
135,Homo sapiens,,F,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,CHEMBL827086,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
136,,,B,Compound was tested for the inhibition of Alpha-glucosidase,,CHEMBL615359,,0,1,U,22226,Autocuration,,,BAO_0000019,
137,,,B,Inhibitory concentration against human neutrophil elastase (HNE),,CHEMBL615360,,8,1,H,235,Autocuration,,,BAO_0000357,
138,Rattus norvegicus,,F,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,CHEMBL615361,10116.0,0,1,U,22226,Autocuration,,,BAO_0000218,948.0
139,,,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,CHEMBL615362,,8,1,H,19640,Autocuration,,,BAO_0000019,
140,,,F,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,CHEMBL615363,,8,1,H,19640,Expert,,,BAO_0000019,
141,,,B,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,CHEMBL615364,,8,1,H,19640,Autocuration,,,BAO_0000357,
142,,,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,CHEMBL615365,,8,1,H,19640,Expert,,,BAO_0000019,
143,Mus musculus,,F,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,CHEMBL615366,10090.0,1,1,N,80360,Intermediate,,524.0,BAO_0000219,
144,Mus musculus,,F,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,CHEMBL615367,10090.0,1,1,N,80360,Intermediate,,524.0,BAO_0000219,
145,Homo sapiens,,F,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,CHEMBL615368,9606.0,1,1,N,80384,Intermediate,,554.0,BAO_0000219,
146,Ovis aries,,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,CHEMBL615369,9940.0,0,1,U,22226,Autocuration,,,BAO_0000019,
147,Ovis aries,,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,CHEMBL615370,9940.0,0,1,U,22226,Autocuration,,,BAO_0000019,
148,,,B,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,CHEMBL615673,,8,1,H,191,Autocuration,,,BAO_0000357,
149,Homo sapiens,,F,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,CHEMBL615674,9606.0,0,1,U,22226,Autocuration,,,BAO_0000019,
150,Homo sapiens,,F,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,CHEMBL615675,9606.0,0,1,U,22226,Autocuration,,,BAO_0000019,
151,Homo sapiens,,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,CHEMBL615676,9606.0,0,1,U,22226,Autocuration,,635.0,BAO_0000219,
152,Homo sapiens,,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,CHEMBL615677,9606.0,0,1,U,22226,Autocuration,,635.0,BAO_0000219,
153,Homo sapiens,,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,CHEMBL615678,9606.0,0,1,U,22226,Autocuration,,635.0,BAO_0000219,
