miller2_FiscalYear,miller2_IRTCPercent,miller2_UntiedAmount(Project-levelBudget),miller2_DisabilityIssues(marker),miller2_GenderEquality(marker),miller2_FundCentreName,miller2_OrganisationType,miller2_ProjectBrowserCountryID,miller2_CountryRegionName,miller2_UrbanIssues(marker),miller2_FundCentreID,miller2_FSTCPercent,miller2_EnviromentalSustainability(marker),miller2_SectionID,miller2_DivisionName,miller2_AmountSpent,miller2_SectorID,miller2_ClimateChangeMitigation(marker),miller2_OrganisationClass,miller2_BilateralAid(internationalMarker),miller2_ContinentID,miller2_OrganisationID,miller2_CountryRegionPercent,miller2_YouthIssues(marker),miller2_SectorName,miller2_Desertification(marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,miller2_TradeDevelopment(marker),miller2_Biodiversity(marker),miller2_ChildrenIssues(marker),miller2_IndigenousIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_KnowledgeForDevelopment(marker),miller2_OrganisationName,miller2_OrganisationSub-class,miller2_ContinentName,miller2_CountryRegionID,miller2_SectorPercent
2009/2010,0.0,600000.0,0,0,MHO Inst Strengtherning,Foreign Non-Profit Making,X1,Africa MC,0,5230,0.0,1,S5330,MHDInternational Humanitarian Assistance,150000.0,72050,0,Civil Society,1,2,1002035,0.5,0,Relief co-ordination; protection and support services,0,1,0,0,0,0,0,1,International Crisis Group,NGO,Africa,X1,1.0
2009/2010,0.0,600000.0,0,0,MHO Inst Strengtherning,Foreign Non-Profit Making,X2,Americas MC,0,5230,0.0,1,S5330,MHDInternational Humanitarian Assistance,30000.0,72050,0,Civil Society,1,1,1002035,0.1,0,Relief co-ordination; protection and support services,0,1,0,0,0,0,0,1,International Crisis Group,NGO,America,X2,1.0
2009/2010,0.0,600000.0,0,0,MHO Inst Strengtherning,Foreign Non-Profit Making,X3,Asia MC,0,5230,0.0,1,S5330,MHDInternational Humanitarian Assistance,90000.0,72050,0,Civil Society,1,3,1002035,0.3,0,Relief co-ordination; protection and support services,0,1,0,0,0,0,0,1,International Crisis Group,NGO,Asia,X3,1.0
2009/2010,0.0,600000.0,0,0,MHO Inst Strengtherning,Foreign Non-Profit Making,X4,Europe MC,0,5230,0.0,1,S5330,MHDInternational Humanitarian Assistance,30000.0,72050,0,Civil Society,1,5,1002035,0.1,0,Relief co-ordination; protection and support services,0,1,0,0,0,0,0,1,International Crisis Group,NGO,Europe,X4,1.0
2009/2010,0.0,1800000.0,0,0,MHI Food INIT,Foreign Non-Profit Making,YE,Yemen,0,5309,0.0,0,S5320,MHDInternational Humanitarian Assistance,500000.0,72040,0,Multilateral,1,3,1001721,1.0,0,Emergency food aid,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,Asia,YE,1.0
2009/2010,0.0,3000000.0,0,0,MHI Food INIT,Foreign Non-Profit Making,CO,Colombia,0,5309,0.0,0,S5320,MHDInternational Humanitarian Assistance,1500000.0,72040,0,Multilateral,1,1,1001721,1.0,0,Emergency food aid,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,America,CO,1.0
2009/2010,0.0,6500000.0,0,1,MHI Food INIT,Foreign Non-Profit Making,TD,Chad,0,5309,0.0,0,S5320,MHDInternational Humanitarian Assistance,6500000.0,72040,0,Multilateral,1,2,1001721,1.0,0,Emergency food aid,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,Africa,TD,1.0
2009/2010,0.0,22450000.0,0,0,MHI Food INIT,Foreign Non-Profit Making,SD,Sudan,0,5309,0.0,0,S5320,MHDInternational Humanitarian Assistance,3950000.0,72040,0,Multilateral,1,2,1001721,1.0,0,Emergency food aid,0,0,0,0,0,0,0,0,WFP - World Food Programme,UNITED NATIONS,Africa,SD,1.0
2009/2010,0.0,14000000.0,0,1,MHO Non Food - CORE,Foreign Non-Profit Making,X1,Africa MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,6300000.0,72010,0,Multilateral,0,2,1001730,0.45,0,Material relief assistance and services,0,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,Africa,X1,1.0
2009/2010,0.0,14000000.0,0,1,MHO Non Food - CORE,Foreign Non-Profit Making,X2,Americas MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,700000.0,72010,0,Multilateral,0,1,1001730,0.05,0,Material relief assistance and services,0,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,America,X2,1.0
2009/2010,0.0,14000000.0,0,1,MHO Non Food - CORE,Foreign Non-Profit Making,X3,Asia MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,6300000.0,72010,0,Multilateral,0,3,1001730,0.45,0,Material relief assistance and services,0,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,Asia,X3,1.0
2009/2010,0.0,14000000.0,0,1,MHO Non Food - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,700000.0,72010,0,Multilateral,0,5,1001730,0.05,0,Material relief assistance and services,0,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,Europe,X4,1.0
2009/2010,0.0,500000.0,0,0,MHI Non-Food INIT,Canadian Non-Profit Making,X3,Asia MC,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,500000.0,72010,0,Civil Society,1,3,1014663,1.0,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Asia,X3,1.0
2009/2010,0.0,2700000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,X1,Africa MC,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,1350000.0,72050,0,Multilateral,1,2,1003586,0.5,0,Relief co-ordination; protection and support services,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,Africa,X1,1.0
2009/2010,0.0,2700000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,X2,Americas MC,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,405000.0,72050,0,Multilateral,1,1,1003586,0.15,0,Relief co-ordination; protection and support services,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,America,X2,1.0
2009/2010,0.0,2700000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,X3,Asia MC,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,810000.0,72050,0,Multilateral,1,3,1003586,0.3,0,Relief co-ordination; protection and support services,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,Asia,X3,1.0
2009/2010,0.0,2700000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,X4,Europe MC,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,135000.0,72050,0,Multilateral,1,5,1003586,0.05,0,Relief co-ordination; protection and support services,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,Europe,X4,1.0
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,39000.0,31110,0,Multilateral,1,3,1001306,0.0065,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,39000.0,31120,0,Multilateral,1,3,1001306,0.0065,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31150,0,Multilateral,1,3,1001306,0.0065,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31161,0,Multilateral,1,3,1001306,0.0065,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31166,0,Multilateral,1,3,1001306,0.0065,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31182,0,Multilateral,1,3,1001306,0.0065,0,Agricultural research,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31191,0,Multilateral,1,3,1001306,0.0065,0,Agricultural services,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,AF,Afghanistan,0,5461,0.1,1,S5460,MED Economic Development,19500.0,31193,0,Multilateral,1,3,1001306,0.0065,0,Agricultural financial services,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,AF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,630000.0,31110,0,Multilateral,1,3,1001306,0.105,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,630000.0,31120,0,Multilateral,1,3,1001306,0.105,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31150,0,Multilateral,1,3,1001306,0.105,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31161,0,Multilateral,1,3,1001306,0.105,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31166,0,Multilateral,1,3,1001306,0.105,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31182,0,Multilateral,1,3,1001306,0.105,0,Agricultural research,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31191,0,Multilateral,1,3,1001306,0.105,0,Agricultural services,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BD,Bangladesh,0,5461,0.1,1,S5460,MED Economic Development,315000.0,31193,0,Multilateral,1,3,1001306,0.105,0,Agricultural financial services,0,0,1,0,0,0,0,0,World Bank,IFI,Asia,BD,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,48600.0,31110,0,Multilateral,1,2,1001306,0.0081,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,48600.0,31120,0,Multilateral,1,2,1001306,0.0081,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31150,0,Multilateral,1,2,1001306,0.0081,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31161,0,Multilateral,1,2,1001306,0.0081,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31166,0,Multilateral,1,2,1001306,0.0081,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31182,0,Multilateral,1,2,1001306,0.0081,0,Agricultural research,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31191,0,Multilateral,1,2,1001306,0.0081,0,Agricultural services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BI,Burundi,0,5461,0.1,1,S5460,MED Economic Development,24300.0,31193,0,Multilateral,1,2,1001306,0.0081,0,Agricultural financial services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BI,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,43800.0,31110,0,Multilateral,1,2,1001306,0.0073,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,43800.0,31120,0,Multilateral,1,2,1001306,0.0073,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31150,0,Multilateral,1,2,1001306,0.0073,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31161,0,Multilateral,1,2,1001306,0.0073,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31166,0,Multilateral,1,2,1001306,0.0073,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31182,0,Multilateral,1,2,1001306,0.0073,0,Agricultural research,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31191,0,Multilateral,1,2,1001306,0.0073,0,Agricultural services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,BJ,Benin,0,5461,0.1,1,S5460,MED Economic Development,21900.0,31193,0,Multilateral,1,2,1001306,0.0073,0,Agricultural financial services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,BJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,34200.0,31110,0,Multilateral,1,2,1001306,0.0057,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,34200.0,31120,0,Multilateral,1,2,1001306,0.0057,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31150,0,Multilateral,1,2,1001306,0.0057,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31161,0,Multilateral,1,2,1001306,0.0057,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31166,0,Multilateral,1,2,1001306,0.0057,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31182,0,Multilateral,1,2,1001306,0.0057,0,Agricultural research,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31191,0,Multilateral,1,2,1001306,0.0057,0,Agricultural services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,CF,Central Afr.Rep,0,5461,0.1,1,S5460,MED Economic Development,17100.0,31193,0,Multilateral,1,2,1001306,0.0057,0,Agricultural financial services,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,CF,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,DJ,Djibouti,0,5461,0.1,1,S5460,MED Economic Development,24000.0,31110,0,Multilateral,1,2,1001306,0.004,0,Agricultural policy and administrative management,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,DJ,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,DJ,Djibouti,0,5461,0.1,1,S5460,MED Economic Development,24000.0,31120,0,Multilateral,1,2,1001306,0.004,0,Agricultural development,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,DJ,0.2
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,DJ,Djibouti,0,5461,0.1,1,S5460,MED Economic Development,12000.0,31150,0,Multilateral,1,2,1001306,0.004,0,Agricultural inputs,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,DJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,DJ,Djibouti,0,5461,0.1,1,S5460,MED Economic Development,12000.0,31161,0,Multilateral,1,2,1001306,0.004,0,Food crop production,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,DJ,0.1
2009/2010,0.0,30000000.0,0,1,*World Bank Group,Foreign Non-Profit Making,DJ,Djibouti,0,5461,0.1,1,S5460,MED Economic Development,12000.0,31166,0,Multilateral,1,2,1001306,0.004,0,Agricultural extension,0,0,1,0,0,0,0,0,World Bank,IFI,Africa,DJ,0.1
