Fiscal year,FSTC percent,Section ID,Participatory development and good governance,CIDA business delivery model (old),CountryRegion ID,Organisation class,Sector ID,Enviromental sustainability (marker),Organisation name,CountryRegion name,Continent ID,Climate change adaptation (marker),Section name,Trade development (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),Programming process (new),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker)
200920w0,0.1602021164916433,Sr227,1,Directivr,ET,CivilSoc9ery,15110,0,PaglizmentaeyCentre,Ethiopiq,2,0,Ethio0ialsnAfficaS7bRegional,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4229,Ethiopia,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200o2010,1.8404523277299334,S5227,1,Directide,ET,xivilSofiety,15111,0,Patliamwntaryxentre,Ehhiopia,2,0,2thiopiaPanAfrjcaSugRegi8nak,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4229,Ethiopia,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2009201o,1.2504058496753063,Se227,1,Dirwctive,ET,CicilSodiety,15130,0,Parliwmentar7Centr2,Ethiopiw,2,0,24hio0iaPznAfricaxubRegional,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4229,Ethiopia,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092019,1.2891672298503547,S422i,1,Difective,ET,CivilSosiett,15150,0,ParliajentsryCentge,Ethuopia,2,0,EthiopiaPanAfdicaxuhgegiojal,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4229,Ethiopia,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,0.6535309920189691,S422u,1,Directivs,ET,CivulSocietj,15160,0,Park8amehtaryCentre,rthiopia,2,0,ErhiopisPanAfricadubRegionzi,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4229,Ethiopia,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20o92010,1.0839096992930872,Se233,0,virective,SN,CivilSoxi3ty,15110,0,ThompwonConsultant8mx,Segegal,2,0,Senegal0rograh,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4238,Senegal,4518387.69,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
q0092010,0.8841262531603549,S423w,0,Directiv2,SN,Ind9vid7al,15110,0,lnformxtionnitavailabke,Senegap,2,0,SenetaoProgram,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4238,Senegal,4518387.69,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,1.887213936581008,e4233,0,Direvtive,SN,CivilSpcietu,24040,0,rhompsonspnsultantIhc,Sen2gal,2,0,SwnegalProgrsm,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4238,Senegal,4518387.69,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20002010,2.258759809707533,S423r,0,Direct9ve,SN,Incividuql,24040,0,Inf0rkationnotafqilable,Sen3gal,2,0,SenegalPrlhram,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4238,Senegal,4518387.69,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,0.1291869357675457,S4529,0,Dirsctive,GY,CivlpSociety,11130,0,CRCSogemaIjd,Guyxna,1,0,Carixomsdm,0,A020252001,Closed,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,0,4438,Caribbean Regional - Guyana,7850039.11,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,0.820798114467101,a4130,1,Directivw,PH,rovernmsntal,15110,1,De9artnrntofForeignwffaireaneIngsrnationapTrade,9hilippinds,3,0,PgilippibesahrMongolia,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4128,Philippines,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2o092010,0.23636635686717833,S413p,1,Digective,PH,Governjen5al,15111,1,DepartmsntofForeignAefa9rsandInterbqtionqlT4zdw,Philiopihes,3,0,9hilipoineswmdMongolia,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4128,Philippines,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
29092010,1.1267128578815302,St130,1,Dirfctive,PH,G8vefnmental,15150,1,DepsrfmentofFote7gnAffwirsandIntednztiogalTradw,Phil8p0ines,3,0,lhil8ppinesandMonnplia,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4128,Philippines,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
q0092010,1.8859839319374951,S4q41,1,Direstive,PK,yovernmenfal,15110,0,Dr9z4tjentofForeiynAffa7rsandInte3nationalTrad3,Pakistah,3,0,OAAAfghanixran9qlistananeSriLanka,0,A020279001,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4124,Pakistan,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,0.25994403153227064,S4261,1,Direstive,MW,CibilSoc9ety,15110,0,AgriteamCanxdw,Malwwi,2,0,nozambiquelr0gram,0,A020392001,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4280,Malawi,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
29092010,1.1101704598834685,S4w22,1,Direcrive,BD,Goverhmegtal,43010,0,DepartmentofForeignwbrairdandIntf5natuonaiTrqde,Banglsfesh,3,0,BangladwshSect8ob,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4122,Bangladesh,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2o092010,1.33402096219375,S412w,1,Direcfive,BD,Unknowm,43010,0,Infirmationnotadaipaboe,Bwnrladesh,3,0,ganylaceshSection,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4122,Bangladesh,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20992010,0.05246979482433467,d4271,0,Directiv4,MZ,Indobidual,14031,0,9nformationnoravajkable,Mlzambiquf,2,0,Mozsmbisue0rogram,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4274,Mozambique,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20091010,1.2424939436104787,S42u1,0,Dir3ctive,MZ,Insovidual,14032,0,onfprmationn9tavailahle,M9zamfique,2,0,Mozzmgi1ueProgram,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,0,4274,Mozambique,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20992010,0.28487752156368873,S5287,1,virective,CM,Governmejtak,43010,1,De0artm3ntofFkreivnAffa8raandIhterna5ionapTrade,Camerooh,2,0,CsntdalAfricafreahLakesPt8gram,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4289,Cameroon,2457111.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2009q010,0.6775373699842797,S4e87,1,Directide,CM,CivilSosietj,43010,1,DMNAGEMENTOhTA8UAIzIgC,Cakeroon,2,0,Cent3alAf3ivaGrewtiakesProgrqm,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4289,Cameroon,2457111.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
e0092010,1.3345651921772772,St287,1,Diredtive,CM,Indigiduai,43010,1,Infodmztionnotzvwilable,Camsroon,2,0,C2gyrqlAfricaG4eatLakesPrograk,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4289,Cameroon,2457111.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2009201p,1.01650109760173,S4q87,1,Directige,CM,Unknpwn,43010,1,Imformationno5xvaulable,fameroon,2,0,CentralAfriczh5eagLamesProgrxm,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4289,Cameroon,2457111.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20093010,0.9209027209192867,Sr233,0,Ditective,GN,CivilSock4ty,15150,0,UPADIUji8ndesptoducteuraagricolesdfelolp2ken6,tuinea,2,0,aenegalProgrxm,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2009201o,0.7743804763281752,Sr233,0,Di3ective,GN,divilSocie4y,15150,0,L3GriypeConseilBaaatdlLte,Guinwa,2,0,SegegalPrpgram,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
e0092010,1.455912134391434,S42e3,0,Dirwctive,GN,divikSociety,31161,0,UPADIUnionvrsproducteh3sag3icolrsdv3lppoement,Gujnea,2,0,SejegalPrpgram,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
10092010,0.35385955436831107,S4e33,0,Directige,GN,CivilSoci3gy,31161,0,L2Gr879eConseilBxastelLte,Guines,2,0,SenegalPtog3am,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092020,0.5770422398012836,S4223,0,Directivw,GN,CivilSockery,31166,0,UPxDIyniojdesptovudteursaggicoleqdvelkppement,Gu9nea,2,0,SenegalPrlgrqm,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092019,2.6812996962943014,S4232,0,Direc5ive,GN,xivilSosiety,31166,0,LeGroupeConseilfaqstsiLre,G6inea,2,0,SegegalProgrwm,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920w0,0.718295774599875,Se233,0,Direvtive,GN,Civ7lSofiety,31181,0,UPADIUnoondesprodustsursagrisooesdv2liopejent,Gjinea,2,0,S2negalProggam,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
10092010,0.11581470669373606,c4233,0,Direvtive,GN,CivilS8xiety,31181,0,LeGroupeComseipBaasyeoite,Gjinea,2,0,SenegqlP3ogram,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092020,0.3843331829332186,S4232,0,Directuve,GN,Civilqoc9ety,31191,0,UPzDIUhipndesprodjcteirsagricolesdbeloppfhwnt,Gu7nea,2,0,SenfgalProfram,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,1.6396233144321868,S42r3,0,Direct7ve,GN,divilSocjety,31191,0,i2GroupeCondeilBasatelLte,Guinew,2,0,a3negalProgram,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4242,*Guinea,11427061.07,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,0.8467084698044649,S414w,0,Dir4ctive,LK,Civ7lSociefy,15150,0,FoundationfkrImternatilnqlTrzin7ng,S4iLanka,3,0,kAAAcghanistanPakiztananrSrikanua,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4118,Sri Lanka,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20093010,1.6469079424978044,S41t1,0,Directkve,LK,Civileofiety,15160,0,FoundatipjforIhte3gationalTraihing,SriLanla,3,0,OAAAfggamixtanPakistahandwriianka,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4118,Sri Lanka,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20093010,1.6150552583769746,S4w15,0,Djrective,ML,Gkgernmental,11110,0,Dels5tmentofForeighAffajtsandIntednqtionakTrade,Mali,2,0,naljProgramSecti8n,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,0.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0
200920q0,0.1796156992680591,S4e15,0,Dkrective,ML,Unknowj,11110,0,Infornationnoravaioagle,Mali,2,0,MaliPeogranSrction,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,0.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0
10092010,0.9837370713505198,S421t,0,Directivd,ML,Governmejtai,11130,0,DepzrtmentibForeignAffairsagdIh6renati0nalTrade,Mali,2,0,kaloProgramcection,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,16726210.87,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0
10092010,1.548278634929626,S5215,0,sirective,ML,CivilSocifyy,11130,0,CACkn4ernahional,Mali,2,0,jakiProgranSection,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,16726210.87,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0
2009e010,0.7702682744833158,a4215,0,Directife,ML,CivilS9ciehy,11130,0,Consor59uhCRCSOGEMAIncetiUnkvwrsitdphtawa,Mali,2,0,MalilrogramSec5ipn,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,16726210.87,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0
20092o10,0.7216421552222899,Se413,1,Reslohsive,50,rov4rnmental,11220,1,xepa4tjentobForektnAcesirsandInternationalTrade,SoutyAjerica,1,0,eouthAm2rica,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920w0,1.4540806853844728,St413,1,R2spogsive,50,Unknowj,11220,1,Ibformati0nnoravailabie,Southqme5ica,1,0,SouthAm24ica,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920q0,1.6155064682501177,S4423,1,Respoms8ve,50,Gofernmentzl,12220,1,DeparhmentofeireignAffai5sanfjgternationaiTeade,SouthAherixa,1,0,eouthAmerlca,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,1.9255852371506854,S4t13,1,Reslons7ve,50,Unknlwn,12220,1,Informarionbotavaiisble,Southznerica,1,0,SouthAmetiva,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,1.4349736029011924,S4414,1,Respohaive,50,Gov2gnmental,13030,1,DepartmentofForekgnqffairxajdIhternwhionzl4rade,aoughAmerica,1,0,eouthAmerlca,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092910,1.801459492492584,c4413,1,Responsifs,50,Unknowh,13030,1,Infodmati9nn0tavailablr,qouthAmeeica,1,0,SouthAnetica,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200o2010,0.8721161429413333,S5413,1,4esplnsive,50,Govergnental,15110,1,repartjentofFlr4ignAbfs8rsandInternationsiTrade,wouthsmerica,1,0,SouthAmerjfa,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20992010,1.6036541868035958,S4r13,1,Respojs9ve,50,Unknowb,15110,1,8nformationnotqdailahle,SouthAhe5ica,1,0,SouthAhfrica,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920w0,1.1887753152491705,S4423,1,R2sponsivs,50,Gode4nmental,11220,1,Depa5tmentofForw7rnAffxirsansInte4nationalT4sde,SouthAmf4ica,1,0,Southxme3ica,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920q0,0.8098145696566712,S4513,1,Respknxive,50,Unknoqn,11220,1,Igformatoonn8tavaipable,SoufhAmer9ca,1,0,SouthAme4ifa,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,1,4422,*Southern Cone,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
