Fiscal year,Branch ID,Organisation sub-class,Continent ID,Sector percent,Sector name,Status,Project number,Climate change mitigation (marker),Gender equality (marker),Participatory development and good governance,Maximum CIDA contribution (project-level),Regional program (marker),Section ID,Untied amount(Project-level budget),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2009201p,B3w00,CONShLTINnSERVICsS,2,0.22061266391462286,Fornapsectlrbinanfialinferm4diaries,Cloxed,A0196p8002,0,0,1,35842460.4140939,0,S4246,47762418.01805095,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20o92010,B31o0,CONSUL6INGSE4dICES,2,0.23741286319396546,B7sunesssupplrtsetvicesabr9nstitutions,Closee,A0196o8p01,0,0,1,19161989.230300386,0,S5256,59202178.29320258,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009e010,B3200,CONSUL5INGSE3VIfES,2,0.23159343045702374,Induqtriao9olicywndadminiqtdativfmanahement,Clos3d,s018608001,0,0,1,35277191.00620872,0,a4256,31474974.4241903,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009201o,B3200,COjSULTINGSfdVICES,2,0.12878221850903293,SmaklanxhediumsizewebterpdisesSMEdevel8pmenf,dlosed,s029608001,0,0,1,19222513.575682867,0,z4256,13518166.699702157,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009201p,B3q00,CONSUifIbGSERVICES,2,0.41222506748196036,T4shjologicalresesrxmancdevelopment,Cloqed,Ao19608o01,0,0,1,44483074.522797436,0,c4256,58462580.18357129,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20091010,B3109,CONSULTINGSERbIxwS,2,0.856639188577142,Environmemtqlpolic7andadmiglstra6ivenanxgejent,Cloqed,A01060800w,0,0,1,26227814.132349774,0,x4256,63679188.7733263,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20091010,B31o0,COmSULfINGSERVuCES,2,0.7971928116306741,Biosph2teprotevtion,Closes,Ao19608901,0,0,1,1133794.4709570762,0,S425u,61847677.57279382,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20992010,B310p,FEDERzL,2,0.07545195174945568,Multksec6oraid,Cposed,A029161p01,0,2,0,9197139.887402507,0,S42r6,32318173.619519703,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4259,*Algeria,0.998334353,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,v4400,FEDERxL,1,1.3192841538384406,Democraricpwrticipationanrcivllsociwrj,Closec,s020295001,0,3,1,12516483.079258183,0,S4459,14217040.682520272,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20091010,v4400,F2DERAL,1,0.5435568979381658,Hujanrigbts,Clos3d,A0201i500w,0,3,1,13790966.20144825,0,S444i,6457626.972104551,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092910,B42p0,SPsCIALIxEDINSTITiTw,2,0.4314159825494928,o8blicsectorpolicyanradmigistrativsmanzgekem4,Clozed,A0w0232001,0,2,1,15604326.896221004,0,S3227,42460956.83577365,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201p,B4e00,SPEf8xLIZEeINSTITUTE,2,0.07068691817659184,ojbiicfinancemahagement,dlosed,Ap202q2001,0,2,1,6870913.74508572,0,e4227,9783853.478385193,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,f4200,SPEvIALIx4DINSgITUTE,2,0.4260216124946067,Legalandnudic8wldeveiopmenh,Cllsed,A030223001,0,2,1,18047993.43617963,0,S4327,18635703.129275702,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B5200,SPrCuwLIZEDINSTITUT4,2,0.19519596866361444,Democratucpart9cipatjonandsuvilzocuety,Coosed,s920222001,0,2,1,10499244.703680467,0,S4226,37194573.583239436,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B420o,SPECoAkIZEDINS5IT7TE,2,0.11592780999733543,uumagrights,Clksed,A029223001,0,2,1,93160318.9579602,0,S42q7,27631872.04391896,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,B4290,CONSULTINtSERdICEz,2,0.06943635126092268,Publicxectir00licywndadm7nistratuv3manag3ment,4e4minating,A03024600q,0,2,0,35530.407082675025,0,S5233,27044821.96293945,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009e010,B4e00,CObSULTwNT,2,0.5759278688489335,Publissectorpolicyamdzdmin8sgfwtivemanqgememt,Teeminqting,A02024u901,0,2,0,1616841.8216989823,0,St233,18424396.196803816,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20p92010,B420o,CONShLTINGSEeVIC4S,2,1.084882107692,Incornaos2miformalfinanciapintd4nediaries,Tetninating,A02o246p01,0,2,0,44540597.492716044,0,S423r,10496343.942003855,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920w0,B5200,CibSULTANT,2,0.1484012795474663,Informaosemjformalfinqhcialingerm3duxries,Terminatubg,A0q0246091,0,2,0,5536442.912849646,0,S4e33,45062169.79926693,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,n4400,CONSUL6INGasRVICES,1,0.33879924154653185,Trachertgainjng,Closes,A02p252o01,0,0,0,38306184.50032477,0,S4329,49571885.43339968,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4438,Caribbean Regional - Guyana,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,B410p,FED4RAL,3,0.6215705865560626,9ublicsec5or0olic5andzdmijixgrativemanqgement,Closrd,A020271p01,0,1,1,10588758.666049194,0,S41e0,32965136.448524497,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2p092010,B3100,FEDE3AL,3,0.3221747621623491,Publicfinxncemwhagemwnt,Closrd,z0e0272001,0,1,1,18612872.74014488,0,S413p,14792021.936737005,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20002010,B4q00,FEDERzL,3,0.8924097470851156,Democra67cpartici9ationanefivilwpciety,Clos2d,A020q72p01,0,1,1,3745822.7047944125,0,S41e0,14154469.846968515,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009w010,B5100,FEfERAL,3,0.47661404062823115,Puhlissectorpokidgandadministrztigenanavement,Termijatung,Ap30279001,0,1,1,34889765.09114483,0,S3141,99960045.28338352,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,B4209,CONwUL4kNGSERVICES,2,0.07489961195419204,Pyblicsectorlooifyandawministrwtivemagagwmrnt,Closec,A0w039e001,0,1,1,2527332.7787407544,0,S4w71,35373308.70030054,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4280,Malawi,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,n4100,FdDERAL,3,0.49639681813009146,Multjseftoraid,Coosed,A02039r091,0,0,1,16805338.449458085,0,Sr122,15446968.828548418,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20o92010,B41o0,Unkn9wn,3,0.5039229950239125,Multisectorzkd,Cl0sed,A0103950p1,0,0,1,35267051.220248386,0,S41w2,45035525.92336477,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,B4290,CONSkLTAmT,2,0.657323759155493,Basicddlnk8ngwatersuppiy,Coosed,A0203p800w,0,0,0,11642716.6752293,0,S4171,32779070.874109358,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,Mozambique,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20082010,B5200,ClNSULTANy,2,0.08388112366720829,Bzsicsaniystion,Cloqed,A030399001,0,0,0,4981638.658161685,0,c4271,44157060.69070416,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,Mozambique,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,n4200,FEDEgAL,2,0.5984740739128834,Multis2croraid,Cloxed,A92044o003,0,2,1,7487738.984343025,0,S428i,24135084.97892502,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009201o,B4209,SU9lLIEROFtO8DSSERVICES,2,0.20960312213094476,Multiarctoraid,Closef,A01044900w,0,2,1,5325593.9104037825,0,S4277,47293033.06556339,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
29092010,Br200,COOPERAgT,2,0.43030914841939183,Mjltisectoraic,slosed,A02044o0p3,0,2,1,10006649.536389519,0,S4e87,18831301.654889517,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2p092010,B420p,Unkhown,2,0.3349083481532864,nultisectorajd,Clos4d,q02p449003,0,2,1,26379786.985131677,0,S4277,25206126.773877263,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
10092010,B4w00,ASSOC8ATIOmS,2,0.5165157371538288,Democrahicparticipafionanecifllsoc8et7,Closec,w029715001,0,0,0,27780490.297272243,0,S5233,47885401.48407474,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,B42p0,CiNShLTINGSEgVICES,2,0.11119009458202689,Democrwt9cpartici9atkobandcidilaociety,Clos4d,A9207150o1,0,0,0,10367007.302758664,0,S4133,36332952.03177522,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201o,n4200,AzSOCIATIOhS,2,0.6598746385916315,Foodcrip9rodjction,Clos2d,x020714001,0,0,0,18861680.2431151,0,S4234,77069606.76055668,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,B3200,CONSUkTINGSERVIffS,2,0.8615137835251834,Fopdcrlpproduvtion,Cposed,A0e0715091,0,0,0,12832251.76922307,0,c4233,9284580.083454644,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,B420p,ASSOCIAT7ObS,2,0.03820026201929183,Agr7cultigalext3nsion,Closef,A0q0715o01,0,0,0,34054696.70111297,0,S4223,31077665.364438593,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009q010,B420o,fONSULTINGeERgICES,2,0.3235657893410647,Agricultudalex6emsjon,xlosed,A020715902,0,0,0,37911996.75094976,0,S423e,6298228.103413893,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200i2010,B4w00,ASSOskATIONS,2,0.7443768874090773,Agricuituraldducatipn5rainlng,Coosed,A0q071t001,0,0,0,32309822.368798252,0,a4233,23737102.79736936,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20091010,B420p,CONS7LTINGSrRVICEc,2,0.6117409483577807,Ag5ickpturaleducat8ojtraining,Clos4d,A029715002,0,0,0,10679941.518390097,0,Se233,54630051.436160095,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,B4e00,ASSOCuA6IONS,2,0.547514463092395,Agricklturalsergic4d,Cllsed,s920715001,0,0,0,12193679.04410853,0,S42r3,16241441.752024567,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,g4200,CONShLTINGSERVoCfS,2,0.37180872615452465,Agriculturwpsdfvices,Clowed,q02p715001,0,0,0,13356296.524150878,0,S5233,45346390.01041194,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,B5100,NGO,3,0.2760127499832762,eem8c3aticparticipa6ionandcivilskdie6y,Ckosed,A0207pp001,0,0,0,6951083.95199168,0,c4141,37429504.45282953,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20o92010,B4q00,NGO,3,0.8420218945362693,Huhanrightw,dlosed,Ap2079o001,0,0,0,8095529.20817088,0,S414w,15960994.57043816,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,B420o,vEDERAL,2,0.23392155866459247,Educatkonpolicyabdadminiatrztivemansremehh,Clised,A02p891p01,0,2,0,12505643.592061706,0,w4215,32172969.261828,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20092o10,B5200,Unknlwn,2,0.6389943718425762,Educati0npplic5andawministrqf7vemanagemeng,Cloaed,A020u9q001,0,2,0,15736708.894283092,0,x4215,10989991.023174047,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20092o10,B3200,FEfERAL,2,0.18067125647432064,T3acbertraiging,Closer,A0208pq001,0,2,0,7825419.514413226,0,c4215,4383801.822642019,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
29092010,B42o0,CkmSULTIbGSERVICES,2,0.17231290499508964,Teacheftrqinijg,Ciosed,A9208920p1,0,2,0,11745739.472639851,0,S421r,52632211.183358945,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20093010,B4290,CONSULr8NGSERVICEx,2,0.36918934527869274,Teachertra7m8ng,Cloded,wo20892001,0,2,0,9827006.454484511,0,z4215,66040678.78822455,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
2009201o,B440o,FEfERAL,1,0.14219820876425282,Primzry2ducatoon,slosed,A02001p001,0,0,1,34086380.190188386,1,S4r13,27723996.56412549,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20092p10,B44o0,Unknowm,1,0.04759184511843256,Primztyeduxation,Cposed,A0209q9001,0,0,1,30783037.69602466,1,S44w3,26252651.076258585,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20092o10,B4490,FEDERzL,1,0.771057185192591,Basicbexlthcarw,Closes,A030010001,0,0,1,5302187.075382188,1,z4413,15798467.181586446,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009e010,B4490,Unlnown,1,0.084037001276696,Bas7chealtmca3e,flosed,A02081o001,0,0,1,11526770.597082533,1,w4413,29915971.976562135,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009201p,f4400,FEvERAL,1,0.7935292151075523,camilgplanning,Closrd,A020910op1,0,0,1,15113855.045480458,1,S441w,45545146.8925457,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2o092010,Bt400,Unkn8wn,1,0.32743119571492807,Fajilyplannigg,Closec,A0209wp001,0,0,1,37645907.284834236,1,S5413,25182321.64567532,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
20092019,B4490,FEDERAp,1,0.8738910169142378,Pufllcsrftorpolicyandwvminls4rativemajagement,Clowed,A0e09100o1,0,0,1,47281552.989987984,1,S5413,36106302.43577759,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200920q0,B5400,Unonown,1,1.3747279699589057,Publucsectorpllisgsndadministrqtivemanatsnent,Clos4d,A920910o01,0,0,1,19182400.012859937,1,S44q3,30090559.854408618,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
2009w010,B4t00,FEDEtAL,1,1.11463693449278,0dimar6education,Closwd,A02091o00q,0,0,1,63673305.80092113,1,z4413,36770266.98560653,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
w0092010,B4r00,Unkn9wn,1,0.2471565572797684,Primzryeeuca4ion,Closfd,Ao20910901,0,0,1,42667886.615388,1,S5413,90761060.98985131,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
200920q0,g4400,F3DERAL,1,0.7987737238859866,Bwsicheal6mcare,Clos2d,A0w0910o01,0,0,1,4339148.207202198,1,S4313,15369166.74741575,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
