assay_id,curated_by,assay_subcellular_fraction,assay_tissue,tissue_id,description,tid,assay_organism,doc_id,bao_format,assay_strain,assay_type,assay_test_type,assay_category,assay_tax_id,assay_cell_type,relationship_type
104,Intermediate,,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,50587,Homo sapiens,13600,BAO_0000218,,F,,,9606.0,2.2.15,N
105,Intermediate,,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,50587,Homo sapiens,13467,BAO_0000218,,F,,,9606.0,2.2.15,N
106,Expert,,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",50606,Hepatitis B virus,17477,BAO_0000218,,F,,,10407.0,2.2.15,N
107,Intermediate,,,,In vitro anti-HBV activity in 2.2.15 cells,50587,Homo sapiens,1593,BAO_0000218,,F,,,9606.0,2.2.15,N
108,Intermediate,,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,50587,Homo sapiens,1593,BAO_0000218,,F,,,9606.0,2.2.15,N
109,Intermediate,,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,50587,Homo sapiens,15089,BAO_0000218,,F,,,9606.0,2.2.15,N
110,Intermediate,,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,50587,Homo sapiens,15089,BAO_0000218,,F,,,9606.0,2.2.15,N
111,Intermediate,,,,Cytotoxicity in 2.2.15 cells,50587,Homo sapiens,1593,BAO_0000218,,F,,,9606.0,2.2.15,N
112,Intermediate,,,,Cytotoxicity in 2.2.15 cells; Not determined,50587,Homo sapiens,1593,BAO_0000218,,F,,,9606.0,2.2.15,N
113,Intermediate,,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,50587,Homo sapiens,13600,BAO_0000218,,F,,,9606.0,2.2.15,N
114,Intermediate,,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,50587,Homo sapiens,13467,BAO_0000218,,F,,,9606.0,2.2.15,N
115,Intermediate,,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,50587,Homo sapiens,13467,BAO_0000218,,F,,,9606.0,2.2.15,N
116,Intermediate,,,,Antiviral activity against HBV was determined in 2.215 cell line,81020,Homo sapiens,14764,BAO_0000219,,F,,,9606.0,HepG2,N
117,Autocuration,Microsomes,,,Inhibition of 20-HETE synthesis in human renal microsomes,22226,Homo sapiens,6531,BAO_0000251,,B,,,9606.0,,U
118,Autocuration,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,22226,,17322,BAO_0000019,,B,,,,,U
119,Intermediate,,,,Inhibitory concentration against 2008 (ovarian) cells,80612,Homo sapiens,17072,BAO_0000219,,F,,,9606.0,2008,N
120,Intermediate,,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,80612,Homo sapiens,16936,BAO_0000219,,F,,,9606.0,2008,N
121,Intermediate,,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),80612,Homo sapiens,16936,BAO_0000219,,F,,,9606.0,2008,N
122,Intermediate,,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,80612,Homo sapiens,17146,BAO_0000219,,F,,,9606.0,2008,N
123,Intermediate,,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,80612,Homo sapiens,17146,BAO_0000219,,F,,,9606.0,2008,N
124,Intermediate,,,,In vitro inhibition of 2008/R ovarian cancer cell line,80613,Homo sapiens,10797,BAO_0000219,,F,,,9606.0,2008/R,N
125,Intermediate,,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,80613,Homo sapiens,10797,BAO_0000219,,F,,,9606.0,2008/R,N
126,Intermediate,,,,In vitro inhibition of 2008/S ovarian cancer cell line,80614,Homo sapiens,10797,BAO_0000219,,F,,,9606.0,2008/S,N
127,Intermediate,,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,80614,Homo sapiens,10797,BAO_0000219,,F,,,9606.0,2008/S,N
128,Expert,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,100256,Homo sapiens,4823,BAO_0000220,,B,,,9606.0,,S
129,Intermediate,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,100256,Homo sapiens,12912,BAO_0000220,,B,,,9606.0,,S
130,Expert,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,100256,,2957,BAO_0000220,,B,,,,,S
131,Expert,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,100256,,2957,BAO_0000220,,B,,,,,S
132,Intermediate,,,,Inhibitory activity against 20S proteosome,100256,,3260,BAO_0000220,,B,,,,,S
133,Autocuration,,,,Compound was tested for inhibitory activity against tryptase,22226,Homo sapiens,3451,BAO_0000019,,B,,,9606.0,,U
134,Intermediate,,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,81020,Homo sapiens,13885,BAO_0000219,,F,,,9606.0,HepG2,N
135,Intermediate,,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,81020,Homo sapiens,13885,BAO_0000219,,F,,,9606.0,HepG2,N
136,Autocuration,,,,Compound was tested for the inhibition of Alpha-glucosidase,22226,,3676,BAO_0000019,,B,,,,,U
137,Autocuration,,,,Inhibitory concentration against human neutrophil elastase (HNE),235,,6043,BAO_0000357,,B,,,,,H
138,Autocuration,,Heart,948.0,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,22226,Rattus norvegicus,11140,BAO_0000218,,F,,,10116.0,,U
139,Autocuration,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,10543,BAO_0000019,,F,,,,,H
140,Expert,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,10543,BAO_0000019,,F,,,,,H
141,Autocuration,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,10543,BAO_0000357,,B,,,,,H
142,Expert,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,10543,BAO_0000019,,F,,,,,H
143,Intermediate,,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,80360,Mus musculus,11365,BAO_0000219,,F,,,10090.0,P338,N
144,Intermediate,,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,80360,Mus musculus,11365,BAO_0000219,,F,,,10090.0,P338,N
145,Intermediate,,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,80384,Homo sapiens,11803,BAO_0000219,,F,,,9606.0,PBL,N
146,Autocuration,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,22226,Ovis aries,11803,BAO_0000019,,F,,,9940.0,,U
147,Autocuration,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,22226,Ovis aries,11803,BAO_0000019,,F,,,9940.0,,U
148,Autocuration,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),191,,12278,BAO_0000357,,B,,,,,H
149,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,22226,Homo sapiens,8249,BAO_0000019,,F,,,9606.0,,U
150,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,22226,Homo sapiens,8249,BAO_0000019,,F,,,9606.0,,U
151,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,22226,Homo sapiens,8249,BAO_0000219,,F,,,9606.0,CCRF-CEM,U
152,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,22226,Homo sapiens,8249,BAO_0000219,,F,,,9606.0,CCRF-CEM,U
153,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,22226,Homo sapiens,8249,BAO_0000219,,F,,,9606.0,CCRF-CEM,U
154,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,22226,Homo sapiens,8249,BAO_0000219,,F,,,9606.0,CCRF-CEM,U
155,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,22226,Homo sapiens,8249,BAO_0000019,,F,,,9606.0,,U
156,Autocuration,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,22226,Homo sapiens,8249,BAO_0000019,,F,,,9606.0,,U
157,Autocuration,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,104290,,16992,BAO_0000249,,B,,,,,H
158,Intermediate,,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,50264,Streptococcus pyogenes,10543,BAO_0000218,,F,,,1314.0,,N
159,Intermediate,,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),50527,Human herpesvirus 3,17833,BAO_0000218,,F,,,10335.0,,N
160,Expert,,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,50527,vericilla zoster virus,17290,BAO_0000218,,F,,,10335.0,HEL,N
161,Intermediate,,,,Antiviral activity against 07/1 strain of VZV; ND: No data,50527,vericilla zoster virus,17290,BAO_0000218,,F,,,10335.0,,N
162,Intermediate,,,,Antiviral activity against 07/1 strain of VZV; ND=No data,50527,vericilla zoster virus,17290,BAO_0000218,,F,,,10335.0,,N
163,Intermediate,,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",50145,escherichia cloac,10932,BAO_0000218,,F,,,561.0,,N
164,Autocuration,,,,Ratio of Ki at A2 to Ki at A1 receptors,22226,,9707,BAO_0000019,,B,,,,,U
165,Expert,,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",11143,Candida albicans,2346,BAO_0000249,,B,,,5476.0,,H
