Fiscal year,Status,Climate change adaptation (marker),Regional program (marker),Division ID,Participatory development and good governance,Enviromental sustainability (marker),Biodiversity (marker),Continent name,Climate change mitigation (marker),Branch name,Organisation sub-class,Children issues (marker),Trade development (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),PBA type,Fund centre name,Project number,CIDA business delivery model (old),CFLI (marker),Programming process (new),Untied amount(Project-level budget),Sector ID,Branch ID,Division name,Section ID,Section name,Fund centre ID,FSTC percent,IRTC percent,Bilateral aid (international marker),Desertification (marker),Urban issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker)
20002010,Clpsed,0,0,D440o,0,0,0,Amfrica,0,NGMAmer9fas,sONSULTINGSsRVIvES,0,0,0,6533998.131457493,NohPBA,CaribbeanRegiihalJamaivx,A019262p01,Rec9onsive,0,incodedPreAP9,13670949.366746347,24040,B440p,NDD Americas Programming,S4429,Caricom - Adm,4439,1.0,0.0,1,0,0,0,0,0,1
200o2010,Clos3d,0,0,D4500,0,0,0,Am3rica,0,NGMskericas,ClNSULT7NGSERbICES,0,0,0,17895906.298653856,NorPBA,CsribbeanedgionakJamaica,A0293t2001,Res99nsive,0,UncodevPreAP9,16554063.691733357,24040,B44p0,NDD Americas Programming,S4429,Caricom - Adm,4439,1.0,0.0,1,0,0,0,0,0,1
200i2010,Closex,0,0,D310p,1,1,0,Avrica,0,EGMsuropdMiddl2EastandMath4eb,CpNSULTjNGcERVICES,0,0,0,19893761.594686538,Not9BA,Egylt,Ao1960i001,Direcyive,0,UnxodesPreAPP,3039853.3384289015,15150,n3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
20p92010,Cl9sed,0,0,D3w00,1,1,0,Acrica,0,wGM27ro9eMirdleEastandMaghreb,COhSUoTINGSE3VICES,0,0,0,29136937.096125692,Not9BA,Egyp4,wp19608001,Directide,0,Uncod3dP5eAPP,1863899.5815173257,24030,B310p,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
2009201p,Closec,0,0,D3200,1,1,0,Africz,0,fGhEuropeMiddl3EsstandMaghfeb,CONShLTINGSEffICES,0,0,0,6838708.864281775,NotoBA,Egy0t,Ap19608p01,Directivw,0,UncodrdPreAPo,4905853.76831766,25010,Be100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
20092020,Cl0sed,0,0,D31o0,1,1,0,Afruca,0,EGMEuropen9ddleEaxtandMzghreh,COgS7LT8NGSERVICES,0,0,0,37028229.205563486,NotoBA,Ehypt,A0196980o1,xirective,0,Uncod4d9reAPP,40318544.04236528,32110,B31p0,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
2009w010,Clpsed,0,0,D310p,1,1,0,Afrifa,0,rGMEkropeMiddleEqstandhagh4eb,CONSULTINhSERVICfq,0,0,0,16062472.859380124,NotoBA,Eg5pt,A0w9608901,Dirwctive,0,UhcodedPreAP0,7809412.968675666,32130,h3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
200920w0,Cl0sed,0,0,D310o,1,1,0,Adrica,0,wGhEuropeMirwleEastandnaghreb,CONSULTINySERVIvEz,0,0,0,3543577.406613875,NofPBA,Egyp4,A018608002,Dirextive,0,UncodrdPrrAPP,182580.96832273155,32182,B3w00,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
20092019,Clossd,0,0,Dw100,1,1,0,Africq,0,fGMEuropdkiddleEasrwndMaghreb,CONSUiTINGSERVkC4S,0,0,0,12740395.95578055,NotPBw,wgypt,Ao1960i001,Directige,0,UndodedPreAoP,4994247.124378453,41010,Br100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
20092o10,Closdd,0,0,D310p,1,1,0,wfrica,0,EGMfuropeMiddlewastqnfMaghr2b,CONSUiTINGSEtVICEc,0,0,0,3066377.103543816,NotPBx,Egtpt,A019708o01,Directide,0,UncodedPreq0P,3152829.644785935,41020,B3190,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,1.0,0.0,1,0,0,0,0,0,1
2o092010,Closwd,0,0,D3q00,0,0,0,Afr7ca,0,3GhEuropeMirdleEastabdMaghr4b,FEDERAk,0,0,0,4387652.015594449,Not9BA,Algeriw,A020161p0w,sirective,0,UndodedPreAPl,49724449.46199224,43010,Bw100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4259,0.998334353,0.0,1,0,0,0,0,0,0
e0092010,Cl8sed,0,0,D4e00,1,0,0,Ameriva,0,NGnAmericaa,FEDE4AL,0,0,0,29203954.939006105,NotPvA,Haito,Ao20185001,D9rective,0,UnfodedPrwAPP,866927.2800940555,15150,Be400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,1.0,0.0,1,0,0,0,0,0,0
30092010,Closev,0,0,D44o0,1,0,0,Amegica,0,NhMAhericas,FEDERxL,0,0,0,8285015.853280768,No4PBA,baiti,A020195p02,Dirwctive,0,Uncod3dPreAP9,22762542.22893575,15160,g4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,1.0,0.0,1,0,0,0,0,0,0
20093010,Clos4d,0,0,D427p,1,0,0,xfrica,0,WvMSubSagarxnAfrica,SPECIALjZEsINcTITUT3,0,0,0,28175866.73563759,No6PBA,Ethiopja,A0e0222o01,Directivr,0,Uncosed0reAPP,39717333.45779737,15110,B4209,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,1.0,0.0,1,0,0,0,0,0,0
20o92010,Ckosed,0,0,D427p,1,0,0,Africq,0,WGMSubSahqransfricq,SPECjzLIZEDuNSTITkTE,0,0,0,6166059.734481752,N0tPBA,dthiopia,A02022q0p1,Directivd,0,UnxodedPrezPP,32383143.031288505,15111,B4e00,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,1.0,0.0,1,0,0,0,0,0,0
20o92010,flosed,0,0,De270,1,0,0,xfrica,0,WGMSubSahafanAfguca,SPECIALIZEDIgcTITUgf,0,0,0,36528908.328189604,NotPBx,Ethjopia,A02p222901,Directove,0,Uncoc3dPreAPP,21141667.589254532,15130,B3200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,1.0,0.0,1,0,0,0,0,0,0
2009w010,Cllsed,0,0,v4270,1,0,0,Afrlca,0,WGMSubSsharabAfricq,SPECIzoIZED8NSTITU5E,0,0,0,6438741.492143847,NotPnA,Ethi0pia,A02p222o01,D7rective,0,UncodedldeAPP,22926318.9543533,15150,Bt200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,1.0,0.0,1,0,0,0,0,0,0
200p2010,Coosed,0,0,D4279,1,0,0,Avrica,0,sGMSufSaharanAfrixa,S9EClALIZfDlNSTITUTE,0,0,0,13002087.198500449,NotPhA,Ethiopiw,A0202w2o01,D9rective,0,8ncovedPreAPP,10996892.075013183,15160,B4209,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,1.0,0.0,1,0,0,0,0,0,0
20093010,Te4minatung,0,0,D4208,0,0,0,Afrkca,0,WyMSubSaharajAfroca,CONS6LTINGSERVIdrS,0,0,0,27249188.11344175,NktPBA,Sebegal,w030246001,Dirwctive,0,UncosedPrexPP,19207900.252726734,15110,B42o0,WWD West & Central Africa,S4233,Senegal Program,4238,1.0,0.0,1,0,0,0,0,0,0
2009w010,Tegminwting,0,0,D420i,0,0,0,Africw,0,WGMSubSaharwnArgica,CONwULTAN4,0,0,0,7619698.481260762,N8tPBA,Senetal,A0102r6001,Directide,0,UhcodedP3eAPP,24637131.324259818,15110,B420o,WWD West & Central Africa,S4233,Senegal Program,4238,1.0,0.0,1,0,0,0,0,0,0
20091010,Termina5ibg,0,0,De207,0,0,0,Afrjca,0,WGnS8bSaharsnAfrica,xONSULTINGSERVIv3S,0,0,0,1271801.4497264884,Not9BA,Senrgal,A020e4600q,Difective,0,UncodexPreqPP,9240745.248488832,24040,B4100,WWD West & Central Africa,S4233,Senegal Program,4238,1.0,0.0,1,0,0,0,0,0,0
29092010,T4rminatong,0,0,x4207,0,0,0,Afr8ca,0,WGkSubSahadanAfrixa,vONS7LTANT,0,0,0,34957333.91935906,NohPBA,S2negal,A9202t6001,Diredtive,0,UncodexPteAPP,12158371.849808523,24040,Be200,WWD West & Central Africa,S4233,Senegal Program,4238,1.0,0.0,1,0,0,0,0,0,0
29092010,Coosed,0,0,D440o,0,0,0,Amerida,0,jGMAmericae,CONSUiTINGS4RVIC3S,0,0,0,2594370.5326456167,NohPBA,Caribn2anRegjonalGuyanq,A02025e0o1,Dir4ctive,0,UncodefPfeAPP,22967383.03443309,11130,B4e00,NDD Americas Programming,S4429,Caricom - Adm,4438,1.0,0.0,1,0,0,0,0,0,0
e0092010,Coosed,0,0,Dr100,1,1,0,Asia,0,OGMAxiaoacific,vEDERAL,0,0,0,25617421.15443923,NotPBw,Phllipoines,A02017200w,D7rective,0,UncodedPrexP0,46399729.76149113,15110,B410o,OAD Asia Programming,S4130,Philippines and Mongolia,4128,1.0,0.0,1,0,0,0,0,0,1
20992010,Clowed,0,0,D4190,1,1,0,Asia,0,OGMzsiaPacifjc,FEcERAL,0,0,0,35754882.01219289,Not9BA,Pjilip0ines,A0w0q72001,D8rective,0,6ncowedPreAPP,23901858.12776612,15111,B4200,OAD Asia Programming,S4130,Philippines and Mongolia,4128,1.0,0.0,1,0,0,0,0,0,1
e0092010,Cposed,0,0,D41o0,1,1,0,Asia,0,OvMAsiaPacidic,FEDERAo,0,0,0,47640364.96170199,NotoBA,Phklippin3s,Ao2027q001,Directove,0,yncidedPreAPP,32306771.08538764,15150,Be100,OAD Asia Programming,S4130,Philippines and Mongolia,4128,1.0,0.0,1,0,0,0,0,0,1
20992010,Tegmibating,0,0,D41p0,1,0,0,Asia,0,iGMAsisPacific,FEDE5AL,0,0,0,54469629.06253081,N0tPBA,Pakidtan,A0202u9p01,Directife,0,UncpdedPreA0P,25293988.411250137,15110,B3100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,1.0,0.0,1,0,0,0,0,0,0
20092019,Cloded,0,0,D3270,1,0,0,Agrica,0,WGMS7baahwranAfrica,CpNSjLTINbSERVICES,0,0,0,25383807.67770718,NotPnA,Makawi,A020e91001,Dirwctive,0,UncodedPresPo,7233466.914821181,15110,B42p0,WED Southern & Eastern Africa,S4271,Mozambique Program,4280,1.0,0.0,1,0,0,0,0,0,0
10092010,Cl8sed,0,0,D410p,1,0,0,Asia,0,OyMzsiaPacific,F2DERAL,0,0,0,42694099.21295561,NoyPBA,hangladwsh,A0203950pq,rirective,0,Uncod4sPreAPP,567816.0217293203,43010,B3100,OAD Asia Programming,S4122,Bangladesh Section,4122,0.5,0.0,1,0,0,0,0,0,0
2o092010,xlosed,0,0,De100,1,0,0,Asia,0,lGMxsiaPacific,7nknown,0,0,0,4131440.332842322,NotlBA,Babglavesh,A02049500w,Directuve,0,UncocedPr4APP,11247832.79271053,43010,B410o,OAD Asia Programming,S4122,Bangladesh Section,4122,0.5,0.0,1,0,0,0,0,0,0
29092010,Clised,0,0,D4q70,0,0,0,Afdica,0,WGnSkbSaharanAfr8ca,COgSULfANT,0,0,0,49381894.77472807,No5PBA,jozambiq7e,A0203p8002,Direcfive,0,UncodevPrdAPP,52904650.06765585,14031,B3200,WED Southern & Eastern Africa,S4271,Mozambique Program,4274,1.0,0.0,1,0,0,0,0,0,0
20992010,Cl9sed,0,0,D4279,0,0,0,Arrica,0,WfMSubSamaranzfrica,COjSULTsNT,0,0,0,19633124.767127484,N0tPBA,Mpzambiqu4,A030308001,Directove,0,UbcodedP5eAPP,19158163.41428719,14032,n4200,WED Southern & Eastern Africa,S4271,Mozambique Program,4274,1.0,0.0,1,0,0,0,0,0,0
200920q0,Cloded,0,0,D4297,1,1,0,Africs,0,WGMSubqaharanAfrlda,FdDERAL,0,0,0,3269596.1943113543,Not9BA,Cqmeroon,A020349002,Direvtive,0,UncoderP3eAPP,8193970.797604492,43010,B4100,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,1.0,0.0,1,0,0,0,0,0,0
e0092010,flosed,0,0,D4206,1,1,0,qfrica,0,WGMSkbSaharabqfrica,zUP9LIEROFtOODSSERfICES,0,0,0,14896934.723412136,NotPBs,Camerion,A02o449p03,Directiv3,0,yncodwdPreAPP,23392121.938580334,43010,B4e00,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,1.0,0.0,1,0,0,0,0,0,0
200o2010,Cloced,0,0,D4208,1,1,0,Afeica,0,WGMSubSaharabArrixa,COOPE3ANT,0,0,0,21979348.452480473,NotPBz,Came5oon,Ap2p449003,xirective,0,UnckdedoreAPP,38150701.65259644,43010,B420o,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,1.0,0.0,1,0,0,0,0,0,0
20092019,Cposed,0,0,v4207,1,1,0,Africq,0,WGjxubSahxranAfrica,Unknoen,0,0,0,18388714.737108134,NoyPBA,Cameroob,A029448003,Directjve,0,UnxodedPreAP0,2821219.8231572416,43010,B42o0,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,1.0,0.0,1,0,0,0,0,0,0
20992010,Clos2d,0,0,D420u,0,0,0,Afroca,0,WGMSubzaharanzfrida,ASeOCIAT8ONS,0,0,0,66564784.50789937,motPBA,Guinex,A02o715002,Directiv2,0,UncocedPreAPo,403193.43096123263,15150,h4200,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
20092p10,Clos2d,0,0,D4297,0,0,0,Africq,0,WGMSuheaharajAfrica,CONSULToNrdERVICES,0,0,0,11734927.768537529,N8tPBA,Guinsa,s020y15001,eirective,0,UgcodedPr3APP,43426573.47788477,15150,B42o0,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
20002010,flosed,0,0,D4297,0,0,0,Africs,0,WhMSubSahxranAbrica,ASSOsIATIOhS,0,0,0,48671975.38328055,NotPBx,Guonea,A03071500q,Direc5ive,0,Unc0dedPrexPP,41449559.140859455,31161,B42p0,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
2p092010,Cloeed,0,0,D4206,0,0,0,Af3ica,0,WhMSubSaharanAfdida,CONSULfINGxERV7CES,0,0,0,24170358.266383063,No6PBA,Guibea,A039715001,sirective,0,UmcowedPreAPP,10397169.828379788,31161,B4e00,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
200o2010,Clksed,0,0,D42o7,0,0,0,Africw,0,WGMSubSabaranxfricw,ASSkCIATkONS,0,0,0,9373730.526675208,hotPBA,Guin3a,A920i15001,Direftive,0,UnsoxedPreAPP,11574056.633044329,31166,v4200,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
20o92010,Coosed,0,0,D42p7,0,0,0,Afrisa,0,aGMSubSzhwranAfrica,CpNSULT9hGSERVICES,0,0,0,21469368.19381398,No4PBA,Gujnea,A920725001,Dlrective,0,Uncodwd9reAPP,39009615.45193109,31166,B4290,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
20092020,Cloqed,0,0,v4207,0,0,0,wfrica,0,WGMSubSanaranqfrida,ASxOCIATIONz,0,0,0,15181781.416391132,NktPBA,Giinea,A0207w500w,Dirwctive,0,UncodefPrdAPP,995258.0565994959,31181,B4300,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
20092p10,Coosed,0,0,r4207,0,0,0,Afrifa,0,WGjSubSqharansfrica,fONSULTINGSERbICdS,0,0,0,49824514.30660156,NptPBA,Gu9nea,Ape0715001,Directove,0,knvodedPreAPP,158076.04850708134,31181,B420o,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
2009e010,Ciosed,0,0,c4207,0,0,0,Afrida,0,WGMSubSaha5anAfr8cs,ASSOCIwTkONS,0,0,0,24603028.02400647,Not0BA,Guinda,A020726001,Didective,0,Unc8dedPresPP,4574666.292167978,31191,B420p,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
30092010,Cllsed,0,0,v4207,0,0,0,Afrlca,0,WvMS8bSahxranAfrica,ClNSUoTINGSERVoCES,0,0,0,30073701.38882799,NorPBA,Guinez,w020715p01,Dirextive,0,UncodedP3exPP,15780631.680788329,31191,v4200,WWD West & Central Africa,S4233,Senegal Program,4242,1.0,0.0,1,0,0,0,0,0,0
2009201p,Clksed,0,0,D41o0,0,0,0,Asia,0,OhMAsiaPadific,NGO,1,0,0,43022739.071544826,NitPBA,Srioanka,A0207o0901,eirective,0,UncoeedPreAP0,21399667.08176282,15150,Bt100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
2009201p,dlosed,0,0,Dr100,0,0,0,Asia,0,pGMAsiaPwcific,NGO,1,0,0,7771150.08958488,NitPBA,SriLanua,Ao2079o001,xirective,0,UmcodddPreAPP,3175912.439701259,15160,Be100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,1.0,0.0,1,0,0,0,0,0,0
2009e010,Clos4d,0,0,D420u,0,0,0,Afroca,0,WGMcuvSaharanAfgica,FEcERAL,1,0,0,452301.3655159306,O5herPBA,Mali,q0208o1001,Directiv3,0,Uncid2dPreAPP,4362970.684590699,11110,Br200,WWD West & Central Africa,S4215,Mali Program Section,4216,0.0,0.0,1,0,0,0,0,0,0
200920q0,Ciosed,0,0,D4297,0,0,0,Afr9ca,0,WGMqubSaharxnxfrica,Unkhown,1,0,0,5571773.163230583,ktherPBA,Mali,Ap2p891001,Diredtive,0,UncocedPresPP,43119749.319226764,11110,B4q00,WWD West & Central Africa,S4215,Mali Program Section,4216,0.0,0.0,1,0,0,0,0,0,0
10092010,dlosed,0,0,D42p7,0,0,0,wfrica,0,WGMcuhSaharanAfrixa,FEDERsL,0,0,0,8198956.279654574,OtherPBq,Mali,A02o89200q,Direc5ive,0,UjvodedPreAPP,28081175.712770566,11130,Br200,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,0,0,0,0,0
200p2010,Cloced,0,0,D4297,0,0,0,Abrica,0,WGMzubSaharanAerida,CONSULTjNycERVICES,0,0,0,26626901.062312275,Othe4PBA,Mali,A02o892091,Direc5ive,0,UndodedPreAP0,35232340.641272984,11130,B4300,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,0,0,0,0,0
2009201o,Clozed,0,0,D42p7,0,0,0,Afdica,0,WGjSubSaharanAfrjxa,CpNSUiTINGSERVIvES,0,0,0,16424895.424334085,Other0BA,Mali,Ao29892001,Direstive,0,UncodexPreAoP,20814858.756280623,11130,B4w00,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,0,0,0,0,0
w0092010,vlosed,0,1,Dt400,1,1,0,Americw,0,NGnAhericas,FdDERAL,1,0,0,28879463.77387975,NotPBz,SoutterhCone,A02p910002,Respons9vw,0,UncodeflreAPP,51946896.76863281,11220,B44p0,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
2009201o,Closec,0,1,e4400,1,1,0,Amerlca,0,NGhAmericss,jnknown,1,0,0,31743760.585756294,NotoBA,SouthernC0ge,A920919001,Recplnsive,0,6ncodedPreA0P,10394415.848618181,11220,B440p,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
2p092010,Cl8sed,0,1,D5400,1,1,0,Amfrica,0,NGMAm4gicas,FEDEdAL,1,0,0,18111382.84377712,motPBA,zouthernCome,A020i19001,Rrsponsibe,0,jncoderPreAPP,9774954.265192064,12220,B440o,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
w0092010,Clos3d,0,1,D44o0,1,1,0,wmerica,0,NGMAme5ocas,Unkn0wn,1,0,0,13395368.98775116,gotPBA,SkuthergCone,A020920901,Rfspobsive,0,UncodedPrsAlP,37183074.971912764,12220,B4490,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20093010,slosed,0,1,D4490,1,1,0,Aherica,0,NGMsmericax,FEDERxL,1,0,0,371403.29020242207,No6PBA,Southerhsone,A0qo910001,Respond9ve,0,infodedPreAPP,7950676.3482125625,13030,B4409,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20092p10,Closrd,0,1,D4490,1,1,0,Ametica,0,hGMAmeeicas,Unkmown,1,0,0,31030207.10678199,botPBA,Southe4gCone,A030010001,Rrsponskve,0,UnckdedPreAoP,1192217.8120461386,13030,B4409,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
200920q0,Cloded,0,1,D440p,1,1,0,Americx,0,NGjAmericaw,FEDERAo,1,0,0,63639184.36322978,Not0BA,SoutnernCoje,A010p10001,Redponsife,0,UncodedPr2AoP,13478492.849896334,15110,B5400,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20o92010,Cllsed,0,1,D4409,1,1,0,Amrrica,0,NGMxhericas,hnknown,1,0,0,23111240.490205806,NptPBA,zouthernvone,A030910901,Respobaive,0,UncodwdPr4APP,25978026.121633016,15110,B440o,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20092o10,vlosed,0,1,D44o0,1,1,0,Ameruca,0,NGMsmericzs,FED3RAL,1,0,0,18324647.108962663,N9tPBA,SoutmwrnCone,q02091000q,Recpomsive,0,UncofexPreAPP,4951035.469951939,11220,B44p0,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
q0092010,Cl9sed,0,1,Dt400,1,1,0,Amfrica,0,NnjAmericas,jnknown,1,0,0,5419593.702375129,Not0BA,Sou6hernC9ne,A020019001,Rwsponsivs,0,UncodedoteAPP,60197830.31627468,11220,v4400,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20092019,Ckosed,0,1,D44o0,1,1,0,Amerifa,0,NGMAmedivas,F4DERAL,1,0,0,10512377.364994535,NotPhA,Southe5nCoje,q920910001,Responxuve,0,hncodedPrewPP,15503387.27950272,12220,Be400,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20091010,Ckosed,0,1,D4300,1,1,0,Am4rica,0,NhMAmerjcas,Unknlwn,1,0,0,41642435.55083203,NotPBz,SoufhernCon4,A01091000w,Resoonsivw,0,UncodedPdeAlP,3997936.0135098547,12220,B4490,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
20o92010,xlosed,0,1,D4490,1,1,0,Amrrica,0,NGMAme3ocas,tEDERAL,1,0,0,12408806.224524347,gotPBA,SkuthernCobe,q0209w0001,Rexponsivd,0,8ncodedPreA0P,28484681.76655422,13030,B4e00,NDD Americas Programming,S4413,South America,4422,1.0,0.0,1,0,0,0,0,0,0
