assay_id,tissue_id,curated_by,assay_tissue,tid,description,chembl_id,relationship_type,confidence_score,cell_id,assay_cell_type,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
20,,Autocuration,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615134,H,8,,,16474,B,,,,
21,,Autocuration,,12054,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615135,H,8,,,16474,B,,,,
22,,Autocuration,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615136,H,8,,,16474,B,,,,
23,,Autocuration,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,CHEMBL615137,H,8,,,16474,B,,,,
24,,Autocuration,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,CHEMBL615138,H,8,,,16474,B,,,,
25,,Autocuration,,22226,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",CHEMBL836324,U,0,,,14352,B,,,,
26,,Autocuration,,12054,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,CHEMBL615139,H,8,,,5646,B,,,Oryctolagus cuniculus,9986.0
27,,Autocuration,,12054,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),CHEMBL615140,H,8,,,5646,B,,,Oryctolagus cuniculus,9986.0
28,,Autocuration,,12426,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,CHEMBL615141,H,8,,,10997,B,,,,
29,,Autocuration,,12054,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,CHEMBL615142,H,8,,,6309,B,,,soya bean,3847.0
30,,Autocuration,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated,CHEMBL615143,H,8,,,167,B,,,Glycine max,3847.0
31,,Autocuration,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,CHEMBL615144,H,8,,,167,B,,,Glycine max,3847.0
32,,Autocuration,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,CHEMBL872867,H,8,,,11087,B,,,Glycine max,3847.0
33,,Autocuration,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,CHEMBL615145,H,8,,,11087,B,,,Glycine max,3847.0
34,,Autocuration,,12054,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,CHEMBL615146,H,8,,,13622,B,,,Glycine max,3847.0
35,,Autocuration,,12054,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,CHEMBL615147,H,8,,,13622,B,,,Glycine max,3847.0
36,,Autocuration,,22226,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,CHEMBL615148,U,0,,,11347,A,,,Rattus norvegicus,10116.0
37,,Autocuration,,22226,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,CHEMBL615149,U,0,,,5926,B,,,Escherichia coli,562.0
38,,Autocuration,,22226,Dissociation constant with dimeric 16S rRNA RNA construct B,CHEMBL615150,U,0,,,4567,B,,,,
39,,Intermediate,,22222,Dissociation constant towards 16S rRNA construct A,CHEMBL615151,M,3,,,3782,B,,,,
40,,Intermediate,,22222,Dissociation constant towards 16S rRNA construct B,CHEMBL615152,M,3,,,3782,B,,,,
41,,Expert,,100263,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,CHEMBL615153,M,3,,,4466,B,,,Escherichia coli,562.0
42,,Expert,,100263,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,CHEMBL615154,M,3,,,6592,B,,,Escherichia coli,562.0
43,,Autocuration,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL615155,H,8,,,898,B,,,,
44,,Autocuration,,13053,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL615156,H,8,,,898,B,,,,
45,,Autocuration,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,CHEMBL615157,H,8,,,13163,B,,,Homo sapiens,9606.0
46,,Autocuration,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,CHEMBL615158,H,8,,,13163,B,,,Homo sapiens,9606.0
47,,Expert,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",CHEMBL615159,D,9,,,10691,B,,,Rattus norvegicus,10116.0
48,,Expert,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",CHEMBL615172,D,9,,,10691,B,,,Rattus norvegicus,10116.0
49,,Expert,,12971,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",CHEMBL615173,D,9,,,10691,B,,,Rattus norvegicus,10116.0
50,,Expert,,12971,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",CHEMBL615174,D,9,,,10691,B,,,Rattus norvegicus,10116.0
51,,Autocuration,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL884518,H,8,,,898,B,,,,
52,,Autocuration,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),CHEMBL615175,H,8,,,912,B,,,,
53,,Autocuration,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,CHEMBL615176,H,8,,,912,B,,,,
54,,Autocuration,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,CHEMBL615177,H,8,,,912,B,,,,
55,,Autocuration,,104740,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,CHEMBL615178,D,5,,,15103,B,,,Rattus norvegicus,10116.0
56,,Intermediate,,80002,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,CHEMBL615179,N,1,506.0,1A9,5116,F,,,Homo sapiens,9606.0
57,,Autocuration,,104835,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,CHEMBL615180,D,7,,Oocytes,14578,F,,,Rattus norvegicus,10116.0
58,,Autocuration,,104821,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,CHEMBL615181,D,7,,Oocytes,14578,F,,,Rattus norvegicus,10116.0
59,,Autocuration,,104848,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,CHEMBL615182,D,7,,Oocytes,14578,F,,,Rattus norvegicus,10116.0
60,,Expert,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,CHEMBL615183,N,1,506.0,1A9,4787,F,,,Homo sapiens,9606.0
61,,Intermediate,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,CHEMBL615184,N,1,506.0,1A9,4787,F,,,Homo sapiens,9606.0
62,,Intermediate,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line,CHEMBL615185,N,1,506.0,1A9,3547,F,,,Homo sapiens,9606.0
63,,Intermediate,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,CHEMBL615186,N,1,506.0,1A9,3547,F,,,Homo sapiens,9606.0
64,,Intermediate,,80002,Effective dose of compound against replication of 1A9 cell line was evaluated,CHEMBL615187,N,1,506.0,1A9,6726,F,,,Homo sapiens,9606.0
65,,Expert,,80002,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,CHEMBL885343,N,1,506.0,1A9,3455,F,,,Homo sapiens,9606.0
66,,Intermediate,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),CHEMBL615188,N,1,506.0,1A9,5726,F,,,Homo sapiens,9606.0
67,,Intermediate,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,CHEMBL615189,N,1,506.0,1A9,5726,F,,,Homo sapiens,9606.0
68,,Intermediate,,80002,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,CHEMBL615190,N,1,506.0,1A9,5726,F,,,Homo sapiens,9606.0
69,,Intermediate,,80002,Inhibitory activity against Taxol resistant 1A9 cell lines,CHEMBL615191,N,1,506.0,1A9,3395,F,,,Homo sapiens,9606.0
70,,Expert,,80002,Cytotoxicity against human ovarian cancer (1A9) cell lines.,CHEMBL615192,N,1,506.0,1A9,3415,F,,,Homo sapiens,9606.0
71,,Expert,,80002,Percentage inhibition of human ovarian cancer (1A9) cell lines.,CHEMBL827083,N,1,506.0,1A9,3415,F,,,Homo sapiens,9606.0
72,,Expert,,80002,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,CHEMBL615193,N,1,506.0,1A9,17099,F,,,Homo sapiens,9606.0
73,,Intermediate,,80002,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,CHEMBL615194,N,1,506.0,1A9,17099,F,,,Homo sapiens,9606.0
74,,Intermediate,,80002,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,CHEMBL615195,N,1,506.0,1A9,17099,F,,,Homo sapiens,9606.0
75,,Intermediate,,80002,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,CHEMBL615196,N,1,506.0,1A9,17099,F,,,Homo sapiens,9606.0
76,,Intermediate,,81072,Inhibitory concentration against Jurkat cells,CHEMBL615197,N,1,503.0,Jurkat,17721,F,,,Homo sapiens,9606.0
77,,Intermediate,,22226,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,CHEMBL615198,U,0,,,1229,F,,,,
78,,Expert,,100121,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,CHEMBL615199,D,9,,,11347,A,,,Rattus norvegicus,10116.0
79,,Expert,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",CHEMBL615200,H,8,,,17117,B,,,,
80,,Expert,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",CHEMBL615201,H,8,,,17117,B,,,,
81,,Expert,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",CHEMBL615202,H,8,,,17117,B,,,,
82,,Autocuration,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",CHEMBL615203,H,8,,,11375,B,,,Candida albicans,5476.0
83,,Autocuration,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",CHEMBL615204,H,8,,,11375,B,,,Candida albicans,5476.0
84,,Autocuration,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",CHEMBL615205,H,8,,,11375,B,,,Saccharomyces cerevisiae,4932.0
85,,Autocuration,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",CHEMBL615206,H,8,,,11375,B,,,Saccharomyces cerevisiae,4932.0
86,2107.0,Autocuration,Liver,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",CHEMBL615207,H,8,,,11375,B,,,Sus scrofa,9823.0
87,,Autocuration,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",CHEMBL827084,H,8,,,791,B,,,Rattus norvegicus,10116.0
88,,Autocuration,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",CHEMBL615208,H,8,,,791,B,,,Rattus norvegicus,10116.0
89,,Autocuration,,11231,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",CHEMBL615209,H,8,,,791,B,,,Rattus norvegicus,10116.0
90,2107.0,Autocuration,Liver,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",CHEMBL615210,D,9,,,11375,B,,,Rattus norvegicus,10116.0
91,2107.0,Autocuration,Liver,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",CHEMBL615211,D,9,,,11375,B,,,Rattus norvegicus,10116.0
92,2107.0,Autocuration,Liver,12083,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",CHEMBL615212,D,9,,,153,B,,,Rattus norvegicus,10116.0
93,,Expert,,11377,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),CHEMBL615213,H,8,,,8269,B,,,,
94,,Expert,,11377,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,CHEMBL615273,H,8,,,8269,B,,,,
95,,Expert,,81020,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,CHEMBL615274,N,1,726.0,HepG2,17653,F,,,Homo sapiens,9606.0
96,,Intermediate,,81020,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,CHEMBL615275,N,1,726.0,HepG2,14277,F,,,Homo sapiens,9606.0
97,,Intermediate,,81020,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,CHEMBL615276,N,1,726.0,HepG2,1717,F,,,Homo sapiens,9606.0
98,,Intermediate,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,CHEMBL615277,N,1,726.0,HepG2,14091,F,,,Homo sapiens,9606.0
99,,Intermediate,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,CHEMBL615326,N,1,726.0,HepG2,14091,F,,,Homo sapiens,9606.0
100,,Expert,,50606,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,CHEMBL883130,N,1,,,17653,F,,,Hepatitis B virus,10407.0
101,,Intermediate,,81020,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,CHEMBL884519,N,1,726.0,HepG2,13105,F,,,Homo sapiens,9606.0
102,,Intermediate,,81020,Concentration required to inhibit 50% of 2.2.15 cell line,CHEMBL615327,N,1,726.0,HepG2,1717,F,,,Homo sapiens,9606.0
103,,Intermediate,,81020,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,CHEMBL615328,N,1,726.0,HepG2,13105,A,,,Homo sapiens,9606.0
104,,Intermediate,,50587,Cytotoxic activity of compound against uninfected 2.2.15 cells.,CHEMBL615329,N,1,,2.2.15,13600,F,,,Homo sapiens,9606.0
105,,Intermediate,,50587,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,CHEMBL615330,N,1,,2.2.15,13467,F,,,Homo sapiens,9606.0
106,,Expert,,50606,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",CHEMBL615331,N,1,,2.2.15,17477,F,,,Hepatitis B virus,10407.0
107,,Intermediate,,50587,In vitro anti-HBV activity in 2.2.15 cells,CHEMBL615332,N,1,,2.2.15,1593,F,,,Homo sapiens,9606.0
108,,Intermediate,,50587,In vitro anti-HBV activity in 2.2.15 cells; Not determined,CHEMBL615333,N,1,,2.2.15,1593,F,,,Homo sapiens,9606.0
109,,Intermediate,,50587,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,CHEMBL615334,N,1,,2.2.15,15089,F,,,Homo sapiens,9606.0
110,,Intermediate,,50587,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,CHEMBL615335,N,1,,2.2.15,15089,F,,,Homo sapiens,9606.0
111,,Intermediate,,50587,Cytotoxicity in 2.2.15 cells,CHEMBL615336,N,1,,2.2.15,1593,F,,,Homo sapiens,9606.0
112,,Intermediate,,50587,Cytotoxicity in 2.2.15 cells; Not determined,CHEMBL615337,N,1,,2.2.15,1593,F,,,Homo sapiens,9606.0
113,,Intermediate,,50587,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,CHEMBL615338,N,1,,2.2.15,13600,F,,,Homo sapiens,9606.0
114,,Intermediate,,50587,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,CHEMBL615339,N,1,,2.2.15,13467,F,,,Homo sapiens,9606.0
115,,Intermediate,,50587,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,CHEMBL615340,N,1,,2.2.15,13467,F,,,Homo sapiens,9606.0
116,,Intermediate,,81020,Antiviral activity against HBV was determined in 2.215 cell line,CHEMBL615341,N,1,726.0,HepG2,14764,F,,,Homo sapiens,9606.0
117,,Autocuration,,22226,Inhibition of 20-HETE synthesis in human renal microsomes,CHEMBL615342,U,0,,,6531,B,,,Homo sapiens,9606.0
118,,Autocuration,,22226,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,CHEMBL615343,U,0,,,17322,B,,,,
119,,Intermediate,,80612,Inhibitory concentration against 2008 (ovarian) cells,CHEMBL615344,N,1,388.0,2008,17072,F,,,Homo sapiens,9606.0
120,,Intermediate,,80612,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,CHEMBL615345,N,1,388.0,2008,16936,F,,,Homo sapiens,9606.0
121,,Intermediate,,80612,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),CHEMBL615346,N,1,388.0,2008,16936,F,,,Homo sapiens,9606.0
122,,Intermediate,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,CHEMBL615347,N,1,388.0,2008,17146,F,,,Homo sapiens,9606.0
123,,Intermediate,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,CHEMBL615348,N,1,388.0,2008,17146,F,,,Homo sapiens,9606.0
124,,Intermediate,,80613,In vitro inhibition of 2008/R ovarian cancer cell line,CHEMBL827085,N,1,561.0,2008/R,10797,F,,,Homo sapiens,9606.0
125,,Intermediate,,80613,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,CHEMBL615349,N,1,561.0,2008/R,10797,F,,,Homo sapiens,9606.0
126,,Intermediate,,80614,In vitro inhibition of 2008/S ovarian cancer cell line,CHEMBL615350,N,1,389.0,2008/S,10797,F,,,Homo sapiens,9606.0
127,,Intermediate,,80614,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,CHEMBL615351,N,1,389.0,2008/S,10797,F,,,Homo sapiens,9606.0
128,,Expert,,100256,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,CHEMBL615352,S,2,,,4823,B,,,Homo sapiens,9606.0
129,,Intermediate,,100256,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,CHEMBL615353,S,2,,,12912,B,,,Homo sapiens,9606.0
130,,Expert,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome,CHEMBL615354,S,2,,,2957,B,,,,
131,,Expert,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,CHEMBL615355,S,2,,,2957,B,,,,
132,,Intermediate,,100256,Inhibitory activity against 20S proteosome,CHEMBL615356,S,2,,,3260,B,,,,
133,,Autocuration,,22226,Compound was tested for inhibitory activity against tryptase,CHEMBL615357,U,0,,,3451,B,,,Homo sapiens,9606.0
134,,Intermediate,,81020,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,CHEMBL615358,N,1,726.0,HepG2,13885,F,,,Homo sapiens,9606.0
135,,Intermediate,,81020,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,CHEMBL827086,N,1,726.0,HepG2,13885,F,,,Homo sapiens,9606.0
136,,Autocuration,,22226,Compound was tested for the inhibition of Alpha-glucosidase,CHEMBL615359,U,0,,,3676,B,,,,
137,,Autocuration,,235,Inhibitory concentration against human neutrophil elastase (HNE),CHEMBL615360,H,8,,,6043,B,,,,
138,948.0,Autocuration,Heart,22226,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,CHEMBL615361,U,0,,,11140,F,,,Rattus norvegicus,10116.0
139,,Autocuration,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,CHEMBL615362,H,8,,,10543,F,,,,
140,,Expert,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,CHEMBL615363,H,8,,,10543,F,,,,
141,,Autocuration,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,CHEMBL615364,H,8,,,10543,B,,,,
142,,Expert,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,CHEMBL615365,H,8,,,10543,F,,,,
143,,Intermediate,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,CHEMBL615366,N,1,524.0,P338,11365,F,,,Mus musculus,10090.0
144,,Intermediate,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,CHEMBL615367,N,1,524.0,P338,11365,F,,,Mus musculus,10090.0
145,,Intermediate,,80384,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,CHEMBL615368,N,1,554.0,PBL,11803,F,,,Homo sapiens,9606.0
146,,Autocuration,,22226,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,CHEMBL615369,U,0,,,11803,F,,,Ovis aries,9940.0
147,,Autocuration,,22226,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,CHEMBL615370,U,0,,,11803,F,,,Ovis aries,9940.0
148,,Autocuration,,191,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),CHEMBL615673,H,8,,,12278,B,,,,
149,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,CHEMBL615674,U,0,,,8249,F,,,Homo sapiens,9606.0
150,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,CHEMBL615675,U,0,,,8249,F,,,Homo sapiens,9606.0
151,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,CHEMBL615676,U,0,635.0,CCRF-CEM,8249,F,,,Homo sapiens,9606.0
152,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,CHEMBL615677,U,0,635.0,CCRF-CEM,8249,F,,,Homo sapiens,9606.0
153,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,CHEMBL615678,U,0,635.0,CCRF-CEM,8249,F,,,Homo sapiens,9606.0
154,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,CHEMBL615679,U,0,635.0,CCRF-CEM,8249,F,,,Homo sapiens,9606.0
155,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,CHEMBL615680,U,0,,,8249,F,,,Homo sapiens,9606.0
156,,Autocuration,,22226,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,CHEMBL615681,U,0,,,8249,F,,,Homo sapiens,9606.0
157,,Autocuration,,104290,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,CHEMBL857972,H,6,,,16992,B,,,,
158,,Intermediate,,50264,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,CHEMBL857899,N,1,,,10543,F,,,Streptococcus pyogenes,1314.0
159,,Intermediate,,50527,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),CHEMBL615371,N,1,,,17833,F,,,Human herpesvirus 3,10335.0
