assays_ASSI,assays_CEI,assays_BFO,assays_ASTI,assays_SRASI,assays_ASSTR,assays_CHEI,assays_ASSSUBCELFRA,assays_AST,assays_VAI,assays_Ti,assays_ASSCTY,assays_RELATITY,assays_CONFSCO,assays_CUB,assays_SRI,assays_TII
7600,,BAO_0000218,,,,CHEMBL621606,,A,,22224,,U,0,Autocuration,1,
7601,,BAO_0000218,,,,CHEMBL621607,,A,,22224,,U,0,Autocuration,1,
7602,,BAO_0000218,,,,CHEMBL621608,,A,,22224,,U,0,Autocuration,1,
7603,,BAO_0000019,,,,CHEMBL621609,,A,,22224,,U,0,Autocuration,1,
7604,,BAO_0000218,,,,CHEMBL621610,,A,,22224,,U,0,Autocuration,1,
7605,,BAO_0000218,,,,CHEMBL621611,,A,,50597,,N,1,Intermediate,1,
7606,,BAO_0000218,,,,CHEMBL621612,,A,,50597,,N,1,Intermediate,1,
7607,,BAO_0000218,,,,CHEMBL622308,,A,,50597,,N,1,Intermediate,1,
7608,,BAO_0000218,,,,CHEMBL622309,,A,,50597,,N,1,Intermediate,1,
7609,,BAO_0000218,,,,CHEMBL622310,,A,,50597,,N,1,Intermediate,1,
7610,,BAO_0000218,,,,CHEMBL622311,,A,,50597,,N,1,Intermediate,1,
7611,,BAO_0000218,,,,CHEMBL622312,,A,,50597,,N,1,Intermediate,1,
7612,,BAO_0000218,,,,CHEMBL622931,,A,,50597,,N,1,Intermediate,1,
7613,,BAO_0000218,,,,CHEMBL622932,,A,,50597,,N,1,Intermediate,1,
7614,,BAO_0000218,Plasma,,,CHEMBL622736,,A,,50597,,N,1,Intermediate,1,1969.0
7615,,BAO_0000218,Plasma,,,CHEMBL622737,,A,,50597,,N,1,Intermediate,1,1969.0
7616,,BAO_0000218,Plasma,,,CHEMBL622738,,A,,50597,,N,1,Intermediate,1,1969.0
7617,,BAO_0000218,Plasma,,,CHEMBL622739,,A,,50597,,N,1,Intermediate,1,1969.0
7618,,BAO_0000218,Plasma,,,CHEMBL622740,,A,,50597,,N,1,Intermediate,1,1969.0
7619,,BAO_0000218,Plasma,,,CHEMBL622741,,A,,50597,,N,1,Intermediate,1,1969.0
7620,,BAO_0000218,Plasma,,,CHEMBL622742,,A,,50597,,N,1,Intermediate,1,1969.0
7621,,BAO_0000218,Plasma,,,CHEMBL622743,,A,,50597,,N,1,Intermediate,1,1969.0
7622,,BAO_0000218,Plasma,,,CHEMBL622744,,A,,50594,,N,1,Intermediate,1,1969.0
7623,,BAO_0000019,,,,CHEMBL624134,,A,,22224,,U,0,Autocuration,1,
7624,,BAO_0000019,,,,CHEMBL624135,,A,,22224,,U,0,Autocuration,1,
7625,,BAO_0000218,,,,CHEMBL624136,,A,,50597,,N,1,Intermediate,1,
7626,,BAO_0000218,,,,CHEMBL624137,,A,,50597,,N,1,Intermediate,1,
7627,,BAO_0000218,,,,CHEMBL624320,,A,,50597,,N,1,Intermediate,1,
7628,,BAO_0000218,,,,CHEMBL624321,,A,,50588,,N,1,Intermediate,1,
7629,,BAO_0000218,,,,CHEMBL624322,,A,,50597,,N,1,Intermediate,1,
7630,,BAO_0000218,,,,CHEMBL624323,,A,,50597,,N,1,Intermediate,1,
7631,,BAO_0000218,,,,CHEMBL624324,,A,,50597,,N,1,Intermediate,1,
7632,,BAO_0000218,,,,CHEMBL624325,,A,,50597,,N,1,Intermediate,1,
7633,,BAO_0000218,,,,CHEMBL624326,,A,,50597,,N,1,Intermediate,1,
7634,,BAO_0000218,,,,CHEMBL624327,,A,,50597,,N,1,Intermediate,1,
7635,,BAO_0000218,,,,CHEMBL624328,,A,,50597,,N,1,Intermediate,1,
7636,,BAO_0000218,,,,CHEMBL627848,,A,,50588,,N,1,Intermediate,1,
7637,,BAO_0000218,,,,CHEMBL627849,,A,,50597,,N,1,Intermediate,1,
7638,,BAO_0000218,,,,CHEMBL627850,,A,,50597,,N,1,Intermediate,1,
7639,,BAO_0000218,,,,CHEMBL627851,,A,,50597,,N,1,Intermediate,1,
7640,,BAO_0000218,,,,CHEMBL627852,,A,,50594,,N,1,Intermediate,1,
7641,,BAO_0000218,,,,CHEMBL627853,,A,,50594,,N,1,Intermediate,1,
7642,,BAO_0000218,,,,CHEMBL627854,,A,,50594,,N,1,Intermediate,1,
7643,,BAO_0000218,,,,CHEMBL627855,,A,,50594,,N,1,Intermediate,1,
7644,,BAO_0000218,,,,CHEMBL627856,,A,,50594,,N,1,Intermediate,1,
7645,,BAO_0000218,,,,CHEMBL875339,,A,,50594,,N,1,Intermediate,1,
7646,,BAO_0000218,,,,CHEMBL627857,,A,,50594,,N,1,Intermediate,1,
7647,,BAO_0000218,Spleen,,,CHEMBL627858,,A,,50597,,N,1,Intermediate,1,2106.0
7648,,BAO_0000218,Blood,,,CHEMBL627859,,A,,50597,,N,1,Intermediate,1,178.0
7649,,BAO_0000218,Brain,,,CHEMBL627860,,A,,50597,,N,1,Intermediate,1,955.0
7650,,BAO_0000218,Heart,,,CHEMBL627019,,A,,50597,,N,1,Intermediate,1,948.0
7651,,BAO_0000218,Liver,,,CHEMBL627020,,A,,50597,,N,1,Intermediate,1,2107.0
7652,,BAO_0000218,Lung,,,CHEMBL627021,,A,,50597,,N,1,Intermediate,1,2048.0
7653,,BAO_0000218,Muscle tissue,,,CHEMBL627022,,A,,50597,,N,1,Intermediate,1,2385.0
7654,,BAO_0000218,,,,CHEMBL627023,,A,,50597,,N,1,Intermediate,1,
7655,,BAO_0000218,Spleen,,,CHEMBL627024,,A,,50597,,N,1,Intermediate,1,2106.0
7656,,BAO_0000218,Thyroid gland,,,CHEMBL627025,,A,,50597,,N,1,Intermediate,1,2046.0
7657,,BAO_0000218,Kidney,,,CHEMBL627026,,A,,50597,,N,1,Intermediate,1,2113.0
7658,,BAO_0000218,Blood,,,CHEMBL627027,,A,,50597,,N,1,Intermediate,1,178.0
7659,,BAO_0000218,Brain,,,CHEMBL627028,,A,,50597,,N,1,Intermediate,1,955.0
7660,,BAO_0000218,Heart,,,CHEMBL627029,,A,,50597,,N,1,Intermediate,1,948.0
7661,,BAO_0000218,Kidney,,,CHEMBL627030,,A,,50597,,N,1,Intermediate,1,2113.0
7662,,BAO_0000218,Liver,,,CHEMBL627031,,A,,50597,,N,1,Intermediate,1,2107.0
7663,,BAO_0000218,Lung,,,CHEMBL627032,,A,,50597,,N,1,Intermediate,1,2048.0
7664,,BAO_0000218,Muscle tissue,,,CHEMBL627033,,A,,50597,,N,1,Intermediate,1,2385.0
7665,,BAO_0000218,,,,CHEMBL627034,,A,,50597,,N,1,Intermediate,1,
7666,,BAO_0000218,Spleen,,,CHEMBL627035,,A,,50597,,N,1,Intermediate,1,2106.0
7667,,BAO_0000218,Thyroid gland,,,CHEMBL627036,,A,,50597,,N,1,Intermediate,1,2046.0
7668,,BAO_0000218,Blood,,,CHEMBL875340,,A,,50597,,N,1,Intermediate,1,178.0
7669,,BAO_0000218,Heart,,,CHEMBL627037,,A,,50597,,N,1,Intermediate,1,948.0
7670,,BAO_0000218,Kidney,,,CHEMBL627038,,A,,50597,,N,1,Intermediate,1,2113.0
7671,,BAO_0000218,Liver,,,CHEMBL627039,,A,,50597,,N,1,Intermediate,1,2107.0
7672,,BAO_0000218,Muscle tissue,,,CHEMBL627040,,A,,50597,,N,1,Intermediate,1,2385.0
7673,,BAO_0000218,Spleen,,,CHEMBL624663,,A,,50597,,N,1,Intermediate,1,2106.0
7674,,BAO_0000218,Thyroid gland,,,CHEMBL625963,,A,,50597,,N,1,Intermediate,1,2046.0
7675,,BAO_0000218,Brain,,,CHEMBL876799,,A,,50597,,N,1,Intermediate,1,955.0
7676,,BAO_0000218,Lung,,,CHEMBL626133,,A,,50597,,N,1,Intermediate,1,2048.0
7677,,BAO_0000218,,,,CHEMBL626134,,A,,50597,,N,1,Intermediate,1,
7678,,BAO_0000218,,,,CHEMBL626135,,A,,50597,,N,1,Intermediate,1,
7679,,BAO_0000218,,,,CHEMBL626136,,A,,50597,,N,1,Intermediate,1,
7680,,BAO_0000218,,,,CHEMBL626137,,A,,50597,,N,1,Intermediate,1,
7681,,BAO_0000218,,,,CHEMBL626138,,A,,50597,,N,1,Intermediate,1,
7682,,BAO_0000218,,,,CHEMBL626139,,A,,50597,,N,1,Intermediate,1,
7683,,BAO_0000218,,,,CHEMBL626140,,A,,50597,,N,1,Intermediate,1,
7684,,BAO_0000218,,,,CHEMBL626141,,A,,50597,,N,1,Intermediate,1,
7685,,BAO_0000218,,,,CHEMBL626142,,A,,50597,,N,1,Intermediate,1,
7686,,BAO_0000218,Muscle tissue,,,CHEMBL627930,,A,,50597,,N,1,Intermediate,1,2385.0
7687,,BAO_0000218,Muscle tissue,,,CHEMBL627931,,A,,50597,,N,1,Intermediate,1,2385.0
7688,,BAO_0000218,Muscle tissue,,,CHEMBL627932,,A,,50597,,N,1,Intermediate,1,2385.0
7689,,BAO_0000218,Spleen,,,CHEMBL627933,,A,,50597,,N,1,Intermediate,1,2106.0
7690,,BAO_0000218,Spleen,,,CHEMBL627934,,A,,50597,,N,1,Intermediate,1,2106.0
7691,,BAO_0000218,Spleen,,,CHEMBL627935,,A,,50597,,N,1,Intermediate,1,2106.0
7692,,BAO_0000218,Blood,,,CHEMBL627936,,A,,50597,,N,1,Intermediate,1,178.0
7693,,BAO_0000218,Blood,,,CHEMBL627937,,A,,50597,,N,1,Intermediate,1,178.0
7694,,BAO_0000218,Blood,,,CHEMBL627938,,A,,50597,,N,1,Intermediate,1,178.0
7695,,BAO_0000218,Blood,,,CHEMBL627939,,A,,50597,,N,1,Intermediate,1,178.0
7696,,BAO_0000218,Blood,,,CHEMBL627940,,A,,50597,,N,1,Intermediate,1,178.0
7697,,BAO_0000218,Blood,,,CHEMBL627941,,A,,50597,,N,1,Intermediate,1,178.0
7698,,BAO_0000218,Blood,,,CHEMBL876800,,A,,50597,,N,1,Intermediate,1,178.0
7699,,BAO_0000218,Blood,,,CHEMBL627942,,A,,50597,,N,1,Intermediate,1,178.0
7700,,BAO_0000218,Blood,,,CHEMBL627943,,A,,50597,,N,1,Intermediate,1,178.0
7701,,BAO_0000218,Blood,,,CHEMBL627944,,A,,50597,,N,1,Intermediate,1,178.0
7702,,BAO_0000218,Blood,,,CHEMBL627945,,A,,50597,,N,1,Intermediate,1,178.0
7703,,BAO_0000218,Blood,,,CHEMBL628584,,A,,50597,,N,1,Intermediate,1,178.0
7704,,BAO_0000218,Blood,,,CHEMBL628585,,A,,50597,,N,1,Intermediate,1,178.0
7705,,BAO_0000218,Blood,,,CHEMBL628586,,A,,50597,,N,1,Intermediate,1,178.0
7706,,BAO_0000218,Blood,,,CHEMBL628587,,A,,50597,,N,1,Intermediate,1,178.0
7707,,BAO_0000218,Blood,,,CHEMBL628588,,A,,50597,,N,1,Intermediate,1,178.0
7708,,BAO_0000218,Blood,,,CHEMBL628589,,A,,50597,,N,1,Intermediate,1,178.0
7709,,BAO_0000218,Blood,,,CHEMBL625304,,A,,50597,,N,1,Intermediate,1,178.0
7710,,BAO_0000218,Blood,,,CHEMBL625305,,A,,50597,,N,1,Intermediate,1,178.0
7711,,BAO_0000218,Blood,,,CHEMBL625306,,A,,50597,,N,1,Intermediate,1,178.0
7712,,BAO_0000218,Blood,,,CHEMBL625307,,A,,50597,,N,1,Intermediate,1,178.0
7713,,BAO_0000218,Blood,,,CHEMBL625308,,A,,50597,,N,1,Intermediate,1,178.0
7714,,BAO_0000218,Blood,,,CHEMBL627740,,A,,50597,,N,1,Intermediate,1,178.0
7715,,BAO_0000218,Blood,,,CHEMBL627741,,A,,50597,,N,1,Intermediate,1,178.0
7716,,BAO_0000218,Blood,,,CHEMBL627742,,A,,50597,,N,1,Intermediate,1,178.0
7717,,BAO_0000218,Blood,,,CHEMBL627743,,A,,50597,,N,1,Intermediate,1,178.0
7718,,BAO_0000218,Blood,,,CHEMBL627744,,A,,50597,,N,1,Intermediate,1,178.0
7719,,BAO_0000218,Bone,,,CHEMBL627745,,A,,50597,,N,1,Intermediate,1,10000001.0
7720,,BAO_0000218,Bone,,,CHEMBL627746,,A,,50597,,N,1,Intermediate,1,10000001.0
7721,,BAO_0000218,Bone,,,CHEMBL627747,,A,,50597,,N,1,Intermediate,1,10000001.0
7722,,BAO_0000218,Bone,,,CHEMBL876810,,A,,50597,,N,1,Intermediate,1,10000001.0
7723,,BAO_0000218,Bone,,,CHEMBL627748,,A,,50597,,N,1,Intermediate,1,10000001.0
7724,,BAO_0000218,Bone,,,CHEMBL627749,,A,,50597,,N,1,Intermediate,1,10000001.0
7725,,BAO_0000218,Bone,,,CHEMBL627750,,A,,50597,,N,1,Intermediate,1,10000001.0
7726,,BAO_0000218,Bone,,,CHEMBL618728,,A,,50597,,N,1,Intermediate,1,10000001.0
7727,,BAO_0000218,Bone,,,CHEMBL618729,,A,,50597,,N,1,Intermediate,1,10000001.0
7728,,BAO_0000218,Bone,,,CHEMBL618730,,A,,50597,,N,1,Intermediate,1,10000001.0
7729,,BAO_0000218,Bone,,,CHEMBL618731,,A,,50597,,N,1,Intermediate,1,10000001.0
7730,,BAO_0000218,Bone,,,CHEMBL618732,,A,,50597,,N,1,Intermediate,1,10000001.0
7731,,BAO_0000218,Bone,,,CHEMBL618733,,A,,50597,,N,1,Intermediate,1,10000001.0
7732,,BAO_0000218,Bone,,,CHEMBL618734,,A,,50597,,N,1,Intermediate,1,10000001.0
7733,,BAO_0000218,Bone,,,CHEMBL618735,,A,,50597,,N,1,Intermediate,1,10000001.0
7734,,BAO_0000218,Bone,,,CHEMBL876602,,A,,50597,,N,1,Intermediate,1,10000001.0
7735,,BAO_0000218,Bone,,,CHEMBL618736,,A,,50597,,N,1,Intermediate,1,10000001.0
7736,,BAO_0000218,Bone,,,CHEMBL618737,,A,,50597,,N,1,Intermediate,1,10000001.0
7737,,BAO_0000218,Bone,,,CHEMBL618738,,A,,50597,,N,1,Intermediate,1,10000001.0
7738,,BAO_0000218,Bone,,,CHEMBL618739,,A,,50597,,N,1,Intermediate,1,10000001.0
7739,,BAO_0000218,Bone,,,CHEMBL618740,,A,,50597,,N,1,Intermediate,1,10000001.0
7740,,BAO_0000218,Bone,,,CHEMBL618741,,A,,50597,,N,1,Intermediate,1,10000001.0
7741,,BAO_0000218,Bone,,,CHEMBL618742,,A,,50597,,N,1,Intermediate,1,10000001.0
7742,,BAO_0000218,Bone,,,CHEMBL618743,,A,,50597,,N,1,Intermediate,1,10000001.0
7743,,BAO_0000218,Plasma,,,CHEMBL618744,,A,,50597,,N,1,Intermediate,1,1969.0
7744,,BAO_0000218,,,,CHEMBL618745,,A,,50597,,N,1,Intermediate,1,
7745,,BAO_0000218,,,,CHEMBL620479,,A,,50597,,N,1,Intermediate,1,
7746,,BAO_0000218,,,,CHEMBL620480,,A,,50597,,N,1,Intermediate,1,
7747,,BAO_0000218,,,,CHEMBL620481,,A,,50597,,N,1,Intermediate,1,
7748,,BAO_0000218,,,,CHEMBL620482,,A,,50597,,N,1,Intermediate,1,
7749,,BAO_0000218,,,,CHEMBL876603,,A,,50597,,N,1,Intermediate,1,
7750,,BAO_0000218,,,,CHEMBL620483,,A,,50597,,N,1,Intermediate,1,
7751,,BAO_0000218,,,,CHEMBL620484,,A,,50597,,N,1,Intermediate,1,
7752,,BAO_0000218,,,,CHEMBL620485,,A,,50597,,N,1,Intermediate,1,
7753,,BAO_0000218,,,,CHEMBL620486,,A,,50597,,N,1,Intermediate,1,
7754,,BAO_0000218,,,,CHEMBL620487,,A,,50597,,N,1,Intermediate,1,
7755,,BAO_0000218,,,,CHEMBL620488,,A,,50597,,N,1,Intermediate,1,
7756,,BAO_0000218,,,,CHEMBL620489,,A,,50597,,N,1,Intermediate,1,
7757,,BAO_0000218,,,,CHEMBL620490,,A,,50597,,N,1,Intermediate,1,
7758,,BAO_0000218,,,,CHEMBL620491,,A,,50597,,N,1,Intermediate,1,
7759,,BAO_0000218,Plasma,,,CHEMBL876604,,A,,50597,,N,1,Intermediate,1,1969.0
7760,,BAO_0000218,,,,CHEMBL620492,,A,,50597,,N,1,Intermediate,1,
7761,,BAO_0000218,,,,CHEMBL620493,,A,,50597,,N,1,Intermediate,1,
7762,,BAO_0000218,,,,CHEMBL620494,,A,,50597,,N,1,Intermediate,1,
7763,,BAO_0000218,Plasma,,,CHEMBL620495,,A,,50597,,N,1,Intermediate,1,1969.0
7764,,BAO_0000218,Plasma,,,CHEMBL620496,,A,,50597,,N,1,Intermediate,1,1969.0
7765,,BAO_0000218,Plasma,,,CHEMBL620497,,A,,50597,,N,1,Intermediate,1,1969.0
7766,,BAO_0000218,Plasma,,,CHEMBL620498,,A,,50597,,N,1,Intermediate,1,1969.0
7767,,BAO_0000218,Plasma,,,CHEMBL620499,,A,,50597,,N,1,Intermediate,1,1969.0
7768,,BAO_0000218,Plasma,,,CHEMBL620500,,A,,50597,,N,1,Intermediate,1,1969.0
7769,,BAO_0000218,Plasma,,,CHEMBL873809,,A,,50597,,N,1,Intermediate,1,1969.0
7770,,BAO_0000218,,,,CHEMBL620501,,A,,50597,,N,1,Intermediate,1,
7771,,BAO_0000218,,,,CHEMBL620502,,A,,50597,,N,1,Intermediate,1,
7772,,BAO_0000218,,,,CHEMBL620503,,A,,50597,,N,1,Intermediate,1,
7773,,BAO_0000218,,,,CHEMBL620504,,A,,50597,,N,1,Intermediate,1,
7774,,BAO_0000218,,,,CHEMBL876605,,A,,50597,,N,1,Intermediate,1,
7775,,BAO_0000218,,,,CHEMBL620505,,A,,50597,,N,1,Intermediate,1,
7776,,BAO_0000218,Plasma,,,CHEMBL873811,,A,,50597,,N,1,Intermediate,1,1969.0
7777,,BAO_0000218,,,,CHEMBL624016,,A,,50597,,N,1,Expert,1,
7778,,BAO_0000218,,,,CHEMBL624017,,A,,50597,,N,1,Intermediate,1,
7779,,BAO_0000218,,,,CHEMBL624018,,A,,50597,,N,1,Intermediate,1,
7780,,BAO_0000218,,,,CHEMBL624019,,A,,50597,,N,1,Intermediate,1,
7781,,BAO_0000218,Brain,,,CHEMBL624020,,A,,50597,,N,1,Intermediate,1,955.0
7782,,BAO_0000218,,,,CHEMBL624201,,A,,50597,,N,1,Intermediate,1,
7783,,BAO_0000218,,,,CHEMBL872528,,A,,50597,,N,1,Intermediate,1,
7784,,BAO_0000218,,,,CHEMBL624202,,A,,50597,,N,1,Intermediate,1,
7785,,BAO_0000218,,,,CHEMBL624203,,A,,50597,,N,1,Intermediate,1,
7786,,BAO_0000218,,,,CHEMBL624350,,A,,50597,,N,1,Intermediate,1,
7787,,BAO_0000218,,,,CHEMBL621320,,A,,50597,,N,1,Intermediate,1,
7788,,BAO_0000218,,,,CHEMBL621321,,A,,50597,,N,1,Intermediate,1,
7789,,BAO_0000218,,,,CHEMBL621322,,A,,50597,,N,1,Intermediate,1,
7790,,BAO_0000218,,,,CHEMBL621323,,A,,50597,,N,1,Intermediate,1,
7791,,BAO_0000218,,,,CHEMBL621324,,A,,50597,,N,1,Intermediate,1,
7792,,BAO_0000218,,,,CHEMBL621325,,A,,50597,,N,1,Intermediate,1,
7793,,BAO_0000218,Plasma,,,CHEMBL875837,,A,,50597,,N,1,Intermediate,1,1969.0
7794,,BAO_0000218,Plasma,,,CHEMBL621326,,A,,50597,,N,1,Intermediate,1,1969.0
7795,,BAO_0000218,,,,CHEMBL621327,,A,,50597,,N,1,Intermediate,1,
7796,,BAO_0000218,,,,CHEMBL621328,,A,,50597,,N,1,Intermediate,1,
7797,,BAO_0000218,,,,CHEMBL621329,,A,,50597,,N,1,Intermediate,1,
7798,,BAO_0000218,,,,CHEMBL621330,,A,,50597,,N,1,Intermediate,1,
7799,,BAO_0000218,,,,CHEMBL621331,,A,,50597,,N,1,Intermediate,1,
7800,,BAO_0000218,,,,CHEMBL621332,,A,,50597,,N,1,Intermediate,1,
7801,,BAO_0000218,,,,CHEMBL621333,,A,,50597,,N,1,Intermediate,1,
7802,,BAO_0000218,,,,CHEMBL621334,,A,,50597,,N,1,Intermediate,1,
7803,,BAO_0000218,,,,CHEMBL621335,,A,,50594,,N,1,Intermediate,1,
7804,,BAO_0000218,,,,CHEMBL621336,,A,,50588,,N,1,Intermediate,1,
7805,,BAO_0000218,,,,CHEMBL621337,,A,,50597,,N,1,Intermediate,1,
7806,,BAO_0000218,,,,CHEMBL621338,,A,,50588,,N,1,Intermediate,1,
7807,,BAO_0000218,,,,CHEMBL875838,,A,,50588,,N,1,Intermediate,1,
