assay_type,doc_id,assay_test_type,assay_category,src_id,src_assay_id,assay_tissue,relationship_type,bao_format,description,assay_cell_type,cell_id,curated_by,assay_subcellular_fraction,chembl_id,assay_tax_id,tissue_id,assay_organism,assay_id,variant_id,confidence_score,assay_strain,tid
F,11324.0,,,1.0,,,N,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Intermediate,,CHEMBL615129,1280.0,,Staphylococcus aureus,14.0,,1.0,,50185.0
F,11324.0,,,1.0,,,N,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Intermediate,,CHEMBL615130,1280.0,,Staphylococcus aureus,15.0,,1.0,,50185.0
F,11324.0,,,1.0,,,N,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Intermediate,,CHEMBL615131,1280.0,,Staphylococcus aureus,16.0,,1.0,,50185.0
A,11347.0,,,1.0,,,D,BAO_0000357,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Expert,,CHEMBL884521,10116.0,,Rattus norvegicus,17.0,,9.0,,100122.0
B,16474.0,,,1.0,,,H,BAO_0000357,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,Autocuration,,CHEMBL615132,,,,18.0,,8.0,,12054.0
B,10091.0,,,1.0,,,H,BAO_0000019,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,Autocuration,,CHEMBL615133,,,,19.0,,8.0,,12054.0
B,16474.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,Autocuration,,CHEMBL615134,,,,20.0,,8.0,,12054.0
B,16474.0,,,1.0,,,H,BAO_0000357,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,Autocuration,,CHEMBL615135,,,,21.0,,8.0,,12054.0
B,16474.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,Autocuration,,CHEMBL615136,,,,22.0,,8.0,,12054.0
B,16474.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,Autocuration,,CHEMBL615137,,,,23.0,,8.0,,12054.0
B,16474.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,Autocuration,,CHEMBL615138,,,,24.0,,8.0,,12054.0
B,14352.0,,,1.0,,,U,BAO_0000219,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,Autocuration,,CHEMBL836324,,,,25.0,,0.0,,22226.0
B,5646.0,,,1.0,,,H,BAO_0000357,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,Autocuration,,CHEMBL615139,9986.0,,Oryctolagus cuniculus,26.0,,8.0,,12054.0
B,5646.0,,,1.0,,,H,BAO_0000357,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,Autocuration,,CHEMBL615140,9986.0,,Oryctolagus cuniculus,27.0,,8.0,,12054.0
B,10997.0,,,1.0,,,H,BAO_0000219,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,Autocuration,,CHEMBL615141,,,,28.0,,8.0,,12426.0
B,6309.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,Autocuration,,CHEMBL615142,3847.0,,soya bean,29.0,,8.0,,12054.0
B,167.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,Autocuration,,CHEMBL615143,3847.0,,Glycine max,30.0,,8.0,,12054.0
B,167.0,,,1.0,,,H,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,Autocuration,,CHEMBL615144,3847.0,,Glycine max,31.0,,8.0,,12054.0
B,11087.0,,,1.0,,,H,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,Autocuration,,CHEMBL872867,3847.0,,Glycine max,32.0,,8.0,,12054.0
B,11087.0,,,1.0,,,H,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,Autocuration,,CHEMBL615145,3847.0,,Glycine max,33.0,,8.0,,12054.0
B,13622.0,,,1.0,,,H,BAO_0000357,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Autocuration,,CHEMBL615146,3847.0,,Glycine max,34.0,,8.0,,12054.0
B,13622.0,,,1.0,,,H,BAO_0000357,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Autocuration,,CHEMBL615147,3847.0,,Glycine max,35.0,,8.0,,12054.0
A,11347.0,,,1.0,,,U,BAO_0000019,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,Autocuration,,CHEMBL615148,10116.0,,Rattus norvegicus,36.0,,0.0,,22226.0
B,5926.0,,,1.0,,,U,BAO_0000019,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,Autocuration,,CHEMBL615149,562.0,,Escherichia coli,37.0,,0.0,,22226.0
B,4567.0,,,1.0,,,U,BAO_0000019,Dissociation constant with dimeric 16S rRNA RNA construct B,,,Autocuration,,CHEMBL615150,,,,38.0,,0.0,,22226.0
B,3782.0,,,1.0,,,M,BAO_0000225,Dissociation constant towards 16S rRNA construct A,,,Intermediate,,CHEMBL615151,,,,39.0,,3.0,,22222.0
B,3782.0,,,1.0,,,M,BAO_0000225,Dissociation constant towards 16S rRNA construct B,,,Intermediate,,CHEMBL615152,,,,40.0,,3.0,,22222.0
B,4466.0,,,1.0,,,M,BAO_0000225,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,Expert,,CHEMBL615153,562.0,,Escherichia coli,41.0,,3.0,,100263.0
B,6592.0,,,1.0,,,M,BAO_0000225,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,Expert,,CHEMBL615154,562.0,,Escherichia coli,42.0,,3.0,,100263.0
B,898.0,,,1.0,,,H,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,Autocuration,,CHEMBL615155,,,,43.0,,8.0,,13053.0
B,898.0,,,1.0,,,H,BAO_0000019,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,Autocuration,,CHEMBL615156,,,,44.0,,8.0,,13053.0
B,13163.0,,,1.0,,,H,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Autocuration,,CHEMBL615157,9606.0,,Homo sapiens,45.0,,8.0,,20001.0
B,13163.0,,,1.0,,,H,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Autocuration,,CHEMBL615158,9606.0,,Homo sapiens,46.0,,8.0,,20001.0
B,10691.0,,,1.0,,,D,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Expert,,CHEMBL615159,10116.0,,Rattus norvegicus,47.0,,9.0,,12971.0
B,10691.0,,,1.0,,,D,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Expert,,CHEMBL615172,10116.0,,Rattus norvegicus,48.0,,9.0,,12971.0
B,10691.0,,,1.0,,,D,BAO_0000019,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Expert,,CHEMBL615173,10116.0,,Rattus norvegicus,49.0,,9.0,,12971.0
B,10691.0,,,1.0,,,D,BAO_0000019,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Expert,,CHEMBL615174,10116.0,,Rattus norvegicus,50.0,,9.0,,12971.0
B,898.0,,,1.0,,,H,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,Autocuration,,CHEMBL884518,,,,51.0,,8.0,,13053.0
B,912.0,,,1.0,,,H,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,Autocuration,,CHEMBL615175,,,,52.0,,8.0,,11512.0
B,912.0,,,1.0,,,H,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,Autocuration,,CHEMBL615176,,,,53.0,,8.0,,11512.0
B,912.0,,,1.0,,,H,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,Autocuration,,CHEMBL615177,,,,54.0,,8.0,,11512.0
B,15103.0,,,1.0,,,D,BAO_0000249,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,Autocuration,Membranes,CHEMBL615178,10116.0,,Rattus norvegicus,55.0,,5.0,,104740.0
F,5116.0,,,1.0,,,N,BAO_0000219,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,1A9,506.0,Intermediate,,CHEMBL615179,9606.0,,Homo sapiens,56.0,,1.0,,80002.0
F,14578.0,,,1.0,,,D,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Oocytes,,Autocuration,,CHEMBL615180,10116.0,,Rattus norvegicus,57.0,,7.0,,104835.0
F,14578.0,,,1.0,,,D,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Oocytes,,Autocuration,,CHEMBL615181,10116.0,,Rattus norvegicus,58.0,,7.0,,104821.0
F,14578.0,,,1.0,,,D,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Oocytes,,Autocuration,,CHEMBL615182,10116.0,,Rattus norvegicus,59.0,,7.0,,104848.0
F,4787.0,,,1.0,,,N,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,1A9,506.0,Expert,,CHEMBL615183,9606.0,,Homo sapiens,60.0,,1.0,,80002.0
F,4787.0,,,1.0,,,N,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,1A9,506.0,Intermediate,,CHEMBL615184,9606.0,,Homo sapiens,61.0,,1.0,,80002.0
F,3547.0,,,1.0,,,N,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line,1A9,506.0,Intermediate,,CHEMBL615185,9606.0,,Homo sapiens,62.0,,1.0,,80002.0
F,3547.0,,,1.0,,,N,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,1A9,506.0,Intermediate,,CHEMBL615186,9606.0,,Homo sapiens,63.0,,1.0,,80002.0
F,6726.0,,,1.0,,,N,BAO_0000219,Effective dose of compound against replication of 1A9 cell line was evaluated,1A9,506.0,Intermediate,,CHEMBL615187,9606.0,,Homo sapiens,64.0,,1.0,,80002.0
F,3455.0,,,1.0,,,N,BAO_0000219,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,1A9,506.0,Expert,,CHEMBL885343,9606.0,,Homo sapiens,65.0,,1.0,,80002.0
F,5726.0,,,1.0,,,N,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),1A9,506.0,Intermediate,,CHEMBL615188,9606.0,,Homo sapiens,66.0,,1.0,,80002.0
F,5726.0,,,1.0,,,N,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,1A9,506.0,Intermediate,,CHEMBL615189,9606.0,,Homo sapiens,67.0,,1.0,,80002.0
F,5726.0,,,1.0,,,N,BAO_0000219,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,1A9,506.0,Intermediate,,CHEMBL615190,9606.0,,Homo sapiens,68.0,,1.0,,80002.0
F,3395.0,,,1.0,,,N,BAO_0000219,Inhibitory activity against Taxol resistant 1A9 cell lines,1A9,506.0,Intermediate,,CHEMBL615191,9606.0,,Homo sapiens,69.0,,1.0,,80002.0
F,3415.0,,,1.0,,,N,BAO_0000219,Cytotoxicity against human ovarian cancer (1A9) cell lines.,1A9,506.0,Expert,,CHEMBL615192,9606.0,,Homo sapiens,70.0,,1.0,,80002.0
F,3415.0,,,1.0,,,N,BAO_0000219,Percentage inhibition of human ovarian cancer (1A9) cell lines.,1A9,506.0,Expert,,CHEMBL827083,9606.0,,Homo sapiens,71.0,,1.0,,80002.0
F,17099.0,,,1.0,,,N,BAO_0000219,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,1A9,506.0,Expert,,CHEMBL615193,9606.0,,Homo sapiens,72.0,,1.0,,80002.0
F,17099.0,,,1.0,,,N,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,1A9,506.0,Intermediate,,CHEMBL615194,9606.0,,Homo sapiens,73.0,,1.0,,80002.0
F,17099.0,,,1.0,,,N,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,1A9,506.0,Intermediate,,CHEMBL615195,9606.0,,Homo sapiens,74.0,,1.0,,80002.0
F,17099.0,,,1.0,,,N,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,1A9,506.0,Intermediate,,CHEMBL615196,9606.0,,Homo sapiens,75.0,,1.0,,80002.0
F,17721.0,,,1.0,,,N,BAO_0000219,Inhibitory concentration against Jurkat cells,Jurkat,503.0,Intermediate,,CHEMBL615197,9606.0,,Homo sapiens,76.0,,1.0,,81072.0
F,1229.0,,,1.0,,,U,BAO_0000019,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,Intermediate,,CHEMBL615198,,,,77.0,,0.0,,22226.0
A,11347.0,,,1.0,,,D,BAO_0000357,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,Expert,,CHEMBL615199,10116.0,,Rattus norvegicus,78.0,,9.0,,100121.0
B,17117.0,,,1.0,,,H,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,Expert,,CHEMBL615200,,,,79.0,,8.0,,11231.0
B,17117.0,,,1.0,,,H,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,Expert,,CHEMBL615201,,,,80.0,,8.0,,11231.0
B,17117.0,,,1.0,,,H,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,Expert,,CHEMBL615202,,,,81.0,,8.0,,11231.0
B,11375.0,,,1.0,,,H,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,Autocuration,Microsomes,CHEMBL615203,5476.0,,Candida albicans,82.0,,8.0,,11231.0
B,11375.0,,,1.0,,,H,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,Autocuration,Microsomes,CHEMBL615204,5476.0,,Candida albicans,83.0,,8.0,,11231.0
B,11375.0,,,1.0,,,H,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,Autocuration,Microsomes,CHEMBL615205,4932.0,,Saccharomyces cerevisiae,84.0,,8.0,,11231.0
B,11375.0,,,1.0,,,H,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,Autocuration,Microsomes,CHEMBL615206,4932.0,,Saccharomyces cerevisiae,85.0,,8.0,,11231.0
B,11375.0,,,1.0,,Liver,H,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,Autocuration,Microsomes,CHEMBL615207,9823.0,2107.0,Sus scrofa,86.0,,8.0,,12083.0
B,791.0,,,1.0,,,H,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,Autocuration,,CHEMBL827084,10116.0,,Rattus norvegicus,87.0,,8.0,,11231.0
B,791.0,,,1.0,,,H,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,Autocuration,,CHEMBL615208,10116.0,,Rattus norvegicus,88.0,,8.0,,11231.0
B,791.0,,,1.0,,,H,BAO_0000019,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,Autocuration,,CHEMBL615209,10116.0,,Rattus norvegicus,89.0,,8.0,,11231.0
B,11375.0,,,1.0,,Liver,D,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,Autocuration,Microsomes,CHEMBL615210,10116.0,2107.0,Rattus norvegicus,90.0,,9.0,,12083.0
B,11375.0,,,1.0,,Liver,D,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Autocuration,Microsomes,CHEMBL615211,10116.0,2107.0,Rattus norvegicus,91.0,,9.0,,12083.0
B,153.0,,,1.0,,Liver,D,BAO_0000251,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Autocuration,Microsomes,CHEMBL615212,10116.0,2107.0,Rattus norvegicus,92.0,,9.0,,12083.0
B,8269.0,,,1.0,,,H,BAO_0000357,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,Expert,,CHEMBL615213,,,,93.0,,8.0,,11377.0
B,8269.0,,,1.0,,,H,BAO_0000357,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,Expert,,CHEMBL615273,,,,94.0,,8.0,,11377.0
F,17653.0,,,1.0,,,N,BAO_0000219,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,HepG2,726.0,Expert,,CHEMBL615274,9606.0,,Homo sapiens,95.0,,1.0,,81020.0
F,14277.0,,,1.0,,,N,BAO_0000219,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,HepG2,726.0,Intermediate,,CHEMBL615275,9606.0,,Homo sapiens,96.0,,1.0,,81020.0
F,1717.0,,,1.0,,,N,BAO_0000219,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,HepG2,726.0,Intermediate,,CHEMBL615276,9606.0,,Homo sapiens,97.0,,1.0,,81020.0
F,14091.0,,,1.0,,,N,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,HepG2,726.0,Intermediate,,CHEMBL615277,9606.0,,Homo sapiens,98.0,,1.0,,81020.0
F,14091.0,,,1.0,,,N,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,HepG2,726.0,Intermediate,,CHEMBL615326,9606.0,,Homo sapiens,99.0,,1.0,,81020.0
F,17653.0,,,1.0,,,N,BAO_0000218,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Expert,,CHEMBL883130,10407.0,,Hepatitis B virus,100.0,,1.0,,50606.0
F,13105.0,,,1.0,,,N,BAO_0000219,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,HepG2,726.0,Intermediate,,CHEMBL884519,9606.0,,Homo sapiens,101.0,,1.0,,81020.0
F,1717.0,,,1.0,,,N,BAO_0000219,Concentration required to inhibit 50% of 2.2.15 cell line,HepG2,726.0,Intermediate,,CHEMBL615327,9606.0,,Homo sapiens,102.0,,1.0,,81020.0
A,13105.0,,,1.0,,,N,BAO_0000219,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,HepG2,726.0,Intermediate,,CHEMBL615328,9606.0,,Homo sapiens,103.0,,1.0,,81020.0
F,13600.0,,,1.0,,,N,BAO_0000218,Cytotoxic activity of compound against uninfected 2.2.15 cells.,2.2.15,,Intermediate,,CHEMBL615329,9606.0,,Homo sapiens,104.0,,1.0,,50587.0
F,13467.0,,,1.0,,,N,BAO_0000218,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,2.2.15,,Intermediate,,CHEMBL615330,9606.0,,Homo sapiens,105.0,,1.0,,50587.0
F,17477.0,,,1.0,,,N,BAO_0000218,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",2.2.15,,Expert,,CHEMBL615331,10407.0,,Hepatitis B virus,106.0,,1.0,,50606.0
F,1593.0,,,1.0,,,N,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells,2.2.15,,Intermediate,,CHEMBL615332,9606.0,,Homo sapiens,107.0,,1.0,,50587.0
F,1593.0,,,1.0,,,N,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells; Not determined,2.2.15,,Intermediate,,CHEMBL615333,9606.0,,Homo sapiens,108.0,,1.0,,50587.0
F,15089.0,,,1.0,,,N,BAO_0000218,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,2.2.15,,Intermediate,,CHEMBL615334,9606.0,,Homo sapiens,109.0,,1.0,,50587.0
F,15089.0,,,1.0,,,N,BAO_0000218,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,2.2.15,,Intermediate,,CHEMBL615335,9606.0,,Homo sapiens,110.0,,1.0,,50587.0
F,1593.0,,,1.0,,,N,BAO_0000218,Cytotoxicity in 2.2.15 cells,2.2.15,,Intermediate,,CHEMBL615336,9606.0,,Homo sapiens,111.0,,1.0,,50587.0
F,1593.0,,,1.0,,,N,BAO_0000218,Cytotoxicity in 2.2.15 cells; Not determined,2.2.15,,Intermediate,,CHEMBL615337,9606.0,,Homo sapiens,112.0,,1.0,,50587.0
F,13600.0,,,1.0,,,N,BAO_0000218,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,2.2.15,,Intermediate,,CHEMBL615338,9606.0,,Homo sapiens,113.0,,1.0,,50587.0
F,13467.0,,,1.0,,,N,BAO_0000218,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,2.2.15,,Intermediate,,CHEMBL615339,9606.0,,Homo sapiens,114.0,,1.0,,50587.0
F,13467.0,,,1.0,,,N,BAO_0000218,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,2.2.15,,Intermediate,,CHEMBL615340,9606.0,,Homo sapiens,115.0,,1.0,,50587.0
F,14764.0,,,1.0,,,N,BAO_0000219,Antiviral activity against HBV was determined in 2.215 cell line,HepG2,726.0,Intermediate,,CHEMBL615341,9606.0,,Homo sapiens,116.0,,1.0,,81020.0
B,6531.0,,,1.0,,,U,BAO_0000251,Inhibition of 20-HETE synthesis in human renal microsomes,,,Autocuration,Microsomes,CHEMBL615342,9606.0,,Homo sapiens,117.0,,0.0,,22226.0
B,17322.0,,,1.0,,,U,BAO_0000019,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,Autocuration,,CHEMBL615343,,,,118.0,,0.0,,22226.0
F,17072.0,,,1.0,,,N,BAO_0000219,Inhibitory concentration against 2008 (ovarian) cells,2008,388.0,Intermediate,,CHEMBL615344,9606.0,,Homo sapiens,119.0,,1.0,,80612.0
F,16936.0,,,1.0,,,N,BAO_0000219,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,2008,388.0,Intermediate,,CHEMBL615345,9606.0,,Homo sapiens,120.0,,1.0,,80612.0
F,16936.0,,,1.0,,,N,BAO_0000219,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),2008,388.0,Intermediate,,CHEMBL615346,9606.0,,Homo sapiens,121.0,,1.0,,80612.0
F,17146.0,,,1.0,,,N,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,2008,388.0,Intermediate,,CHEMBL615347,9606.0,,Homo sapiens,122.0,,1.0,,80612.0
F,17146.0,,,1.0,,,N,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,2008,388.0,Intermediate,,CHEMBL615348,9606.0,,Homo sapiens,123.0,,1.0,,80612.0
F,10797.0,,,1.0,,,N,BAO_0000219,In vitro inhibition of 2008/R ovarian cancer cell line,2008/R,561.0,Intermediate,,CHEMBL827085,9606.0,,Homo sapiens,124.0,,1.0,,80613.0
