ss_d,tss_d,b_frmt,vrnt_d,rltnshp_tp,crtd_b,ss_strn,ss_cll_tp,cll_d,src_d,ss_tss,td,ss_tst_tp,dc_d,ss_sbclllr_frctn,chmbl_d,ss_rgnsm,ss_tx_d,cnfdnc_scr,src_ss_d
7555,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,2879,,CHEMBL621129,Rattus norvegicus,10116.0,1,
7556,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,2879,,CHEMBL621130,Rattus norvegicus,10116.0,1,
7557,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,3184,,CHEMBL873808,Rattus norvegicus,10116.0,1,
7558,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,4891,,CHEMBL876598,Rattus norvegicus,10116.0,1,
7559,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,429,,CHEMBL621131,Rattus norvegicus,10116.0,1,
7560,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,5656,,CHEMBL621132,Rattus norvegicus,10116.0,1,
7561,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,4413,,CHEMBL621133,Rattus norvegicus,10116.0,1,
7562,,BAO_0000218,,N,Expert,,,,1,,50597,In vivo,3598,,CHEMBL621312,Rattus norvegicus,10116.0,1,
7563,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17267,,CHEMBL621313,Rattus norvegicus,10116.0,1,
7564,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,,4727,,CHEMBL621314,Rattus norvegicus,10116.0,1,
7565,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17651,,CHEMBL621315,Rattus norvegicus,10116.0,1,
7566,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17651,,CHEMBL621316,Rattus norvegicus,10116.0,1,
7567,,BAO_0000218,,N,Intermediate,,,,1,,50597,,401,,CHEMBL621317,Rattus norvegicus,10116.0,1,
7568,,BAO_0000218,,N,Intermediate,,,,1,,50597,,4942,,CHEMBL621318,Rattus norvegicus,10116.0,1,
7569,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17735,,CHEMBL621319,Rattus norvegicus,10116.0,1,
7570,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,6056,,CHEMBL621377,Rattus norvegicus,10116.0,1,
7571,,BAO_0000218,,N,Intermediate,,,,1,,50597,,5213,,CHEMBL621378,Rattus norvegicus,10116.0,1,
7572,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,6616,,CHEMBL876599,Rattus norvegicus,10116.0,1,
7573,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,5937,,CHEMBL621379,Rattus norvegicus,10116.0,1,
7574,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,5819,,CHEMBL621380,Rattus norvegicus,10116.0,1,
7575,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,5819,,CHEMBL621381,Rattus norvegicus,10116.0,1,
7576,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6803,,CHEMBL618515,Rattus norvegicus,10116.0,1,
7577,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17804,,CHEMBL618516,Rattus norvegicus,10116.0,1,
7578,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17804,,CHEMBL618517,Rattus norvegicus,10116.0,1,
7579,,BAO_0000218,,N,Intermediate,,,,1,,50597,,5948,,CHEMBL618518,Rattus norvegicus,10116.0,1,
7580,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,1916,,CHEMBL618519,Rattus norvegicus,10116.0,1,
7581,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,1916,,CHEMBL618698,Rattus norvegicus,10116.0,1,
7582,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,1916,,CHEMBL618862,Rattus norvegicus,10116.0,1,
7583,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,4890,,CHEMBL618863,Rattus norvegicus,10116.0,1,
7584,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17764,,CHEMBL618864,Rattus norvegicus,10116.0,1,
7585,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,4727,,CHEMBL618865,Rattus norvegicus,10116.0,1,
7586,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17509,,CHEMBL618866,Rattus norvegicus,10116.0,1,
7587,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17509,,CHEMBL618867,Rattus norvegicus,10116.0,1,
7588,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6597,,CHEMBL875828,Rattus norvegicus,10116.0,1,
7589,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17735,,CHEMBL618868,Rattus norvegicus,10116.0,1,
7590,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6597,,CHEMBL618869,Rattus norvegicus,10116.0,1,
7591,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17670,,CHEMBL618870,Rattus norvegicus,10116.0,1,
7592,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,1696,,CHEMBL618871,Rattus norvegicus,10116.0,1,
7593,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,1742,,CHEMBL618872,Rattus norvegicus,10116.0,1,
7594,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17800,,CHEMBL873816,Rattus norvegicus,10116.0,1,
7595,,BAO_0000218,,U,Autocuration,,,,1,,22224,,12923,,CHEMBL618873,,,0,
7596,,BAO_0000019,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621602,,,0,
7597,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621603,,,0,
7598,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621604,,,0,
7599,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621605,,,0,
7600,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621606,,,0,
7601,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621607,,,0,
7602,,BAO_0000218,,U,Autocuration,,,,1,,22224,,11954,,CHEMBL621608,,,0,
7603,,BAO_0000019,,U,Autocuration,,,,1,,22224,,5237,,CHEMBL621609,,,0,
7604,,BAO_0000218,,U,Autocuration,,,,1,,22224,,4026,,CHEMBL621610,,,0,
7605,,BAO_0000218,,N,Intermediate,,,,1,,50597,,5237,,CHEMBL621611,Rattus norvegicus,10116.0,1,
7606,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL621612,Rattus norvegicus,10116.0,1,
7607,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622308,Rattus norvegicus,10116.0,1,
7608,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622309,Rattus norvegicus,10116.0,1,
7609,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622310,Rattus norvegicus,10116.0,1,
7610,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622311,Rattus norvegicus,10116.0,1,
7611,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622312,Rattus norvegicus,10116.0,1,
7612,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622931,Rattus norvegicus,10116.0,1,
7613,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14793,,CHEMBL622932,Rattus norvegicus,10116.0,1,
7614,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622736,Rattus norvegicus,10116.0,1,
7615,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622737,Rattus norvegicus,10116.0,1,
7616,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622738,Rattus norvegicus,10116.0,1,
7617,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622739,Rattus norvegicus,10116.0,1,
7618,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622740,Rattus norvegicus,10116.0,1,
7619,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622741,Rattus norvegicus,10116.0,1,
7620,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622742,Rattus norvegicus,10116.0,1,
7621,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50597,,14793,,CHEMBL622743,Rattus norvegicus,10116.0,1,
7622,1969.0,BAO_0000218,,N,Intermediate,,,,1,Plasma,50594,,11637,,CHEMBL622744,Mus musculus,10090.0,1,
7623,,BAO_0000019,,U,Autocuration,,,,1,,22224,,11149,,CHEMBL624134,,,0,
7624,,BAO_0000019,,U,Autocuration,,,,1,,22224,,10016,,CHEMBL624135,,,0,
7625,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17796,,CHEMBL624136,Rattus norvegicus,10116.0,1,
7626,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17796,,CHEMBL624137,Rattus norvegicus,10116.0,1,
7627,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17796,,CHEMBL624320,Rattus norvegicus,10116.0,1,
7628,,BAO_0000218,,N,Intermediate,,,,1,,50588,,12923,,CHEMBL624321,Canis lupus familiaris,9615.0,1,
7629,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624322,Rattus norvegicus,10116.0,1,
7630,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624323,Rattus norvegicus,10116.0,1,
7631,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624324,Rattus norvegicus,10116.0,1,
7632,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624325,Rattus norvegicus,10116.0,1,
7633,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624326,Rattus norvegicus,10116.0,1,
7634,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624327,Rattus norvegicus,10116.0,1,
7635,,BAO_0000218,,N,Intermediate,,,,1,,50597,,15372,,CHEMBL624328,Rattus norvegicus,10116.0,1,
7636,,BAO_0000218,,N,Intermediate,,,,1,,50588,,14169,,CHEMBL627848,Canis lupus familiaris,9615.0,1,
7637,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14169,,CHEMBL627849,Rattus norvegicus,10116.0,1,
7638,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14258,,CHEMBL627850,Rattus norvegicus,10116.0,1,
7639,,BAO_0000218,,N,Intermediate,,,,1,,50597,,14258,,CHEMBL627851,Rattus norvegicus,10116.0,1,
7640,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627852,Mus musculus,10090.0,1,
7641,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627853,Mus musculus,10090.0,1,
7642,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627854,Mus musculus,10090.0,1,
7643,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627855,Mus musculus,10090.0,1,
7644,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627856,Mus musculus,10090.0,1,
7645,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL875339,Mus musculus,10090.0,1,
7646,,BAO_0000218,,N,Intermediate,,,,1,,50594,,15011,,CHEMBL627857,Mus musculus,10090.0,1,
7647,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,In vivo,11195,,CHEMBL627858,Rattus norvegicus,10116.0,1,
7648,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,,10130,,CHEMBL627859,Rattus norvegicus,10116.0,1,
7649,955.0,BAO_0000218,,N,Intermediate,,,,1,Brain,50597,,10130,,CHEMBL627860,Rattus norvegicus,10116.0,1,
7650,948.0,BAO_0000218,,N,Intermediate,,,,1,Heart,50597,,10130,,CHEMBL627019,Rattus norvegicus,10116.0,1,
7651,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,,10130,,CHEMBL627020,Rattus norvegicus,10116.0,1,
7652,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,,10130,,CHEMBL627021,Rattus norvegicus,10116.0,1,
7653,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,,10130,,CHEMBL627022,Rattus norvegicus,10116.0,1,
7654,,BAO_0000218,,N,Intermediate,,,,1,,50597,,10130,,CHEMBL627023,Rattus norvegicus,10116.0,1,
7655,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,,10130,,CHEMBL627024,Rattus norvegicus,10116.0,1,
7656,2046.0,BAO_0000218,,N,Intermediate,,,,1,Thyroid gland,50597,,10130,,CHEMBL627025,Rattus norvegicus,10116.0,1,
7657,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,,10130,,CHEMBL627026,Rattus norvegicus,10116.0,1,
7658,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,,10130,,CHEMBL627027,Rattus norvegicus,10116.0,1,
7659,955.0,BAO_0000218,,N,Intermediate,,,,1,Brain,50597,,10130,,CHEMBL627028,Rattus norvegicus,10116.0,1,
7660,948.0,BAO_0000218,,N,Intermediate,,,,1,Heart,50597,,10130,,CHEMBL627029,Rattus norvegicus,10116.0,1,
7661,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,,10130,,CHEMBL627030,Rattus norvegicus,10116.0,1,
7662,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,,10130,,CHEMBL627031,Rattus norvegicus,10116.0,1,
7663,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,,10130,,CHEMBL627032,Rattus norvegicus,10116.0,1,
7664,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,,10130,,CHEMBL627033,Rattus norvegicus,10116.0,1,
7665,,BAO_0000218,,N,Intermediate,,,,1,,50597,,10130,,CHEMBL627034,Rattus norvegicus,10116.0,1,
7666,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,,10130,,CHEMBL627035,Rattus norvegicus,10116.0,1,
7667,2046.0,BAO_0000218,,N,Intermediate,,,,1,Thyroid gland,50597,,10130,,CHEMBL627036,Rattus norvegicus,10116.0,1,
7668,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,,10130,,CHEMBL875340,Rattus norvegicus,10116.0,1,
7669,948.0,BAO_0000218,,N,Intermediate,,,,1,Heart,50597,,10130,,CHEMBL627037,Rattus norvegicus,10116.0,1,
7670,2113.0,BAO_0000218,,N,Intermediate,,,,1,Kidney,50597,,10130,,CHEMBL627038,Rattus norvegicus,10116.0,1,
7671,2107.0,BAO_0000218,,N,Intermediate,,,,1,Liver,50597,,10130,,CHEMBL627039,Rattus norvegicus,10116.0,1,
7672,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,,10130,,CHEMBL627040,Rattus norvegicus,10116.0,1,
7673,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,,10130,,CHEMBL624663,Rattus norvegicus,10116.0,1,
7674,2046.0,BAO_0000218,,N,Intermediate,,,,1,Thyroid gland,50597,,10130,,CHEMBL625963,Rattus norvegicus,10116.0,1,
7675,955.0,BAO_0000218,,N,Intermediate,,,,1,Brain,50597,,10130,,CHEMBL876799,Rattus norvegicus,10116.0,1,
7676,2048.0,BAO_0000218,,N,Intermediate,,,,1,Lung,50597,,10130,,CHEMBL626133,Rattus norvegicus,10116.0,1,
7677,,BAO_0000218,,N,Intermediate,,,,1,,50597,,10130,,CHEMBL626134,Rattus norvegicus,10116.0,1,
7678,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6295,,CHEMBL626135,Rattus norvegicus,10116.0,1,
7679,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6296,,CHEMBL626136,Rattus norvegicus,10116.0,1,
7680,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6296,,CHEMBL626137,Rattus norvegicus,10116.0,1,
7681,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6295,,CHEMBL626138,Rattus norvegicus,10116.0,1,
7682,,BAO_0000218,,N,Intermediate,,,,1,,50597,,6296,,CHEMBL626139,Rattus norvegicus,10116.0,1,
7683,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL626140,Rattus norvegicus,10116.0,1,
7684,,BAO_0000218,,N,Intermediate,,,,1,,50597,In vivo,17260,,CHEMBL626141,Rattus norvegicus,10116.0,1,
7685,,BAO_0000218,,N,Intermediate,,,,1,,50597,,17686,,CHEMBL626142,Rattus norvegicus,10116.0,1,
7686,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,In vivo,9866,,CHEMBL627930,Rattus norvegicus,10116.0,1,
7687,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,In vivo,9866,,CHEMBL627931,Rattus norvegicus,10116.0,1,
7688,2385.0,BAO_0000218,,N,Intermediate,,,,1,Muscle tissue,50597,In vivo,9866,,CHEMBL627932,Rattus norvegicus,10116.0,1,
7689,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,In vivo,9866,,CHEMBL627933,Rattus norvegicus,10116.0,1,
7690,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,In vivo,9866,,CHEMBL627934,Rattus norvegicus,10116.0,1,
7691,2106.0,BAO_0000218,,N,Intermediate,,,,1,Spleen,50597,In vivo,9866,,CHEMBL627935,Rattus norvegicus,10116.0,1,
7692,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627936,Rattus norvegicus,10116.0,1,
7693,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627937,Rattus norvegicus,10116.0,1,
7694,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627938,Rattus norvegicus,10116.0,1,
7695,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627939,Rattus norvegicus,10116.0,1,
7696,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627940,Rattus norvegicus,10116.0,1,
7697,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627941,Rattus norvegicus,10116.0,1,
7698,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL876800,Rattus norvegicus,10116.0,1,
7699,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627942,Rattus norvegicus,10116.0,1,
7700,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627943,Rattus norvegicus,10116.0,1,
7701,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627944,Rattus norvegicus,10116.0,1,
7702,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627945,Rattus norvegicus,10116.0,1,
7703,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628584,Rattus norvegicus,10116.0,1,
7704,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628585,Rattus norvegicus,10116.0,1,
7705,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628586,Rattus norvegicus,10116.0,1,
7706,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628587,Rattus norvegicus,10116.0,1,
7707,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628588,Rattus norvegicus,10116.0,1,
7708,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL628589,Rattus norvegicus,10116.0,1,
7709,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL625304,Rattus norvegicus,10116.0,1,
7710,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL625305,Rattus norvegicus,10116.0,1,
7711,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL625306,Rattus norvegicus,10116.0,1,
7712,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL625307,Rattus norvegicus,10116.0,1,
7713,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL625308,Rattus norvegicus,10116.0,1,
7714,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627740,Rattus norvegicus,10116.0,1,
7715,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627741,Rattus norvegicus,10116.0,1,
7716,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627742,Rattus norvegicus,10116.0,1,
7717,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627743,Rattus norvegicus,10116.0,1,
7718,178.0,BAO_0000218,,N,Intermediate,,,,1,Blood,50597,In vivo,9866,,CHEMBL627744,Rattus norvegicus,10116.0,1,
7719,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627745,Rattus norvegicus,10116.0,1,
7720,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627746,Rattus norvegicus,10116.0,1,
7721,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627747,Rattus norvegicus,10116.0,1,
7722,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL876810,Rattus norvegicus,10116.0,1,
7723,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627748,Rattus norvegicus,10116.0,1,
7724,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627749,Rattus norvegicus,10116.0,1,
7725,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL627750,Rattus norvegicus,10116.0,1,
7726,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL618728,Rattus norvegicus,10116.0,1,
7727,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL618729,Rattus norvegicus,10116.0,1,
7728,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL618730,Rattus norvegicus,10116.0,1,
7729,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL618731,Rattus norvegicus,10116.0,1,
7730,10000001.0,BAO_0000218,,N,Intermediate,,,,1,Bone,50597,In vivo,9866,,CHEMBL618732,Rattus norvegicus,10116.0,1,
