assays_ss_d,assays_dscrptn,assays_src_d,assays_rltnshp_tp,assays_src_ss_d,assays_ss_rgnsm,assays_vrnt_d,assays_ss_sbclllr_frctn,assays_ss_ctgr,assays_ss_tss,assays_ss_cll_tp,assays_tss_d,assays_b_frmt,assays_chmbl_d,assays_cnfdnc_scr,assays_crtd_b,assays_ss_tx_d,assays_ss_strn,assays_td,assays_cll_d
66,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615188,1,Intermediate,9606.0,,80002,506.0
67,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615189,1,Intermediate,9606.0,,80002,506.0
68,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615190,1,Intermediate,9606.0,,80002,506.0
69,Inhibitory activity against Taxol resistant 1A9 cell lines,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615191,1,Intermediate,9606.0,,80002,506.0
70,Cytotoxicity against human ovarian cancer (1A9) cell lines.,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615192,1,Expert,9606.0,,80002,506.0
71,Percentage inhibition of human ovarian cancer (1A9) cell lines.,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL827083,1,Expert,9606.0,,80002,506.0
72,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615193,1,Expert,9606.0,,80002,506.0
73,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615194,1,Intermediate,9606.0,,80002,506.0
74,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615195,1,Intermediate,9606.0,,80002,506.0
75,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,1,N,,Homo sapiens,,,,,1A9,,BAO_0000219,CHEMBL615196,1,Intermediate,9606.0,,80002,506.0
76,Inhibitory concentration against Jurkat cells,1,N,,Homo sapiens,,,,,Jurkat,,BAO_0000219,CHEMBL615197,1,Intermediate,9606.0,,81072,503.0
77,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1,U,,,,,,,,,BAO_0000019,CHEMBL615198,0,Intermediate,,,22226,
78,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,1,D,,Rattus norvegicus,,,,,,,BAO_0000357,CHEMBL615199,9,Expert,10116.0,,100121,
79,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,H,,,,,,,,,BAO_0000357,CHEMBL615200,8,Expert,,,11231,
80,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,H,,,,,,,,,BAO_0000357,CHEMBL615201,8,Expert,,,11231,
81,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",1,H,,,,,,,,,BAO_0000357,CHEMBL615202,8,Expert,,,11231,
82,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",1,H,,Candida albicans,,Microsomes,,,,,BAO_0000251,CHEMBL615203,8,Autocuration,5476.0,,11231,
83,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",1,H,,Candida albicans,,Microsomes,,,,,BAO_0000251,CHEMBL615204,8,Autocuration,5476.0,,11231,
84,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",1,H,,Saccharomyces cerevisiae,,Microsomes,,,,,BAO_0000251,CHEMBL615205,8,Autocuration,4932.0,,11231,
85,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",1,H,,Saccharomyces cerevisiae,,Microsomes,,,,,BAO_0000251,CHEMBL615206,8,Autocuration,4932.0,,11231,
86,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",1,H,,Sus scrofa,,Microsomes,,Liver,,2107.0,BAO_0000251,CHEMBL615207,8,Autocuration,9823.0,,12083,
87,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",1,H,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL827084,8,Autocuration,10116.0,,11231,
88,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",1,H,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615208,8,Autocuration,10116.0,,11231,
89,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",1,H,,Rattus norvegicus,,,,,,,BAO_0000019,CHEMBL615209,8,Autocuration,10116.0,,11231,
90,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",1,D,,Rattus norvegicus,,Microsomes,,Liver,,2107.0,BAO_0000251,CHEMBL615210,9,Autocuration,10116.0,,12083,
91,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,D,,Rattus norvegicus,,Microsomes,,Liver,,2107.0,BAO_0000251,CHEMBL615211,9,Autocuration,10116.0,,12083,
92,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,D,,Rattus norvegicus,,Microsomes,,Liver,,2107.0,BAO_0000251,CHEMBL615212,9,Autocuration,10116.0,,12083,
93,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),1,H,,,,,,,,,BAO_0000357,CHEMBL615213,8,Expert,,,11377,
94,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,1,H,,,,,,,,,BAO_0000357,CHEMBL615273,8,Expert,,,11377,
95,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615274,1,Expert,9606.0,,81020,726.0
96,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615275,1,Intermediate,9606.0,,81020,726.0
97,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615276,1,Intermediate,9606.0,,81020,726.0
98,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615277,1,Intermediate,9606.0,,81020,726.0
99,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615326,1,Intermediate,9606.0,,81020,726.0
100,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,N,,Hepatitis B virus,,,,,,,BAO_0000218,CHEMBL883130,1,Expert,10407.0,,50606,
101,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL884519,1,Intermediate,9606.0,,81020,726.0
102,Concentration required to inhibit 50% of 2.2.15 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615327,1,Intermediate,9606.0,,81020,726.0
103,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615328,1,Intermediate,9606.0,,81020,726.0
104,Cytotoxic activity of compound against uninfected 2.2.15 cells.,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615329,1,Intermediate,9606.0,,50587,
105,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615330,1,Intermediate,9606.0,,50587,
106,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",1,N,,Hepatitis B virus,,,,,2.2.15,,BAO_0000218,CHEMBL615331,1,Expert,10407.0,,50606,
107,In vitro anti-HBV activity in 2.2.15 cells,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615332,1,Intermediate,9606.0,,50587,
108,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615333,1,Intermediate,9606.0,,50587,
109,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615334,1,Intermediate,9606.0,,50587,
110,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615335,1,Intermediate,9606.0,,50587,
111,Cytotoxicity in 2.2.15 cells,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615336,1,Intermediate,9606.0,,50587,
112,Cytotoxicity in 2.2.15 cells; Not determined,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615337,1,Intermediate,9606.0,,50587,
113,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615338,1,Intermediate,9606.0,,50587,
114,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615339,1,Intermediate,9606.0,,50587,
115,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,1,N,,Homo sapiens,,,,,2.2.15,,BAO_0000218,CHEMBL615340,1,Intermediate,9606.0,,50587,
116,Antiviral activity against HBV was determined in 2.215 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615341,1,Intermediate,9606.0,,81020,726.0
117,Inhibition of 20-HETE synthesis in human renal microsomes,1,U,,Homo sapiens,,Microsomes,,,,,BAO_0000251,CHEMBL615342,0,Autocuration,9606.0,,22226,
118,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,1,U,,,,,,,,,BAO_0000019,CHEMBL615343,0,Autocuration,,,22226,
119,Inhibitory concentration against 2008 (ovarian) cells,1,N,,Homo sapiens,,,,,2008,,BAO_0000219,CHEMBL615344,1,Intermediate,9606.0,,80612,388.0
120,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,1,N,,Homo sapiens,,,,,2008,,BAO_0000219,CHEMBL615345,1,Intermediate,9606.0,,80612,388.0
121,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),1,N,,Homo sapiens,,,,,2008,,BAO_0000219,CHEMBL615346,1,Intermediate,9606.0,,80612,388.0
122,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,1,N,,Homo sapiens,,,,,2008,,BAO_0000219,CHEMBL615347,1,Intermediate,9606.0,,80612,388.0
123,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,1,N,,Homo sapiens,,,,,2008,,BAO_0000219,CHEMBL615348,1,Intermediate,9606.0,,80612,388.0
124,In vitro inhibition of 2008/R ovarian cancer cell line,1,N,,Homo sapiens,,,,,2008/R,,BAO_0000219,CHEMBL827085,1,Intermediate,9606.0,,80613,561.0
125,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,1,N,,Homo sapiens,,,,,2008/R,,BAO_0000219,CHEMBL615349,1,Intermediate,9606.0,,80613,561.0
126,In vitro inhibition of 2008/S ovarian cancer cell line,1,N,,Homo sapiens,,,,,2008/S,,BAO_0000219,CHEMBL615350,1,Intermediate,9606.0,,80614,389.0
127,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,1,N,,Homo sapiens,,,,,2008/S,,BAO_0000219,CHEMBL615351,1,Intermediate,9606.0,,80614,389.0
128,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,1,S,,Homo sapiens,,,,,,,BAO_0000220,CHEMBL615352,2,Expert,9606.0,,100256,
129,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,1,S,,Homo sapiens,,,,,,,BAO_0000220,CHEMBL615353,2,Intermediate,9606.0,,100256,
130,Inhibition of chymotrypsin-like activity of 20S proteasome,1,S,,,,,,,,,BAO_0000220,CHEMBL615354,2,Expert,,,100256,
131,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,1,S,,,,,,,,,BAO_0000220,CHEMBL615355,2,Expert,,,100256,
132,Inhibitory activity against 20S proteosome,1,S,,,,,,,,,BAO_0000220,CHEMBL615356,2,Intermediate,,,100256,
133,Compound was tested for inhibitory activity against tryptase,1,U,,Homo sapiens,,,,,,,BAO_0000019,CHEMBL615357,0,Autocuration,9606.0,,22226,
134,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL615358,1,Intermediate,9606.0,,81020,726.0
135,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,1,N,,Homo sapiens,,,,,HepG2,,BAO_0000219,CHEMBL827086,1,Intermediate,9606.0,,81020,726.0
136,Compound was tested for the inhibition of Alpha-glucosidase,1,U,,,,,,,,,BAO_0000019,CHEMBL615359,0,Autocuration,,,22226,
137,Inhibitory concentration against human neutrophil elastase (HNE),1,H,,,,,,,,,BAO_0000357,CHEMBL615360,8,Autocuration,,,235,
138,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,1,U,,Rattus norvegicus,,,,Heart,,948.0,BAO_0000218,CHEMBL615361,0,Autocuration,10116.0,,22226,
139,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,1,H,,,,,,,,,BAO_0000019,CHEMBL615362,8,Autocuration,,,19640,
140,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,1,H,,,,,,,,,BAO_0000019,CHEMBL615363,8,Expert,,,19640,
141,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,1,H,,,,,,,,,BAO_0000357,CHEMBL615364,8,Autocuration,,,19640,
142,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,1,H,,,,,,,,,BAO_0000019,CHEMBL615365,8,Expert,,,19640,
143,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,1,N,,Mus musculus,,,,,P338,,BAO_0000219,CHEMBL615366,1,Intermediate,10090.0,,80360,524.0
144,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,1,N,,Mus musculus,,,,,P338,,BAO_0000219,CHEMBL615367,1,Intermediate,10090.0,,80360,524.0
145,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,1,N,,Homo sapiens,,,,,PBL,,BAO_0000219,CHEMBL615368,1,Intermediate,9606.0,,80384,554.0
