Fiscal year,Trade development (marker),Bilateral aid (international marker),Organisation sub-class,Section ID,Regional program (marker),Children issues (marker),ICT as a tool for development (marker),Biodiversity (marker),CountryRegion name,Amount spent,Indigenous issues (marker),CountryRegion percent,Organisation type,Status,FSTC percent,Urban issues (marker),Continent ID,Enviromental sustainability (marker),Branch ID,CIDA business delivery model (old),Programming process (new),Youth issues (marker),Desertification (marker),IRTC percent,Project number,Maximum CIDA contribution (project-level),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,Untied amount(Project-level budget),CFLI (marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
20092910,0,1,CONSUiTINGS34VICES,S4439,0,0,1,0,mamaica,405319.4430312654,0,0.08640201239951767,CanadianPr9fitnakihy,flosed,0.7809514106561823,0,1,0,B44o0,desponsjve,Uncoded9reAPo,0,0,0.006980026872334016,A019362001,3441416.83,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4439,Caribbean Regional - Jamaica,3441416.83,0,Not PBA,0,0
30092010,0,1,CiNSULTINGSERVldES,St429,0,0,1,0,Jamaida,649831.7529045896,0,0.09503118216467542,vanafianProfi6Maling,Closew,0.8225788292584144,0,1,0,B44o0,4esponcive,Uhcod2dPreAPP,0,0,0.0079238795344221,A019362001,3441416.83,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4439,Caribbean Regional - Jamaica,3441416.83,0,Not PBA,0,0
20o92010,0,1,COhSULrINGSEfVICES,S4156,0,0,1,0,Egy0t,1526787.3612809875,0,0.3761507820315333,dagadianProfitMwjing,Cloced,1.035716045952998,0,2,1,B3w00,D7rective,kncodedPfeAPP,0,0,0.004763533281808645,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
20002010,0,1,CONSULTIgGSERVoCEz,S425u,0,0,1,0,Eg6pt,1009586.6977841683,0,0.10314352073982289,Cznavianl3ofitMaking,Clos4d,1.303536216526272,0,2,1,B3w00,Direc4ive,UnckdedPreA0P,0,0,0.026312203498574778,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
2009201o,0,1,CONx7pTINGSERVICES,q4256,0,0,1,0,Eyypt,743091.3289299407,0,0.4050890338682966,CanasiahPeofitMakigg,Cloaed,1.445103132737616,0,2,1,f3100,Difective,UncoredPreAoP,0,0,0.010938110603516907,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
30092010,0,1,dONS7LTINGSERVICEx,S4w56,0,0,1,0,Egypg,13020.660941900453,0,0.6413677363193733,CahadixnProfitjaming,Clksed,0.7921819209432771,0,2,1,Br100,Directivr,UncovedPreAP9,0,0,0.004558795467010066,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
q0092010,0,1,CONSULTINGdrgVICES,S425u,0,0,1,0,Egupt,5356.050770917238,0,0.09972271988502823,CxnadiahPrkfitMauing,Cloxed,1.1023187030638144,0,2,1,h3100,Diredtive,hncodedPrewPP,0,0,0.0032522999083021186,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
2009201p,0,1,CONxULT9NtSERVICES,c4256,0,0,1,0,Egjpt,298292.77945262636,0,0.5868967809983865,Canad9agorofirMaking,dlosed,1.8504916496948793,0,2,1,Bw100,Direcyive,Unc0dewPreAPP,0,0,0.0030259122027930965,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
q0092010,0,1,dONSUL6INGSsRVICES,S425y,0,0,1,0,Egupt,2079710.4935772824,0,0.03957956175593158,Canadkan0rofitMxming,Clised,0.9828796061632548,0,2,1,Bw100,Direstive,Uncoded9rezPP,0,0,0.011771537186091637,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
e0092010,0,1,CONSULTINnxE3VICES,Se256,0,0,1,0,Egy0t,1445642.5856716004,0,0.48615067901259046,CsnadianPrpf7tMakong,Coosed,1.5775670668173019,0,2,1,B3190,Directuve,Uncodwd9reAPP,0,0,0.008065300497264487,A019608001,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,0.0,0,Not PBA,0,0
20093010,0,1,FEeERAL,S4e56,0,0,0,0,slgeria,1095708.1973495143,0,0.5273984141793657,CanadismNonProfi6Makimg,Closwd,1.2252135718966204,0,2,0,B3q00,Di5ective,kncodedPrezPP,0,0,0.00284789392914541,A020161001,328400.96,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4259,*Algeria,0.0,0,Not PBA,0,0
2p092010,0,1,FEDERxL,x4449,0,0,0,0,Hsiti,267424.15542615164,0,0.29597155822999743,xanwdianhonProfitMakihg,Clos4d,1.4652448600394372,0,1,0,B5400,Direct8ve,Uncoddd9reAPP,0,0,0.022460243731139445,A020195001,4610501.0,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,4000000.0,0,Not PBA,0,0
20092019,0,1,FEfERAL,S44r9,0,0,0,0,Hajti,2794887.906858139,0,0.37242065207280745,CanavianNonorofitMakjgg,dlosed,0.008455905803530839,0,1,0,B4t00,Directibe,UnckdesPreAPP,0,0,0.0008166359852836028,A020195001,4610501.0,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,Haiti,4000000.0,0,Not PBA,0,0
2009201p,0,1,SPECIxLIZEDkNSrIT8TE,z4227,0,0,0,0,Ethi8pia,581176.3634073911,0,0.1701697986010104,CxnadianginProfitMakijg,Clozed,0.4573378142742933,0,2,0,B420p,Dir4ctive,UncldedPrezPP,0,0,0.010703822998516467,A020222001,4229943.14,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,0,Not PBA,0,0
20092p10,0,1,cPfCIALIZdDINS4ITUTE,S4q27,0,0,0,0,Ethuopia,2514017.2865126957,0,0.1822327011821055,CanawianNoh05ofitMaking,Coosed,1.2846500199961177,0,2,0,f4200,D7rective,Unc9dedPrwAPP,0,0,0.00698429200285628,A020222001,4229943.14,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,0,Not PBA,0,0
20092p10,0,1,ePECIALIaEDINSTo6UTE,S422i,0,0,0,0,dthiopia,816254.0391228202,0,0.645675357478553,xanwdoanmonProfitMaking,xlosed,0.8143502507985654,0,2,0,B4100,Dirwctive,UjcofedPreAPP,0,0,0.018769408215021887,A020222001,4229943.14,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,0,Not PBA,0,0
20p92010,0,1,wPECIAL9ZEDIbSTITkTE,S5227,0,0,0,0,Ethiooia,720934.205146285,0,0.5817012392880843,CanqdianNonProtifMaoing,flosed,0.17980302602669052,0,2,0,B4100,cirective,Uncoved9reAPP,0,0,0.007419024778718947,A020222001,4229943.14,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,0,Not PBA,0,0
20002010,0,1,zPECIALIxEDINSTjT6TE,S42q7,0,0,0,0,Ethiop8a,924248.5001800448,0,0.3809415142560928,famadjanNonProfitjaking,dlosed,0.8686449304876037,0,2,0,B4300,Dlrective,Uncod4dPreAP9,0,0,0.0016349198692430869,A020222001,4229943.14,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,0,Not PBA,0,0
2009e010,0,1,CONSUiTINGSERdIC3S,S4243,0,0,0,0,Senegap,490881.32575270406,0,0.043473945678234954,Camzdianlr9fitMaking,Trrninating,0.8386903682191958,0,2,0,Bt200,Direvtive,incovedPreAPP,0,0,0.012175992226604967,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,4518387.69,0,Not PBA,0,0
20082010,0,1,C8NSULTAjT,w4233,0,0,0,0,Senebal,831008.9166909828,0,0.3045057464454767,Canad8an9roritMwking,Te3minatlng,1.2701998651151878,0,2,0,Bt200,Direstive,UmcodedPreAlP,0,0,0.002163540924830879,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,4518387.69,0,Not PBA,0,0
2o092010,0,1,fONShLTINGSERVICEx,S42w3,0,0,0,0,Senegql,279656.1267338879,0,0.29794674044313657,danxdian0fofitMaking,Termknaying,0.9724028404173137,0,2,0,v4200,Directkve,UncodedoreA0P,0,0,0.011094562260648429,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,4518387.69,0,Not PBA,0,0
20p92010,0,1,C9NSULTAN4,S423r,0,0,0,0,Senefal,175283.2370299074,0,0.1644616723894115,Canadian93lfitMakijg,5erminzting,0.8644720461575892,0,2,0,n4200,Direftive,UbcodedPr2APP,0,0,0.001514722397807085,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4238,Senegal,4518387.69,0,Not PBA,0,0
2009e010,0,1,CONSUL6INGS2RVICEx,e4429,0,0,0,0,Gutana,1280906.320275281,0,0.03722284042599844,CansdiaborofitMxking,Clos4d,0.845352284215475,0,1,0,B3400,Directivd,UnckdedPrexPP,0,0,0.008634219239132865,A020252001,7850039.11,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4438,Caribbean Regional - Guyana,7850039.11,0,Not PBA,0,0
20092910,0,1,FEDERwL,S5130,0,0,1,0,Phililpunes,156071.19447129383,0,0.3428390432900478,CanadianNonProf9tnajimg,Closec,0.45284541018109953,0,3,1,B4200,Directiv3,Uncoded0teAPP,0,0,0.008310855578606504,A020272001,13000520.92,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,0.0,0,Not PBA,0,0
2009q010,0,1,FEDEdAL,S4230,0,0,1,0,Phiiip0ines,61959.68298167434,0,0.4673316076168175,CanadiagNohP5ofitMajing,Cloced,0.06199647660314389,0,3,1,g4100,Directivw,UncodedP3fAPP,0,0,0.0124898925664624,A020272001,13000520.92,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,0.0,0,Not PBA,0,0
20992010,0,1,F2DERAL,S4140,0,0,1,0,Philuppin4s,763170.5579879106,0,0.22659051759920718,CanadiqnNonPfoflyMaking,Cloaed,1.1585827853361987,0,3,1,B4w00,Direct9ve,UncoxfdPreAPP,0,0,0.004657463956792203,A020272001,13000520.92,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,4128,Philippines,0.0,0,Not PBA,0,0
20091010,0,1,FEfERAL,S4w41,0,0,0,0,Pskistan,1118266.7297333344,0,0.6091093080771678,danadianNonPr8fotMak7ng,6frminating,1.5573646959521583,0,3,0,B4109,D8rective,UncoxewPreAPP,0,0,0.006504820968170334,A020279001,2645994.04,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0.0,0,Not PBA,0,0
20092p10,0,1,CONSULTugGS3RVICES,S4q71,0,0,0,0,Mxlawi,1310555.106288685,0,0.18371772391828026,CanzrianProfitMajimg,Closec,0.5727277416336476,0,2,0,B4209,Direvtive,UbxodedPreAPP,0,0,0.0027255357512932154,A020392001,7747230.74,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4280,Malawi,0.0,0,Not PBA,0,0
20992010,0,1,FEDERAk,c4122,0,0,0,0,Banboadesh,1794515.2408222742,0,0.4328928888651047,CanadianNohPfogitMakinh,Ckosed,0.10145773299816174,0,3,0,B5100,Direct7ve,UncodedPrrAP0,0,0,0.00013404863785701601,A020395001,4947637.32,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,0.0,0,Not PBA,0,0
2009w010,0,1,Unknowm,S41e2,0,0,0,0,Banblzdesh,290406.19582777214,0,0.33449613220514895,Uncodes,Cllsed,0.9906094436349169,0,3,0,g4100,Directife,UmcodsdPreAPP,0,0,0.004136024691589275,A020395001,4947637.32,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,0.0,0,Not PBA,0,0
20092910,0,1,dONS8LTANT,S5271,0,0,0,0,Moxamnique,1635405.9409596468,0,0.44084287474088724,sanad9anProfitjsking,Closrd,0.895686419810504,0,2,0,B5200,Directife,UncodevPrezPP,0,0,0.00636018876828394,A020398001,9096651.0,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,Mozambique,0.0,0,Not PBA,0,0
2o092010,0,1,fONS6LTANT,S427w,0,0,0,0,Moaambkque,608388.0149259134,0,0.2579804254709544,CanaxianPr8bitMakijg,Closec,0.42270540779548366,0,2,0,B4209,Directibe,UncovedoreAPP,0,0,0.0026710151886892262,A020398001,9096651.0,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,Mozambique,0.0,0,Not PBA,0,0
20092o10,0,1,FED2RAL,S4297,0,0,0,0,Came5oon,1064371.2689116688,0,0.26365178650426224,sqnadianNohProfitjaking,Cposed,0.9605064379103754,0,2,1,f4200,Directife,UncidedPresPP,0,0,0.0021895689172875105,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,0,Not PBA,0,0
20002010,0,1,SUPPLIEgpdGOODSSERgICES,S4288,0,0,0,0,sameroon,857283.3901234375,0,0.2627548454564915,CajadjanProfirMzking,Cposed,0.6183152903302671,0,2,1,B420p,Directkve,UgcodedPreAlP,0,0,0.0025547263117212545,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,0,Not PBA,0,0
2o092010,0,1,COOPERANr,S42o7,0,0,0,0,Caheroon,2491251.570682922,0,0.06647663106090851,CamadiagPfofitMakihg,Clpsed,0.5592145455859305,0,2,1,B4100,cirective,UncodedPresP9,0,0,0.010884759945888412,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,0,Not PBA,0,0
20092019,0,1,Unkno3n,q4287,0,0,0,0,xameroon,1478451.3985537714,0,0.2944394600137846,Uncodfd,dlosed,0.2925767378831533,0,2,1,Be200,Durective,Uncod2dPrezPP,0,0,0.007139682226192217,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,0,Not PBA,0,0
e0092010,0,1,ASSOCIATIkNw,Se233,0,0,0,0,Guinew,1726054.7659701896,0,0.7424960954993323,CanadianN8gProritMakinf,Cposed,0.8200780284161193,0,2,0,B42p0,Directjve,UncodddPreA9P,0,0,0.0035452123886525492,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
30092010,0,1,CObSULTINGSERgICfS,S4223,0,0,0,0,vuinea,70111.91063358865,0,0.07926054973109509,CanxdiahProfitMskint,Cl9sed,1.066649344761697,0,2,0,B420o,Difective,Umc8dedPreAPP,0,0,0.011602789892955842,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
2009w010,0,1,ASS9C8ATIONS,S423w,0,0,0,0,Guimea,780189.9419334529,0,0.417070715368802,CxnadianNonPfkritMaking,Closex,1.0682254234736381,0,2,0,B4e00,Directife,yncodedP4eAPP,0,0,0.007963449894627939,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20092019,0,1,CONSULTjNySERdICES,a4233,0,0,0,0,Guin3a,1511328.7457071384,0,0.6484348001512916,Cqnadian0rlfitMakimg,Clozed,1.1782776109458215,0,2,0,Be200,cirective,UndodedPreA0P,0,0,0.00042955410376046443,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20p92010,0,1,AScOCuATIONS,q4233,0,0,0,0,Guunea,534859.447672273,0,0.06993898445570368,CanadiajNon9dofitMaling,Closrd,1.220320799838853,0,2,0,Br200,Direcyive,UncodevPresPP,0,0,0.002997320634377473,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20992010,0,1,COhaULfINGSERVICES,S4234,0,0,0,0,G7inea,911297.4220943848,0,0.12376845396348095,Csnadiah9rof7tMaking,Clksed,0.03756386435572456,0,2,0,B4w00,Dirextive,8ncofedPreAPP,0,0,0.02297804894224306,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20992010,0,1,ASSOCIwTI0NS,S4232,0,0,0,0,Guinez,2657125.371352219,0,0.28970922747717887,CanadosnNonProfitMwkinh,Clised,1.04363591549598,0,2,0,B420p,Direc6ive,Und8dedPreAPP,0,0,0.007602462745411659,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20093010,0,1,COmSULT7NGSERVICEe,S423r,0,0,0,0,Guimea,500533.0593607612,0,0.4320752110350396,Canadizn9rofitjakinr,Closwd,0.9791411921953337,0,2,0,B4209,Di3ective,UndocedPreAPP,0,0,0.0017087989126146749,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20092910,0,1,ASc0CIATIONS,S5233,0,0,0,0,G6inea,1268483.3029795215,0,0.4128552478192513,CagadisnNonProfithsking,Clised,1.4863871600153504,0,2,0,B42p0,Directice,UnvodedPreAPl,0,0,0.011210929066051084,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20p92010,0,1,dONcULTINGSERVICEc,S4w33,0,0,0,0,Guijea,583446.0828744511,0,0.46321163644010377,CwnadianProfkgnaking,Ckosed,0.2477088297112776,0,2,0,B4e00,firective,UncofedPreAP9,0,0,0.01627723664154209,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,4242,*Guinea,11427061.07,0,Not PBA,0,0
20092019,0,1,NGO,S414q,0,1,0,0,SriLxnka,192576.58913408476,0,0.08155912048521774,CanasiqnNonProfitMauibg,xlosed,1.4489774542695653,0,3,0,Bt100,Durective,UncodedPreA0l,0,0,0.025208441215019618,A020790001,4308867.95,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0.0,0,Not PBA,0,0
200o2010,0,1,NGO,Sr141,0,1,0,0,wriLanka,1416887.0299237603,0,0.12540177953744863,CwnadianNon9rpfitMak9ng,Coosed,0.2468286524996618,0,3,0,B4109,Directige,UncovedPrewPP,0,0,0.004499450502093915,A020790001,4308867.95,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0.0,0,Not PBA,0,0
200920q0,0,1,FED3RAL,S421y,0,1,0,0,Mali,783192.2209745909,0,0.2381425130190686,CanaeiamNon9rofitMakinr,Clowed,1.6129672098611203,0,2,0,B5200,Directove,hnckdedPreAPP,0,0,0.009035572086578922,A020891001,3063216.68,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,0.0,0,Other PBA,0,0
2o092010,0,1,Unkmown,Sr215,0,1,0,0,Mali,389069.4789532118,0,0.1674654069620784,Uncoxed,Clos3d,0.3827201851624775,0,2,0,B42o0,Directiv4,UncodfdPreAoP,0,0,0.006093499910189833,A020891001,3063216.68,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,0.0,0,Other PBA,0,0
29092010,0,1,FEDEtAL,S4e15,0,0,0,0,Mali,511373.59059853014,0,0.07215107202919177,CanadjxnNonProfitnaling,Coosed,0.8751419944465108,0,2,0,B4100,Directiv2,UncodfsPreAPP,0,0,0.03311281249675111,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,16726210.87,0,Other PBA,0,0
2009e010,0,1,CONSUoTINGSfRgICES,S42q5,0,0,0,0,Mali,679989.5300146511,0,0.17683494891106466,vanad7anPr8futMaking,Clised,0.8508326093261963,0,2,0,B42p0,Di5ective,UnckdddPreAPP,0,0,0.02419044595853731,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,16726210.87,0,Other PBA,0,0
2p092010,0,1,CONSULToNnSERfICES,S3215,0,0,0,0,Mali,561162.6571990172,0,0.4875702893223771,CajadianP4ofitMqkinf,Cloaed,0.4108368693844364,0,2,0,v4200,Di4ective,UnsodedPrexPP,0,0,0.005311298103068408,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,16726210.87,0,Other PBA,0,0
20092910,0,1,FErERAL,S441w,1,1,0,0,xouyhAmerica,244949.01657072204,0,0.29793117358487803,CanariqnNonPeofitMqking,Coosed,0.19688099908406886,0,1,1,Bt400,Rexpohsive,UncoderPreA9P,0,0,0.004900191270932001,A020910001,1488850.78,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,0.0,0,Not PBA,0,0
10092010,0,1,jnknown,q4413,1,1,0,0,SoythAme3ica,1658516.784335656,0,0.10949981694246541,Uncowed,Ciosed,1.4580678686396213,0,1,1,B3400,Rezpons8ve,jncodedPresPP,0,0,0.008987117936713453,A020910001,1488850.78,NGM Americas,D4400,NDD Americas Programming,South America,4422,*Southern Cone,0.0,0,Not PBA,0,0
