assay_id,bao_format,assay_type,tid,assay_test_type,curated_by,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
15,BAi000p218,F,50185,,Int2rm3diate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
16,BA90000217,F,50185,,Igtefmediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,1280.0,,,
17,nAO0009357,A,100122,,Expe5t,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,10116.0,,,
18,BAO000034i,B,12054,,Autlsuration,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
19,BAO0000p29,B,12054,,Autpcuratiob,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,
20,BAO0p09357,B,12054,,Au4ocuratlon,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
21,BAOop00357,B,12054,,Autifuration,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
22,BAO00003y8,B,12054,,xutocudation,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,
23,BqO00p0357,B,12054,,Autocyratiin,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
24,fAO000o357,B,12054,,Aufocu3ation,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,
25,Bql0000219,B,22226,,Au5ocuratiog,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,
26,BAO0p00r57,B,12054,,sutocuratiom,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Oryctolagus cuniculus,9986.0,,,
27,BAp0009357,B,12054,,Aktocuratlon,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Oryctolagus cuniculus,9986.0,,,
28,vAO0900219,B,12426,,Autocurwt9on,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,
29,vAO000035i,B,12054,,Autocueahion,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,soya bean,3847.0,,,
30,BAO009o357,B,12054,,Aut9curatiln,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Glycine max,3847.0,,,
31,BAO00p035i,B,12054,,Autocu4atiog,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Glycine max,3847.0,,,
32,BAO00p0367,B,12054,,Autocurat8pn,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Glycine max,3847.0,,,
33,fAO0o00357,B,12054,,Autkcuratiin,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Glycine max,3847.0,,,
34,BAOo00o357,B,12054,,Auf0curation,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,3847.0,,,
35,BA8o000357,B,12054,,Auyocuratipn,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,3847.0,,,
36,BAO0o000w9,A,22226,,Autocueat8on,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Rattus norvegicus,10116.0,,,
37,BAO00009w9,B,22226,,Autocurat8ob,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Escherichia coli,562.0,,,
38,BwO00p0019,B,22226,,Aut9curatiob,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,
39,BAO00002e4,B,22222,,Intermedozte,3782,Dissociation constant towards 16S rRNA construct A,,,,,,
40,BA90090225,B,22222,,In6rrmediate,3782,Dissociation constant towards 16S rRNA construct B,,,,,,
41,BAO00o0e25,B,100263,,Expsrt,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Escherichia coli,562.0,,,
42,BsO0p00225,B,100263,,Expeet,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Escherichia coli,562.0,,,
43,BAO000o01i,B,13053,,Au6ocu3ation,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
44,BAO00o0p19,B,13053,,Autocutatioj,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
45,vAO000o019,B,20001,,Auticuratlon,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,9606.0,,,
46,BAO0p0001p,B,20001,,Autovurxtion,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,9606.0,,,
47,BwO00o0019,B,12971,,Exp4rt,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,10116.0,,,
48,BAO00o001p,B,12971,,rxpert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,10116.0,,,
49,BAO0000ow9,B,12971,,3xpert,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,10116.0,,,
50,BAO90000w9,B,12971,,Espert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,10116.0,,,
51,gAO00000w9,B,13053,,Aut8curatuon,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
52,BAl00003r7,B,11512,,Autosu4ation,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,
53,BAk0o00357,B,11512,,Autocuratokn,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,
54,BAO00004t7,B,11512,,A6tocu4ation,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,
55,BAOo090249,B,104740,,Autocufatikn,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Rattus norvegicus,10116.0,,,
56,BsOp000219,F,80002,,Inteem4diate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,Homo sapiens,9606.0,,,1A9
57,BAOp00o219,F,104835,,Autoc74ation,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Rattus norvegicus,10116.0,,,Oocytes
58,BAi0000229,F,104821,,Aurocurwtion,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Rattus norvegicus,10116.0,,,Oocytes
59,BA800002q9,F,104848,,Autocurarioh,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Rattus norvegicus,10116.0,,,Oocytes
60,fAO0o00219,F,80002,,Edpert,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,Homo sapiens,9606.0,,,1A9
61,BAO0909219,F,80002,,Inte3medixte,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,Homo sapiens,9606.0,,,1A9
62,BAk0000218,F,80002,,In4ermediatf,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,Homo sapiens,9606.0,,,1A9
63,Bs90000219,F,80002,,Infermedoate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,Homo sapiens,9606.0,,,1A9
64,BAip000219,F,80002,,Intermsd9ate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,Homo sapiens,9606.0,,,1A9
65,gAOo000219,F,80002,,Eapert,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,Homo sapiens,9606.0,,,1A9
66,BAOo000119,F,80002,,Intermesiare,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,Homo sapiens,9606.0,,,1A9
67,BAO000p229,F,80002,,Intermed8xte,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,Homo sapiens,9606.0,,,1A9
68,BAOo00021p,F,80002,,Ibtermediats,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,Homo sapiens,9606.0,,,1A9
69,BAO0p00319,F,80002,,ohtermediate,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,Homo sapiens,9606.0,,,1A9
70,BAk00002q9,F,80002,,4xpert,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,Homo sapiens,9606.0,,,1A9
71,BAO0000ew9,F,80002,,Experf,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,Homo sapiens,9606.0,,,1A9
72,BsO0o00219,F,80002,,Exprrt,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,Homo sapiens,9606.0,,,1A9
73,BAO00o9219,F,80002,,Intermedlaye,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,Homo sapiens,9606.0,,,1A9
74,BAO00p021i,F,80002,,Interneriate,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,9606.0,,,1A9
75,BAOo00021p,F,80002,,Inyernediate,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,9606.0,,,1A9
76,BAi000021p,F,81072,,Igtermsdiate,17721,Inhibitory concentration against Jurkat cells,,Homo sapiens,9606.0,,,Jurkat
77,BAO9000o19,F,22226,,Intermedizhe,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,
78,BA8p000357,A,100121,,Exlert,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,10116.0,,,
79,Bzk0000357,B,11231,,Eapert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
80,BAO000p457,B,11231,,rxpert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
81,BA90000w57,B,11231,,2xpert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,
82,nAO0000w51,B,11231,,Au4kcuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,,
83,BAO00p0241,B,11231,,Autocueatipn,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,,
84,BAO0000wr1,B,11231,,qutocurxtion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,,
85,vwO0000251,B,11231,,A7tocuratiln,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,,
86,BAO0o00351,B,12083,,Aut0curqtion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Sus scrofa,9823.0,,Liver,
87,BAO009001o,B,11231,,wutocuratiog,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,10116.0,,,
88,BzO0o00019,B,11231,,Autoxurati9n,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,10116.0,,,
89,gAO00o0019,B,11231,,sutocjration,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,10116.0,,,
90,BAO000024q,B,12083,,Autocutatiin,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,Liver,
91,Bqi0000251,B,12083,,zutocura6ion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,Liver,
92,BAOpp00251,B,12083,,Auylcuration,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,Liver,
93,BAOp0003t7,B,11377,,2xpert,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,
94,fAO00003y7,B,11377,,Expe5t,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,
95,BAO00001w9,F,81020,,Exoert,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,9606.0,,,HepG2
96,BAi0o00219,F,81020,,Inyermediats,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,9606.0,,,HepG2
97,BAO00o021o,F,81020,,Intedmed7ate,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,9606.0,,,HepG2
98,hAO00002w9,F,81020,,unterm4diate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,9606.0,,,HepG2
99,BAO0000220,F,81020,,Imtermedia5e,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,,HepG2
100,nAO00002q8,F,50606,,Edpert,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,10407.0,,,
101,BAO0090319,F,81020,,kntegmediate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,9606.0,,,HepG2
102,BAp0000229,F,81020,,Intermedixhe,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,9606.0,,,HepG2
103,BqO000021i,A,81020,,Imtermediste,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,9606.0,,,HepG2
104,BAO000ow18,F,50587,,Intfrmrdiate,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,9606.0,,,2.2.15
105,BAO000ow18,F,50587,,Igfermediate,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,,2.2.15
106,gAOo000218,F,50606,,Expdrt,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,10407.0,,,2.2.15
107,BA800002w8,F,50587,,Intermeciatw,1593,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,,,2.2.15
108,BAO9009218,F,50587,,Interm3dia6e,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,,2.2.15
109,BAO00o0q18,F,50587,,Int4rmeeiate,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,9606.0,,,2.2.15
110,Bqi0000218,F,50587,,Ibtermedoate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,,,2.2.15
111,BAl0000228,F,50587,,Intsrmedia4e,1593,Cytotoxicity in 2.2.15 cells,,Homo sapiens,9606.0,,,2.2.15
112,BAO00p0q18,F,50587,,Inyermefiate,1593,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,,2.2.15
113,BwO0000118,F,50587,,In5ermedoate,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,9606.0,,,2.2.15
114,BAO0000319,F,50587,,9nterkediate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,,2.2.15
115,fAO000p218,F,50587,,Ijtermed8ate,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,,2.2.15
116,BsO000021i,F,81020,,Inteehediate,14764,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,9606.0,,,HepG2
117,BqO0000e51,B,22226,,Aytocuratiom,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,9606.0,,,
118,BAO000901o,B,22226,,Autocura67on,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,
119,fAi0000219,F,80612,,Interkediste,17072,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,9606.0,,,2008
120,BAOo0o0219,F,80612,,Intrrmsdiate,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,9606.0,,,2008
121,BzO00p0219,F,80612,,lnterjediate,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,9606.0,,,2008
122,Bxk0000219,F,80612,,Integmediwte,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,9606.0,,,2008
123,BAl0900219,F,80612,,Intermedixtd,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,9606.0,,,2008
124,BAOp0o0219,F,80613,,Intdrmsdiate,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,9606.0,,,2008/R
125,BAO00p0319,F,80613,,Igtetmediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,,,2008/R
126,BAO009021i,F,80614,,Int3rmewiate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,9606.0,,,2008/S
127,hA00000219,F,80614,,Ibtermedkate,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,,,2008/S
128,BA00o00220,B,100256,,Exper5,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,9606.0,,,
129,nAO0000210,B,100256,,Integhediate,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,9606.0,,,
130,BqOo000220,B,100256,,Exp3rt,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,
131,hAO00o0220,B,100256,,Experg,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,
132,BAOp000120,B,100256,,Int4rkediate,3260,Inhibitory activity against 20S proteosome,,,,,,
133,nAO000o019,B,22226,,xutocuragion,3451,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,9606.0,,,
134,Bwk0000219,F,81020,,In5erm4diate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,,,HepG2
135,BAO00p021p,F,81020,,Intermediagr,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,,,HepG2
136,BA90000010,B,22226,,Autoc6ratkon,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,
137,BAOp090357,B,235,,Autoxuratiin,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,
138,BAOpp00218,F,22226,,Autocugatiln,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,Rattus norvegicus,10116.0,,Heart,
139,BxO00p0019,F,19640,,Autocugatioj,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
140,BAOp000o19,F,19640,,Exoert,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
141,BxO9000357,B,19640,,Akhocuration,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
142,BsO0000018,F,19640,,Espert,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
143,BAOp00021p,F,80360,,Intermediaff,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,10090.0,,,P338
144,BAO00op219,F,80360,,Intermrdiare,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,10090.0,,,P338
145,BAO000011i,F,80384,,Intermediztr,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,9606.0,,,PBL
146,BAO0pp0019,F,22226,,zutocu4ation,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,9940.0,,,
147,BAl0009019,F,22226,,sutovuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,Ovis aries,9940.0,,,
148,BAO0o00457,B,191,,xutocurstion,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,
149,BwO0900019,F,22226,,A8tocuratiog,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,Homo sapiens,9606.0,,,
150,BAl0090019,F,22226,,Ahtocuratioh,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,Homo sapiens,9606.0,,,
151,BAOpo00219,F,22226,,Aktocuragion,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,Homo sapiens,9606.0,,,CCRF-CEM
152,BzO00002w9,F,22226,,Aut9curatikn,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,Homo sapiens,9606.0,,,CCRF-CEM
153,BqOo000219,F,22226,,A8tocjration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,Homo sapiens,9606.0,,,CCRF-CEM
154,BAp0000319,F,22226,,Autocurqtiin,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,Homo sapiens,9606.0,,,CCRF-CEM
155,BA80000010,F,22226,,wutocurat9on,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,Homo sapiens,9606.0,,,
156,BqO0000p19,F,22226,,Aut8curatiob,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,Homo sapiens,9606.0,,,
157,vAO0090249,B,104290,,Autocurqgion,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,
158,BAO00p02q8,F,50264,,7ntermediat3,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,Streptococcus pyogenes,1314.0,,,
159,fAO000021o,F,50527,,Intremediate,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,Human herpesvirus 3,10335.0,,,
160,BAO0o09218,F,50527,,Exper4,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,vericilla zoster virus,10335.0,,,HEL
161,BAO0op0218,F,50527,,Intermedkatf,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,vericilla zoster virus,10335.0,,,
162,BAO0p90218,F,50527,,Intermeriste,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,vericilla zoster virus,10335.0,,,
163,BAO000022i,F,50145,,Inte4mddiate,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,escherichia cloac,561.0,,,
164,nAO000001i,B,22226,,Aytocutation,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,
165,BAO00o9249,B,11143,,Exoert,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,Candida albicans,5476.0,,,
166,BAOp900357,B,18077,,Expedt,2205,"Inhibition of 1,3-beta-glucan synthase",,Candida glabrata CBS 138,284593.0,,,
167,BAO900o219,F,80609,,7ntermed8ate,11900,Inhibition of growth of 1-87 human tumor cell line,,Homo sapiens,9606.0,,,1-87 tumor cell line
168,BAO000o21o,B,12166,,Exper5,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,Rattus norvegicus,10116.0,,,
169,vAO0090357,B,100171,,wutocuratiln,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,Glycine max,3847.0,,,
170,vAi0000357,B,100171,,wutocurat9on,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,Glycine max,3847.0,,,
171,BAl0000r57,B,100171,,Autocurstikn,16474,% inhibition against soybean 1-lipoxygenase (SLO),,Glycine max,3847.0,,,
172,BAO00093y7,B,100171,,Aht0curation,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,Glycine max,3847.0,,,
