assays_ss_strn,assays_src_d,assays_ss_cll_tp,assays_vrnt_d,assays_ss_tst_tp,assays_ss_rgnsm,assays_b_frmt,assays_ss_tp,assays_rltnshp_tp,assays_src_ss_d,assays_ss_d,assays_chmbl_d,assays_ss_tss,assays_ss_sbclllr_frctn,assays_dc_d,assays_tss_d,assays_crtd_b,assays_ss_tx_d,assays_dscrptn,assays_cnfdnc_scr,assays_cll_d,assays_td,assays_ss_ctgr
,1,,,,,BAO_0000100,P,U,,7535,CHEMBL618657,,,5182,,Intermediate,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),0,,22229,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7536,CHEMBL618658,,,17847,,Intermediate,10116.0,Solubility was determined,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7537,CHEMBL618659,,,15339,,Intermediate,10116.0,solubility in water (ug/mL) at 37 degree C.,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7538,CHEMBL618660,,,5202,,Intermediate,10116.0,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7539,CHEMBL618661,,,1088,,Intermediate,10116.0,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7540,CHEMBL873807,,,3169,,Intermediate,10116.0,Half life in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7541,CHEMBL618662,,,5353,,Intermediate,10116.0,Half life in Dawley rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7542,CHEMBL618663,,,2864,,Intermediate,10116.0,Half life period after 3 mg/kg iv administration,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7543,CHEMBL618664,,,2864,,Intermediate,10116.0,Half life period after 3 mg/kg iv administration in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7544,CHEMBL618665,,,2864,,Intermediate,10116.0,Half life period after 3 mg/kg iv administration in the rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7545,CHEMBL876498,,,6362,,Intermediate,10116.0,Half life period in female Sprague-Dawley rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7546,CHEMBL618666,,,6249,,Intermediate,10116.0,Half life period in rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7547,CHEMBL620440,,,3169,,Intermediate,10116.0,Half-life in rats was determined,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7548,CHEMBL620441,,,3169,,Intermediate,10116.0,Half-life in rats with metabolic oxidation,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7549,CHEMBL620442,,,3169,,Intermediate,10116.0,Half-life in rats,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7550,CHEMBL620443,,,17260,,Intermediate,10116.0,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7551,CHEMBL620444,,,17260,,Intermediate,10116.0,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7552,CHEMBL620445,,,17260,,Intermediate,10116.0,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7553,CHEMBL620446,,,17260,,Intermediate,10116.0,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7554,CHEMBL620447,Plasma,,2879,1969.0,Intermediate,10116.0,Biological half-life measured in plasma of rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7555,CHEMBL621129,Plasma,,2879,1969.0,Intermediate,10116.0,Biological half-life measured in plasma of rat; 22-25,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7556,CHEMBL621130,Plasma,,2879,1969.0,Intermediate,10116.0,Biological half-life measured in plasma of rat; 9-16,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7557,CHEMBL873808,,,3184,,Intermediate,10116.0,Compound was evaluated for its half life when administered intravenously in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7558,CHEMBL876598,,,4891,,Intermediate,10116.0,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7559,CHEMBL621131,,,429,,Intermediate,10116.0,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7560,CHEMBL621132,,,5656,,Intermediate,10116.0,Half life (T1/2) after oral administration in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7561,CHEMBL621133,,,4413,,Intermediate,10116.0,Half life of compound after iv administration of 20 mg/kg dose in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7562,CHEMBL621312,,,3598,,Expert,10116.0,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7563,CHEMBL621313,,,17267,,Intermediate,10116.0,Half life of compound was determined in rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7564,CHEMBL621314,Blood,,4727,178.0,Intermediate,10116.0,Half life of compound was determined in rat blood,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7565,CHEMBL621315,,,17651,,Intermediate,10116.0,Half life at 1 mg/kg was determined in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7566,CHEMBL621316,,,17651,,Intermediate,10116.0,Half life at 10 mg/kg was determined in rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7567,CHEMBL621317,,,401,,Intermediate,10116.0,Half life in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7568,CHEMBL621318,,,4942,,Intermediate,10116.0,Half life in rats in hours,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7569,CHEMBL621319,,,17735,,Intermediate,10116.0,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7570,CHEMBL621377,,,6056,,Intermediate,10116.0,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7571,CHEMBL621378,,,5213,,Intermediate,10116.0,Half life was determined,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7572,CHEMBL876599,,,6616,,Intermediate,10116.0,Half life after i.v. administration,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7573,CHEMBL621379,,,5937,,Intermediate,10116.0,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7574,CHEMBL621380,Plasma,,5819,1969.0,Intermediate,10116.0,Half life in rat plasma,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7575,CHEMBL621381,Plasma,,5819,1969.0,Intermediate,10116.0,Half life in rat plasma; Not detected,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7576,CHEMBL618515,,,6803,,Intermediate,10116.0,Half life in rats,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7577,CHEMBL618516,,,17804,,Intermediate,10116.0,Half life period of compound was determined after peroral administration,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7578,CHEMBL618517,,,17804,,Intermediate,10116.0,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7579,CHEMBL618518,,,5948,,Intermediate,10116.0,Half life period in rat,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7580,CHEMBL618519,,,1916,,Intermediate,10116.0,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7581,CHEMBL618698,,,1916,,Intermediate,10116.0,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7582,CHEMBL618862,,,1916,,Intermediate,10116.0,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7583,CHEMBL618863,,,4890,,Intermediate,10116.0,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7584,CHEMBL618864,,,17764,,Intermediate,10116.0,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7585,CHEMBL618865,,,4727,,Intermediate,10116.0,Half life time in rat the dose of 2 mg/kg,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7586,CHEMBL618866,,,17509,,Intermediate,10116.0,Half-life 24 hr after 10 mg/kg iv administration in rats,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7587,CHEMBL618867,,,17509,,Intermediate,10116.0,Half-life 24 hr after 2 mg/kg iv administration in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7588,CHEMBL875828,,,6597,,Intermediate,10116.0,Half-life consistent with the observed metabolic steady state in rats,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7589,CHEMBL618868,,,17735,,Intermediate,10116.0,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7590,CHEMBL618869,,,6597,,Intermediate,10116.0,Half-life for oxidative metabolic stability was determined using male human,1,,50597,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7591,CHEMBL618870,,,17670,,Intermediate,10116.0,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7592,CHEMBL618871,Plasma,,1696,1969.0,Intermediate,10116.0,Half-life in rat plasma,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7593,CHEMBL618872,Plasma,,1742,1969.0,Intermediate,10116.0,Half-life in rat plasma was determined,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7594,CHEMBL873816,,,17800,,Intermediate,10116.0,Half-life in rats was determined,1,,50597,
,1,,,,,BAO_0000218,A,U,,7595,CHEMBL618873,,,12923,,Autocuration,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,0,,22224,
,1,,,,,BAO_0000019,A,U,,7596,CHEMBL621602,,,11954,,Autocuration,,Area under curve after oral dose of 0.1 mg//kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7597,CHEMBL621603,,,11954,,Autocuration,,Area under curve after oral dose of 0.3 mg/kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7598,CHEMBL621604,,,11954,,Autocuration,,Area under curve after oral dose of 1 mg/kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7599,CHEMBL621605,,,11954,,Autocuration,,Area under curve after oral dose of 10 mg/kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7600,CHEMBL621606,,,11954,,Autocuration,,Area under curve after oral dose of 23.4 mg/kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7601,CHEMBL621607,,,11954,,Autocuration,,Area under curve after oral dose of 3 mg/kg,0,,22224,
,1,,,,,BAO_0000218,A,U,,7602,CHEMBL621608,,,11954,,Autocuration,,Area under curve after oral dose of 3.87 mg/kg,0,,22224,
,1,,,,,BAO_0000019,A,U,,7603,CHEMBL621609,,,5237,,Autocuration,,Area under curve was determined,0,,22224,
,1,,,,,BAO_0000218,A,U,,7604,CHEMBL621610,,,4026,,Autocuration,,Area under curve at a dose of 10 mg/kg,0,,22224,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7605,CHEMBL621611,,,5237,,Intermediate,10116.0,Area under curve was determined; ND=No data,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7606,CHEMBL621612,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7607,CHEMBL622308,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7608,CHEMBL622309,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7609,CHEMBL622310,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7610,CHEMBL622311,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7611,CHEMBL622312,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7612,CHEMBL622931,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7613,CHEMBL622932,,,14793,,Intermediate,10116.0,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7614,CHEMBL622736,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7615,CHEMBL622737,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7616,CHEMBL622738,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7617,CHEMBL622739,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7618,CHEMBL622740,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7619,CHEMBL622741,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7620,CHEMBL622742,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7621,CHEMBL622743,Plasma,,14793,1969.0,Intermediate,10116.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,1,,50597,
,1,,,,Mus musculus,BAO_0000218,A,N,,7622,CHEMBL622744,Plasma,,11637,1969.0,Intermediate,10090.0,AUC in mice,1,,50594,
,1,,,,,BAO_0000019,A,U,,7623,CHEMBL624134,,,11149,,Autocuration,,Area under curve was measured from the graph obtained from concentration Vs time,0,,22224,
,1,,,,,BAO_0000019,A,U,,7624,CHEMBL624135,,,10016,,Autocuration,,Area under curve value of compound per hour after oral administration,0,,22224,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7625,CHEMBL624136,,,17796,,Intermediate,10116.0,Area under curve was determined after oral administration in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7626,CHEMBL624137,,,17796,,Intermediate,10116.0,Area under curve was determined after oral administration in rats; No data,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7627,CHEMBL624320,,,17796,,Intermediate,10116.0,Area under curve was determined after oral administration in rats;No data,1,,50597,
,1,,,,Canis lupus familiaris,BAO_0000218,A,N,,7628,CHEMBL624321,,,12923,,Intermediate,9615.0,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,1,,50588,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7629,CHEMBL624322,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7630,CHEMBL624323,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after iv dose of 5.06 in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7631,CHEMBL624324,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7632,CHEMBL624325,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7633,CHEMBL624326,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7634,CHEMBL624327,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7635,CHEMBL624328,,,15372,,Intermediate,10116.0,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,1,,50597,
,1,,,,Canis lupus familiaris,BAO_0000218,A,N,,7636,CHEMBL627848,,,14169,,Intermediate,9615.0,Area under curve was determined in Dogs after peroral administration,1,,50588,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7637,CHEMBL627849,,,14169,,Intermediate,10116.0,Area under curve was determined in Rats after peroral administration,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7638,CHEMBL627850,,,14258,,Intermediate,10116.0,Area under curve was determined in carotid blood of rat when administered intradermally,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7639,CHEMBL627851,,,14258,,Intermediate,10116.0,Area under curve was determined in portal blood of rat when administered intradermally,1,,50597,
,1,,,,Mus musculus,BAO_0000218,A,N,,7640,CHEMBL627852,,,15011,,Intermediate,10090.0,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7641,CHEMBL627853,,,15011,,Intermediate,10090.0,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7642,CHEMBL627854,,,15011,,Intermediate,10090.0,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7643,CHEMBL627855,,,15011,,Intermediate,10090.0,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7644,CHEMBL627856,,,15011,,Intermediate,10090.0,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7645,CHEMBL875339,,,15011,,Intermediate,10090.0,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,50594,
,1,,,,Mus musculus,BAO_0000218,A,N,,7646,CHEMBL627857,,,15011,,Intermediate,10090.0,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),1,,50594,
,1,,,In vivo,Rattus norvegicus,BAO_0000218,A,N,,7647,CHEMBL627858,Spleen,,11195,2106.0,Intermediate,10116.0,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7648,CHEMBL627859,Blood,,10130,178.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7649,CHEMBL627860,Brain,,10130,955.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7650,CHEMBL627019,Heart,,10130,948.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7651,CHEMBL627020,Liver,,10130,2107.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7652,CHEMBL627021,Lung,,10130,2048.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7653,CHEMBL627022,Muscle tissue,,10130,2385.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7654,CHEMBL627023,,,10130,,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7655,CHEMBL627024,Spleen,,10130,2106.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7656,CHEMBL627025,Thyroid gland,,10130,2046.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7657,CHEMBL627026,Kidney,,10130,2113.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7658,CHEMBL627027,Blood,,10130,178.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7659,CHEMBL627028,Brain,,10130,955.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,1,,50597,
,1,,,,Rattus norvegicus,BAO_0000218,A,N,,7660,CHEMBL627029,Heart,,10130,948.0,Intermediate,10116.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,1,,50597,
