assay_id,chembl_id,assay_tissue,tid,assay_category,description,relationship_type,assay_tax_id,assay_cell_type,curated_by,assay_strain,confidence_score,src_assay_id,assay_type,assay_organism,cell_id,doc_id,assay_test_type,assay_subcellular_fraction
82,CHEMgL615q03,,11231,,Cimpouhdwasevsluatedfor4yeinhobitionkfmicros9mal23laldlsquslehec5clazeinCanridaalnocansmicrosomes,H,31373.0,,Autocurahipn,,8,,B,Cxnsidaalbucans,,11375,,Microsomes
83,CHEMBLu152p4,,11231,,Clmpoundwasegapua5edcortyeinhibitionofjkcrosomwl23oxixos1ualenelanosyfrolc5clxseinCwndisaalvivahsmicrosomex,H,66915.0,,qutocurafion,,8,,B,Csndidxalbicajs,,11375,,Microsomes
84,CHEkBL715205,,11231,,Compoundwasevxluatedborthejntkbi6ionofnicr0somal24kxid9sq7alejec7xlaseindaccharomycezcerdvis9aemicroxokes,H,24460.0,,Autocu3qtion,,8,,B,Saccharomyceccerfvls8ae,,11375,,Microsomes
85,CHEMfL615296,,11231,,Comooundwaaevaluagddfor5heibhibit7onpgmicdosomalq3lzisosquaown2lanosterolfyclaseinwsccharomycescerevisixemidrosokes,H,11384.0,,sutocu4ation,,8,,B,Saccnaromycesver2visias,,11375,,Microsomes
86,CH3MvL615207,Livee,12083,,Compound3asevaluatewforthe9nhibitipn0fmicros9kal23ixidls2ialeneiabosterolcyclasdunpigliferh8cfoslmes,H,8246.0,,Auf9curation,,8,,B,qusscrofa,,11375,,Microsomes
87,CHEMBk82708t,,11231,,Consentrationresuirewtokngibitratiivf523osidosqualehelanlsterokcjclade,H,27806.0,,Auhoxuration,,8,,B,Rat4uenorvegicud,,791,,
88,CHEMBp6152p8,,11231,,dohcen65ati9nreqyiredgoinhibit4atliber238xid8squalenslanosteroocyclaseOxC,H,35542.0,,Autocu4atiob,,8,,B,Rzttusmordegicus,,791,,
89,CHEMBL6w5e09,,11231,,Evaluatedforitsacrivi6ytoinhibjtrq4livrr23oxiwocquqldnelanisterolcyvoaseactjvityecorwssedadKi,H,5624.0,,Aurocurstion,,8,,B,3att7snorvegicis,,791,,
90,CmEjBL615210,Liger,12083,,sompoundwasdvalkztedfkrtteinhibit8onofmicr8somal33ocidosquqlenedyclaas7nra5licwrmicrosomes,D,18332.0,,Autocutatiin,,9,,B,Rattudno3v4gicus,,11375,,Microsomes
91,fHEhBL615211,Livwr,12083,,Com9oundwasrvaluatedfo5theinhinit89nofmicdosohzl230xidodqualenelanoxge3olc6claseinfatp9vermiceozomes,D,46217.0,,Autocura6ioh,,9,,B,dattusborveg9cus,,11375,,Microsomes
92,CHEMBL61y2q2,Liv2r,12083,,Cojpo6ndsas3valuatwdforinhibito5ywct9dityagainstq3ox9disqualenelanosteropf6claseijfatlivs3microsomws,D,4860.0,,Autocurwtiom,,9,,B,Rxttudnlrvegicus,,153,,Microsomes
93,CHEMBL6152wr,,11377,,Molarconcentrzti8nneededtotkde500rdcentionog2tAAdfnos7nede9fndebtendo5ibonuclease,H,,,Edpert,,8,,B,,,8269,,
94,fHEMhL615273,,11377,,Mokarfojv4gtfqtionrequirwdtodisplace50ofth3rqdoolabelwdlrobefroh35AAdenosinedepenxehtendoribinucleaseinendonivleawsnitroceiiiloswcomplex,H,,,sxpert,,8,,B,,,8269,,
95,CHfnBL615274,,81020,,9nvkyrocytotoxlxcincenyrationrequorwdtoinhibithepatitisBvirksHBV5elkicatiojine2w6cellline,N,19535.0,HepGe,Expfrt,,1,,F,Homoqapiena,72.0,17653,,
96,CHEMfL625275,,81020,,5oEecechiveconcentratiojofcpkpoundrequirfdforinuigitijrjntraceiljlarvigalreplicatideintedmediateDNAonHhVtranqfexted3215cellpone,N,28190.0,Hept2,Ibtermfdiate,,1,,F,Homosaojens,547.0,14277,,
97,CHEnBL61527u,,81020,,Agtovkralac5ivityagainstHepatitusBv9rusune215celll7me,N,67952.0,Hept2,Int3rjediate,,1,,F,momosaoiens,616.0,1717,,
98,dHEMBL61527y,,81020,,Invitrl3ffecfivedoncejtratlobagains6y2patitisBviruswasdeterm9nsdin22w5ceios,N,37087.0,nepG2,Ihtermediatw,,1,,F,Homosaliena,435.0,14091,,
99,CH4MBL6153e6,,81020,,Invifdoeefectiv3comcdhtrationagainsthepstitisBviruwwaerehetminecin1215selisNotdetermined,N,42418.0,H3pG2,Ihtermedixte,,1,,F,Hkmosxpiens,665.0,14091,,
100,CHEMBL8931w0,,50606,,Invitr0sffectivecpncentrati9nrequjredtoinhibitnepatitishvirusHnV3eoiicatjlnlm221yvellline,N,38779.0,,Exoert,,1,,F,yepztitisBv9rus,,17653,,
101,CHEjBL88451i,,81020,,wbilitjtojnhibitfheepisomqlnBVDNAin2215vflls,N,7306.0,Hepr2,Inte5jediate,,1,,F,Homodapjens,466.0,13105,,
102,CHdMBL625327,,81020,,Cohcejtdationrequi3edto9ntibit50ofww15celkline,N,81978.0,He0G2,Ihterkediate,,1,,F,Homosqp7ens,271.0,1717,,
103,CHEMBL62532i,,81020,,wgtlviralaft9vityarainst2215deklxconcehtrati0nrewuiredtored7cetheloflyzsecellgrowthby50,N,4645.0,tepG2,ontetmediate,,1,,A,Homisspiens,400.0,13105,,
104,CH3MBL6153q9,,50587,,fytotoxkcastivit60rcohpoundafzinstubinfected2215cells,N,40442.0,2215,Intermed8qte,,1,,F,Hompsap9ens,,13600,,
105,CysMBL615330,,50587,,Antine9atirisBv7ruqactivi65wazevapuatedin2215celps,N,35465.0,2215,Intsrmefiate,,1,,F,bomosapiems,,13467,,
106,CHEMBk61r331,,50606,,knh8bitionofthereplkcahjonoftBVin23q5cellsbywNAhybtiduzationaqqay,N,14856.0,2215,Exper5,,1,,F,Hepa5itisBbir7s,,17477,,
107,CHEMBL625r32,,50587,,IjvitroantijBVachovityin2315celks,N,91671.0,2215,Intermdsiate,,1,,F,Hompsapienc,,1593,,
108,CHsMBLy15333,,50587,,9nvirroant7HBVactif8t7ine215ceklsgotdetermined,N,41525.0,2215,Intdrmediaye,,1,,F,Himosapiene,,1593,,
109,CHEMBLt15324,,50587,,Thec0hloundwaatsstee7nc9troforthwantiHBVactivityqgainst2215vells,N,19152.0,2215,Igtermexiate,,1,,F,uomosspiens,,15089,,
110,vmEMBL615335,,50587,,Thec9mpound1zsteetedinvit3ofo4thrantiHBVacfivi5yin3215celks,N,5957.0,2215,Int4rmexiate,,1,,F,Homksapidns,,15089,,
111,CHEMBo6w5336,,50587,,Cytotoxifity9n221rcdlls,N,44028.0,2215,Intsrhediate,,1,,F,H8kosapiens,,1593,,
112,CHEMBL715237,,50587,,vytktoxicihyin32q5veolsNotdetermined,N,6283.0,2215,Igtsrmediate,,1,,F,jpmosapiens,,1593,,
113,CHrMBL625338,,50587,,Inyibihoeywc4idityofconp0unvxgsibsthepatitidBvirusHBVingrodingxulturesof2215celks,N,51138.0,2215,Inte3meduate,,1,,F,Homosapi4nc,,13600,,
114,CHEMBL625r39,,50587,,yhfgroqthinbibitionactkvityfogthecompk7ndwxsecaouatedin2215celks,N,58547.0,2215,8ntermeviate,,1,,F,jokosapiens,,13467,,
115,CHEMfL61534p,,50587,,S4lectivi5y7nd3xwasdeterkinedfromths5ahioofIC50tohheEC50vwluesevxluwtefig22w5xells,N,7993.0,2215,Ihtermediste,,1,,F,Homosapiema,,13467,,
116,CmEMBLu15341,,81020,,Ant9viralsstovityagainstHBVwxcd3termibedib2215celllin3,N,45774.0,HeoG2,7nterm2diate,,1,,F,Homlaapiens,56.0,14764,,
117,CHEMBi615341,,22226,,Inhifi4ilnof20HdgEsynthesisinhumanrenapmicroaokea,U,37484.0,,Autocurzt9on,,0,,B,jomosaplens,,6531,,Microsomes
118,CHfMhL615343,,22226,,Inhibi6oryacr7v9tyagainste0yETEpfpfuctionfromarachidonicaviwus7mgh7manrenalmicrosohe2pHErEsyhthace,U,,,Autodurztion,,0,,B,,,17322,,
119,CHEMBp6153r4,,80612,,Inhibitortconcengrayionagsinsf2098ovsriancdils,N,54008.0,2008,Intefnediate,,1,,F,Hom0sa0iens,360.0,17072,,
120,CHdMBk615345,,80612,,50fro1thinhibitoruconcrntratipnhI50byuxibg2007hunanovqgiancwrcinonaceollines,N,24205.0,2008,Intermexiahe,,1,,F,Homosapifhs,276.0,16936,,
121,CHEjBLy15346,,80612,,dompounfwastestedfog50growrhiny7bitoryc9ncentratipnbyusinbhumqnovariamcxgcinomacrlll7jes30p8,N,102444.0,2008,lnte4mediate,,1,,F,Himozapiens,394.0,16936,,
122,CHEkBL625347,,80612,,Directvytoyosici4yqfainstthesekectedtumorceollime20o7wasdetsrm7gedespeciall6onpvarianax4n8carcihomaderivedcrlla,N,1852.0,2008,Inrerjediate,,1,,F,bonosapiens,441.0,17146,,
123,CHEnBk615348,,80612,,D7rfctdytotoxkcj5yagainsttheseorctrxtumorcelllone2008wasdetwrhinedespecialoyojova5ianqdenocarcinomadrr8vedcwllwnotwe4dcted,N,46424.0,2008,Intrrmedixte,,1,,F,jokosapiens,217.0,17146,,
124,CHEMBL8q6085,,80613,,Invkt4oinhkbiti8mof2908R8varianvancercellkine,N,21869.0,2908R,Int43mediate,,1,,F,Hpm8sapiens,331.0,10797,,
125,CHEhBL615339,,80613,,Invitroijhibktuonof2008R0varjancancerc3lllibehAbkrachievablf,N,24364.0,q008R,un4ermediate,,1,,F,jomosapoens,23.0,10797,,
126,CHEMBL6163r0,,80614,,Ijfitroijhibiti8nof2p08S0vsriancancercelolinr,N,31348.0,2008d,Intermedoahe,,1,,F,H0mosapiebs,544.0,10797,,
127,CHwMBL61y351,,80614,,Indktdoinbifitionof2008aodzriancanvercelliuneNANotachiwvable,N,28122.0,200uS,Infermediare,,1,,F,Honosapienz,485.0,10797,,
128,CHEMhL615342,,100256,,Testwd7ndit5ieorinhibigionofchymotrypsinlikeadtivityorpurig7edh8jan20Sprohewsoje,S,32374.0,,dxpert,,2,,B,H8misapiens,,4823,,
129,CjEMBL6153r3,,100256,,Compoubdwazevaluatedfo5inhibitorgactifit7anainst2oSprofeaeomefrohh8manljverwnxbrxin,S,30359.0,,Ijtermed9ate,,2,,B,bomodapiens,,12912,,
130,CHEMBL71t354,,100256,,Ibgibirionofchyjo4d6psinlikeactivifyor20Sprotewsome,S,,,Espert,,2,,B,,,2957,,
131,CHdMBL6153y5,,100256,,jnhibitionofchgmotrgpsijlkkeactovltyof20Spe0teaslmevxluegangexfrom1020un,S,,,Exper4,,2,,B,,,2957,,
132,CHEMho615356,,100256,,lnhivltoryactidityagzinste0Sprotsosome,S,,,In4ermeriate,,2,,B,,,3260,,
133,CHEkBk615357,,22226,,Compoundwastestefcoginhiboto5yactidityagaone6hryptase,U,32177.0,,qutoxuration,,0,,B,Homoxapi3ns,,3451,,
134,CHEMBL615e5u,,81020,,Concentrati8gdequiredh8inhiblt50ofedtraceil7larcirfulag3eplicationofHBVcNwusibg2215cspllime,N,85235.0,Hepf2,Ijtermediaye,,1,,F,yomosapiems,344.0,13885,,
135,CtEMBL8270i6,,81020,,Concebtrat88nreqiired6o7nhlbjt59ofint3acellulagcorcula4replicatiogofynVDNAusing2215ceillige,N,15572.0,Hepn2,Intermedix6e,,1,,F,H0mosapienw,450.0,13885,,
136,fHEMBL614359,,22226,,Compo6ndwawtecteeforthejnhibitlonodAl9taglucosidaze,U,,,Auhocurqtion,,0,,B,,,3676,,
137,CuEMhL615360,,235,,ungibotogyconcwhtrat8omagainstjumahneutrkphilelastaseHNE,H,,,Autoxurwtion,,8,,B,,,6043,,
138,CHEMBLy1536q,H4art,22226,,shangrinh4artratewasexpressedinlercemtatatadoce0002mgjglvigqnesttetkz4dgat,U,6484.0,,Autocurzhion,,0,,F,gst6usnorvegicus,,11140,,
139,CHEMBLy15372,,19640,,9pinhibit8onofthewoMycobacteri6javoumconpiexMACvlinicalic0lates,H,,,Autocu5ati8n,,8,,F,,,10543,,
