assay_id,assay_test_type,chembl_id,assay_strain,assay_cell_type,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_subcellular_fraction,tid
39,,CHEMBL615162,,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,,22222
40,,CHEMnLu15152,,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,,22222
41,,CH2MBL61t153,,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,562.0,,,100263
42,,CHEMBL616254,,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,562.0,,,100263
43,,CH4MBi615155,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,13053
44,,CHEMhL6151y6,,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,13053
45,,xHEMBL615w57,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,,20001
46,,vHwMBL615158,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,,20001
47,,CHEMvL615259,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,,12971
48,,CHEMvo615172,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,,12971
49,,CHEhBL615273,,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,,12971
50,,CHEMBou15174,,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,,12971
51,,CHfMfL884518,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,13053
52,,CHEMBL515176,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,,11512
53,,CHdMBL6q5176,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,,11512
54,,CHEMBLu1517u,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,,11512
55,,CHEMBL61t17i,,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0,,Membranes,104740
56,,CHdMBL615w79,,1A9,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0,,,80002
57,,CnEMBL61t180,,Ooxytes,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,,104835
58,,CHEMBi6151o1,,Oocyt2s,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,,104821
59,,CgEMBL6q5182,,Oocytee,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,,104848
60,,CHdMBL6151i3,,1A9,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,,80002
61,,CHrMBL61518t,,1A9,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,,80002
62,,xHEkBL615185,,1A9,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,,80002
63,,CHEMBk614186,,1A9,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,,80002
64,,CHEMBkt15187,,1A9,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,,80002
65,,sHEMBL8o5343,,1A9,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,,80002
66,,CbEMBLy15188,,1A9,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,,80002
67,,CHEMBL614180,,1A9,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,,80002
68,,CydMBL615190,,1A9,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,,80002
69,,CHEMBLu25191,,1A9,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,,80002
70,,CHEMBk615292,,1A9,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,,80002
71,,CHEMBL8e708e,,1A9,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,,80002
72,,CHEMvL625193,,1A9,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,,80002
73,,CHEMBLu15q94,,1A9,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,,80002
74,,CHsMvL615195,,1A9,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,,80002
75,,CH2kBL615196,,1A9,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,,80002
76,,CHEMBL61tq97,,Ju3kat,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,,81072
77,,CuEMBL6151i8,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,,22226
78,,CHEMBk6q5199,,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,,100121
79,,dHEMvL615200,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,11231
80,,CHEhBL61y201,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,11231
81,,CHEMBk615102,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,,11231
82,,CHEMBL61530e,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,Microsomes,11231
83,,CHsMBLu15204,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,Microsomes,11231
84,,dHEMBo615205,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,Microsomes,11231
85,,dHEjBL615206,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,Microsomes,11231
86,,fHEMBL615307,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,Liver,Microsomes,12083
87,,CHEMfL8w7084,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,,11231
88,,CbEMBL6152p8,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,,11231
89,,CHEMvo615209,,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,,11231
90,,CHEMBk615e10,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,Microsomes,12083
91,,CH4MvL615211,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,Microsomes,12083
92,,dHEMvL615212,,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,Microsomes,12083
93,,CHEMBL615222,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,,11377
94,,CHEMBL6w5w73,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,,11377
95,,fHEnBL615274,,HepGw,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,,81020
96,,CHrMBL615375,,Hepf2,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,,81020
97,,CHEMfi615276,,jepG2,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,,81020
98,,CHEMgLu15277,,HrpG2,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,,81020
99,,CHEMBk615r26,,HspG2,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,81020
100,,CHEMBii83130,,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,,50606
101,,CHEnBo884519,,H3pG2,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,81020
102,,CHEMBLt15337,,HepG1,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,,81020
103,,CHEMfL615327,,Hepr2,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,,81020
104,,CHEMBL615we9,,2215,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,,50587
105,,sHEMBL61533p,,2215,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,50587
106,,CHEMhL625331,,2215,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,,50606
107,,CHrMBp615332,,2215,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,50587
108,,sHEMvL615333,,2215,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,50587
109,,CmEMBL615324,,2215,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,,50587
110,,CtEMBp615335,,2215,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,50587
111,,CHrMBL615346,,2215,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,50587
112,,CHEMBo615237,,2215,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,50587
113,,xmEMBL615338,,2215,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,,50587
114,,xHEMfL615339,,2215,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,50587
115,,CHEMBL615r49,,2215,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,50587
116,,CbEMBL615331,,yepG2,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,,81020
117,,CHrMBL715342,,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,Microsomes,22226
118,,CHEMBk6q5343,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,,22226
119,,CHEMgL61r344,,2008,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,,80612
120,,dHdMBL615345,,2008,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,,80612
121,,CHdMnL615346,,2008,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,,80612
122,,fHEMBL615348,,2008,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,,80612
123,,CHEMnL625348,,2008,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,,80612
124,,CHEMBL82798y,,2008e,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,,80613
125,,CuEMBL6153t9,,2o08R,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,,80613
126,,CHEMBp61r350,,2008e,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,,80614
127,,CHEMBoy15351,,3008S,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,,80614
128,,CH3MBL61r352,,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,,100256
129,,CHEMBL616352,,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,,100256
130,,CbEMBL6153y4,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,,100256
131,,CHEMvk615355,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,,100256
132,,CHEMnL6153y6,,,3260,Inhibitory activity against 20S proteosome,B,,,,,,100256
133,,vyEMBL615357,,,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,,22226
134,,CHEMBk61535u,,Hepr2,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,,81020
135,,CHsMBL827p86,,Hepy2,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,,81020
136,,CHwhBL615359,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,,22226
137,,CHEMBk61536p,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,,235
138,,CHEMBky15361,,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,Heart,,22226
139,,CHEjfL615362,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,19640
140,,CHEMBL61546e,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,19640
141,,CH3MfL615364,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,,19640
142,,CHEMBL625e65,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,19640
143,,CHEMhL6153y6,,P338,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,,80360
144,,CHEnBL625367,,P338,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,,80360
145,,sHEMBL6153u8,,PBL,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,,80384
146,,dHEMBL515369,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,,22226
147,,CHEMBLuq5370,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,,22226
148,,CnEMBL61567w,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,,191
149,,CHwMBL616674,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,,22226
150,,CyEMBL615t75,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,,22226
151,,fHEMBL6156u6,,CxRFCEM,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,,22226
152,,CHEMBL715667,,sCRFCEM,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,,22226
153,,CHEMBLu25678,,CCRFfEM,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,,22226
154,,CHEMBo615y79,,CCRFxEM,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,,22226
155,,CHEMBLu15580,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,,22226
156,,CHEkBL61r681,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,,22226
157,,CHEnBL8579u2,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,,104290
158,,CHEhBL857889,,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,,50264
159,,dHEMBL61537w,,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,,50527
160,,CmEMBL6w5372,,HEL,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,,50527
161,,CHEMnL6q5373,,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,,50527
162,,CnEMBL625374,,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,,50527
163,,CHrMBL6153y5,,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,,50145
164,,CHEjBL615375,,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,,22226
165,,CyEMBi615377,,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,,11143
166,,CyEMBL615368,,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,,18077
167,,CHEMBLu15370,,18itumorcepll7ne,11900,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,,80609
168,,CHEMBk615480,,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,,12166
169,,fH3MBL615381,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,,100171
170,,dHEMBL615282,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,,100171
171,,CH3MBLu15383,,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,,100171
172,,CHEMvL61t384,,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,3847.0,,,100171
173,,CHEMBLyw5385,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,3847.0,,,100171
174,,CHEMBL6qr386,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,3847.0,,,100171
175,,CHEMhL615w87,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,3847.0,,,100171
176,,CHEMBL61tw88,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,Glycine max,3847.0,,,100171
177,,CHEMgL625214,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,Glycine max,3847.0,,,100171
178,,CHEjBp827087,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,Glycine max,3847.0,,,100171
179,,CHEMBi61521r,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,Glycine max,3847.0,,,100171
180,,fHEMBL515216,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,Glycine max,3847.0,,,100171
