class,name,addr,id,phone,city,type
33,felidia,' 243 e. 58th st. ',33,212/758 -1479,` new york ',italian
34,` four seasons grill room ','99 e. 52nd st. ',34,212/754 -9494,` new york ',american
35,` gotham bar & grill ','12 e. 12th st. ',35,212/620 -4020,` new york ',american
36,` gramercy tavern ','42 e. 20th st. between park ave. s and broadway ',36,212/477 -0777,` new york ',american
37,` island spice ',' 402 w. 44th st. ',37,212/765 -1737,` new york ',` tel caribbean '
38,` jo jo ',' 160 e. 64th st. ',38,212/223 -5656,` new york ',american
39,` la caravelle ','33 w. 55th st. ',39,212/586 -4252,` new york ',french
40,` la cote basque ','60 w. 55th st. between 5th and 6th ave. ',40,212/688 -6525,` new york ',french
41,` le bernardin ',' 155 w. 51st st. ',41,212/489 -1515,` new york ',french
42,` les celebrites ',' 160 central park s ',42,212/484 -5113,` new york ',french
43,lespinasse,' 2 e. 55th st. ',43,212/339 -6719,` new york ',american
44,lutece,' 249 e. 50th st. ',44,212/752 -2225,` new york ',french
45,` manhattan ocean club ','57 w. 58th st. ',45,' 212 / 371-7777 ',` new york ',seafood
46,march,' 405 e. 58th st. ',46,212/754 -6272,` new york ',american
47,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',47,212/807 -7400,` new york ',american
48,` mi cocina ','57 jane st. off hudson st. ',48,212/627 -8273,` new york ',mexican
49,montrachet,' 239 w. broadway between walker and white sts . ',49,' 212 / 219-2777 ',` new york ',french
50,oceana,'55 e. 54th st. ',50,212/759 -5941,` new york ',seafood
51,` park avenue cafe ',' 100 e. 63rd st. ',51,212/644 -1900,` new york ',american
52,petrossian,' 182 w. 58th st. ',52,212/245 -2214,` new york ',french
53,picholine,'35 w. 64th st. ',53,212/724 -8585,` new york ',mediterranean
54,pisces,'95 ave. a at 6th st. ',54,212/260 -6660,` new york ',seafood
55,` rainbow room ','30 rockefeller plaza ',55,212/632 -5000,` new york ',` or 212/632 -5100 american '
56,` river cafe ',' 1 water st. at the east river ',56,718/522 -5200,brooklyn,american
57,` san domenico ',' 240 central park s ',57,212/265 -5959,` new york ',italian
58,` second avenue deli ',' 156 2nd ave. at 10th st. ',58,212/677 -0606,` new york ',delicatessen
59,seryna,'11 e. 53rd st. ',59,212/980 -9393,` new york ',asian
60,` shun lee west ','43 w. 65th st. ',60,212/371 -8844,` new york ',asian
61,` sign of the dove ',' 1110 3rd ave. at 65th st. ',61,212/861 -8080,` new york ',american
62,` smith & wollensky ',' 201 e. 49th st. ',62,212/753 -1530,` new york ',american
63,` tavern on the green ',` in central park at 67th st. ',63,212/873 -3200,` new york ',american
64,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',64,212/315 -1726,` new york ',mediterranean
65,` union square cafe ','21 e. 16th st. ',65,212/243 -4020,` new york ',american
66,` virgil \ 's ',' 152 w. 44th st. ',66,' 212 / 921-9494 ',` new york ',american
67,` chin \ 's ',' 3200 las vegas blvd. s ',67,702/733 -8899,` las vegas ',asian
68,` coyote cafe ',' 3799 las vegas blvd. s ',68,702/891 -7349,` las vegas ',southwestern
69,` le montrachet ',' 3000 w. paradise rd. ',69,702/732 -5111,` las vegas ',continental
70,` palace court ',' 3570 las vegas blvd. s ',70,702/731 -7547,` las vegas ',continental
71,` second street grille ',' 200 e. fremont st. ',71,702/385 -3232,` las vegas ',seafood
72,` steak house ',' 2880 las vegas blvd. s ',72,702/734 -0410,` las vegas ',` steak houses '
73,tillerman,' 2245 e. flamingo rd. ',73,702/731 -4036,` las vegas ',seafood
74,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',74,404/261 -8186,atlanta,italian
75,bacchanalia,' 3125 piedmont rd. . near peachtree rd. ',75,404/365 -0410,atlanta,international
76,` bone \ 's ',' 3130 piedmont road ',76,404/237 -2663,atlanta,american
77,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',77,404/266 -1440,atlanta,french
78,` buckhead diner ',' 3073 piedmont road ',78,404/262 -3336,atlanta,american
79,ciboulette,' 1529 piedmont ave. ',79,404/874 -7600,atlanta,french
80,delectables,' 1 margaret mitchell sq. ',80,404/681 -2909,atlanta,american
81,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',81,404/352 -3517,atlanta,american
82,` hedgerose heights inn ',' 490 e. paces ferry rd. ',82,404/233 -7673,atlanta,international
83,` heera of india ',' 595 piedmont ave. rio shopping mall ',83,404/876 -4408,atlanta,asian
84,` indigo coastal grill ',' 1397 n. highland ave. ',84,404/876 -0676,atlanta,caribbean
85,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',85,404/231 -1368,atlanta,italian
86,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',86,404/876 -1800,atlanta,southern
87,` nikolai \ 's roof ',' 255 courtland st. at harris st. ',87,404/221 -6362,atlanta,continental
88,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',88,404/261 -3662,atlanta,international
89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',89,404/237 -2700,atlanta,` ext 6108 international '
90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',90,404/237 -2700,atlanta,international
91,` restaurant ritz-carlton atlanta ',' 181 peachtree st. ',91,404/659 -0400,atlanta,continental
92,toulouse,' b peachtree rd. ',92,404/351 -9533,atlanta,french
93,` veni vidi vici ','41 14th st. ',93,404/875 -8424,atlanta,italian
94,` alain rondelli ',' 126 clement st. ',94,415/387 -0408,` san francisco ',french
95,aqua,' 252 california st. ',95,415/956 -9662,` san francisco ',seafood
96,boulevard,' 1 mission st. ',96,415/543 -6084,` san francisco ',american
97,` cafe claude ',' 7 claude la . ',97,415/392 -3505,` san francisco ',french
98,` campton place ',' 340 stockton st. ',98,415/955 -5555,` san francisco ',american
99,` chez michel ',' 804 northpoint ',99,415/775 -7036,` san francisco ',french
100,` fleur de lys ',' 777 sutter st. ',100,415/673 -7779,` san francisco ',french
101,fringale,' 570 4th st. ',101,415/543 -0573,` san francisco ',french
102,` hawthorne lane ','22 hawthorne st. ',102,415/777 -9779,` san francisco ',american
103,` khan toke thai house ',' 5937 geary blvd. ',103,415/668 -6654,` san francisco ',asian
104,` la folie ',' 2316 polk st. ',104,415/776 -5577,` san francisco ',french
105,lulu,' 816 folsom st. ',105,415/495 -5775,` san francisco ',mediterranean
106,` masa \ 's ',' 648 bush st. ',106,415/989 -7154,` san francisco ',french
107,` mifune japan center kintetsu building ',' 1737 post st. ',107,415/922 -0337,` san francisco ',asian
108,` plumpjack cafe ',' 3201 fillmore st. ',108,415/563 -4755,` san francisco ',mediterranean
109,postrio,' 545 post st. ',109,415/776 -7825,` san francisco ',american
110,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',110,415/296 -7465,` san francisco ',american
111,` rose pistola ',' 532 columbus ave. ',111,415/399 -0499,` san francisco ',italian
191,bolo,'23 e. 22nd st. ',112,212/228 -2200,` new york ',mediterranean
267,` il nido ',' 251 e. 53rd st. ',113,212/753 -8450,` new york ',italian
334,remi,' 145 w. 53rd st. ',114,212/581 -4242,` new york ',italian
112,` adriano \ 's ristorante ',' 2930 beverly glen circle ',115,310/475 -9807,` los angeles ',italian
113,` barney greengrass ',' 9570 wilshire blvd. ',116,310/777 -5877,` beverly hills ',american
114,beaurivage,' 26025 pacific coast hwy . ',117,310/456 -5733,malibu,french
115,` bistro garden ',' 176 n. canon dr. ',118,310/550 -3900,` los angeles ',californian
116,` border grill ',' 4th st. ',119,310/451 -1655,` los angeles ',mexican
117,` broadway deli ',' 3rd st. promenade ',120,310/451 -0616,` santa monica ',american
118,` ca \ ` brea ',' 346 s. la brea ave. ',121,213/938 -2863,` los angeles ',italian
119,` ca \ ` del sol ',' 4100 cahuenga blvd. ',122,818/985 -4669,` los angeles ',italian
120,` cafe pinot ',' 700 w. fifth st. ',123,213/239 -6500,` los angeles ',californian
121,` california pizza kitchen ',' 207 s. beverly dr. ',124,310/275 -1101,` los angeles ',californian
122,` canter \ 's ',' 419 n. fairfax ave. ',125,213/651 -2030 .,` los angeles ',american
123,cava,' 3rd st. ',126,213/658 -8898,` los angeles ',mediterranean
124,` cha cha cha ',' 656 n. virgil ave. ',127,213/664 -7723,` los angeles ',caribbean
125,` chan dara ',' 310 n. larchmont blvd. ',128,213/467 -1052,` los angeles ',asian
126,` clearwater cafe ',' 168 w. colorado blvd. ',129,818/356 -0959,` los angeles ',` health food '
127,` dining room ',' 9500 wilshire blvd. ',130,310/275 -5200,` los angeles ',californian
128,dive !,' 10250 santa monica blvd. ',131,310/788 -,` los angeles ',` dive american '
129,drago,' 2628 wilshire blvd. ',132,310/828 -1585,` santa monica ',italian
130,` drai \ 's ',' 730 n. la cienega blvd. ',133,310/358 -8585,` los angeles ',french
131,` dynasty room ',' 930 hilgard ave. ',134,310/208 -8765,` los angeles ',continental
132,eclipse,' 8800 melrose ave. ',135,310/724 -5959,` los angeles ',californian
133,` ed debevic \ 's ',' 134 n. la cienega ',136,310/659 -1952,` los angeles ',american
134,` el cholo ',' 1121 s. western ave. ',137,213/734 -2773,` los angeles ',mexican
135,` gilliland \ 's ',' 2424 main st. ',138,310/392 -3901,` santa monica ',american
136,` gladstone \ 's ',' 4 fish 17300 pacific coast hwy . at sunset blvd. ',139,310/454 -3474,` pacific palisades ',american
137,` hard rock cafe ',' 8600 beverly blvd. ',140,310/276 -7605,` los angeles ',american
138,` harry \ 's bar & american grill ',' 2020 ave. of the stars ',141,310/277 -2333,` los angeles ',italian
139,` il fornaio cucina italiana ',' 301 n. beverly dr. ',142,310/550 -8330,` los angeles ',italian
140,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',143,310/837 -6662,` los angeles ',` health food '
141,` jackson \ 's farm ',' 439 n. beverly drive ',144,310/273 -5578,` los angeles ',californian
142,` jimmy \ 's ',' 201 moreno dr. ',145,310/552 -2394,` los angeles ',continental
143,joss,' 9255 sunset blvd. ',146,310/276 -1886,` los angeles ',asian
144,` le colonial ',' 8783 beverly blvd. ',147,310/289 -0660,` los angeles ',asian
145,` le dome ',' 8720 sunset blvd. ',148,310/659 -6919,` los angeles ',french
146,` louise \ 's trattoria ',' 4500 los feliz blvd. ',149,213/667 -0777,` los angeles ',italian
147,` mon kee seafood restaurant ',' 679 n. spring st. ',150,213/628 -6717,` los angeles ',asian
148,` morton \ 's ',' 8764 melrose ave. ',151,310/276 -5205,` los angeles ',american
149,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',152,310/274 -0101,` los angeles ',american
150,nicola,' 601 s. figueroa st. ',153,213/485 -0927,` los angeles ',american
151,` ocean avenue ',' 1401 ocean ave. ',154,310/394 -5669,` santa monica ',american
152,orleans,' 11705 national blvd. ',155,310/479 -4187,` los angeles ',cajun
153,` pacific dining car ',' 6th st. ',156,213/483 -6000,` los angeles ',american
154,` paty \ 's ',' 10001 riverside dr. ',157,818/761 -9126,` toluca lake ',american
155,` pinot hollywood ',' 1448 n. gower st. ',158,213/461 -8800,` los angeles ',californian
156,posto,' 14928 ventura blvd. ',159,818/784 -4400,` sherman oaks ',italian
157,prego,' 362 n. camden dr. ',160,310/277 -7346,` los angeles ',italian
158,` rj \ 's the rib joint ',' 252 n. beverly dr. ',161,310/274 -7427,` los angeles ',american
159,remi,' 3rd st. promenade ',162,310/393 -6545,` santa monica ',italian
160,` restaurant horikawa ',' 111 s. san pedro st. ',163,213/680 -9355,` los angeles ',asian
161,` roscoe \ 's house of chicken \ ` n \ ' waffles ',' 1514 n. gower st. ',164,213/466 -9329,` los angeles ',american
162,` schatzi on main ',' 3110 main st. ',165,310/399 -4800,` los angeles ',continental
163,sofi,' 3rd st. ',166,213/651 -0346,` los angeles ',mediterranean
164,swingers,' 8020 beverly blvd. ',167,213/653 -5858,` los angeles ',american
165,` tavola calda ',' 7371 melrose ave. ',168,213/658 -6340,` los angeles ',italian
166,` the mandarin ',' 430 n. camden dr. ',169,310/859 -0926,` los angeles ',asian
167,` tommy tang \ 's ',' 7313 melrose ave. ',170,213/937 -5733,` los angeles ',asian
168,` tra di noi ',' 3835 cross creek rd. ',171,310/456 -0169,` los angeles ',italian
169,` trader vic \ 's ',' 9876 wilshire blvd. ',172,310/276 -6345,` los angeles ',asian
170,vida,' 1930 north hillhurst ave. ',173,213/660 -4446,` los feliz ',american
171,` west beach cafe ','60 n. venice blvd. ',174,310/823 -5396,` los angeles ',american
172,'20 mott ','20 mott st. between bowery and pell st. ',175,212/964 -0380,` new york ',asian
173,' 9 jones street ',' 9 jones st. ',176,212/989 -1220,` new york ',american
174,adrienne,' 700 5th ave. at 55th st. ',177,212/903 -3918,` new york ',french
175,agrotikon,' 322 e. 14 st. between 1st and 2nd aves . ',178,212/473 -2602,` new york ',mediterranean
176,aja,' 937 broadway at 22nd st. ',179,212/473 -8388,` new york ',american
177,alamo,' 304 e. 48th st. ',180,' 212 / 759-0590 ',` new york ',mexican
178,` alley \ 's end ',' 311 w. 17th st. ',181,212/627 -8899,` new york ',american
179,` ambassador grill ',' 1 united nations plaza at 44th st. ',182,212/702 -5014,` new york ',american
180,` american place ',' 2 park ave. at 32nd st. ',183,212/684 -2122,` new york ',american
181,` anche vivolo ',' 222 e. 58th st. between 2nd and 3rd aves . ',184,212/308 -0112,` new york ',italian
182,arizona,' 206 206 e. 60th st. ',185,212/838 -0440,` new york ',american
183,` arturo \ 's ',' 106 w. houston st. off thompson st. ',186,212/677 -3820,` new york ',italian
184,` au mandarin ',' 200-250 vesey st. world financial center ',187,212/385 -0313,` new york ',asian
185,` bar anise ',' 1022 3rd ave. between 60th and 61st sts . ',188,212/355 -1112,` new york ',mediterranean
186,barbetta,' 321 w. 46th st. ',189,212/246 -9171,` new york ',italian
187,` ben benson \ 's ',' 123 w. 52nd st. ',190,212/581 -8888,` new york ',american
188,` big cup ',' 228 8th ave. between 21st and 22nd sts . ',191,212/206 -0059,` new york ',` coffee bar '
189,` billy \ 's ',' 948 1st ave. between 52nd and 53rd sts . ',192,212/753 -1870,` new york ',american
190,` boca chica ','13 1st ave. near 1st st. ',193,212/473 -0108,` new york ',` latin american '
192,boonthai,' 1393a 2nd ave. between 72nd and 73rd sts . ',194,212/249 -8484,` new york ',asian
193,bouterin,' 420 e. 59th st. off 1st ave. ',195,212/758 -0323,` new york ',french
194,` brothers bar-b-q ',' 225 varick st. at clarkston st. ',196,212/727 -2775,` new york ',american
195,bruno,' 240 e. 58th st. ',197,212/688 -4190,` new york ',italian
196,` bryant park grill roof restaurant and bp cafe ','25 w. 40th st. between 5th and 6th aves . ',198,212/840 -6500,` new york ',american
197,c3,' 103 waverly pl . near washington sq. ',199,212/254 -1200,` new york ',american
198,ct,' 111 e. 22nd st. between park ave. s and lexington ave. ',200,212/995 -8500,` new york ',french
199,` cafe bianco ',' 1486 2nd ave. between 77th and 78th sts . ',201,212/988 -2655,` new york ',` coffee bar '
200,` cafe botanica ',' 160 central park s ',202,212/484 -5120,` new york ',french
201,` cafe la fortuna ','69 w. 71st st. ',203,212/724 -5846,` new york ',` coffee bar '
202,` cafe luxembourg ',' 200 w. 70th st. ',204,212/873 -7411,` new york ',french
203,` cafe pierre ',' 2 e. 61st st. ',205,212/940 -8185,` new york ',french
204,` cafe centro ',' 200 park ave. between 45th st. and vanderbilt ave. ',206,212/818 -1222,` new york ',french
205,` cafe fes ',' 246 w. 4th st. at charles st. ',207,212/924 -7653,` new york ',mediterranean
206,` caffe dante ','81 macdougal st. between houston and bleeker sts . ',208,212/982 -5275,` new york ',` coffee bar '
207,` caffe dell \ ` artista ','46 greenwich ave. ',209,212/645 -4431,` new york ',` coffee bar '
208,` caffe lure ',' 169 sullivan st. between houston and bleecker sts . ',210,212/473 -2642,` new york ',french
209,` caffe reggio ',' 119 macdougal st. between 3rd and bleecker sts . ',211,212/475 -9557,` new york ',` coffee bar '
210,` caffe roma ',' 385 broome st. at mulberry ',212,212/226 -8413,` new york ',` coffee bar '
211,` caffe vivaldi ','32 jones st. at bleecker st. ',213,212/691 -7538,` new york ',` coffee bar '
212,` caffe bondi ristorante ',' 7 w. 20th st. ',214,212/691 -8136,` new york ',italian
213,` capsouto freres ',' 451 washington st. near watts st. ',215,212/966 -4900,` new york ',french
214,` captain \ 's table ',' 860 2nd ave. at 46th st. ',216,212/697 -9538,` new york ',seafood
215,` casa la femme ',' 150 wooster st. between houston and prince sts . ',217,212/505 -0005,` new york ',` middle eastern '
216,` cendrillon asian grill & marimba bar ','45 mercer st. between broome and grand sts . ',218,212/343 -9012,` new york ',asian
217,` chez jacqueline ','72 macdougal st. between w. houston and bleecker sts . ',219,212/505 -0727,` new york ',french
218,chiam,' 160 e. 48th st. ',220,212/371 -2323,` new york ',asian
219,` china grill ','60 w. 53rd st. ',221,212/333 -7788,` new york ',american
220,cite,' 120 w. 51st st. ',222,212/956 -7100,` new york ',french
221,` coco pazzo ','23 e. 74th st. ',223,212/794 -0205,` new york ',italian
222,` columbus bakery ',' 53rd sts . ',224,212/421 -0334,` new york ',` coffee bar '
223,` corrado cafe ',' 1013 3rd ave. between 60th and 61st sts . ',225,212/753 -5100,` new york ',` coffee bar '
224,` cupcake cafe ',' 522 9th ave. at 39th st. ',226,212/465 -1530,` new york ',` coffee bar '
225,` da nico ',' 164 mulberry st. between grand and broome sts . ',227,212/343 -1212,` new york ',italian
226,` dean & deluca ',' 121 prince st. ',228,212/254 -8776,` new york ',` coffee bar '
227,diva,' 341 w. broadway near grand st. ',229,212/941 -9024,` new york ',italian
228,` dix et sept ',' 181 w. 10th st. ',230,212/645 -8023,` new york ',french
229,docks,' 633 3rd ave. at 40th st. ',231,' 212 / 986-8080 ',` new york ',seafood
230,` duane park cafe ',' 157 duane st. between w. broadway and hudson st. ',232,212/732 -5555,` new york ',american
231,` el teddy \ 's ',' 219 w. broadway between franklin and white sts . ',233,212/941 -7070,` new york ',mexican
232,'em ily \ 's ',' 1325 5th ave. at 111th st. ',234,212/996 -1212,` new york ',american
233,'em pire korea ',' 6 e. 32nd st. ',235,212/725 -1333,` new york ',asian
234,` ernie \ 's ',' 2150 broadway between 75th and 76th sts . ',236,212/496 -1588,` new york ',american
235,` evergreen cafe ',' 1288 1st ave. at 69th st. ',237,212/744 -3266,` new york ',asian
236,` f. ille ponte ristorante ','39 desbrosses st. near west st. ',238,212/226 -4621,` new york ',italian
237,felix,' 340 w. broadway at grand st. ',239,212/431 -0021,` new york ',french
238,ferrier,'29 e. 65th st. ',240,212/772 -9000,` new york ',french
239,` fifty seven fifty seven ','57 e. 57th st. ',241,212/758 -5757,` new york ',american
240,` film center cafe ',' 635 9th ave. between 44th and 45th sts . ',242,' 212 / 262-2525 ',` new york ',american
241,` fiorello \ 's roman cafe ',' 1900 broadway between 63rd and 64th sts . ',243,212/595 -5330,` new york ',italian
242,firehouse,' 522 columbus ave. between 85th and 86th sts . ',244,212/595 -3139,` new york ',american
243,first,'87 1st ave. between 5th and 6th sts . ',245,212/674 -3823,` new york ',american
244,` fishin eddie ','73 w. 71st st. ',246,212/874 -3474,` new york ',seafood
245,` fleur de jour ',' 348 e. 62nd st. ',247,212/355 -2020,` new york ',` coffee bar '
246,flowers,'21 west 17th st. between 5th and 6th aves . ',248,212/691 -8888,` new york ',american
247,follonico,' 6 w. 24th st. ',249,212/691 -6359,` new york ',italian
248,` fraunces tavern ','54 pearl st. at broad st. ',250,212/269 -0144,` new york ',american
249,` french roast ',' 458 6th ave. at 11th st. ',251,212/533 -2233,` new york ',french
250,` french roast cafe ',' 2340 broadway at 85th st. ',252,212/799 -1533,` new york ',` coffee bar '
251,` frico bar ',' 402 w. 43rd st. off 9th ave. ',253,212/564 -7272,` new york ',italian
252,` fujiyama mama ',' 467 columbus ave. between 82nd and 83rd sts . ',254,212/769 -1144,` new york ',asian
253,` gabriela \ 's ',' 685 amsterdam ave. at 93rd st. ',255,212/961 -0574,` new york ',mexican
254,` gallagher \ 's ',' 228 w. 52nd st. ',256,212/245 -5336,` new york ',american
255,` gianni \ 's ','15 fulton st. ',257,212/608 -7300,` new york ',seafood
256,girafe,' 208 e. 58th st. between 2nd and 3rd aves . ',258,212/752 -3054,` new york ',italian
257,global,'33 93 2nd ave. between 5th and 6th sts . ',259,212/477 -8427,` new york ',american
258,` golden unicorn ','18 e. broadway at catherine st. ',260,' 212 / 941-0911 ',` new york ',asian
259,` grand ticino ',' 228 thompson st. between w. 3rd and bleecker sts . ',261,212/777 -5922,` new york ',italian
260,halcyon,' 151 w. 54th st. in the rihga royal hotel ',262,212/468 -8888,` new york ',american
261,` hard rock cafe ',' 221 w. 57th st. ',263,212/489 -6565,` new york ',american
262,` hi-life restaurant and lounge ',' 1340 1st ave. at 72nd st. ',264,212/249 -3600,` new york ',american
263,home,'20 cornelia st. between bleecker and w. 4th st. ',265,212/243 -9579,` new york ',american
264,` hudson river club ',' 4 world financial center ',266,212/786 -1500,` new york ',american
265,' i trulli ',' 122 e. 27th st. between lexington and park aves . ',267,212/481 -7372,` new york ',italian
266,` il cortile ',' 125 mulberry st. between canal and hester sts . ',268,212/226 -6060,` new york ',italian
268,` inca grill ',' 492 broome st. near w. broadway ',269,212/966 -3371,` new york ',` latin american '
269,indochine,' 430 lafayette st. between 4th st. and astor pl . ',270,212/505 -5111,` new york ',asian
270,` internet cafe ','82 e. 3rd st. between 1st and 2nd aves . ',271,' 212 / 614-0747 ',` new york ',` coffee bar '
271,ipanema,'13 w. 46th st. ',272,212/730 -5848,` new york ',` latin american '
272,` jean lafitte ','68 w. 58th st. ',273,212/751 -2323,` new york ',french
273,` jewel of india ','15 w. 44th st. ',274,212/869 -5544,` new york ',asian
274,` jimmy sung \ 's ',' 219 e. 44th st. between 2nd and 3rd aves . ',275,212/682 -5678,` new york ',asian
275,` joe allen ',' 326 w. 46th st. ',276,212/581 -6464,` new york ',american
276,` judson grill ',' 152 w. 52nd st. ',277,212/582 -5252,` new york ',american
277,` l \ ` absinthe ',' 227 e. 67th st. ',278,212/794 -4950,` new york ',french
278,` l \ ` auberge ',' 1191 1st ave. between 64th and 65th sts . ',279,212/288 -8791,` new york ',` middle eastern '
279,` l \ ` auberge du midi ',' 310 w. 4th st. between w. 12th and bank sts . ',280,212/242 -4705,` new york ',french
280,` l \ ` udo ',' 432 lafayette st. near astor pl . ',281,212/388 -0978,` new york ',french
281,` la reserve ',' 4 w. 49th st. ',282,212/247 -2993,` new york ',french
282,` lanza restaurant ',' 168 1st ave. between 10th and 11th sts . ',283,212/674 -7014,` new york ',italian
283,` lattanzi ristorante ',' 361 w. 46th st. ',284,212/315 -0980,` new york ',italian
284,layla,' 211 w. broadway at franklin st. ',285,212/431 -0700,` new york ',` middle eastern '
285,` le chantilly ',' 106 e. 57th st. ',286,212/751 -2931,` new york ',french
286,` le colonial ',' 149 e. 57th st. ',287,' 212 / 752-0808 ',` new york ',asian
287,` le gamin ','50 macdougal st. between houston and prince sts . ',288,212/254 -4678,` new york ',` coffee bar '
288,` le jardin ','25 cleveland pl . near spring st. ',289,212/343 -9599,` new york ',french
289,` le madri ',' 168 w. 18th st. ',290,212/727 -8022,` new york ',italian
290,` le marais ',' 150 w. 46th st. ',291,212/869 -0900,` new york ',american
291,` le perigord ',' 405 e. 52nd st. ',292,212/755 -6244,` new york ',french
292,` le select ',' 507 columbus ave. between 84th and 85th sts . ',293,212/875 -1993,` new york ',american
293,` les halles ',' 411 park ave. s between 28th and 29th sts . ',294,212/679 -4111,` new york ',french
294,` lincoln tavern ','51 w. 64th st. ',295,212/721 -8271,` new york ',american
295,lola,'30 west 22nd st. between 5th and 6th ave. ',296,212/675 -6700,` new york ',american
296,` lucky strike ','59 grand st. between wooster st. and w. broadway ',297,212/941 -0479,` new york ',` or 212/941 -0772 american '
297,` mad fish ',' 2182 broadway between 77th and 78th sts . ',298,212/787 -0202,` new york ',seafood
298,` main street ',' 446 columbus ave. between 81st and 82nd sts . ',299,212/873 -5025,` new york ',american
299,` mangia e bevi ',' 800 9th ave. at 53rd st. ',300,212/956 -3976,` new york ',italian
300,` manhattan cafe ',' 1161 1st ave. between 63rd and 64th sts . ',301,212/888 -6556,` new york ',american
301,` manila garden ',' 325 e. 14th st. between 1st and 2nd aves . ',302,212/777 -6314,` new york ',asian
302,marichu,' 342 e. 46th st. between 1st and 2nd aves . ',303,212/370 -1866,` new york ',french
303,` marquet patisserie ','15 e. 12th st. between 5th ave. and university pl . ',304,212/229 -9313,` new york ',` coffee bar '
304,match,' 160 mercer st. between houston and prince sts . ',305,212/906 -9173,` new york ',american
305,` matthew \ 's ',' 1030 3rd ave. at 61st st. ',306,212/838 -4343,` new york ',american
306,` mavalli palace ','46 e. 29th st. ',307,212/679 -5535,` new york ',asian
307,` milan cafe and coffee bar ',' 120 w. 23rd st. ',308,212/807 -1801,` new york ',` coffee bar '
308,` monkey bar ','60 e. 54th st. ',309,212/838 -2600,` new york ',american
