assays_chmbl_d,assays_cnfdnc_scr,assays_cll_d,assays_src_d,assays_ss_strn,assays_ss_ctgr,assays_src_ss_d,assays_ss_tp,assays_ss_d,assays_crtd_b,assays_b_frmt,assays_tss_d,assays_rltnshp_tp,assays_ss_rgnsm,assays_ss_tss,assays_ss_tx_d,assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_dc_d,assays_td,assays_ss_sbclllr_frctn,assays_dscrptn
CHEMBL621381,1,,1,,,,A,7575,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,5819,50597,,Half life in rat plasma; Not detected
CHEMBL618515,1,,1,,,,A,7576,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6803,50597,,Half life in rats
CHEMBL618516,1,,1,,,,A,7577,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17804,50597,,Half life period of compound was determined after peroral administration
CHEMBL618517,1,,1,,,,A,7578,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17804,50597,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration
CHEMBL618518,1,,1,,,,A,7579,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,5948,50597,,Half life period in rat
CHEMBL618519,1,,1,,,,A,7580,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,1916,50597,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration
CHEMBL618698,1,,1,,,,A,7581,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,1916,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration
CHEMBL618862,1,,1,,,,A,7582,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,1916,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available
CHEMBL618863,1,,1,,,,A,7583,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,4890,50597,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats
CHEMBL618864,1,,1,,,,A,7584,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17764,50597,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg
CHEMBL618865,1,,1,,,,A,7585,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,4727,50597,,Half life time in rat the dose of 2 mg/kg
CHEMBL618866,1,,1,,,,A,7586,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17509,50597,,Half-life 24 hr after 10 mg/kg iv administration in rats
CHEMBL618867,1,,1,,,,A,7587,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17509,50597,,Half-life 24 hr after 2 mg/kg iv administration in rats
CHEMBL875828,1,,1,,,,A,7588,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6597,50597,,Half-life consistent with the observed metabolic steady state in rats
CHEMBL618868,1,,1,,,,A,7589,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17735,50597,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined
CHEMBL618869,1,,1,,,,A,7590,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,6597,50597,,Half-life for oxidative metabolic stability was determined using male human
CHEMBL618870,1,,1,,,,A,7591,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,In vivo,,17670,50597,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously"
CHEMBL618871,1,,1,,,,A,7592,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,1696,50597,,Half-life in rat plasma
CHEMBL618872,1,,1,,,,A,7593,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,1742,50597,,Half-life in rat plasma was determined
CHEMBL873816,1,,1,,,,A,7594,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17800,50597,,Half-life in rats was determined
CHEMBL618873,0,,1,,,,A,7595,Autocuration,BAO_0000218,,U,,,,,,,12923,22224,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog
CHEMBL621602,0,,1,,,,A,7596,Autocuration,BAO_0000019,,U,,,,,,,11954,22224,,Area under curve after oral dose of 0.1 mg//kg
CHEMBL621603,0,,1,,,,A,7597,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 0.3 mg/kg
CHEMBL621604,0,,1,,,,A,7598,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 1 mg/kg
CHEMBL621605,0,,1,,,,A,7599,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 10 mg/kg
CHEMBL621606,0,,1,,,,A,7600,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 23.4 mg/kg
CHEMBL621607,0,,1,,,,A,7601,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 3 mg/kg
CHEMBL621608,0,,1,,,,A,7602,Autocuration,BAO_0000218,,U,,,,,,,11954,22224,,Area under curve after oral dose of 3.87 mg/kg
CHEMBL621609,0,,1,,,,A,7603,Autocuration,BAO_0000019,,U,,,,,,,5237,22224,,Area under curve was determined
CHEMBL621610,0,,1,,,,A,7604,Autocuration,BAO_0000218,,U,,,,,,,4026,22224,,Area under curve at a dose of 10 mg/kg
CHEMBL621611,1,,1,,,,A,7605,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,5237,50597,,Area under curve was determined; ND=No data
CHEMBL621612,1,,1,,,,A,7606,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622308,1,,1,,,,A,7607,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours
CHEMBL622309,1,,1,,,,A,7608,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622310,1,,1,,,,A,7609,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours
CHEMBL622311,1,,1,,,,A,7610,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours
CHEMBL622312,1,,1,,,,A,7611,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated
CHEMBL622931,1,,1,,,,A,7612,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622932,1,,1,,,,A,7613,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14793,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated
CHEMBL622736,1,,1,,,,A,7614,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622737,1,,1,,,,A,7615,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours
CHEMBL622738,1,,1,,,,A,7616,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622739,1,,1,,,,A,7617,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours
CHEMBL622740,1,,1,,,,A,7618,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours
CHEMBL622741,1,,1,,,,A,7619,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours
CHEMBL622742,1,,1,,,,A,7620,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours
CHEMBL622743,1,,1,,,,A,7621,Intermediate,BAO_0000218,1969.0,N,Rattus norvegicus,Plasma,10116.0,,,,14793,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours
CHEMBL622744,1,,1,,,,A,7622,Intermediate,BAO_0000218,1969.0,N,Mus musculus,Plasma,10090.0,,,,11637,50594,,AUC in mice
CHEMBL624134,0,,1,,,,A,7623,Autocuration,BAO_0000019,,U,,,,,,,11149,22224,,Area under curve was measured from the graph obtained from concentration Vs time
CHEMBL624135,0,,1,,,,A,7624,Autocuration,BAO_0000019,,U,,,,,,,10016,22224,,Area under curve value of compound per hour after oral administration
CHEMBL624136,1,,1,,,,A,7625,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17796,50597,,Area under curve was determined after oral administration in rats
CHEMBL624137,1,,1,,,,A,7626,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17796,50597,,Area under curve was determined after oral administration in rats; No data
CHEMBL624320,1,,1,,,,A,7627,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,17796,50597,,Area under curve was determined after oral administration in rats;No data
CHEMBL624321,1,,1,,,,A,7628,Intermediate,BAO_0000218,,N,Canis lupus familiaris,,9615.0,,,,12923,50588,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog
CHEMBL624322,1,,1,,,,A,7629,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats
CHEMBL624323,1,,1,,,,A,7630,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after iv dose of 5.06 in rats
CHEMBL624324,1,,1,,,,A,7631,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats
CHEMBL624325,1,,1,,,,A,7632,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats
CHEMBL624326,1,,1,,,,A,7633,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats
CHEMBL624327,1,,1,,,,A,7634,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats
CHEMBL624328,1,,1,,,,A,7635,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,15372,50597,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats
CHEMBL627848,1,,1,,,,A,7636,Intermediate,BAO_0000218,,N,Canis lupus familiaris,,9615.0,,,,14169,50588,,Area under curve was determined in Dogs after peroral administration
CHEMBL627849,1,,1,,,,A,7637,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14169,50597,,Area under curve was determined in Rats after peroral administration
CHEMBL627850,1,,1,,,,A,7638,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14258,50597,,Area under curve was determined in carotid blood of rat when administered intradermally
CHEMBL627851,1,,1,,,,A,7639,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,14258,50597,,Area under curve was determined in portal blood of rat when administered intradermally
CHEMBL627852,1,,1,,,,A,7640,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg
CHEMBL627853,1,,1,,,,A,7641,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg
CHEMBL627854,1,,1,,,,A,7642,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample)
CHEMBL627855,1,,1,,,,A,7643,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg
CHEMBL627856,1,,1,,,,A,7644,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr)
CHEMBL875339,1,,1,,,,A,7645,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg
CHEMBL627857,1,,1,,,,A,7646,Intermediate,BAO_0000218,,N,Mus musculus,,10090.0,,,,15011,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr)
CHEMBL627858,1,,1,,,,A,7647,Intermediate,BAO_0000218,2106.0,N,Rattus norvegicus,Spleen,10116.0,,In vivo,,11195,50597,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration
CHEMBL627859,1,,1,,,,A,7648,Intermediate,BAO_0000218,178.0,N,Rattus norvegicus,Blood,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ
CHEMBL627860,1,,1,,,,A,7649,Intermediate,BAO_0000218,955.0,N,Rattus norvegicus,Brain,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ
CHEMBL627019,1,,1,,,,A,7650,Intermediate,BAO_0000218,948.0,N,Rattus norvegicus,Heart,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ
CHEMBL627020,1,,1,,,,A,7651,Intermediate,BAO_0000218,2107.0,N,Rattus norvegicus,Liver,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ
CHEMBL627021,1,,1,,,,A,7652,Intermediate,BAO_0000218,2048.0,N,Rattus norvegicus,Lung,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ
CHEMBL627022,1,,1,,,,A,7653,Intermediate,BAO_0000218,2385.0,N,Rattus norvegicus,Muscle tissue,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ
CHEMBL627023,1,,1,,,,A,7654,Intermediate,BAO_0000218,,N,Rattus norvegicus,,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ
CHEMBL627024,1,,1,,,,A,7655,Intermediate,BAO_0000218,2106.0,N,Rattus norvegicus,Spleen,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ
CHEMBL627025,1,,1,,,,A,7656,Intermediate,BAO_0000218,2046.0,N,Rattus norvegicus,Thyroid gland,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ
CHEMBL627026,1,,1,,,,A,7657,Intermediate,BAO_0000218,2113.0,N,Rattus norvegicus,Kidney,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ
CHEMBL627027,1,,1,,,,A,7658,Intermediate,BAO_0000218,178.0,N,Rattus norvegicus,Blood,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ
CHEMBL627028,1,,1,,,,A,7659,Intermediate,BAO_0000218,955.0,N,Rattus norvegicus,Brain,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ
CHEMBL627029,1,,1,,,,A,7660,Intermediate,BAO_0000218,948.0,N,Rattus norvegicus,Heart,10116.0,,,,10130,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ
