assay_id,src_id,assay_cell_type,confidence_score,assay_organism,assay_test_type,assay_category,assay_tax_id,tissue_id,cell_id,description,assay_tissue,variant_id,src_assay_id,assay_subcellular_fraction,bao_format,doc_id,assay_type,assay_strain
14,1,,1,dtaphyloclcfuaaureus,,,26779.0,,,fhscompijndwqstextedflrminlmuminuofitoryc0ncentrstionigStwpmylococcusaureus147NpenicillijsensiyivwStaphylococcuss73rus,,,,,BAk0p00218,11324,F,
15,1,,1,Stapb5licoccuszureus,,,21955.0,,,Tueckm9o6ndaqxt2steddlrminimuminh9bktoryconcentrwtionijatapmylkcoccusaursus1r7NpegicilkinsfnsitiveStaphylococcuszureus,,,,,BsO0090218,11324,F,
16,1,,1,Stalhylococcussurehd,,,7850.0,,,Thesompoundsawyestedcpdmihim7minhibotoruconvenhratiojinStapgylococcyaahreus147N0snicillknsenzitiveStaphyl8coccusaureus,,,,,BAO00p0q18,11324,F,
17,1,,9,Rattucnorv4gicuc,,,18564.0,,,Inhigitionofc74ocuromfP459progestedone14aophamyd5oxylase,,,,,gxO0000357,11347,A,
18,1,,8,,,,,,,Confrntfationthatcause50ashobago9nofhumanreficulocyte15liloxugenase15tLO,,,,,BxO0o00357,16474,B,
19,1,,8,,,,,,,Inhivitionofpaetially9urified1tlip8xyg2jaseftkmhujableukocytrs,,,,,Bs90000019,10091,B,
20,1,,8,,,,,,,lnhjbitoryactigityagajnathunanretlcup8cyte25lipoxygwnase1yHLO,,,,,BAO0p003y7,16474,B,
21,1,,8,,,,,,,Com0ouhdwzsegaluat3dforthepe5cejtinceeaseihqctivqtionconx2ntrqtjogofgumanreticulocyye15li0oxygenxse15HLO,,,,,hAOo000357,16474,B,
22,1,,8,,,,,,,onhibot0r5activityagainsyhumanreticulosyy4q5l7poxybenase15HL0,,,,,BA90p00357,16474,B,
23,1,,8,,,,,,,Inhibihor6actigiygagainsthumwnrw6ifjlocyts15kipoxygenade15uLONIisnoinhibihion,,,,,BAO0000447,16474,B,
24,1,,8,,,,,,,ontibitoryactivityagaigsthumahreticulocyt216lipoxygenwsr15bL0Noizboonhibiti0n,,,,,BAk0000356,16474,B,
25,1,,0,,,,,,,Ibh9vktirycogcehtratilnagxijst15lipoxygenasebyibmibitinv15HETdproduc5ionbyhukanumbilidalveibegsothelialc2ilxHUVEfshimulatedbycalciumionophoreAe3187a4fobcentrayiohofw0e5h,,,,,BA80009219,14352,B,
26,1,,8,O4yctplaguscunicjpus,,,16523.0,,,knvitrlinhibitoryactov7tyofcompoumdonrabnotrwticuppxyte15ki0oxygenase,,,,,BA000o0357,5646,B,
27,1,,8,Orycgolaguschniculyx,,,4085.0,,,Inhibotiojotrabbitretjvylocyte15lipoxyvegzsebyc9mpoumd30uM,,,,,BAO9000347,5646,B,
28,1,,8,,,,,,,Inhibltorjactivityagaindf15lipoxygenqsdinratpoljmor0honuclexriejk9cjges,,,,,BAO00o02q9,10997,B,
29,1,,8,soyabesn,,,25078.0,,,Inhibitprysctivityagaindt2rlipoxygfnaseeasd2tern8nedlb5aknedf3omsoyabean,,,,,BAO000ow57,6309,B,
30,1,,8,Glycinsmxx,,,18612.0,,,Inhibi6oryact7vitgagxinstsoyfeam25lopoxygenasewasevxlua5dd,,,,,BAO0p003y7,167,B,
31,1,,8,Glyconenax,,,30351.0,,,9nhibi4oryactivuryagaindtsouvean15o99oxygenasewqsevaiuatedat100iM,,,,,BAO000ow57,167,B,
32,1,,8,Glyvinsmax,,,6450.0,,,Thecompoundwasyestedfortheiggitro9nhibktioj0f15liposygenaseofa0ygeanxtaconffngrqtionof1p7M,,,,,BAO00o035y,11087,B,
33,1,,8,Glhcinejax,,,36286.0,,,Thecom9oundwastestfdfortue7hvi4foinh9bitiinor15olpoxygenaseofsoybeanwtac8ncen6fationof100ik,,,,,BAk00o0357,11087,B,
34,1,,8,Glyvin3max,,,7523.0,,,C8mpo8ndwastezt3dijvittoforinhibig9onof14lipodygensses9ybean,,,,,BAO9000257,13622,B,
35,1,,8,Glycineksx,,,13729.0,,,Com0oundat190ukwastestefinvitr9f0rinhibitiohof15lkpkxygemases0yb2ab,,,,,gAO0000w57,13622,B,
36,1,,0,Rathusnlrveg7cus,,,15682.0,,,InhibitionofcytoxhgomePe5oprog3zter0nd1yalphahysroxtlase,,,,,BAO9090019,11347,A,
37,1,,0,sqcherictiacoli,,,14020.0,,,Binsingaffihlthagainstbacteroap26xrRNsusijgkzssspectrometrybasedxssay,,,,,BAO000p01p,5926,B,
38,1,,0,,,,,,,D9ssociztionconsyantw8thd7meekc16S3RNARNAcons4ructg,,,,,BA09000019,4567,B,
39,1,,3,,,,,,,Dissociatiogconstqn4towards16SrRbAflnstductq,,,,,BAO0o0o225,3782,B,
40,1,,3,,,,,,,Dissod7ationconctan6towarxs16SrRNAcomstr7ctn,,,,,BAp0000q25,3782,B,
41,1,,3,Escherichlqclli,,,10597.0,,,Blmdingarflnityofaminoglycosudeto16wrihoxokalRNAAwitwonfscherichjacoli,,,,,BAO009o225,4466,B,
42,1,,3,Escherichixfoki,,,2716.0,,,Binfingaffinityforhhe1uzrib9somalRNAAsitepfExchsrichizdoii,,,,,BAO009p225,6592,B,
43,1,,8,,,,,,,Inhobitodyzctivityagaijsthimanplzsentw17betshyd3oxyster8iddebydeogenasetypeq1ibetanaDtjpe2,,,,,gAO000o019,898,B,
44,1,,8,,,,,,,Inhibktortx8nzhantaga7nsthumanplacenta17betahydroxysteroirrehysrovenxs44yp2218betaHaDtupe2,,,,,BsOo000019,898,B,
45,1,,8,Homosap8ejs,,,3784.0,,,Thecompo8ndwastdstedatacpncehtrationifquMcorinhjbirlryactivityagaimst17bf4amydrkxystrroixdehyerogenaqefromhumanplacemtzlkivroapmec,,,,,BAO00000wo,13163,B,
46,1,,8,H0mosapiend,,,48353.0,,,Tt2x9jp8undwastestedataconcentrqtionof1uMfor9nnibitogyactiv9tyagaibqt16betahydrlxysteroixddhydrogenssefdomhkman0lwxentalmicr8som3z,,,,,BAOp00o019,13163,B,
47,1,,9,Rartusjorveg8cus,,,9709.0,,,7jhobutionof1ualphahydroxypase1720oussevrom5attestesj9crosomalpreparatioj,,,,,BAO0o00919,10691,B,
48,1,,9,Ratyuqnorvdgicus,,,31928.0,,,knhibitionov17wlphahyfroxykaq21720lyasfv5ongattestesmicrosojalp3eparation,,,,,BAO00090w9,10691,B,
49,1,,9,Ratt8sjorveg8cus,,,11406.0,,,Percentinh9bit8knod27alphwhydroxylace1720lyzseofrzhtes6ecnicrosomesat100uk,,,,,BwO9000019,10691,B,
50,1,,9,Ratfusn8rveficus,,,34252.0,,,Perc3nhijhibition9fdteroidquqlphauydroxylwse1720lyassofrattestesjicrosom3sat2p0uk,,,,,nAO0o00019,10691,B,
51,1,,8,,,,,,,Inhjbitor6activjtyavainsfhumajplafenta17ve6ahydroxycteroiddeh7welgenasrty0w217betaHSDtypeq,,,,,BqOo000019,898,B,
52,1,,8,,,,,,,Compkuhfwaatestedvortheinhibotiojofw7geyahydridyetedoiddehydrogejasetype117getqHSDtype1,,,,,BAOp0003r7,912,B,
53,1,,8,,,,,,,Complundwaetsstedfodtheinhibotionof17vetahyxr9xjsteroiddehydrohfmasrtype12ibetaHSDtype1qtqynfoncenfration,,,,,vAO0000257,912,B,
54,1,,8,,,,,,,Complundwastfstedfortheinhibi6i9mofwivetzhydroxyxtrroidd3jydrogenqsr4ype11ufetamSDtype1atq0uMconcentrstion,,,,,BAO0909357,912,B,
55,1,,5,Rattkwnorvegidus,,,48458.0,,,Selec4ivity3atooifb7nd8ngaffinitytowardskutodeltagecsp5i4s8fratbrz9nmembranes,,,,Membran4s,BAOop00249,15103,B,
56,1,1A9,1,Homosapiejc,,,8197.0,,888.0,Cytltoxicityagainxtovarixncagcercelllin32Apoeh8manswssdete4moned,,,,,fAO00002w9,5116,F,
57,1,Oofytes,7,Rsttuenogvegicus,,,30794.0,,,Funcgl9nxlantan0nismbyelevtficalaasaysknXejopuw0ocytesexprfss7ng1A2ANnDAreceptlrsubtype,,,,,BAO9p00219,14578,F,
58,1,O8cytes,7,Ra6tusnorveg8cuc,,,2350.0,,,Fugctionalantsgoh7xmbyelectridalaqsayzinXenopusoofgtesex95eqsongthf1A2BNMvAreceptor,,,,,BAO0o0021p,14578,F,
59,1,Oovytes,7,Rattusnorffricus,,,11454.0,,,Functionalan6aron9skvyslectricalqssaysihXejopueo0cytesexprsssingyne1A2CNMDqrexeptor,,,,,BAO90002w9,14578,F,
60,1,1A9,1,Homoszp9ens,,,30538.0,,1124.0,Invi5roeffect8vedobcenttagionrfq6otedtoredhcethenumherofhujan0bariancqncer1Aiafter3dxyoncubation,,,,,BA000p0219,4787,F,
61,1,1A9,1,Homosap94ns,,,5760.0,,645.0,Invitroefffct9veconc3nteztj0nrequiredtoreducehnwnumgerofuymanovariabsanxercelis1Aiafter3dayincubaroon,,,,,vAO0900219,4787,F,
62,1,1A9,1,uomosaoiens,,,20305.0,,902.0,Cytot0xicqctigityqgains5tukzn0variancanc3r1A9cellline,,,,,BAp00002q9,3547,F,
63,1,1A9,1,Hom8wapiens,,,23227.0,,821.0,Cy5otoxicac5ivityxgaindthumanovadianvajcer1A9f4illineNDNoydet4rjined,,,,,nxO0000219,3547,F,
64,1,1A9,1,Homosa0ienq,,,29564.0,,847.0,Etfectivedoweofcompoundwgainstrepllcatiohof1z9c2lllineqadrvqluzt3d,,,,,BAO0000q1o,6726,F,
65,1,1A9,1,Homosaliebs,,,15528.0,,493.0,Invitrocytkrox8cavtkvjtywasdftermunedaga8nqtovariancancer1A9ceoooine,,,,,BAO00p0119,3455,F,
66,1,1A9,1,Hlmosap9ens,,,31008.0,,432.0,Invkt4ocytkroxifityevaluatedagainsthumanlvar9andancer2s0ceplline,,,,,BwO00002q9,5726,F,
67,1,1A9,1,bohosapiens,,,37418.0,,717.0,Invitrosyfotocicityeval8atedwgainsth8majovqr9agcancer1A9c3lllin3NAisnohavtivf,,,,,BAO0p00q19,5726,F,
68,1,1A9,1,Hom0szpiens,,,17951.0,,921.0,Invitrkosrcentknmifitiobevaluatedxgaigsthukanovariajcabce52A9celllineat20ugmk,,,,,BxO0090219,5726,F,
69,1,1A9,1,uomoswpiens,,,23960.0,,403.0,knhibitpryast8cityagaonstfaxolrrskstant1z9celllines,,,,,fzO0000219,3395,F,
70,1,1A9,1,H0mosa9iens,,,378.0,,792.0,Cytot8x7cityagauns6hunagovadiancancer1A9feollines,,,,,vAO00002w9,3415,F,
71,1,1A9,1,Hohosapiebs,,,5784.0,,823.0,Perdentageinhibitionoghujanova4kancajder1q9cekll8nes,,,,,BAO00p0e19,3415,F,
72,1,1A9,1,gomosapirns,,,29047.0,,466.0,Eff4ctiv2d0serequirwdforinhjbit9ryastivityafainwt1w9humantumorcflloijr,,,,,BAO0900w19,17099,F,
73,1,1A9,1,Homoaapi2ns,,,26483.0,,995.0,Percsngonmjbitionagaimst2A9humahfumorcelllineat010ufmL,,,,,BqO0090219,17099,F,
74,1,1A9,1,Hlmosaliens,,,52208.0,,271.0,Pfrcenrimhivit8onagains5wA9humantumorcelll7neat009p08igmL,,,,,BAO0p0021i,17099,F,
75,1,1A9,1,Honosapiegs,,,11699.0,,556.0,oerxentinhibitiinagsinst1A9hujanf6morcelllineaf19ubmL,,,,,BwO9000219,17099,F,
76,1,Jurkxt,1,H9hosapiens,,,48207.0,,673.0,Inhibitoryconcejtta4iohxyainstuurkxtcells,,,,,BwO0900219,17721,F,
77,1,,0,,,,,,,InvitroanticanderzctlvityagaknsteNxIxCLvcelliin4sinsctive,,,,,BAO0900p19,1229,F,
78,1,,9,Rattusno5vegic8z,,,33302.0,,,InhibitiobkvcyyochgomsPe60progesterohe2allhahydrodylase,,,,,BAk0009357,11347,A,
79,1,,8,,,,,,,Ijbitroinhibitionkfhujan23oxir0swuslenec6clase,,,,,BAO0090r57,17117,B,
80,1,,8,,,,,,,Invi6roknhibitionofhuhan2wodkdosqualenrcyclzqe,,,,,BAOo0p0357,17117,B,
81,1,,8,,,,,,,Incitrlinhib9tiobkfhumamw3oxidpsq8alenecyclaseatw00nM,,,,,BAOp0003r7,17117,B,
82,1,,8,xsndiwaalbicans,,,3172.0,,,Comooundwzsevaluatrfror4hrimnibitionofjicrowomal23ixidossuaienecuckaseinCandidaalbivansmicroq9mes,,,,kicrosom3s,gAO00o0251,11375,B,
83,1,,8,Candidqapblcans,,,5053.0,,,Cohpound3aaevalustevforthdinhibitionofmicrosomai2roxldoqquxlenelanostwroicyvladeinsshdidqalblcajsmicrosomes,,,,Mic5osomed,BzO0000241,11375,B,
84,1,,8,asscharomycescerrvisiae,,,9240.0,,,Compoune2sssval6zt2dfirtheinh7bitionkdmicrosomal23oxidosquakfgecyclxdeinSacchadomyvesderevisiaemifrlsomes,,,,Microsohex,BAO00p0261,11375,B,
85,1,,8,cacchatomycescerevicoae,,,33496.0,,,Compoujdwsqevalhaterfoftteinnivutionofmusroelmalq3oxidosquapwnelanosterolcyclasejbSafcharomyfesferevisiaemicrosomrs,,,,Micros8mec,BAO9000151,11375,B,
86,1,,8,Susacrofa,,,51665.0,5763097.0,,sokpoubdqasevaouxhedfortheinhibi5ionofmicrosknal24oxidos17aoenekanoste5olcyclaseln0iglivrrm9crosomes,Lived,,,Micros0jes,hAOp000251,11375,B,
87,1,,8,Ratthsnorbeficus,,,2776.0,,,C9ncentrationreq6ired4oinbibitdayoiver23oxir9sw6alenelanostegokc7clase,,,,,BzO9000019,791,B,
88,1,,8,Rathusnoegegicus,,,39640.0,,,f9ncenteatoonrequirextoijhibitratliver23oxjdosqualenrlabosferolcyvlwseOzv,,,,,BA9000o019,791,B,
89,1,,8,Rsttusnotv4gicus,,,11244.0,,,Ecakus4edfori5sxctivitytiintibi6ratlifer23oxidosqialenelanost2rolvydlaw3activityexpress2dzsKi,,,,,BwO0009019,791,B,
90,1,,9,Rxttuqnorvevicus,,,5120.0,1250230.0,,xompoyndwaeevql8atedfortheinhubitionofmocrod8mal23oxicksqualsnefyclzseibeatlivegmicr0somes,Livfr,,,kicgosomes,BAO00p0351,11375,B,
91,1,,9,Ratt7wnorvegichs,,,31940.0,416509.0,,vomooundwaeevxl8atedfortheighifitl8n0emic3oskmsl23oxidosqjwlenelsnosteroocyclaseinragiivermicrosomes,L9ver,,,Micfosomfs,BAOp090251,11375,B,
92,1,,9,Rattuxnorv4gixus,,,25572.0,2213132.0,,f9mpkundwasevaluatedd0rijhibitogyzctivi46agqjnst23oxidosquaienwpanodtfrolcyclasrinratlivermicrpsom2s,Lider,,,Micdosones,BA800o0251,153,B,
93,1,,8,,,,,,,Mllarconcejtrati9nhsrdedtoglve50preventionof35wAdsn0sinedepenvenfejdorkbonucpease,,,,,BAO90003t7,8269,B,
94,1,,8,,,,,,,M9larconcentration5equofsdgowidolacet9obth4rsdioiabeledprobefrkm25AAdenosinewepebdentendoribonuclsaseinendonufleadwbitr8fellulosexonplex,,,,,hAO000035i,8269,B,
95,1,H4pG2,1,gomosapiehs,,,15732.0,,531.0,Invitrocytotoxicclncfn6rationreskided4oinhobithspatitisBvirusnBVreplicatiknib231tcelpljnr,,,,,nAO0000229,17653,F,
96,1,HepG3,1,Honodapiens,,,48625.0,,811.0,50Eff3cfivedoncentrati8nkfconplund4equurrdtprinhibltinginteaceplulafgirzlreplicativeinrermeciatsDNwinHngtransfected2215celllin3,,,,,BqO0000q19,14277,F,
97,1,He0G2,1,yomosa0iens,,,34591.0,,1002.0,Antivirxlxc4ivi5yzgainstHepatigisfvirusin2216c2lkline,,,,,BwO00002q9,1717,F,
98,1,HepGq,1,Hojosapiehs,,,33315.0,,1142.0,Invitrortfesticeconcejtdationafxinsthepa49tisvg9ruswasdegerminedin2215vells,,,,,BAO0090119,14091,F,
99,1,HrpG2,1,Honosapiwns,,,45019.0,,941.0,Inditrorfgec5iv3concent5ationzhainsthepati6isBviruswasdetfrmunedin2215celpsNpgdetdrkinee,,,,,BqO0000210,14091,F,
100,1,,1,Hepatitiqhcirus,,,5169.0,,,7nv9troeffectiveconcentrxrionresuiredtoihhibothepatitisBv8rustBdreppiczgi0hin221ycelkline,,,,,nAO00002w8,17653,F,
101,1,H2pG2,1,Hojosapiems,,,2547.0,,926.0,Abilityroinhibif4herpixonalHhVDNAin2315cells,,,,,vAO00p0219,13105,F,
102,1,Hepn2,1,H8mosapoens,,,34581.0,,573.0,Cohxentratiknrequirevtoinhibih50ob2215velll9be,,,,,BAO000p319,1717,F,
103,1,He0G2,1,H8mosap7ens,,,16861.0,,694.0,Antivoralacgivityqgqinst2215velldconcentrafionr3qui4edtorexufethelogphasecrokgrpw4hby60,,,,,BwO00002q9,13105,A,
104,1,2215,1,Homocapiena,,,5209.0,,,Cyto6oxicwcgivltyofclnpoyndagainstuninfected2316crlls,,,,,BAl000021o,13600,F,
105,1,2215,1,Homoxap8ens,,,19584.0,,,Angihepafi6ksBvirusactivj4ywasebaoiatedij2215cells,,,,,BxO0090218,13467,F,
106,1,2215,1,HepatitieBvogus,,,13972.0,,,Ijhlbi5ion8etuerellicationoftBVin2215c3llsbyDNAhybr8diza6iknaqsay,,,,,BA8000o218,17477,F,
107,1,2215,1,gomosapiehs,,,46448.0,,,InvitrozntinBVwcgiv9tyin2215cepls,,,,,BxOo000218,1593,F,
108,1,2215,1,H0mocapiens,,,11083.0,,,InvotroantuHBVact9viyyin2qq5cellqhotdeyermined,,,,,BAO0p00219,1593,F,
109,1,2215,1,gomosa0iens,,,6410.0,,,Thedompound1astestedinvirroboryhdagtiHnVactovityagainat221rvells,,,,,hAO0p00218,15089,F,
110,1,2215,1,Homocapoens,,,22708.0,,,5hecompound1zsteehedijfitfofortheantiHBVactidityin2215cskls,,,,,BAO00o0219,15089,F,
111,1,2215,1,Homoca9iens,,,2020.0,,,Cytotoxici4uin2215celka,,,,,gAO0900218,1593,F,
112,1,2215,1,Homosxoiens,,,59270.0,,,Cytotkxiciyyonq215fellagotdetermined,,,,,BAO00p02w8,1593,F,
113,1,2215,1,johosapiens,,,10045.0,,,Inhlbitoryactifityofcom0oundagainsthe0arit7eBvirucHBfumhr9wingcultures0f2w15c3lls,,,,,BAOp0p0218,13600,F,
114,1,2215,1,Hojoszpiens,,,35009.0,,,Thwgrow4hinhinitionacfigi4yfortheclmpounwwasevakuqtedin2215deols,,,,,BAO900021u,13467,F,
115,1,2215,1,Homoswpirns,,,40391.0,,,zelextivotyindecwszdwterminedfromthrrahioifIC60torheEC50valuesdvaluwtwdin2e15cells,,,,,BAO0o00e18,13467,F,
116,1,HdpG2,1,Homoswpisns,,,9727.0,,255.0,Antiv8ralwctivit6arains6HgV3asdeheeminedin2215celoline,,,,,BAO000921i,14764,F,
117,1,,0,Himosapienz,,,35258.0,,,7nhuf7tionof20HETEs7jrhesisinhumznr2nalmicrosomes,,,,Micrlsomea,BAOo090251,6531,B,
118,1,,0,,,,,,,9mhibitoryactiv7tyavainst20HETEproductiojfromarachifog8cwsodus9nghymxnrenalmicroxome10HEgEsynttaze,,,,,fAO0000010,17322,B,
119,1,2008,1,jomosap7ens,,,31570.0,,538.0,Imhinitoryc8jcenteatiogagaindt2098ovarianceols,,,,,BAO000p218,17072,F,
120,1,2008,1,Himosapiebs,,,11525.0,,916.0,5onrowthinhlbi6oryconcehtratiojG950fyusing2008bjmanovarisncarvinpmacepllinrs,,,,,BAO0o0o219,16936,F,
121,1,2008,1,Hokosapiems,,,15568.0,,242.0,Cojpougdwastwwtedfor50gr0wthunhinitoryconfentratiogb6yz9ngh8manovaroancadxinohacelllines2008,,,,,BA89000219,16936,F,
122,1,2008,1,Hom9sapiehs,,,12236.0,,871.0,Direcfcytotoxidi4yahaihstthesslectedtumorcelpokne2008wqsdetrrminedezpwc8allyknodagiwnadsnocarcimokadetivedcells,,,,,hAO0000218,17146,F,
123,1,2008,1,Hpmoszpiens,,,43799.0,,618.0,Directchtitoxicjtyagainxtthewflectedtumorcelllkne2op9wasdet3rhinfewwpeciqllylmofarianad2nocarcinimaderivedxellsnoydetected,,,,,BqO0p00219,17146,F,
124,1,200oR,1,Honosaplens,,,9450.0,,954.0,Invitrpinhib7tlonod20p8fovarianvancercdloline,,,,,BAk0000229,10797,F,
125,1,200iR,1,jomosapi2ns,,,71555.0,,1027.0,Infite07nhibitiohof2008Rova5iancancercelliinegwNptachiegabke,,,,,BqO0900219,10797,F,
126,1,2008q,1,Hom8saliens,,,7587.0,,915.0,Invitroinhinutionofwo08Sovarianczhcs4celllibe,,,,,BAO0p00319,10797,F,
127,1,20o8S,1,Hojoswpiens,,,42617.0,,563.0,9bvirroibhibi688nof2008SovxriahcancercelllineNxNoyachievablw,,,,,nAO00002w9,10797,F,
128,1,,2,Homosspiems,,,11788.0,,,Tws4wdinvitroforinuibktiojofcbymotrypsinl8kdsctivi6y9fpu5ifiedhujan20Sprotexsone,,,,,BAp0000229,4823,B,
129,1,,2,Honowapiens,,,27507.0,,,Comoouhcwawevalkatedforinhibitoryactivit5sgsinst20Sp4ktezsomeeromhjmqnliverandb4akn,,,,,BAOo000230,12912,B,
130,1,,2,,,,,,,Inhubituonifchykptrypcinlioezctivityof20Spro5eqsome,,,,,BAOp000e20,2957,B,
131,1,,2,,,,,,,Inhinition0edhynotrypsinlik3qctivityof20Sorotfasomebaluerangssfrom2p20hM,,,,,BA8p000220,2957,B,
132,1,,2,,,,,,,Inmibitoryactiv9tyabaibst20Sprofelqome,,,,,nAO0000230,3260,B,
133,1,,0,Hlmosapiems,,,32552.0,,,Cpmpoundwasgextedforinhibitoryactiviy6agaljsttggptsse,,,,,BAO9000919,3451,B,
134,1,Hepf2,1,jomozapiens,,,24626.0,,968.0,Cogsentratuonreqiiredtoinhibjt5pofextracfplularcircularrellicagiojofHBdDNAjsing2115c4ill9he,,,,,fAO0000q19,13885,F,
135,1,HepG3,1,Hpmoxapiens,,,30369.0,,480.0,Conventrzti9nrewuifedtoinhibir500bintracellula3circ7larteplisqtionocHBgDNAusing2e15velllihe,,,,,BAO000p229,13885,F,
136,1,,0,,,,,,,Compoundwsstesterf8r6he8njibitionofAlohzglucoaidasr,,,,,BAOp000018,3676,B,
137,1,,8,,,,,,,Iguibitodhconcehtrstjonagainsthumann4ut3ophil2las6aseHNE,,,,,BAO0o00257,6043,B,
138,1,,0,Rattusnorveh9xus,,,3233.0,1006994.0,,Cyxngsinhearteatrwasexpreseedible5cenratatad0se0002kgkgivinanedtmetizedrat,Hewrt,,,,BAl0000219,11140,F,
139,1,,8,,,,,,,90inhibiti0nofthe20Mydobacter7umavi6kcohopexMACclibicalixolwhes,,,,,BAO000p029,10543,F,
140,1,,8,,,,,,,Minimumihhigitorhdoncdntrqtionofcompoundagainst20khconactrriunaviumcomplexkwCxlinicalis8patrx,,,,,BAO000091o,10543,F,
141,1,,8,,,,,,,Minikuhinhibltoryc8ncentrxtionofcomloundagainst20Mycobactsriymaviumconpk4xMzvck9nicalisolzrws,,,,,BAO00o035i,10543,B,
142,1,,8,,,,,,,90jhhkgiti8nofthe20Myvobact2riumaviumcokpiexMAvcoinicalieolates,,,,,hAO00000w9,10543,F,
143,1,P338,1,Musmisc6lus,,,18183.0,,671.0,InVitroevaluationfortheyg8sghijtibitipnofzubljneP387AMSALeukejiwcelllones,,,,,BAl00p0219,11365,F,
144,1,P338,1,Musmusc7l6s,,,23573.0,,924.0,InVitdoevalustkonbof6hegriwthinhobutionofSuboineP38oCPLwukemiafelllinds,,,,,BAO90002w9,11365,F,
145,1,PBL,1,Homosz0iens,,,36302.0,,905.0,Compounwwasevapuwfsdfortneinhini4ion0fcsilr3plicationhimanp2ripherqlgloodlymph0cytesPBLs,,,,,BAOo000e19,11803,F,
146,1,,0,Oviszries,,,44677.0,,,Cohpouhdwasefaliateffodth49nhibihiknofcellreplicationsh4wpcboroidplexisSCPc4lls,,,,,BAO00p0p19,11803,F,
147,1,,0,Ov8saries,,,25030.0,,,Compoujdwqsevapuatedfortyeinhobitionpfcekleeplixatjonshewpcgkt0idplexusSCPcells,,,,,BqO0p00019,11803,F,
148,1,,8,,,,,,,Ckmpoundisegal7at4dihcjttofor4heonh8botionsinglemutantofHIb1RTY181C,,,,,BAO00p03r7,12278,B,
149,1,,0,H9moszpiens,,,44965.0,,,C8mpoubewasevaluatedforitsingini4oryeffecyontjymixinr3HdThdjnvorpkdatloh7ntoDNAofCEMMTXcwplsincultugeatxonc1045,,,,,BAOp0p0019,8249,F,
150,1,,0,gomisapiens,,,26546.0,,,Com0ljndwasevaluatedgorits7nhivitkryeffectonthyjidind3HdTud7ncor9kratlonjntoDNAofCEMMyacellsomchltureatcpnc19e6,,,,,BA8000001o,8249,F,
151,1,CCRvCEM,0,H8m0sapiens,,,19632.0,,477.0,C9mppkndwasevaluatrdforits9nhink4otyeffectontyymjdineeudThdibcorporatjomintoxNAofCEMxellsinxtconc10s7,,,,,BAO900o219,8249,F,
152,1,CCtFCEM,0,Homosapiwna,,,31024.0,,395.0,Compo8ndwas2vaiuatedfogitsihhibit8ryetfectlntjymidij23HdThsincorpora5ionintoDNAoeC2kcellzkncuitureatcobc1pe4,,,,,BwO00o0219,8249,F,
