ABV,Brew_Factory_Name,Style,Beer_Name,id
6.20 %,Stoudts Brewing Co. .,American Amber / Red Ale,Revel Red,90
5.00 %,Cottrell Brewing Co. .,American Amber / Red Ale,Old Yankee Ale,91
7.00 %,Ninkasi Brewing Company,American Amber / Red Ale,Dawn Of The Red I.R.A. Ale,92
7.90 %,Long Trail Brewing Co. .,American Amber / Red Ale,Centennial Red ( Brewmaster Series ),93
4.80 %,Central Waters Brewing Co. .,American Amber / Red Ale,Ouisconsing Red Ale,94
5.40 %,Caldera Brewing Company,American Amber / Red Ale,Ashland Amber,95
4.50 %,Jackie O 's Pub & Brewery,American Amber / Red Ale,Firefly Amber Ale,96
6.00 %,4 Hands Brewing Co. .,American Amber / Red Ale,Reprise Centennial Red,97
5.50 %,Flying Fish Brewing Company,American Amber / Red Ale,ESB Amber Ale,98
8.50 %,Alaskan Brewing Co. .,American Amber / Red Ale,Alaskan Imperial Red Ale ( Pilot Series ),99
5.10 %,Portland Brewing Company,American Amber / Red Ale,MacTarnahan 's Amber Ale,100
5.50 %,Palmetto Brewing Company,American Amber / Red Ale,Palmetto Amber,101
6.50 %,Steel Toe Brewing,American Amber / Red Ale,Rainmaker,102
6.50 %,Half Acre Beer Company,American Amber / Red Ale,Ginger Twin,103
6.50 %,Marble Brewery,American Amber / Red Ale,Marble Red Ale,104
5.20 %,The Fort Collins Brewery,American Amber / Red Ale,Retro Red,105
7.20 %,Napa Smith Brewery,American Amber / Red Ale,Lost Dog,106
5.60 %,Coors Brewing Company,American Amber / Red Ale,Blue Moon Spiced Amber Ale,107
6.60 %,Three Heads Brewing,American Amber / Red Ale,Loopy Oatmeal Red Ale,108
8.80 %,Revolution Brewing Company,American Amber / Red Ale,Red Skull,109
7.00 %,Peak Organic Brewing Company,American Amber / Red Ale,Peak Organic Espresso Amber Ale,110
4.95 %,Pizza Port Solana Beach,American Amber / Red Ale,Chronic Ale,111
-,Central Waters Brewing Co. .,American Amber / Red Ale,Shine On Ale,112
5.00 %,Alexander Keith 's,American Amber / Red Ale,Alexander Keith 's Red Amber Ale,113
4.50 %,River Horse Brewing Co. .,American Amber / Red Ale,River Horse Special Ale,114
5.25 %,Crazy Mountain Brewing Company,American Amber / Red Ale,Crazy Mountain Amber Ale,115
5.50 %,Inlet Brewing Co. .,American Amber / Red Ale,Monk In The Trunk,116
4.80 %,World Brews,American Amber / Red Ale,Tap Room No. 21 Amber Ale,117
5.70 %,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,Kirkland Signature Amber Ale,118
6.00 %,Parallel 49 Brewing Company,American Amber / Red Ale,Gypsy Tears Ruby Ale,119
4.80 %,Rock Art Brewery,American Amber / Red Ale,American Red Ale,120
9.40 %,Fat Head 's Brewery & Saloon,American Amber / Red Ale,Bonehead Imperial Red,121
4.80 %,Independence Brewing Co. .,American Amber / Red Ale,Austin Amber Ale,122
6.00 %,Port Brewing,American Amber / Red Ale,Shark Bite Red Ale,123
5.20 %,Spanish Peaks Brewing Co. .,American Amber / Red Ale,Black Dog Ale,124
9.00 %,Cambridge Brewing Company,American Amber / Red Ale,Red God,125
5.50 %,Steinhaus Brewing Co. .,American Amber / Red Ale,Jumping Cow Amber Ale,126
6.10 %,Coop Ale Works,American Amber / Red Ale,Native Amber,127
5.80 %,Rush River Brewing Company,American Amber / Red Ale,The Unforgiven Amber Ale,128
5.20 %,Blitz-Weinhard Brewing Co. .,American Amber / Red Ale,Henry Weinhard 's Redwood Flats Amber Ale,129
5.20 %,Adirondack Pub & Brewery,American Amber / Red Ale,Bear Naked Ale,130
-,New Holland Brewing Company,American Amber / Red Ale,New Holland Red Tulip Ale,131
12.00 %,Clown Shoes,American Amber / Red Ale,Rexx,132
5.00 %,North Peak Brewing Company,American Amber / Red Ale,North Peak Siren Amber,133
5.30 %,Grand Teton Brewing Co. .,American Amber / Red Ale,Amber Ale,134
5.00 %,Flying Bison Brewing Company,American Amber / Red Ale,Rusty Chain,135
8.20 %,Mountain Town Brewing Co. .,American Amber / Red Ale,Train Wreck Ale,136
5.20 %,Wachusett Brewing Company,American Amber / Red Ale,Wachusett Octoberfest Ale,137
8.60 %,Mad River Brewing Company,American Amber / Red Ale,Double Dread Imperial Red Ale,138
5.40 %,Lost Nation Brewing,American Amber / Red Ale,Rustic Ale,139
8.50 %,Fulton Beer,American Amber / Red Ale,The Libertine,140
8.30 %,Short 's Brewing Company,American Amber / Red Ale,Aorta Ale ( Double Red Ale ),141
4.75 %,Finnegans Inc. .,American Amber / Red Ale,Finnegans Irish Amber,142
5.00 %,Philadelphia Brewing Company,American Amber / Red Ale,Rowhouse Red,143
9.50 %,Peak Organic Brewing Company,American Amber / Red Ale,Peak Organic King Crimson,144
4.80 %,Milwaukee Ale House,American Amber / Red Ale,Louie 's Demise,145
5.50 %,West Sixth Brewing Company,American Amber / Red Ale,West Sixth Amber,146
6.00 %,MadTree Brewing,American Amber / Red Ale,Happy Amber,147
6.80 %,Thomas Creek Brewery,American Amber / Red Ale,Thomas Creek Appalachian Amber Ale,148
5.50 %,Cape Cod Beer,American Amber / Red Ale,Cape Cod Red,149
5.60 %,Bissell Brothers Brewing Co. .,American Amber / Red Ale,Bucolia,150
4.40 %,Sebago Brewing Company,American Amber / Red Ale,Runabout Red Ale,151
9.00 %,Pipeworks Brewing Company,American Amber / Red Ale,Sam Vs. Unicorn,152
5.00 %,AleWerks Brewing Company,American Amber / Red Ale,Red Marker Ale,153
5.20 %,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,Sierra Blanca Roswell Alien Amber,154
5.80 %,Hopworks Urban Brewery,American Amber / Red Ale,Rise Up Red,155
5.70 %,Peak Organic Brewing Company,American Amber / Red Ale,Peak Organic Fall Summit Ale,156
9.50 %,Upland Brewing Company,American Amber / Red Ale,Ard Ri,157
6.10 %,No Label Brewing Company,American Amber / Red Ale,Ridgeback Ale,158
8.20 %,Speakeasy Ales & Lagers,American Amber / Red Ale,Betrayal Imperial Red,159
6.50 %,Three Heads Brewing,American Amber / Red Ale,Bromigo Smoked Maple Amber,160
5.80 %,Great Lakes Brewing Co. .,American Amber / Red Ale,Great Lakes Rally Drum Red Ale,161
6.10 %,Laurelwood Public House & Brewery,American Amber / Red Ale,Free Range Red,162
6.50 %,Prism Brewing Company,American Amber / Red Ale,Bitto Honey,163
5.90 %,Buffalo Bayou Brewing Co,American Amber / Red Ale,Buffalo Bayou 1836,164
5.20 %,Wynkoop Brewing Company,American Amber / Red Ale,Rail Yard Ale,165
5.20 %,Magic Hat Brewing Company,American Amber / Red Ale,Deveiled,166
6.00 %,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,Red Rock Amber Ale,167
10.20 %,Mission Brewery,American Amber / Red Ale,Carrack,168
5.70 %,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,Hoppy Red,169
5.80 %,Full Pint Brewing Company,American Amber / Red Ale,All-In Amber,170
7.70 %,Epic Brewing Company,American Amber / Red Ale,Imperial Red Ale,171
8.00 %,Martin House Brewing Company,American Amber / Red Ale,The Imperial Texan,172
4.50 %,Tin Roof Brewing Company,American Amber / Red Ale,Perfect Tin Amber,173
6.80 %,Thirsty Planet Brewing Company,American Amber / Red Ale,Thirsty Goat Amber,174
6.70 %,Goose Island Beer Co. .,American Amber / Red Ale,Goose Autumn Ale,175
4.90 %,Peak Organic Brewing Company,American Amber / Red Ale,Peak Organic Amber Ale,176
5.80 %,Peace Tree Brewing Co. .,American Amber / Red Ale,Red Rambler Ale,177
8.00 %,Kern River Brewing Company,American Amber / Red Ale,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),178
5.10 %,Keweenaw Brewing Company,American Amber / Red Ale,Red Jacket Amber Ale,179
8.25 %,Element Brewing Company,American Amber / Red Ale,Red Giant,180
5.80 %,Flat 12 Bierwerks,American Amber / Red Ale,Hello My Name Is Amber,181
9.20 %,O'so Brewing Company & Tap House,American Amber / Red Ale,Dank Imperial Red,182
4.85 %,Boulder Beer / Wilderness Pub,American Amber / Red Ale,Sundance Amber Ale,183
8.50 %,Smuttynose Brewing Company,American Amber / Red Ale,Smuttynose Kindest Find Imperial Red Ale,184
4.50 %,Rahr & Sons Brewing Company,American Amber / Red Ale,Buffalo Butt,185
6.00 %,Flying Dog Brewery,American Amber / Red Ale,Counter Culture,186
6.50 %,Griffin Claw Brewing Company,American Amber / Red Ale,El Rojo Red Ale,187
7.30 %,Tree House Brewing Company,American Amber / Red Ale,Ma,188
7.00 %,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,Elector Imperial Red Ale,189
7.00 %,Peak Organic Brewing Company,American Amber / Red Ale,Peak Organic The Maple Collaboration,190
5.50 %,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,Fish Tale Amber Ale,191
5.00 %,Otto 's Pub and Brewery,American Amber / Red Ale,Red Mo Ale,192
7.00 %,Boneyard Beer Company,American Amber / Red Ale,Diablo Rojo,193
-,Cigar City Brewing,American Amber / Red Ale,Rollin ' Dirty Red Ale,194
5.50 %,Oaken Barrel Brewing Company,American Amber / Red Ale,Indiana Amber,195
5.60 %,Switchback Brewing Company,American Amber / Red Ale,Switchback Roasted Red Ale,196
5.00 %,Cigar City Brewing,American Amber / Red Ale,Impey Barbicane 's Moongun,197
5.50 %,SanTan Brewing Co. .,American Amber / Red Ale,Epicenter Amber,198
5.00 %,Tree Brewing,American Amber / Red Ale,Thirsty Beaver Amber Ale,199
5.60 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Rock Bottom Red Ale,200
7.20 %,Wicked Weed Brewing,American Amber / Red Ale,Tyranny Hoppy Red Ale,201
5.00 %,Cameron 's Brewing Co. .,American Amber / Red Ale,Auburn Ale,202
6.00 %,O'so Brewing Company & Tap House,American Amber / Red Ale,Rusty Red,203
10.20 %,Milwaukee Brewing Company,American Amber / Red Ale,Louie 's Resurrection,204
6.00 %,Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,Simcoe SamuRYE,205
4.50 %,McAuslan Brewing,American Amber / Red Ale,Griffon Red Ale,206
6.00 %,Anderson Valley Brewing Company,American Amber / Red Ale,Boont Barl Bourbon Barrel Amber Ale,207
5.20 %,Sackets Harbor Brewing Co. .,American Amber / Red Ale,War Of 1812 Ale,208
5.00 %,Amsterdam Brewing Company,American Amber / Red Ale,Amsterdam Big Wheel Deluxe Amber,209
5.40 %,14th Star Brewing Co. .,American Amber / Red Ale,Valor Ale,210
5.80 %,Right Brain Brewery,American Amber / Red Ale,Northern Hawk Owl,211
7.00 %,Narragansett Brewing Co. .,American Amber / Red Ale,Narragansett Lovecraft Series - Honey Ale,212
5.40 %,Odin Brewing Company,American Amber / Red Ale,Odin 's Gift,213
5.10 %,Scuttlebutt Brewing Company,American Amber / Red Ale,Scuttlebutt Amber,214
5.50 %,Perrin Brewery,American Amber / Red Ale,Kona Brown,215
7.00 %,Smog City Brewing,American Amber / Red Ale,Sabre-Toothed Squirrel,216
5.70 %,Sprecher Brewing Company,American Amber / Red Ale,Shakparo ( Fire-Brewed African Style-Ale ),217
5.50 %,Sleeman Breweries Ltd. .,American Amber / Red Ale,Sleeman Original Dark ( 50 * ),218
5.30 %,Offshore Ale Company,American Amber / Red Ale,Offshore Amber Ale,219
5.60 %,Lancaster Brewing Company,American Amber / Red Ale,Hop Buggy,220
5.60 %,McNeill 's Brewery,American Amber / Red Ale,McNeill 's Firehouse Amber Ale,221
8.00 %,Southern Prohibition Brewing,American Amber / Red Ale,Mississippi Fire Ant,222
8.00 %,Burley Oak Brewery,American Amber / Red Ale,Rude Boy,223
5.60 %,Upland Brewing Company,American Amber / Red Ale,Rad Red Amber Ale,224
5.00 %,3 Sheeps Brewing,American Amber / Red Ale,Rebel Kent The First,225
8.00 %,Apocalypse Ale Works,American Amber / Red Ale,Hoppocalypse,226
5.10 %,DuClaw Brewing Company,American Amber / Red Ale,Misfit Red,227
8.50 %,Southern Star Brewing Company,American Amber / Red Ale,Red Cockaded Ale,228
8.00 %,Rapscallion,American Amber / Red Ale,Rapscallion Blessing,229
4.00 %,Utah Brewers Cooperative,American Amber / Red Ale,Wasatch Evolution Amber Ale,230
6.00 %,SingleCut Beersmiths,American Amber / Red Ale,Dean Pacific Northwest Mahogany Ale,231
5.60 %,Kona Brewing Co. .,American Amber / Red Ale,Lavaman Red Ale,232
5.00 %,Brasseurs Du Nord Inc. .,American Amber / Red Ale,BorÃ © ale Rousse,233
6.90 %,Ipswich Ale Brewery,American Amber / Red Ale,Ipswich Harvest Ale,234
5.40 %,Big Muddy Brewing,American Amber / Red Ale,Saluki Dunkeldog,235
6.00 %,Bad Weather Brewing Company,American Amber / Red Ale,Windvane,236
5.00 %,Nimbus Brewing Company,American Amber / Red Ale,Nimbus Rillito Red Ale,237
4.90 %,Cambridge Brewing Company,American Amber / Red Ale,Cambridge Amber,238
7.50 %,Solemn Oath Brewery,American Amber / Red Ale,Ultra High Frequency,239
4.60 %,Hale 's Ales Brewery & Pub,American Amber / Red Ale,Hale 's Red Menace Big Amber,240
5.00 %,NoDa Brewing Company,American Amber / Red Ale,Ramble On Red,241
5.00 %,Lake of Bays Brewing Company,American Amber / Red Ale,Spark House Red Ale,242
7.00 %,Drake 's Brewing Co. .,American Amber / Red Ale,Expedition Ale,243
5.00 %,Bristol Brewing Company,American Amber / Red Ale,Mass Transit Ale,244
5.00 %,Thimble Island Brewing Company,American Amber / Red Ale,American Ale,245
6.00 %,Big Storm Brewing Company,American Amber / Red Ale,Wavemaker Amber Ale,246
5.80 %,Ale Industries,American Amber / Red Ale,Rye 'd Piper,247
4.70 %,Grand River Brewing,American Amber / Red Ale,Plowman 's Ale,248
5.20 %,Fire Island Beer Company,American Amber / Red Ale,Lighthouse Ale,249
5.60 %,Tighthead Brewing Company,American Amber / Red Ale,Scarlet Fire,250
6.00 %,Silver City Brewing Co. .,American Amber / Red Ale,Ridgetop Red,251
5.40 %,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,Red Rose Amber Ale,252
5.80 %,Pizza Port Solana Beach,American Amber / Red Ale,Carlsbad Chronic,253
8.00 %,Knee Deep Brewing Company,American Amber / Red Ale,McCarthy 's Bane,254
9.00 %,Rushing Duck Brewing Company,American Amber / Red Ale,Kroovy,255
8.50 %,Wicked Weed Brewing,American Amber / Red Ale,Tyrant Double Red,256
5.00 %,Back East Brewing Company,American Amber / Red Ale,Back East Ale,257
7.50 %,Lucid Brewing,American Amber / Red Ale,Duce,258
5.30 %,Upstate Brewing Company,American Amber / Red Ale,Common Sense,259
-,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,Panama Limited Red Ale,260
4.80 %,Milwaukee Brewing Company,American Amber / Red Ale,Louie 's Demise Immort-Ale,261
-,Rogue Ales,American Amber / Red Ale,Red Fox Amber Ale,262
5.40 %,Grand Canyon Brewing Company,American Amber / Red Ale,Sunset Amber Ale,263
5.30 %,El Toro Brewing Co. .,American Amber / Red Ale,El Toro Poppy Jasper,264
6.60 %,ReaperAle,American Amber / Red Ale,Redemption Red Ale,265
5.60 %,Karben4 Brewing,American Amber / Red Ale,Block Party,266
8.20 %,Grand Teton Brewing Co. .,American Amber / Red Ale,Bone Warmer Imperial Amber Ale,267
5.60 %,Ruhstaller,American Amber / Red Ale,1881 Sacramento,268
5.50 %,O'Connor Brewing Co. .,American Amber / Red Ale,Red Nun Red Ale,269
7.00 %,Ballast Point Brewing Company,American Amber / Red Ale,Homework Series # 1 - Hoppy Red Ale,270
4.50 %,Mammoth Brewing Company,American Amber / Red Ale,Real McCoy Amber Ale,271
5.00 %,COAST Brewing Company,American Amber / Red Ale,Carnie Fire,272
5.75 %,Utah Brewers Cooperative,American Amber / Red Ale,Squatters Big Cottonwood,273
9.00 %,Greenbush Brewing Company,American Amber / Red Ale,Remnant Of Dragon,274
5.60 %,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,Saranac Amber Ale,275
5.70 %,McNeill 's Brewery,American Amber / Red Ale,McNeill 's Ruby Ale,276
5.50 %,Oak Creek Brewery and Grill,American Amber / Red Ale,Oak Creek Amber Ale,277
-,Dark Horse Brewing Company,American Amber / Red Ale,Dark Horse Rod,278
6.00 %,De Struise Brouwers,American Amber / Red Ale,Struise Rosse,279
5.40 %,Half Pints Brewing Company,American Amber / Red Ale,Bulldog Amber Ale,280
9.50 %,Solemn Oath Brewery,American Amber / Red Ale,Man Vs. Internet,281
6.70 %,Frankenmuth Brewery,American Amber / Red Ale,Frankenmuth Christmas Town Ale,282
5.50 %,Empire Brewing Company,American Amber / Red Ale,Empire Amber Ale,283
6.00 %,Great Lakes Brewing Co. .,American Amber / Red Ale,Great Lakes Independence Ale,284
8.20 %,Lavery Brewing Company,American Amber / Red Ale,Lavery Imperial Red Ale,285
5.90 %,Evolution Craft Brewing Company,American Amber / Red Ale,Exile Red,286
4.60 %,Flying Monkey Brewing Company,American Amber / Red Ale,Flying Monkey Amber Ale,287
5.20 %,Boston Beer Works - Canal Street,American Amber / Red Ale,Boston Red,288
6.50 %,Marshall Brewing Company,American Amber / Red Ale,Revival Red Ale,289
-,Weston Brewing Company & O'Malley 's Pub,American Amber / Red Ale,Drop Kick Ale,290
5.40 %,Oakshire Brewing,American Amber / Red Ale,Oakshire Amber,291
6.00 %,Dock Street Brewery & Restaurant,American Amber / Red Ale,Dock Street Philadelphia Amber,292
4.90 %,Arbor Brewing Company,American Amber / Red Ale,Arbor Brewing Red Snapper Special Bitter,293
6.00 %,Crazy Mountain Brewing Company,American Amber / Red Ale,Boohai Red Ale,294
7.50 %,Figure 8 Brewing,American Amber / Red Ale,Ro Shampo Imperial Red Ale,295
5.60 %,Charleville Vineyard Microbrewery,American Amber / Red Ale,Tornado Alley Amber Ale,296
6.20 %,Cigar City Brewing,American Amber / Red Ale,El Centro,297
5.50 %,Creature Comforts,American Amber / Red Ale,Reclaimed Rye,298
4.40 %,Brouwerij De Molen,American Amber / Red Ale,Bed And Breakfast,299
4.50 %,World Brews,American Amber / Red Ale,R.J. King Wingwalker Amber Ale,300
6.00 %,Cellar Rats Brewery,American Amber / Red Ale,Rat Tail Ale,301
6.80 %,Blue & Gray Brewing Co. .,American Amber / Red Ale,Fred Red Ale,302
7.00 %,8 Wired Brewing Co. .,American Amber / Red Ale,Tall Poppy,303
5.30 %,Twisted Pine Brewing Company,American Amber / Red Ale,Twisted Pine Amber Ale,304
6.00 %,Rhinegeist Brewery,American Amber / Red Ale,Dad,305
7.30 %,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,BJ 's Jeremiah Red,306
5.50 %,Yukon Brewing Company,American Amber / Red Ale,Yukon Red Amber Ale ( Arctic Red ),307
5.20 %,Kern River Brewing Company,American Amber / Red Ale,Sequoia Red,308
6.10 %,Fat Bottom Brewing,American Amber / Red Ale,Ruby Red American Ale,309
5.20 %,Lighthouse Brewing Company,American Amber / Red Ale,Race Rocks Ale,310
8.30 %,Swamp Head Brewery,American Amber / Red Ale,Sciaenhops,311
6.00 %,Freetail Brewing Company,American Amber / Red Ale,Freetail Ale,312
4.50 %,World Brews,American Amber / Red Ale,Cable Car Small Batch Amber Ale,313
-,Rogue Ales,American Amber / Red Ale,Rogue Farms Chipotle Ale,314
5.50 %,Jailhouse Brewing Company,American Amber / Red Ale,Misdemeanor,315
4.90 %,Coors Brewing Company,American Amber / Red Ale,Killians Irish Red,316
4.80 %,Cricket Hill Brewing Co. .,American Amber / Red Ale,Fall Festivus,317
6.00 %,Solemn Oath Brewery,American Amber / Red Ale,Axe Scar Pig,318
6.10 %,Hoppy Brewing Co. .,American Amber / Red Ale,Hoppy Face Amber Ale,319
4.60 %,Garrison Brewing Company,American Amber / Red Ale,Tall Ship Amber Ale,320
5.80 %,Siren Craft Brew,American Amber / Red Ale,Liquid Mistress,321
5.30 %,The Pike Brewing Company,American Amber / Red Ale,Pike Pale Heirloom Amber Ale,322
