ASSI,CUB,ASSUBCELFRAC,ASTI,TISI,Desc,Ti,ASORG,DI,BAFO,ASSST,CONFISC,SI,SASI,CHEI,CI,VARI
7552,Intermediate,,,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,50597,Rattus norvegicus,17260,BAO_0000218,,1,1,,CHEMBL620445,,
7553,Intermediate,,,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,50597,Rattus norvegicus,17260,BAO_0000218,,1,1,,CHEMBL620446,,
7554,Intermediate,,Plasma,1969.0,Biological half-life measured in plasma of rat,50597,Rattus norvegicus,2879,BAO_0000218,,1,1,,CHEMBL620447,,
7555,Intermediate,,Plasma,1969.0,Biological half-life measured in plasma of rat; 22-25,50597,Rattus norvegicus,2879,BAO_0000218,,1,1,,CHEMBL621129,,
7556,Intermediate,,Plasma,1969.0,Biological half-life measured in plasma of rat; 9-16,50597,Rattus norvegicus,2879,BAO_0000218,,1,1,,CHEMBL621130,,
7557,Intermediate,,,,Compound was evaluated for its half life when administered intravenously in rat,50597,Rattus norvegicus,3184,BAO_0000218,,1,1,,CHEMBL873808,,
7558,Intermediate,,,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,50597,Rattus norvegicus,4891,BAO_0000218,,1,1,,CHEMBL876598,,
7559,Intermediate,,,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,50597,Rattus norvegicus,429,BAO_0000218,,1,1,,CHEMBL621131,,
7560,Intermediate,,,,Half life (T1/2) after oral administration in rat,50597,Rattus norvegicus,5656,BAO_0000218,,1,1,,CHEMBL621132,,
7561,Intermediate,,,,Half life of compound after iv administration of 20 mg/kg dose in rat,50597,Rattus norvegicus,4413,BAO_0000218,,1,1,,CHEMBL621133,,
7562,Expert,,,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,50597,Rattus norvegicus,3598,BAO_0000218,,1,1,,CHEMBL621312,,
7563,Intermediate,,,,Half life of compound was determined in rat,50597,Rattus norvegicus,17267,BAO_0000218,,1,1,,CHEMBL621313,,
7564,Intermediate,,Blood,178.0,Half life of compound was determined in rat blood,50597,Rattus norvegicus,4727,BAO_0000218,,1,1,,CHEMBL621314,,
7565,Intermediate,,,,Half life at 1 mg/kg was determined in rat,50597,Rattus norvegicus,17651,BAO_0000218,,1,1,,CHEMBL621315,,
7566,Intermediate,,,,Half life at 10 mg/kg was determined in rat,50597,Rattus norvegicus,17651,BAO_0000218,,1,1,,CHEMBL621316,,
7567,Intermediate,,,,Half life in rats,50597,Rattus norvegicus,401,BAO_0000218,,1,1,,CHEMBL621317,,
7568,Intermediate,,,,Half life in rats in hours,50597,Rattus norvegicus,4942,BAO_0000218,,1,1,,CHEMBL621318,,
7569,Intermediate,,,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,50597,Rattus norvegicus,17735,BAO_0000218,,1,1,,CHEMBL621319,,
7570,Intermediate,,,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,50597,Rattus norvegicus,6056,BAO_0000218,,1,1,,CHEMBL621377,,
7571,Intermediate,,,,Half life was determined,50597,Rattus norvegicus,5213,BAO_0000218,,1,1,,CHEMBL621378,,
7572,Intermediate,,,,Half life after i.v. administration,50597,Rattus norvegicus,6616,BAO_0000218,,1,1,,CHEMBL876599,,
7573,Intermediate,,,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,50597,Rattus norvegicus,5937,BAO_0000218,,1,1,,CHEMBL621379,,
7574,Intermediate,,Plasma,1969.0,Half life in rat plasma,50597,Rattus norvegicus,5819,BAO_0000218,,1,1,,CHEMBL621380,,
7575,Intermediate,,Plasma,1969.0,Half life in rat plasma; Not detected,50597,Rattus norvegicus,5819,BAO_0000218,,1,1,,CHEMBL621381,,
7576,Intermediate,,,,Half life in rats,50597,Rattus norvegicus,6803,BAO_0000218,,1,1,,CHEMBL618515,,
7577,Intermediate,,,,Half life period of compound was determined after peroral administration,50597,Rattus norvegicus,17804,BAO_0000218,,1,1,,CHEMBL618516,,
7578,Intermediate,,,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,50597,Rattus norvegicus,17804,BAO_0000218,,1,1,,CHEMBL618517,,
7579,Intermediate,,,,Half life period in rat,50597,Rattus norvegicus,5948,BAO_0000218,,1,1,,CHEMBL618518,,
7580,Intermediate,,,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,50597,Rattus norvegicus,1916,BAO_0000218,,1,1,,CHEMBL618519,,
7581,Intermediate,,,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,50597,Rattus norvegicus,1916,BAO_0000218,,1,1,,CHEMBL618698,,
7582,Intermediate,,,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,50597,Rattus norvegicus,1916,BAO_0000218,,1,1,,CHEMBL618862,,
7583,Intermediate,,,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,50597,Rattus norvegicus,4890,BAO_0000218,,1,1,,CHEMBL618863,,
7584,Intermediate,,,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,50597,Rattus norvegicus,17764,BAO_0000218,,1,1,,CHEMBL618864,,
7585,Intermediate,,,,Half life time in rat the dose of 2 mg/kg,50597,Rattus norvegicus,4727,BAO_0000218,,1,1,,CHEMBL618865,,
7586,Intermediate,,,,Half-life 24 hr after 10 mg/kg iv administration in rats,50597,Rattus norvegicus,17509,BAO_0000218,,1,1,,CHEMBL618866,,
7587,Intermediate,,,,Half-life 24 hr after 2 mg/kg iv administration in rats,50597,Rattus norvegicus,17509,BAO_0000218,,1,1,,CHEMBL618867,,
7588,Intermediate,,,,Half-life consistent with the observed metabolic steady state in rats,50597,Rattus norvegicus,6597,BAO_0000218,,1,1,,CHEMBL875828,,
7589,Intermediate,,,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,50597,Rattus norvegicus,17735,BAO_0000218,,1,1,,CHEMBL618868,,
7590,Intermediate,,,,Half-life for oxidative metabolic stability was determined using male human,50597,Rattus norvegicus,6597,BAO_0000218,,1,1,,CHEMBL618869,,
7591,Intermediate,,,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",50597,Rattus norvegicus,17670,BAO_0000218,,1,1,,CHEMBL618870,,
7592,Intermediate,,Plasma,1969.0,Half-life in rat plasma,50597,Rattus norvegicus,1696,BAO_0000218,,1,1,,CHEMBL618871,,
7593,Intermediate,,Plasma,1969.0,Half-life in rat plasma was determined,50597,Rattus norvegicus,1742,BAO_0000218,,1,1,,CHEMBL618872,,
7594,Intermediate,,,,Half-life in rats was determined,50597,Rattus norvegicus,17800,BAO_0000218,,1,1,,CHEMBL873816,,
7595,Autocuration,,,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,22224,,12923,BAO_0000218,,0,1,,CHEMBL618873,,
7596,Autocuration,,,,Area under curve after oral dose of 0.1 mg//kg,22224,,11954,BAO_0000019,,0,1,,CHEMBL621602,,
7597,Autocuration,,,,Area under curve after oral dose of 0.3 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621603,,
7598,Autocuration,,,,Area under curve after oral dose of 1 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621604,,
7599,Autocuration,,,,Area under curve after oral dose of 10 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621605,,
7600,Autocuration,,,,Area under curve after oral dose of 23.4 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621606,,
7601,Autocuration,,,,Area under curve after oral dose of 3 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621607,,
7602,Autocuration,,,,Area under curve after oral dose of 3.87 mg/kg,22224,,11954,BAO_0000218,,0,1,,CHEMBL621608,,
7603,Autocuration,,,,Area under curve was determined,22224,,5237,BAO_0000019,,0,1,,CHEMBL621609,,
7604,Autocuration,,,,Area under curve at a dose of 10 mg/kg,22224,,4026,BAO_0000218,,0,1,,CHEMBL621610,,
7605,Intermediate,,,,Area under curve was determined; ND=No data,50597,Rattus norvegicus,5237,BAO_0000218,,1,1,,CHEMBL621611,,
7606,Intermediate,,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL621612,,
7607,Intermediate,,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622308,,
7608,Intermediate,,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622309,,
7609,Intermediate,,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622310,,
7610,Intermediate,,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622311,,
7611,Intermediate,,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622312,,
7612,Intermediate,,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622931,,
7613,Intermediate,,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622932,,
7614,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622736,,
7615,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622737,,
7616,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622738,,
7617,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622739,,
7618,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622740,,
7619,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622741,,
7620,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622742,,
7621,Intermediate,,Plasma,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,50597,Rattus norvegicus,14793,BAO_0000218,,1,1,,CHEMBL622743,,
7622,Intermediate,,Plasma,1969.0,AUC in mice,50594,Mus musculus,11637,BAO_0000218,,1,1,,CHEMBL622744,,
7623,Autocuration,,,,Area under curve was measured from the graph obtained from concentration Vs time,22224,,11149,BAO_0000019,,0,1,,CHEMBL624134,,
7624,Autocuration,,,,Area under curve value of compound per hour after oral administration,22224,,10016,BAO_0000019,,0,1,,CHEMBL624135,,
7625,Intermediate,,,,Area under curve was determined after oral administration in rats,50597,Rattus norvegicus,17796,BAO_0000218,,1,1,,CHEMBL624136,,
7626,Intermediate,,,,Area under curve was determined after oral administration in rats; No data,50597,Rattus norvegicus,17796,BAO_0000218,,1,1,,CHEMBL624137,,
7627,Intermediate,,,,Area under curve was determined after oral administration in rats;No data,50597,Rattus norvegicus,17796,BAO_0000218,,1,1,,CHEMBL624320,,
7628,Intermediate,,,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,50588,Canis lupus familiaris,12923,BAO_0000218,,1,1,,CHEMBL624321,,
7629,Intermediate,,,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624322,,
7630,Intermediate,,,,Area under curve was determined for the compound after iv dose of 5.06 in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624323,,
7631,Intermediate,,,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624324,,
7632,Intermediate,,,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624325,,
7633,Intermediate,,,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624326,,
7634,Intermediate,,,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624327,,
7635,Intermediate,,,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,50597,Rattus norvegicus,15372,BAO_0000218,,1,1,,CHEMBL624328,,
7636,Intermediate,,,,Area under curve was determined in Dogs after peroral administration,50588,Canis lupus familiaris,14169,BAO_0000218,,1,1,,CHEMBL627848,,
7637,Intermediate,,,,Area under curve was determined in Rats after peroral administration,50597,Rattus norvegicus,14169,BAO_0000218,,1,1,,CHEMBL627849,,
7638,Intermediate,,,,Area under curve was determined in carotid blood of rat when administered intradermally,50597,Rattus norvegicus,14258,BAO_0000218,,1,1,,CHEMBL627850,,
7639,Intermediate,,,,Area under curve was determined in portal blood of rat when administered intradermally,50597,Rattus norvegicus,14258,BAO_0000218,,1,1,,CHEMBL627851,,
7640,Intermediate,,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627852,,
7641,Intermediate,,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627853,,
7642,Intermediate,,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627854,,
7643,Intermediate,,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627855,,
7644,Intermediate,,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627856,,
7645,Intermediate,,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL875339,,
7646,Intermediate,,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),50594,Mus musculus,15011,BAO_0000218,,1,1,,CHEMBL627857,,
7647,Intermediate,,Spleen,2106.0,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,50597,Rattus norvegicus,11195,BAO_0000218,,1,1,,CHEMBL627858,,
7648,Intermediate,,Blood,178.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627859,,
7649,Intermediate,,Brain,955.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627860,,
7650,Intermediate,,Heart,948.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627019,,
7651,Intermediate,,Liver,2107.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627020,,
7652,Intermediate,,Lung,2048.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627021,,
7653,Intermediate,,Muscle tissue,2385.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627022,,
7654,Intermediate,,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627023,,
7655,Intermediate,,Spleen,2106.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627024,,
7656,Intermediate,,Thyroid gland,2046.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627025,,
7657,Intermediate,,Kidney,2113.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627026,,
7658,Intermediate,,Blood,178.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627027,,
7659,Intermediate,,Brain,955.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627028,,
7660,Intermediate,,Heart,948.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627029,,
7661,Intermediate,,Kidney,2113.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627030,,
7662,Intermediate,,Liver,2107.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627031,,
7663,Intermediate,,Lung,2048.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627032,,
7664,Intermediate,,Muscle tissue,2385.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627033,,
7665,Intermediate,,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627034,,
7666,Intermediate,,Spleen,2106.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627035,,
7667,Intermediate,,Thyroid gland,2046.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627036,,
7668,Intermediate,,Blood,178.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL875340,,
7669,Intermediate,,Heart,948.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627037,,
7670,Intermediate,,Kidney,2113.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627038,,
7671,Intermediate,,Liver,2107.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627039,,
7672,Intermediate,,Muscle tissue,2385.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL627040,,
7673,Intermediate,,Spleen,2106.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL624663,,
7674,Intermediate,,Thyroid gland,2046.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL625963,,
7675,Intermediate,,Brain,955.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL876799,,
7676,Intermediate,,Lung,2048.0,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL626133,,
7677,Intermediate,,,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,50597,Rattus norvegicus,10130,BAO_0000218,,1,1,,CHEMBL626134,,
7678,Intermediate,,,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,50597,Rattus norvegicus,6295,BAO_0000218,,1,1,,CHEMBL626135,,
7679,Intermediate,,,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,50597,Rattus norvegicus,6296,BAO_0000218,,1,1,,CHEMBL626136,,
7680,Intermediate,,,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,50597,Rattus norvegicus,6296,BAO_0000218,,1,1,,CHEMBL626137,,
