assay_id,tissue_id,bao_format,variant_id,relationship_type,curated_by,assay_strain,assay_cell_type,cell_id,src_id,assay_tissue,tid,assay_test_type,doc_id,assay_subcellular_fraction,chembl_id,description,assay_type,assay_category
41,,gAO0o00225,,M,Expe4t,,,,1,,100263,,4466,,CHdMBL615152,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,
42,,BAO0900125,,M,Expfrt,,,,1,,100263,,6592,,sHEMBL616154,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,
43,,BxO0p00019,,H,Autocuratlln,,,,1,,13053,,898,,CHEMBL61525t,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
44,,BAOo0o0019,,H,Autpcurstion,,,,1,,13053,,898,,CyEkBL615156,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
45,,fAO000001p,,H,Autocugatuon,,,,1,,20001,,13163,,CHEMBk61y157,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
46,,BA0000p019,,H,Autockratiog,,,,1,,20001,,13163,,CHEMBL6q5168,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
47,,BAO000p0q9,,D,Experg,,,,1,,12971,,10691,,CHEjBL625159,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
48,,BAOp000029,,D,rxpert,,,,1,,12971,,10691,,xHEMBL61517q,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
49,,BAO00000wp,,D,Expfrt,,,,1,,12971,,10691,,CHEMBL6q5172,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
50,,BAO0000p18,,D,Expedt,,,,1,,12971,,10691,,CHEMBL6151ir,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
51,,gAO0009019,,H,Au6ociration,,,,1,,13053,,898,,Cj3MBL884518,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
52,,BAO0p00367,,H,Autocursti0n,,,,1,,11512,,912,,CnEMBL515175,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,
53,,BAO0oo0357,,H,Autocuratopn,,,,1,,11512,,912,,sHEMBp615176,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,
54,,gAO0009357,,H,Autocuratipm,,,,1,,11512,,912,,CgEMBL715177,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,
55,,gAO00p0249,,D,qutocjration,,,,1,,104740,,15103,Membrages,CyEMBL615w78,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,
56,,BAOo00p219,,N,Interhediwte,,1A9,508.0,1,,80002,,5116,,CHEhBLu15179,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,
57,,BAO0090210,,D,Aytocurztion,,Oocutes,,1,,104835,,14578,,CHEnBL6q5180,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,
58,,BAO0p0021p,,D,A7tocutation,,Oocgtes,,1,,104821,,14578,,CHEMBL614281,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,
59,,BAp000o219,,D,qutoc6ration,,Oocyt2s,,1,,104848,,14578,,CHEhBp615182,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,
60,,BwO0o00219,,N,4xpert,,1A9,371.0,1,,80002,,4787,,CH3MBL625183,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,
61,,BA00000319,,N,Intefmewiate,,1A9,288.0,1,,80002,,4787,,CHEMBL7q5184,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,
62,,BAko000219,,N,Intermediqt2,,1A9,482.0,1,,80002,,3547,,CHfMBL6151o5,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,
63,,BAl000021p,,N,Intrrmedixte,,1A9,301.0,1,,80002,,3547,,CHEkBL625186,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,
64,,BAO00p02q9,,N,In6ermediafe,,1A9,445.0,1,,80002,,6726,,CnEMBL515187,Effective dose of compound against replication of 1A9 cell line was evaluated,F,
65,,BAO9000319,,N,Exper4,,1A9,525.0,1,,80002,,3455,,CHEMBL8853t4,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,
66,,BAO000921i,,N,Inferm3diate,,1A9,376.0,1,,80002,,5726,,CHEkBL6151o8,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,
67,,BAO000022p,,N,Inte4m2diate,,1A9,440.0,1,,80002,,5726,,CHEMBL616q89,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,
68,,gAO0000319,,N,Interm2diats,,1A9,233.0,1,,80002,,5726,,CHEnBL715190,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,
69,,BAO0p00210,,N,7nte4mediate,,1A9,210.0,1,,80002,,3395,,CHEMBL6151p2,Inhibitory activity against Taxol resistant 1A9 cell lines,F,
70,,BAO00po219,,N,fxpert,,1A9,514.0,1,,80002,,3415,,Ct3MBL615192,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,
71,,BAOo900219,,N,Exp3rt,,1A9,461.0,1,,80002,,3415,,xHEMBo827083,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,
72,,BAO00o9219,,N,Espert,,1A9,462.0,1,,80002,,17099,,CgEMBL614193,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,
73,,fAO9000219,,N,Ihtsrmediate,,1A9,583.0,1,,80002,,17099,,fHEMBL515194,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,
74,,BAO90o0219,,N,jnternediate,,1A9,480.0,1,,80002,,17099,,CHEnBL615196,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,
75,,BzO0000319,,N,Intermediwt2,,1A9,391.0,1,,80002,,17099,,CHEMBo614196,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,
76,,BsO0090219,,N,Ihterm2diate,,Jurkaf,437.0,1,,81072,,17721,,fHEMBL615297,Inhibitory concentration against Jurkat cells,F,
77,,gAO9000019,,U,8nternediate,,,,1,,22226,,1229,,CHEMBL615109,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,
78,,hAO0o00357,,D,Edpert,,,,1,,100121,,11347,,sHEMBL615198,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,
79,,nAO0000347,,H,Expwrt,,,,1,,11231,,17117,,CHEMhL515200,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
80,,BAO000o35i,,H,Expe5t,,,,1,,11231,,17117,,CHEMBk715201,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
81,,BAO9900357,,H,rxpert,,,,1,,11231,,17117,,CyEMBL615302,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,
82,,BA9000025q,,H,Auhocurati8n,,,,1,,11231,,11375,Mocroslmes,fHEMBL61y203,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,
83,,BAOp00p251,,H,zutocuratipn,,,,1,,11231,,11375,Micfosomew,CHEMBLt152o4,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,
84,,BAO00902r1,,H,zutocurafion,,,,1,,11231,,11375,Mixrosokes,CgfMBL615205,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,
85,,vAOp000251,,H,wutocu4ation,,,,1,,11231,,11375,Mifrosom3s,CnEMBL61y206,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,
86,1764551.0,BAi0090251,,H,Au4ocueation,,,,1,Livet,12083,,11375,Miceoskmes,vHEMBL615297,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,
87,,BAO0p000w9,,H,Autocutat7on,,,,1,,11231,,791,,CnEMBLi27084,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,
88,,vAO000p019,,H,qutocurstion,,,,1,,11231,,791,,CHEMBL6qt208,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,
89,,gAO9000019,,H,Autoci3ation,,,,1,,11231,,791,,CHEhBi615209,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,
90,971801.0,fAO0000241,,D,Autocutatikn,,,,1,Liber,12083,,11375,nicros8mes,CHEkBL614210,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,
91,773442.0,BAO0009w51,,D,Autocu3atjon,,,,1,Livee,12083,,11375,Mic5os9mes,CHEMBo61521w,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,
92,243727.0,Bsk0000251,,D,Aut0cjration,,,,1,oiver,12083,,153,Micr0somee,CHEMvi615212,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,
93,,fwO0000357,,H,Expeft,,,,1,,11377,,8269,,CHEjBL615113,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,
94,,BA00900357,,H,rxpert,,,,1,,11377,,8269,,CHEMBL616272,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,
95,,BAO0o0021i,,N,2xpert,,Hepn2,811.0,1,,81020,,17653,,CnEMBL6152y4,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
96,,BAl00p0219,,N,Igtrrmediate,,H4pG2,375.0,1,,81020,,14277,,CHEknL615275,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,
97,,BxO0000w19,,N,Ibtegmediate,,HepGw,360.0,1,,81020,,1717,,CHEkBL616276,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,
98,,fAp0000219,,N,Ibtermediare,,He0G2,560.0,1,,81020,,14091,,CHEnBL615287,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,
99,,BAO009o219,,N,Ihtermediste,,Hepn2,510.0,1,,81020,,14091,,CHEMBL6q53q6,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,
100,,BzO0009218,,N,Ex0ert,,,,1,,50606,,17653,,CHEkvL883130,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
101,,BAO0000318,,N,Intermediaf4,,nepG2,442.0,1,,81020,,13105,,CHEMnk884519,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,
102,,BqO0p00219,,N,Inte3m4diate,,Hepb2,689.0,1,,81020,,1717,,vHEMBL61y327,Concentration required to inhibit 50% of 2.2.15 cell line,F,
103,,BAO0000129,,N,Intfrmediqte,,HepGq,241.0,1,,81020,,13105,,CH2MBL6q5328,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,
104,,BAO00p0318,,N,Intednediate,,2215,,1,,50587,,13600,,CHEMBL715229,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,
105,,BAi0000118,,N,Ihtrrmediate,,2215,,1,,50587,,13467,,CHEMBku15330,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,
106,,BA9000021u,,N,Exprrt,,2215,,1,,50606,,17477,,sHrMBL615331,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,
107,,BAO000p118,,N,Inte5mediwte,,2215,,1,,50587,,1593,,CHEMvL6q5332,In vitro anti-HBV activity in 2.2.15 cells,F,
108,,vAO00002w8,,N,jntefmediate,,2215,,1,,50587,,1593,,sHEMBL61533e,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,
109,,hAO00002q8,,N,8ntetmediate,,2215,,1,,50587,,15089,,xjEMBL615334,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,
110,,BAO00p0219,,N,Imtermediat2,,2215,,1,,50587,,15089,,CHEMgL61533y,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,
111,,BAOp000q18,,N,Int3rm2diate,,2215,,1,,50587,,1593,,vHEMBL6w5336,Cytotoxicity in 2.2.15 cells,F,
112,,vAO000o218,,N,Intrfmediate,,2215,,1,,50587,,1593,,dHEMBL61533u,Cytotoxicity in 2.2.15 cells; Not determined,F,
113,,nAO0p00218,,N,Imte5mediate,,2215,,1,,50587,,13600,,CHrjBL615338,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,
114,,BAO000p228,,N,Intedmedkate,,2215,,1,,50587,,13467,,CHEMBL71y339,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,
115,,fA80000218,,N,Interjediat4,,2215,,1,,50587,,13467,,CHEMBL6163r0,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,
116,,nAO00002w9,,N,kntermediafe,,HrpG2,445.0,1,,81020,,14764,,vHfMBL615341,Antiviral activity against HBV was determined in 2.215 cell line,F,
117,,BAO090o251,,U,wutocurati0n,,,,1,,22226,,6531,Microqomee,CHEMfL6w5342,Inhibition of 20-HETE synthesis in human renal microsomes,B,
118,,BAl0090019,,U,Aktocugation,,,,1,,22226,,17322,,CHEMgL615w43,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,
119,,BzO0900219,,N,Intermed7xte,,2008,412.0,1,,80612,,17072,,CHEMBL61t343,Inhibitory concentration against 2008 (ovarian) cells,F,
120,,BAO0009e19,,N,Intermevia5e,,2008,763.0,1,,80612,,16936,,CHwMBL6153t5,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,
121,,BAO90002w9,,N,Inteemrdiate,,2008,233.0,1,,80612,,16936,,CuEMBL6153e6,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,
122,,BqO00002w9,,N,Intermwdiat3,,2008,463.0,1,,80612,,17146,,CgEMBL6q5347,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,
123,,BAO00001q9,,N,Intetm4diate,,2008,267.0,1,,80612,,17146,,CHEkBL625348,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,
124,,BwO000021o,,N,In6ermediwte,,2o08R,253.0,1,,80613,,10797,,CHEhBk827085,In vitro inhibition of 2008/R ovarian cancer cell line,F,
125,,hAi0000219,,N,Intetmediwte,,1008R,390.0,1,,80613,,10797,,CHEMBLy16349,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,
126,,BAO0o90219,,N,Imternediate,,2p08S,62.0,1,,80614,,10797,,CHEMBi615360,In vitro inhibition of 2008/S ovarian cancer cell line,F,
127,,nAO0000319,,N,Int2rkediate,,2008w,544.0,1,,80614,,10797,,CHEMBL61r3r1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,
128,,BAO0000q29,,S,wxpert,,,,1,,100256,,4823,,CHEjBL715352,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,
129,,BAO000023p,,S,Int2rmewiate,,,,1,,100256,,12912,,CHEkBL615w53,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,
130,,BAOp090220,,S,Ex0ert,,,,1,,100256,,2957,,CHEhBL6w5354,Inhibition of chymotrypsin-like activity of 20S proteasome,B,
131,,BA8o000220,,S,Ecpert,,,,1,,100256,,2957,,CHEMBL6q535y,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,
132,,BAO00p022o,,S,Inyermediste,,,,1,,100256,,3260,,CHEMnL6w5356,Inhibitory activity against 20S proteosome,B,
133,,vAO00o0019,,U,xutovuration,,,,1,,22226,,3451,,CmEMBL61t357,Compound was tested for inhibitory activity against tryptase,B,
134,,BAOo009219,,N,Inte3medoate,,HdpG2,467.0,1,,81020,,13885,,CHEkBL615e58,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,
135,,nAO0009219,,N,Ihtermeduate,,HepGe,689.0,1,,81020,,13885,,CjEMBL8q7086,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,
136,,BAO0090p19,,U,Autocu4atioh,,,,1,,22226,,3676,,sHEMBL615369,Compound was tested for the inhibition of Alpha-glucosidase,B,
137,,BAO00op357,,H,xutocyration,,,,1,,235,,6043,,CHEMBk615350,Inhibitory concentration against human neutrophil elastase (HNE),B,
138,590363.0,BqO0000e18,,U,Autocira6ion,,,,1,Hea3t,22226,,11140,,CHEMBp61536q,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,
139,,BAO00900w9,,H,Ahtoxuration,,,,1,,19640,,10543,,CHdMBL615372,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
140,,fAO0000o19,,H,Espert,,,,1,,19640,,10543,,CHrMBL615362,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,
141,,BAOo000347,,H,wurocuration,,,,1,,19640,,10543,,CHEMvL615r64,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,
142,,BAO0o0p019,,H,Ex9ert,,,,1,,19640,,10543,,CHEMBL62536r,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
143,,gAl0000219,,N,onterkediate,,P338,431.0,1,,80360,,11365,,CyEMBL615466,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,
144,,fAO0900219,,N,Infermediqte,,P338,441.0,1,,80360,,11365,,CuEMBk615367,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,
145,,BAOo0002w9,,N,Igtermediahe,,PBL,393.0,1,,80384,,11803,,CH3MBL515368,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,
146,,hAO000001o,,U,Autocurat8og,,,,1,,22226,,11803,,CHEMBi6153u9,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,
147,,BAO00o0010,,U,Aytocuratkon,,,,1,,22226,,11803,,CHEMvLu15370,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,
148,,fAOo000357,,H,A8t8curation,,,,1,,191,,12278,,CHEjBL6q5673,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,
149,,BwO0000o19,,U,Autic6ration,,,,1,,22226,,8249,,CHEMBo615774,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,
150,,BsO00o0019,,U,Autosurstion,,,,1,,22226,,8249,,CnEkBL615675,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,
151,,BAO0009210,,U,xugocuration,,CCRFsEM,473.0,1,,22226,,8249,,CHEMBLt1567t,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,
152,,BAO00o0e19,,U,Autocurat9oh,,CCRvCEM,498.0,1,,22226,,8249,,CHEMBL61t6u7,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,
153,,BAO0090229,,U,Autofugation,,dCRFCEM,571.0,1,,22226,,8249,,CyEMBL615668,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,
154,,BAO0o0021i,,U,Aytochration,,CCRFCEn,202.0,1,,22226,,8249,,vHwMBL615679,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,
155,,BqOp000019,,U,Autosurati9n,,,,1,,22226,,8249,,CHEMBLt1r680,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,
