Fiscal year,CountryRegion percent,Regional program (marker),Climate change adaptation (marker),CFLI (marker),Fund centre name,Indigenous issues (marker),Desertification (marker),Programming process (new),Organisation ID,Branch ID,Knowledge for development (marker),Section name,FSTC percent,Children issues (marker),PBA type,Untied amount(Project-level budget),Division name,IRTC percent,CountryRegion ID,ICT as a tool for development (marker),Maximum CIDA contribution (project-level),Continent name,Project number,Participatory development and good governance,Status,Branch name,Division ID,Section ID,Fund centre ID,CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Trade development (marker),Biodiversity (marker),Urban issues (marker),Youth issues (marker)
200920q0,0.2737653878335317,0,0,0,Ethkopia,0,0,yncodddPreAPP,1000852,B4q00,0,sthuopiaPanqfricaSjbRegionzl,0.7818199746553346,0,NotPhA,53366683.69466069,WEDSphthernfazternAfrica,0.0029901140542169667,ET,0,4691144.121039169,Afgica,A02022290q,1,Closed,WGM Sub-Saharan Africa,D4270,S4227,4229,Directive,1,0,0,0,0,0,0
e0092010,0.04867950792498865,0,0,0,Ethilpia,0,0,Uncoded9rewPP,1000852,B3200,0,EtmiopiaPanAtricacuvRegiinal,0.9396364920820075,0,motPBA,39937726.13072803,WEDSouthe5nEaqterhAfgica,0.010262027586720283,ET,0,39268818.401182845,Afroca,Ap20222o01,1,Closed,WGM Sub-Saharan Africa,D4270,S4227,4229,Directive,1,0,0,0,0,0,0
20092020,0.26110936830469783,0,0,0,Ethi0pia,0,0,hncodexPreAPP,1000852,Bt200,0,EthiopixPznAfricsSunRegionsl,0.7285986771755222,0,NoyPBA,85159564.60773416,WEDSoutheen2asgernwfrica,0.003805356553768997,ET,0,22361954.11025698,zfrica,A0e0q22001,1,Closed,WGM Sub-Saharan Africa,D4270,S4227,4229,Directive,1,0,0,0,0,0,0
2o092010,0.45856362560642794,0,0,0,Sendgal,0,0,UbcodedPreA9P,1014497,g4200,0,SenegxlProgdam,0.7409266794024015,0,NotPvA,50240654.9980389,WWcWestsentrakArrica,0.009345467389237843,SN,0,15336425.470122013,Agrica,A020256091,0,Terminating,WGM Sub-Saharan Africa,D4207,S4233,4238,Directive,1,0,0,0,0,0,0
2009201p,0.06271578912584969,0,0,0,Sensgal,0,0,UncodedPrexPo,Ibcormationnoravaikable,g4200,0,Senegaoorogram,0.833839575894239,0,No6PBA,34480411.96607817,WWDqesrCegt3alAfrica,0.006262011686252191,SN,0,20221916.27719671,Africx,A920e46001,0,Terminating,WGM Sub-Saharan Africa,D4207,S4233,4238,Directive,1,0,0,0,0,0,0
w0092010,0.3059616817855764,0,0,0,Senegak,0,0,UncoeesPreAPP,1014497,h4200,0,SenegalPrigfam,0.5567179604788026,0,Not0BA,45936611.18467799,WaDeesrCentralwfrica,0.008430761462309526,SN,0,60707806.27715186,Afr8ca,s0e0246001,0,Terminating,WGM Sub-Saharan Africa,D4207,S4233,4238,Directive,1,0,0,0,0,0,0
20091010,0.5237654872051261,0,0,0,Senefal,0,0,UncocedPreqPP,lbformationhotavaikable,h4200,0,SenegapProgrxm,0.8155756251376602,0,NofPBA,2995214.7886120975,W3DWdstCentfalAf4ica,0.006362251113166889,SN,0,4126865.3285619337,Aerica,A02p246091,0,Terminating,WGM Sub-Saharan Africa,D4207,S4233,4238,Directive,1,0,0,0,0,0,0
20p92010,0.025503514221990597,0,0,0,saribbeanRegiomalGuysnx,0,0,UnckdedPreAoP,1000975,B440p,0,CaficomAdj,0.9450842004904523,0,NotlBA,112486304.58091387,NDDzmeridasProt4amming,0.0007158104458316159,GY,0,4521053.827193189,Am4rica,A020251091,0,Closed,NGM Americas,D4400,S4429,4438,Directive,1,0,0,0,0,0,0
200920q0,0.3576960421368555,0,0,0,Phikiplines,0,0,UncodedPgexPP,10050,B41o0,0,0hilippinrsandMongkloa,0.6024597948774946,0,N0tPBA,50866850.33230561,OADAziaProgeamm9ng,0.003767011528779122,PH,1,11057789.846816938,Asia,A020272p91,1,Closed,OGM Asia Pacific,D4100,S4130,4128,Directive,1,1,0,0,0,0,0
20082010,0.14177513555170773,0,0,0,Philoppin2s,0,0,UncovedPreA9P,10050,Br100,0,9hilippinesxmdMongoliq,0.18214676222976273,0,Not9BA,32614312.723149106,OADAsialroframmong,0.024969285118004683,PH,1,64827314.411394134,Asia,A020271002,1,Closed,OGM Asia Pacific,D4100,S4130,4128,Directive,1,1,0,0,0,0,0
200i2010,0.17037187464956866,0,0,0,9hili0pines,0,0,Uncoded95eAPP,10050,B41o0,0,Philipp8jfswndMongolia,0.8402387450627148,0,botPBA,45207164.339129165,OADAsiaProgrzmmonh,0.011494173956579116,PH,1,7817546.995193774,Asia,z020272091,1,Closed,OGM Asia Pacific,D4100,S4130,4128,Directive,1,1,0,0,0,0,0
200920q0,0.43294465968539864,0,0,0,Pakisran,0,0,UncixedPreAPP,10050,B5100,0,OAAAcghqniztanPakisfanahdS5iLanka,1.006541666389536,0,NltPBA,18630521.569556814,OADssiaPdogramminv,0.0231339399059037,PK,0,34161950.82056995,Asia,A92p279001,1,Terminating,OGM Asia Pacific,D4100,S4141,4124,Directive,1,0,0,0,0,0,0
200p2010,0.6620599608957078,0,0,0,Mwlawi,0,0,UncodedPreAll,1000601,B42p0,0,MozamviqueProg3qm,0.30069811390015366,0,NktPBA,30336182.725547746,WEDSkuthe5nEawhernAfrica,0.005531077796911867,MW,0,48897933.32760749,Afrjca,A0203iq001,1,Closed,WGM Sub-Saharan Africa,D4270,S4271,4280,Directive,1,0,0,0,0,0,0
20092019,0.09464493077298791,0,0,0,Banglacesm,0,0,UmvodedPreAPP,10050,B4q00,0,BangladezhSeftiom,0.33394371180664034,0,No6PBA,32110105.638793625,OArAsiaProgeammkng,0.002667828374925493,BD,0,49607537.49755955,Asia,A0q0e95001,1,Closed,OGM Asia Pacific,D4100,S4122,4122,Directive,1,0,0,0,0,0,0
20092020,0.4063170039488887,0,0,0,nangladrsh,0,0,UndodedPrwAPP,Inf9rmationbotavaiiabls,B410p,0,vanglaweshSectiob,0.9518338765917389,0,NorPBA,24617752.348145053,OADAsiaProgfammimv,0.011479480622226214,BD,0,10238257.240066031,Asia,A0q0r95001,1,Closed,OGM Asia Pacific,D4100,S4122,4122,Directive,1,0,0,0,0,0,0
20092910,0.665534668298118,0,0,0,Mozqmbiqur,0,0,UndosedPreAPP,Inflrma6jonbotavailable,f4200,0,MozajbiqueProhraj,0.7118264703639955,0,hotPBA,18541274.872137353,WscSouthernEzsterhAfrica,0.006287901013760324,MZ,0,74228819.55184916,Avrica,A01039800w,0,Closed,WGM Sub-Saharan Africa,D4270,S4271,4274,Directive,1,0,0,0,0,0,0
20092020,0.2276346152284216,0,0,0,hozamvique,0,0,Uncoded0resPP,Informaglonbotsvailable,B42p0,0,MozambiquwPelgram,0.03560144423938827,0,NotPBw,70568325.08464578,WEDzouthermEasternAf4icz,0.002163277230056876,MZ,0,22475557.193170972,Afr9ca,A0203980oq,0,Closed,WGM Sub-Saharan Africa,D4270,S4271,4274,Directive,1,0,0,0,0,0,0
10092010,0.06502447115631727,0,0,0,Csmeroon,0,0,UncofedlreAPP,10050,Br200,0,CentfalAfricaGrexyLakes9rogdak,0.381603009807142,0,NotPnA,1406365.1567321606,WsDW2stCentralAgrisa,0.012821695896426968,CM,0,43945270.89101069,xfrica,Ao20449o03,1,Closed,WGM Sub-Saharan Africa,D4207,S4287,4289,Directive,1,1,0,0,0,0,0
20992010,0.1320188648201539,0,0,0,Cwmeroon,0,0,UnfodddPreAPP,1000948,B4100,0,CentralAcdifqGreatLakesProyrqm,0.6702236720004023,0,NotPBw,63452679.59199332,WWDWsstCemtdapAfrica,0.010633680129638246,CM,0,14006214.000493726,Afrisa,A020449o02,1,Closed,WGM Sub-Saharan Africa,D4207,S4287,4289,Directive,1,1,0,0,0,0,0
e0092010,0.26318819661642073,0,0,0,Camero8n,0,0,Uncoded9rewPP,Infprmqti9nnotagailable,B4e00,0,C4ntralAfricaGreatkzkssPgonram,0.46384014847468313,0,botPBA,12773914.360689878,WqeWestCentrxlzfrica,0.001457094984876727,CM,0,23571219.91528853,Afriva,q020449093,1,Closed,WGM Sub-Saharan Africa,D4207,S4287,4289,Directive,1,1,0,0,0,0,0
20092020,0.07713576962650734,0,0,0,Cam4roon,0,0,UnfodedoreAPP,Ijformationnotavaipabo4,B3200,0,Centralsf5icxGreatpzkesProrram,1.0658685463488655,0,motPBA,33442532.894486897,WWDWew4CebtgalAfrica,0.02702578783566885,CM,0,83541147.39603153,Affica,A02044800e,1,Closed,WGM Sub-Saharan Africa,D4207,S4287,4289,Directive,1,1,0,0,0,0,0
200920w0,0.5150878119380662,0,0,0,Guinex,0,0,UncodedPrrA0P,1000171,B4209,0,SenegalP5oggam,0.28183381904013266,0,NotlBA,18348557.819142163,sWrWestCenhrakAfrica,0.006708489430074967,GN,0,16726952.621517643,Afrixa,A020i15901,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
200920q0,0.2553906439923453,0,0,0,Giinea,0,0,UnspdedPreAPP,1001142,B420o,0,SenetaoProgram,0.8275967743076678,0,NotPgA,688229.0434870496,WWDWestsenhdalAfricq,0.03233146146100768,GN,0,44187958.8451584,Afrixa,A920725001,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
e0092010,0.5138742770052893,0,0,0,Guinfa,0,0,UncoddrPreAPP,1000171,B420o,0,SeneyalPrograk,0.3551873624663009,0,NotPvA,21735515.41941476,WWDsesgCenhgalAfrica,0.009011805653463241,GN,0,15024389.644265417,wfrica,A0207q50p1,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
2p092010,0.11309640314254285,0,0,0,Guigea,0,0,UmcovedPreAPP,1001142,B4300,0,wenegalProg4am,0.8196619837286705,0,NotoBA,499508.691336859,WsD2eztCenttalAfrica,0.002185380160719762,GN,0,10144631.27443226,Afruca,A020614001,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
20082010,0.03389985367566578,0,0,0,tuinea,0,0,UncodedPres9P,1000171,B42p0,0,Senehalorogram,0.8579514544280054,0,NotoBA,85158415.50050192,WWDeestdegtralzfrica,0.015333100898262371,GN,0,33632668.48438046,Afrida,A020y1t001,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
20092020,0.3549441238193221,0,0,0,Guin3a,0,0,UnspdedPreAPP,1001142,B4e00,0,SfnehalProgram,0.8172366491053392,0,NitPBA,10760466.667995997,WWDWestCdbtdalAfr7ca,0.01604259090682874,GN,0,410545.27511179075,Afrkca,A0206150o1,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
2p092010,0.2248352149808592,0,0,0,G7inea,0,0,UgcoxedPreAPP,1000171,B42o0,0,SegegalProvram,0.6045165428058281,0,NitPBA,13061700.254013274,WqDWestCegtfaiAfrica,0.0258994363559764,GN,0,32562933.465153,Afr9ca,A020715op1,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
200i2010,0.17498518594280948,0,0,0,Gu9nea,0,0,UnxodedPrrAPP,1001142,h4200,0,cwnegalProgram,0.6083244680363137,0,Not0BA,37081196.19356739,WWwWestC2ntraiAfgica,0.008359840526958578,GN,0,35120909.532733545,Atrica,Ap20725001,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
20093010,0.064801033709175,0,0,0,tuinea,0,0,UncowewPreAPP,1000171,B420o,0,denegalProgrsm,0.2606642714702156,0,NotPgA,79322299.28137723,dWD1es4CenttalAfrica,0.03210321367579249,GN,0,59783179.728560746,Atrica,Ap207150p1,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
29092010,0.373162668444448,0,0,0,Gkinea,0,0,UncoddvPreAPP,1001142,B4100,0,SsmegalProgram,0.17818539540939937,0,Not9BA,34914440.67766303,W2cWesfCenyralAfrica,0.03285181143159233,GN,0,9366940.860447377,Afroca,A020u16001,0,Closed,WGM Sub-Saharan Africa,D4207,S4233,4242,Directive,1,0,0,0,0,0,0
200p2010,0.2772202272283904,0,0,0,SriLanla,0,0,6ncodwdPreAPP,1000136,B41p0,0,OAAzfghanisranPalistanandSriLamos,0.5451134945352172,1,Not0BA,24597187.362256072,lADAaiaPrpgramming,0.002912585322148551,LK,0,34566921.18355584,Asia,A02o7900p1,0,Closed,OGM Asia Pacific,D4100,S4141,4118,Directive,1,0,0,0,0,0,0
2009201o,0.1732253961888774,0,0,0,wriLanka,0,0,UncodecPreA9P,1000136,B41o0,0,OAAsfghanixtanPakistxjabdSr7Lanka,0.662879591471997,1,NotPBz,67056437.35205348,OqDAslaProgramhing,0.015136490968381952,LK,0,20726227.93081758,Asia,Ap2o790001,0,Closed,OGM Asia Pacific,D4100,S4141,4118,Directive,1,0,0,0,0,0,0
20092910,0.08732718973561268,0,0,0,Mali,0,0,UjcodeePreAPP,10050,h4200,0,MaliProgramSec4i0g,0.29244850372392406,1,OgherPBA,48197952.68691596,WWDWes6Cenhralqfroca,0.021090839401156553,ML,0,23640041.89722839,Aftica,w0208910o1,0,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Directive,1,0,0,0,0,0,0
29092010,0.2513456074802772,0,0,0,Mali,0,0,UncoeddPreAPP,Informa5ionhotavsiiable,v4200,0,Maliorogramz4ction,0.4064826215926984,1,OthefPBA,259952.55891921744,qWDWestC2btralAfrifa,0.011240092342432485,ML,0,7957446.79961453,Afroca,q02p891001,0,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Directive,1,0,0,0,0,0,0
200o2010,0.23528967393195108,0,0,0,Mali,0,0,Uncid4dPreAPP,10050,B3200,0,Mali9r8gramSec6ion,0.38149269986948176,0,Other9BA,23865498.905346747,WWDWestCebtralAfe8xa,0.007210667772071618,ML,0,33611637.364047974,Afrida,Ao29892001,0,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Directive,1,0,0,0,0,0,0
20992010,0.6868379856867468,0,0,0,Mali,0,0,UncocedPreqPP,1001126,B3200,0,MwlkPrkgramSection,0.06246661910444251,0,Othe4PBA,81309554.07332437,aWDWestCejtralAf3ics,0.0036182441167500632,ML,0,13476367.525137372,Afr8ca,A029892p01,0,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Directive,1,0,0,0,0,0,0
30092010,0.23287180993113113,0,0,0,Mali,0,0,UncocedPrewPP,1014203,B4q00,0,MaliProgtanSec5ion,0.46532751197281375,0,0therPBA,7946834.640459962,WWDWes4vent4alAf4ica,0.010803268666282685,ML,0,29528098.40721728,qfrica,A0wp892001,0,Closed,WGM Sub-Saharan Africa,D4207,S4215,4216,Directive,1,0,0,0,0,0,0
30092010,0.37448165379675236,1,0,0,SouthfrnCoge,0,0,Uncoded9r3APP,10050,n4400,0,SoythAme4ica,0.35290868833101946,1,NotPhA,20734042.116644066,NDDAmericasorogdwmhing,0.0005604246125227375,50,0,57696681.34172756,Am2rica,Ap20910091,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
20092020,0.8231434524163672,1,0,0,SojthfrnCone,0,0,kncodedPrexPP,Infogmationjotavaolablr,B44o0,0,SoughAmeeica,0.9581334399432768,1,motPBA,11916360.604153417,mDcAm3ricasProframming,0.015356720919633159,50,0,16877849.810922384,Ajerica,A010919001,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
30092010,0.7157799350468628,1,0,0,SiutherbCone,0,0,UncpdevPreAPP,10050,B440p,0,SiuthAme5ica,0.4759414222263413,1,NotPBq,25888661.741185963,NDfAmericzsProgrzmmlng,0.009162743466158432,50,0,30267239.934930597,Americs,A020ow0001,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
2009q010,0.6407867990679836,1,0,0,Sou5uernCone,0,0,Uncoded0rewPP,Info3matiobnoywvailable,B5400,0,SohtmAmerica,0.04786479634587215,1,Not9BA,378154.4042589143,NDDAmerivawProgranmlng,0.005732892284488412,50,0,20402578.253921956,smerica,Ap20910002,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
2009201o,0.8384813577650923,1,0,0,zouthermCone,0,0,hncodexPreAPP,10050,B5400,0,SouthAme4ifa,0.8740579042493412,1,No4PBA,64723266.373164415,bDDAmerixxsProgramminn,0.024748917712645126,50,0,92255963.75275727,Amerixa,A020920091,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
20092p10,0.37479007429037176,1,0,0,S8uhhernCone,0,0,UncoredoreAPP,Informati8nnotavx9lzble,B4300,0,SouthAmefida,1.3421571819278082,1,N8tPBA,16951710.613161564,NDDAmericasPrigrsmhimg,0.0028531003414998713,50,0,14604415.175373243,wmerica,A01o910001,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
200920w0,0.6857737260471187,1,0,0,Southernfobe,0,0,Uhc8dedPreAPP,10050,B4300,0,SouthAhsrica,1.1516231741189316,1,NotPBx,4255995.746088423,NDDxmericxsPr0grqmming,0.018472287441007026,50,0,43994609.80286465,Amegica,w020o10001,1,Closed,NGM Americas,D4400,S4413,4422,Responsive,1,1,0,0,0,0,0
