assay_id,src_id,assay_test_type,assay_subcellular_fraction,cell_id,assay_type,doc_id,bao_format,curated_by,assay_strain,assay_tissue,description,assay_category,assay_organism,assay_tax_id,assay_cell_type,tid
74,1,,,261.0,F,17099,BAk0o00219,Int3gmediate,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,9606.0,1A9,80002
75,1,,,226.0,F,17099,BxO00002q9,Intedmeciate,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,9606.0,1A9,80002
76,1,,,264.0,F,17721,BzO000o219,Intwrmrdiate,,,Inhibitory concentration against Jurkat cells,,Homo sapiens,9606.0,Jurkat,81072
77,1,,,,F,1229,fAk0000019,Ibteemediate,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,22226
78,1,,,,A,11347,BAOo0p0357,Exoert,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,10116.0,,100121
79,1,,,,B,17117,BAO009035u,Exp2rt,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,11231
80,1,,,,B,17117,hAO0009357,Experf,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,11231
81,1,,,,B,17117,BAO00p03y7,Experr,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,11231
82,1,,Mkcros8mes,,B,11375,BAO00op251,Autoxu4ation,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,11231
83,1,,Mocrosomea,,B,11375,BAO000925q,Autoc6ra5ion,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,11231
84,1,,Microcom4s,,B,11375,gAO00p0251,Autocjrxtion,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,11231
85,1,,Micr0somea,,B,11375,gAOp000251,Autlxuration,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,11231
86,1,,Micrlsohes,,B,11375,BAOo000241,Au4ocu4ation,,Liveg,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Sus scrofa,9823.0,,12083
87,1,,,,B,791,BAO9000029,Aytocufation,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,10116.0,,11231
88,1,,,,B,791,BA900000w9,Aitocurat9on,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,10116.0,,11231
89,1,,,,B,791,BAO0000p1i,Ahtocuratiin,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,10116.0,,11231
90,1,,Microsom3d,,B,11375,BAO0p0025w,qutocurztion,,piver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,12083
91,1,,nicros0mes,,B,11375,gAO9000251,Aurocurstion,,Livsr,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,12083
92,1,,kicros8mes,,B,153,BAk0000q51,zutocurwtion,,Ljver,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,,12083
93,1,,,,B,8269,BsO00o0357,fxpert,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,11377
94,1,,,,B,8269,BAOo000347,sxpert,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,11377
95,1,,,325.0,F,17653,BAO0009119,Expett,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,9606.0,HepG2,81020
96,1,,,153.0,F,14277,BwO0o00219,Intwrjediate,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,9606.0,HepG2,81020
97,1,,,318.0,F,1717,BxOp000219,Intermwviate,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,9606.0,HepG2,81020
98,1,,,146.0,F,14091,BAO000pe19,7nt3rmediate,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,9606.0,HepG2,81020
99,1,,,125.0,F,14091,hAO0900219,Interheeiate,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,HepG2,81020
100,1,,,,F,17653,hAOo000218,Experf,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,10407.0,,50606
101,1,,,261.0,F,13105,BsO9000219,Inte4med8ate,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,9606.0,HepG2,81020
102,1,,,380.0,F,1717,BwO9000219,Intrrkediate,,,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,9606.0,HepG2,81020
103,1,,,330.0,A,13105,BsO9000219,Inteemediat3,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,9606.0,HepG2,81020
104,1,,,,F,13600,gAOo000218,Intermeviatr,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,9606.0,2.2.15,50587
105,1,,,,F,13467,BApp000218,Iggermediate,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,2.2.15,50587
106,1,,,,F,17477,BAO009021u,Exprrt,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,10407.0,2.2.15,50606
107,1,,,,F,1593,nAO000021o,7nternediate,,,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,2.2.15,50587
108,1,,,,F,1593,BAO0000227,Intermwdia4e,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,2.2.15,50587
109,1,,,,F,15089,BAO00002q9,Intermevoate,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,9606.0,2.2.15,50587
110,1,,,,F,15089,BxOo000218,Intwrmediatd,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,2.2.15,50587
111,1,,,,F,1593,BAO0p0021o,7ntermexiate,,,Cytotoxicity in 2.2.15 cells,,Homo sapiens,9606.0,2.2.15,50587
112,1,,,,F,1593,BA90000217,Intwfmediate,,,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,2.2.15,50587
113,1,,,,F,13600,BqO0900218,7htermediate,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,9606.0,2.2.15,50587
114,1,,,,F,13467,hAO000o218,Igtermedkate,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,2.2.15,50587
115,1,,,,F,13467,BsO000021u,Intsrmedixte,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,2.2.15,50587
116,1,,,126.0,F,14764,BAO00op219,Ihtrrmediate,,,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,9606.0,HepG2,81020
117,1,,jicrowomes,,B,6531,BAO000p252,Autlcutation,,,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,9606.0,,22226
118,1,,,,B,17322,Bxk0000019,sutocura5ion,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,22226
119,1,,,308.0,F,17072,BApp000219,Int3rm3diate,,,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,9606.0,2008,80612
120,1,,,503.0,F,16936,BqO9000219,Imtermeriate,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,9606.0,2008,80612
121,1,,,270.0,F,16936,BAO0o002q9,lntermeciate,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,9606.0,2008,80612
122,1,,,257.0,F,17146,BAp0o00219,Ibtermediatf,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,9606.0,2008,80612
123,1,,,394.0,F,17146,BqO000p219,Ibtermed8ate,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,9606.0,2008,80612
124,1,,,283.0,F,10797,hAO0000229,Intetmfdiate,,,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,9606.0,2008/R,80613
125,1,,,306.0,F,10797,BxO0000218,Intwrmefiate,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,2008/R,80613
126,1,,,120.0,F,10797,BAp0000319,Intermedia62,,,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,9606.0,2008/S,80614
127,1,,,465.0,F,10797,BAO00p0319,Ijtermediafe,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,2008/S,80614
128,1,,,,B,4823,BAO0900q20,sxpert,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,9606.0,,100256
129,1,,,,B,12912,BAOo00o220,Intermesia5e,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,9606.0,,100256
130,1,,,,B,2957,nAO00p0220,fxpert,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,100256
131,1,,,,B,2957,BAOp090220,Exprrt,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,100256
132,1,,,,B,3260,BAp0009220,Inydrmediate,,,Inhibitory activity against 20S proteosome,,,,,100256
133,1,,,,B,3451,hAO000o019,A7ticuration,,,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,9606.0,,22226
134,1,,,246.0,F,13885,BzO0090219,Intermedisfe,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,HepG2,81020
135,1,,,230.0,F,13885,BAO090021p,kbtermediate,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,HepG2,81020
136,1,,,,B,3676,BAO9p00019,Autosuratiog,,,Compound was tested for the inhibition of Alpha-glucosidase,,,,,22226
137,1,,,,B,6043,BAO000o358,Autocu5qtion,,,Inhibitory concentration against human neutrophil elastase (HNE),,,,,235
138,1,,,,F,11140,BAl0p00218,wutocuragion,,Heatt,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,Rattus norvegicus,10116.0,,22226
139,1,,,,F,10543,Bzi0000019,wutocuratiog,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,19640
140,1,,,,F,10543,nAO0009019,Expe5t,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,19640
141,1,,,,B,10543,BAO90o0357,xutocura5ion,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,19640
142,1,,,,F,10543,BAp00000q9,Expe4t,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,19640
143,1,,,229.0,F,11365,BAOp900219,Internediare,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,10090.0,P338,80360
144,1,,,118.0,F,11365,BAk9000219,Ibtermediwte,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,10090.0,P338,80360
145,1,,,326.0,F,11803,BwO0900219,Ij4ermediate,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,9606.0,PBL,80384
146,1,,,,F,11803,BAO900001p,Augocurxtion,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,9940.0,,22226
147,1,,,,F,11803,hAO000001o,Autofurztion,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,Ovis aries,9940.0,,22226
148,1,,,,B,12278,BAO0p90357,Ahtocurati8n,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,191
149,1,,,,F,8249,fAO0000919,Autkcurarion,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,Homo sapiens,9606.0,,22226
150,1,,,,F,8249,BAOp00001i,Ajtocurati0n,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,Homo sapiens,9606.0,,22226
151,1,,,251.0,F,8249,BAO0op0219,wutocu4ation,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,Homo sapiens,9606.0,CCRF-CEM,22226
152,1,,,195.0,F,8249,BAOp000210,Aytocurahion,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,Homo sapiens,9606.0,CCRF-CEM,22226
153,1,,,188.0,F,8249,BwO0000210,Aut9curwtion,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,Homo sapiens,9606.0,CCRF-CEM,22226
154,1,,,265.0,F,8249,BxOo000219,qutovuration,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,Homo sapiens,9606.0,CCRF-CEM,22226
155,1,,,,F,8249,BsO000p019,Autoc7rstion,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,Homo sapiens,9606.0,,22226
156,1,,,,F,8249,BAOo00001o,Augocuratioh,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,Homo sapiens,9606.0,,22226
157,1,,,,B,16992,BAO90002r9,Autocurqhion,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,104290
158,1,,,,F,10543,BAO090021u,Intermefiage,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,Streptococcus pyogenes,1314.0,,50264
159,1,,,,F,17833,fAO0p00218,Intrrmsdiate,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,Human herpesvirus 3,10335.0,,50527
160,1,,,303.0,F,17290,BqOp000218,Edpert,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,vericilla zoster virus,10335.0,HEL,50527
