release_year,film_id,rental_duration,replacement_cost,rating,rental_rate,description,original_language_id,length,title,language
2006,32,6,11.99,R,4.99,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,,119,APOCALYPSE FLAMINGOS,English
2006,33,5,15.99,PG-13,2.99,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,,153,APOLLO TEEN,English
2006,34,6,29.99,NC-17,0.99,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,,62,ARABIA DOGMA,English
2006,35,4,24.99,PG-13,2.99,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,,147,ARACHNOPHOBIA ROLLERCOASTER,English
2006,36,7,12.99,PG-13,0.99,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,,127,ARGONAUTS TOWN,English
2006,37,3,28.99,PG,2.99,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,,121,ARIZONA BANG,English
2006,38,6,25.99,NC-17,0.99,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,,68,ARK RIDGEMONT,English
2006,39,5,10.99,G,0.99,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,,99,ARMAGEDDON LOST,English
2006,40,4,22.99,R,0.99,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,,148,ARMY FLINTSTONES,English
2006,41,4,17.99,PG,0.99,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,,137,ARSENIC INDEPENDENCE,English
2006,42,5,10.99,NC-17,2.99,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,,170,ARTIST COLDBLOODED,English
2006,43,6,15.99,G,2.99,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,,170,ATLANTIS CAUSE,English
2006,44,5,21.99,PG-13,4.99,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,,113,ATTACKS HATE,English
2006,45,5,14.99,PG-13,4.99,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,,83,ATTRACTION NEWTON,English
2006,46,3,13.99,G,4.99,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,,108,AUTUMN CROW,English
2006,47,5,23.99,NC-17,4.99,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,,153,BABY HALL,English
2006,48,3,24.99,PG-13,4.99,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,,118,BACKLASH UNDEFEATED,English
2006,49,6,22.99,R,2.99,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,,162,BADMAN DAWN,English
2006,50,3,20.99,G,2.99,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,,182,BAKED CLEOPATRA,English
2006,51,5,10.99,NC-17,2.99,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,,75,BALLOON HOMEWARD,English
2006,52,6,29.99,G,0.99,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,,173,BALLROOM MOCKINGBIRD,English
2006,53,5,25.99,NC-17,2.99,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,,87,BANG KWAI,English
2006,54,5,15.99,R,0.99,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,,113,BANGER PINOCCHIO,English
2006,55,6,27.99,G,2.99,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,,65,BARBARELLA STREETCAR,English
2006,56,6,15.99,G,2.99,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,,129,BAREFOOT MANCHURIAN,English
2006,57,4,18.99,PG-13,2.99,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,,90,BASIC EASY,English
2006,58,6,16.99,G,2.99,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,,122,BEACH HEARTBREAKERS,English
2006,59,4,20.99,R,2.99,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,,160,BEAR GRACELAND,English
2006,60,3,22.99,R,4.99,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,,89,BEAST HUNCHBACK,English
2006,61,5,28.99,G,4.99,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,,175,BEAUTY GREASE,English
2006,62,5,23.99,NC-17,2.99,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,,106,BED HIGHBALL,English
2006,63,6,21.99,PG,0.99,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,,73,BEDAZZLED MARRIED,English
2006,64,6,26.99,PG-13,0.99,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,,151,BEETHOVEN EXORCIST,English
2006,65,3,20.99,PG,4.99,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,,100,BEHAVIOR RUNAWAY,English
2006,66,6,27.99,NC-17,0.99,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,,53,BENEATH RUSH,English
2006,67,5,24.99,PG-13,2.99,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,,77,BERETS AGENT,English
2006,68,5,26.99,NC-17,4.99,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,,122,BETRAYED REAR,English
2006,69,3,21.99,R,2.99,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,,85,BEVERLY OUTLAW,English
2006,70,7,26.99,NC-17,4.99,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,,142,BIKINI BORROWERS,English
2006,71,3,25.99,PG-13,4.99,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,,100,BILKO ANONYMOUS,English
2006,72,6,12.99,PG,2.99,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,,93,BILL OTHERS,English
2006,73,5,22.99,PG-13,2.99,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,,150,BINGO TALENTED,English
2006,74,4,18.99,PG,4.99,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,,162,BIRCH ANTITRUST,English
2006,75,6,14.99,G,4.99,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,,163,BIRD INDEPENDENCE,English
2006,76,4,23.99,NC-17,0.99,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,,103,BIRDCAGE CASPER,English
2006,77,5,15.99,G,4.99,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,,61,BIRDS PERDITION,English
2006,78,7,12.99,PG,2.99,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,,85,BLACKOUT PRIVATE,English
2006,79,5,10.99,PG-13,0.99,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,,114,BLADE POLISH,English
2006,80,7,21.99,G,2.99,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,,148,BLANKET BEVERLY,English
2006,81,6,29.99,PG-13,4.99,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,,103,BLINDNESS GUN,English
2006,82,3,13.99,G,0.99,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,,71,BLOOD ARGONAUTS,English
2006,83,5,18.99,G,2.99,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,,50,BLUES INSTINCT,English
2006,84,7,13.99,PG,4.99,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,,102,BOILED DARES,English
2006,85,4,29.99,G,0.99,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,,63,BONNIE HOLOCAUST,English
2006,86,6,11.99,R,4.99,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,,121,BOOGIE AMELIE,English
2006,87,7,14.99,NC-17,0.99,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,,76,BOONDOCK BALLROOM,English
2006,88,7,17.99,PG,4.99,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,,179,BORN SPINAL,English
2006,89,7,22.99,G,0.99,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,,63,BORROWERS BEDAZZLED,English
2006,90,3,11.99,R,0.99,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,,63,BOULEVARD MOB,English
2006,91,5,17.99,PG,0.99,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,,98,BOUND CHEAPER,English
2006,92,7,19.99,NC-17,4.99,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,,72,BOWFINGER GABLES,English
2006,93,4,27.99,PG,4.99,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,,121,BRANNIGAN SUNRISE,English
2006,94,7,14.99,PG-13,2.99,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,,176,BRAVEHEART HUMAN,English
2006,95,5,18.99,G,4.99,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,,123,BREAKFAST GOLDFINGER,English
2006,96,4,21.99,PG-13,2.99,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,,169,BREAKING HOME,English
2006,97,7,24.99,G,0.99,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,,56,BRIDE INTRIGUE,English
2006,98,4,12.99,PG-13,4.99,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,,73,BRIGHT ENCOUNTERS,English
2006,99,7,14.99,PG,2.99,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,,136,BRINGING HYSTERICAL,English
2006,100,7,21.99,R,4.99,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,,161,BROOKLYN DESERT,English
2006,101,3,26.99,R,0.99,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,,73,BROTHERHOOD BLANKET,English
2006,102,4,20.99,R,4.99,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,,60,BUBBLE GROSSE,English
2006,103,7,27.99,PG,4.99,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,,133,BUCKET BROTHERHOOD,English
2006,104,4,17.99,G,2.99,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,,119,BUGSY SONG,English
2006,105,6,21.99,NC-17,0.99,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,,125,BULL SHAWSHANK,English
2006,106,4,14.99,G,2.99,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,,61,BULWORTH COMMANDMENTS,English
2006,107,4,13.99,G,2.99,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,,63,BUNCH MINDS,English
2006,108,6,19.99,PG-13,0.99,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,,67,BUTCH PANTHER,English
2006,109,3,17.99,G,0.99,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,,89,BUTTERFLY CHOCOLAT,English
2006,110,4,25.99,NC-17,0.99,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,,53,CABIN FLASH,English
2006,111,3,17.99,NC-17,0.99,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,,52,CADDYSHACK JEDI,English
2006,112,4,22.99,NC-17,4.99,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,,120,CALENDAR GUNFIGHT,English
2006,113,4,19.99,NC-17,4.99,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,,75,CALIFORNIA BIRDS,English
2006,114,3,26.99,NC-17,0.99,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,,61,CAMELOT VACATION,English
2006,115,5,27.99,R,2.99,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,,167,CAMPUS REMEMBER,English
2006,116,4,10.99,R,2.99,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,,70,CANDIDATE PERDITION,English
2006,117,6,15.99,NC-17,4.99,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,,135,CANDLES GRAPES,English
2006,118,7,26.99,R,0.99,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,,85,CANYON STOCK,English
2006,119,6,22.99,G,0.99,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,,176,CAPER MOTIONS,English
2006,120,3,16.99,NC-17,4.99,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,,92,CARIBBEAN LIBERTY,English
2006,121,4,15.99,PG,2.99,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,,151,CAROL TEXAS,English
2006,122,7,11.99,PG,0.99,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,,114,CARRIE BUNCH,English
2006,123,6,22.99,G,4.99,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,,85,CASABLANCA SUPER,English
2006,124,3,16.99,PG-13,4.99,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,,163,CASPER DRAGONFLY,English
2006,125,5,19.99,NC-17,2.99,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,,61,CASSIDY WYOMING,English
2006,126,3,16.99,G,4.99,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,,179,CASUALTIES ENCINO,English
2006,127,5,14.99,G,4.99,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,,112,CAT CONEHEADS,English
2006,128,7,10.99,G,0.99,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,,183,CATCH AMISTAD,English
2006,129,3,16.99,R,2.99,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,,179,CAUSE DATE,English
2006,130,7,24.99,PG-13,0.99,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,,110,CELEBRITY HORN,English
2006,131,5,12.99,PG,4.99,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,,152,CENTER DINOSAUR,English
2006,132,6,25.99,PG,0.99,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,,114,CHAINSAW UPTOWN,English
2006,133,7,14.99,NC-17,4.99,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,,117,CHAMBER ITALIAN,English
2006,134,4,21.99,PG,4.99,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,,51,CHAMPION FLATLINERS,English
2006,135,3,22.99,R,2.99,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,,70,CHANCE RESURRECTION,English
2006,136,7,26.99,NC-17,2.99,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,,146,CHAPLIN LICENSE,English
2006,137,3,21.99,PG,2.99,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,,66,CHARADE DUFFEL,English
2006,138,5,29.99,R,2.99,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,,71,CHARIOTS CONSPIRACY,English
2006,139,7,21.99,PG,4.99,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,,114,CHASING FIGHT,English
2006,140,6,23.99,G,0.99,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,,87,CHEAPER CLYDE,English
2006,141,6,11.99,PG-13,4.99,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,,185,CHICAGO NORTH,English
2006,142,3,24.99,PG,0.99,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,,122,CHICKEN HELLFIGHTERS,English
2006,143,6,17.99,PG,0.99,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,,142,CHILL LUCK,English
2006,144,7,24.99,PG,4.99,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,,61,CHINATOWN GLADIATOR,English
2006,145,5,25.99,G,4.99,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,,124,CHISUM BEHAVIOR,English
2006,146,6,24.99,G,2.99,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,,107,CHITTY LOCK,English
2006,147,5,16.99,NC-17,0.99,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,,101,CHOCOLAT HARRY,English
2006,148,3,13.99,R,2.99,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,,132,CHOCOLATE DUCK,English
2006,149,7,21.99,NC-17,0.99,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,,150,CHRISTMAS MOONSHINE,English
2006,150,7,9.99,PG,2.99,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,,101,CIDER DESIRE,English
2006,151,5,26.99,NC-17,4.99,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,,143,CINCINATTI WHISPERER,English
2006,152,5,13.99,PG-13,2.99,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,,90,CIRCUS YOUTH,English
2006,153,7,18.99,G,0.99,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,,165,CITIZEN SHREK,English
2006,154,6,12.99,G,2.99,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,,81,CLASH FREDDY,English
2006,155,6,26.99,PG-13,0.99,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,,150,CLEOPATRA DEVIL,English
2006,156,3,15.99,G,4.99,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,,164,CLERKS ANGELS,English
2006,157,7,29.99,PG-13,0.99,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,,143,CLOCKWORK PARADISE,English
2006,158,6,16.99,R,2.99,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,,124,CLONES PINOCCHIO,English
2006,159,5,12.99,R,4.99,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,,58,CLOSER BANG,English
2006,160,4,12.99,PG-13,0.99,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,,65,CLUB GRAFFITI,English
2006,161,6,27.99,NC-17,4.99,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,,70,CLUE GRAIL,English
2006,162,4,13.99,R,2.99,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,,95,CLUELESS BUCKET,English
2006,163,4,29.99,PG-13,0.99,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,,139,CLYDE THEORY,English
2006,164,4,20.99,PG,0.99,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,,55,COAST RAINBOW,English
2006,165,7,27.99,G,4.99,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,,70,COLDBLOODED DARLING,English
2006,166,6,19.99,G,2.99,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,,149,COLOR PHILADELPHIA,English
2006,167,6,10.99,NC-17,4.99,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,,109,COMA HEAD,English
2006,168,5,23.99,R,0.99,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,,67,COMANCHEROS ENEMY,English
2006,169,3,19.99,NC-17,2.99,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,,76,COMFORTS RUSH,English
2006,170,5,28.99,PG-13,4.99,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,,120,COMMAND DARLING,English
2006,171,6,13.99,R,4.99,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,,59,COMMANDMENTS EXPRESS,English
2006,172,7,12.99,NC-17,4.99,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,,112,CONEHEADS SMOOCHY,English
2006,173,7,25.99,PG-13,4.99,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,,65,CONFESSIONS MAGUIRE,English
2006,174,6,13.99,NC-17,4.99,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,,180,CONFIDENTIAL INTERVIEW,English
2006,175,3,27.99,PG-13,2.99,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,,122,CONFUSED CANDLES,English
2006,176,6,21.99,PG-13,0.99,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,,87,CONGENIALITY QUEST,English
2006,177,4,20.99,R,4.99,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,,172,CONNECTICUT TRAMP,English
2006,178,6,25.99,G,0.99,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,,115,CONNECTION MICROCOSMOS,English
2006,179,4,14.99,G,4.99,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,,173,CONQUERER NUTS,English
