Fiscal year,Desertification (marker),Project number,Untied amount(Project-level budget),Indigenous issues (marker),Sector ID,ICT as a tool for development (marker),Fund centre ID,Children issues (marker),Programming process (new),Knowledge for development (marker),Division name,Maximum CIDA contribution (project-level),CountryRegion percent,Status,Branch ID,Trade development (marker),Continent name,Organisation class,CountryRegion ID,PBA type,Regional program (marker),Biodiversity (marker),Continent ID,CountryRegion name,Branch name,Division ID,Section ID,Section name,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,A019608001,0.0,0,41010,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A019608001,0.0,0,41020,1,4263,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,16700508.62,1.0,Closed,B3100,0,Africa,Civil Society,EG,Not PBA,0,0,2,Egypt,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,Egypt,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020161001,0.0,0,43010,0,4259,0,Uncoded: Pre-APP,0,EDD Europe-Middle East Programming,328400.96,1.0,Closed,B3100,0,Africa,Governmental,DZ,Not PBA,0,0,2,Algeria,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,*Algeria,0.998334353,0.0,0,Directive,1,0,0,0
2009/2010,0,A020195001,4000000.0,0,15150,0,4452,0,Uncoded: Pre-APP,0,NDD Americas Programming,4610501.0,1.0,Closed,B4400,0,America,Governmental,HT,Not PBA,0,0,1,Haiti,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,Haiti,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020195001,4000000.0,0,15160,0,4452,0,Uncoded: Pre-APP,0,NDD Americas Programming,4610501.0,1.0,Closed,B4400,0,America,Governmental,HT,Not PBA,0,0,1,Haiti,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,Haiti,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020222001,0.0,0,15110,0,4229,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,4229943.14,1.0,Closed,B4200,0,Africa,Civil Society,ET,Not PBA,0,0,2,Ethiopia,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",Ethiopia,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020222001,0.0,0,15111,0,4229,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,4229943.14,1.0,Closed,B4200,0,Africa,Civil Society,ET,Not PBA,0,0,2,Ethiopia,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",Ethiopia,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020222001,0.0,0,15130,0,4229,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,4229943.14,1.0,Closed,B4200,0,Africa,Civil Society,ET,Not PBA,0,0,2,Ethiopia,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",Ethiopia,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020222001,0.0,0,15150,0,4229,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,4229943.14,1.0,Closed,B4200,0,Africa,Civil Society,ET,Not PBA,0,0,2,Ethiopia,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",Ethiopia,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020222001,0.0,0,15160,0,4229,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,4229943.14,1.0,Closed,B4200,0,Africa,Civil Society,ET,Not PBA,0,0,2,Ethiopia,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",Ethiopia,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020246001,4518387.69,0,15110,0,4238,0,Uncoded: Pre-APP,0,WWD West & Central Africa,4518387.69,1.0,Terminating,B4200,0,Africa,Civil Society,SN,Not PBA,0,0,2,Senegal,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,Senegal,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020246001,4518387.69,0,15110,0,4238,0,Uncoded: Pre-APP,0,WWD West & Central Africa,4518387.69,1.0,Terminating,B4200,0,Africa,Individual,SN,Not PBA,0,0,2,Senegal,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,Senegal,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020246001,4518387.69,0,24040,0,4238,0,Uncoded: Pre-APP,0,WWD West & Central Africa,4518387.69,1.0,Terminating,B4200,0,Africa,Civil Society,SN,Not PBA,0,0,2,Senegal,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,Senegal,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020246001,4518387.69,0,24040,0,4238,0,Uncoded: Pre-APP,0,WWD West & Central Africa,4518387.69,1.0,Terminating,B4200,0,Africa,Individual,SN,Not PBA,0,0,2,Senegal,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,Senegal,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020252001,7850039.11,0,11130,0,4438,0,Uncoded: Pre-APP,0,NDD Americas Programming,7850039.11,1.0,Closed,B4400,0,America,Civil Society,GY,Not PBA,0,0,1,Guyana,NGM Americas,D4400,S4429,Caricom - Adm,Caribbean Regional - Guyana,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020272001,0.0,0,15110,1,4128,0,Uncoded: Pre-APP,0,OAD Asia Programming,13000520.92,1.0,Closed,B4100,0,Asia,Governmental,PH,Not PBA,0,0,3,Philippines,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,Philippines,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020272001,0.0,0,15111,1,4128,0,Uncoded: Pre-APP,0,OAD Asia Programming,13000520.92,1.0,Closed,B4100,0,Asia,Governmental,PH,Not PBA,0,0,3,Philippines,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,Philippines,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020272001,0.0,0,15150,1,4128,0,Uncoded: Pre-APP,0,OAD Asia Programming,13000520.92,1.0,Closed,B4100,0,Asia,Governmental,PH,Not PBA,0,0,3,Philippines,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,Philippines,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020279001,0.0,0,15110,0,4124,0,Uncoded: Pre-APP,0,OAD Asia Programming,2645994.04,1.0,Terminating,B4100,0,Asia,Governmental,PK,Not PBA,0,0,3,Pakistan,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020392001,0.0,0,15110,0,4280,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,7747230.74,1.0,Closed,B4200,0,Africa,Civil Society,MW,Not PBA,0,0,2,Malawi,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,Malawi,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020395001,0.0,0,43010,0,4122,0,Uncoded: Pre-APP,0,OAD Asia Programming,4947637.32,1.0,Closed,B4100,0,Asia,Governmental,BD,Not PBA,0,0,3,Bangladesh,OGM Asia Pacific,D4100,S4122,Bangladesh Section,Bangladesh,0.5,0.0,0,Directive,1,0,0,0
2009/2010,0,A020395001,0.0,0,43010,0,4122,0,Uncoded: Pre-APP,0,OAD Asia Programming,4947637.32,1.0,Closed,B4100,0,Asia,Unknown,BD,Not PBA,0,0,3,Bangladesh,OGM Asia Pacific,D4100,S4122,Bangladesh Section,Bangladesh,0.5,0.0,0,Directive,1,0,0,0
2009/2010,0,A020398001,0.0,0,14031,0,4274,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,9096651.0,1.0,Closed,B4200,0,Africa,Individual,MZ,Not PBA,0,0,2,Mozambique,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,Mozambique,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020398001,0.0,0,14032,0,4274,0,Uncoded: Pre-APP,0,WED Southern & Eastern Africa,9096651.0,1.0,Closed,B4200,0,Africa,Individual,MZ,Not PBA,0,0,2,Mozambique,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,Mozambique,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020449003,2457111.5,0,43010,0,4289,0,Uncoded: Pre-APP,0,WWD West & Central Africa,2457111.5,1.0,Closed,B4200,0,Africa,Governmental,CM,Not PBA,0,0,2,Cameroon,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,Cameroon,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020449003,2457111.5,0,43010,0,4289,0,Uncoded: Pre-APP,0,WWD West & Central Africa,2457111.5,1.0,Closed,B4200,0,Africa,Civil Society,CM,Not PBA,0,0,2,Cameroon,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,Cameroon,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020449003,2457111.5,0,43010,0,4289,0,Uncoded: Pre-APP,0,WWD West & Central Africa,2457111.5,1.0,Closed,B4200,0,Africa,Individual,CM,Not PBA,0,0,2,Cameroon,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,Cameroon,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020449003,2457111.5,0,43010,0,4289,0,Uncoded: Pre-APP,0,WWD West & Central Africa,2457111.5,1.0,Closed,B4200,0,Africa,Unknown,CM,Not PBA,0,0,2,Cameroon,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,Cameroon,1.0,0.0,0,Directive,1,1,0,0
2009/2010,0,A020715001,11427061.07,0,15150,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,15150,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31161,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31161,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31166,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31166,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31181,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31181,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31191,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020715001,11427061.07,0,31191,0,4242,0,Uncoded: Pre-APP,0,WWD West & Central Africa,11427061.07,1.0,Closed,B4200,0,Africa,Civil Society,GN,Not PBA,0,0,2,Guinea,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,*Guinea,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020790001,0.0,0,15150,0,4118,1,Uncoded: Pre-APP,0,OAD Asia Programming,4308867.95,1.0,Closed,B4100,0,Asia,Civil Society,LK,Not PBA,0,0,3,Sri Lanka,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020790001,0.0,0,15160,0,4118,1,Uncoded: Pre-APP,0,OAD Asia Programming,4308867.95,1.0,Closed,B4100,0,Asia,Civil Society,LK,Not PBA,0,0,3,Sri Lanka,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020891001,0.0,0,11110,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,3063216.68,1.0,Closed,B4200,0,Africa,Governmental,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,0.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020891001,0.0,0,11110,0,4216,1,Uncoded: Pre-APP,0,WWD West & Central Africa,3063216.68,1.0,Closed,B4200,0,Africa,Unknown,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,0.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020892001,16726210.87,0,11130,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,16726210.87,1.0,Closed,B4200,0,Africa,Governmental,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020892001,16726210.87,0,11130,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,16726210.87,1.0,Closed,B4200,0,Africa,Civil Society,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020892001,16726210.87,0,11130,0,4216,0,Uncoded: Pre-APP,0,WWD West & Central Africa,16726210.87,1.0,Closed,B4200,0,Africa,Civil Society,ML,Other PBA,0,0,2,Mali,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,Mali,1.0,0.0,0,Directive,1,0,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,12220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,12220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,13030,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,13030,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,15110,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,15110,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.1,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,12220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,12220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,13030,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,13030,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,15110,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,15110,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Governmental,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
2009/2010,0,A020910001,0.0,0,11220,0,4422,1,Uncoded: Pre-APP,0,NDD Americas Programming,1488850.78,0.3,Closed,B4400,0,America,Unknown,50,Not PBA,1,0,1,South America,NGM Americas,D4400,S4413,South America,*Southern Cone,1.0,0.0,0,Responsive,1,1,0,0
