assays_ss_d,assays_ss_ctgr,assays_ss_cll_tp,assays_vrnt_d,assays_ss_tp,assays_tss_d,assays_ss_tss,assays_b_frmt,assays_rltnshp_tp,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_ss_tst_tp,assays_src_ss_d,assays_ss_sbclllr_frctn,assays_crtd_b,assays_td,assays_cnfdnc_scr,assays_src_d,assays_cll_d
7568,,,,A,,,BAO_0000218,N,4942,CHEMBL621318,,,,,Intermediate,50597,1,1,
7569,,,,A,,,BAO_0000218,N,17735,CHEMBL621319,,In vivo,,,Intermediate,50597,1,1,
7570,,,,A,,,BAO_0000218,N,6056,CHEMBL621377,,In vivo,,,Intermediate,50597,1,1,
7571,,,,A,,,BAO_0000218,N,5213,CHEMBL621378,,,,,Intermediate,50597,1,1,
7572,,,,A,,,BAO_0000218,N,6616,CHEMBL876599,,In vivo,,,Intermediate,50597,1,1,
7573,,,,A,,,BAO_0000218,N,5937,CHEMBL621379,,In vivo,,,Intermediate,50597,1,1,
7574,,,,A,1969.0,Plasma,BAO_0000218,N,5819,CHEMBL621380,,,,,Intermediate,50597,1,1,
7575,,,,A,1969.0,Plasma,BAO_0000218,N,5819,CHEMBL621381,,,,,Intermediate,50597,1,1,
7576,,,,A,,,BAO_0000218,N,6803,CHEMBL618515,,,,,Intermediate,50597,1,1,
7577,,,,A,,,BAO_0000218,N,17804,CHEMBL618516,,In vivo,,,Intermediate,50597,1,1,
7578,,,,A,,,BAO_0000218,N,17804,CHEMBL618517,,In vivo,,,Intermediate,50597,1,1,
7579,,,,A,,,BAO_0000218,N,5948,CHEMBL618518,,,,,Intermediate,50597,1,1,
7580,,,,A,,,BAO_0000218,N,1916,CHEMBL618519,,In vivo,,,Intermediate,50597,1,1,
7581,,,,A,,,BAO_0000218,N,1916,CHEMBL618698,,In vivo,,,Intermediate,50597,1,1,
7582,,,,A,,,BAO_0000218,N,1916,CHEMBL618862,,In vivo,,,Intermediate,50597,1,1,
7583,,,,A,,,BAO_0000218,N,4890,CHEMBL618863,,In vivo,,,Intermediate,50597,1,1,
7584,,,,A,,,BAO_0000218,N,17764,CHEMBL618864,,In vivo,,,Intermediate,50597,1,1,
7585,,,,A,,,BAO_0000218,N,4727,CHEMBL618865,,In vivo,,,Intermediate,50597,1,1,
7586,,,,A,,,BAO_0000218,N,17509,CHEMBL618866,,In vivo,,,Intermediate,50597,1,1,
7587,,,,A,,,BAO_0000218,N,17509,CHEMBL618867,,In vivo,,,Intermediate,50597,1,1,
7588,,,,A,,,BAO_0000218,N,6597,CHEMBL875828,,,,,Intermediate,50597,1,1,
7589,,,,A,,,BAO_0000218,N,17735,CHEMBL618868,,In vivo,,,Intermediate,50597,1,1,
7590,,,,A,,,BAO_0000218,N,6597,CHEMBL618869,,,,,Intermediate,50597,1,1,
7591,,,,A,,,BAO_0000218,N,17670,CHEMBL618870,,In vivo,,,Intermediate,50597,1,1,
7592,,,,A,1969.0,Plasma,BAO_0000218,N,1696,CHEMBL618871,,,,,Intermediate,50597,1,1,
7593,,,,A,1969.0,Plasma,BAO_0000218,N,1742,CHEMBL618872,,,,,Intermediate,50597,1,1,
7594,,,,A,,,BAO_0000218,N,17800,CHEMBL873816,,,,,Intermediate,50597,1,1,
7595,,,,A,,,BAO_0000218,U,12923,CHEMBL618873,,,,,Autocuration,22224,0,1,
7596,,,,A,,,BAO_0000019,U,11954,CHEMBL621602,,,,,Autocuration,22224,0,1,
7597,,,,A,,,BAO_0000218,U,11954,CHEMBL621603,,,,,Autocuration,22224,0,1,
7598,,,,A,,,BAO_0000218,U,11954,CHEMBL621604,,,,,Autocuration,22224,0,1,
7599,,,,A,,,BAO_0000218,U,11954,CHEMBL621605,,,,,Autocuration,22224,0,1,
7600,,,,A,,,BAO_0000218,U,11954,CHEMBL621606,,,,,Autocuration,22224,0,1,
7601,,,,A,,,BAO_0000218,U,11954,CHEMBL621607,,,,,Autocuration,22224,0,1,
7602,,,,A,,,BAO_0000218,U,11954,CHEMBL621608,,,,,Autocuration,22224,0,1,
7603,,,,A,,,BAO_0000019,U,5237,CHEMBL621609,,,,,Autocuration,22224,0,1,
7604,,,,A,,,BAO_0000218,U,4026,CHEMBL621610,,,,,Autocuration,22224,0,1,
7605,,,,A,,,BAO_0000218,N,5237,CHEMBL621611,,,,,Intermediate,50597,1,1,
7606,,,,A,,,BAO_0000218,N,14793,CHEMBL621612,,,,,Intermediate,50597,1,1,
7607,,,,A,,,BAO_0000218,N,14793,CHEMBL622308,,,,,Intermediate,50597,1,1,
7608,,,,A,,,BAO_0000218,N,14793,CHEMBL622309,,,,,Intermediate,50597,1,1,
7609,,,,A,,,BAO_0000218,N,14793,CHEMBL622310,,,,,Intermediate,50597,1,1,
7610,,,,A,,,BAO_0000218,N,14793,CHEMBL622311,,,,,Intermediate,50597,1,1,
7611,,,,A,,,BAO_0000218,N,14793,CHEMBL622312,,,,,Intermediate,50597,1,1,
7612,,,,A,,,BAO_0000218,N,14793,CHEMBL622931,,,,,Intermediate,50597,1,1,
7613,,,,A,,,BAO_0000218,N,14793,CHEMBL622932,,,,,Intermediate,50597,1,1,
7614,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622736,,,,,Intermediate,50597,1,1,
7615,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622737,,,,,Intermediate,50597,1,1,
7616,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622738,,,,,Intermediate,50597,1,1,
7617,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622739,,,,,Intermediate,50597,1,1,
7618,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622740,,,,,Intermediate,50597,1,1,
7619,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622741,,,,,Intermediate,50597,1,1,
7620,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622742,,,,,Intermediate,50597,1,1,
7621,,,,A,1969.0,Plasma,BAO_0000218,N,14793,CHEMBL622743,,,,,Intermediate,50597,1,1,
7622,,,,A,1969.0,Plasma,BAO_0000218,N,11637,CHEMBL622744,,,,,Intermediate,50594,1,1,
7623,,,,A,,,BAO_0000019,U,11149,CHEMBL624134,,,,,Autocuration,22224,0,1,
7624,,,,A,,,BAO_0000019,U,10016,CHEMBL624135,,,,,Autocuration,22224,0,1,
7625,,,,A,,,BAO_0000218,N,17796,CHEMBL624136,,,,,Intermediate,50597,1,1,
7626,,,,A,,,BAO_0000218,N,17796,CHEMBL624137,,,,,Intermediate,50597,1,1,
7627,,,,A,,,BAO_0000218,N,17796,CHEMBL624320,,,,,Intermediate,50597,1,1,
7628,,,,A,,,BAO_0000218,N,12923,CHEMBL624321,,,,,Intermediate,50588,1,1,
7629,,,,A,,,BAO_0000218,N,15372,CHEMBL624322,,,,,Intermediate,50597,1,1,
7630,,,,A,,,BAO_0000218,N,15372,CHEMBL624323,,,,,Intermediate,50597,1,1,
7631,,,,A,,,BAO_0000218,N,15372,CHEMBL624324,,,,,Intermediate,50597,1,1,
7632,,,,A,,,BAO_0000218,N,15372,CHEMBL624325,,,,,Intermediate,50597,1,1,
7633,,,,A,,,BAO_0000218,N,15372,CHEMBL624326,,,,,Intermediate,50597,1,1,
7634,,,,A,,,BAO_0000218,N,15372,CHEMBL624327,,,,,Intermediate,50597,1,1,
7635,,,,A,,,BAO_0000218,N,15372,CHEMBL624328,,,,,Intermediate,50597,1,1,
7636,,,,A,,,BAO_0000218,N,14169,CHEMBL627848,,,,,Intermediate,50588,1,1,
7637,,,,A,,,BAO_0000218,N,14169,CHEMBL627849,,,,,Intermediate,50597,1,1,
7638,,,,A,,,BAO_0000218,N,14258,CHEMBL627850,,,,,Intermediate,50597,1,1,
7639,,,,A,,,BAO_0000218,N,14258,CHEMBL627851,,,,,Intermediate,50597,1,1,
7640,,,,A,,,BAO_0000218,N,15011,CHEMBL627852,,,,,Intermediate,50594,1,1,
7641,,,,A,,,BAO_0000218,N,15011,CHEMBL627853,,,,,Intermediate,50594,1,1,
7642,,,,A,,,BAO_0000218,N,15011,CHEMBL627854,,,,,Intermediate,50594,1,1,
7643,,,,A,,,BAO_0000218,N,15011,CHEMBL627855,,,,,Intermediate,50594,1,1,
7644,,,,A,,,BAO_0000218,N,15011,CHEMBL627856,,,,,Intermediate,50594,1,1,
7645,,,,A,,,BAO_0000218,N,15011,CHEMBL875339,,,,,Intermediate,50594,1,1,
7646,,,,A,,,BAO_0000218,N,15011,CHEMBL627857,,,,,Intermediate,50594,1,1,
7647,,,,A,2106.0,Spleen,BAO_0000218,N,11195,CHEMBL627858,,In vivo,,,Intermediate,50597,1,1,
7648,,,,A,178.0,Blood,BAO_0000218,N,10130,CHEMBL627859,,,,,Intermediate,50597,1,1,
7649,,,,A,955.0,Brain,BAO_0000218,N,10130,CHEMBL627860,,,,,Intermediate,50597,1,1,
7650,,,,A,948.0,Heart,BAO_0000218,N,10130,CHEMBL627019,,,,,Intermediate,50597,1,1,
7651,,,,A,2107.0,Liver,BAO_0000218,N,10130,CHEMBL627020,,,,,Intermediate,50597,1,1,
7652,,,,A,2048.0,Lung,BAO_0000218,N,10130,CHEMBL627021,,,,,Intermediate,50597,1,1,
7653,,,,A,2385.0,Muscle tissue,BAO_0000218,N,10130,CHEMBL627022,,,,,Intermediate,50597,1,1,
7654,,,,A,,,BAO_0000218,N,10130,CHEMBL627023,,,,,Intermediate,50597,1,1,
7655,,,,A,2106.0,Spleen,BAO_0000218,N,10130,CHEMBL627024,,,,,Intermediate,50597,1,1,
7656,,,,A,2046.0,Thyroid gland,BAO_0000218,N,10130,CHEMBL627025,,,,,Intermediate,50597,1,1,
7657,,,,A,2113.0,Kidney,BAO_0000218,N,10130,CHEMBL627026,,,,,Intermediate,50597,1,1,
7658,,,,A,178.0,Blood,BAO_0000218,N,10130,CHEMBL627027,,,,,Intermediate,50597,1,1,
7659,,,,A,955.0,Brain,BAO_0000218,N,10130,CHEMBL627028,,,,,Intermediate,50597,1,1,
7660,,,,A,948.0,Heart,BAO_0000218,N,10130,CHEMBL627029,,,,,Intermediate,50597,1,1,
7661,,,,A,2113.0,Kidney,BAO_0000218,N,10130,CHEMBL627030,,,,,Intermediate,50597,1,1,
7662,,,,A,2107.0,Liver,BAO_0000218,N,10130,CHEMBL627031,,,,,Intermediate,50597,1,1,
7663,,,,A,2048.0,Lung,BAO_0000218,N,10130,CHEMBL627032,,,,,Intermediate,50597,1,1,
7664,,,,A,2385.0,Muscle tissue,BAO_0000218,N,10130,CHEMBL627033,,,,,Intermediate,50597,1,1,
7665,,,,A,,,BAO_0000218,N,10130,CHEMBL627034,,,,,Intermediate,50597,1,1,
7666,,,,A,2106.0,Spleen,BAO_0000218,N,10130,CHEMBL627035,,,,,Intermediate,50597,1,1,
7667,,,,A,2046.0,Thyroid gland,BAO_0000218,N,10130,CHEMBL627036,,,,,Intermediate,50597,1,1,
7668,,,,A,178.0,Blood,BAO_0000218,N,10130,CHEMBL875340,,,,,Intermediate,50597,1,1,
7669,,,,A,948.0,Heart,BAO_0000218,N,10130,CHEMBL627037,,,,,Intermediate,50597,1,1,
7670,,,,A,2113.0,Kidney,BAO_0000218,N,10130,CHEMBL627038,,,,,Intermediate,50597,1,1,
7671,,,,A,2107.0,Liver,BAO_0000218,N,10130,CHEMBL627039,,,,,Intermediate,50597,1,1,
7672,,,,A,2385.0,Muscle tissue,BAO_0000218,N,10130,CHEMBL627040,,,,,Intermediate,50597,1,1,
7673,,,,A,2106.0,Spleen,BAO_0000218,N,10130,CHEMBL624663,,,,,Intermediate,50597,1,1,
7674,,,,A,2046.0,Thyroid gland,BAO_0000218,N,10130,CHEMBL625963,,,,,Intermediate,50597,1,1,
7675,,,,A,955.0,Brain,BAO_0000218,N,10130,CHEMBL876799,,,,,Intermediate,50597,1,1,
7676,,,,A,2048.0,Lung,BAO_0000218,N,10130,CHEMBL626133,,,,,Intermediate,50597,1,1,
7677,,,,A,,,BAO_0000218,N,10130,CHEMBL626134,,,,,Intermediate,50597,1,1,
7678,,,,A,,,BAO_0000218,N,6295,CHEMBL626135,,,,,Intermediate,50597,1,1,
7679,,,,A,,,BAO_0000218,N,6296,CHEMBL626136,,,,,Intermediate,50597,1,1,
7680,,,,A,,,BAO_0000218,N,6296,CHEMBL626137,,,,,Intermediate,50597,1,1,
7681,,,,A,,,BAO_0000218,N,6295,CHEMBL626138,,,,,Intermediate,50597,1,1,
7682,,,,A,,,BAO_0000218,N,6296,CHEMBL626139,,,,,Intermediate,50597,1,1,
7683,,,,A,,,BAO_0000218,N,17260,CHEMBL626140,,In vivo,,,Intermediate,50597,1,1,
7684,,,,A,,,BAO_0000218,N,17260,CHEMBL626141,,In vivo,,,Intermediate,50597,1,1,
7685,,,,A,,,BAO_0000218,N,17686,CHEMBL626142,,,,,Intermediate,50597,1,1,
7686,,,,A,2385.0,Muscle tissue,BAO_0000218,N,9866,CHEMBL627930,,In vivo,,,Intermediate,50597,1,1,
7687,,,,A,2385.0,Muscle tissue,BAO_0000218,N,9866,CHEMBL627931,,In vivo,,,Intermediate,50597,1,1,
7688,,,,A,2385.0,Muscle tissue,BAO_0000218,N,9866,CHEMBL627932,,In vivo,,,Intermediate,50597,1,1,
7689,,,,A,2106.0,Spleen,BAO_0000218,N,9866,CHEMBL627933,,In vivo,,,Intermediate,50597,1,1,
7690,,,,A,2106.0,Spleen,BAO_0000218,N,9866,CHEMBL627934,,In vivo,,,Intermediate,50597,1,1,
7691,,,,A,2106.0,Spleen,BAO_0000218,N,9866,CHEMBL627935,,In vivo,,,Intermediate,50597,1,1,
7692,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627936,,In vivo,,,Intermediate,50597,1,1,
7693,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627937,,In vivo,,,Intermediate,50597,1,1,
7694,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627938,,In vivo,,,Intermediate,50597,1,1,
7695,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627939,,In vivo,,,Intermediate,50597,1,1,
7696,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627940,,In vivo,,,Intermediate,50597,1,1,
7697,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627941,,In vivo,,,Intermediate,50597,1,1,
7698,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL876800,,In vivo,,,Intermediate,50597,1,1,
7699,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627942,,In vivo,,,Intermediate,50597,1,1,
7700,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627943,,In vivo,,,Intermediate,50597,1,1,
7701,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627944,,In vivo,,,Intermediate,50597,1,1,
7702,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627945,,In vivo,,,Intermediate,50597,1,1,
7703,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628584,,In vivo,,,Intermediate,50597,1,1,
7704,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628585,,In vivo,,,Intermediate,50597,1,1,
7705,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628586,,In vivo,,,Intermediate,50597,1,1,
7706,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628587,,In vivo,,,Intermediate,50597,1,1,
7707,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628588,,In vivo,,,Intermediate,50597,1,1,
7708,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL628589,,In vivo,,,Intermediate,50597,1,1,
7709,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL625304,,In vivo,,,Intermediate,50597,1,1,
7710,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL625305,,In vivo,,,Intermediate,50597,1,1,
7711,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL625306,,In vivo,,,Intermediate,50597,1,1,
7712,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL625307,,In vivo,,,Intermediate,50597,1,1,
7713,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL625308,,In vivo,,,Intermediate,50597,1,1,
7714,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627740,,In vivo,,,Intermediate,50597,1,1,
7715,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627741,,In vivo,,,Intermediate,50597,1,1,
7716,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627742,,In vivo,,,Intermediate,50597,1,1,
7717,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627743,,In vivo,,,Intermediate,50597,1,1,
7718,,,,A,178.0,Blood,BAO_0000218,N,9866,CHEMBL627744,,In vivo,,,Intermediate,50597,1,1,
7719,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627745,,In vivo,,,Intermediate,50597,1,1,
7720,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627746,,In vivo,,,Intermediate,50597,1,1,
7721,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627747,,In vivo,,,Intermediate,50597,1,1,
7722,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL876810,,In vivo,,,Intermediate,50597,1,1,
7723,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627748,,In vivo,,,Intermediate,50597,1,1,
7724,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627749,,In vivo,,,Intermediate,50597,1,1,
7725,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL627750,,In vivo,,,Intermediate,50597,1,1,
7726,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618728,,In vivo,,,Intermediate,50597,1,1,
7727,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618729,,In vivo,,,Intermediate,50597,1,1,
7728,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618730,,In vivo,,,Intermediate,50597,1,1,
7729,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618731,,In vivo,,,Intermediate,50597,1,1,
7730,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618732,,In vivo,,,Intermediate,50597,1,1,
7731,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618733,,In vivo,,,Intermediate,50597,1,1,
7732,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618734,,In vivo,,,Intermediate,50597,1,1,
7733,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618735,,In vivo,,,Intermediate,50597,1,1,
7734,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL876602,,In vivo,,,Intermediate,50597,1,1,
7735,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618736,,In vivo,,,Intermediate,50597,1,1,
7736,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618737,,In vivo,,,Intermediate,50597,1,1,
7737,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618738,,In vivo,,,Intermediate,50597,1,1,
7738,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618739,,In vivo,,,Intermediate,50597,1,1,
7739,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618740,,In vivo,,,Intermediate,50597,1,1,
7740,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618741,,In vivo,,,Intermediate,50597,1,1,
7741,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618742,,In vivo,,,Intermediate,50597,1,1,
7742,,,,A,10000001.0,Bone,BAO_0000218,N,9866,CHEMBL618743,,In vivo,,,Intermediate,50597,1,1,
7743,,,,A,1969.0,Plasma,BAO_0000218,N,17752,CHEMBL618744,,In vivo,,,Intermediate,50597,1,1,
7744,,,,A,,,BAO_0000218,N,5610,CHEMBL618745,,,,,Intermediate,50597,1,1,
7745,,,,A,,,BAO_0000218,N,5939,CHEMBL620479,,In vivo,,,Intermediate,50597,1,1,
7746,,,,A,,,BAO_0000218,N,5939,CHEMBL620480,,In vivo,,,Intermediate,50597,1,1,
7747,,,,A,,,BAO_0000218,N,17771,CHEMBL620481,,In vivo,,,Intermediate,50597,1,1,
7748,,,,A,,,BAO_0000218,N,1974,CHEMBL620482,,,,,Intermediate,50597,1,1,
7749,,,,A,,,BAO_0000218,N,4239,CHEMBL876603,,,,,Intermediate,50597,1,1,
7750,,,,A,,,BAO_0000218,N,6681,CHEMBL620483,,In vivo,,,Intermediate,50597,1,1,
7751,,,,A,,,BAO_0000218,N,17752,CHEMBL620484,,In vivo,,,Intermediate,50597,1,1,
7752,,,,A,,,BAO_0000218,N,6046,CHEMBL620485,,In vivo,,,Intermediate,50597,1,1,
7753,,,,A,,,BAO_0000218,N,6685,CHEMBL620486,,In vivo,,,Intermediate,50597,1,1,
7754,,,,A,,,BAO_0000218,N,6685,CHEMBL620487,,In vivo,,,Intermediate,50597,1,1,
7755,,,,A,,,BAO_0000218,N,6685,CHEMBL620488,,In vivo,,,Intermediate,50597,1,1,
7756,,,,A,,,BAO_0000218,N,4727,CHEMBL620489,,In vivo,,,Intermediate,50597,1,1,
7757,,,,A,,,BAO_0000218,N,1088,CHEMBL620490,,In vivo,,,Intermediate,50597,1,1,
7758,,,,A,,,BAO_0000218,N,5610,CHEMBL620491,,In vivo,,,Intermediate,50597,1,1,
7759,,,,A,1969.0,Plasma,BAO_0000218,N,3032,CHEMBL876604,,In vivo,,,Intermediate,50597,1,1,
7760,,,,A,,,BAO_0000218,N,5199,CHEMBL620492,,In vivo,,,Intermediate,50597,1,1,
7761,,,,A,,,BAO_0000218,N,14941,CHEMBL620493,,In vivo,,,Intermediate,50597,1,1,
7762,,,,A,,,BAO_0000218,N,4408,CHEMBL620494,,In vivo,,,Intermediate,50597,1,1,
7763,,,,A,1969.0,Plasma,BAO_0000218,N,2552,CHEMBL620495,,,,,Intermediate,50597,1,1,
7764,,,,A,1969.0,Plasma,BAO_0000218,N,5199,CHEMBL620496,,In vivo,,,Intermediate,50597,1,1,
7765,,,,A,1969.0,Plasma,BAO_0000218,N,15662,CHEMBL620497,,In vivo,,,Intermediate,50597,1,1,
7766,,,,A,1969.0,Plasma,BAO_0000218,N,1465,CHEMBL620498,,,,,Intermediate,50597,1,1,
7767,,,,A,1969.0,Plasma,BAO_0000218,N,1446,CHEMBL620499,,In vivo,,,Intermediate,50597,1,1,
