assay_id,assay_subcellular_fraction,assay_organism,description,relationship_type,assay_type,doc_id,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,tid
15,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,F,11324,,,1280.0,,,,50185
16,,Staphylococcus aureus,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,F,11324,,,1280.0,,,,50185
17,,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,A,11347,,,10116.0,,,,100122
18,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),H,B,16474,,,,,,,12054
19,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,H,B,10091,,,,,,,12054
20,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,B,16474,,,,,,,12054
21,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),H,B,16474,,,,,,,12054
22,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,B,16474,,,,,,,12054
23,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,B,16474,,,,,,,12054
24,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,B,16474,,,,,,,12054
25,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",U,B,14352,,,,,,,22226
26,,Oryctolagus cuniculus,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,H,B,5646,,,9986.0,,,,12054
27,,Oryctolagus cuniculus,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),H,B,5646,,,9986.0,,,,12054
28,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,H,B,10997,,,,,,,12426
29,,soya bean,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,H,B,6309,,,3847.0,,,,12054
30,,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated,H,B,167,,,3847.0,,,,12054
31,,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,H,B,167,,,3847.0,,,,12054
32,,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,H,B,11087,,,3847.0,,,,12054
33,,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,H,B,11087,,,3847.0,,,,12054
34,,Glycine max,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,H,B,13622,,,3847.0,,,,12054
35,,Glycine max,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,H,B,13622,,,3847.0,,,,12054
36,,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,U,A,11347,,,10116.0,,,,22226
37,,Escherichia coli,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,U,B,5926,,,562.0,,,,22226
38,,,Dissociation constant with dimeric 16S rRNA RNA construct B,U,B,4567,,,,,,,22226
39,,,Dissociation constant towards 16S rRNA construct A,M,B,3782,,,,,,,22222
40,,,Dissociation constant towards 16S rRNA construct B,M,B,3782,,,,,,,22222
41,,Escherichia coli,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,M,B,4466,,,562.0,,,,100263
42,,Escherichia coli,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,M,B,6592,,,562.0,,,,100263
43,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,B,898,,,,,,,13053
44,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,B,898,,,,,,,13053
45,,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,B,13163,,,9606.0,,,,20001
46,,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,B,13163,,,9606.0,,,,20001
47,,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,B,10691,,,10116.0,,,,12971
48,,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,B,10691,,,10116.0,,,,12971
49,,Rattus norvegicus,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,B,10691,,,10116.0,,,,12971
50,,Rattus norvegicus,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,B,10691,,,10116.0,,,,12971
51,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,B,898,,,,,,,13053
52,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),H,B,912,,,,,,,11512
53,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,H,B,912,,,,,,,11512
54,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,H,B,912,,,,,,,11512
55,Membranes,Rattus norvegicus,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,D,B,15103,,,10116.0,,,,104740
56,,Homo sapiens,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,N,F,5116,,,9606.0,,,1A9,80002
57,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,D,F,14578,,,10116.0,,,Oocytes,104835
58,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,D,F,14578,,,10116.0,,,Oocytes,104821
59,,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,D,F,14578,,,10116.0,,,Oocytes,104848
60,,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,N,F,4787,,,9606.0,,,1A9,80002
61,,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,N,F,4787,,,9606.0,,,1A9,80002
62,,Homo sapiens,Cytotoxic activity against human ovarian cancer (1A9) cell line,N,F,3547,,,9606.0,,,1A9,80002
63,,Homo sapiens,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,N,F,3547,,,9606.0,,,1A9,80002
64,,Homo sapiens,Effective dose of compound against replication of 1A9 cell line was evaluated,N,F,6726,,,9606.0,,,1A9,80002
65,,Homo sapiens,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,N,F,3455,,,9606.0,,,1A9,80002
66,,Homo sapiens,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),N,F,5726,,,9606.0,,,1A9,80002
67,,Homo sapiens,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,N,F,5726,,,9606.0,,,1A9,80002
68,,Homo sapiens,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,N,F,5726,,,9606.0,,,1A9,80002
69,,Homo sapiens,Inhibitory activity against Taxol resistant 1A9 cell lines,N,F,3395,,,9606.0,,,1A9,80002
70,,Homo sapiens,Cytotoxicity against human ovarian cancer (1A9) cell lines.,N,F,3415,,,9606.0,,,1A9,80002
71,,Homo sapiens,Percentage inhibition of human ovarian cancer (1A9) cell lines.,N,F,3415,,,9606.0,,,1A9,80002
72,,Homo sapiens,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,N,F,17099,,,9606.0,,,1A9,80002
73,,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,N,F,17099,,,9606.0,,,1A9,80002
74,,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,N,F,17099,,,9606.0,,,1A9,80002
75,,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,N,F,17099,,,9606.0,,,1A9,80002
76,,Homo sapiens,Inhibitory concentration against Jurkat cells,N,F,17721,,,9606.0,,,Jurkat,81072
77,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,U,F,1229,,,,,,,22226
78,,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,D,A,11347,,,10116.0,,,,100121
79,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,B,17117,,,,,,,11231
80,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,B,17117,,,,,,,11231
81,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",H,B,17117,,,,,,,11231
82,Microsomes,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",H,B,11375,,,5476.0,,,,11231
83,Microsomes,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",H,B,11375,,,5476.0,,,,11231
84,Microsomes,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",H,B,11375,,,4932.0,,,,11231
85,Microsomes,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",H,B,11375,,,4932.0,,,,11231
86,Microsomes,Sus scrofa,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",H,B,11375,,,9823.0,,Liver,,12083
87,,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",H,B,791,,,10116.0,,,,11231
88,,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",H,B,791,,,10116.0,,,,11231
89,,Rattus norvegicus,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",H,B,791,,,10116.0,,,,11231
90,Microsomes,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",D,B,11375,,,10116.0,,Liver,,12083
91,Microsomes,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,B,11375,,,10116.0,,Liver,,12083
92,Microsomes,Rattus norvegicus,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,B,153,,,10116.0,,Liver,,12083
93,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),H,B,8269,,,,,,,11377
94,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,H,B,8269,,,,,,,11377
95,,Homo sapiens,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,F,17653,,,9606.0,,,HepG2,81020
96,,Homo sapiens,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,N,F,14277,,,9606.0,,,HepG2,81020
97,,Homo sapiens,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,N,F,1717,,,9606.0,,,HepG2,81020
98,,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,N,F,14091,,,9606.0,,,HepG2,81020
99,,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,N,F,14091,,,9606.0,,,HepG2,81020
100,,Hepatitis B virus,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,F,17653,,,10407.0,,,,50606
101,,Homo sapiens,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,N,F,13105,,,9606.0,,,HepG2,81020
102,,Homo sapiens,Concentration required to inhibit 50% of 2.2.15 cell line,N,F,1717,,,9606.0,,,HepG2,81020
103,,Homo sapiens,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,N,A,13105,,,9606.0,,,HepG2,81020
104,,Homo sapiens,Cytotoxic activity of compound against uninfected 2.2.15 cells.,N,F,13600,,,9606.0,,,2.2.15,50587
105,,Homo sapiens,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,N,F,13467,,,9606.0,,,2.2.15,50587
106,,Hepatitis B virus,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",N,F,17477,,,10407.0,,,2.2.15,50606
107,,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells,N,F,1593,,,9606.0,,,2.2.15,50587
108,,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells; Not determined,N,F,1593,,,9606.0,,,2.2.15,50587
109,,Homo sapiens,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,N,F,15089,,,9606.0,,,2.2.15,50587
110,,Homo sapiens,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,N,F,15089,,,9606.0,,,2.2.15,50587
111,,Homo sapiens,Cytotoxicity in 2.2.15 cells,N,F,1593,,,9606.0,,,2.2.15,50587
112,,Homo sapiens,Cytotoxicity in 2.2.15 cells; Not determined,N,F,1593,,,9606.0,,,2.2.15,50587
113,,Homo sapiens,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,N,F,13600,,,9606.0,,,2.2.15,50587
114,,Homo sapiens,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,N,F,13467,,,9606.0,,,2.2.15,50587
115,,Homo sapiens,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,N,F,13467,,,9606.0,,,2.2.15,50587
116,,Homo sapiens,Antiviral activity against HBV was determined in 2.215 cell line,N,F,14764,,,9606.0,,,HepG2,81020
117,Microsomes,Homo sapiens,Inhibition of 20-HETE synthesis in human renal microsomes,U,B,6531,,,9606.0,,,,22226
118,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,U,B,17322,,,,,,,22226
119,,Homo sapiens,Inhibitory concentration against 2008 (ovarian) cells,N,F,17072,,,9606.0,,,2008,80612
120,,Homo sapiens,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,N,F,16936,,,9606.0,,,2008,80612
121,,Homo sapiens,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),N,F,16936,,,9606.0,,,2008,80612
122,,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,N,F,17146,,,9606.0,,,2008,80612
123,,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,N,F,17146,,,9606.0,,,2008,80612
124,,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line,N,F,10797,,,9606.0,,,2008/R,80613
125,,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,N,F,10797,,,9606.0,,,2008/R,80613
126,,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line,N,F,10797,,,9606.0,,,2008/S,80614
127,,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,N,F,10797,,,9606.0,,,2008/S,80614
128,,Homo sapiens,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,S,B,4823,,,9606.0,,,,100256
129,,Homo sapiens,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,S,B,12912,,,9606.0,,,,100256
130,,,Inhibition of chymotrypsin-like activity of 20S proteasome,S,B,2957,,,,,,,100256
131,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,S,B,2957,,,,,,,100256
132,,,Inhibitory activity against 20S proteosome,S,B,3260,,,,,,,100256
133,,Homo sapiens,Compound was tested for inhibitory activity against tryptase,U,B,3451,,,9606.0,,,,22226
134,,Homo sapiens,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,N,F,13885,,,9606.0,,,HepG2,81020
135,,Homo sapiens,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,N,F,13885,,,9606.0,,,HepG2,81020
136,,,Compound was tested for the inhibition of Alpha-glucosidase,U,B,3676,,,,,,,22226
137,,,Inhibitory concentration against human neutrophil elastase (HNE),H,B,6043,,,,,,,235
138,,Rattus norvegicus,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,U,F,11140,,,10116.0,,Heart,,22226
139,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,F,10543,,,,,,,19640
140,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,F,10543,,,,,,,19640
141,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,B,10543,,,,,,,19640
142,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,F,10543,,,,,,,19640
143,,Mus musculus,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,N,F,11365,,,10090.0,,,P338,80360
144,,Mus musculus,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,N,F,11365,,,10090.0,,,P338,80360
145,,Homo sapiens,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,N,F,11803,,,9606.0,,,PBL,80384
146,,Ovis aries,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,U,F,11803,,,9940.0,,,,22226
147,,Ovis aries,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,U,F,11803,,,9940.0,,,,22226
148,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),H,B,12278,,,,,,,191
149,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,U,F,8249,,,9606.0,,,,22226
150,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,U,F,8249,,,9606.0,,,,22226
151,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,U,F,8249,,,9606.0,,,CCRF-CEM,22226
152,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,U,F,8249,,,9606.0,,,CCRF-CEM,22226
153,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,U,F,8249,,,9606.0,,,CCRF-CEM,22226
154,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,U,F,8249,,,9606.0,,,CCRF-CEM,22226
155,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,U,F,8249,,,9606.0,,,,22226
156,,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,U,F,8249,,,9606.0,,,,22226
157,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,H,B,16992,,,,,,,104290
158,,Streptococcus pyogenes,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,N,F,10543,,,1314.0,,,,50264
159,,Human herpesvirus 3,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),N,F,17833,,,10335.0,,,,50527
160,,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,N,F,17290,,,10335.0,,,HEL,50527
161,,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV; ND: No data,N,F,17290,,,10335.0,,,,50527
162,,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV; ND=No data,N,F,17290,,,10335.0,,,,50527
163,,escherichia cloac,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",N,F,10932,,,561.0,,,,50145
164,,,Ratio of Ki at A2 to Ki at A1 receptors,U,B,9707,,,,,,,22226
165,,Candida albicans,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",H,B,2346,,,5476.0,,,,11143
166,,Candida glabrata CBS 138,"Inhibition of 1,3-beta-glucan synthase",H,B,2205,,,284593.0,,,,18077
167,,Homo sapiens,Inhibition of growth of 1-87 human tumor cell line,N,F,11900,,,9606.0,,,1-87 tumor cell line,80609
168,,Rattus norvegicus,Inhibition of 1-lipoxygenase (LOX)in RBL cells,D,B,14864,,,10116.0,,,,12166
169,,Glycine max,Inhibitory activity against soybean 1-lipoxygenase (SLO),D,B,16474,,,3847.0,,,,100171
170,,Glycine max,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,D,B,16474,,,3847.0,,,,100171
171,,Glycine max,% inhibition against soybean 1-lipoxygenase (SLO),D,B,16474,,,3847.0,,,,100171
172,,Glycine max,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,D,B,16474,,,3847.0,,,,100171
173,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,D,B,3094,,,3847.0,,,,100171
174,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,D,B,3094,,,3847.0,,,,100171
175,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,D,B,3094,,,3847.0,,,,100171
176,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,D,B,3094,,,3847.0,,,,100171
177,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,D,B,3094,,,3847.0,,,,100171
178,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,D,B,3094,,,3847.0,,,,100171
179,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,D,B,3094,,,3847.0,,,,100171
180,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,D,B,3094,,,3847.0,,,,100171
181,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,D,B,3094,,,3847.0,,,,100171
182,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,D,B,3094,,,3847.0,,,,100171
183,,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,D,B,3094,,,3847.0,,,,100171
184,,Mus musculus,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,U,B,10413,,,10090.0,,,,22226
185,,Mus musculus,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),N,F,16929,,,10090.0,,,C3H 10T1/2,80049
186,,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,U,F,1229,,,,,,,22226
187,,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),H,B,16587,,,,,,,11489
188,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),H,B,16587,,,,,,,11862
189,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,H,B,16587,,,,,,,11862
190,,,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,H,B,16587,,,,,,,11489
191,,,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,H,B,16587,,,,,,,11862
192,,Bos taurus,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,D,F,8058,,,9913.0,,,,12347
193,,Rattus norvegicus,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,D,B,9065,,,10116.0,,,,100120
194,,Rattus norvegicus,Inhibition of 11 beta-hydroxylase from rat adrenal gland,D,B,8865,,,10116.0,,Adrenal gland,,100120
195,,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase,D,B,9066,,,10116.0,,,,100120
196,,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase,D,B,8394,,,10116.0,,,,100120
197,,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,D,B,8394,,,10116.0,,,,100120
198,,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,H,B,6431,,,,,,,10328
199,,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,H,B,6431,,,,,,,11490
