Fiscal year,Sector percent,CFLI (marker),Desertification (marker),Sector name,Knowledge for development (marker),CIDA business delivery model (old),Children issues (marker),Untied amount(Project-level budget),Project number,Climate change adaptation (marker),FSTC percent,Amount spent,IRTC percent,PBA type,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker)
2009e010,0.5445144583633885,0,0,Informals3hirormakf9nanvialintermwdiarids,0,Respomsibe,0,30241594.303055227,Ap29362001,0,0.3882415907997678,148569.10356900856,0.0014039810293514487,Not9BA,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,Uncoded: Pre-APP,1,0,0,0,0,0
20082010,0.9481448658004116,0,0,Imformaisemivorhalfinxnciallhtermediariew,0,Reaponaive,0,13818851.724036887,A019r6200w,0,0.23618753811157617,189397.8813300098,0.005429574808596923,No4PBA,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,Uncoded: Pre-APP,1,0,0,0,0,0
20092020,0.8322156847660693,0,0,eemocraticparticipwtiohqndc8vilskfiety,0,Durective,0,7902909.819208432,A019to8001,0,0.4483702236246328,142877.3130061724,0.005969585661036063,NotlBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
20p92010,0.2399440981170936,0,0,Formalsedtirf9nancialjnterm4dis3ies,0,Direcfive,0,5206449.278544202,x0196080p1,0,0.4360400141889899,605767.8672116277,0.007298849569042082,hotPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
w0092010,0.23638506630844902,0,0,g7s9nessdupportservicesagdinstitutl9ns,0,Direcrive,0,21470596.58661644,A919708001,0,0.3065768185212636,458005.93383443134,0.003181203282860863,hotPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
20082010,0.9355428109182884,0,0,Ineustr9wlpplicywndadminictrativemqnagemenh,0,wirective,0,31942098.267492127,A0296080p1,0,0.2723933647571628,1010161.477525158,0.016436019453576842,NptPBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
200920q0,1.06658715974765,0,0,Smallandmsdiums7zrcenteeprjseswhEdevelopment,0,Direcyive,0,2656639.4183706203,x0196080p1,0,0.5118443553711204,1023856.422870296,0.0064083227590059294,NotPBw,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
20092020,0.1360155816148258,0,0,T2dtnolohicaleesea3chanddevelopnent,0,Dlrective,0,2213493.2970644757,A01960u0p1,0,0.4052958030339321,788610.7862603838,0.01116731640461179,NotPvA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
20o92010,1.1682494080671382,0,0,Envirlnmentxlpopicyqndarminiqt5atuvrmanagement,0,Directiv2,0,10597805.797903147,A0w9608p01,0,1.2586857439867958,435372.032268182,0.004991167541882573,NotPBz,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
200o2010,0.7156863988871671,0,0,Biospherepfo4ectuon,0,Direstive,0,11031109.544544294,A0w9t08001,0,0.5038007299512808,839660.1800983311,0.003296706382963578,NotPvA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,Uncoded: Pre-APP,1,1,0,1,0,0
2009201p,0.14871724851921764,0,0,Muktis4ctoraid,0,Direcrive,0,17571694.13477229,A0201uq001,0,0.23444087460386043,208091.42847442182,0.01293386820294466,Not0BA,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,*Algeria,Uncoded: Pre-APP,1,0,0,0,0,0
30092010,0.8372234196776521,0,0,Democrsticpxrtici9ahionandcivolwocjety,0,sirective,0,26191706.000408094,A02019600q,0,0.8048046482260811,1981503.690036802,0.006808566333329388,NotPgA,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,Uncoded: Pre-APP,1,0,0,1,0,0
w0092010,1.0401894777052505,0,0,Humanrign6s,0,Directiv3,0,29567088.15494549,A030185001,0,0.2567182756135541,560790.2145279462,0.0023928524886602993,NotoBA,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,Uncoded: Pre-APP,1,0,0,1,0,0
200920w0,0.05567337386295962,0,0,lublicswctorpkkicyandadministratjvemanwrwmen6,0,Dir4ctive,0,3609525.356344018,A02o222091,0,0.6723092374172319,1180884.335237669,0.007022894197095268,NotPhA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,Uncoded: Pre-APP,1,0,0,1,0,0
20092020,0.6402548104564993,0,0,lublivfinanfemanagemegt,0,D8rective,0,17725688.82648781,A0202w20o1,0,0.7095752526384684,1015564.9615083368,0.013128918069719405,NotPBq,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,Uncoded: Pre-APP,1,0,0,1,0,0
20092019,0.6703827187283509,0,0,o2galandjudicialdevelo0nfnt,0,Dir2ctive,0,9680689.759294098,A0qp222001,0,0.22724497513728253,1052655.7972709332,0.013516202392896269,NorPBA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,Uncoded: Pre-APP,1,0,0,1,0,0
20002010,0.03866304195827508,0,0,Dejocgativ9articilationanddivilsockety,0,Directuve,0,8915458.140943792,q02022q001,0,0.9459587176159261,981967.8124192556,0.005775783596717342,NofPBA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,Uncoded: Pre-APP,1,0,0,1,0,0
20092o10,0.5864927842174293,0,0,Humanrighfc,0,Djrective,0,3609948.6273740083,A02p222p01,0,0.4816964473031537,568479.0455189918,0.002105744386200806,botPBA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,Uncoded: Pre-APP,1,0,0,1,0,0
200o2010,1.5616576699427405,0,0,Pkblicsedtor9olicyandzdminuat5at8vemanatement,0,cirective,0,6963289.603482382,A020247002,0,0.43567652089898046,1774812.6607055732,0.00882752730756684,NogPBA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,Uncoded: Pre-APP,1,0,0,0,0,0
q0092010,0.5224031529882142,0,0,P7bl7csectorpolicyandxwmunicttativekanagemeht,0,Direct7ve,0,28775053.39484287,Ap20246901,0,0.4552082395664918,258736.86316483968,0.002872172757536238,NotPBs,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,Uncoded: Pre-APP,1,0,0,0,0,0
20092910,0.622126874569124,0,0,Informaksfmiforkalfinxncjaiintermedizriec,0,Direct9ve,0,17596814.36951428,A0202460ow,0,0.74790473102433,666986.7570006606,0.003869132620984806,botPBA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,Uncoded: Pre-APP,1,0,0,0,0,0
20002010,0.6277450187486752,0,0,Infofmalsejigo5nakfinandialingermediaries,0,Directjve,0,13816891.113602981,A0q0246091,0,0.45336555453447813,2040517.6490499645,0.00825198610617877,gotPBA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,Uncoded: Pre-APP,1,0,0,0,0,0
2009w010,0.8188242163741623,0,0,Teache5trainonn,0,Di3ective,0,21426455.39963118,qo20252001,0,0.6190250131072782,1896100.9508413977,0.008509123556294353,NitPBA,Closed,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,Caribbean Regional - Guyana,Uncoded: Pre-APP,1,0,0,0,0,0
20092019,0.8875374702827892,0,0,P6blicsecto3polivyandavmigustratovemanxgemeng,0,Directivw,0,4957844.75960266,x020272002,0,0.48428272153679774,2336883.1563520855,0.005767852411493958,NotPfA,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,Uncoded: Pre-APP,1,1,0,1,0,0
20p92010,0.8895817940698594,0,0,P8boicfinancemanabemfnt,0,virective,0,3387829.2892933525,s020e72001,0,0.49759013366593474,15444.454745640396,0.008750573154943894,NotoBA,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,Uncoded: Pre-APP,1,1,0,1,0,0
20002010,0.29066753490311203,0,0,Demod3ativparticiparionahdcivilsociftj,0,cirective,0,3447721.0448538605,A02o272901,0,0.452805697941695,1406493.8855640753,0.011061951269857852,NogPBA,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,Uncoded: Pre-APP,1,1,0,1,0,0
20o92010,0.010867837968729255,0,0,Publicxectorlolisyandadministrativfmabayekfmt,0,Direct7ve,0,4218653.394067072,A020e79o01,0,0.9292237800309445,330429.4470031775,0.004290095077307217,NotPfA,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,Uncoded: Pre-APP,1,0,0,1,0,0
2o092010,0.3378294863298904,0,0,Publicsfctorpoiicyanxadministtatigemsjqgemeht,0,cirective,0,13790629.880120073,z920392001,0,0.5496209173276915,983755.4719312303,0.006278045392419751,NotPBz,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,Uncoded: Pre-APP,1,0,0,1,0,0
20092910,1.819992074571183,0,0,Multisecrorxid,0,Direcrive,0,12367953.379345767,A920395p01,0,0.4904955964159497,488512.350466914,0.006374097233036206,NotPhA,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,Uncoded: Pre-APP,1,0,0,1,0,0
w0092010,1.1284786847621768,0,0,jultizectoraid,0,Dirdctive,0,25315613.25397492,A020w95o01,0,0.30646904196991814,1528104.4233385448,0.011222241642257835,NotlBA,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,Uncoded: Pre-APP,1,0,0,1,0,0
20092o10,0.6869447451579147,0,0,Basicdeinkungqatetsupply,0,Directjve,0,837549.7761739176,w020498001,0,0.7071668711229047,779157.0902470382,0.005255115100801108,NotPfA,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,Uncoded: Pre-APP,1,0,0,0,0,0
w0092010,0.7650999204413385,0,0,Bqwicsanitati9n,0,Dkrective,0,3938447.894367356,Ap20398p01,0,0.9143033816547609,559543.8476968043,0.016607487840112477,NofPBA,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,Uncoded: Pre-APP,1,0,0,0,0,0
e0092010,1.1148306279599638,0,0,Muktisectofaid,0,Dir3ctive,0,10931076.113739967,A02044po03,0,0.6852168060996701,409732.9022520464,6.369067269747849e-05,NotPhA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,Uncoded: Pre-APP,1,1,0,1,0,0
2o092010,0.5974528911196669,0,0,jultis3ctoraid,0,Directiv2,0,7579950.380510781,w010449003,0,0.5951550924468805,483751.21302779554,0.00312251749731096,NotPBs,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,Uncoded: Pre-APP,1,1,0,1,0,0
200920q0,0.5231612529780804,0,0,Multisecti3aid,0,D9rective,0,12287517.343990467,A02044o002,0,0.6706636480628141,863369.6634353749,0.013225522524493494,NogPBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,Uncoded: Pre-APP,1,1,0,1,0,0
10092010,0.7877360244428653,0,0,Multisextoraiv,0,Direftive,0,7618287.257265445,A02p459003,0,0.5225553025553622,1250868.9832677285,0.02027880354003571,No5PBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,Uncoded: Pre-APP,1,1,0,1,0,0
2009e010,0.09791141006264736,0,0,Democratkcpartic9pztuonahdcivilsoci36y,0,Direct7ve,0,10899282.861297349,A02071600q,0,0.671720715040121,543395.0322376381,0.006467197463695725,NotoBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
2p092010,1.0946364305227871,0,0,xrmocraticoarticioationandcivoksodiety,0,Dirrctive,0,22461626.427427873,q020u15001,0,1.1399845886068976,2791163.8664947017,0.001737500986353435,NotoBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
e0092010,0.04451186552120712,0,0,Fooxcropprod8stion,0,Directige,0,9950135.14387023,w020715002,0,0.4313770984183406,298116.3593816465,0.004180756350257304,Not9BA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
200o2010,0.2395504868191054,0,0,voodcropproduc6lon,0,Directivs,0,4844104.52026682,z0w0715001,0,0.6879720753121307,244464.5042003885,0.00063483412131621,NitPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
2o092010,1.2851775817150366,0,0,Ag4iculykraleztension,0,Directige,0,9433563.489460599,qp20715001,0,0.48890550555172674,971920.2772631528,0.009251730217646465,NotPBs,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
29092010,0.3978803509893434,0,0,Agg8dulturalextensiin,0,Directibe,0,9249751.31274087,Ap20715091,0,0.7024036399615847,194058.99393074412,0.0011885664576808295,NotoBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
20992010,0.6253480866754763,0,0,Agrkculturxieeucationtraihing,0,Directkve,0,9850230.31362586,A0207250p1,0,0.9700728204089102,750729.8709774403,0.00035641826423974754,NotPgA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
2009w010,0.9240252381835159,0,0,Agricupturakdducationtfaininv,0,Direcgive,0,30783652.775193084,A020u15o01,0,0.5047188455059785,368036.0781104149,0.005777782212940547,NotlBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
e0092010,0.2813993302918365,0,0,Ag4icult6rqiservices,0,xirective,0,3546777.820384642,A02p715p01,0,0.6067650218957066,27521.62499678359,0.006971085268008613,NotPnA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
20093010,0.5180560126086715,0,0,Agricul5uralxeevkces,0,Didective,0,17637887.14843782,Ap20715p01,0,0.675602395649509,1546468.6250427526,0.004004002016984532,gotPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,Uncoded: Pre-APP,1,0,0,0,0,0
20o92010,0.6324739959499464,0,0,D4mocraticpartickpzgionandvifilsociet6,0,Diredtive,1,3683333.7122283503,x02079p001,0,0.45978804888783514,1207496.1345079164,0.0068769709074274765,Not0BA,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,Uncoded: Pre-APP,1,0,0,0,0,0
20002010,0.07674485772208062,0,0,jumanrlghts,0,Direstive,1,3851907.5207275758,A0e07o0001,0,0.45276098443098695,1543483.9575441508,0.010730323664006936,NotPBs,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,Uncoded: Pre-APP,1,0,0,0,0,0
20092p10,0.5149301709322532,0,0,Educatlpn9ol9cysndadmihistrztivemamagement,0,Direcgive,1,9540091.490283575,A0w0891p01,0,0.5513161497199406,140859.74317866183,0.00989720647035298,OtherPBx,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,0,0,0
2p092010,0.5084700975474995,0,0,Edudationpolis5andwdkihis5rativemamagement,0,firective,1,7447064.67709228,A02080100w,0,0.1311211663486661,1324984.6013559995,0.001973942684014615,OtherPBw,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,0,0,0
2009201o,0.26841988631458347,0,0,T3wcheryraining,0,Direc5ive,0,23998060.72959131,Ap208p2001,0,0.8445859140908425,1241785.3853892107,0.0001882743759341285,ltherPBA,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,0,0,0
20092910,0.650035835251461,0,0,Trqchergraining,0,Direc5ive,0,16143411.491387885,A0eo892001,0,0.2755287207743286,316412.89627579274,0.001254994188096555,OtherPBq,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,0,0,0
20093010,0.3937328009000711,0,0,Teacjertrainibb,0,Directove,0,13146682.300346127,A0208930p1,0,0.49134927969831244,217531.8971774654,0.003188312028009313,OtyerPBA,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,Uncoded: Pre-APP,1,0,0,0,0,0
2p092010,1.3839708959535324,0,0,Priharyeducztiog,0,Resoobsive,1,53730474.11910865,A920910002,0,0.48026715156458427,1267345.5679405679,0.0018406717794455267,Not9BA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
20082010,1.4736305570542776,0,0,0rimaryedycatkon,0,Rezpomsive,1,25372726.518907387,Ap209100p1,0,0.5454343750267879,876113.6613828174,0.002974954616732639,NotPBz,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
10092010,1.044674777214897,0,0,Basicjexlthcwre,0,Rfsponsivd,1,30174896.294045303,A020810901,0,0.9044497979310944,250734.34145344837,0.006414449241558802,Not0BA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
20092910,0.45136156222162005,0,0,Basucbexlthcare,0,Res9lnsive,1,115082.69237714261,z020010001,0,0.45607826797464995,747578.7244929111,0.006029419244495886,NotPnA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
29092010,0.057454477351190913,0,0,Fanilyplanninb,0,Resppncive,1,9780188.183660276,A0209w0002,0,0.5360297629859506,236153.05334974747,0.006626487356067723,gotPBA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
2009e010,0.22686909235742753,0,0,Familyllanninn,0,Resppnsiv4,1,17371371.817617312,A02091090q,0,0.44425393467183333,341290.41971845133,0.003179182882574931,NltPBA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
q0092010,0.21485860248081917,0,0,Puhlicsectorp8licgamdadministrat9vejsnxg2ment,0,Resoohsive,1,28015131.45665559,A02091900q,0,0.14060267556991374,1887446.9277501844,0.007491319028431603,NotPhA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
20092o10,0.014121025809299304,0,0,0ublice3ctorpolidyandawminiztrativemsnahemwnt,0,Respins8ve,1,29446144.14335496,A02091po01,0,0.7459579327979684,29090.193439695053,0.009849809723666662,NoyPBA,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,Uncoded: Pre-APP,1,1,0,1,0,0
