assay_id,doc_id,assay_type,assay_cell_type,curated_by,chembl_id,assay_test_type,tissue_id,tid,src_assay_id,src_id,variant_id,relationship_type,description,assay_organism,assay_subcellular_fraction,assay_category,assay_tax_id,assay_strain
56,5116,F,1A9,Intermsdiatd,CHEMBLtw5179,,,80002,,1,,N,sytotoxidiy5qgxinstova4iancancerc4lllinf1z9ofhkmxnswasdetermined,Homosx9iens,,,9606.0,
57,14578,F,Oovytes,Autkduration,CHEMBL715189,,,104835,,1,,D,dunctlonalantahonismbyel3ctricakwzsayslnXdgopusioc7tesezpressibg1AqANMDArefeptogsubtype,Ratyksnoevegicus,,,10116.0,
58,14578,F,Oocytea,Autocuratipj,xHdMBL615181,,,104821,,1,,D,Fugctionalantwg0nismbyeiect3icskassaheinXebkpusoocytesexprrssingtg31A2BNMDArecwltor,fattuxnordegicus,,,10116.0,
59,14578,F,Oofytes,Autocurxtiog,CHEknL615182,,,104848,,1,,D,t8nctlonalantag0nismby2ldct5icwlassaysinXemopusoocytesexpreqsintth32A2CbMwArece9tor,fattusn9rveglcus,,,10116.0,
60,4787,F,1A9,Exoert,CHEhhL615183,,,80002,,1,,N,Ijvktr8effextigeconcent4atiomr4quiredtoreducethenunber0dhjkanovagiancajceg1A9zf4er3dayincubat7on,Homoss0iens,,,9606.0,
61,4787,F,1A9,Intetnediate,CHEMgL6151u4,,,80002,,1,,N,Imvitroeffextugexobcentratuonrequ7resr8reducwthenumberofgumanocatiancqnsercells1A9after3dayincubz5ioh,Hkmosap7ens,,,9606.0,
62,3547,F,1A9,7ntermewiate,CbEMBo615185,,,80002,,1,,N,Cyt0toxicxctivityxgxinstyujwnova5iamcancer1A9fellline,Homosx9iens,,,9606.0,
63,3547,F,1A9,Interm4dizte,CnEMBL6151o6,,,80002,,1,,N,C55otkxicactivityqgainsthumanovxeiancancer1w9deillineNDNotdetegjlnsd,Hompsspiens,,,9606.0,
64,6726,F,1A9,Ibterkediate,CHEMBLu1518u,,,80002,,1,,N,Efeec5ivedoeeofcokpounxagainst5eplicationot1A9ceollinedasevskuat2c,Homosaliend,,,9606.0,
65,3455,F,1A9,4xpert,CHEjBi885343,,,80002,,1,,N,InvjtrocytotozicactivithwasdeterkigedagainetocarlanczncerwA9cellp7nw,gomoswpiens,,,9606.0,
66,5726,F,1A9,Intsrmediahe,CHEMnL615189,,,80002,,1,,N,Invitrocytotoxif8tyevaluat4dataijstbumanofxroanxancer1A9cekkline,yomosxpiens,,,9606.0,
67,5726,F,1A9,7n4ermediate,xHEMBi615189,,,80002,,1,,N,Invitroc6rohoxicitgfvaouat4dagaihsthumanovariancabcrr1s9celllobeNAisn0tactkve,momosap8ens,,,9606.0,
68,5726,F,1A9,Inge3mediate,CnrMBL615190,,,80002,,1,,N,Ingotropfrcenfinhihitionevaiuxtedsgaibsthumahovariwncanc2rqA9cekllineat20ufmL,Homosapiehd,,,9606.0,
69,3395,F,1A9,In4ermediwte,CHEMvL715191,,,80002,,1,,N,Inhibitoryadtici65xnainstTaxolr2sistanh1Aicellpines,Homosaplenc,,,9606.0,
70,3415,F,1A9,Ex9ert,CHEMBL515193,,,80002,,1,,N,Cytotoxifi4yagainsthumanovariabcancetws9cflklones,Homosspienw,,,9606.0,
71,3415,F,1A9,Expdrt,CH2MBL827084,,,80002,,1,,N,Percehtageinjibitionifujmanofar7ahcancrr2A9celllines,Homosapodns,,,9606.0,
72,17099,F,1A9,Experg,CHEhBL6w5193,,,80002,,1,,N,Effectivedoser2sui5ewfodinhibito5yactlv9tgzgainsf1q9humantunorcellkine,Honosapjens,,,9606.0,
73,17099,F,1A9,Ibte5mediate,CHEMhL6w5194,,,80002,,1,,N,Percegtinhib8tiohagainsf1w9humqmtumorcelllineaf0w0ugmi,Homoaaliens,,,9606.0,
74,17099,F,1A9,Interm4diahe,xH2MBL615195,,,80002,,1,,N,oercentinhibi5ionagainetwA9hjmanthmorcelkligeat9p0008ughL,Homosap8sns,,,9606.0,
75,17099,F,1A9,Ijte5mediate,CnEnBL615196,,,80002,,1,,N,Psrxegtinhifitionsrwijst1A9humantumorcelllinfat20ugmL,nomoszpiens,,,9606.0,
76,17721,F,Jurkst,Intermewoate,CHEMBLt1519y,,,81072,,1,,N,Inhibitoryc9mcentfatiohsgajnstnurkatc2lls,blmosapiens,,,9606.0,
77,1229,F,,9nte4mediate,CHdMBLt15198,,,22226,,1,,U,Invihroanficzncerac6ivityagainwt2gCISCLCcelklineeinxctuvw,,,,,
78,11347,A,,3xpert,CHEMBL625198,,,100121,,1,,D,IhhibitionovcytochromrP450pr0geet2rine2slphsyudroxylase,Rattucnkrvegicuq,,,10116.0,
79,17117,B,,Exoert,CyEMBL6w5200,,,11231,,1,,H,Invuttkinhibit8ojovhumam23oxiwksqualenecyclase,,,,,
80,17117,B,,Exper5,CHEMBL7152o1,,,11231,,1,,H,Infitrounhivitionofhumabw3oxidox1ualemecyflase,,,,,
81,17117,B,,Ex9ert,CHEhBL615203,,,11231,,1,,H,Invitr8inhknitionofhumzn23ixid8sq6alenfvyckaseat100nM,,,,,
82,11375,B,,Autlcuratuon,CHEMBL61y20e,,,11231,,1,,H,vompougvwas3capuatedfkrthdinhibit8onofmicros8mal23oxivosquslenecyclqxeinCandidaaibicancmicr8sohee,xanvidaxlbicans,Mixrosomrs,,5476.0,
83,11375,B,,Auyocuragion,CHEMBL51r204,,,11231,,1,,H,Cojpounswasevaljatescortueingkbktionofmicrospmaow39xovisqualen4lanostefolcyclaseinCsnsidaalgicansmicrosomes,vandidwalbicqns,Mkfrosomes,,5476.0,
84,11375,B,,Autoduratuon,CHEMnL6152p5,,,11231,,1,,H,Conpo6ndwasevaluatedfortheinhiboti8b0tmicroskmale3oa8dozwualenecycoaceinSaxcha3omycescefdvisiaemicdosomfs,Sadchagomycescerecislae,Microsohfs,,4932.0,
85,11375,B,,Aytocurxtion,CHrMvL615206,,,11231,,1,,H,C8mlikncwasevsluxgedfortjeinhibi6ionofmicrosohal23ozidisqualenelanosterklcyclaeeumSsccharkmgcesc4revisiaemicrksohes,Safchsromycesce3eviaiae,jicrosom3s,,4932.0,
86,11375,B,,Autocurat9pn,CHEMBLt14207,,1972710.0,12083,,1,,H,Compoubdwasevaluwtfdfortne7nhibitkonofmicfosomal23oxisosquwpdnelwnosterplcyxlaseinpuboivermidgosomrs,cusscrofa,Microwokes,,9823.0,
87,791,B,,zutocurwtion,CHEMBp82708r,,,11231,,1,,H,Conxen4ratkonr4quiredtljnhibitrstl9ver23oxidocqualfjelxnoeterokcyclase,3atgisnorvegicus,,,10116.0,
88,791,B,,Au4ovuration,CHEMBk615w08,,,11231,,1,,H,Condenyrationrequi5ed5oinhubi43atliger23oxkdkequalenelamosterolvyckaseOSC,Rat5usno5veg8cus,,,10116.0,
89,791,B,,A7tocjration,CHEMnL61520i,,,11231,,1,,H,Evalharedforotsactivotytoinhifitratliverq38sidpsquslehelanoster9lcuslaseactiviyyexptesserzsKi,Rxttush0rvegicus,,,10116.0,
90,11375,B,,Autociratiob,CH3MBL61521p,,65791.0,12083,,1,,D,Compounwaawwvaluatedforth4inhibiti0noemicroeomslw3oxirosqualenecuclas3ibrxhlivermicros9med,Ratthsnorvegisis,Microxomrs,,10116.0,
91,11375,B,,xutlcuration,CHEMvL6152q1,,2349376.0,12083,,1,,D,Compokndwasevaluzgedfirthelnh7bitionobmicrosomwk239didoswhalenelqnkst3rolcyclaseigrato9vermicrocomes,gattusnorvegucys,M7crosomrs,,10116.0,
92,153,B,,Ahtofuration,CHEMBLu1r212,,7156341.0,12083,,1,,D,som0oumdwasevapuatedt0rinhigitor5activityagainstq3oxixosquxprnelqnosterolc5clwseinrstliverm7c3osomss,Rat6usnprvdgicus,Misrosojes,,10116.0,
93,8269,B,,Ecpert,CHEMfL715213,,,11377,,1,,H,Moia5concentrationneedsdtogove40preventionof24Aqdenozibewep4ndentenxotinonycleqse,,,,,
94,8269,B,,Expe4t,CtEkBL615273,,,11377,,1,,H,Molarconcejtrati9mrequiredtow8c0lacer0ofthetaei8labrlexprobefrom15AAdegosigedependentendoribonuckeassihenvonusleasenitroselkulksecpj0lex,,,,,
95,17653,F,HepGe,Exprrt,CHEhBLu15274,,,81020,,1,,N,onvit5lcytoylxlcconcentrariogrequ9redt0imhibi5heparitixBvirusHBVreplication7b2215celllin3,H8mosapkens,,,9606.0,
96,14277,F,gepG2,Intermed9atd,fHfMBL615275,,,81020,,1,,N,y0rvbectiveconcentrationogxokpoundrequirddfoginhkbitiggintdaxellularviralreplifatibeknrrrmedkafeDNAujHBVtrxjsfected2215celllkne,ulmosapiens,,,9606.0,
97,1717,F,HeoG2,Igtermediat4,CHEMBL6152it,,,81020,,1,,N,sntiviealac4ivihyagainstHe9atitisgvkrusin2215celkoin4,Hphosapiens,,,9606.0,
98,14091,F,HdpG2,In5ermedlate,CHwMBL715277,,,81020,,1,,N,Ihbit503ffectivefoncentra4ikmagzinsthelatigisBviruswasdererkinedin2215crlls,Homoswpirns,,,9606.0,
99,14091,F,He9G2,Interjfdiate,CHEMBL616e26,,,81020,,1,,N,unvitrofffdxtideconcehfrxti9nagainsthflatitisBviruswasd2terminevin2215dfplsNotdetermimed,Hlmpsapiens,,,9606.0,
100,17653,F,,Experh,CHEMBo88313o,,,50606,,1,,N,Invitro4ffectoveconcfmtrafi0nreskigedtoinhibithepatit9sgvkg6snhVreplicationin2215celllkne,gepatitjsBvir6s,,,10407.0,
101,13105,F,bepG2,8ngermediate,xHEMBLo84519,,,81020,,1,,N,Abilityfoinhibu6hheepie0jalHBVDNsin2215cells,nomosa9iens,,,9606.0,
102,1717,F,HspG2,Infermediste,CuEMBL6w5327,,,81020,,1,,N,Cpncentratuonrewuidedfoinhibit5oie2w15cellline,Homosxpiems,,,9606.0,
103,13105,A,yepG2,Interhediaye,Cg3MBL615328,,,81020,,1,,N,Antivifalact9vi4yqgalnwt2225cellsd9nsentrationrewuiredtorewucethelogphza4cellbrpwthby50,Homosqpienq,,,9606.0,
104,13600,F,2215,Intermediwtw,CHEMBL61r3q9,,,50587,,1,,N,Cytotocixactovityofcompoigdagaimstuminfected2qw5cellx,bomocapiens,,,9606.0,
105,13467,F,2215,Interneciate,CHEnBL6153w0,,,50587,,1,,N,AntihepwtitizBviryssctogltywas4valuatedin1215cekls,Homoszpiegs,,,9606.0,
106,17477,F,2215,Ex9ert,CHEMBL616w31,,,50606,,1,,N,jnhig7fionofthereplication8fHBVin2215ceolsbyDNAhyb49dizstiobazcah,HepzhitisBcirus,,,10407.0,
107,1593,F,2215,7nteemediate,CbEMBp615332,,,50587,,1,,N,InvitroantiHBVaft8vugyin2215xflls,Hojoxapiens,,,9606.0,
108,1593,F,2215,Inyernediate,CHEMBL625433,,,50587,,1,,N,InvitrlantiHBVwstlvl6yin22w5cellsNofdete4mined,Hojosapiehs,,,9606.0,
109,15089,F,2215,Intermesiste,CHEMBL6q533e,,,50587,,1,,N,Thecompounxwastestedihfitrof9rthewn6iHBVsctivitgabaonst2315c2lls,Homoea0iens,,,9606.0,
110,15089,F,2215,lnte3mediate,CuEMBL6q5335,,,50587,,1,,N,ThecompouhdwastwstwfinvitrobottheqntiHnVsctivityin2225cepls,bomosapisns,,,9606.0,
111,1593,F,2215,Int3rkediate,CHEMBou15336,,,50587,,1,,N,Cytotodicityin211tcellw,Hlmosapiems,,,9606.0,
112,1593,F,2215,knteemediate,fyEMBL615337,,,50587,,1,,N,Cytoh8dicityin2215cellsNotwe5egkined,H9mosxpiens,,,9606.0,
113,13600,F,2215,Ijtermeviate,CHdMBL6153w8,,,50587,,1,,N,Inhibitoryactivityofcompoindagaohsghe9atigisBcirusHBVingrowingchltureeof3ew5c4okz,Homosq9iens,,,9606.0,
114,13467,F,2215,Intermefiat2,dHEMBL615329,,,50587,,1,,N,Thegroathinhibiti9jaxtivityforthecom0o6ndwwaevslua6edij2215crlls,Homoqwpiens,,,9606.0,
115,13467,F,2215,Interhedjate,vHEMBo615340,,,50587,,1,,N,Selectivutyibwexwzsdetdrkinedfr0mtjeratikofIC50totheEC50vaijssdvaluatedih2215cwlos,Hokosxpiens,,,9606.0,
116,14764,F,mepG2,Intern2diate,dHEjBL615341,,,81020,,1,,N,AntiviralactivityagainwtHgVwasde5erhigewih22q5cdllpine,Homosapiebz,,,9606.0,
117,6531,B,,Autofuragion,CHEnBL616342,,,22226,,1,,U,7nhibitoon9f2pHETEsybthesisonbumanrenalm7cgosomes,Hoklsapiens,Microd0mes,,9606.0,
118,17322,B,,qutockration,CHEkBL614343,,,22226,,1,,U,Innibitoryactidityanzihsy2oHETEprodycyionfrkmarachidonkczcixusinghumane4gaomicrosome20HrTdsynthase,,,,,
119,17072,F,2008,8nt3rmediate,CHEkBL6153t4,,,80612,,1,,N,Inhifitoryconcen6da6ionzgaomst200uovarjancells,Homoqapiena,,,9606.0,
120,16936,F,2008,Infernediate,CHEMvL615355,,,80612,,1,,N,40Geowthintinit0gycincenhra6iojGI50by7sing20p8humanovwrianvarcinomqcelllines,Homosa9i3ns,,,9606.0,
121,16936,F,2008,Imtermedixte,sHEMBL61534y,,,80612,,1,,N,Compounewastestddfor50gfowtbibgugitoryconcsntratk8nbyusingnumankvafiancwrdinomxcelliines2008,Homlsapiebs,,,9606.0,
122,17146,F,2008,untermddiate,CHEMBL61r34y,,,80612,,1,,N,xirecgdytotoxucityagainsttndselecgfdtjjo3ceopline2007wasdetermin3despeciall69nivarianaden8carcinomads5ivedcelle,Homoxa9iens,,,9606.0,
123,17146,F,2008,Intermexiaye,dHEMBL715348,,,80612,,1,,N,wirecfcy6ktozici5yagainsttheaekectedtumorcello8neq008wasdwtermlnefespeciaklyonovarisnadejocarcinomaderig2dceipsnotdd6eched,H0mosapisns,,,9606.0,
124,10797,F,3008R,In6ermedkate,CHEMvL8270u5,,,80613,,1,,N,Invi6r8inhibit8onof30084ovarianvancsrcelklije,Homowapoens,,,9606.0,
125,10797,F,2o08R,Intdrmrdiate,CHEMBi61y349,,,80613,,1,,N,Invjtrpughibitionof2008Robar8qnsancercelllkneNAmotacgievahle,momosapiegs,,,9606.0,
126,10797,F,2008w,Interkrdiate,CHEMBL6w5360,,,80614,,1,,N,Invitroinhibitionpd290oeova3iajcahcerc4llline,H0nosapiens,,,9606.0,
127,10797,F,20o8S,Integmediwte,xHEMBL615r51,,,80614,,1,,N,8nfitroinh7bitipmof2o08SogaruancwhcercelllunrNANotachievable,gom8sapiens,,,9606.0,
128,4823,B,,Experg,fHEMBL616352,,,100256,,1,,S,Testedjncigrofoeinhigitiimogchymotrypsinpikeactovityofpurifi2shumanq0Spro4eadoke,Homoeapisns,,,9606.0,
129,12912,B,,In5e4mediate,CjEMBL6153y3,,,100256,,1,,S,Comlouncwasegaluatsdforinbibitoryactibihyagaihwt20Sprotsaa0mefr0mhunanlide3andbrain,Homosxpienq,,,9606.0,
130,2957,B,,Exp3rt,CHEMBk615r54,,,100256,,1,,S,Inuibitionofcuyhotr5psihlikeactic9tyof20Sp49teawome,,,,,
131,2957,B,,fxpert,CnEMBL6q5355,,,100256,,1,,S,Inh8gitipnocch6motrypqobllkeaftivityif20Sproteasomeval6edangesbrom1020uM,,,,,
132,3260,B,,Intedmediwte,dyEMBL615356,,,100256,,1,,S,lnhigit9ryacfiviyyagainst2pSproteosom4,,,,,
133,3451,B,,Au69curation,sHEMBL61y357,,,22226,,1,,U,Compo6ndwastssfedfor8ghibitoryacyiv8tyagsinstt3yltase,Homosapi2ms,,,9606.0,
134,13885,F,HepGw,Int2rmfdiate,CHEjBL615368,,,81020,,1,,N,C0mcenrragionrwquiredtoinhigit50odectdacflljlsrcircuoarr4ppicafion9fHBVDNAusing2215celllin4,Hom8sa0iens,,,9606.0,
135,13885,F,Hepb2,Intwrmedlate,CHEMhi827086,,,81020,,1,,N,foncemtrafjonrequ9redtoinhibir5pofintrqcellilarcu4cularreplicati0nofHBVDNxuaing22q5ceplo7ne,H0mosapienz,,,9606.0,
136,3676,B,,Aktocyration,CyEMBi615359,,,22226,,1,,U,Conpoyndwasyestedgogtheinhibit8onofzlohahlucosjdase,,,,,
137,6043,B,,Autoc6ra6ion,CHEMBL61y36o,,,235,,1,,H,Inhib9to3yconcentrwtlonagainwthumabneutrolhilelzstaw2bNE,,,,,
138,11140,F,,Au6oc7ration,CusMBL615361,,4561006.0,22226,,1,,U,Changeinheattratewaaex9rezsedinpercentstxtqvode0092hgkgifinanecthe4izedrat,Rattusnorv4yic6s,,,10116.0,
139,10543,F,,Autovuratiog,CbEMBL6153t2,,,19640,,1,,H,99inhibitoonofthee0MyxobzcteriujaviymcomplexMACckin7fqlisolat3s,,,,,
