Fiscal year,Branch name,CIDA business delivery model (old),Project number,Sector ID,Section name,FSTC percent,Youth issues (marker),CountryRegion name,Bilateral aid (international marker),Trade development (marker),Untied amount(Project-level budget),Status,Urban issues (marker),Climate change adaptation (marker),Branch ID,Desertification (marker),PBA type,Organisation class,Organisation type,Indigenous issues (marker),ICT as a tool for development (marker),CFLI (marker),CountryRegion percent,Regional program (marker),Participatory development and good governance,Children issues (marker),Fund centre name,Organisation sub-class,Division name,Enviromental sustainability (marker),IRTC percent,Disability issues (marker),Project Browser country ID,Organisation name,Maximum CIDA contribution (project-level),Division ID,Section ID,Fund centre ID,Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Knowledge for development (marker)
2009/2010,NGM Americas,Responsive,A019362001,24040,Caricom - Adm,1.0,0,Jamaica,1,0,3441416.83,Closed,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,0,0,Caribbean Regional - Jamaica,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,JM,DEVPAR FINANCIAL CONSULTING LTD,3441416.83,D4400,S4429,4439,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A019362001,24040,Caricom - Adm,1.0,0,Jamaica,1,0,3441416.83,Closed,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,0,0,Caribbean Regional - Jamaica,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,JM,MM LYNCH CONSULTANTS INTERNATIONAL,3441416.83,D4400,S4429,4439,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,15150,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,24030,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,25010,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,32110,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,32130,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,32182,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,41010,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A019608001,41020,Middle East and North Africa,1.0,0,Egypt,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Civil Society,Canadian Profit Making,0,1,0,1.0,0,1,0,Egypt,CONSULTING SERVICES,EDD Europe-Middle East Programming,1,0.0,0,EG,Cowater International Inc.,16700508.62,D3100,S4256,4263,Uncoded: Pre-APP,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",Directive,A020161001,43010,Middle East and North Africa,0.998334353,0,Algeria,1,0,0.0,Closed,0,0,B3100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Algeria,FEDERAL,EDD Europe-Middle East Programming,0,0.0,0,DZ,Department of Foreign Affairs and International Trade,328400.96,D3100,S4256,4259,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A020195001,15150,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,4000000.0,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,4610501.0,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A020195001,15160,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,4000000.0,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,4610501.0,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020222001,15110,"Ethiopia, PanAfrica, SubRegional",1.0,0,Ethiopia,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Ethiopia,SPECIALIZED INSTITUTE,WED Southern & Eastern Africa,0,0.0,0,ET,Parliamentary Centre,4229943.14,D4270,S4227,4229,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020222001,15111,"Ethiopia, PanAfrica, SubRegional",1.0,0,Ethiopia,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Ethiopia,SPECIALIZED INSTITUTE,WED Southern & Eastern Africa,0,0.0,0,ET,Parliamentary Centre,4229943.14,D4270,S4227,4229,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020222001,15130,"Ethiopia, PanAfrica, SubRegional",1.0,0,Ethiopia,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Ethiopia,SPECIALIZED INSTITUTE,WED Southern & Eastern Africa,0,0.0,0,ET,Parliamentary Centre,4229943.14,D4270,S4227,4229,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020222001,15150,"Ethiopia, PanAfrica, SubRegional",1.0,0,Ethiopia,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Ethiopia,SPECIALIZED INSTITUTE,WED Southern & Eastern Africa,0,0.0,0,ET,Parliamentary Centre,4229943.14,D4270,S4227,4229,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020222001,15160,"Ethiopia, PanAfrica, SubRegional",1.0,0,Ethiopia,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Ethiopia,SPECIALIZED INSTITUTE,WED Southern & Eastern Africa,0,0.0,0,ET,Parliamentary Centre,4229943.14,D4270,S4227,4229,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020246001,15110,Senegal Program,1.0,0,Senegal,1,0,4518387.69,Terminating,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Senegal,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,SN,Thompson Consultant Inc.,4518387.69,D4207,S4233,4238,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020246001,15110,Senegal Program,1.0,0,Senegal,1,0,4518387.69,Terminating,0,0,B4200,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Senegal,CONSULTANT,WWD West & Central Africa,0,0.0,0,SN,Information not available,4518387.69,D4207,S4233,4238,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020246001,24040,Senegal Program,1.0,0,Senegal,1,0,4518387.69,Terminating,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Senegal,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,SN,Thompson Consultant Inc.,4518387.69,D4207,S4233,4238,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020246001,24040,Senegal Program,1.0,0,Senegal,1,0,4518387.69,Terminating,0,0,B4200,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Senegal,CONSULTANT,WWD West & Central Africa,0,0.0,0,SN,Information not available,4518387.69,D4207,S4233,4238,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A020252001,11130,Caricom - Adm,1.0,0,Guyana,1,0,7850039.11,Closed,0,0,B4400,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Caribbean Regional - Guyana,CONSULTING SERVICES,NDD Americas Programming,0,0.0,0,GY,CRC Sogema Inc.,7850039.11,D4400,S4429,4438,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020272001,15110,Philippines and Mongolia,1.0,0,Philippines,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Philippines,FEDERAL,OAD Asia Programming,1,0.0,0,PH,Department of Foreign Affairs and International Trade,13000520.92,D4100,S4130,4128,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020272001,15111,Philippines and Mongolia,1.0,0,Philippines,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Philippines,FEDERAL,OAD Asia Programming,1,0.0,0,PH,Department of Foreign Affairs and International Trade,13000520.92,D4100,S4130,4128,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020272001,15150,Philippines and Mongolia,1.0,0,Philippines,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,1,0,1.0,0,1,0,Philippines,FEDERAL,OAD Asia Programming,1,0.0,0,PH,Department of Foreign Affairs and International Trade,13000520.92,D4100,S4130,4128,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020279001,15110,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Pakistan,1,0,0.0,Terminating,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Pakistan,FEDERAL,OAD Asia Programming,0,0.0,0,PK,Department of Foreign Affairs and International Trade,2645994.04,D4100,S4141,4124,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020392001,15110,Mozambique Program,1.0,0,Malawi,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,1,0,Malawi,CONSULTING SERVICES,WED Southern & Eastern Africa,0,0.0,0,MW,Agriteam Canada,7747230.74,D4270,S4271,4280,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020395001,43010,Bangladesh Section,0.5,0,Bangladesh,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Bangladesh,FEDERAL,OAD Asia Programming,0,0.0,0,BD,Department of Foreign Affairs and International Trade,4947637.32,D4100,S4122,4122,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020395001,43010,Bangladesh Section,0.5,0,Bangladesh,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Unknown,Uncoded,0,0,0,1.0,0,1,0,Bangladesh,Unknown,OAD Asia Programming,0,0.0,0,BD,Information not available,4947637.32,D4100,S4122,4122,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020398001,14031,Mozambique Program,1.0,0,Mozambique,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Mozambique,CONSULTANT,WED Southern & Eastern Africa,0,0.0,0,MZ,Information not available,9096651.0,D4270,S4271,4274,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020398001,14032,Mozambique Program,1.0,0,Mozambique,1,0,0.0,Closed,0,0,B4200,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Mozambique,CONSULTANT,WED Southern & Eastern Africa,0,0.0,0,MZ,Information not available,9096651.0,D4270,S4271,4274,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020449003,43010,Central Africa & Great Lakes Program,1.0,0,Cameroon,1,0,2457111.5,Closed,0,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Cameroon,FEDERAL,WWD West & Central Africa,1,0.0,0,CM,Department of Foreign Affairs and International Trade,2457111.5,D4207,S4287,4289,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020449003,43010,Central Africa & Great Lakes Program,1.0,0,Cameroon,1,0,2457111.5,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,1,0,Cameroon,SUPPLIER OF GOODS/SERVICES,WWD West & Central Africa,1,0.0,0,CM,D�M�NAGEMENT OUTAOUAIS INC.,2457111.5,D4207,S4287,4289,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020449003,43010,Central Africa & Great Lakes Program,1.0,0,Cameroon,1,0,2457111.5,Closed,0,0,B4200,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,1,0,Cameroon,COOPERANT,WWD West & Central Africa,1,0.0,0,CM,Information not available,2457111.5,D4207,S4287,4289,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020449003,43010,Central Africa & Great Lakes Program,1.0,0,Cameroon,1,0,2457111.5,Closed,0,0,B4200,0,Not PBA,Unknown,Uncoded,0,0,0,1.0,0,1,0,Cameroon,Unknown,WWD West & Central Africa,1,0.0,0,CM,Information not available,2457111.5,D4207,S4287,4289,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,15150,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Guinea,ASSOCIATIONS,WWD West & Central Africa,0,0.0,0,GN,UPA DI - Union des producteurs agricoles d�veloppement,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,15150,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,*Guinea,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,GN,Le Groupe Conseil Baastel Lt�e,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31161,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Guinea,ASSOCIATIONS,WWD West & Central Africa,0,0.0,0,GN,UPA DI - Union des producteurs agricoles d�veloppement,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31161,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,*Guinea,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,GN,Le Groupe Conseil Baastel Lt�e,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31166,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Guinea,ASSOCIATIONS,WWD West & Central Africa,0,0.0,0,GN,UPA DI - Union des producteurs agricoles d�veloppement,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31166,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,*Guinea,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,GN,Le Groupe Conseil Baastel Lt�e,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31181,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Guinea,ASSOCIATIONS,WWD West & Central Africa,0,0.0,0,GN,UPA DI - Union des producteurs agricoles d�veloppement,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31181,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,*Guinea,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,GN,Le Groupe Conseil Baastel Lt�e,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31191,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,*Guinea,ASSOCIATIONS,WWD West & Central Africa,0,0.0,0,GN,UPA DI - Union des producteurs agricoles d�veloppement,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020715001,31191,Senegal Program,1.0,0,Guinea,1,0,11427061.07,Closed,0,0,B4200,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,*Guinea,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,GN,Le Groupe Conseil Baastel Lt�e,11427061.07,D4207,S4233,4242,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020790001,15150,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Sri Lanka,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,1,Sri Lanka,NGO,OAD Asia Programming,0,0.0,0,LK,Foundation for International Training,4308867.95,D4100,S4141,4118,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A020790001,15160,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Sri Lanka,1,0,0.0,Closed,0,0,B4100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,0,1,Sri Lanka,NGO,OAD Asia Programming,0,0.0,0,LK,Foundation for International Training,4308867.95,D4100,S4141,4118,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020891001,11110,Mali Program Section,0.0,0,Mali,1,0,0.0,Closed,0,0,B4200,0,Other PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,1,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,3063216.68,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020891001,11110,Mali Program Section,0.0,0,Mali,1,0,0.0,Closed,0,0,B4200,0,Other PBA,Unknown,Uncoded,0,0,0,1.0,0,0,1,Mali,Unknown,WWD West & Central Africa,0,0.0,0,ML,Information not available,3063216.68,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020892001,11130,Mali Program Section,1.0,0,Mali,1,0,16726210.87,Closed,0,0,B4200,0,Other PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,16726210.87,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020892001,11130,Mali Program Section,1.0,0,Mali,1,0,16726210.87,Closed,0,0,B4200,0,Other PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Mali,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,ML,CAC International,16726210.87,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A020892001,11130,Mali Program Section,1.0,0,Mali,1,0,16726210.87,Closed,0,0,B4200,0,Other PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,0,0,Mali,CONSULTING SERVICES,WWD West & Central Africa,0,0.0,0,ML,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,16726210.87,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A020910001,11220,South America,1.0,0,South America,1,0,0.0,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,0.1,1,1,1,*Southern Cone,FEDERAL,NDD Americas Programming,1,0.0,0,UY,Department of Foreign Affairs and International Trade,1488850.78,D4400,S4413,4422,Uncoded: Pre-APP,0,0,0
