assays_ss_tp,assays_cnfdnc_scr,assays_b_frmt,assays_dscrptn,assays_ss_d,assays_ss_rgnsm,assays_td,assays_src_ss_d,assays_vrnt_d,assays_ss_tss,assays_ss_cll_tp,assays_rltnshp_tp,assays_dc_d,assays_ss_strn,assays_cll_d,assays_ss_ctgr,assays_tss_d,assays_ss_tst_tp,assays_src_d,assays_ss_tx_d,assays_chmbl_d,assays_crtd_b,assays_ss_sbclllr_frctn
A,1,BAO_0000218,Solubility was determined,7536,Rattus norvegicus,50597,,,,,N,17847,,,,,,1,10116.0,CHEMBL618658,Intermediate,
A,1,BAO_0000218,solubility in water (ug/mL) at 37 degree C.,7537,Rattus norvegicus,50597,,,,,N,15339,,,,,,1,10116.0,CHEMBL618659,Intermediate,
A,1,BAO_0000218,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,7538,Rattus norvegicus,50597,,,,,N,5202,,,,,,1,10116.0,CHEMBL618660,Intermediate,
A,1,BAO_0000218,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,7539,Rattus norvegicus,50597,,,,,N,1088,,,,,,1,10116.0,CHEMBL618661,Intermediate,
A,1,BAO_0000218,Half life in rats,7540,Rattus norvegicus,50597,,,,,N,3169,,,,,,1,10116.0,CHEMBL873807,Intermediate,
A,1,BAO_0000218,Half life in Dawley rat,7541,Rattus norvegicus,50597,,,,,N,5353,,,,,,1,10116.0,CHEMBL618662,Intermediate,
A,1,BAO_0000218,Half life period after 3 mg/kg iv administration,7542,Rattus norvegicus,50597,,,,,N,2864,,,,,In vivo,1,10116.0,CHEMBL618663,Intermediate,
A,1,BAO_0000218,Half life period after 3 mg/kg iv administration in rat,7543,Rattus norvegicus,50597,,,,,N,2864,,,,,In vivo,1,10116.0,CHEMBL618664,Intermediate,
A,1,BAO_0000218,Half life period after 3 mg/kg iv administration in the rat,7544,Rattus norvegicus,50597,,,,,N,2864,,,,,In vivo,1,10116.0,CHEMBL618665,Intermediate,
A,1,BAO_0000218,Half life period in female Sprague-Dawley rats,7545,Rattus norvegicus,50597,,,,,N,6362,,,,,,1,10116.0,CHEMBL876498,Intermediate,
A,1,BAO_0000218,Half life period in rat,7546,Rattus norvegicus,50597,,,,,N,6249,,,,,,1,10116.0,CHEMBL618666,Intermediate,
A,1,BAO_0000218,Half-life in rats was determined,7547,Rattus norvegicus,50597,,,,,N,3169,,,,,,1,10116.0,CHEMBL620440,Intermediate,
A,1,BAO_0000218,Half-life in rats with metabolic oxidation,7548,Rattus norvegicus,50597,,,,,N,3169,,,,,,1,10116.0,CHEMBL620441,Intermediate,
A,1,BAO_0000218,Half-life in rats,7549,Rattus norvegicus,50597,,,,,N,3169,,,,,,1,10116.0,CHEMBL620442,Intermediate,
A,1,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7550,Rattus norvegicus,50597,,,,,N,17260,,,,,In vivo,1,10116.0,CHEMBL620443,Intermediate,
A,1,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7551,Rattus norvegicus,50597,,,,,N,17260,,,,,In vivo,1,10116.0,CHEMBL620444,Intermediate,
A,1,BAO_0000218,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7552,Rattus norvegicus,50597,,,,,N,17260,,,,,In vivo,1,10116.0,CHEMBL620445,Intermediate,
A,1,BAO_0000218,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7553,Rattus norvegicus,50597,,,,,N,17260,,,,,In vivo,1,10116.0,CHEMBL620446,Intermediate,
A,1,BAO_0000218,Biological half-life measured in plasma of rat,7554,Rattus norvegicus,50597,,,Plasma,,N,2879,,,,1969.0,,1,10116.0,CHEMBL620447,Intermediate,
A,1,BAO_0000218,Biological half-life measured in plasma of rat; 22-25,7555,Rattus norvegicus,50597,,,Plasma,,N,2879,,,,1969.0,,1,10116.0,CHEMBL621129,Intermediate,
A,1,BAO_0000218,Biological half-life measured in plasma of rat; 9-16,7556,Rattus norvegicus,50597,,,Plasma,,N,2879,,,,1969.0,,1,10116.0,CHEMBL621130,Intermediate,
A,1,BAO_0000218,Compound was evaluated for its half life when administered intravenously in rat,7557,Rattus norvegicus,50597,,,,,N,3184,,,,,In vivo,1,10116.0,CHEMBL873808,Intermediate,
A,1,BAO_0000218,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,7558,Rattus norvegicus,50597,,,,,N,4891,,,,,In vivo,1,10116.0,CHEMBL876598,Intermediate,
A,1,BAO_0000218,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,7559,Rattus norvegicus,50597,,,,,N,429,,,,,In vivo,1,10116.0,CHEMBL621131,Intermediate,
A,1,BAO_0000218,Half life (T1/2) after oral administration in rat,7560,Rattus norvegicus,50597,,,,,N,5656,,,,,In vivo,1,10116.0,CHEMBL621132,Intermediate,
A,1,BAO_0000218,Half life of compound after iv administration of 20 mg/kg dose in rat,7561,Rattus norvegicus,50597,,,,,N,4413,,,,,In vivo,1,10116.0,CHEMBL621133,Intermediate,
A,1,BAO_0000218,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,7562,Rattus norvegicus,50597,,,,,N,3598,,,,,In vivo,1,10116.0,CHEMBL621312,Expert,
A,1,BAO_0000218,Half life of compound was determined in rat,7563,Rattus norvegicus,50597,,,,,N,17267,,,,,,1,10116.0,CHEMBL621313,Intermediate,
A,1,BAO_0000218,Half life of compound was determined in rat blood,7564,Rattus norvegicus,50597,,,Blood,,N,4727,,,,178.0,,1,10116.0,CHEMBL621314,Intermediate,
A,1,BAO_0000218,Half life at 1 mg/kg was determined in rat,7565,Rattus norvegicus,50597,,,,,N,17651,,,,,In vivo,1,10116.0,CHEMBL621315,Intermediate,
A,1,BAO_0000218,Half life at 10 mg/kg was determined in rat,7566,Rattus norvegicus,50597,,,,,N,17651,,,,,In vivo,1,10116.0,CHEMBL621316,Intermediate,
A,1,BAO_0000218,Half life in rats,7567,Rattus norvegicus,50597,,,,,N,401,,,,,,1,10116.0,CHEMBL621317,Intermediate,
A,1,BAO_0000218,Half life in rats in hours,7568,Rattus norvegicus,50597,,,,,N,4942,,,,,,1,10116.0,CHEMBL621318,Intermediate,
A,1,BAO_0000218,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7569,Rattus norvegicus,50597,,,,,N,17735,,,,,In vivo,1,10116.0,CHEMBL621319,Intermediate,
A,1,BAO_0000218,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,7570,Rattus norvegicus,50597,,,,,N,6056,,,,,In vivo,1,10116.0,CHEMBL621377,Intermediate,
A,1,BAO_0000218,Half life was determined,7571,Rattus norvegicus,50597,,,,,N,5213,,,,,,1,10116.0,CHEMBL621378,Intermediate,
A,1,BAO_0000218,Half life after i.v. administration,7572,Rattus norvegicus,50597,,,,,N,6616,,,,,In vivo,1,10116.0,CHEMBL876599,Intermediate,
A,1,BAO_0000218,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,7573,Rattus norvegicus,50597,,,,,N,5937,,,,,In vivo,1,10116.0,CHEMBL621379,Intermediate,
A,1,BAO_0000218,Half life in rat plasma,7574,Rattus norvegicus,50597,,,Plasma,,N,5819,,,,1969.0,,1,10116.0,CHEMBL621380,Intermediate,
A,1,BAO_0000218,Half life in rat plasma; Not detected,7575,Rattus norvegicus,50597,,,Plasma,,N,5819,,,,1969.0,,1,10116.0,CHEMBL621381,Intermediate,
A,1,BAO_0000218,Half life in rats,7576,Rattus norvegicus,50597,,,,,N,6803,,,,,,1,10116.0,CHEMBL618515,Intermediate,
A,1,BAO_0000218,Half life period of compound was determined after peroral administration,7577,Rattus norvegicus,50597,,,,,N,17804,,,,,In vivo,1,10116.0,CHEMBL618516,Intermediate,
A,1,BAO_0000218,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,7578,Rattus norvegicus,50597,,,,,N,17804,,,,,In vivo,1,10116.0,CHEMBL618517,Intermediate,
A,1,BAO_0000218,Half life period in rat,7579,Rattus norvegicus,50597,,,,,N,5948,,,,,,1,10116.0,CHEMBL618518,Intermediate,
A,1,BAO_0000218,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,7580,Rattus norvegicus,50597,,,,,N,1916,,,,,In vivo,1,10116.0,CHEMBL618519,Intermediate,
A,1,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,7581,Rattus norvegicus,50597,,,,,N,1916,,,,,In vivo,1,10116.0,CHEMBL618698,Intermediate,
A,1,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,7582,Rattus norvegicus,50597,,,,,N,1916,,,,,In vivo,1,10116.0,CHEMBL618862,Intermediate,
A,1,BAO_0000218,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,7583,Rattus norvegicus,50597,,,,,N,4890,,,,,In vivo,1,10116.0,CHEMBL618863,Intermediate,
A,1,BAO_0000218,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,7584,Rattus norvegicus,50597,,,,,N,17764,,,,,In vivo,1,10116.0,CHEMBL618864,Intermediate,
A,1,BAO_0000218,Half life time in rat the dose of 2 mg/kg,7585,Rattus norvegicus,50597,,,,,N,4727,,,,,In vivo,1,10116.0,CHEMBL618865,Intermediate,
A,1,BAO_0000218,Half-life 24 hr after 10 mg/kg iv administration in rats,7586,Rattus norvegicus,50597,,,,,N,17509,,,,,In vivo,1,10116.0,CHEMBL618866,Intermediate,
A,1,BAO_0000218,Half-life 24 hr after 2 mg/kg iv administration in rats,7587,Rattus norvegicus,50597,,,,,N,17509,,,,,In vivo,1,10116.0,CHEMBL618867,Intermediate,
A,1,BAO_0000218,Half-life consistent with the observed metabolic steady state in rats,7588,Rattus norvegicus,50597,,,,,N,6597,,,,,,1,10116.0,CHEMBL875828,Intermediate,
A,1,BAO_0000218,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7589,Rattus norvegicus,50597,,,,,N,17735,,,,,In vivo,1,10116.0,CHEMBL618868,Intermediate,
A,1,BAO_0000218,Half-life for oxidative metabolic stability was determined using male human,7590,Rattus norvegicus,50597,,,,,N,6597,,,,,,1,10116.0,CHEMBL618869,Intermediate,
A,1,BAO_0000218,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",7591,Rattus norvegicus,50597,,,,,N,17670,,,,,In vivo,1,10116.0,CHEMBL618870,Intermediate,
A,1,BAO_0000218,Half-life in rat plasma,7592,Rattus norvegicus,50597,,,Plasma,,N,1696,,,,1969.0,,1,10116.0,CHEMBL618871,Intermediate,
A,1,BAO_0000218,Half-life in rat plasma was determined,7593,Rattus norvegicus,50597,,,Plasma,,N,1742,,,,1969.0,,1,10116.0,CHEMBL618872,Intermediate,
A,1,BAO_0000218,Half-life in rats was determined,7594,Rattus norvegicus,50597,,,,,N,17800,,,,,,1,10116.0,CHEMBL873816,Intermediate,
A,0,BAO_0000218,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,7595,,22224,,,,,U,12923,,,,,,1,,CHEMBL618873,Autocuration,
A,0,BAO_0000019,Area under curve after oral dose of 0.1 mg//kg,7596,,22224,,,,,U,11954,,,,,,1,,CHEMBL621602,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 0.3 mg/kg,7597,,22224,,,,,U,11954,,,,,,1,,CHEMBL621603,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 1 mg/kg,7598,,22224,,,,,U,11954,,,,,,1,,CHEMBL621604,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 10 mg/kg,7599,,22224,,,,,U,11954,,,,,,1,,CHEMBL621605,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 23.4 mg/kg,7600,,22224,,,,,U,11954,,,,,,1,,CHEMBL621606,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 3 mg/kg,7601,,22224,,,,,U,11954,,,,,,1,,CHEMBL621607,Autocuration,
A,0,BAO_0000218,Area under curve after oral dose of 3.87 mg/kg,7602,,22224,,,,,U,11954,,,,,,1,,CHEMBL621608,Autocuration,
A,0,BAO_0000019,Area under curve was determined,7603,,22224,,,,,U,5237,,,,,,1,,CHEMBL621609,Autocuration,
A,0,BAO_0000218,Area under curve at a dose of 10 mg/kg,7604,,22224,,,,,U,4026,,,,,,1,,CHEMBL621610,Autocuration,
A,1,BAO_0000218,Area under curve was determined; ND=No data,7605,Rattus norvegicus,50597,,,,,N,5237,,,,,,1,10116.0,CHEMBL621611,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7606,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL621612,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7607,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622308,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7608,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622309,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,7609,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622310,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7610,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622311,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,7611,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622312,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7612,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622931,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,7613,Rattus norvegicus,50597,,,,,N,14793,,,,,,1,10116.0,CHEMBL622932,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7614,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622736,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7615,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622737,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7616,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622738,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,7617,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622739,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7618,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622740,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,7619,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622741,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7620,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622742,Intermediate,
A,1,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,7621,Rattus norvegicus,50597,,,Plasma,,N,14793,,,,1969.0,,1,10116.0,CHEMBL622743,Intermediate,
A,1,BAO_0000218,AUC in mice,7622,Mus musculus,50594,,,Plasma,,N,11637,,,,1969.0,,1,10090.0,CHEMBL622744,Intermediate,
A,0,BAO_0000019,Area under curve was measured from the graph obtained from concentration Vs time,7623,,22224,,,,,U,11149,,,,,,1,,CHEMBL624134,Autocuration,
A,0,BAO_0000019,Area under curve value of compound per hour after oral administration,7624,,22224,,,,,U,10016,,,,,,1,,CHEMBL624135,Autocuration,
A,1,BAO_0000218,Area under curve was determined after oral administration in rats,7625,Rattus norvegicus,50597,,,,,N,17796,,,,,,1,10116.0,CHEMBL624136,Intermediate,
A,1,BAO_0000218,Area under curve was determined after oral administration in rats; No data,7626,Rattus norvegicus,50597,,,,,N,17796,,,,,,1,10116.0,CHEMBL624137,Intermediate,
A,1,BAO_0000218,Area under curve was determined after oral administration in rats;No data,7627,Rattus norvegicus,50597,,,,,N,17796,,,,,,1,10116.0,CHEMBL624320,Intermediate,
A,1,BAO_0000218,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,7628,Canis lupus familiaris,50588,,,,,N,12923,,,,,,1,9615.0,CHEMBL624321,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,7629,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624322,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.06 in rats,7630,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624323,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,7631,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624324,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,7632,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624325,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,7633,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624326,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,7634,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624327,Intermediate,
A,1,BAO_0000218,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,7635,Rattus norvegicus,50597,,,,,N,15372,,,,,,1,10116.0,CHEMBL624328,Intermediate,
A,1,BAO_0000218,Area under curve was determined in Dogs after peroral administration,7636,Canis lupus familiaris,50588,,,,,N,14169,,,,,,1,9615.0,CHEMBL627848,Intermediate,
A,1,BAO_0000218,Area under curve was determined in Rats after peroral administration,7637,Rattus norvegicus,50597,,,,,N,14169,,,,,,1,10116.0,CHEMBL627849,Intermediate,
A,1,BAO_0000218,Area under curve was determined in carotid blood of rat when administered intradermally,7638,Rattus norvegicus,50597,,,,,N,14258,,,,,,1,10116.0,CHEMBL627850,Intermediate,
A,1,BAO_0000218,Area under curve was determined in portal blood of rat when administered intradermally,7639,Rattus norvegicus,50597,,,,,N,14258,,,,,,1,10116.0,CHEMBL627851,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7640,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627852,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7641,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627853,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),7642,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627854,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7643,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627855,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),7644,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627856,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7645,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL875339,Intermediate,
A,1,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),7646,Mus musculus,50594,,,,,N,15011,,,,,,1,10090.0,CHEMBL627857,Intermediate,
A,1,BAO_0000218,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,7647,Rattus norvegicus,50597,,,Spleen,,N,11195,,,,2106.0,In vivo,1,10116.0,CHEMBL627858,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,7648,Rattus norvegicus,50597,,,Blood,,N,10130,,,,178.0,,1,10116.0,CHEMBL627859,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,7649,Rattus norvegicus,50597,,,Brain,,N,10130,,,,955.0,,1,10116.0,CHEMBL627860,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,7650,Rattus norvegicus,50597,,,Heart,,N,10130,,,,948.0,,1,10116.0,CHEMBL627019,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,7651,Rattus norvegicus,50597,,,Liver,,N,10130,,,,2107.0,,1,10116.0,CHEMBL627020,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,7652,Rattus norvegicus,50597,,,Lung,,N,10130,,,,2048.0,,1,10116.0,CHEMBL627021,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,7653,Rattus norvegicus,50597,,,Muscle tissue,,N,10130,,,,2385.0,,1,10116.0,CHEMBL627022,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,7654,Rattus norvegicus,50597,,,,,N,10130,,,,,,1,10116.0,CHEMBL627023,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,7655,Rattus norvegicus,50597,,,Spleen,,N,10130,,,,2106.0,,1,10116.0,CHEMBL627024,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,7656,Rattus norvegicus,50597,,,Thyroid gland,,N,10130,,,,2046.0,,1,10116.0,CHEMBL627025,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,7657,Rattus norvegicus,50597,,,Kidney,,N,10130,,,,2113.0,,1,10116.0,CHEMBL627026,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,7658,Rattus norvegicus,50597,,,Blood,,N,10130,,,,178.0,,1,10116.0,CHEMBL627027,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,7659,Rattus norvegicus,50597,,,Brain,,N,10130,,,,955.0,,1,10116.0,CHEMBL627028,Intermediate,
A,1,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,7660,Rattus norvegicus,50597,,,Heart,,N,10130,,,,948.0,,1,10116.0,CHEMBL627029,Intermediate,
