assay_id,assay_tissue,doc_id,tissue_id,assay_organism,assay_category,cell_id,assay_tax_id,assay_subcellular_fraction,curated_by,assay_strain,description,assay_type,assay_test_type,assay_cell_type,tid,relationship_type
46,,13163,,Homo sapiens,,,9606.0,,Autocuration,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,20001,H
47,,10691,,Rattus norvegicus,,,10116.0,,Expert,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,12971,D
48,,10691,,Rattus norvegicus,,,10116.0,,Expert,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,12971,D
49,,10691,,Rattus norvegicus,,,10116.0,,Expert,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,12971,D
50,,10691,,Rattus norvegicus,,,10116.0,,Expert,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,12971,D
51,,898,,,,,,,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,13053,H
52,,912,,,,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,11512,H
53,,912,,,,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,11512,H
54,,912,,,,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,11512,H
55,,15103,,Rattus norvegicus,,,10116.0,Membranes,Autocuration,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,104740,D
56,,5116,,Homo sapiens,,506.0,9606.0,,Intermediate,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,1A9,80002,N
57,,14578,,Rattus norvegicus,,,10116.0,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Oocytes,104835,D
58,,14578,,Rattus norvegicus,,,10116.0,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Oocytes,104821,D
59,,14578,,Rattus norvegicus,,,10116.0,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Oocytes,104848,D
60,,4787,,Homo sapiens,,506.0,9606.0,,Expert,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,1A9,80002,N
61,,4787,,Homo sapiens,,506.0,9606.0,,Intermediate,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,1A9,80002,N
62,,3547,,Homo sapiens,,506.0,9606.0,,Intermediate,,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,1A9,80002,N
63,,3547,,Homo sapiens,,506.0,9606.0,,Intermediate,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,1A9,80002,N
64,,6726,,Homo sapiens,,506.0,9606.0,,Intermediate,,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,1A9,80002,N
65,,3455,,Homo sapiens,,506.0,9606.0,,Expert,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,1A9,80002,N
66,,5726,,Homo sapiens,,506.0,9606.0,,Intermediate,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,1A9,80002,N
67,,5726,,Homo sapiens,,506.0,9606.0,,Intermediate,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,1A9,80002,N
68,,5726,,Homo sapiens,,506.0,9606.0,,Intermediate,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,1A9,80002,N
69,,3395,,Homo sapiens,,506.0,9606.0,,Intermediate,,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,1A9,80002,N
70,,3415,,Homo sapiens,,506.0,9606.0,,Expert,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,1A9,80002,N
71,,3415,,Homo sapiens,,506.0,9606.0,,Expert,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,1A9,80002,N
72,,17099,,Homo sapiens,,506.0,9606.0,,Expert,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,1A9,80002,N
73,,17099,,Homo sapiens,,506.0,9606.0,,Intermediate,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,1A9,80002,N
74,,17099,,Homo sapiens,,506.0,9606.0,,Intermediate,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,1A9,80002,N
75,,17099,,Homo sapiens,,506.0,9606.0,,Intermediate,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,1A9,80002,N
76,,17721,,Homo sapiens,,503.0,9606.0,,Intermediate,,Inhibitory concentration against Jurkat cells,F,,Jurkat,81072,N
77,,1229,,,,,,,Intermediate,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,22226,U
78,,11347,,Rattus norvegicus,,,10116.0,,Expert,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,100121,D
79,,17117,,,,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,11231,H
80,,17117,,,,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,11231,H
81,,17117,,,,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,11231,H
82,,11375,,Candida albicans,,,5476.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,11231,H
83,,11375,,Candida albicans,,,5476.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,11231,H
84,,11375,,Saccharomyces cerevisiae,,,4932.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,11231,H
85,,11375,,Saccharomyces cerevisiae,,,4932.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,11231,H
86,Liver,11375,2107.0,Sus scrofa,,,9823.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,12083,H
87,,791,,Rattus norvegicus,,,10116.0,,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,11231,H
88,,791,,Rattus norvegicus,,,10116.0,,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,11231,H
89,,791,,Rattus norvegicus,,,10116.0,,Autocuration,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,11231,H
90,Liver,11375,2107.0,Rattus norvegicus,,,10116.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,12083,D
91,Liver,11375,2107.0,Rattus norvegicus,,,10116.0,Microsomes,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,12083,D
92,Liver,153,2107.0,Rattus norvegicus,,,10116.0,Microsomes,Autocuration,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,12083,D
93,,8269,,,,,,,Expert,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,11377,H
94,,8269,,,,,,,Expert,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,11377,H
95,,17653,,Homo sapiens,,726.0,9606.0,,Expert,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,HepG2,81020,N
96,,14277,,Homo sapiens,,726.0,9606.0,,Intermediate,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,HepG2,81020,N
97,,1717,,Homo sapiens,,726.0,9606.0,,Intermediate,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,HepG2,81020,N
98,,14091,,Homo sapiens,,726.0,9606.0,,Intermediate,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,HepG2,81020,N
99,,14091,,Homo sapiens,,726.0,9606.0,,Intermediate,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,HepG2,81020,N
100,,17653,,Hepatitis B virus,,,10407.0,,Expert,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,50606,N
101,,13105,,Homo sapiens,,726.0,9606.0,,Intermediate,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,HepG2,81020,N
102,,1717,,Homo sapiens,,726.0,9606.0,,Intermediate,,Concentration required to inhibit 50% of 2.2.15 cell line,F,,HepG2,81020,N
103,,13105,,Homo sapiens,,726.0,9606.0,,Intermediate,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,HepG2,81020,N
104,,13600,,Homo sapiens,,,9606.0,,Intermediate,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,2.2.15,50587,N
105,,13467,,Homo sapiens,,,9606.0,,Intermediate,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,2.2.15,50587,N
106,,17477,,Hepatitis B virus,,,10407.0,,Expert,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,2.2.15,50606,N
107,,1593,,Homo sapiens,,,9606.0,,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells,F,,2.2.15,50587,N
108,,1593,,Homo sapiens,,,9606.0,,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,2.2.15,50587,N
109,,15089,,Homo sapiens,,,9606.0,,Intermediate,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,2.2.15,50587,N
110,,15089,,Homo sapiens,,,9606.0,,Intermediate,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,2.2.15,50587,N
111,,1593,,Homo sapiens,,,9606.0,,Intermediate,,Cytotoxicity in 2.2.15 cells,F,,2.2.15,50587,N
112,,1593,,Homo sapiens,,,9606.0,,Intermediate,,Cytotoxicity in 2.2.15 cells; Not determined,F,,2.2.15,50587,N
113,,13600,,Homo sapiens,,,9606.0,,Intermediate,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,2.2.15,50587,N
114,,13467,,Homo sapiens,,,9606.0,,Intermediate,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,2.2.15,50587,N
115,,13467,,Homo sapiens,,,9606.0,,Intermediate,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,2.2.15,50587,N
116,,14764,,Homo sapiens,,726.0,9606.0,,Intermediate,,Antiviral activity against HBV was determined in 2.215 cell line,F,,HepG2,81020,N
117,,6531,,Homo sapiens,,,9606.0,Microsomes,Autocuration,,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,22226,U
118,,17322,,,,,,,Autocuration,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,22226,U
119,,17072,,Homo sapiens,,388.0,9606.0,,Intermediate,,Inhibitory concentration against 2008 (ovarian) cells,F,,2008,80612,N
120,,16936,,Homo sapiens,,388.0,9606.0,,Intermediate,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,2008,80612,N
121,,16936,,Homo sapiens,,388.0,9606.0,,Intermediate,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,2008,80612,N
122,,17146,,Homo sapiens,,388.0,9606.0,,Intermediate,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,2008,80612,N
123,,17146,,Homo sapiens,,388.0,9606.0,,Intermediate,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,2008,80612,N
124,,10797,,Homo sapiens,,561.0,9606.0,,Intermediate,,In vitro inhibition of 2008/R ovarian cancer cell line,F,,2008/R,80613,N
125,,10797,,Homo sapiens,,561.0,9606.0,,Intermediate,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,2008/R,80613,N
126,,10797,,Homo sapiens,,389.0,9606.0,,Intermediate,,In vitro inhibition of 2008/S ovarian cancer cell line,F,,2008/S,80614,N
127,,10797,,Homo sapiens,,389.0,9606.0,,Intermediate,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,2008/S,80614,N
128,,4823,,Homo sapiens,,,9606.0,,Expert,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,100256,S
129,,12912,,Homo sapiens,,,9606.0,,Intermediate,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,100256,S
130,,2957,,,,,,,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,100256,S
131,,2957,,,,,,,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,100256,S
132,,3260,,,,,,,Intermediate,,Inhibitory activity against 20S proteosome,B,,,100256,S
133,,3451,,Homo sapiens,,,9606.0,,Autocuration,,Compound was tested for inhibitory activity against tryptase,B,,,22226,U
134,,13885,,Homo sapiens,,726.0,9606.0,,Intermediate,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,HepG2,81020,N
135,,13885,,Homo sapiens,,726.0,9606.0,,Intermediate,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,HepG2,81020,N
136,,3676,,,,,,,Autocuration,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,22226,U
137,,6043,,,,,,,Autocuration,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,235,H
138,Heart,11140,948.0,Rattus norvegicus,,,10116.0,,Autocuration,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,22226,U
139,,10543,,,,,,,Autocuration,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,19640,H
140,,10543,,,,,,,Expert,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,19640,H
141,,10543,,,,,,,Autocuration,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,19640,H
142,,10543,,,,,,,Expert,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,19640,H
143,,11365,,Mus musculus,,524.0,10090.0,,Intermediate,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,P338,80360,N
144,,11365,,Mus musculus,,524.0,10090.0,,Intermediate,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,P338,80360,N
145,,11803,,Homo sapiens,,554.0,9606.0,,Intermediate,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,PBL,80384,N
146,,11803,,Ovis aries,,,9940.0,,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,22226,U
147,,11803,,Ovis aries,,,9940.0,,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,22226,U
148,,12278,,,,,,,Autocuration,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,191,H
149,,8249,,Homo sapiens,,,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,22226,U
150,,8249,,Homo sapiens,,,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,22226,U
151,,8249,,Homo sapiens,,635.0,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,CCRF-CEM,22226,U
152,,8249,,Homo sapiens,,635.0,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,CCRF-CEM,22226,U
153,,8249,,Homo sapiens,,635.0,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,CCRF-CEM,22226,U
154,,8249,,Homo sapiens,,635.0,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,CCRF-CEM,22226,U
155,,8249,,Homo sapiens,,,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,22226,U
156,,8249,,Homo sapiens,,,9606.0,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,22226,U
157,,16992,,,,,,,Autocuration,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,104290,H
158,,10543,,Streptococcus pyogenes,,,1314.0,,Intermediate,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,50264,N
159,,17833,,Human herpesvirus 3,,,10335.0,,Intermediate,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,50527,N
160,,17290,,vericilla zoster virus,,468.0,10335.0,,Expert,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,HEL,50527,N
161,,17290,,vericilla zoster virus,,,10335.0,,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,50527,N
162,,17290,,vericilla zoster virus,,,10335.0,,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,50527,N
163,,10932,,escherichia cloac,,,561.0,,Intermediate,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,50145,N
164,,9707,,,,,,,Autocuration,,Ratio of Ki at A2 to Ki at A1 receptors,B,,,22226,U
165,,2346,,Candida albicans,,,5476.0,,Expert,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,11143,H
166,,2205,,Candida glabrata CBS 138,,,284593.0,,Expert,,"Inhibition of 1,3-beta-glucan synthase",B,,,18077,H
167,,11900,,Homo sapiens,,832.0,9606.0,,Intermediate,,Inhibition of growth of 1-87 human tumor cell line,F,,1-87 tumor cell line,80609,N
168,,14864,,Rattus norvegicus,,,10116.0,,Expert,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,12166,D
169,,16474,,Glycine max,,,3847.0,,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,100171,D
170,,16474,,Glycine max,,,3847.0,,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,100171,D
171,,16474,,Glycine max,,,3847.0,,Autocuration,,% inhibition against soybean 1-lipoxygenase (SLO),B,,,100171,D
172,,16474,,Glycine max,,,3847.0,,Autocuration,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,100171,D
173,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,100171,D
174,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,100171,D
175,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,100171,D
176,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,100171,D
177,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,100171,D
178,,3094,,Glycine max,,,3847.0,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,100171,D
