Fiscal year,Gender equality (marker),Sector ID,Regional program (marker),Project Browser country ID,Project number,Sector name,Biodiversity (marker),Organisation class,Untied amount(Project-level budget),Section name,Maximum CIDA contribution (project-level),Children issues (marker),Enviromental sustainability (marker),ICT as a tool for development (marker),Amount spent,Section ID,Sector percent,Branch ID,Fund centre ID,Fund centre name,Status,IRTC percent,Division ID,Youth issues (marker),FSTC percent,Knowledge for development (marker),Trade development (marker),CFLI (marker),Indigenous issues (marker),CountryRegion ID,Programming process (new),Participatory development and good governance,Urban issues (marker),Continent name,Disability issues (marker),Organisation ID,Organisation name,Organisation type,Organisation sub-class,Continent ID,CountryRegion name,CountryRegion percent
2009/2010,0,72050,0,X3,M013176001,Relief co-ordination; protection and support services,0,Civil Society,600000.0,MHO Huma Organization & Food Assistance,600000.0,0,1,0,90000.0,S5330,1.0,B5100,5230,MHO Inst Strengtherning,Closed,0.0,D5301,0,0.0,1,0,0,0,X3,Uncoded: Pre-APP,1,0,Asia,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,3,Asia MC,0.3
2009/2010,0,72050,0,X4,M013176001,Relief co-ordination; protection and support services,0,Civil Society,600000.0,MHO Huma Organization & Food Assistance,600000.0,0,1,0,30000.0,S5330,1.0,B5100,5230,MHO Inst Strengtherning,Closed,0.0,D5301,0,0.0,1,0,0,0,X4,Uncoded: Pre-APP,1,0,Europe,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,5,Europe MC,0.1
2009/2010,0,72040,0,YE,M013177001,Emergency food aid,0,Multilateral,1800000.0,MHI International Humanitarian Assis ops,1800000.0,0,0,0,500000.0,S5320,1.0,B5100,5309,MHI Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,YE,Uncoded: Pre-APP,0,0,Asia,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,3,Yemen,1.0
2009/2010,0,72040,0,CO,M013178001,Emergency food aid,0,Multilateral,3000000.0,MHI International Humanitarian Assis ops,3000000.0,0,0,0,1500000.0,S5320,1.0,B5100,5309,MHI Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,CO,Uncoded: Pre-APP,0,0,America,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,1,Colombia,1.0
2009/2010,1,72040,0,TD,M013180001,Emergency food aid,0,Multilateral,6500000.0,MHI International Humanitarian Assis ops,6500000.0,0,0,0,6500000.0,S5320,1.0,B5100,5309,MHI Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,TD,Uncoded: Pre-APP,0,0,Africa,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,2,Chad,1.0
2009/2010,0,72040,0,SD,M013181001,Emergency food aid,0,Multilateral,22450000.0,MHI International Humanitarian Assis ops,22450000.0,0,0,0,3950000.0,S5320,1.0,B5100,5309,MHI Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,SD,Uncoded: Pre-APP,0,0,Africa,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,2,Sudan,1.0
2009/2010,1,72010,0,X1,M013182001,Material relief assistance and services,0,Multilateral,14000000.0,MHO Huma Organization & Food Assistance,14000000.0,0,0,0,6300000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Closed,0.0,D5301,0,0.0,0,0,0,0,X1,Uncoded: Pre-APP,0,0,Africa,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,2,Africa MC,0.45
2009/2010,1,72010,0,X2,M013182001,Material relief assistance and services,0,Multilateral,14000000.0,MHO Huma Organization & Food Assistance,14000000.0,0,0,0,700000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Closed,0.0,D5301,0,0.0,0,0,0,0,X2,Uncoded: Pre-APP,0,0,America,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,1,Americas MC,0.05
2009/2010,1,72010,0,X3,M013182001,Material relief assistance and services,0,Multilateral,14000000.0,MHO Huma Organization & Food Assistance,14000000.0,0,0,0,6300000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Closed,0.0,D5301,0,0.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,3,Asia MC,0.45
2009/2010,1,72010,0,X4,M013182001,Material relief assistance and services,0,Multilateral,14000000.0,MHO Huma Organization & Food Assistance,14000000.0,0,0,0,700000.0,S5330,1.0,B5100,5311,MHO Non Food - CORE,Closed,0.0,D5301,0,0.0,0,0,0,0,X4,Uncoded: Pre-APP,0,0,Europe,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.05
2009/2010,0,72010,0,X3,M013183001,Material relief assistance and services,0,Civil Society,500000.0,MHI International Humanitarian Assis ops,500000.0,0,0,0,500000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia MC,1.0
2009/2010,0,72050,0,X1,M013184001,Relief co-ordination; protection and support services,0,Multilateral,2700000.0,MHI International Humanitarian Assis ops,2700000.0,0,0,0,1350000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,X1,Uncoded: Pre-APP,0,0,Africa,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,2,Africa MC,0.5
2009/2010,0,72050,0,X2,M013184001,Relief co-ordination; protection and support services,0,Multilateral,2700000.0,MHI International Humanitarian Assis ops,2700000.0,0,0,0,405000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,X2,Uncoded: Pre-APP,0,0,America,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,1,Americas MC,0.15
2009/2010,0,72050,0,X3,M013184001,Relief co-ordination; protection and support services,0,Multilateral,2700000.0,MHI International Humanitarian Assis ops,2700000.0,0,0,0,810000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,3,Asia MC,0.3
2009/2010,0,72050,0,X4,M013184001,Relief co-ordination; protection and support services,0,Multilateral,2700000.0,MHI International Humanitarian Assis ops,2700000.0,0,0,0,135000.0,S5320,1.0,B5100,5303,MHI Non-Food INIT,Closed,0.0,D5301,0,0.0,0,0,0,0,X4,Uncoded: Pre-APP,0,0,Europe,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,5,Europe MC,0.05
2009/2010,1,31110,0,AF,M013185001,Agricultural policy and administrative management,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,39000.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31120,0,AF,M013185001,Agricultural development,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,39000.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31150,0,AF,M013185001,Agricultural inputs,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31161,0,AF,M013185001,Food crop production,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31166,0,AF,M013185001,Agricultural extension,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31182,0,AF,M013185001,Agricultural research,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31191,0,AF,M013185001,Agricultural services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31193,0,AF,M013185001,Agricultural financial services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,19500.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,AF,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Afghanistan,0.0065
2009/2010,1,31110,0,BD,M013185001,Agricultural policy and administrative management,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,630000.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31120,0,BD,M013185001,Agricultural development,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,630000.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31150,0,BD,M013185001,Agricultural inputs,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31161,0,BD,M013185001,Food crop production,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31166,0,BD,M013185001,Agricultural extension,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31182,0,BD,M013185001,Agricultural research,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31191,0,BD,M013185001,Agricultural services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31193,0,BD,M013185001,Agricultural financial services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,315000.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BD,Uncoded: Pre-APP,0,0,Asia,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Bangladesh,0.105
2009/2010,1,31110,0,BI,M013185001,Agricultural policy and administrative management,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,48600.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31120,0,BI,M013185001,Agricultural development,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,48600.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31150,0,BI,M013185001,Agricultural inputs,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31161,0,BI,M013185001,Food crop production,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31166,0,BI,M013185001,Agricultural extension,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31182,0,BI,M013185001,Agricultural research,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31191,0,BI,M013185001,Agricultural services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31193,0,BI,M013185001,Agricultural financial services,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,24300.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BI,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Burundi,0.0081
2009/2010,1,31110,0,BJ,M013185001,Agricultural policy and administrative management,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,43800.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
2009/2010,1,31120,0,BJ,M013185001,Agricultural development,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,43800.0,S5460,0.2,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
2009/2010,1,31150,0,BJ,M013185001,Agricultural inputs,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,21900.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
2009/2010,1,31161,0,BJ,M013185001,Food crop production,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,21900.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
2009/2010,1,31166,0,BJ,M013185001,Agricultural extension,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,21900.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
2009/2010,1,31182,0,BJ,M013185001,Agricultural research,0,Multilateral,30000000.0,*Bretton Woods Inst Fin Prog,30000000.0,0,1,0,21900.0,S5460,0.1,B5100,5461,*World Bank Group,Operational,0.0,D5430,0,0.1,0,1,0,0,BJ,Uncoded: Pre-APP,0,0,Africa,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Benin,0.0073
