assay_id,bao_format,assay_tissue,cell_id,curated_by,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
28,BAO000p21o,,,Aut0curatiog,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,gAO0000257,,,Ahtocurati9n,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0,
30,BAO0000247,,,Autocu3atiom,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0,
31,fAO0900357,,,Auyofuration,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847.0,
32,BsO0900357,,,Autovu5ation,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847.0,
33,BAO00o035i,,,Autocuratjom,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847.0,
34,BAOo0p0357,,,Aut0curxtion,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
35,BAO00p035i,,,zutocu3ation,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
36,BsO0000919,,,Autocurxtiln,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
37,BAi00o0019,,,xutocjration,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0,
38,BAO000p0q9,,,Autkcufation,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,vsO0000225,,,Intermeriage,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,BAO9000235,,,Intefmedia4e,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,BAO0po0225,,,Exper6,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0,
42,BAp9000225,,,fxpert,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0,
43,BAO0000o1o,,,Ahtocura4ion,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,BAOo0p0019,,,Augocuratiin,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,BA0000p019,,,qutocurayion,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
46,BqO0000o19,,,Autocurah8on,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
47,BA900000w9,,,Exp4rt,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
48,BsO00000q9,,,dxpert,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
49,BAi0000010,,,Expegt,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
50,BxOp000019,,,Exper4,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
51,BAO0090018,,,Aut9curstion,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,BAO0o00356,,,qutocurxtion,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,BAO000p358,,,Aut9curztion,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,BAO0p90357,,,Aut0curat7on,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,BAO009024p,,,Autoduratiog,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0,
56,BAOp0p0219,,385.0,Ijterhediate,,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0,
57,BAO0p002q9,,,Autkcuratikn,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0,
58,gAOo000219,,,Au6ocufation,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0,
59,BA000002q9,,,Autocurariog,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0,
60,BAO9000w19,,1013.0,Edpert,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
61,BAl0p00219,,564.0,Intermevia4e,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
62,BAO090021p,,756.0,In5ermddiate,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
63,nAO0p00219,,927.0,Ihtermddiate,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0,
64,BAOp009219,,806.0,kntermediqte,,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0,
65,BqO000021o,,755.0,Ex9ert,,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
66,nAO0000210,,748.0,Intermewia4e,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0,
67,nAO0090219,,935.0,Intermwdia4e,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0,
68,BAOp090219,,775.0,Ijtdrmediate,,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0,
69,fAO0090219,,942.0,ontermsdiate,,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0,
70,BsO00002w9,,445.0,3xpert,,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
71,BAO0000qq9,,530.0,4xpert,,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
72,BA900002w9,,955.0,Ex0ert,,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0,
73,BAOp900219,,965.0,Inyermed8ate,,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0,
74,BAO00po219,,1333.0,9ntedmediate,,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0,
75,BA00900219,,760.0,8ntermediaye,,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0,
76,BAO0900319,,1155.0,In5ermexiate,,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0,
77,gAO0000919,,,Ibtermeduate,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,vAO00003y7,,,Exper4,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0,
79,BsO00003y7,,,Ex0ert,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,BxO0000r57,,,Expe4t,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,BAp00003y7,,,3xpert,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,BAO090025w,,,Aitpcuration,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
83,BAp0000w51,,,Autoxuratiom,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
84,BAO000o351,,,Autocirqtion,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
85,BAO0000q52,,,Autocurstipn,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
86,hAl0000251,Livfr,,Aut8c7ration,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,
87,BsO0009019,,,Autocufat8on,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,
88,BAO0p00o19,,,sutocurwtion,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,
89,BAp0000919,,,Autosuragion,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,
90,BAO00op251,Livsr,,Autocu5atiln,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
91,BzO0090251,Lifer,,Augocuratuon,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
92,BAOp000e51,Livef,,zutocurati0n,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
93,BAp00003r7,,,Exper6,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,BAO0900w57,,,rxpert,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,BAO009021p,,972.0,Exp3rt,,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
96,BwO0o00219,,648.0,Ijrermediate,,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,
97,BAO000p319,,418.0,Intrrhediate,,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
98,gAO0000e19,,906.0,7ntermedoate,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,
99,BzO0o00219,,692.0,8jtermediate,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
100,gAO00002q8,,,Edpert,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,
101,BAO0000329,,424.0,Inye4mediate,,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
102,nAO0o00219,,807.0,In5e4mediate,,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,
103,BAi000p219,,243.0,jntermediste,,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,
104,BAO00002qu,,,Interjedia5e,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,
105,BAO00o0228,,,jntermed9ate,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
106,BAOp0002w8,,,2xpert,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,
107,BAO0009228,,,Internefiate,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
108,BAOo000217,,,Int3rmedkate,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
109,BAi9000218,,,Interm4diqte,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,
110,BAk0000q18,,,8ntermediare,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
111,BAOoo00218,,,Ijtermewiate,,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
112,BwO000021u,,,Intednediate,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
113,BAO0000328,,,Intermeviste,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,
114,BAO09p0218,,,Ihtermeeiate,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
115,BAO0p90218,,,lnfermediate,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
116,BAO9000229,,1086.0,Intedm4diate,,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,
117,BAO0o09251,,,A8toc6ration,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,
118,hAO0090019,,,sitocuration,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,BAO00002wo,,1081.0,kntedmediate,,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,
120,BAO00003q9,,757.0,Ihtwrmediate,,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,
121,BAO0p0021p,,634.0,8ntermediat3,,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,
122,BAi0090219,,719.0,untermediwte,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,
123,BAO0090319,,737.0,Inteemediatr,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,
124,hAOo000219,,344.0,9ntdrmediate,,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,
125,BAO0900119,,695.0,onterkediate,,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
126,BAO0o00229,,968.0,Intrrkediate,,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,
127,BwO00002w9,,659.0,Interjeviate,,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
128,BA80000210,,,Expeet,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,
129,BA0o000220,,,Intermediahr,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0,
130,BA9p000220,,,2xpert,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,BxO000o220,,,Expwrt,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,fAO9000220,,,Intermrwiate,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,BAO0o000q9,,,Autockrati0n,,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0,
134,BqO0p00219,,1299.0,Interkesiate,,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
135,fAO9000219,,296.0,Int3rmediafe,,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
136,BsO0000p19,,,Autocufarion,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,BxO0090357,,,A8tocuratikn,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,BzO00o0218,Hear5,,Autocu5a6ion,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0,
139,BAO0009029,,,Aufosuration,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,BxO0o00019,,,Expe3t,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,Bql0000357,,,qutocurarion,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,vAO0000o19,,,Expfrt,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,BAOo0p0219,,592.0,Intermediztf,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0,
144,vAO000p219,,722.0,Interm4d7ate,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0,
145,BA90p00219,,977.0,Intfrmedixte,,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0,
146,BAO0000pq9,,,Autocurat7oj,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0,
147,vzO0000019,,,Autocuratilm,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0,
148,vAO00p0357,,,Autocurwti0n,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,Bz00000019,,,qu6ocuration,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
150,hAO0000o19,,,Autocurafoon,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
151,BsO9000219,,701.0,A6toc6ration,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0,
152,BAO0p00319,,551.0,xutocuratlon,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
153,BAO0900q19,,1020.0,Autkcuratiin,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
154,BAlp000219,,758.0,Autoci5ation,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
155,BxO0000018,,,xutocurati9n,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606.0,
156,BAO0o00o19,,,sut0curation,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
157,BAO00092t9,,,Autosurwtion,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,BAk000o218,,,Intwrmedia6e,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314.0,
159,vAO000o218,,,Interkeriate,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335.0,
160,BAO0p002w8,,658.0,fxpert,,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,10335.0,
161,Bs90000218,,,Int2emediate,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,10335.0,
162,hAO000o218,,,Interhfdiate,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,10335.0,
163,Bxk0000218,,,Intermeeixte,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561.0,
164,BAO00o001i,,,Autocura5i0n,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,vAO0000259,,,Ezpert,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476.0,
166,BAO00093y7,,,Ezpert,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593.0,
167,BsO00p0219,,612.0,Imyermediate,,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606.0,
168,BAOp0002w9,,,Experf,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116.0,
169,BwO0000e57,,,Autocurat89n,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
170,BAO0p90357,,,sutocurayion,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847.0,
171,BAO00o03t7,,,zitocuration,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
172,hAO0090357,,,Autocueatikn,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847.0,
173,BAOp0003r7,,,Autocurayioh,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847.0,
174,Bs80000357,,,Autovurqtion,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,3847.0,
175,BAOo000347,,,Aurocugation,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,3847.0,
176,BAO009p357,,,Autocurxtiin,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,3847.0,
177,BAO90003r7,,,A7tocuratiob,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,3847.0,
