Fiscal year,Sector ID,Climate change adaptation (marker),Organisation class,Project Browser country ID,CIDA business delivery model (old),Division name,Knowledge for development (marker),Untied amount(Project-level budget),Status,Gender equality (marker),Youth issues (marker),Project number,Programming process (new),Fund centre ID,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre name,FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,24040,0,Civil Society,JM,Responsive,NDD Americas Programming,0,3441416.83,Closed,0,0,A019362001,Uncoded: Pre-APP,4439,3441416.83,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,24040,0,Civil Society,JM,Responsive,NDD Americas Programming,0,3441416.83,Closed,0,0,A019362001,Uncoded: Pre-APP,4439,3441416.83,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15150,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,24030,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,25010,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,32110,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,32130,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,32182,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,41010,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,41020,0,Civil Society,EG,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,0,0,A019608001,Uncoded: Pre-APP,4263,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,Egypt,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,43010,0,Governmental,DZ,Directive,EDD Europe-Middle East Programming,0,0.0,Closed,2,0,A020161001,Uncoded: Pre-APP,4259,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,*Algeria,0.998334353,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15150,0,Governmental,HT,Directive,NDD Americas Programming,0,4000000.0,Closed,3,0,A020195001,Uncoded: Pre-APP,4452,4610501.0,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,HT,Directive,NDD Americas Programming,0,4000000.0,Closed,3,0,A020195001,Uncoded: Pre-APP,4452,4610501.0,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,Haiti,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Civil Society,ET,Directive,WED Southern & Eastern Africa,0,0.0,Closed,2,0,A020222001,Uncoded: Pre-APP,4229,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15111,0,Civil Society,ET,Directive,WED Southern & Eastern Africa,0,0.0,Closed,2,0,A020222001,Uncoded: Pre-APP,4229,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15130,0,Civil Society,ET,Directive,WED Southern & Eastern Africa,0,0.0,Closed,2,0,A020222001,Uncoded: Pre-APP,4229,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Civil Society,ET,Directive,WED Southern & Eastern Africa,0,0.0,Closed,2,0,A020222001,Uncoded: Pre-APP,4229,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Civil Society,ET,Directive,WED Southern & Eastern Africa,0,0.0,Closed,2,0,A020222001,Uncoded: Pre-APP,4229,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Civil Society,SN,Directive,WWD West & Central Africa,0,4518387.69,Terminating,2,0,A020246001,Uncoded: Pre-APP,4238,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,Senegal,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15110,0,Individual,SN,Directive,WWD West & Central Africa,0,4518387.69,Terminating,2,0,A020246001,Uncoded: Pre-APP,4238,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,Senegal,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,24040,0,Civil Society,SN,Directive,WWD West & Central Africa,0,4518387.69,Terminating,2,0,A020246001,Uncoded: Pre-APP,4238,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,Senegal,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,24040,0,Individual,SN,Directive,WWD West & Central Africa,0,4518387.69,Terminating,2,0,A020246001,Uncoded: Pre-APP,4238,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,Senegal,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11130,0,Civil Society,GY,Directive,NDD Americas Programming,0,7850039.11,Closed,0,0,A020252001,Uncoded: Pre-APP,4438,7850039.11,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Guyana,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15110,0,Governmental,PH,Directive,OAD Asia Programming,0,0.0,Closed,1,0,A020272001,Uncoded: Pre-APP,4128,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,Philippines,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15111,0,Governmental,PH,Directive,OAD Asia Programming,0,0.0,Closed,1,0,A020272001,Uncoded: Pre-APP,4128,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,Philippines,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15150,0,Governmental,PH,Directive,OAD Asia Programming,0,0.0,Closed,1,0,A020272001,Uncoded: Pre-APP,4128,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,Philippines,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Governmental,PK,Directive,OAD Asia Programming,0,0.0,Terminating,1,0,A020279001,Uncoded: Pre-APP,4124,2645994.04,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Civil Society,MW,Directive,WED Southern & Eastern Africa,0,0.0,Closed,1,0,A020392001,Uncoded: Pre-APP,4280,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,Malawi,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Governmental,BD,Directive,OAD Asia Programming,0,0.0,Closed,0,0,A020395001,Uncoded: Pre-APP,4122,4947637.32,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,Bangladesh,0.5,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Unknown,BD,Directive,OAD Asia Programming,0,0.0,Closed,0,0,A020395001,Uncoded: Pre-APP,4122,4947637.32,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,Bangladesh,0.5,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,14031,0,Individual,MZ,Directive,WED Southern & Eastern Africa,0,0.0,Closed,0,0,A020398001,Uncoded: Pre-APP,4274,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,Mozambique,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,14032,0,Individual,MZ,Directive,WED Southern & Eastern Africa,0,0.0,Closed,0,0,A020398001,Uncoded: Pre-APP,4274,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,Mozambique,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,43010,0,Governmental,CM,Directive,WWD West & Central Africa,0,2457111.5,Closed,2,0,A020449003,Uncoded: Pre-APP,4289,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,Cameroon,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,43010,0,Civil Society,CM,Directive,WWD West & Central Africa,0,2457111.5,Closed,2,0,A020449003,Uncoded: Pre-APP,4289,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,Cameroon,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,43010,0,Individual,CM,Directive,WWD West & Central Africa,0,2457111.5,Closed,2,0,A020449003,Uncoded: Pre-APP,4289,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,Cameroon,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,43010,0,Unknown,CM,Directive,WWD West & Central Africa,0,2457111.5,Closed,2,0,A020449003,Uncoded: Pre-APP,4289,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,Cameroon,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15150,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15150,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31161,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31161,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31166,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31166,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31181,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31181,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31191,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,31191,0,Civil Society,GN,Directive,WWD West & Central Africa,0,11427061.07,Closed,0,0,A020715001,Uncoded: Pre-APP,4242,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,*Guinea,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15150,0,Civil Society,LK,Directive,OAD Asia Programming,0,0.0,Closed,0,0,A020790001,Uncoded: Pre-APP,4118,4308867.95,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15160,0,Civil Society,LK,Directive,OAD Asia Programming,0,0.0,Closed,0,0,A020790001,Uncoded: Pre-APP,4118,4308867.95,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11110,0,Governmental,ML,Directive,WWD West & Central Africa,0,0.0,Closed,2,0,A020891001,Uncoded: Pre-APP,4216,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,0.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,11110,0,Unknown,ML,Directive,WWD West & Central Africa,0,0.0,Closed,2,0,A020891001,Uncoded: Pre-APP,4216,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,0.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,11130,0,Governmental,ML,Directive,WWD West & Central Africa,0,16726210.87,Closed,2,0,A020892001,Uncoded: Pre-APP,4216,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,11130,0,Civil Society,ML,Directive,WWD West & Central Africa,0,16726210.87,Closed,2,0,A020892001,Uncoded: Pre-APP,4216,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,11130,0,Civil Society,ML,Directive,WWD West & Central Africa,0,16726210.87,Closed,2,0,A020892001,Uncoded: Pre-APP,4216,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,Mali,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,11220,0,Governmental,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Unknown,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Governmental,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Unknown,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Governmental,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Unknown,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Governmental,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Unknown,UY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Governmental,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Unknown,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Governmental,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Unknown,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Governmental,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Unknown,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Governmental,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Unknown,AR,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Governmental,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Unknown,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Governmental,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Unknown,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Governmental,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,13030,0,Unknown,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Governmental,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,15110,0,Unknown,CL,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Governmental,PY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,11220,0,Unknown,PY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Governmental,PY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
2009/2010,12220,0,Unknown,PY,Responsive,NDD Americas Programming,0,0.0,Closed,0,0,A020910001,Uncoded: Pre-APP,4422,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1,*Southern Cone,1.0,0.0,0,1,Not PBA,1,0,0,1,0
