assay_id,doc_id,confidence_score,assay_strain,cell_id,assay_category,curated_by,tissue_id,assay_cell_type,assay_tissue,assay_tax_id,description,assay_type,assay_test_type,assay_organism,assay_subcellular_fraction,tid
13,11324,1,,,,Intermediate,,,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,,50185
14,11324,1,,,,Intermediate,,,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,,50185
15,11324,1,,,,Intermediate,,,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,,50185
16,11324,1,,,,Intermediate,,,,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,Staphylococcus aureus,,50185
17,11347,9,,,,Expert,,,,10116.0,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,,100122
18,16474,8,,,,Autocuration,,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,12054
19,10091,8,,,,Autocuration,,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,12054
20,16474,8,,,,Autocuration,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,12054
21,16474,8,,,,Autocuration,,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,12054
22,16474,8,,,,Autocuration,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,12054
23,16474,8,,,,Autocuration,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,12054
24,16474,8,,,,Autocuration,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,12054
25,14352,0,,,,Autocuration,,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,22226
26,5646,8,,,,Autocuration,,,,9986.0,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,,12054
27,5646,8,,,,Autocuration,,,,9986.0,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,,12054
28,10997,8,,,,Autocuration,,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,12426
29,6309,8,,,,Autocuration,,,,3847.0,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,,12054
30,167,8,,,,Autocuration,,,,3847.0,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,,12054
31,167,8,,,,Autocuration,,,,3847.0,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,,12054
32,11087,8,,,,Autocuration,,,,3847.0,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,,12054
33,11087,8,,,,Autocuration,,,,3847.0,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,,12054
34,13622,8,,,,Autocuration,,,,3847.0,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,,12054
35,13622,8,,,,Autocuration,,,,3847.0,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,,12054
36,11347,0,,,,Autocuration,,,,10116.0,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,,22226
37,5926,0,,,,Autocuration,,,,562.0,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,,22226
38,4567,0,,,,Autocuration,,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,22226
39,3782,3,,,,Intermediate,,,,,Dissociation constant towards 16S rRNA construct A,B,,,,22222
40,3782,3,,,,Intermediate,,,,,Dissociation constant towards 16S rRNA construct B,B,,,,22222
41,4466,3,,,,Expert,,,,562.0,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,,100263
42,6592,3,,,,Expert,,,,562.0,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,,100263
43,898,8,,,,Autocuration,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,13053
44,898,8,,,,Autocuration,,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,13053
45,13163,8,,,,Autocuration,,,,9606.0,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,,20001
46,13163,8,,,,Autocuration,,,,9606.0,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,,20001
47,10691,9,,,,Expert,,,,10116.0,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,,12971
48,10691,9,,,,Expert,,,,10116.0,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,,12971
49,10691,9,,,,Expert,,,,10116.0,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,,12971
50,10691,9,,,,Expert,,,,10116.0,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,,12971
51,898,8,,,,Autocuration,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,13053
52,912,8,,,,Autocuration,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,11512
53,912,8,,,,Autocuration,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,11512
54,912,8,,,,Autocuration,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,11512
55,15103,5,,,,Autocuration,,,,10116.0,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,Membranes,104740
56,5116,1,,506.0,,Intermediate,,1A9,,9606.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,,80002
57,14578,7,,,,Autocuration,,Oocytes,,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,,104835
58,14578,7,,,,Autocuration,,Oocytes,,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,,104821
59,14578,7,,,,Autocuration,,Oocytes,,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,,104848
60,4787,1,,506.0,,Expert,,1A9,,9606.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,,80002
61,4787,1,,506.0,,Intermediate,,1A9,,9606.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,,80002
62,3547,1,,506.0,,Intermediate,,1A9,,9606.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,,80002
63,3547,1,,506.0,,Intermediate,,1A9,,9606.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,,80002
64,6726,1,,506.0,,Intermediate,,1A9,,9606.0,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,,80002
65,3455,1,,506.0,,Expert,,1A9,,9606.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,,80002
66,5726,1,,506.0,,Intermediate,,1A9,,9606.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,,80002
67,5726,1,,506.0,,Intermediate,,1A9,,9606.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,,80002
68,5726,1,,506.0,,Intermediate,,1A9,,9606.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,,80002
69,3395,1,,506.0,,Intermediate,,1A9,,9606.0,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,,80002
70,3415,1,,506.0,,Expert,,1A9,,9606.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,,80002
71,3415,1,,506.0,,Expert,,1A9,,9606.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,,80002
72,17099,1,,506.0,,Expert,,1A9,,9606.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,,80002
73,17099,1,,506.0,,Intermediate,,1A9,,9606.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,,80002
74,17099,1,,506.0,,Intermediate,,1A9,,9606.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,,80002
75,17099,1,,506.0,,Intermediate,,1A9,,9606.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,,80002
76,17721,1,,503.0,,Intermediate,,Jurkat,,9606.0,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,,81072
77,1229,0,,,,Intermediate,,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,22226
78,11347,9,,,,Expert,,,,10116.0,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,,100121
79,17117,8,,,,Expert,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,11231
80,17117,8,,,,Expert,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,11231
81,17117,8,,,,Expert,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,11231
82,11375,8,,,,Autocuration,,,,5476.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,Microsomes,11231
83,11375,8,,,,Autocuration,,,,5476.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,Microsomes,11231
84,11375,8,,,,Autocuration,,,,4932.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,Microsomes,11231
85,11375,8,,,,Autocuration,,,,4932.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,Microsomes,11231
86,11375,8,,,,Autocuration,2107.0,,Liver,9823.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,Microsomes,12083
87,791,8,,,,Autocuration,,,,10116.0,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,,11231
88,791,8,,,,Autocuration,,,,10116.0,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,,11231
89,791,8,,,,Autocuration,,,,10116.0,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,,11231
90,11375,9,,,,Autocuration,2107.0,,Liver,10116.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,Microsomes,12083
91,11375,9,,,,Autocuration,2107.0,,Liver,10116.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,Microsomes,12083
92,153,9,,,,Autocuration,2107.0,,Liver,10116.0,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,Microsomes,12083
93,8269,8,,,,Expert,,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,11377
94,8269,8,,,,Expert,,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,11377
95,17653,1,,726.0,,Expert,,HepG2,,9606.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,,81020
96,14277,1,,726.0,,Intermediate,,HepG2,,9606.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,,81020
97,1717,1,,726.0,,Intermediate,,HepG2,,9606.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,,81020
98,14091,1,,726.0,,Intermediate,,HepG2,,9606.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,,81020
99,14091,1,,726.0,,Intermediate,,HepG2,,9606.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,,81020
100,17653,1,,,,Expert,,,,10407.0,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,,50606
101,13105,1,,726.0,,Intermediate,,HepG2,,9606.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,,81020
102,1717,1,,726.0,,Intermediate,,HepG2,,9606.0,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,,81020
103,13105,1,,726.0,,Intermediate,,HepG2,,9606.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,,81020
104,13600,1,,,,Intermediate,,2.2.15,,9606.0,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,,50587
105,13467,1,,,,Intermediate,,2.2.15,,9606.0,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,,50587
106,17477,1,,,,Expert,,2.2.15,,10407.0,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,,50606
107,1593,1,,,,Intermediate,,2.2.15,,9606.0,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,,50587
108,1593,1,,,,Intermediate,,2.2.15,,9606.0,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,,50587
109,15089,1,,,,Intermediate,,2.2.15,,9606.0,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,,50587
110,15089,1,,,,Intermediate,,2.2.15,,9606.0,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,,50587
111,1593,1,,,,Intermediate,,2.2.15,,9606.0,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,,50587
112,1593,1,,,,Intermediate,,2.2.15,,9606.0,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,,50587
113,13600,1,,,,Intermediate,,2.2.15,,9606.0,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,,50587
114,13467,1,,,,Intermediate,,2.2.15,,9606.0,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,,50587
115,13467,1,,,,Intermediate,,2.2.15,,9606.0,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,,50587
116,14764,1,,726.0,,Intermediate,,HepG2,,9606.0,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,,81020
117,6531,0,,,,Autocuration,,,,9606.0,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,Microsomes,22226
118,17322,0,,,,Autocuration,,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,22226
119,17072,1,,388.0,,Intermediate,,2008,,9606.0,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,,80612
120,16936,1,,388.0,,Intermediate,,2008,,9606.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,,80612
121,16936,1,,388.0,,Intermediate,,2008,,9606.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,,80612
122,17146,1,,388.0,,Intermediate,,2008,,9606.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,,80612
123,17146,1,,388.0,,Intermediate,,2008,,9606.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,,80612
124,10797,1,,561.0,,Intermediate,,2008/R,,9606.0,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,,80613
125,10797,1,,561.0,,Intermediate,,2008/R,,9606.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,,80613
126,10797,1,,389.0,,Intermediate,,2008/S,,9606.0,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,,80614
127,10797,1,,389.0,,Intermediate,,2008/S,,9606.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,,80614
128,4823,2,,,,Expert,,,,9606.0,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,,100256
129,12912,2,,,,Intermediate,,,,9606.0,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,,100256
130,2957,2,,,,Expert,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,100256
131,2957,2,,,,Expert,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,100256
132,3260,2,,,,Intermediate,,,,,Inhibitory activity against 20S proteosome,B,,,,100256
133,3451,0,,,,Autocuration,,,,9606.0,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,,22226
134,13885,1,,726.0,,Intermediate,,HepG2,,9606.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,,81020
135,13885,1,,726.0,,Intermediate,,HepG2,,9606.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,,81020
136,3676,0,,,,Autocuration,,,,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,22226
137,6043,8,,,,Autocuration,,,,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,235
138,11140,0,,,,Autocuration,948.0,,Heart,10116.0,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,,22226
139,10543,8,,,,Autocuration,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,19640
140,10543,8,,,,Expert,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,19640
141,10543,8,,,,Autocuration,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,19640
142,10543,8,,,,Expert,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,19640
143,11365,1,,524.0,,Intermediate,,P338,,10090.0,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,,80360
144,11365,1,,524.0,,Intermediate,,P338,,10090.0,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,,80360
145,11803,1,,554.0,,Intermediate,,PBL,,9606.0,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,,80384
146,11803,0,,,,Autocuration,,,,9940.0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,,22226
147,11803,0,,,,Autocuration,,,,9940.0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,,22226
148,12278,8,,,,Autocuration,,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,191
149,8249,0,,,,Autocuration,,,,9606.0,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,,22226
150,8249,0,,,,Autocuration,,,,9606.0,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,,22226
151,8249,0,,635.0,,Autocuration,,CCRF-CEM,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,,22226
152,8249,0,,635.0,,Autocuration,,CCRF-CEM,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,,22226
153,8249,0,,635.0,,Autocuration,,CCRF-CEM,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,,22226
154,8249,0,,635.0,,Autocuration,,CCRF-CEM,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,,22226
155,8249,0,,,,Autocuration,,,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,,22226
156,8249,0,,,,Autocuration,,,,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,,22226
157,16992,6,,,,Autocuration,,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,104290
158,10543,1,,,,Intermediate,,,,1314.0,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,,50264
159,17833,1,,,,Intermediate,,,,10335.0,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,,50527
160,17290,1,,468.0,,Expert,,HEL,,10335.0,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,,50527
161,17290,1,,,,Intermediate,,,,10335.0,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,,50527
162,17290,1,,,,Intermediate,,,,10335.0,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,,50527
163,10932,1,,,,Intermediate,,,,561.0,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,,50145
164,9707,0,,,,Autocuration,,,,,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,22226
165,2346,8,,,,Expert,,,,5476.0,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,,11143
166,2205,8,,,,Expert,,,,284593.0,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,,18077
167,11900,1,,832.0,,Intermediate,,1-87 tumor cell line,,9606.0,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,,80609
168,14864,9,,,,Expert,,,,10116.0,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,,12166
169,16474,9,,,,Autocuration,,,,3847.0,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,,100171
170,16474,9,,,,Autocuration,,,,3847.0,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,,100171
171,16474,9,,,,Autocuration,,,,3847.0,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,,100171
172,16474,9,,,,Autocuration,,,,3847.0,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,,100171
173,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,,100171
174,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,,100171
175,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,,100171
176,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,Glycine max,,100171
177,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,Glycine max,,100171
178,3094,9,,,,Autocuration,,,,3847.0,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,Glycine max,,100171
