assay_id,assay_subcellular_fraction,assay_test_type,bao_format,tissue_id,cell_id,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
55,Membranes,,BAO_0000249,,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0,,
56,,,BAO_0000219,,506.0,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0,,
57,,,BAO_0000219,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,
58,,,BAO_0000219,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,
59,,,BAO_0000219,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,
60,,,BAO_0000219,,506.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,
61,,,BAO_0000219,,506.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,
62,,,BAO_0000219,,506.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,
63,,,BAO_0000219,,506.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,
64,,,BAO_0000219,,506.0,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,
65,,,BAO_0000219,,506.0,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,
66,,,BAO_0000219,,506.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,
67,,,BAO_0000219,,506.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,
68,,,BAO_0000219,,506.0,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,
69,,,BAO_0000219,,506.0,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,
70,,,BAO_0000219,,506.0,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,
71,,,BAO_0000219,,506.0,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,
72,,,BAO_0000219,,506.0,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,
73,,,BAO_0000219,,506.0,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,
74,,,BAO_0000219,,506.0,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,
75,,,BAO_0000219,,506.0,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,
76,,,BAO_0000219,,503.0,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,
77,,,BAO_0000019,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,,BAO_0000357,,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,
79,,,BAO_0000357,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,,BAO_0000357,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,,BAO_0000357,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,Microsomes,,BAO_0000251,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
83,Microsomes,,BAO_0000251,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
84,Microsomes,,BAO_0000251,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
85,Microsomes,,BAO_0000251,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
86,Microsomes,,BAO_0000251,2107.0,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,,Liver
87,,,BAO_0000019,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,
88,,,BAO_0000019,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,
89,,,BAO_0000019,,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,
90,Microsomes,,BAO_0000251,2107.0,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
91,Microsomes,,BAO_0000251,2107.0,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
92,Microsomes,,BAO_0000251,2107.0,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
93,,,BAO_0000357,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,,BAO_0000357,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,,BAO_0000219,,726.0,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,
96,,,BAO_0000219,,726.0,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,
97,,,BAO_0000219,,726.0,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,
98,,,BAO_0000219,,726.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,
99,,,BAO_0000219,,726.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
100,,,BAO_0000218,,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,
101,,,BAO_0000219,,726.0,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
102,,,BAO_0000219,,726.0,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,
103,,,BAO_0000219,,726.0,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,
104,,,BAO_0000218,,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,
105,,,BAO_0000218,,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
106,,,BAO_0000218,,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,
107,,,BAO_0000218,,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
108,,,BAO_0000218,,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
109,,,BAO_0000218,,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,
110,,,BAO_0000218,,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
111,,,BAO_0000218,,,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
112,,,BAO_0000218,,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
113,,,BAO_0000218,,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,
114,,,BAO_0000218,,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
115,,,BAO_0000218,,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
116,,,BAO_0000219,,726.0,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,
117,Microsomes,,BAO_0000251,,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,
118,,,BAO_0000019,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,,BAO_0000219,,388.0,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,
120,,,BAO_0000219,,388.0,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,
121,,,BAO_0000219,,388.0,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,
122,,,BAO_0000219,,388.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,
123,,,BAO_0000219,,388.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,
124,,,BAO_0000219,,561.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,
125,,,BAO_0000219,,561.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,
126,,,BAO_0000219,,389.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,
127,,,BAO_0000219,,389.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,
128,,,BAO_0000220,,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,
129,,,BAO_0000220,,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,
130,,,BAO_0000220,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,,BAO_0000220,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,,BAO_0000220,,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,,BAO_0000019,,,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,
134,,,BAO_0000219,,726.0,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,
135,,,BAO_0000219,,726.0,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,
136,,,BAO_0000019,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,,BAO_0000357,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,,BAO_0000218,948.0,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,,Heart
139,,,BAO_0000019,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,,BAO_0000019,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,,BAO_0000357,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,,BAO_0000019,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,,BAO_0000219,,524.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,
144,,,BAO_0000219,,524.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,
145,,,BAO_0000219,,554.0,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,
146,,,BAO_0000019,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,
147,,,BAO_0000019,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,
148,,,BAO_0000357,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,,BAO_0000019,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
150,,,BAO_0000019,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
151,,,BAO_0000219,,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,
152,,,BAO_0000219,,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
153,,,BAO_0000219,,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
154,,,BAO_0000219,,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
155,,,BAO_0000019,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,
156,,,BAO_0000019,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
157,,,BAO_0000249,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,,BAO_0000218,,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,
159,,,BAO_0000218,,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,
160,,,BAO_0000218,,468.0,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,
161,,,BAO_0000218,,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,
162,,,BAO_0000218,,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,
163,,,BAO_0000218,,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,
164,,,BAO_0000019,,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,,BAO_0000249,,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,
166,,,BAO_0000357,,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,
167,,,BAO_0000219,,832.0,11900,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,
168,,,BAO_0000219,,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,
169,,,BAO_0000357,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
170,,,BAO_0000357,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,
171,,,BAO_0000357,,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
172,,,BAO_0000357,,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,3847.0,,
173,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,3847.0,,
174,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,3847.0,,
175,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,3847.0,,
176,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,Glycine max,3847.0,,
177,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,Glycine max,3847.0,,
178,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,Glycine max,3847.0,,
179,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,Glycine max,3847.0,,
180,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,Glycine max,3847.0,,
181,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,Glycine max,3847.0,,
182,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,Glycine max,3847.0,,
183,,,BAO_0000357,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,Glycine max,3847.0,,
184,,,BAO_0000019,,,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,Mus musculus,10090.0,,
185,,,BAO_0000219,,294.0,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,Mus musculus,10090.0,,
186,,,BAO_0000019,,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,
187,,,BAO_0000357,,,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
188,,,BAO_0000357,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
189,,,BAO_0000357,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,
190,,,BAO_0000357,,,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,
