miller2_FiscalYear,miller2_IndigenousIssues(marker),miller2_CFLI(marker),miller2_Biodiversity(marker),miller2_RegionalProgram(marker),miller2_DivisionName,miller2_UntiedAmount(Project-levelBudget),miller2_SectorPercent,miller2_OrganisationSub-class,miller2_FundCentreID,miller2_ProjectNumber,miller2_FundCentreName,miller2_OrganisationType,miller2_KnowledgeForDevelopment(marker),miller2_GenderEquality(marker),miller2_TradeDevelopment(marker),miller2_UrbanIssues(marker),miller2_ChildrenIssues(marker),miller2_YouthIssues(marker),miller2_DisabilityIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_OrganisationID,miller2_OrganisationName,miller2_OrganisationClass,miller2_ContinentID,miller2_ContinentName,miller2_ProjectBrowserCountryID,miller2_CountryRegionID,miller2_CountryRegionName,miller2_CountryRegionPercent,miller2_SectorID,miller2_SectorName,miller2_AmountSpent
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013172001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,3,Asia,X3,X3,Asia MC,0.3,72010,Material relief assistance and services,900000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013172001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,150000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013173001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,2,Africa,X1,X1,Africa MC,0.5,72010,Material relief assistance and services,1500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013173001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,1,America,X2,X2,Americas MC,0.15,72010,Material relief assistance and services,450000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013173001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,3,Asia,X3,X3,Asia MC,0.3,72010,Material relief assistance and services,900000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,INTERNATIONAL NGO,5311,M013173001,MHO Non Food - CORE,Canadian Non-Profit Making,0,1,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,150000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,500000.0,1.0,NGO,5303,M013174001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1015332,Mines Advisory Group,Civil Society,3,Asia,LK,LK,Sri Lanka,1.0,72010,Material relief assistance and services,500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,500000.0,1.0,NGO,5303,M013175001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1015331,The Halo Trust,Civil Society,3,Asia,LK,LK,Sri Lanka,1.0,72010,Material relief assistance and services,500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,600000.0,1.0,NGO,5230,M013176001,MHO Inst Strengtherning,Foreign Non-Profit Making,1,0,0,0,0,0,0,0,1002035,International Crisis Group,Civil Society,2,Africa,X1,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,150000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,600000.0,1.0,NGO,5230,M013176001,MHO Inst Strengtherning,Foreign Non-Profit Making,1,0,0,0,0,0,0,0,1002035,International Crisis Group,Civil Society,1,America,X2,X2,Americas MC,0.1,72050,Relief co-ordination; protection and support services,30000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,600000.0,1.0,NGO,5230,M013176001,MHO Inst Strengtherning,Foreign Non-Profit Making,1,0,0,0,0,0,0,0,1002035,International Crisis Group,Civil Society,3,Asia,X3,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,90000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,600000.0,1.0,NGO,5230,M013176001,MHO Inst Strengtherning,Foreign Non-Profit Making,1,0,0,0,0,0,0,0,1002035,International Crisis Group,Civil Society,5,Europe,X4,X4,Europe MC,0.1,72050,Relief co-ordination; protection and support services,30000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,1800000.0,1.0,UNITED NATIONS,5309,M013177001,MHI Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,3,Asia,YE,YE,Yemen,1.0,72040,Emergency food aid,500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,UNITED NATIONS,5309,M013178001,MHI Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,1,America,CO,CO,Colombia,1.0,72040,Emergency food aid,1500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,6500000.0,1.0,UNITED NATIONS,5309,M013180001,MHI Food INIT,Foreign Non-Profit Making,0,1,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,2,Africa,TD,TD,Chad,1.0,72040,Emergency food aid,6500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,22450000.0,1.0,UNITED NATIONS,5309,M013181001,MHI Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,2,Africa,SD,SD,Sudan,1.0,72040,Emergency food aid,3950000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,14000000.0,1.0,UNITED NATIONS,5311,M013182001,MHO Non Food - CORE,Foreign Non-Profit Making,0,1,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,2,Africa,X1,X1,Africa MC,0.45,72010,Material relief assistance and services,6300000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,14000000.0,1.0,UNITED NATIONS,5311,M013182001,MHO Non Food - CORE,Foreign Non-Profit Making,0,1,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,1,America,X2,X2,Americas MC,0.05,72010,Material relief assistance and services,700000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,14000000.0,1.0,UNITED NATIONS,5311,M013182001,MHO Non Food - CORE,Foreign Non-Profit Making,0,1,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,3,Asia,X3,X3,Asia MC,0.45,72010,Material relief assistance and services,6300000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,14000000.0,1.0,UNITED NATIONS,5311,M013182001,MHO Non Food - CORE,Foreign Non-Profit Making,0,1,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,700000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,500000.0,1.0,INTERNATIONAL NGO,5303,M013183001,MHI Non-Food INIT,Canadian Non-Profit Making,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,3,Asia,X3,X3,Asia MC,1.0,72010,Material relief assistance and services,500000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,2700000.0,1.0,UNITED NATIONS,5303,M013184001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,2,Africa,X1,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1350000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,2700000.0,1.0,UNITED NATIONS,5303,M013184001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,1,America,X2,X2,Americas MC,0.15,72050,Relief co-ordination; protection and support services,405000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,2700000.0,1.0,UNITED NATIONS,5303,M013184001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,3,Asia,X3,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,810000.0
2009/2010,0,0,0,0,MHDInternational Humanitarian Assistance,2700000.0,1.0,UNITED NATIONS,5303,M013184001,MHI Non-Food INIT,Foreign Non-Profit Making,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,5,Europe,X4,X4,Europe MC,0.05,72050,Relief co-ordination; protection and support services,135000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31110,Agricultural policy and administrative management,39000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31120,Agricultural development,39000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31150,Agricultural inputs,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31161,Food crop production,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31166,Agricultural extension,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31182,Agricultural research,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31191,Agricultural services,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,AF,AF,Afghanistan,0.0065,31193,Agricultural financial services,19500.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31110,Agricultural policy and administrative management,630000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31120,Agricultural development,630000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31150,Agricultural inputs,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31161,Food crop production,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31166,Agricultural extension,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31182,Agricultural research,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31191,Agricultural services,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,3,Asia,BD,BD,Bangladesh,0.105,31193,Agricultural financial services,315000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31110,Agricultural policy and administrative management,48600.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31120,Agricultural development,48600.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31150,Agricultural inputs,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31161,Food crop production,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31166,Agricultural extension,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31182,Agricultural research,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31191,Agricultural services,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BI,BI,Burundi,0.0081,31193,Agricultural financial services,24300.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31110,Agricultural policy and administrative management,43800.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31120,Agricultural development,43800.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31150,Agricultural inputs,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31161,Food crop production,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31166,Agricultural extension,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31182,Agricultural research,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31191,Agricultural services,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,BJ,BJ,Benin,0.0073,31193,Agricultural financial services,21900.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31110,Agricultural policy and administrative management,34200.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31120,Agricultural development,34200.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31150,Agricultural inputs,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31161,Food crop production,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31166,Agricultural extension,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31182,Agricultural research,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31191,Agricultural services,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,CF,CF,Central Afr.Rep,0.0057,31193,Agricultural financial services,17100.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31110,Agricultural policy and administrative management,24000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31120,Agricultural development,24000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31150,Agricultural inputs,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31161,Food crop production,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31166,Agricultural extension,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31182,Agricultural research,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31191,Agricultural services,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,DJ,DJ,Djibouti,0.004,31193,Agricultural financial services,12000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,ET,ET,Ethiopia,0.222,31110,Agricultural policy and administrative management,1332000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.2,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,ET,ET,Ethiopia,0.222,31120,Agricultural development,1332000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,ET,ET,Ethiopia,0.222,31150,Agricultural inputs,666000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,ET,ET,Ethiopia,0.222,31161,Food crop production,666000.0
2009/2010,0,0,0,0,MED Economic Development,30000000.0,0.1,IFI,5461,M013185001,*World Bank Group,Foreign Non-Profit Making,0,1,1,0,0,0,0,0,1001306,World Bank,Multilateral,2,Africa,ET,ET,Ethiopia,0.222,31166,Agricultural extension,666000.0
