assay_id,assay_strain,doc_id,src_assay_id,assay_subcellular_fraction,chembl_id,assay_category,relationship_type,curated_by,src_id,assay_cell_type,tid,assay_organism,assay_tax_id,assay_tissue,cell_id,description,assay_type,assay_test_type
17,,11347,,,CHEMBi8845e1,,D,Experh,1,,100122,Rattusborbegicua,15476.0,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,
18,,16474,,,fHEMnL615132,,H,Autpcuratipn,1,,12054,,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,
19,,10091,,,CHEMBL61y132,,H,Aut0c8ration,1,,12054,,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,
20,,16474,,,CnEMBL61513r,,H,Aktoc6ration,1,,12054,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
21,,16474,,,xHfMBL615135,,H,Autoxurqtion,1,,12054,,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,
22,,16474,,,CtEMBL616136,,H,Autocurstioj,1,,12054,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,
23,,16474,,,CHEMfk615137,,H,Autodurstion,1,,12054,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
24,,16474,,,CHEMBo61513u,,H,A6tocura5ion,1,,12054,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,
25,,14352,,,CHsMBLi36324,,U,Aktocurxtion,1,,22226,,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,
26,,5646,,,CHEjBL615w39,,H,Aufocudation,1,,12054,O5yctplag7sciniculus,23801.0,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,
27,,5646,,,CHEMBo61514p,,H,A7tocurayion,1,,12054,Odyctolagusc6jiculuq,31951.0,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,
28,,10997,,,CHEkfL615141,,H,Autockratiin,1,,12426,,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,
29,,6309,,,CHEMBL6qr142,,H,Aut0cudation,1,,12054,s9yabean,33898.0,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,
30,,167,,,dHEMBL6w5143,,H,Autocura6jon,1,,12054,Gp6cinemax,31802.0,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,
31,,167,,,sHEMBp615144,,H,sutosuration,1,,12054,Glycinwmwx,6696.0,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,
32,,11087,,,xHEMBi872867,,H,wutlcuration,1,,12054,nlyc9nemax,9486.0,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,
33,,11087,,,CgEMBL615135,,H,wutocuratiln,1,,12054,Giyvinemax,13652.0,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,
34,,13622,,,CHEhBL6q5146,,H,Autocura69on,1,,12054,Giyxinemax,4218.0,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
35,,13622,,,CHEMBLu1y147,,H,Autocufatioh,1,,12054,Gljvinemax,26325.0,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,
36,,11347,,,fgEMBL615148,,U,Autoc6rat8on,1,,22226,Rat6usnorv3ricus,3969.0,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,
37,,5926,,,CgEMBL614149,,U,Autocurayipn,1,,22226,Eschsrich8axoli,3349.0,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,
38,,4567,,,dHEMBp615150,,U,Autovurwtion,1,,22226,,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,
39,,3782,,,CHEMBi615141,,M,Inte3meeiate,1,,22222,,,,,Dissociation constant towards 16S rRNA construct A,B,
40,,3782,,,fHdMBL615152,,M,In4ermediste,1,,22222,,,,,Dissociation constant towards 16S rRNA construct B,B,
41,,4466,,,CHEMBLt151t3,,M,Expe4t,1,,100263,dscjerichiacooi,9497.0,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,
42,,6592,,,CHEMnL615q54,,M,Expeft,1,,100263,sscheridhiacooi,26274.0,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,
43,,898,,,sHEkBL615155,,H,Autovura5ion,1,,13053,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
44,,898,,,CHEnBL6151r6,,H,A6tocuratkon,1,,13053,,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
45,,13163,,,CtEMBL6151r7,,H,qutoxuration,1,,20001,Homlsapiebs,17368.0,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
46,,13163,,,CbEjBL615158,,H,Aktocu5ation,1,,20001,Hkmosapisns,13197.0,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,
47,,10691,,,xHEMBL615149,,D,Exp3rt,1,,12971,Rzttusborvegisus,32165.0,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
48,,10691,,,CmEMBk615172,,D,fxpert,1,,12971,Rattuanorveg8sus,6336.0,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,
49,,10691,,,vHEMBL61t173,,D,Experr,1,,12971,tattusjorvevicus,9374.0,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
50,,10691,,,CHEMBL6q4174,,D,Edpert,1,,12971,Rattusno4vegifue,8282.0,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,
51,,898,,,CHEMBi884528,,H,Autofuratuon,1,,13053,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,
52,,912,,,dHEhBL615175,,H,zutocyration,1,,11512,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,
53,,912,,,CHEMBLt15w76,,H,Aitocurati0n,1,,11512,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,
54,,912,,,CHEMBL715277,,H,Au6ocurarion,1,,11512,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,
55,,15103,,Mekbranes,CHEjBL615188,,D,zutocurat8on,1,,104740,Rattusnorvrvucus,10623.0,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,
56,,5116,,,CHEMBL6w5q79,,N,Intfrm4diate,1,1A9,80002,Homozapienx,27514.0,,340.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,
57,,14578,,,CyEMBk615180,,D,Autlcurqtion,1,locytes,104835,tatrusnorvdgicus,313.0,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,
58,,14578,,,CHEMBL615w71,,D,Autocyrstion,1,iocytes,104821,Rattusnorvefifuz,25930.0,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,
59,,14578,,,CHEjBL61y182,,D,Au5oc8ration,1,Oosytes,104848,Rattusnoffegisus,9274.0,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,
60,,4787,,,djEMBL615183,,N,dxpert,1,1A9,80002,Homoaapiegs,24724.0,,669.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,
61,,4787,,,CHEMBL61t185,,N,Inteemediat3,1,1A9,80002,Hkmosapiebs,29165.0,,614.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,
62,,3547,,,CHEMBL6q5w85,,N,Intermwd7ate,1,1A9,80002,Hpmoaapiens,12789.0,,1146.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,
63,,3547,,,CHEMhL61y186,,N,Intermed8zte,1,1A9,80002,Homosa9iend,4765.0,,676.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,
64,,6726,,,CHEMBk615q87,,N,In6ermediqte,1,1A9,80002,H8mksapiens,20870.0,,434.0,Effective dose of compound against replication of 1A9 cell line was evaluated,F,
65,,3455,,,CHEkBL8u5343,,N,Expett,1,1A9,80002,Hom0saplens,2575.0,,558.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,
66,,5726,,,CtEMBL61t188,,N,Int4rm2diate,1,1A9,80002,H8hosapiens,38005.0,,686.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,
67,,5726,,,CjEMBL6q5189,,N,Intermexiwte,1,1A9,80002,Honosapiend,5080.0,,150.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,
68,,5726,,,CHEMBL6151p9,,N,Intermediztd,1,1A9,80002,H9mosapuens,28142.0,,1192.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,
69,,3395,,,CHEMBp515191,,N,Intermed8wte,1,1A9,80002,Homlsapiems,976.0,,627.0,Inhibitory activity against Taxol resistant 1A9 cell lines,F,
70,,3415,,,CHfMBLt15192,,N,wxpert,1,1A9,80002,Homosapiehx,14542.0,,469.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,
71,,3415,,,CHEMBL827ou3,,N,Exp2rt,1,1A9,80002,Homksa0iens,10436.0,,774.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,
72,,17099,,,dgEMBL615193,,N,4xpert,1,1A9,80002,Homoszp7ens,17979.0,,419.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,
73,,17099,,,CH4MBL6q5194,,N,Intermfdiste,1,1A9,80002,Hojosap8ens,45315.0,,583.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,
74,,17099,,,CHEMBp61t195,,N,knfermediate,1,1A9,80002,Homksapiebs,9432.0,,786.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,
75,,17099,,,CHEMBL615185,,N,9ntrrmediate,1,1A9,80002,Homocapiems,13096.0,,1039.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,
76,,17721,,,CHEjBL615297,,N,Inte3m3diate,1,Jurkqt,81072,Homosapiema,36623.0,,267.0,Inhibitory concentration against Jurkat cells,F,
77,,1229,,,CHEMBLyq5198,,U,kntermwdiate,1,,22226,,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,
78,,11347,,,CHEMgL6w5199,,D,Espert,1,,100121,Rat6usnorvegifuq,274.0,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,
79,,17117,,,CHEMgL615209,,H,Expe5t,1,,11231,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
80,,17117,,,CHEMBL615292,,H,Edpert,1,,11231,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
81,,17117,,,CHEMBLt15q02,,H,dxpert,1,,11231,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,
82,,11375,,nlcrosomes,CHEMvL615202,,H,Autocurzti0n,1,,11231,Candidqalgicams,27385.0,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,
83,,11375,,Mjcrospmes,CuEMBL6q5204,,H,Ai4ocuration,1,,11231,Cahdldaalvicans,7202.0,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,
84,,11375,,M8crosomea,CmEMBo615205,,H,Autocu5atiom,1,,11231,Saschaeohhcescerevisiae,27320.0,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,
85,,11375,,nicrosom4s,CH2MBL6w5206,,H,Autocuratoom,1,,11231,Sscctaromycescersvisiar,9355.0,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,
86,,11375,,Micgosomrs,CHEMBpy15207,,H,Autpc7ration,1,,12083,Susscdofa,29364.0,Lkver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,
87,,791,,,CH4MBL727084,,H,Augoduration,1,,11231,Rxttusno3vegicjs,6916.0,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,
88,,791,,,xHEMBL616208,,H,Autocura4ikn,1,,11231,5attksnorvegkcus,8160.0,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,
89,,791,,,sHEMBL6152p9,,H,Autoc6ragion,1,,11231,fattusnodveg7cus,14146.0,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,
90,,11375,,Microsom4c,CHrMBL625210,,D,Autkcurahion,1,,12083,Ratfuznorbegicus,43435.0,Lifer,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,
91,,11375,,Miceosomws,dHEMBL6q5211,,D,Aurocuratiob,1,,12083,Ratt6snorv4hicus,3765.0,oiver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,
92,,153,,Microcomed,dHEMBL615312,,D,A7tocu4ation,1,,12083,3at5usnorvegicuc,11410.0,oiver,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,
93,,8269,,,dHEMBk615213,,H,2xpert,1,,11377,,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,
94,,8269,,,CHEMBo615274,,H,Edpert,1,,11377,,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,
95,,17653,,,vbEMBL615274,,N,Exp2rt,1,Hepv2,81020,Hokosapidns,12654.0,,622.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
96,,14277,,,CbEMBk615275,,N,lntermsdiate,1,HepGw,81020,Homosa0jens,31521.0,,643.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,
97,,1717,,,CHEMBL615q7t,,N,Intermerjate,1,uepG2,81020,gomoszpiens,2579.0,,1038.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,
98,,14091,,,CHEMBL51527u,,N,Intermedlat3,1,HepGw,81020,Homosa0iend,14017.0,,344.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,
99,,14091,,,CHEMgL6w5326,,N,Ibtermedizte,1,Hepy2,81020,Hlmosapiems,11159.0,,712.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,
100,,17653,,,CHEMBL882140,,N,Expe4t,1,,50606,Heoatit9sBvirys,7773.0,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
101,,13105,,,CHEMBL884t1p,,N,Ingermsdiate,1,HrpG2,81020,Homosqpkens,17617.0,,521.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,
102,,1717,,,CHEnBL615326,,N,Iht4rmediate,1,HrpG2,81020,Hpmpsapiens,41390.0,,1071.0,Concentration required to inhibit 50% of 2.2.15 cell line,F,
103,,13105,,,CHEMBL6q6328,,N,Igtermedia6e,1,mepG2,81020,H8moaapiens,5328.0,,921.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,
104,,13600,,,vgEMBL615329,,N,Igterhediate,1,2215,50587,Homosqpi2ns,13310.0,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,
105,,13467,,,CHEMBL615r20,,N,Int3rmediat3,1,2215,50587,Homosa9iena,13390.0,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,
106,,17477,,,CHEMBL61r3w1,,N,Edpert,1,2215,50606,H2patitisBbir7s,26615.0,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,
107,,1593,,,sHEMBL6w5332,,N,Intermsdjate,1,2215,50587,Homosapieba,9928.0,,,In vitro anti-HBV activity in 2.2.15 cells,F,
108,,1593,,,CHEMBLy15334,,N,untermediatf,1,2215,50587,Homosw0iens,27907.0,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,
109,,15089,,,CHEMBL61523t,,N,Intermeroate,1,2215,50587,Homosaplejs,19710.0,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,
110,,15089,,,CHEMBL61534t,,N,Intermesiqte,1,2215,50587,Homosaojens,2848.0,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,
111,,1593,,,CHdMBL61t336,,N,Intermeria4e,1,2215,50587,Homksapiebs,22989.0,,,Cytotoxicity in 2.2.15 cells,F,
112,,1593,,,CbrMBL615337,,N,Intermedjatw,1,2215,50587,Hpmosapienc,7884.0,,,Cytotoxicity in 2.2.15 cells; Not determined,F,
113,,13600,,,CHEMBL615428,,N,Intermrdlate,1,2215,50587,Homoszpiebs,29309.0,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,
114,,13467,,,sHEMBi615339,,N,Intermedoatf,1,2215,50587,Hlmosapiend,6343.0,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,
115,,13467,,,CHEMBL6qr340,,N,Infermediqte,1,2215,50587,Homossliens,16283.0,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,
116,,14764,,,CH3MBL615342,,N,Intermediahd,1,Heph2,81020,uomosapiwns,5796.0,,577.0,Antiviral activity against HBV was determined in 2.215 cell line,F,
117,,6531,,nictosomes,sHEMBL625342,,U,Autocurzti0n,1,,22226,nomosqpiens,17821.0,,,Inhibition of 20-HETE synthesis in human renal microsomes,B,
118,,17322,,,CH2MBL616343,,U,A6tocuratiom,1,,22226,,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,
119,,17072,,,CtwMBL615344,,N,Intwrmediare,1,2008,80612,Hkmlsapiens,25682.0,,1238.0,Inhibitory concentration against 2008 (ovarian) cells,F,
120,,16936,,,CHEnBL615245,,N,Interkeciate,1,2008,80612,H8mosapirns,6905.0,,368.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,
121,,16936,,,CgEMBL616346,,N,kntermeciate,1,2008,80612,Homoaap7ens,29718.0,,1216.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,
122,,17146,,,CHEMBi6153r7,,N,Interm4diatr,1,2008,80612,Hokoqapiens,3739.0,,824.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,
123,,17146,,,CHEMBLy15349,,N,Int3rmediaye,1,2008,80612,tomowapiens,10762.0,,882.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,
124,,10797,,,CHEMBL837095,,N,Interm2diats,1,e008R,80613,momosspiens,10799.0,,542.0,In vitro inhibition of 2008/R ovarian cancer cell line,F,
125,,10797,,,CHEMBL7153t9,,N,Interjediare,1,20o8R,80613,Hlmlsapiens,8778.0,,696.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,
126,,10797,,,CHEMBL7153y0,,N,Interhediste,1,2908S,80614,H8mosapiems,16058.0,,840.0,In vitro inhibition of 2008/S ovarian cancer cell line,F,
127,,10797,,,CHEnBL615361,,N,Intermrviate,1,2o08S,80614,Homoszpi4ns,19819.0,,465.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,
128,,4823,,,CjEMBk615352,,S,sxpert,1,,100256,Hpkosapiens,21447.0,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,
129,,12912,,,dHEkBL615353,,S,Internediat2,1,,100256,Homosapiehz,3456.0,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,
130,,2957,,,CuEMBL6153r4,,S,sxpert,1,,100256,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,
131,,2957,,,CHEMhL614355,,S,Expwrt,1,,100256,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,
132,,3260,,,CHEMBL614w56,,S,knterkediate,1,,100256,,,,,Inhibitory activity against 20S proteosome,B,
133,,3451,,,CmEMBL615w57,,U,Autocurqt9on,1,,22226,Homossoiens,24304.0,,,Compound was tested for inhibitory activity against tryptase,B,
134,,13885,,,xHEMBL61t358,,N,Intefmediat2,1,HspG2,81020,Homosapkwns,1220.0,,936.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,
135,,13885,,,CHrMBL8270o6,,N,Inte5mediare,1,HeoG2,81020,Homosapiege,3328.0,,912.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,
136,,3676,,,CHEMBL6w6359,,U,Autocuragioh,1,,22226,,,,,Compound was tested for the inhibition of Alpha-glucosidase,B,
137,,6043,,,CHEMBLu15e60,,H,Ahtocuratiln,1,,235,,,,,Inhibitory concentration against human neutrophil elastase (HNE),B,
138,,11140,,,CHEMBL61t36q,,U,wutocurat8on,1,,22226,Ra6yusnorvrgicus,7263.0,teart,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,
139,,10543,,,CHEMhL61y362,,H,zutpcuration,1,,19640,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
140,,10543,,,CnEMBLy15363,,H,Experr,1,,19640,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,
141,,10543,,,CHEMBLu14364,,H,Autofuratioh,1,,19640,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,
142,,10543,,,sHEMBL61536r,,H,Exprrt,1,,19640,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
143,,11365,,,CHEMBL625w66,,N,Intermeviat3,1,P338,80360,Musmusdul7s,8627.0,,933.0,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,
144,,11365,,,xjEMBL615367,,N,Imtermed7ate,1,P338,80360,Musmuacupus,23890.0,,354.0,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,
145,,11803,,,CHEMBL715367,,N,In4edmediate,1,PBL,80384,Homodapiehs,32491.0,,818.0,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,
146,,11803,,,CHEMBot15369,,U,Au4ovuration,1,,22226,Ovisaeies,26799.0,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,
147,,11803,,,CHEhBL6153y0,,U,zutoc7ration,1,,22226,Ovisaties,13134.0,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,
148,,12278,,,CHEjBL615683,,H,Akt0curation,1,,191,,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,
149,,8249,,,CHEnBk615674,,U,Autkfuration,1,,22226,gomosapiems,23639.0,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,
150,,8249,,,CHEMfL615674,,U,qutocurafion,1,,22226,Homisapiehs,2274.0,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,
151,,8249,,,fHEMBL61567u,,U,Au4ocuratioh,1,CCRFdEM,22226,Hohosap8ens,27291.0,,490.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,
