assay_id,assay_organism,confidence_score,assay_type,assay_cell_type,src_id,description,tid,assay_tax_id,assay_subcellular_fraction,variant_id,chembl_id,doc_id,tissue_id,cell_id,src_assay_id,assay_test_type,assay_category,assay_strain
24,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,,CHEMBL615138,16474,,,,,,
25,,0,B,,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",22226,,,,CHEMBL836324,14352,,,,,,
26,Oryctolagus cuniculus,8,B,,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,12054,9986.0,,,CHEMBL615139,5646,,,,,,
27,Oryctolagus cuniculus,8,B,,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),12054,9986.0,,,CHEMBL615140,5646,,,,,,
28,,8,B,,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,12426,,,,CHEMBL615141,10997,,,,,,
29,soya bean,8,B,,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,12054,3847.0,,,CHEMBL615142,6309,,,,,,
30,Glycine max,8,B,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,12054,3847.0,,,CHEMBL615143,167,,,,,,
31,Glycine max,8,B,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,12054,3847.0,,,CHEMBL615144,167,,,,,,
32,Glycine max,8,B,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,12054,3847.0,,,CHEMBL872867,11087,,,,,,
33,Glycine max,8,B,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,12054,3847.0,,,CHEMBL615145,11087,,,,,,
34,Glycine max,8,B,,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,3847.0,,,CHEMBL615146,13622,,,,,,
35,Glycine max,8,B,,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,3847.0,,,CHEMBL615147,13622,,,,,,
36,Rattus norvegicus,0,A,,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,22226,10116.0,,,CHEMBL615148,11347,,,,,,
37,Escherichia coli,0,B,,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,22226,562.0,,,CHEMBL615149,5926,,,,,,
38,,0,B,,1,Dissociation constant with dimeric 16S rRNA RNA construct B,22226,,,,CHEMBL615150,4567,,,,,,
39,,3,B,,1,Dissociation constant towards 16S rRNA construct A,22222,,,,CHEMBL615151,3782,,,,,,
40,,3,B,,1,Dissociation constant towards 16S rRNA construct B,22222,,,,CHEMBL615152,3782,,,,,,
41,Escherichia coli,3,B,,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,100263,562.0,,,CHEMBL615153,4466,,,,,,
42,Escherichia coli,3,B,,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,100263,562.0,,,CHEMBL615154,6592,,,,,,
43,,8,B,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL615155,898,,,,,,
44,,8,B,,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL615156,898,,,,,,
45,Homo sapiens,8,B,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,9606.0,,,CHEMBL615157,13163,,,,,,
46,Homo sapiens,8,B,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,9606.0,,,CHEMBL615158,13163,,,,,,
47,Rattus norvegicus,9,B,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,10116.0,,,CHEMBL615159,10691,,,,,,
48,Rattus norvegicus,9,B,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,10116.0,,,CHEMBL615172,10691,,,,,,
49,Rattus norvegicus,9,B,,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,10116.0,,,CHEMBL615173,10691,,,,,,
50,Rattus norvegicus,9,B,,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,10116.0,,,CHEMBL615174,10691,,,,,,
51,,8,B,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL884518,898,,,,,,
52,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),11512,,,,CHEMBL615175,912,,,,,,
53,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,11512,,,,CHEMBL615176,912,,,,,,
54,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,11512,,,,CHEMBL615177,912,,,,,,
55,Rattus norvegicus,5,B,,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,104740,10116.0,Membranes,,CHEMBL615178,15103,,,,,,
56,Homo sapiens,1,F,1A9,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,80002,9606.0,,,CHEMBL615179,5116,,506.0,,,,
57,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,104835,10116.0,,,CHEMBL615180,14578,,,,,,
58,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,104821,10116.0,,,CHEMBL615181,14578,,,,,,
59,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,104848,10116.0,,,CHEMBL615182,14578,,,,,,
60,Homo sapiens,1,F,1A9,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,80002,9606.0,,,CHEMBL615183,4787,,506.0,,,,
61,Homo sapiens,1,F,1A9,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,80002,9606.0,,,CHEMBL615184,4787,,506.0,,,,
62,Homo sapiens,1,F,1A9,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,80002,9606.0,,,CHEMBL615185,3547,,506.0,,,,
63,Homo sapiens,1,F,1A9,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,80002,9606.0,,,CHEMBL615186,3547,,506.0,,,,
64,Homo sapiens,1,F,1A9,1,Effective dose of compound against replication of 1A9 cell line was evaluated,80002,9606.0,,,CHEMBL615187,6726,,506.0,,,,
65,Homo sapiens,1,F,1A9,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,80002,9606.0,,,CHEMBL885343,3455,,506.0,,,,
66,Homo sapiens,1,F,1A9,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),80002,9606.0,,,CHEMBL615188,5726,,506.0,,,,
67,Homo sapiens,1,F,1A9,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,80002,9606.0,,,CHEMBL615189,5726,,506.0,,,,
68,Homo sapiens,1,F,1A9,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,80002,9606.0,,,CHEMBL615190,5726,,506.0,,,,
69,Homo sapiens,1,F,1A9,1,Inhibitory activity against Taxol resistant 1A9 cell lines,80002,9606.0,,,CHEMBL615191,3395,,506.0,,,,
70,Homo sapiens,1,F,1A9,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,80002,9606.0,,,CHEMBL615192,3415,,506.0,,,,
71,Homo sapiens,1,F,1A9,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,80002,9606.0,,,CHEMBL827083,3415,,506.0,,,,
72,Homo sapiens,1,F,1A9,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,80002,9606.0,,,CHEMBL615193,17099,,506.0,,,,
73,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,80002,9606.0,,,CHEMBL615194,17099,,506.0,,,,
74,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,80002,9606.0,,,CHEMBL615195,17099,,506.0,,,,
75,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,80002,9606.0,,,CHEMBL615196,17099,,506.0,,,,
76,Homo sapiens,1,F,Jurkat,1,Inhibitory concentration against Jurkat cells,81072,9606.0,,,CHEMBL615197,17721,,503.0,,,,
77,,0,F,,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,22226,,,,CHEMBL615198,1229,,,,,,
78,Rattus norvegicus,9,A,,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,100121,10116.0,,,CHEMBL615199,11347,,,,,,
79,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,,,CHEMBL615200,17117,,,,,,
80,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,,,CHEMBL615201,17117,,,,,,
81,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",11231,,,,CHEMBL615202,17117,,,,,,
82,Candida albicans,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11231,5476.0,Microsomes,,CHEMBL615203,11375,,,,,,
83,Candida albicans,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11231,5476.0,Microsomes,,CHEMBL615204,11375,,,,,,
84,Saccharomyces cerevisiae,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11231,4932.0,Microsomes,,CHEMBL615205,11375,,,,,,
85,Saccharomyces cerevisiae,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11231,4932.0,Microsomes,,CHEMBL615206,11375,,,,,,
86,Sus scrofa,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",12083,9823.0,Microsomes,,CHEMBL615207,11375,2107.0,,,,,
87,Rattus norvegicus,8,B,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",11231,10116.0,,,CHEMBL827084,791,,,,,,
88,Rattus norvegicus,8,B,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",11231,10116.0,,,CHEMBL615208,791,,,,,,
89,Rattus norvegicus,8,B,,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",11231,10116.0,,,CHEMBL615209,791,,,,,,
90,Rattus norvegicus,9,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615210,11375,2107.0,,,,,
91,Rattus norvegicus,9,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615211,11375,2107.0,,,,,
92,Rattus norvegicus,9,B,,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615212,153,2107.0,,,,,
93,,8,B,,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),11377,,,,CHEMBL615213,8269,,,,,,
94,,8,B,,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,11377,,,,CHEMBL615273,8269,,,,,,
95,Homo sapiens,1,F,HepG2,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,81020,9606.0,,,CHEMBL615274,17653,,726.0,,,,
96,Homo sapiens,1,F,HepG2,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,81020,9606.0,,,CHEMBL615275,14277,,726.0,,,,
97,Homo sapiens,1,F,HepG2,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,81020,9606.0,,,CHEMBL615276,1717,,726.0,,,,
98,Homo sapiens,1,F,HepG2,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,81020,9606.0,,,CHEMBL615277,14091,,726.0,,,,
99,Homo sapiens,1,F,HepG2,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,81020,9606.0,,,CHEMBL615326,14091,,726.0,,,,
100,Hepatitis B virus,1,F,,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,50606,10407.0,,,CHEMBL883130,17653,,,,,,
101,Homo sapiens,1,F,HepG2,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,81020,9606.0,,,CHEMBL884519,13105,,726.0,,,,
102,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of 2.2.15 cell line,81020,9606.0,,,CHEMBL615327,1717,,726.0,,,,
103,Homo sapiens,1,A,HepG2,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,81020,9606.0,,,CHEMBL615328,13105,,726.0,,,,
104,Homo sapiens,1,F,2.2.15,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,50587,9606.0,,,CHEMBL615329,13600,,,,,,
105,Homo sapiens,1,F,2.2.15,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615330,13467,,,,,,
106,Hepatitis B virus,1,F,2.2.15,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",50606,10407.0,,,CHEMBL615331,17477,,,,,,
107,Homo sapiens,1,F,2.2.15,1,In vitro anti-HBV activity in 2.2.15 cells,50587,9606.0,,,CHEMBL615332,1593,,,,,,
108,Homo sapiens,1,F,2.2.15,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,50587,9606.0,,,CHEMBL615333,1593,,,,,,
109,Homo sapiens,1,F,2.2.15,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,50587,9606.0,,,CHEMBL615334,15089,,,,,,
110,Homo sapiens,1,F,2.2.15,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,50587,9606.0,,,CHEMBL615335,15089,,,,,,
111,Homo sapiens,1,F,2.2.15,1,Cytotoxicity in 2.2.15 cells,50587,9606.0,,,CHEMBL615336,1593,,,,,,
112,Homo sapiens,1,F,2.2.15,1,Cytotoxicity in 2.2.15 cells; Not determined,50587,9606.0,,,CHEMBL615337,1593,,,,,,
113,Homo sapiens,1,F,2.2.15,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,50587,9606.0,,,CHEMBL615338,13600,,,,,,
114,Homo sapiens,1,F,2.2.15,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615339,13467,,,,,,
115,Homo sapiens,1,F,2.2.15,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615340,13467,,,,,,
116,Homo sapiens,1,F,HepG2,1,Antiviral activity against HBV was determined in 2.215 cell line,81020,9606.0,,,CHEMBL615341,14764,,726.0,,,,
117,Homo sapiens,0,B,,1,Inhibition of 20-HETE synthesis in human renal microsomes,22226,9606.0,Microsomes,,CHEMBL615342,6531,,,,,,
118,,0,B,,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,22226,,,,CHEMBL615343,17322,,,,,,
119,Homo sapiens,1,F,2008,1,Inhibitory concentration against 2008 (ovarian) cells,80612,9606.0,,,CHEMBL615344,17072,,388.0,,,,
120,Homo sapiens,1,F,2008,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,80612,9606.0,,,CHEMBL615345,16936,,388.0,,,,
121,Homo sapiens,1,F,2008,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),80612,9606.0,,,CHEMBL615346,16936,,388.0,,,,
122,Homo sapiens,1,F,2008,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,80612,9606.0,,,CHEMBL615347,17146,,388.0,,,,
123,Homo sapiens,1,F,2008,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,80612,9606.0,,,CHEMBL615348,17146,,388.0,,,,
124,Homo sapiens,1,F,2008/R,1,In vitro inhibition of 2008/R ovarian cancer cell line,80613,9606.0,,,CHEMBL827085,10797,,561.0,,,,
125,Homo sapiens,1,F,2008/R,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,80613,9606.0,,,CHEMBL615349,10797,,561.0,,,,
126,Homo sapiens,1,F,2008/S,1,In vitro inhibition of 2008/S ovarian cancer cell line,80614,9606.0,,,CHEMBL615350,10797,,389.0,,,,
127,Homo sapiens,1,F,2008/S,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,80614,9606.0,,,CHEMBL615351,10797,,389.0,,,,
128,Homo sapiens,2,B,,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,100256,9606.0,,,CHEMBL615352,4823,,,,,,
129,Homo sapiens,2,B,,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,100256,9606.0,,,CHEMBL615353,12912,,,,,,
130,,2,B,,1,Inhibition of chymotrypsin-like activity of 20S proteasome,100256,,,,CHEMBL615354,2957,,,,,,
131,,2,B,,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,100256,,,,CHEMBL615355,2957,,,,,,
132,,2,B,,1,Inhibitory activity against 20S proteosome,100256,,,,CHEMBL615356,3260,,,,,,
133,Homo sapiens,0,B,,1,Compound was tested for inhibitory activity against tryptase,22226,9606.0,,,CHEMBL615357,3451,,,,,,
134,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,81020,9606.0,,,CHEMBL615358,13885,,726.0,,,,
135,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,81020,9606.0,,,CHEMBL827086,13885,,726.0,,,,
136,,0,B,,1,Compound was tested for the inhibition of Alpha-glucosidase,22226,,,,CHEMBL615359,3676,,,,,,
137,,8,B,,1,Inhibitory concentration against human neutrophil elastase (HNE),235,,,,CHEMBL615360,6043,,,,,,
138,Rattus norvegicus,0,F,,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,22226,10116.0,,,CHEMBL615361,11140,948.0,,,,,
139,,8,F,,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615362,10543,,,,,,
140,,8,F,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615363,10543,,,,,,
141,,8,B,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615364,10543,,,,,,
142,,8,F,,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615365,10543,,,,,,
143,Mus musculus,1,F,P338,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,80360,10090.0,,,CHEMBL615366,11365,,524.0,,,,
144,Mus musculus,1,F,P338,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,80360,10090.0,,,CHEMBL615367,11365,,524.0,,,,
145,Homo sapiens,1,F,PBL,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,80384,9606.0,,,CHEMBL615368,11803,,554.0,,,,
146,Ovis aries,0,F,,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,22226,9940.0,,,CHEMBL615369,11803,,,,,,
147,Ovis aries,0,F,,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,22226,9940.0,,,CHEMBL615370,11803,,,,,,
148,,8,B,,1,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),191,,,,CHEMBL615673,12278,,,,,,
149,Homo sapiens,0,F,,1,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,22226,9606.0,,,CHEMBL615674,8249,,,,,,
150,Homo sapiens,0,F,,1,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,22226,9606.0,,,CHEMBL615675,8249,,,,,,
151,Homo sapiens,0,F,CCRF-CEM,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,22226,9606.0,,,CHEMBL615676,8249,,635.0,,,,
152,Homo sapiens,0,F,CCRF-CEM,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,22226,9606.0,,,CHEMBL615677,8249,,635.0,,,,
153,Homo sapiens,0,F,CCRF-CEM,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,22226,9606.0,,,CHEMBL615678,8249,,635.0,,,,
154,Homo sapiens,0,F,CCRF-CEM,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,22226,9606.0,,,CHEMBL615679,8249,,635.0,,,,
155,Homo sapiens,0,F,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,22226,9606.0,,,CHEMBL615680,8249,,,,,,
156,Homo sapiens,0,F,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,22226,9606.0,,,CHEMBL615681,8249,,,,,,
157,,6,B,,1,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,104290,,,,CHEMBL857972,16992,,,,,,
158,Streptococcus pyogenes,1,F,,1,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,50264,1314.0,,,CHEMBL857899,10543,,,,,,
159,Human herpesvirus 3,1,F,,1,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),50527,10335.0,,,CHEMBL615371,17833,,,,,,
160,vericilla zoster virus,1,F,HEL,1,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,50527,10335.0,,,CHEMBL615372,17290,,468.0,,,,
161,vericilla zoster virus,1,F,,1,Antiviral activity against 07/1 strain of VZV; ND: No data,50527,10335.0,,,CHEMBL615373,17290,,,,,,
162,vericilla zoster virus,1,F,,1,Antiviral activity against 07/1 strain of VZV; ND=No data,50527,10335.0,,,CHEMBL615374,17290,,,,,,
163,escherichia cloac,1,F,,1,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",50145,561.0,,,CHEMBL615375,10932,,,,,,
164,,0,B,,1,Ratio of Ki at A2 to Ki at A1 receptors,22226,,,,CHEMBL615376,9707,,,,,,
