ASI,ASSSTR,DOI,SRASI,ASSSUBFRA,CHEI,ASSCATE,RELATT,CUB,SI,ASSCET,T,ASORGA,ASSTAI,ASTI,CI,CONFSCO,BFO,TII,VAI
7557,,3184,,,CHEMBL873808,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7558,,4891,,,CHEMBL876598,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7559,,429,,,CHEMBL621131,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7560,,5656,,,CHEMBL621132,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7561,,4413,,,CHEMBL621133,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7562,,3598,,,CHEMBL621312,,N,Expert,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7563,,17267,,,CHEMBL621313,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7564,,4727,,,CHEMBL621314,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7565,,17651,,,CHEMBL621315,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7566,,17651,,,CHEMBL621316,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7567,,401,,,CHEMBL621317,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7568,,4942,,,CHEMBL621318,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7569,,17735,,,CHEMBL621319,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7570,,6056,,,CHEMBL621377,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7571,,5213,,,CHEMBL621378,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7572,,6616,,,CHEMBL876599,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7573,,5937,,,CHEMBL621379,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7574,,5819,,,CHEMBL621380,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7575,,5819,,,CHEMBL621381,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7576,,6803,,,CHEMBL618515,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7577,,17804,,,CHEMBL618516,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7578,,17804,,,CHEMBL618517,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7579,,5948,,,CHEMBL618518,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7580,,1916,,,CHEMBL618519,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7581,,1916,,,CHEMBL618698,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7582,,1916,,,CHEMBL618862,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7583,,4890,,,CHEMBL618863,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7584,,17764,,,CHEMBL618864,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7585,,4727,,,CHEMBL618865,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7586,,17509,,,CHEMBL618866,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7587,,17509,,,CHEMBL618867,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7588,,6597,,,CHEMBL875828,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7589,,17735,,,CHEMBL618868,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7590,,6597,,,CHEMBL618869,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7591,,17670,,,CHEMBL618870,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7592,,1696,,,CHEMBL618871,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7593,,1742,,,CHEMBL618872,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7594,,17800,,,CHEMBL873816,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7595,,12923,,,CHEMBL618873,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7596,,11954,,,CHEMBL621602,,U,Autocuration,1,,22224,,,,,0,BAO_0000019,,
7597,,11954,,,CHEMBL621603,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7598,,11954,,,CHEMBL621604,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7599,,11954,,,CHEMBL621605,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7600,,11954,,,CHEMBL621606,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7601,,11954,,,CHEMBL621607,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7602,,11954,,,CHEMBL621608,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7603,,5237,,,CHEMBL621609,,U,Autocuration,1,,22224,,,,,0,BAO_0000019,,
7604,,4026,,,CHEMBL621610,,U,Autocuration,1,,22224,,,,,0,BAO_0000218,,
7605,,5237,,,CHEMBL621611,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7606,,14793,,,CHEMBL621612,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7607,,14793,,,CHEMBL622308,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7608,,14793,,,CHEMBL622309,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7609,,14793,,,CHEMBL622310,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7610,,14793,,,CHEMBL622311,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7611,,14793,,,CHEMBL622312,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7612,,14793,,,CHEMBL622931,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7613,,14793,,,CHEMBL622932,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7614,,14793,,,CHEMBL622736,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7615,,14793,,,CHEMBL622737,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7616,,14793,,,CHEMBL622738,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7617,,14793,,,CHEMBL622739,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7618,,14793,,,CHEMBL622740,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7619,,14793,,,CHEMBL622741,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7620,,14793,,,CHEMBL622742,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7621,,14793,,,CHEMBL622743,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Plasma,,1,BAO_0000218,1969.0,
7622,,11637,,,CHEMBL622744,,N,Intermediate,1,,50594,Mus musculus,10090.0,Plasma,,1,BAO_0000218,1969.0,
7623,,11149,,,CHEMBL624134,,U,Autocuration,1,,22224,,,,,0,BAO_0000019,,
7624,,10016,,,CHEMBL624135,,U,Autocuration,1,,22224,,,,,0,BAO_0000019,,
7625,,17796,,,CHEMBL624136,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7626,,17796,,,CHEMBL624137,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7627,,17796,,,CHEMBL624320,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7628,,12923,,,CHEMBL624321,,N,Intermediate,1,,50588,Canis lupus familiaris,9615.0,,,1,BAO_0000218,,
7629,,15372,,,CHEMBL624322,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7630,,15372,,,CHEMBL624323,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7631,,15372,,,CHEMBL624324,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7632,,15372,,,CHEMBL624325,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7633,,15372,,,CHEMBL624326,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7634,,15372,,,CHEMBL624327,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7635,,15372,,,CHEMBL624328,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7636,,14169,,,CHEMBL627848,,N,Intermediate,1,,50588,Canis lupus familiaris,9615.0,,,1,BAO_0000218,,
7637,,14169,,,CHEMBL627849,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7638,,14258,,,CHEMBL627850,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7639,,14258,,,CHEMBL627851,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7640,,15011,,,CHEMBL627852,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7641,,15011,,,CHEMBL627853,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7642,,15011,,,CHEMBL627854,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7643,,15011,,,CHEMBL627855,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7644,,15011,,,CHEMBL627856,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7645,,15011,,,CHEMBL875339,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7646,,15011,,,CHEMBL627857,,N,Intermediate,1,,50594,Mus musculus,10090.0,,,1,BAO_0000218,,
7647,,11195,,,CHEMBL627858,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7648,,10130,,,CHEMBL627859,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7649,,10130,,,CHEMBL627860,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Brain,,1,BAO_0000218,955.0,
7650,,10130,,,CHEMBL627019,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Heart,,1,BAO_0000218,948.0,
7651,,10130,,,CHEMBL627020,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7652,,10130,,,CHEMBL627021,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7653,,10130,,,CHEMBL627022,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7654,,10130,,,CHEMBL627023,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7655,,10130,,,CHEMBL627024,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7656,,10130,,,CHEMBL627025,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Thyroid gland,,1,BAO_0000218,2046.0,
7657,,10130,,,CHEMBL627026,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7658,,10130,,,CHEMBL627027,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7659,,10130,,,CHEMBL627028,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Brain,,1,BAO_0000218,955.0,
7660,,10130,,,CHEMBL627029,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Heart,,1,BAO_0000218,948.0,
7661,,10130,,,CHEMBL627030,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7662,,10130,,,CHEMBL627031,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7663,,10130,,,CHEMBL627032,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7664,,10130,,,CHEMBL627033,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7665,,10130,,,CHEMBL627034,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7666,,10130,,,CHEMBL627035,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7667,,10130,,,CHEMBL627036,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Thyroid gland,,1,BAO_0000218,2046.0,
7668,,10130,,,CHEMBL875340,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7669,,10130,,,CHEMBL627037,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Heart,,1,BAO_0000218,948.0,
7670,,10130,,,CHEMBL627038,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Kidney,,1,BAO_0000218,2113.0,
7671,,10130,,,CHEMBL627039,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Liver,,1,BAO_0000218,2107.0,
7672,,10130,,,CHEMBL627040,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7673,,10130,,,CHEMBL624663,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7674,,10130,,,CHEMBL625963,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Thyroid gland,,1,BAO_0000218,2046.0,
7675,,10130,,,CHEMBL876799,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Brain,,1,BAO_0000218,955.0,
7676,,10130,,,CHEMBL626133,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Lung,,1,BAO_0000218,2048.0,
7677,,10130,,,CHEMBL626134,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7678,,6295,,,CHEMBL626135,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7679,,6296,,,CHEMBL626136,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7680,,6296,,,CHEMBL626137,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7681,,6295,,,CHEMBL626138,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7682,,6296,,,CHEMBL626139,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7683,,17260,,,CHEMBL626140,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7684,,17260,,,CHEMBL626141,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7685,,17686,,,CHEMBL626142,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,,,1,BAO_0000218,,
7686,,9866,,,CHEMBL627930,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7687,,9866,,,CHEMBL627931,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7688,,9866,,,CHEMBL627932,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Muscle tissue,,1,BAO_0000218,2385.0,
7689,,9866,,,CHEMBL627933,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7690,,9866,,,CHEMBL627934,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7691,,9866,,,CHEMBL627935,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Spleen,,1,BAO_0000218,2106.0,
7692,,9866,,,CHEMBL627936,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7693,,9866,,,CHEMBL627937,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7694,,9866,,,CHEMBL627938,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7695,,9866,,,CHEMBL627939,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7696,,9866,,,CHEMBL627940,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7697,,9866,,,CHEMBL627941,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7698,,9866,,,CHEMBL876800,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7699,,9866,,,CHEMBL627942,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7700,,9866,,,CHEMBL627943,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7701,,9866,,,CHEMBL627944,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7702,,9866,,,CHEMBL627945,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7703,,9866,,,CHEMBL628584,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7704,,9866,,,CHEMBL628585,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7705,,9866,,,CHEMBL628586,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7706,,9866,,,CHEMBL628587,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7707,,9866,,,CHEMBL628588,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7708,,9866,,,CHEMBL628589,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7709,,9866,,,CHEMBL625304,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7710,,9866,,,CHEMBL625305,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7711,,9866,,,CHEMBL625306,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7712,,9866,,,CHEMBL625307,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7713,,9866,,,CHEMBL625308,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7714,,9866,,,CHEMBL627740,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7715,,9866,,,CHEMBL627741,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7716,,9866,,,CHEMBL627742,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7717,,9866,,,CHEMBL627743,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7718,,9866,,,CHEMBL627744,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Blood,,1,BAO_0000218,178.0,
7719,,9866,,,CHEMBL627745,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7720,,9866,,,CHEMBL627746,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7721,,9866,,,CHEMBL627747,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7722,,9866,,,CHEMBL876810,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7723,,9866,,,CHEMBL627748,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7724,,9866,,,CHEMBL627749,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7725,,9866,,,CHEMBL627750,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7726,,9866,,,CHEMBL618728,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7727,,9866,,,CHEMBL618729,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7728,,9866,,,CHEMBL618730,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7729,,9866,,,CHEMBL618731,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7730,,9866,,,CHEMBL618732,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7731,,9866,,,CHEMBL618733,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7732,,9866,,,CHEMBL618734,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7733,,9866,,,CHEMBL618735,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7734,,9866,,,CHEMBL876602,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7735,,9866,,,CHEMBL618736,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
7736,,9866,,,CHEMBL618737,,N,Intermediate,1,,50597,Rattus norvegicus,10116.0,Bone,,1,BAO_0000218,10000001.0,
