AgencyID,Employer,City,NumberCreditCards,Gender,MiddleInitial,Income,NumberCars,NumberChildren,MaritalStatus,Age,CreditRating,OwnOrRentFlag,NetWorth
SPR25,Moog,St. Catharines,9.0,M,,101800.0,3.0,1.0,M,61.0,362.0,O,3850037.0
SKA26,Old Republic International,Hayward,7.0,F,,436977.0,0.0,1.0,D,,527.0,O,528440.0
Gar27,,Palmdale,0.0,m,,495334.0,0.0,,S,51.0,354.0,O,597140.0
Dor28,Great Plains Energy,Phoenix,1.0,,,274685.0,1.0,1.0,M,97.0,511.0,O,146931.0
DIO29,Broadcom,Gary,7.0,,X,320820.0,2.0,2.0,,52.0,412.0,,353495.0
Mer30,Discover Financial Services,Beaumont,1.0,m,,195835.0,4.0,0.0,S,98.0,583.0,O,295647.0
Atc31,UAL,Nashua,5.0,,R,108085.0,5.0,3.0,U,47.0,710.0,O,408941.0
Pla32,Charles Schwab,San Jose,9.0,m,X,260185.0,2.0,1.0,M,47.0,380.0,O,362523.0
SEL33,Coach,Nashua,2.0,F,E,258323.0,0.0,0.0,M,9.0,796.0,R,2102359.0
sha34,DaVita,Fort Smith,2.0,f,Z,79476.0,1.0,3.0,M,85.0,818.0,U,3480265.0
MER35,Marshall & Ilsley Corp.,Lancaster,3.0,,,102156.0,5.0,3.0,M,81.0,766.0,U,3648900.0
con36,Cablevision Systems,Colorado Springs,2.0,,,221481.0,2.0,3.0,M,0.0,359.0,O,1161790.0
ons37,Barnes & Noble,Washington,2.0,M,,41836.0,1.0,5.0,S,28.0,401.0,R,2050587.0
Sum38,EMC,Lowell,0.0,M,,72389.0,1.0,1.0,U,65.0,609.0,O,3579198.0
gro39,Fluor,Frederick,2.0,,F,66486.0,3.0,0.0,S,20.0,630.0,O,889494.0
dil40,Dollar General,Mesa,9.0,,I,200185.0,3.0,1.0,M,55.0,671.0,O,2205682.0
DOL41,Lear,Lakewood,10.0,,,289215.0,0.0,2.0,U,76.0,715.0,O,1140117.0
Pos42,J.P. Morgan Chase & Co.,Cleveland,9.0,,,322484.0,4.0,1.0,M,1.0,707.0,O,1421319.0
Mac43,Affinia Group Intermediate,Grand Rapids,0.0,,,83458.0,4.0,2.0,M,3.0,329.0,O,3525204.0
che44,,Peoria,8.0,,,,0.0,3.0,D,100.0,601.0,R,468976.0
hol45,Goldman Sachs Group,Inglewood,2.0,,,492407.0,5.0,1.0,W,81.0,623.0,O,1685443.0
pfi46,E*Trade Financial,Akron,2.0,f,,346630.0,4.0,4.0,S,76.0,376.0,O,337564.0
elk47,Pfizer,Charlottetown,0.0,,Y,9572.0,1.0,3.0,W,51.0,560.0,O,84777.0
Lab48,Safeway,Bellevue,4.0,F,,265369.0,1.0,5.0,,,693.0,O,3146477.0
laf49,Simon Property Group,Dover,0.0,,Y,104172.0,1.0,2.0,S,58.0,346.0,U,495277.0
Nor50,Trinity Industries,Fullerton,0.0,,I,65550.0,0.0,3.0,M,52.0,342.0,O,746904.0
hag51,Solutia,Denver,8.0,,,,2.0,0.0,M,91.0,563.0,R,1219620.0
Bet52,,Dallas,4.0,m,,,2.0,3.0,M,17.0,391.0,O,1718910.0
Van53,A.O. Smith,San Jose,8.0,m,,66244.0,4.0,4.0,S,6.0,381.0,O,
O'L54,AptarGroup,Bellevue,9.0,F,,426954.0,0.0,3.0,S,89.0,539.0,U,2636424.0
and55,Coca-Cola,San Buenaventura,0.0,m,,126891.0,5.0,4.0,M,99.0,497.0,O,1326305.0
sta56,Kimberly-Clark,St. Louis,,,,454196.0,4.0,2.0,M,77.0,661.0,O,2241997.0
CHA57,Visteon,Pueblo,0.0,,,163940.0,5.0,3.0,S,,558.0,R,1542891.0
ASI58,TECO Energy,Regina,,R,,365213.0,,1.0,W,90.0,534.0,O,797918.0
ask59,Bemis,Saskatoon,6.0,f,,428739.0,0.0,0.0,M,82.0,373.0,U,347654.0
Kik60,Wyeth,Jackson,8.0,,K,142444.0,4.0,0.0,M,,382.0,O,2456397.0
Cha61,United Technologies,St. Petersburg,10.0,F,,416168.0,3.0,3.0,S,15.0,475.0,O,1284229.0
KIL62,Clorox,Scottsdale,3.0,m,U,291420.0,2.0,0.0,D,,539.0,O,618787.0
kin63,Discovery Communications,Charlotte,6.0,f,,413501.0,4.0,5.0,M,96.0,711.0,O,1171606.0
MAL64,Williams-Sonoma,Waterbury,1.0,,,,4.0,,M,38.0,606.0,O,3983261.0
Odu65,Manitowoc,Chesapeake,0.0,,J,419143.0,3.0,3.0,W,10.0,494.0,O,2328568.0
DI 66,Henry Schein,Hialeah,3.0,,,155057.0,1.0,5.0,M,72.0,309.0,O,2078600.0
STU67,Trinity Industries,Charleston,3.0,,K,313859.0,2.0,5.0,M,97.0,630.0,O,2986155.0
HAM68,Pepsi Bottling,Salem,10.0,,,265907.0,4.0,1.0,S,48.0,330.0,O,1864039.0
LIB69,UGI,Sacramento,9.0,m,,283481.0,,0.0,S,97.0,710.0,O,1293721.0
ohs70,Greif,Santa Clarita,7.0,M,,200635.0,4.0,0.0,M,73.0,475.0,R,3850114.0
HUM71,Equifax,Sherbrooke,3.0,,O,434519.0,0.0,1.0,U,71.0,596.0,O,1618743.0
BRA72,,Colorado Springs,9.0,,,392315.0,5.0,1.0,W,93.0,670.0,O,3383487.0
Boa73,Freescale Semiconductor,Berkeley,,,X,493829.0,5.0,3.0,U,53.0,722.0,O,2981876.0
Mcn74,Aleris International,San Buenaventura,7.0,,,97489.0,3.0,2.0,U,32.0,587.0,O,2109339.0
MAR75,,New Haven,4.0,F,,,4.0,3.0,S,1.0,609.0,O,791803.0
Wil76,World Fuel Services,Shreveport,7.0,f,,383046.0,0.0,1.0,S,39.0,401.0,O,3523678.0
Dea77,R.R. Donnelley & Sons,Lansing,0.0,m,S,1190.0,4.0,0.0,M,77.0,335.0,,1681902.0
Hou78,Brinker International,Pembroke Pines,7.0,,,85733.0,5.0,5.0,U,18.0,569.0,O,3851455.0
Goy79,Temple-Inland,Palmdale,9.0,,,387890.0,0.0,2.0,M,70.0,,R,2339382.0
Mok80,Psychiatric Solutions,Savannah,7.0,f,Z,16808.0,2.0,0.0,S,26.0,679.0,O,
Run81,Nash-Finch,Amarillo,10.0,,I,304589.0,,4.0,M,,356.0,,2065016.0
BEL82,AMR,Anchorage,9.0,o,,48506.0,2.0,5.0,S,58.0,308.0,R,2454049.0
BAE83,Spartan Stores,Louisville,4.0,,Y,,0.0,4.0,M,43.0,412.0,O,2423395.0
MAU84,Cigna,Hilo,4.0,f,,358862.0,2.0,3.0,D,65.0,618.0,O,1342045.0
Koo85,General Cable,Sudbury,5.0,,,477614.0,5.0,3.0,S,24.0,429.0,O,861756.0
Lau86,Dun & Bradstreet,Orlando,3.0,,,175414.0,3.0,1.0,S,79.0,819.0,O,1215349.0
Man87,Casey's General Stores,Missoula,7.0,F,L,427598.0,0.0,1.0,M,48.0,552.0,O,3981554.0
PIE88,Jack in the Box,Abilene,9.0,,,368207.0,0.0,4.0,S,69.0,587.0,O,3865937.0
Bus89,Assurant,Saskatoon,6.0,M,,449944.0,3.0,1.0,S,91.0,304.0,O,2804700.0
BAB90,Psychiatric Solutions,Irvine,4.0,,,166247.0,5.0,5.0,,75.0,795.0,U,3283558.0
Bur91,Danaher,Reno,2.0,M,,391165.0,1.0,3.0,S,85.0,830.0,O,450524.0
Kin92,Clorox,Sacramento,3.0,,,165854.0,5.0,3.0,M,76.0,709.0,R,
POM93,Boyd Gaming,Topeka,8.0,,,326181.0,2.0,1.0,S,68.0,493.0,O,
BOA94,Eaton,Rancho Cucamonga,,M,,173387.0,3.0,,M,95.0,680.0,O,633760.0
Ron95,Dynegy,Hilo,,,R,301127.0,1.0,5.0,M,15.0,800.0,R,3634954.0
wei96,AmeriCredit,Saint John,4.0,,A,487230.0,1.0,5.0,M,17.0,614.0,R,799268.0
Hel97,SLM,Torrance,6.0,M,P,425747.0,4.0,0.0,,94.0,763.0,R,39093.0
mog98,NV Energy,Santa Clara,3.0,m,,401946.0,4.0,4.0,S,70.0,561.0,O,2705353.0
boz99,Landstar System,Torrance,4.0,,,425422.0,1.0,2.0,S,29.0,569.0,O,3565153.0
Zah100,Pacific Life,Stockton,5.0,,R,208890.0,4.0,1.0,M,52.0,634.0,O,2832204.0
And101,Textron,Paterson,10.0,F,,67880.0,5.0,3.0,U,51.0,488.0,O,2194345.0
Bam102,Pfizer,Mesa,5.0,,L,133412.0,2.0,3.0,W,24.0,788.0,O,3737140.0
fro103,Cigna,Anchorage,8.0,,,144829.0,3.0,4.0,D,98.0,333.0,O,464753.0
Car104,Ameren,Miami,,,J,,1.0,1.0,M,59.0,601.0,U,596696.0
muc105,Consolidated Edison,Great Falls,2.0,f,V,143682.0,3.0,4.0,U,49.0,595.0,O,1504753.0
gat106,Occidental Petroleum,Erie,10.0,,,350020.0,0.0,1.0,U,1.0,433.0,O,3049281.0
Sch107,Sherwin-Williams,Hollywood,10.0,F,M,435103.0,0.0,,U,79.0,403.0,O,247478.0
pom108,Affiliated Computer Services,Tulsa,3.0,,,207768.0,1.0,5.0,,6.0,615.0,R,2750301.0
cuc109,Valassis Communications,Tucson,1.0,F,K,407512.0,0.0,4.0,M,70.0,735.0,O,721333.0
SUG110,,Anchorage,1.0,q,Z,403366.0,3.0,0.0,S,23.0,668.0,O,669440.0
Pep111,Smithfield Foods,Sandy,,,,384095.0,3.0,5.0,M,78.0,349.0,O,2473979.0
Cha112,,Boston,,f,,288969.0,4.0,,S,79.0,654.0,,3545170.0
SEI113,TD Ameritrade,Vancouver,6.0,m,U,233665.0,2.0,3.0,U,72.0,361.0,O,1494871.0
GAR114,Comerica,Akron,1.0,F,S,147236.0,4.0,0.0,S,31.0,427.0,U,436164.0
Tou115,Steel Dynamics,Lancaster,1.0,M,,452557.0,0.0,3.0,W,86.0,322.0,O,1069481.0
Kur116,Coca-Cola Enterprises,Concord,9.0,M,V,179305.0,2.0,0.0,S,,792.0,R,
Her117,News Corp.,Chesapeake,2.0,,,205817.0,3.0,0.0,U,87.0,478.0,O,2957261.0
MCV118,,Flint,1.0,,P,262711.0,,5.0,M,92.0,477.0,O,228459.0
LAB119,Stater Bros. Holdings,Chattanooga,6.0,F,,84810.0,1.0,5.0,M,4.0,449.0,O,67267.0
but120,BorgWarner,Billings,2.0,,,96441.0,2.0,4.0,U,8.0,466.0,O,1087978.0
Pro121,CB Richard Ellis Group,Scottsdale,2.0,m,,462762.0,0.0,5.0,M,97.0,483.0,O,3885967.0
Irc122,Zimmer Holdings,Oshawa,4.0,,,141890.0,5.0,4.0,D,,588.0,O,3271101.0
Ziv123,Mohawk Industries,Naperville,2.0,,G,156610.0,5.0,5.0,,40.0,313.0,O,
sim124,Berkshire Hathaway,Tampa,1.0,,H,164752.0,1.0,4.0,U,95.0,647.0,R,1999133.0
kei125,Saks,Jackson,2.0,,I,278949.0,1.0,5.0,S,92.0,430.0,O,1100786.0
arv126,Gardner Denver,Hay River,8.0,f,P,,0.0,5.0,W,67.0,467.0,O,563992.0
Pra127,Hasbro,Irvine,7.0,F,,463736.0,3.0,2.0,M,24.0,399.0,O,962397.0
lue128,CBS,Idaho Falls,5.0,m,C,,2.0,3.0,M,26.0,654.0,O,1064169.0
Prz129,Synnex,Moreno Valley,3.0,f,,86667.0,2.0,0.0,S,62.0,378.0,O,2100059.0
pen130,Belden,Ontario,10.0,f,J,193470.0,5.0,1.0,W,37.0,338.0,O,99025.0
Gua131,Broadcom,Concord,10.0,,S,406379.0,5.0,0.0,S,71.0,695.0,R,3865481.0
bre132,Reynolds American,Phoenix,7.0,F,,480595.0,1.0,3.0,M,29.0,614.0,U,804544.0
Sav133,Wells Fargo,Coral Springs,7.0,f,X,181718.0,4.0,5.0,S,89.0,307.0,O,3143356.0
ABB134,Retail Ventures,Oxnard,2.0,,Z,468310.0,0.0,3.0,M,11.0,331.0,O,
OP135,AT&T,Brownsville,2.0,M,N,354987.0,2.0,0.0,S,20.0,638.0,O,2311953.0
Mer136,Wynn Resorts,Memphis,3.0,,,284539.0,3.0,5.0,W,75.0,703.0,O,3120608.0
rut137,Eastman Kodak,Flint,7.0,F,,213725.0,0.0,5.0,S,95.0,302.0,O,2058270.0
bem138,Aramark,Lafayette,,,I,74195.0,2.0,3.0,U,0.0,522.0,O,1511983.0
Pen139,ENSCO International,Greensboro,,,,169295.0,5.0,1.0,M,73.0,,O,439080.0
tor140,Auto-Owners Insurance,Sterling Heights,5.0,M,Y,307832.0,1.0,0.0,W,39.0,833.0,R,921255.0
law141,Bemis,Costa Mesa,2.0,m,L,20397.0,1.0,1.0,U,76.0,,O,3810365.0
Bee142,Securian Financial Group,Houston,6.0,m,D,463094.0,2.0,2.0,U,5.0,664.0,O,2641938.0
sch143,Ford Motor,Bakersfield,7.0,m,,331900.0,4.0,1.0,U,65.0,789.0,O,3857323.0
Wit144,ConAgra Foods,Chesapeake,0.0,,,8421.0,5.0,0.0,S,94.0,803.0,U,1636212.0
MER145,Charter Communications,Sandy,3.0,F,Q,35780.0,4.0,4.0,M,95.0,720.0,,2999082.0
bia146,Calpine,Lewiston,4.0,m,,139897.0,1.0,0.0,M,28.0,839.0,R,2280820.0
Swi147,Crane,Elizabeth,0.0,m,P,414119.0,4.0,1.0,D,76.0,621.0,O,1050866.0
bul148,Textron,Sudbury,3.0,,,234035.0,5.0,4.0,D,81.0,628.0,O,
TYR149,Idearc,Austin,6.0,F,,144405.0,3.0,5.0,W,38.0,813.0,O,603001.0
Fyf150,Cabela's,Salinas,3.0,,,55441.0,5.0,3.0,W,25.0,367.0,R,3368239.0
Sic151,EOG Resources,Peoria,10.0,,,392869.0,4.0,2.0,D,0.0,807.0,O,1042629.0
CAS152,,Sydney,8.0,F,,402416.0,3.0,4.0,U,61.0,501.0,O,1948746.0
Cho153,Burlington Coat Factory,San Antonio,10.0,,S,89984.0,0.0,2.0,U,3.0,490.0,O,3113862.0
CHA154,Southwest Airlines,Oklahoma City,3.0,,,395773.0,2.0,3.0,W,77.0,321.0,O,2777290.0
bei155,RPM International,Miami,6.0,f,E,126662.0,1.0,0.0,U,8.0,,R,2210073.0
Ele156,Amazon.com,Yonkers,7.0,m,J,132008.0,4.0,1.0,U,34.0,446.0,O,1999684.0
o'g157,Neiman Marcus,Columbia,2.0,F,,417218.0,5.0,5.0,M,15.0,428.0,O,2119678.0
Kat158,Goldman Sachs Group,Lubbock,5.0,,,360063.0,0.0,0.0,S,66.0,423.0,O,169808.0
Lui159,Boeing,Chattanooga,6.0,,O,100516.0,5.0,4.0,U,55.0,499.0,O,1072732.0
Kla160,United Refining,Fargo,7.0,f,,16814.0,1.0,1.0,S,8.0,342.0,O,2261442.0
Bru161,D.R. Horton,Omaha,1.0,,Z,,1.0,3.0,M,7.0,632.0,U,2234368.0
Apt162,Jarden,Yonkers,6.0,,Q,315962.0,3.0,1.0,M,97.0,525.0,O,575288.0
sch163,Systemax,Spokane,9.0,f,,299268.0,5.0,1.0,M,95.0,371.0,R,1102479.0
Lan164,Marriott International,Tulsa,4.0,,,301490.0,1.0,3.0,U,92.0,699.0,O,2995388.0
Fus165,Expeditors International,Garden Grove,8.0,F,,36052.0,3.0,2.0,M,17.0,435.0,O,1147193.0
Nev166,Great Plains Energy,Fort Lauderdale,2.0,F,R,437483.0,1.0,4.0,U,81.0,512.0,U,1136540.0
SHA167,Danaher,Philadelphia,6.0,f,,152971.0,5.0,,M,13.0,552.0,O,1677669.0
Sau168,,Sydney,8.0,,P,449495.0,0.0,2.0,M,78.0,,O,2160706.0
fri169,Watson Wyatt Worldwide,Waterbury,5.0,,,349827.0,4.0,1.0,M,78.0,687.0,O,2525665.0
fer170,Yahoo,Tacoma,0.0,,O,9562.0,3.0,1.0,M,85.0,433.0,R,3517622.0
LAN171,Convergys,Charlottetown,7.0,M,,24514.0,1.0,2.0,U,68.0,746.0,,
Bha172,Celanese,Independence,9.0,,,407985.0,0.0,0.0,M,1.0,405.0,R,97675.0
Jor173,Dana Holding,Escondido,,M,,,5.0,5.0,M,83.0,805.0,O,
KNU174,XTO Energy,Lansing,5.0,F,,257897.0,4.0,4.0,M,78.0,819.0,O,3569070.0
Ham175,Alliance Data Systems,Anaheim,0.0,F,,261143.0,0.0,5.0,M,,648.0,O,1507616.0
MAU176,Franklin Resources,Glendale,10.0,,,110615.0,5.0,5.0,U,5.0,401.0,R,514151.0
Rez177,Fidelity National Financial,Chula Vista,8.0,F,,407799.0,2.0,0.0,U,43.0,484.0,U,2903408.0
Koa178,FirstEnergy,Orlando,1.0,,,195242.0,4.0,4.0,U,53.0,463.0,O,1695814.0
HAN179,Commercial Metals,Cleveland,5.0,m,B,315490.0,3.0,0.0,U,13.0,335.0,O,868465.0
jak180,Genzyme,Huntington,10.0,,I,22201.0,5.0,4.0,U,7.0,,O,2810709.0
ump181,US Airways Group,Fayetteville,7.0,,C,441579.0,4.0,5.0,M,17.0,381.0,R,3593363.0
Wic182,Advanced Micro Devices,Riverside,1.0,,G,342730.0,2.0,2.0,M,67.0,708.0,O,2607636.0
Gat183,United Parcel Service,Dayton,8.0,F,,117267.0,5.0,4.0,M,54.0,354.0,R,2735642.0
bot184,Fastenal,Corona,10.0,,,260107.0,1.0,4.0,S,5.0,547.0,,1501732.0
DAV185,Core-Mark Holding,Oklahoma City,9.0,,T,166760.0,1.0,1.0,D,28.0,761.0,O,397072.0
HIL186,Boise,Dallas,1.0,F,,401021.0,4.0,1.0,M,5.0,659.0,O,3399757.0
war187,DST Systems,Durham,9.0,,,70945.0,4.0,2.0,M,,351.0,R,2684548.0
MAC188,United States Steel,Tacoma,7.0,m,,389391.0,3.0,3.0,S,72.0,608.0,O,3041622.0
lev189,Pepco Holdings,Alexandria,3.0,F,A,63226.0,4.0,2.0,S,12.0,706.0,O,3211816.0
Goo190,Acuity Brands,Hialeah,8.0,,,206220.0,0.0,4.0,M,71.0,391.0,O,127026.0
Koh191,Baker Hughes,Denver,2.0,,E,,5.0,4.0,W,90.0,461.0,R,588945.0
AYL192,Newell Rubbermaid,Fort Lauderdale,2.0,M,,337152.0,4.0,4.0,U,20.0,510.0,O,1962620.0
CHO193,Westlake Chemical,Mesa,5.0,F,E,312074.0,,2.0,W,58.0,805.0,O,178193.0
DIT194,Jones Lang LaSalle,Cleveland,7.0,,G,68551.0,2.0,4.0,M,57.0,702.0,O,2102811.0
EMI195,Burger King Holdings,Lewiston,3.0,,,488800.0,4.0,1.0,W,43.0,368.0,O,2246854.0
Ryd196,Hovnanian Enterprises,Tallahassee,8.0,m,,431633.0,3.0,2.0,W,39.0,520.0,R,1312448.0
mei197,Medical Mutual of Ohio,El Monte,2.0,,S,72797.0,0.0,3.0,S,87.0,666.0,O,295993.0
Ceg198,Lockheed Martin,Sioux Falls,9.0,,,260576.0,0.0,1.0,S,57.0,587.0,O,1220003.0
hai199,Yum Brands,Columbia,4.0,,Z,200096.0,4.0,5.0,U,58.0,643.0,O,2400476.0
cle200,Wesco International,San Francisco,5.0,,J,,,4.0,,28.0,484.0,R,2900897.0
Cie201,Volt Information Sciences,Santa Clara,3.0,,W,267656.0,3.0,1.0,U,95.0,,R,3942140.0
Par202,Western Union,Greensboro,8.0,f,,35253.0,1.0,2.0,S,98.0,676.0,R,2118119.0
LOZ203,,Waco,4.0,f,K,113159.0,5.0,2.0,M,55.0,300.0,O,338540.0
Pas204,Lubrizol,Rochester,8.0,,,297444.0,2.0,3.0,,14.0,,R,2617116.0
Aul205,C.H. Robinson Worldwide,Tampa,9.0,,,52092.0,3.0,1.0,M,30.0,831.0,O,1459711.0
bar206,Celgene,Paterson,7.0,F,N,30249.0,3.0,1.0,M,90.0,609.0,O,1804959.0
ELL207,Leggett & Platt,Fullerton,2.0,,,483052.0,2.0,0.0,S,69.0,679.0,O,2957472.0
for208,Fidelity National Information,London,6.0,m,P,287060.0,4.0,0.0,U,67.0,634.0,O,2919293.0
Bur209,Arch Coal,Newark,4.0,,U,274154.0,1.0,1.0,W,41.0,338.0,O,3610130.0
FOL210,Affinia Group Intermediate,Buffalo,4.0,F,,379659.0,5.0,5.0,M,2.0,332.0,O,1209441.0
Led211,Kellogg,El Paso,8.0,m,,,0.0,0.0,M,89.0,721.0,O,1058712.0
kop212,PerkinElmer,Toledo,3.0,,N,100796.0,4.0,1.0,,88.0,351.0,O,1946028.0
pay213,Limited Brands,Sterling Heights,6.0,,,128277.0,1.0,1.0,M,90.0,564.0,O,1420984.0
PAL214,OfficeMax,New Haven,9.0,,,147414.0,1.0,3.0,M,54.0,379.0,O,213235.0
fel215,J.B. Hunt Transport Services,Dallas,8.0,,,51559.0,1.0,2.0,S,53.0,727.0,O,472425.0
ATW216,American Express,Milwaukee,2.0,,,355622.0,2.0,3.0,U,89.0,578.0,O,1160132.0
Mcb217,Occidental Petroleum,Anaheim,10.0,M,S,468116.0,5.0,1.0,W,31.0,642.0,O,2869995.0
Jal218,Shaw Group,Huntington Beach,1.0,M,B,276728.0,1.0,0.0,M,1.0,,O,3727044.0
vem219,W.W. Grainger,Naperville,,,,135306.0,3.0,0.0,S,57.0,554.0,R,2293241.0
BAR220,IDT,Iqaluit,6.0,,D,99566.0,1.0,0.0,U,10.0,733.0,U,2846515.0
PES221,General Mills,Winnipeg,10.0,M,U,263959.0,2.0,4.0,M,74.0,345.0,O,1619956.0
Sha222,RBS Global,St. Petersburg,6.0,F,,441498.0,2.0,0.0,M,28.0,644.0,R,2367607.0
Sch223,Realogy,Waterbury,3.0,M,J,429621.0,3.0,0.0,S,96.0,564.0,U,3795566.0
Mat224,ArvinMeritor,Lubbock,10.0,,L,181214.0,1.0,3.0,M,42.0,465.0,O,734762.0
JAI225,Amkor Technology,London,8.0,,,212502.0,,4.0,D,64.0,652.0,O,908994.0
KAR226,Lear,Des Moines,6.0,,,244545.0,5.0,4.0,M,,714.0,O,2561296.0
gus227,Asbury Automotive Group,Madison,10.0,,,218681.0,5.0,4.0,M,49.0,383.0,R,3181069.0
Ann228,Limited Brands,Scottsdale,7.0,,K,296916.0,,5.0,,81.0,336.0,O,2632226.0
lab229,Beazer Homes USA,Mount Pearl,9.0,,R,453659.0,0.0,2.0,,57.0,626.0,O,
fli230,,Iqaluit,0.0,f,M,194450.0,3.0,0.0,S,42.0,549.0,U,1151333.0
sat231,Acuity Brands,Moreno Valley,0.0,,,49533.0,5.0,4.0,U,30.0,492.0,O,2763939.0
tho232,ABM Industries,Naperville,0.0,,I,394819.0,2.0,4.0,M,56.0,327.0,O,370710.0
CRI233,,Norfolk,10.0,m,L,342754.0,3.0,3.0,S,3.0,545.0,O,1192164.0
Gas234,Southwestern Energy,Louisville,0.0,M,V,224435.0,1.0,0.0,M,53.0,571.0,O,223487.0
Cha235,Delta Air Lines,Akron,7.0,f,,37717.0,0.0,2.0,W,67.0,423.0,O,2341143.0
Net236,ITT,Whitehorse,4.0,,,286483.0,1.0,0.0,,94.0,655.0,O,1774784.0
WOO237,Health Management Associates,Salem,0.0,m,,185412.0,0.0,5.0,M,37.0,488.0,O,3951308.0
val238,Western Union,Memphis,6.0,,,472518.0,4.0,,M,75.0,352.0,,2756025.0
Ber239,Family Insurance Group,Fayetteville,0.0,f,,425307.0,,1.0,M,51.0,810.0,O,1833112.0
lab240,Advance Auto Parts,Lansing,8.0,,F,304909.0,2.0,2.0,D,74.0,686.0,O,698884.0
VRE241,J.P. Morgan Chase & Co.,Atlanta,0.0,m,X,231226.0,0.0,2.0,M,100.0,389.0,R,3287261.0
GOO242,Fidelity National Financial,Gary,,F,,219026.0,0.0,0.0,M,,761.0,U,3337290.0
cha243,Toro,Atlanta,4.0,,S,414993.0,0.0,1.0,D,28.0,589.0,O,2963197.0
TAM244,Mueller Water Products,Dawson City,1.0,F,W,24837.0,0.0,0.0,M,18.0,492.0,O,1487009.0
CUM245,Energy Future Holdings,Mobile,10.0,M,,200645.0,2.0,5.0,D,77.0,442.0,U,3177428.0
SIM246,Weis Markets,Santa Clarita,8.0,,E,22605.0,4.0,3.0,S,14.0,649.0,O,1886280.0
Est247,MasterCard,Chicago,8.0,,,,0.0,0.0,U,23.0,337.0,O,1853087.0
han248,Oracle,Nashua,8.0,F,P,389524.0,4.0,,D,1.0,572.0,R,195847.0
Pee249,Mutual of America Life,West Covina,0.0,,Y,232945.0,4.0,3.0,M,58.0,666.0,U,3727580.0
bli250,JetBlue Airways,Mesa,4.0,M,T,390626.0,2.0,3.0,D,98.0,567.0,O,2993662.0
Lea251,Western Refining,El Paso,5.0,,,286207.0,5.0,3.0,,76.0,574.0,O,2886788.0
Wil252,Western Refining,Victoria,2.0,F,U,391468.0,5.0,0.0,S,59.0,498.0,,3672610.0
kom253,Bristol-Myers Squibb,Hayward,9.0,f,,171326.0,5.0,2.0,U,81.0,836.0,R,3245637.0
Wel254,AutoNation,Oshawa,8.0,,,294972.0,2.0,3.0,M,31.0,759.0,,959636.0
Lac255,Boeing,Hamilton,6.0,,,131039.0,3.0,5.0,S,1.0,563.0,O,1037702.0
