miller2_FiYe,miller2_CouReN,miller2_OrgaID,miller2_IndigIs,miller2_BrN,miller2_SecPer,miller2_OrganTy,miller2_SecID,miller2_ChIss,miller2_ProBroCounID,miller2_Biodiv,miller2_ConNa,Sector ID,miller2_OrganiCl,miller2_DiID,miller2_CliChaAda,miller2_ClChaMiti,miller2_Deser,miller2_PartiDevAGoGov,miller2_TrDevelo,miller2_UrIs,miller2_YoIss,miller2_DisIs,miller2_ICTAATFoDeve,miller2_KnoFDevelo,miller2_GeEqu,miller2_OrgN,miller2_OrgSu,miller2_ContiID,miller2_CouRegID,miller2_CouRegPer,miller2_SecNa,miller2_AmSp
2009/2010,Europe MC,1001730,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5330,0,X4,0,Europe,72010,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,1,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,5,X4,0.05,Material relief assistance and services,700000.0
2009/2010,Asia MC,1014663,0,MFM Global Issues and Development,1.0,Canadian Non-Profit Making,S5320,0,X3,0,Asia,72010,Civil Society,D5301,0,0,0,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,3,X3,1.0,Material relief assistance and services,500000.0
2009/2010,Africa MC,1003586,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,X1,0,Africa,72050,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,2,X1,0.5,Relief co-ordination; protection and support services,1350000.0
2009/2010,Americas MC,1003586,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,X2,0,America,72050,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,1,X2,0.15,Relief co-ordination; protection and support services,405000.0
2009/2010,Asia MC,1003586,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,X3,0,Asia,72050,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,3,X3,0.3,Relief co-ordination; protection and support services,810000.0
2009/2010,Europe MC,1003586,0,MFM Global Issues and Development,1.0,Foreign Non-Profit Making,S5320,0,X4,0,Europe,72050,Multilateral,D5301,0,0,0,0,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,5,X4,0.05,Relief co-ordination; protection and support services,135000.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural policy and administrative management,39000.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural development,39000.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural inputs,19500.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Food crop production,19500.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural extension,19500.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural research,19500.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural services,19500.0
2009/2010,Afghanistan,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,AF,0,Asia,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,AF,0.0065,Agricultural financial services,19500.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural policy and administrative management,630000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural development,630000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural inputs,315000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Food crop production,315000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural extension,315000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural research,315000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural services,315000.0
2009/2010,Bangladesh,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BD,0,Asia,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,3,BD,0.105,Agricultural financial services,315000.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural policy and administrative management,48600.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural development,48600.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural inputs,24300.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Food crop production,24300.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural extension,24300.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural research,24300.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural services,24300.0
2009/2010,Burundi,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BI,0,Africa,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BI,0.0081,Agricultural financial services,24300.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural policy and administrative management,43800.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural development,43800.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural inputs,21900.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Food crop production,21900.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural extension,21900.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural research,21900.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural services,21900.0
2009/2010,Benin,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,BJ,0,Africa,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,BJ,0.0073,Agricultural financial services,21900.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural policy and administrative management,34200.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural development,34200.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural inputs,17100.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Food crop production,17100.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural extension,17100.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural research,17100.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural services,17100.0
2009/2010,Central Afr.Rep,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,CF,0,Africa,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,CF,0.0057,Agricultural financial services,17100.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural policy and administrative management,24000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural development,24000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural inputs,12000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Food crop production,12000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural extension,12000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural research,12000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural services,12000.0
2009/2010,Djibouti,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,DJ,0,Africa,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,DJ,0.004,Agricultural financial services,12000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural policy and administrative management,1332000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural development,1332000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural inputs,666000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Food crop production,666000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural extension,666000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural research,666000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31191,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural services,666000.0
2009/2010,Ethiopia,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,ET,0,Africa,31193,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,ET,0.222,Agricultural financial services,666000.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31110,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Agricultural policy and administrative management,48600.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.2,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31120,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Agricultural development,48600.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31150,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Agricultural inputs,24300.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31161,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Food crop production,24300.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31166,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Agricultural extension,24300.0
2009/2010,Guinea,1001306,0,MFM Global Issues and Development,0.1,Foreign Non-Profit Making,S5460,0,GN,0,Africa,31182,Multilateral,D5430,0,0,0,0,1,0,0,0,0,0,1,World Bank,IFI,2,GN,0.0081,Agricultural research,24300.0
