rltnshp_tp,ss_strn,src_ss_d,tss_d,b_frmt,crtd_b,ss_ctgr,ss_tp,ss_tss,chmbl_d,td,ss_cll_tp,cnfdnc_scr,ss_tx_d,ss_d,ss_tst_tp,vrnt_d,dscrptn,dc_d,ss_rgnsm,ss_sbclllr_frctn,cll_d,src_d
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624137,50597,,1,10116.0,7626,,,Area under curve was determined after oral administration in rats; No data,17796,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624320,50597,,1,10116.0,7627,,,Area under curve was determined after oral administration in rats;No data,17796,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624321,50588,,1,9615.0,7628,,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,12923,Canis lupus familiaris,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624322,50597,,1,10116.0,7629,,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624323,50597,,1,10116.0,7630,,,Area under curve was determined for the compound after iv dose of 5.06 in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624324,50597,,1,10116.0,7631,,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624325,50597,,1,10116.0,7632,,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624326,50597,,1,10116.0,7633,,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624327,50597,,1,10116.0,7634,,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL624328,50597,,1,10116.0,7635,,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,15372,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627848,50588,,1,9615.0,7636,,,Area under curve was determined in Dogs after peroral administration,14169,Canis lupus familiaris,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627849,50597,,1,10116.0,7637,,,Area under curve was determined in Rats after peroral administration,14169,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627850,50597,,1,10116.0,7638,,,Area under curve was determined in carotid blood of rat when administered intradermally,14258,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627851,50597,,1,10116.0,7639,,,Area under curve was determined in portal blood of rat when administered intradermally,14258,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627852,50594,,1,10090.0,7640,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627853,50594,,1,10090.0,7641,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627854,50594,,1,10090.0,7642,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627855,50594,,1,10090.0,7643,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627856,50594,,1,10090.0,7644,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL875339,50594,,1,10090.0,7645,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,15011,Mus musculus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627857,50594,,1,10090.0,7646,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),15011,Mus musculus,,,1
N,,,2106.0,BAO_0000218,Intermediate,,A,Spleen,CHEMBL627858,50597,,1,10116.0,7647,In vivo,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,11195,Rattus norvegicus,,,1
N,,,178.0,BAO_0000218,Intermediate,,A,Blood,CHEMBL627859,50597,,1,10116.0,7648,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,955.0,BAO_0000218,Intermediate,,A,Brain,CHEMBL627860,50597,,1,10116.0,7649,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,948.0,BAO_0000218,Intermediate,,A,Heart,CHEMBL627019,50597,,1,10116.0,7650,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2107.0,BAO_0000218,Intermediate,,A,Liver,CHEMBL627020,50597,,1,10116.0,7651,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2048.0,BAO_0000218,Intermediate,,A,Lung,CHEMBL627021,50597,,1,10116.0,7652,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2385.0,BAO_0000218,Intermediate,,A,Muscle tissue,CHEMBL627022,50597,,1,10116.0,7653,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,,BAO_0000218,Intermediate,,A,,CHEMBL627023,50597,,1,10116.0,7654,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2106.0,BAO_0000218,Intermediate,,A,Spleen,CHEMBL627024,50597,,1,10116.0,7655,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2046.0,BAO_0000218,Intermediate,,A,Thyroid gland,CHEMBL627025,50597,,1,10116.0,7656,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2113.0,BAO_0000218,Intermediate,,A,Kidney,CHEMBL627026,50597,,1,10116.0,7657,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,178.0,BAO_0000218,Intermediate,,A,Blood,CHEMBL627027,50597,,1,10116.0,7658,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,955.0,BAO_0000218,Intermediate,,A,Brain,CHEMBL627028,50597,,1,10116.0,7659,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,948.0,BAO_0000218,Intermediate,,A,Heart,CHEMBL627029,50597,,1,10116.0,7660,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
N,,,2113.0,BAO_0000218,Intermediate,,A,Kidney,CHEMBL627030,50597,,1,10116.0,7661,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,10130,Rattus norvegicus,,,1
