assay_id,curated_by,assay_test_type,assay_strain,assay_type,relationship_type,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type,assay_subcellular_fraction
44,Autocuration,,,B,H,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
45,Autocuration,,,B,H,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,9606.0,,,
46,Autocuration,,,B,H,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,9606.0,,,
47,Expert,,,B,D,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,10116.0,,,
48,Expert,,,B,D,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,10116.0,,,
49,Expert,,,B,D,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,10116.0,,,
50,Expert,,,B,D,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,10116.0,,,
51,Autocuration,,,B,H,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,
52,Autocuration,,,B,H,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,
53,Autocuration,,,B,H,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,
54,Autocuration,,,B,H,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,
55,Autocuration,,,B,D,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Rattus norvegicus,10116.0,,,Membranes
56,Intermediate,,,F,N,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,Homo sapiens,9606.0,,1A9,
57,Autocuration,,,F,D,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Rattus norvegicus,10116.0,,Oocytes,
58,Autocuration,,,F,D,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Rattus norvegicus,10116.0,,Oocytes,
59,Autocuration,,,F,D,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Rattus norvegicus,10116.0,,Oocytes,
60,Expert,,,F,N,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,Homo sapiens,9606.0,,1A9,
61,Intermediate,,,F,N,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,Homo sapiens,9606.0,,1A9,
62,Intermediate,,,F,N,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,Homo sapiens,9606.0,,1A9,
63,Intermediate,,,F,N,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,Homo sapiens,9606.0,,1A9,
64,Intermediate,,,F,N,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,Homo sapiens,9606.0,,1A9,
65,Expert,,,F,N,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,Homo sapiens,9606.0,,1A9,
66,Intermediate,,,F,N,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,Homo sapiens,9606.0,,1A9,
67,Intermediate,,,F,N,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,Homo sapiens,9606.0,,1A9,
68,Intermediate,,,F,N,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,Homo sapiens,9606.0,,1A9,
69,Intermediate,,,F,N,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,Homo sapiens,9606.0,,1A9,
70,Expert,,,F,N,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,Homo sapiens,9606.0,,1A9,
71,Expert,,,F,N,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,Homo sapiens,9606.0,,1A9,
72,Expert,,,F,N,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,Homo sapiens,9606.0,,1A9,
73,Intermediate,,,F,N,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,Homo sapiens,9606.0,,1A9,
74,Intermediate,,,F,N,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,9606.0,,1A9,
75,Intermediate,,,F,N,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,9606.0,,1A9,
76,Intermediate,,,F,N,17721,Inhibitory concentration against Jurkat cells,,Homo sapiens,9606.0,,Jurkat,
77,Intermediate,,,F,U,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,
78,Expert,,,A,D,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,10116.0,,,
79,Expert,,,B,H,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
80,Expert,,,B,H,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,
81,Expert,,,B,H,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,
82,Autocuration,,,B,H,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,,Microsomes
83,Autocuration,,,B,H,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,5476.0,,,Microsomes
84,Autocuration,,,B,H,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,,Microsomes
85,Autocuration,,,B,H,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,4932.0,,,Microsomes
86,Autocuration,,,B,H,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Sus scrofa,9823.0,Liver,,Microsomes
87,Autocuration,,,B,H,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,10116.0,,,
88,Autocuration,,,B,H,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,10116.0,,,
89,Autocuration,,,B,H,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,10116.0,,,
90,Autocuration,,,B,D,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,Liver,,Microsomes
91,Autocuration,,,B,D,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,Liver,,Microsomes
92,Autocuration,,,B,D,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,10116.0,Liver,,Microsomes
93,Expert,,,B,H,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,
94,Expert,,,B,H,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,
95,Expert,,,F,N,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,9606.0,,HepG2,
96,Intermediate,,,F,N,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,9606.0,,HepG2,
97,Intermediate,,,F,N,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,9606.0,,HepG2,
98,Intermediate,,,F,N,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,9606.0,,HepG2,
99,Intermediate,,,F,N,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,HepG2,
100,Expert,,,F,N,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,10407.0,,,
101,Intermediate,,,F,N,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,9606.0,,HepG2,
102,Intermediate,,,F,N,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,9606.0,,HepG2,
103,Intermediate,,,A,N,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,9606.0,,HepG2,
104,Intermediate,,,F,N,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,9606.0,,2.2.15,
105,Intermediate,,,F,N,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,2.2.15,
106,Expert,,,F,N,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,10407.0,,2.2.15,
107,Intermediate,,,F,N,1593,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,,2.2.15,
108,Intermediate,,,F,N,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,2.2.15,
109,Intermediate,,,F,N,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,9606.0,,2.2.15,
110,Intermediate,,,F,N,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,9606.0,,2.2.15,
111,Intermediate,,,F,N,1593,Cytotoxicity in 2.2.15 cells,,Homo sapiens,9606.0,,2.2.15,
112,Intermediate,,,F,N,1593,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,9606.0,,2.2.15,
113,Intermediate,,,F,N,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,9606.0,,2.2.15,
114,Intermediate,,,F,N,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,2.2.15,
115,Intermediate,,,F,N,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,9606.0,,2.2.15,
116,Intermediate,,,F,N,14764,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,9606.0,,HepG2,
117,Autocuration,,,B,U,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,9606.0,,,Microsomes
118,Autocuration,,,B,U,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,
119,Intermediate,,,F,N,17072,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,9606.0,,2008,
120,Intermediate,,,F,N,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,9606.0,,2008,
121,Intermediate,,,F,N,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,9606.0,,2008,
122,Intermediate,,,F,N,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,9606.0,,2008,
123,Intermediate,,,F,N,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,9606.0,,2008,
124,Intermediate,,,F,N,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,9606.0,,2008/R,
125,Intermediate,,,F,N,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,,2008/R,
126,Intermediate,,,F,N,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,9606.0,,2008/S,
127,Intermediate,,,F,N,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,9606.0,,2008/S,
128,Expert,,,B,S,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,9606.0,,,
129,Intermediate,,,B,S,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,9606.0,,,
130,Expert,,,B,S,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,
131,Expert,,,B,S,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,
132,Intermediate,,,B,S,3260,Inhibitory activity against 20S proteosome,,,,,,
133,Autocuration,,,B,U,3451,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,9606.0,,,
134,Intermediate,,,F,N,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,,HepG2,
135,Intermediate,,,F,N,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,9606.0,,HepG2,
136,Autocuration,,,B,U,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,
137,Autocuration,,,B,H,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,
138,Autocuration,,,F,U,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,Rattus norvegicus,10116.0,Heart,,
139,Autocuration,,,F,H,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
140,Expert,,,F,H,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
141,Autocuration,,,B,H,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
142,Expert,,,F,H,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,
143,Intermediate,,,F,N,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,10090.0,,P338,
144,Intermediate,,,F,N,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,10090.0,,P338,
145,Intermediate,,,F,N,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,9606.0,,PBL,
146,Autocuration,,,F,U,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,9940.0,,,
147,Autocuration,,,F,U,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,Ovis aries,9940.0,,,
148,Autocuration,,,B,H,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,
149,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,Homo sapiens,9606.0,,,
150,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,Homo sapiens,9606.0,,,
151,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,Homo sapiens,9606.0,,CCRF-CEM,
152,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,Homo sapiens,9606.0,,CCRF-CEM,
153,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,Homo sapiens,9606.0,,CCRF-CEM,
154,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,Homo sapiens,9606.0,,CCRF-CEM,
155,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,Homo sapiens,9606.0,,,
156,Autocuration,,,F,U,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,Homo sapiens,9606.0,,,
157,Autocuration,,,B,H,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,
158,Intermediate,,,F,N,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,Streptococcus pyogenes,1314.0,,,
159,Intermediate,,,F,N,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,Human herpesvirus 3,10335.0,,,
160,Expert,,,F,N,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,vericilla zoster virus,10335.0,,HEL,
161,Intermediate,,,F,N,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,vericilla zoster virus,10335.0,,,
162,Intermediate,,,F,N,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,vericilla zoster virus,10335.0,,,
163,Intermediate,,,F,N,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,escherichia cloac,561.0,,,
164,Autocuration,,,B,U,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,
165,Expert,,,B,H,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,Candida albicans,5476.0,,,
166,Expert,,,B,H,2205,"Inhibition of 1,3-beta-glucan synthase",,Candida glabrata CBS 138,284593.0,,,
167,Intermediate,,,F,N,11900,Inhibition of growth of 1-87 human tumor cell line,,Homo sapiens,9606.0,,1-87 tumor cell line,
168,Expert,,,B,D,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,Rattus norvegicus,10116.0,,,
169,Autocuration,,,B,D,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,Glycine max,3847.0,,,
170,Autocuration,,,B,D,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,Glycine max,3847.0,,,
171,Autocuration,,,B,D,16474,% inhibition against soybean 1-lipoxygenase (SLO),,Glycine max,3847.0,,,
172,Autocuration,,,B,D,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,Glycine max,3847.0,,,
173,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,Glycine max,3847.0,,,
174,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,Glycine max,3847.0,,,
175,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,Glycine max,3847.0,,,
176,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,Glycine max,3847.0,,,
177,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,Glycine max,3847.0,,,
178,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,Glycine max,3847.0,,,
179,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,Glycine max,3847.0,,,
180,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,Glycine max,3847.0,,,
181,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,Glycine max,3847.0,,,
182,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,Glycine max,3847.0,,,
183,Autocuration,,,B,D,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,Glycine max,3847.0,,,
184,Autocuration,,,B,U,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,,Mus musculus,10090.0,,,
185,Intermediate,,,F,N,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),,Mus musculus,10090.0,,C3H 10T1/2,
186,Intermediate,,,F,U,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,,,,,,
187,Autocuration,,,B,H,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,
188,Autocuration,,,B,H,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,
189,Autocuration,,,B,H,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,,,,,,
190,Autocuration,,,B,H,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,,,,,,
191,Autocuration,,,B,H,16587,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,,,,,,
192,Expert,,,F,D,8058,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,,Bos taurus,9913.0,,,
