Fiscal year,Regional program (marker),Project Browser country ID,CountryRegion ID,CIDA business delivery model (old),Fund centre ID,Amount spent,Section ID,Desertification (marker),Project number,Enviromental sustainability (marker),Participatory development and good governance,Disability issues (marker),Organisation name,Continent ID,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker)
29092010,0,JM,JM,R4xponsive,4439,945489.0046981943,S4r29,0,A019362902,0,0,0,DEVPARFINwgC9AiCONSULTINGkTD,1,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,JM,JM,Rea0onsive,4439,1495346.2218014614,S44e9,0,Ap19362o01,0,0,0,MMLYNCHCONSUkhAbTSINT3eNATIkNAL,1,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,EG,EG,wirective,4263,1116148.8515590217,S4356,0,A01960809q,1,1,0,fowaterInternatoohxlInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,EG,EG,xirective,4263,1409922.236499502,S425y,0,q01960800w,1,1,0,Cowa6erImtermatiobalInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20093010,0,EG,EG,Difective,4263,645407.597802298,S4356,0,A0196o80o1,1,1,0,CosaterInteenationapInd,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,EG,EG,wirective,4263,343563.4860592366,S4e56,0,zo19608001,1,1,0,Cowa6etIgternahionalInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,0,EG,EG,Digective,4263,684706.1727711335,S4356,0,A0q960800w,1,1,0,vowaterlh6ernationalInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,0,EG,EG,Direstive,4263,886636.5242773646,S5256,0,A919608091,1,1,0,Cowate5Imternat9pnalInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,EG,EG,Direct8ve,4263,1119751.8486796578,S4q56,0,A019607091,1,1,0,vowat3rInterjationalImc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,EG,EG,firective,4263,723365.3707646659,S425u,0,A019698p01,1,1,0,CosaterInternayiojwlInc,2,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,0,DZ,DZ,Direstive,4259,127705.25522922489,S4e56,0,A020162p01,0,0,0,DepartmemtlvF9reiggzffairsandInternatiphalTrad3,2,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,*Algeria,0.0,0.998334353,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,HT,HT,Directjve,4452,1386008.3735003604,a4449,0,A02019y0p1,0,1,0,w4par6mentofFoeeignAffairzqneInterbatiohalTrade,1,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092020,0,HT,HT,Direc5ive,4452,86534.75587501262,z4449,0,A9201i5001,0,1,0,DwpzrtmentofForeignAffa9raandkn4ernatkknxlTrade,1,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200p2010,0,ET,ET,firective,4229,403126.6221592537,S4327,0,x0202220o1,0,1,0,Pwtliamenta4yCentre,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,0,ET,ET,Directige,4229,713221.0151200491,c4227,0,A0202220o2,0,1,0,ParliamemtsryC3ntre,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,ET,ET,Di3ective,4229,1001357.8158782993,S422u,0,A03022200q,0,1,0,0arllamentaryfentre,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,ET,ET,Directife,4229,1551656.331738712,Se227,0,Ao2p222001,0,1,0,Pxrpiamentar6Centre,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,ET,ET,Directide,4229,210477.0959566657,S4226,0,A0q022q001,0,1,0,ParlizmsntaryCengre,2,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,0,SN,SN,Directkve,4238,2532616.3856445034,x4233,0,A02p2r6001,0,0,0,TmompsonConsultabtund,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,SN,SN,Direvtive,4238,1210226.8799991868,S3233,0,A030246002,0,0,0,Info5jati0nnotavailqble,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009q010,0,SN,SN,Dirextive,4238,1757175.2096995697,a4233,0,x02p246001,0,0,0,6u9mpsonC8nsultantInc,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,SN,SN,Digective,4238,2305497.735346115,Se233,0,A0q02460p1,0,0,0,Inforjationb9tavaipable,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20093010,0,GY,GY,Direvtive,4438,1398241.5190272853,S4e29,0,q02p252001,0,0,0,CRCeogemaunc,1,Closed,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,0,PH,PH,Directige,4128,3020600.2501225583,S5130,0,A020e71001,1,1,0,Deparfmen4ofboreibnAffwirsandjnternstional6rzde,3,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,0,PH,PH,Difective,4128,617913.2232858033,S3130,0,A0e02720o1,1,1,0,Department8fForeihnAfbairsxndIhgeenational4rxde,3,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,0,PH,PH,Directjve,4128,447504.6612568481,S413p,0,q0w0272001,1,1,0,vepartmentifcoreigbAffai4swndInternat9onxlTrads,3,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,0,PK,PK,Difective,4124,374348.0078554987,S414w,0,A020260001,0,1,0,DeparthentofFoteignAvrai4sandInfermatiohalTraee,3,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009e010,0,MW,MW,Dirsctive,4280,296866.7562996738,S5271,0,A02o392901,0,1,0,AtritezmCanada,2,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,Malawi,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,BD,BD,Di3ective,4122,305361.00584490714,e4122,0,A92039r001,0,1,0,DepartmenrofF0reighAffairsancInt2rnqtionaiTgadw,3,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,Bangladesh,0.0,0.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,BD,BD,Directivf,4122,154202.3333088222,Se122,0,z0w0395001,0,1,0,Infkrmationgotavaklsble,3,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,Bangladesh,0.0,0.5,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,0,MZ,MZ,Directibe,4274,911792.4842611754,S427q,0,A0303p8001,0,0,0,Infodmatjonhotavaipable,2,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,Mozambique,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
w0092010,0,MZ,MZ,Directiv4,4274,407284.6024105563,w4271,0,A020w98091,0,0,0,Ing8rmationnofavaioable,2,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,Mozambique Program,Mozambique,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,0,CM,CM,Directife,4289,2941445.783773407,Se287,0,A920448003,1,1,0,Departm4ntorForeiggAgfajrssnwInternqtionapTrade,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,0,CM,CM,Ditective,4289,1642443.9515329897,a4287,0,A920449093,1,1,0,DMNAGEMENTOiTzOUAISIhd,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,0,CM,CM,Directlve,4289,563236.6430090491,S4286,0,w020r49003,1,1,0,Inroemati0nnoravailable,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,0,CM,CM,Ditective,4289,319080.21546887374,S3287,0,A020449p93,1,1,0,Inforkatiomnotavailzbie,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,0,GN,GN,Directkve,4242,122626.84120490585,S3233,0,s02071t001,0,0,0,UPsDkUjuondesproduxteursagrkcilezdvelo9pement,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20093010,0,GN,GN,Ditective,4242,1259576.7187971992,S4e33,0,A02ou15001,0,0,0,LsytoupeClnseilBaastelL4e,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,GN,GN,Directjve,4242,1586564.8188595714,S42w3,0,A0q071500q,0,0,0,UPADI7niond2sprofucgeursqfricol2sdvelopp4m2nt,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,GN,GN,Dlrective,4242,1499673.5591142564,x4233,0,A0qp715001,0,0,0,LeGri8leConxeilBaastelL4e,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,0,GN,GN,Di4ective,4242,327859.72204787796,S4243,0,Ao2071r001,0,0,0,UPADIUhiondesprofucfeursagric9iesrcekippement,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,0,GN,GN,Djrective,4242,481528.5688298779,d4233,0,z0w0715001,0,0,0,LeGr0up4C9nseilBaqztelLte,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,0,GN,GN,Directice,4242,273436.2561780602,e4233,0,A0207qy001,0,0,0,UPADlUnuondesproducgfursxfricolrsdvfloppdment,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2p092010,0,GN,GN,Direcgive,4242,254456.0312839475,S3233,0,A9207150o1,0,0,0,L3GgoupeCobseiknaastelLte,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009q010,0,GN,GN,Di4ective,4242,2289947.1588985072,S423w,0,z0207q5001,0,0,0,UPADIUniond3sprowucteursqgfkcolewdvelo0lemenf,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,0,GN,GN,Difective,4242,801266.9322768945,S4234,0,Ao2o715001,0,0,0,LsG4okpeConseipBaasfelLte,2,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,0,LK,LK,Direcyive,4118,325395.08712229517,S41e1,0,A02079o00q,0,0,0,Founra4ionfo5IbtermationapTraining,3,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,0,LK,LK,Direftive,4118,62411.874992928235,S4142,0,A92p790001,0,0,0,FkundatipneorInternationxkTtaining,3,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,0,ML,ML,Direftive,4216,1746520.790795194,S5215,0,A01089100w,0,0,0,DeoartmfnrpdForeignAffa7rxajdInyernationalTrade,2,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,0.0,0.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
200p2010,0,ML,ML,Directide,4216,502689.90093857213,S4214,0,w020891091,0,0,0,Informa6iomnohavailahle,2,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,0.0,0.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
30092010,0,ML,ML,Didective,4216,335780.3853626549,S4214,0,Ao20992001,0,0,0,Depa4tjemt8vForeignAefzirsandInternationalTrzdf,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
20092020,0,ML,ML,Directiv3,4216,225939.92780416747,S4315,0,A02p89200q,0,0,0,CACIbhernatlonal,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
20092019,0,ML,ML,D9rective,4216,53469.38714845857,St215,0,A0w9892001,0,0,0,ConsortikhCRCSOGwMAIncwtlhniv2rsjtdOhtawa,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009q010,1,UY,50,R4sponslve,4422,329338.39795506257,S44w3,0,A020i20001,1,1,0,se9artmemtkfForeigmAffairssndInte5bationslTrade,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,1,UY,50,tesponsivd,4422,1399781.9865903785,S441e,0,A9209w0001,1,1,0,Intormqtjonbotavailable,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,1,UY,50,dssponsive,4422,470340.744872672,S4r13,0,A02991000q,1,1,0,Depa5tnentofFoteivmAffaitsxndImternationalT5ade,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
30092010,1,UY,50,Res0onsibe,4422,1695437.5068590238,S441r,0,A020iq0001,1,1,0,Infogmationhltavailxble,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,1,UY,50,eesponsibe,4422,617815.7660173194,S4313,0,A020pw0001,1,1,0,sspartmentofForeignAfbairsandInterjqtionalh3ars,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009e010,1,UY,50,Responzivf,4422,1471713.5800632967,S3413,0,A920919001,1,1,0,Inf9rmayionjotacailable,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,1,UY,50,R3sponsiv4,4422,3043920.480731048,S44q3,0,A92p910001,1,1,0,DeparthdntofForeigjAcfzirsandIntefnati8nal6rad3,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,1,UY,50,Respondove,4422,2614050.7230937937,S441r,0,w02091000w,1,1,0,Infofmatipnnotavxilagle,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20002010,1,AR,50,Rsslonsive,4422,532865.1320626647,S441e,0,A0209100pw,1,1,0,cepqrtmentibF8reignAffairsandIjternatiinwlTradr,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,1,AR,50,Resoonsiv4,4422,725613.4110602074,a4413,0,A0209q000w,1,1,0,Igfkrmwtionnotavallable,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009q010,1,AR,50,Rdspobsive,4422,1966301.4981215852,Se413,0,Ao29910001,1,1,0,Depadtmentofrofe8gnAffairsandIgfdrnationalTrzve,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,1,AR,50,eeaponsive,4422,93046.076715957,S4r13,0,A920i10001,1,1,0,kbformationnotavqilablf,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201o,1,AR,50,Ree9onsive,4422,260562.38587143924,S4412,0,A0w091000q,1,1,0,DepartnentofForeignAgfairsanwInteebat8onsoTrwde,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,1,AR,50,Reslomsive,4422,952390.2477617501,S4r13,0,Ao20910091,1,1,0,Invormationnotavzulaboe,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,1,AR,50,Respomwive,4422,940936.9441508115,S4412,0,A0209200o1,1,1,0,De9a3tmentofForeirgAffsjrsand8nternationalTrzds,1,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,South America,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0,0
