assay_id,assay_test_type,tissue_id,tid,assay_tax_id,curated_by,src_id,assay_tissue,assay_type,cell_id,description,assay_subcellular_fraction,assay_category,bao_format,relationship_type,assay_strain,confidence_score,src_assay_id,chembl_id,variant_id
7581,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,,BAO_0000218,N,,1,,CHEMBL618698,
7582,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,,BAO_0000218,N,,1,,CHEMBL618862,
7583,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,,BAO_0000218,N,,1,,CHEMBL618863,
7584,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,,BAO_0000218,N,,1,,CHEMBL618864,
7585,In vivo,,50597,10116.0,Intermediate,1,,A,,Half life time in rat the dose of 2 mg/kg,,,BAO_0000218,N,,1,,CHEMBL618865,
7586,In vivo,,50597,10116.0,Intermediate,1,,A,,Half-life 24 hr after 10 mg/kg iv administration in rats,,,BAO_0000218,N,,1,,CHEMBL618866,
7587,In vivo,,50597,10116.0,Intermediate,1,,A,,Half-life 24 hr after 2 mg/kg iv administration in rats,,,BAO_0000218,N,,1,,CHEMBL618867,
7588,,,50597,10116.0,Intermediate,1,,A,,Half-life consistent with the observed metabolic steady state in rats,,,BAO_0000218,N,,1,,CHEMBL875828,
7589,In vivo,,50597,10116.0,Intermediate,1,,A,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,BAO_0000218,N,,1,,CHEMBL618868,
7590,,,50597,10116.0,Intermediate,1,,A,,Half-life for oxidative metabolic stability was determined using male human,,,BAO_0000218,N,,1,,CHEMBL618869,
7591,In vivo,,50597,10116.0,Intermediate,1,,A,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,,BAO_0000218,N,,1,,CHEMBL618870,
7592,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Half-life in rat plasma,,,BAO_0000218,N,,1,,CHEMBL618871,
7593,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Half-life in rat plasma was determined,,,BAO_0000218,N,,1,,CHEMBL618872,
7594,,,50597,10116.0,Intermediate,1,,A,,Half-life in rats was determined,,,BAO_0000218,N,,1,,CHEMBL873816,
7595,,,22224,,Autocuration,1,,A,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,,BAO_0000218,U,,0,,CHEMBL618873,
7596,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 0.1 mg//kg,,,BAO_0000019,U,,0,,CHEMBL621602,
7597,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 0.3 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621603,
7598,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 1 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621604,
7599,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 10 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621605,
7600,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 23.4 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621606,
7601,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 3 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621607,
7602,,,22224,,Autocuration,1,,A,,Area under curve after oral dose of 3.87 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621608,
7603,,,22224,,Autocuration,1,,A,,Area under curve was determined,,,BAO_0000019,U,,0,,CHEMBL621609,
7604,,,22224,,Autocuration,1,,A,,Area under curve at a dose of 10 mg/kg,,,BAO_0000218,U,,0,,CHEMBL621610,
7605,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined; ND=No data,,,BAO_0000218,N,,1,,CHEMBL621611,
7606,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL621612,
7607,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622308,
7608,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622309,
7609,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622310,
7610,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622311,
7611,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,,BAO_0000218,N,,1,,CHEMBL622312,
7612,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622931,
7613,,,50597,10116.0,Intermediate,1,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,,BAO_0000218,N,,1,,CHEMBL622932,
7614,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622736,
7615,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622737,
7616,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622738,
7617,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622739,
7618,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622740,
7619,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622741,
7620,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,BAO_0000218,N,,1,,CHEMBL622742,
7621,,1969.0,50597,10116.0,Intermediate,1,Plasma,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,,BAO_0000218,N,,1,,CHEMBL622743,
7622,,1969.0,50594,10090.0,Intermediate,1,Plasma,A,,AUC in mice,,,BAO_0000218,N,,1,,CHEMBL622744,
7623,,,22224,,Autocuration,1,,A,,Area under curve was measured from the graph obtained from concentration Vs time,,,BAO_0000019,U,,0,,CHEMBL624134,
7624,,,22224,,Autocuration,1,,A,,Area under curve value of compound per hour after oral administration,,,BAO_0000019,U,,0,,CHEMBL624135,
7625,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined after oral administration in rats,,,BAO_0000218,N,,1,,CHEMBL624136,
7626,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined after oral administration in rats; No data,,,BAO_0000218,N,,1,,CHEMBL624137,
7627,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined after oral administration in rats;No data,,,BAO_0000218,N,,1,,CHEMBL624320,
7628,,,50588,9615.0,Intermediate,1,,A,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,,BAO_0000218,N,,1,,CHEMBL624321,
7629,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624322,
7630,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,,BAO_0000218,N,,1,,CHEMBL624323,
7631,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624324,
7632,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624325,
7633,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624326,
7634,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624327,
7635,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,,BAO_0000218,N,,1,,CHEMBL624328,
7636,,,50588,9615.0,Intermediate,1,,A,,Area under curve was determined in Dogs after peroral administration,,,BAO_0000218,N,,1,,CHEMBL627848,
7637,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined in Rats after peroral administration,,,BAO_0000218,N,,1,,CHEMBL627849,
7638,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined in carotid blood of rat when administered intradermally,,,BAO_0000218,N,,1,,CHEMBL627850,
7639,,,50597,10116.0,Intermediate,1,,A,,Area under curve was determined in portal blood of rat when administered intradermally,,,BAO_0000218,N,,1,,CHEMBL627851,
7640,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,BAO_0000218,N,,1,,CHEMBL627852,
7641,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,BAO_0000218,N,,1,,CHEMBL627853,
7642,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,,BAO_0000218,N,,1,,CHEMBL627854,
7643,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,BAO_0000218,N,,1,,CHEMBL627855,
7644,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,,BAO_0000218,N,,1,,CHEMBL627856,
7645,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,BAO_0000218,N,,1,,CHEMBL875339,
7646,,,50594,10090.0,Intermediate,1,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,,BAO_0000218,N,,1,,CHEMBL627857,
7647,In vivo,2106.0,50597,10116.0,Intermediate,1,Spleen,A,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,,BAO_0000218,N,,1,,CHEMBL627858,
7648,,178.0,50597,10116.0,Intermediate,1,Blood,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627859,
7649,,955.0,50597,10116.0,Intermediate,1,Brain,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627860,
7650,,948.0,50597,10116.0,Intermediate,1,Heart,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627019,
7651,,2107.0,50597,10116.0,Intermediate,1,Liver,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627020,
7652,,2048.0,50597,10116.0,Intermediate,1,Lung,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627021,
7653,,2385.0,50597,10116.0,Intermediate,1,Muscle tissue,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627022,
7654,,,50597,10116.0,Intermediate,1,,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627023,
7655,,2106.0,50597,10116.0,Intermediate,1,Spleen,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627024,
7656,,2046.0,50597,10116.0,Intermediate,1,Thyroid gland,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627025,
7657,,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627026,
7658,,178.0,50597,10116.0,Intermediate,1,Blood,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627027,
7659,,955.0,50597,10116.0,Intermediate,1,Brain,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627028,
7660,,948.0,50597,10116.0,Intermediate,1,Heart,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627029,
7661,,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627030,
7662,,2107.0,50597,10116.0,Intermediate,1,Liver,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627031,
7663,,2048.0,50597,10116.0,Intermediate,1,Lung,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627032,
7664,,2385.0,50597,10116.0,Intermediate,1,Muscle tissue,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627033,
7665,,,50597,10116.0,Intermediate,1,,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627034,
7666,,2106.0,50597,10116.0,Intermediate,1,Spleen,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627035,
7667,,2046.0,50597,10116.0,Intermediate,1,Thyroid gland,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627036,
7668,,178.0,50597,10116.0,Intermediate,1,Blood,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL875340,
7669,,948.0,50597,10116.0,Intermediate,1,Heart,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627037,
7670,,2113.0,50597,10116.0,Intermediate,1,Kidney,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627038,
7671,,2107.0,50597,10116.0,Intermediate,1,Liver,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627039,
7672,,2385.0,50597,10116.0,Intermediate,1,Muscle tissue,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL627040,
7673,,2106.0,50597,10116.0,Intermediate,1,Spleen,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL624663,
7674,,2046.0,50597,10116.0,Intermediate,1,Thyroid gland,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL625963,
7675,,955.0,50597,10116.0,Intermediate,1,Brain,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL876799,
7676,,2048.0,50597,10116.0,Intermediate,1,Lung,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL626133,
7677,,,50597,10116.0,Intermediate,1,,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,,,BAO_0000218,N,,1,,CHEMBL626134,
7678,,,50597,10116.0,Intermediate,1,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,,BAO_0000218,N,,1,,CHEMBL626135,
7679,,,50597,10116.0,Intermediate,1,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,,BAO_0000218,N,,1,,CHEMBL626136,
7680,,,50597,10116.0,Intermediate,1,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,,,BAO_0000218,N,,1,,CHEMBL626137,
