assays_ASI,assays_CURAB,assays_Ti,assays_ASSTI,assays_ASSCA,assays_Descr,assays_RELATT,assays_CONSC,assays_SRI,assays_SASSI,assays_CHI,assays_CI,assays_BAFO,assays_TII,assays_VAI
18,Autocuration,12054,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),H,8,1,,CHEMBL615132,,BAO_0000357,,
19,Autocuration,12054,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,H,8,1,,CHEMBL615133,,BAO_0000019,,
20,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,8,1,,CHEMBL615134,,BAO_0000357,,
21,Autocuration,12054,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),H,8,1,,CHEMBL615135,,BAO_0000357,,
22,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,8,1,,CHEMBL615136,,BAO_0000357,,
23,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,8,1,,CHEMBL615137,,BAO_0000357,,
24,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,8,1,,CHEMBL615138,,BAO_0000357,,
25,Autocuration,22226,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",U,0,1,,CHEMBL836324,,BAO_0000219,,
26,Autocuration,12054,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,H,8,1,,CHEMBL615139,,BAO_0000357,,
27,Autocuration,12054,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),H,8,1,,CHEMBL615140,,BAO_0000357,,
28,Autocuration,12426,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,H,8,1,,CHEMBL615141,,BAO_0000219,,
29,Autocuration,12054,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,H,8,1,,CHEMBL615142,,BAO_0000357,,
30,Autocuration,12054,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,H,8,1,,CHEMBL615143,,BAO_0000357,,
31,Autocuration,12054,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,H,8,1,,CHEMBL615144,,BAO_0000357,,
32,Autocuration,12054,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,H,8,1,,CHEMBL872867,,BAO_0000357,,
33,Autocuration,12054,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,H,8,1,,CHEMBL615145,,BAO_0000357,,
34,Autocuration,12054,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,H,8,1,,CHEMBL615146,,BAO_0000357,,
35,Autocuration,12054,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,H,8,1,,CHEMBL615147,,BAO_0000357,,
36,Autocuration,22226,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,U,0,1,,CHEMBL615148,,BAO_0000019,,
37,Autocuration,22226,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,U,0,1,,CHEMBL615149,,BAO_0000019,,
38,Autocuration,22226,,,Dissociation constant with dimeric 16S rRNA RNA construct B,U,0,1,,CHEMBL615150,,BAO_0000019,,
39,Intermediate,22222,,,Dissociation constant towards 16S rRNA construct A,M,3,1,,CHEMBL615151,,BAO_0000225,,
40,Intermediate,22222,,,Dissociation constant towards 16S rRNA construct B,M,3,1,,CHEMBL615152,,BAO_0000225,,
41,Expert,100263,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,M,3,1,,CHEMBL615153,,BAO_0000225,,
42,Expert,100263,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,M,3,1,,CHEMBL615154,,BAO_0000225,,
43,Autocuration,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,8,1,,CHEMBL615155,,BAO_0000019,,
44,Autocuration,13053,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,8,1,,CHEMBL615156,,BAO_0000019,,
45,Autocuration,20001,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,8,1,,CHEMBL615157,,BAO_0000019,,
46,Autocuration,20001,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,8,1,,CHEMBL615158,,BAO_0000019,,
47,Expert,12971,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,9,1,,CHEMBL615159,,BAO_0000019,,
48,Expert,12971,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,9,1,,CHEMBL615172,,BAO_0000019,,
49,Expert,12971,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,9,1,,CHEMBL615173,,BAO_0000019,,
50,Expert,12971,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,9,1,,CHEMBL615174,,BAO_0000019,,
51,Autocuration,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,8,1,,CHEMBL884518,,BAO_0000019,,
52,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),H,8,1,,CHEMBL615175,,BAO_0000357,,
53,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,H,8,1,,CHEMBL615176,,BAO_0000357,,
54,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,H,8,1,,CHEMBL615177,,BAO_0000357,,
55,Autocuration,104740,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,D,5,1,,CHEMBL615178,,BAO_0000249,,
56,Intermediate,80002,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,N,1,1,,CHEMBL615179,506.0,BAO_0000219,,
57,Autocuration,104835,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,D,7,1,,CHEMBL615180,,BAO_0000219,,
58,Autocuration,104821,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,D,7,1,,CHEMBL615181,,BAO_0000219,,
59,Autocuration,104848,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,D,7,1,,CHEMBL615182,,BAO_0000219,,
60,Expert,80002,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,N,1,1,,CHEMBL615183,506.0,BAO_0000219,,
61,Intermediate,80002,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,N,1,1,,CHEMBL615184,506.0,BAO_0000219,,
62,Intermediate,80002,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,N,1,1,,CHEMBL615185,506.0,BAO_0000219,,
63,Intermediate,80002,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,N,1,1,,CHEMBL615186,506.0,BAO_0000219,,
64,Intermediate,80002,,,Effective dose of compound against replication of 1A9 cell line was evaluated,N,1,1,,CHEMBL615187,506.0,BAO_0000219,,
65,Expert,80002,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,N,1,1,,CHEMBL885343,506.0,BAO_0000219,,
66,Intermediate,80002,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),N,1,1,,CHEMBL615188,506.0,BAO_0000219,,
67,Intermediate,80002,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,N,1,1,,CHEMBL615189,506.0,BAO_0000219,,
68,Intermediate,80002,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,N,1,1,,CHEMBL615190,506.0,BAO_0000219,,
69,Intermediate,80002,,,Inhibitory activity against Taxol resistant 1A9 cell lines,N,1,1,,CHEMBL615191,506.0,BAO_0000219,,
70,Expert,80002,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,N,1,1,,CHEMBL615192,506.0,BAO_0000219,,
71,Expert,80002,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,N,1,1,,CHEMBL827083,506.0,BAO_0000219,,
72,Expert,80002,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,N,1,1,,CHEMBL615193,506.0,BAO_0000219,,
73,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,N,1,1,,CHEMBL615194,506.0,BAO_0000219,,
74,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,N,1,1,,CHEMBL615195,506.0,BAO_0000219,,
75,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,N,1,1,,CHEMBL615196,506.0,BAO_0000219,,
76,Intermediate,81072,,,Inhibitory concentration against Jurkat cells,N,1,1,,CHEMBL615197,503.0,BAO_0000219,,
77,Intermediate,22226,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,U,0,1,,CHEMBL615198,,BAO_0000019,,
78,Expert,100121,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,D,9,1,,CHEMBL615199,,BAO_0000357,,
79,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,8,1,,CHEMBL615200,,BAO_0000357,,
80,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,8,1,,CHEMBL615201,,BAO_0000357,,
81,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",H,8,1,,CHEMBL615202,,BAO_0000357,,
82,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",H,8,1,,CHEMBL615203,,BAO_0000251,,
83,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",H,8,1,,CHEMBL615204,,BAO_0000251,,
84,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",H,8,1,,CHEMBL615205,,BAO_0000251,,
85,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",H,8,1,,CHEMBL615206,,BAO_0000251,,
86,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",H,8,1,,CHEMBL615207,,BAO_0000251,2107.0,
87,Autocuration,11231,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",H,8,1,,CHEMBL827084,,BAO_0000019,,
88,Autocuration,11231,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",H,8,1,,CHEMBL615208,,BAO_0000019,,
89,Autocuration,11231,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",H,8,1,,CHEMBL615209,,BAO_0000019,,
90,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",D,9,1,,CHEMBL615210,,BAO_0000251,2107.0,
91,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,9,1,,CHEMBL615211,,BAO_0000251,2107.0,
92,Autocuration,12083,Liver,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,9,1,,CHEMBL615212,,BAO_0000251,2107.0,
93,Expert,11377,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),H,8,1,,CHEMBL615213,,BAO_0000357,,
94,Expert,11377,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,H,8,1,,CHEMBL615273,,BAO_0000357,,
95,Expert,81020,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,1,1,,CHEMBL615274,726.0,BAO_0000219,,
96,Intermediate,81020,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,N,1,1,,CHEMBL615275,726.0,BAO_0000219,,
97,Intermediate,81020,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,N,1,1,,CHEMBL615276,726.0,BAO_0000219,,
98,Intermediate,81020,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,N,1,1,,CHEMBL615277,726.0,BAO_0000219,,
99,Intermediate,81020,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,N,1,1,,CHEMBL615326,726.0,BAO_0000219,,
100,Expert,50606,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,1,1,,CHEMBL883130,,BAO_0000218,,
101,Intermediate,81020,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,N,1,1,,CHEMBL884519,726.0,BAO_0000219,,
102,Intermediate,81020,,,Concentration required to inhibit 50% of 2.2.15 cell line,N,1,1,,CHEMBL615327,726.0,BAO_0000219,,
103,Intermediate,81020,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,N,1,1,,CHEMBL615328,726.0,BAO_0000219,,
104,Intermediate,50587,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,N,1,1,,CHEMBL615329,,BAO_0000218,,
105,Intermediate,50587,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,N,1,1,,CHEMBL615330,,BAO_0000218,,
106,Expert,50606,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",N,1,1,,CHEMBL615331,,BAO_0000218,,
107,Intermediate,50587,,,In vitro anti-HBV activity in 2.2.15 cells,N,1,1,,CHEMBL615332,,BAO_0000218,,
108,Intermediate,50587,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,N,1,1,,CHEMBL615333,,BAO_0000218,,
109,Intermediate,50587,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,N,1,1,,CHEMBL615334,,BAO_0000218,,
110,Intermediate,50587,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,N,1,1,,CHEMBL615335,,BAO_0000218,,
111,Intermediate,50587,,,Cytotoxicity in 2.2.15 cells,N,1,1,,CHEMBL615336,,BAO_0000218,,
112,Intermediate,50587,,,Cytotoxicity in 2.2.15 cells; Not determined,N,1,1,,CHEMBL615337,,BAO_0000218,,
113,Intermediate,50587,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,N,1,1,,CHEMBL615338,,BAO_0000218,,
114,Intermediate,50587,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,N,1,1,,CHEMBL615339,,BAO_0000218,,
115,Intermediate,50587,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,N,1,1,,CHEMBL615340,,BAO_0000218,,
116,Intermediate,81020,,,Antiviral activity against HBV was determined in 2.215 cell line,N,1,1,,CHEMBL615341,726.0,BAO_0000219,,
117,Autocuration,22226,,,Inhibition of 20-HETE synthesis in human renal microsomes,U,0,1,,CHEMBL615342,,BAO_0000251,,
118,Autocuration,22226,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,U,0,1,,CHEMBL615343,,BAO_0000019,,
119,Intermediate,80612,,,Inhibitory concentration against 2008 (ovarian) cells,N,1,1,,CHEMBL615344,388.0,BAO_0000219,,
120,Intermediate,80612,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,N,1,1,,CHEMBL615345,388.0,BAO_0000219,,
121,Intermediate,80612,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),N,1,1,,CHEMBL615346,388.0,BAO_0000219,,
122,Intermediate,80612,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,N,1,1,,CHEMBL615347,388.0,BAO_0000219,,
123,Intermediate,80612,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,N,1,1,,CHEMBL615348,388.0,BAO_0000219,,
124,Intermediate,80613,,,In vitro inhibition of 2008/R ovarian cancer cell line,N,1,1,,CHEMBL827085,561.0,BAO_0000219,,
125,Intermediate,80613,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,N,1,1,,CHEMBL615349,561.0,BAO_0000219,,
126,Intermediate,80614,,,In vitro inhibition of 2008/S ovarian cancer cell line,N,1,1,,CHEMBL615350,389.0,BAO_0000219,,
127,Intermediate,80614,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,N,1,1,,CHEMBL615351,389.0,BAO_0000219,,
128,Expert,100256,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,S,2,1,,CHEMBL615352,,BAO_0000220,,
129,Intermediate,100256,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,S,2,1,,CHEMBL615353,,BAO_0000220,,
130,Expert,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome,S,2,1,,CHEMBL615354,,BAO_0000220,,
131,Expert,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,S,2,1,,CHEMBL615355,,BAO_0000220,,
132,Intermediate,100256,,,Inhibitory activity against 20S proteosome,S,2,1,,CHEMBL615356,,BAO_0000220,,
133,Autocuration,22226,,,Compound was tested for inhibitory activity against tryptase,U,0,1,,CHEMBL615357,,BAO_0000019,,
134,Intermediate,81020,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,N,1,1,,CHEMBL615358,726.0,BAO_0000219,,
135,Intermediate,81020,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,N,1,1,,CHEMBL827086,726.0,BAO_0000219,,
136,Autocuration,22226,,,Compound was tested for the inhibition of Alpha-glucosidase,U,0,1,,CHEMBL615359,,BAO_0000019,,
137,Autocuration,235,,,Inhibitory concentration against human neutrophil elastase (HNE),H,8,1,,CHEMBL615360,,BAO_0000357,,
138,Autocuration,22226,Heart,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,U,0,1,,CHEMBL615361,,BAO_0000218,948.0,
139,Autocuration,19640,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,8,1,,CHEMBL615362,,BAO_0000019,,
140,Expert,19640,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,8,1,,CHEMBL615363,,BAO_0000019,,
141,Autocuration,19640,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,8,1,,CHEMBL615364,,BAO_0000357,,
142,Expert,19640,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,8,1,,CHEMBL615365,,BAO_0000019,,
143,Intermediate,80360,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,N,1,1,,CHEMBL615366,524.0,BAO_0000219,,
144,Intermediate,80360,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,N,1,1,,CHEMBL615367,524.0,BAO_0000219,,
145,Intermediate,80384,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,N,1,1,,CHEMBL615368,554.0,BAO_0000219,,
146,Autocuration,22226,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,U,0,1,,CHEMBL615369,,BAO_0000019,,
147,Autocuration,22226,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,U,0,1,,CHEMBL615370,,BAO_0000019,,
148,Autocuration,191,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),H,8,1,,CHEMBL615673,,BAO_0000357,,
149,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,U,0,1,,CHEMBL615674,,BAO_0000019,,
150,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,U,0,1,,CHEMBL615675,,BAO_0000019,,
151,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,U,0,1,,CHEMBL615676,635.0,BAO_0000219,,
152,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,U,0,1,,CHEMBL615677,635.0,BAO_0000219,,
153,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,U,0,1,,CHEMBL615678,635.0,BAO_0000219,,
154,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,U,0,1,,CHEMBL615679,635.0,BAO_0000219,,
155,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,U,0,1,,CHEMBL615680,,BAO_0000019,,
156,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,U,0,1,,CHEMBL615681,,BAO_0000019,,
157,Autocuration,104290,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,H,6,1,,CHEMBL857972,,BAO_0000249,,
158,Intermediate,50264,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,N,1,1,,CHEMBL857899,,BAO_0000218,,
159,Intermediate,50527,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),N,1,1,,CHEMBL615371,,BAO_0000218,,
160,Expert,50527,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,N,1,1,,CHEMBL615372,468.0,BAO_0000218,,
161,Intermediate,50527,,,Antiviral activity against 07/1 strain of VZV; ND: No data,N,1,1,,CHEMBL615373,,BAO_0000218,,
162,Intermediate,50527,,,Antiviral activity against 07/1 strain of VZV; ND=No data,N,1,1,,CHEMBL615374,,BAO_0000218,,
163,Intermediate,50145,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",N,1,1,,CHEMBL615375,,BAO_0000218,,
164,Autocuration,22226,,,Ratio of Ki at A2 to Ki at A1 receptors,U,0,1,,CHEMBL615376,,BAO_0000019,,
165,Expert,11143,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",H,8,1,,CHEMBL615377,,BAO_0000249,,
166,Expert,18077,,,"Inhibition of 1,3-beta-glucan synthase",H,8,1,,CHEMBL615378,,BAO_0000357,,
167,Intermediate,80609,,,Inhibition of growth of 1-87 human tumor cell line,N,1,1,,CHEMBL615379,832.0,BAO_0000219,,
168,Expert,12166,,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,D,9,1,,CHEMBL615380,,BAO_0000219,,
169,Autocuration,100171,,,Inhibitory activity against soybean 1-lipoxygenase (SLO),D,9,1,,CHEMBL615381,,BAO_0000357,,
170,Autocuration,100171,,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,D,9,1,,CHEMBL615382,,BAO_0000357,,
171,Autocuration,100171,,,% inhibition against soybean 1-lipoxygenase (SLO),D,9,1,,CHEMBL615383,,BAO_0000357,,
172,Autocuration,100171,,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,D,9,1,,CHEMBL615384,,BAO_0000357,,
173,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,D,9,1,,CHEMBL615385,,BAO_0000357,,
174,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,D,9,1,,CHEMBL615386,,BAO_0000357,,
