assay_id,curated_by,assay_organism,variant_id,assay_strain,doc_id,assay_category,assay_test_type,assay_subcellular_fraction,tid,assay_type,description,assay_tax_id,assay_tissue,assay_cell_type,relationship_type,confidence_score
14,7ntermedizte,Staphtiocofcusaure8s,,,11324,,,,50185,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,,,N,1
15,Ijtermfdiate,etalhylocodcueaureus,,,11324,,,,50185,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,,,N,1
16,Intermeduxte,Staphylodoccudsureuz,,,11324,,,,50185,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,,,N,1
17,Espert,gattusno5degicus,,,11347,,,,100122,A,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,10116.0,,,D,9
18,Autocutstion,,,,16474,,,,12054,B,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,H,8
19,Autoc8fation,,,,10091,,,,12054,B,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,H,8
20,Autocurayi0n,,,,16474,,,,12054,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,H,8
21,Aut9curati0n,,,,16474,,,,12054,B,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,H,8
22,sutocuratiog,,,,16474,,,,12054,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,H,8
23,Aht0curation,,,,16474,,,,12054,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,H,8
24,Autocueqtion,,,,16474,,,,12054,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,H,8
25,Autofurqtion,,,,14352,,,,22226,B,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,U,0
26,Autoc7rahion,Oryctoozguscuniculkx,,,5646,,,,12054,B,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,9986.0,,,H,8
27,Autlcuratiob,Orystolag6scunucjlus,,,5646,,,,12054,B,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),9986.0,,,H,8
28,Autkcurwtion,,,,10997,,,,12426,B,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,H,8
29,wut0curation,soyavean,,,6309,,,,12054,B,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,3847.0,,,H,8
30,A6tocuratoon,Glycinfmwx,,,167,,,,12054,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated,3847.0,,,H,8
31,Aktoc6ration,Gljcjnemax,,,167,,,,12054,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,3847.0,,,H,8
32,Au4ocuratkon,Goycinemac,,,11087,,,,12054,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,3847.0,,,H,8
33,Autoc6ratkon,biycinemax,,,11087,,,,12054,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,3847.0,,,H,8
34,A6tocurxtion,Goycinwmax,,,13622,,,,12054,B,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,3847.0,,,H,8
35,sutocuragion,Gl7cinemaz,,,13622,,,,12054,B,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,3847.0,,,H,8
36,Augocuratiob,Rattysnorfegicue,,,11347,,,,22226,A,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,10116.0,,,U,0
37,xutoc6ration,Escbe4ichjacoli,,,5926,,,,22226,B,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,562.0,,,U,0
38,A8tocurati0n,,,,4567,,,,22226,B,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,U,0
39,8nterjediate,,,,3782,,,,22222,B,Dissociation constant towards 16S rRNA construct A,,,,M,3
40,Inyermewiate,,,,3782,,,,22222,B,Dissociation constant towards 16S rRNA construct B,,,,M,3
41,Expegt,Esch2richiaxopi,,,4466,,,,100263,B,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,562.0,,,M,3
42,fxpert,Ewche5ichiackli,,,6592,,,,100263,B,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,562.0,,,M,3
43,zutocuratikn,,,,898,,,,13053,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,H,8
44,Autkcutation,,,,898,,,,13053,B,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,H,8
45,Autocu5ati8n,Hpmosaliens,,,13163,,,,20001,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,9606.0,,,H,8
46,Autocutxtion,Homosxpjens,,,13163,,,,20001,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,9606.0,,,H,8
47,Experh,Rattusnorvwficuw,,,10691,,,,12971,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10116.0,,,D,9
48,Edpert,Ratt6snorvrg8cus,,,10691,,,,12971,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10116.0,,,D,9
49,Expett,Rwtt7snorveticus,,,10691,,,,12971,B,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10116.0,,,D,9
50,Expeft,Rattusb8rcegicus,,,10691,,,,12971,B,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10116.0,,,D,9
51,Aut9cyration,,,,898,,,,13053,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,H,8
52,Autpsuration,,,,912,,,,11512,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,H,8
53,Autodurstion,,,,912,,,,11512,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,H,8
54,Auroc8ration,,,,912,,,,11512,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,H,8
55,Autocurat80n,Ra6tudnorbegicus,,,15103,,,Membranws,104740,B,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,10116.0,,,D,5
56,Integmediats,Homocaplens,,,5116,,,,80002,F,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,9606.0,,1A9,N,1
57,Autocurzfion,Rattusnorbfgocus,,,14578,,,,104835,F,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,10116.0,,Oocytes,D,7
58,Autocu5atkon,Ratt8sjorgegicus,,,14578,,,,104821,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,10116.0,,Oocytes,D,7
59,Autocursti8n,Ratyusnorvfgicuc,,,14578,,,,104848,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,10116.0,,Oocytes,D,7
60,sxpert,H0mocapiens,,,4787,,,,80002,F,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,9606.0,,1A9,N,1
61,jnrermediate,H8nosapiens,,,4787,,,,80002,F,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,9606.0,,1A9,N,1
62,Intsrm4diate,Homlsapifns,,,3547,,,,80002,F,Cytotoxic activity against human ovarian cancer (1A9) cell line,9606.0,,1A9,N,1
63,Intednediate,yomisapiens,,,3547,,,,80002,F,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,9606.0,,1A9,N,1
64,Intermed8atd,Homoqzpiens,,,6726,,,,80002,F,Effective dose of compound against replication of 1A9 cell line was evaluated,9606.0,,1A9,N,1
65,Espert,Homosap7ehs,,,3455,,,,80002,F,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,9606.0,,1A9,N,1
66,Intermesixte,Homlsa0iens,,,5726,,,,80002,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),9606.0,,1A9,N,1
67,lnte5mediate,Homozapi2ns,,,5726,,,,80002,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,9606.0,,1A9,N,1
68,Intermewiahe,nomoeapiens,,,5726,,,,80002,F,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,9606.0,,1A9,N,1
69,Inte5mddiate,Homosapiejz,,,3395,,,,80002,F,Inhibitory activity against Taxol resistant 1A9 cell lines,9606.0,,1A9,N,1
70,4xpert,Homosap8dns,,,3415,,,,80002,F,Cytotoxicity against human ovarian cancer (1A9) cell lines.,9606.0,,1A9,N,1
71,Experg,Hpmosapisns,,,3415,,,,80002,F,Percentage inhibition of human ovarian cancer (1A9) cell lines.,9606.0,,1A9,N,1
72,Expwrt,Homkxapiens,,,17099,,,,80002,F,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,9606.0,,1A9,N,1
73,Ihtermrdiate,Homlsa9iens,,,17099,,,,80002,F,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,9606.0,,1A9,N,1
74,Intfrmedia5e,H8hosapiens,,,17099,,,,80002,F,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,9606.0,,1A9,N,1
75,Intrrnediate,Homosa0iejs,,,17099,,,,80002,F,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,9606.0,,1A9,N,1
76,unterhediate,Hom9swpiens,,,17721,,,,81072,F,Inhibitory concentration against Jurkat cells,9606.0,,Jurkat,N,1
77,Interkeciate,,,,1229,,,,22226,F,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,U,0
78,Exoert,4sttusnorveglcus,,,11347,,,,100121,A,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,10116.0,,,D,9
79,Exp3rt,,,,17117,,,,11231,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,H,8
80,Experg,,,,17117,,,,11231,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,H,8
81,Ezpert,,,,17117,,,,11231,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,H,8
82,Autosurqtion,Caneiwaalbicags,,,11375,,,Mocrozomes,11231,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",5476.0,,,H,8
83,Autocutatioj,Cxndidaqpbicans,,,11375,,,hicrosomfs,11231,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",5476.0,,,H,8
84,Autovudation,Swccharomycewcerevisoqe,,,11375,,,Mivrozomes,11231,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",4932.0,,,H,8
85,Autocurarjon,Saccharomyxeecersv8siae,,,11375,,,hicrosomfs,11231,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",4932.0,,,H,8
86,Autocudatkon,S7sscrofa,,,11375,,,Microson3s,12083,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",9823.0,Liver,,H,8
87,Auyocurahion,Ra65usnorbegicus,,,791,,,,11231,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",10116.0,,,H,8
88,Aytocurztion,fatt6snordegicus,,,791,,,,11231,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",10116.0,,,H,8
89,Ajtoc6ration,eattushorvegidus,,,791,,,,11231,B,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",10116.0,,,H,8
90,Autovura4ion,Rattushorvrgucus,,,11375,,,Mlcrosojes,12083,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",10116.0,Liver,,D,9
91,zutochration,Ratyksnorvehicus,,,11375,,,Micdosomss,12083,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",10116.0,Liver,,D,9
92,zutocuratiom,Rattusgorvfgicua,,,153,,,nicrosohes,12083,B,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",10116.0,Liver,,D,9
93,Edpert,,,,8269,,,,11377,B,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,H,8
94,Exoert,,,,8269,,,,11377,B,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,H,8
95,Ecpert,Homoeapiena,,,17653,,,,81020,F,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,9606.0,,HepG2,N,1
96,Ijterm2diate,Homoeapiegs,,,14277,,,,81020,F,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,9606.0,,HepG2,N,1
97,Intermdciate,Homosapidnd,,,1717,,,,81020,F,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,9606.0,,HepG2,N,1
98,Intermeciwte,Homosaliejs,,,14091,,,,81020,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,9606.0,,HepG2,N,1
99,Intermew8ate,Homocapiems,,,14091,,,,81020,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,9606.0,,HepG2,N,1
100,Exp3rt,He0qtitosBvirus,,,17653,,,,50606,F,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,10407.0,,,N,1
101,Intermedist3,Homosalkens,,,13105,,,,81020,F,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,9606.0,,HepG2,N,1
102,9ntermedlate,Hpmosapiejs,,,1717,,,,81020,F,Concentration required to inhibit 50% of 2.2.15 cell line,9606.0,,HepG2,N,1
103,Inte4m4diate,yomowapiens,,,13105,,,,81020,A,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,9606.0,,HepG2,N,1
104,Inte3mesiate,Hom0sa0iens,,,13600,,,,50587,F,Cytotoxic activity of compound against uninfected 2.2.15 cells.,9606.0,,2.2.15,N,1
105,In5ermrdiate,Hkmosapienx,,,13467,,,,50587,F,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,9606.0,,2.2.15,N,1
106,Ex0ert,HepztjtisBbirus,,,17477,,,,50606,F,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",10407.0,,2.2.15,N,1
107,Intetmefiate,Hkmoswpiens,,,1593,,,,50587,F,In vitro anti-HBV activity in 2.2.15 cells,9606.0,,2.2.15,N,1
108,Interm4diqte,Hojosaliens,,,1593,,,,50587,F,In vitro anti-HBV activity in 2.2.15 cells; Not determined,9606.0,,2.2.15,N,1
109,Inhermedlate,Homksapjens,,,15089,,,,50587,F,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,9606.0,,2.2.15,N,1
110,Intfrmefiate,Hokoszpiens,,,15089,,,,50587,F,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,9606.0,,2.2.15,N,1
111,Intermedistd,bokosapiens,,,1593,,,,50587,F,Cytotoxicity in 2.2.15 cells,9606.0,,2.2.15,N,1
112,Internediste,Hkmoxapiens,,,1593,,,,50587,F,Cytotoxicity in 2.2.15 cells; Not determined,9606.0,,2.2.15,N,1
113,Intermeriage,Honosspiens,,,13600,,,,50587,F,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,9606.0,,2.2.15,N,1
114,Int3rmwdiate,Honosap7ens,,,13467,,,,50587,F,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,9606.0,,2.2.15,N,1
115,Intermediw6e,Homosap92ns,,,13467,,,,50587,F,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,9606.0,,2.2.15,N,1
116,Int45mediate,Hkmosap7ens,,,14764,,,,81020,F,Antiviral activity against HBV was determined in 2.215 cell line,9606.0,,HepG2,N,1
117,qhtocuration,tomodapiens,,,6531,,,Micgoslmes,22226,B,Inhibition of 20-HETE synthesis in human renal microsomes,9606.0,,,U,0
118,A7tlcuration,,,,17322,,,,22226,B,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,U,0
119,Ibtdrmediate,Hlmosapjens,,,17072,,,,80612,F,Inhibitory concentration against 2008 (ovarian) cells,9606.0,,2008,N,1
120,Intwrmexiate,Homosapidhs,,,16936,,,,80612,F,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,9606.0,,2008,N,1
121,Intetmedjate,Homosapuems,,,16936,,,,80612,F,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),9606.0,,2008,N,1
122,Inte3mewiate,Homisapkens,,,17146,,,,80612,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,9606.0,,2008,N,1
123,9ntermsdiate,bomodapiens,,,17146,,,,80612,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,9606.0,,2008,N,1
124,Intermrsiate,Homoqapienq,,,10797,,,,80613,F,In vitro inhibition of 2008/R ovarian cancer cell line,9606.0,,2008/R,N,1
125,Inhermeduate,Homoaapienx,,,10797,,,,80613,F,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,9606.0,,2008/R,N,1
126,Ibternediate,tomosapiegs,,,10797,,,,80614,F,In vitro inhibition of 2008/S ovarian cancer cell line,9606.0,,2008/S,N,1
127,Intfrmediste,jompsapiens,,,10797,,,,80614,F,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,9606.0,,2008/S,N,1
128,Experf,Homosapiejx,,,4823,,,,100256,B,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,9606.0,,,S,2
129,Intrrmediatd,Hokocapiens,,,12912,,,,100256,B,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,9606.0,,,S,2
130,Ecpert,,,,2957,,,,100256,B,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,S,2
131,Exper5,,,,2957,,,,100256,B,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,S,2
132,lntermediwte,,,,3260,,,,100256,B,Inhibitory activity against 20S proteosome,,,,S,2
133,Autocyra6ion,Homosz9iens,,,3451,,,,22226,B,Compound was tested for inhibitory activity against tryptase,9606.0,,,U,0
134,Imternediate,Hom8saplens,,,13885,,,,81020,F,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,9606.0,,HepG2,N,1
135,In4ermsdiate,bomosapifns,,,13885,,,,81020,F,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,9606.0,,HepG2,N,1
136,Autkfuration,,,,3676,,,,22226,B,Compound was tested for the inhibition of Alpha-glucosidase,,,,U,0
137,Autoc8ratlon,,,,6043,,,,235,B,Inhibitory concentration against human neutrophil elastase (HNE),,,,H,8
138,Autovurqtion,Rattusnord4gisus,,,11140,,,,22226,F,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,10116.0,Heart,,U,0
139,Aut8curxtion,,,,10543,,,,19640,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,H,8
140,Exp3rt,,,,10543,,,,19640,F,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,H,8
141,qutocurafion,,,,10543,,,,19640,B,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,H,8
142,Expdrt,,,,10543,,,,19640,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,H,8
143,Intermedkats,Musmusvulys,,,11365,,,,80360,F,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,10090.0,,P338,N,1
144,Ingetmediate,Musmusc8l8s,,,11365,,,,80360,F,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,10090.0,,P338,N,1
145,Interhediqte,Hokosaplens,,,11803,,,,80384,F,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,9606.0,,PBL,N,1
146,Autocuratupn,Ovisarids,,,11803,,,,22226,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,9940.0,,,U,0
147,Autocuratlob,Ocisaries,,,11803,,,,22226,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,9940.0,,,U,0
148,Autoc6ratiom,,,,12278,,,,191,B,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,H,8
149,qutocuratikn,Homoszpienx,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,9606.0,,,U,0
150,Autocutati9n,Homosa9oens,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,9606.0,,,U,0
151,Autocurqti9n,Honosap9ens,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,9606.0,,CCRF-CEM,U,0
152,qutkcuration,Homosspiejs,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,9606.0,,CCRF-CEM,U,0
153,Aut8curagion,Hompszpiens,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,9606.0,,CCRF-CEM,U,0
154,Autoxurati0n,Homosxp7ens,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,9606.0,,CCRF-CEM,U,0
155,A8tocugation,Hon8sapiens,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,9606.0,,,U,0
156,Autocu3ati9n,Homosalienc,,,8249,,,,22226,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,9606.0,,,U,0
157,Autkcurati8n,,,,16992,,,,104290,B,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,H,6
158,Inrermedkate,Sgrrotococcus9yogenes,,,10543,,,,50264,F,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,1314.0,,,N,1
159,Intsrkediate,Himabhrrpesvirus3,,,17833,,,,50527,F,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),10335.0,,,N,1
160,Expwrt,v4ricillazozrervir8s,,,17290,,,,50527,F,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,10335.0,,HEL,N,1
161,lntfrmediate,f4rlcillasostervirus,,,17290,,,,50527,F,Antiviral activity against 07/1 strain of VZV; ND: No data,10335.0,,,N,1
162,ln4ermediate,feridillazps4ervirus,,,17290,,,,50527,F,Antiviral activity against 07/1 strain of VZV; ND=No data,10335.0,,,N,1
163,untedmediate,escherjchiaciiac,,,10932,,,,50145,F,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",561.0,,,N,1
164,Aytocuratiob,,,,9707,,,,22226,B,Ratio of Ki at A2 to Ki at A1 receptors,,,,U,0
165,Expsrt,Cxndidaalbicsbs,,,2346,,,,11143,B,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",5476.0,,,H,8
166,Exper6,CanrieqglabrataCBS128,,,2205,,,,18077,B,"Inhibition of 1,3-beta-glucan synthase",284593.0,,,H,8
167,Interm2d9ate,Homosx9iens,,,11900,,,,80609,F,Inhibition of growth of 1-87 human tumor cell line,9606.0,,1-87 tumor cell line,N,1
168,Eapert,Rat5uwnotvegicus,,,14864,,,,12166,B,Inhibition of 1-lipoxygenase (LOX)in RBL cells,10116.0,,,D,9
169,Autovuratioj,Giycinrmax,,,16474,,,,100171,B,Inhibitory activity against soybean 1-lipoxygenase (SLO),3847.0,,,D,9
170,Autoc6ratoon,Glycihfmax,,,16474,,,,100171,B,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,3847.0,,,D,9
171,Autovurxtion,Glycinejad,,,16474,,,,100171,B,% inhibition against soybean 1-lipoxygenase (SLO),3847.0,,,D,9
172,Autocu5atioj,Glycigejax,,,16474,,,,100171,B,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,3847.0,,,D,9
