original_language_id,language,release_year,title,rating,rental_duration,rental_rate,film_id,length,replacement_cost,description
,English,2006,BERETS AGENT,PG-13,5,2.99,67,77,24.99,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China
,English,2006,BEVERLY OUTLAW,R,3,2.99,69,85,21.99,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station
,English,2006,BIKINI BORROWERS,NC-17,7,4.99,70,142,26.99,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station
,English,2006,BILL OTHERS,PG,6,2.99,72,93,12.99,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention
,English,2006,BIRCH ANTITRUST,PG,4,4.99,74,162,18.99,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon
,English,2006,BIRD INDEPENDENCE,G,6,4.99,75,163,14.99,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies
,English,2006,BIRDCAGE CASPER,NC-17,4,0.99,76,103,23.99,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India
,English,2006,BIRDS PERDITION,G,5,4.99,77,61,15.99,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California
,English,2006,BLACKOUT PRIVATE,PG,7,2.99,78,85,12.99,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan
,English,2006,BLADE POLISH,PG-13,5,0.99,79,114,10.99,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station
,English,2006,BLANKET BEVERLY,G,7,2.99,80,148,21.99,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria
,English,2006,BLUES INSTINCT,G,5,2.99,83,50,18.99,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House
,English,2006,BOILED DARES,PG,7,4.99,84,102,13.99,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan
,English,2006,BONNIE HOLOCAUST,G,4,0.99,85,63,29.99,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan
,English,2006,BOONDOCK BALLROOM,NC-17,7,0.99,87,76,14.99,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico
,English,2006,BORN SPINAL,PG,7,4.99,88,179,17.99,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria
,English,2006,BORROWERS BEDAZZLED,G,7,0.99,89,63,22.99,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House
,English,2006,BOULEVARD MOB,R,3,0.99,90,63,11.99,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China
,English,2006,BOUND CHEAPER,PG,5,0.99,91,98,17.99,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon
,English,2006,BOWFINGER GABLES,NC-17,7,4.99,92,72,19.99,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California
,English,2006,BRANNIGAN SUNRISE,PG,4,4.99,93,121,27.99,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin
,English,2006,BRAVEHEART HUMAN,PG-13,7,2.99,94,176,14.99,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin
,English,2006,BREAKFAST GOLDFINGER,G,5,4.99,95,123,18.99,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin
,English,2006,BREAKING HOME,PG-13,4,2.99,96,169,21.99,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft
,English,2006,BRIGHT ENCOUNTERS,PG-13,4,4.99,98,73,12.99,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat
,English,2006,BRINGING HYSTERICAL,PG,7,2.99,99,136,14.99,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat
,English,2006,BROTHERHOOD BLANKET,R,3,0.99,101,73,26.99,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan
,English,2006,BUBBLE GROSSE,R,4,4.99,102,60,20.99,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon
,English,2006,BUCKET BROTHERHOOD,PG,7,4.99,103,133,27.99,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory
,English,2006,BUGSY SONG,G,4,2.99,104,119,17.99,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station
,English,2006,BULL SHAWSHANK,NC-17,6,0.99,105,125,21.99,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies
,English,2006,BULWORTH COMMANDMENTS,G,4,2.99,106,61,14.99,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback
,English,2006,BUNCH MINDS,G,4,2.99,107,63,13.99,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention
,English,2006,BUTTERFLY CHOCOLAT,G,3,0.99,109,89,17.99,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank
,English,2006,CADDYSHACK JEDI,NC-17,3,0.99,111,52,17.99,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia
,English,2006,CALENDAR GUNFIGHT,NC-17,4,4.99,112,120,22.99,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria
,English,2006,CAMELOT VACATION,NC-17,3,0.99,114,61,26.99,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention
,English,2006,CAMPUS REMEMBER,R,5,2.99,115,167,27.99,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat
,English,2006,CANDLES GRAPES,NC-17,6,4.99,117,135,15.99,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House
,English,2006,CANYON STOCK,R,7,0.99,118,85,26.99,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse
,English,2006,CAPER MOTIONS,G,6,0.99,119,176,22.99,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention
,English,2006,CARIBBEAN LIBERTY,NC-17,3,4.99,120,92,16.99,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank
,English,2006,CAROL TEXAS,PG,4,2.99,121,151,15.99,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery
,English,2006,CARRIE BUNCH,PG,7,0.99,122,114,11.99,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies
,English,2006,CASABLANCA SUPER,G,6,4.99,123,85,22.99,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station
,English,2006,CASPER DRAGONFLY,PG-13,3,4.99,124,163,16.99,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert
,English,2006,CASSIDY WYOMING,NC-17,5,2.99,125,61,19.99,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans
,English,2006,CASUALTIES ENCINO,G,3,4.99,126,179,16.99,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery
,English,2006,CAT CONEHEADS,G,5,4.99,127,112,14.99,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India
,English,2006,CATCH AMISTAD,G,7,0.99,128,183,10.99,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria
,English,2006,CAUSE DATE,R,3,2.99,129,179,16.99,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention
,English,2006,CELEBRITY HORN,PG-13,7,0.99,130,110,24.99,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank
,English,2006,CENTER DINOSAUR,PG,5,4.99,131,152,12.99,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California
,English,2006,CHAINSAW UPTOWN,PG,6,0.99,132,114,25.99,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia
,English,2006,CHAMBER ITALIAN,NC-17,7,4.99,133,117,14.99,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria
,English,2006,CHAMPION FLATLINERS,PG,4,4.99,134,51,21.99,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery
,English,2006,CHANCE RESURRECTION,R,3,2.99,135,70,22.99,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China
,English,2006,CHAPLIN LICENSE,NC-17,7,2.99,136,146,26.99,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India
,English,2006,CHARADE DUFFEL,PG,3,2.99,137,66,21.99,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention
,English,2006,CHARIOTS CONSPIRACY,R,5,2.99,138,71,29.99,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station
,English,2006,CHASING FIGHT,PG,7,4.99,139,114,21.99,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank
,English,2006,CHEAPER CLYDE,G,6,0.99,140,87,23.99,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan
,English,2006,CHICAGO NORTH,PG-13,6,4.99,141,185,11.99,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California
,English,2006,CHICKEN HELLFIGHTERS,PG,3,0.99,142,122,24.99,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia
,English,2006,CHINATOWN GLADIATOR,PG,7,4.99,144,61,24.99,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India
,English,2006,CHISUM BEHAVIOR,G,5,4.99,145,124,25.99,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India
,English,2006,CHITTY LOCK,G,6,2.99,146,107,24.99,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station
,English,2006,CHOCOLATE DUCK,R,3,2.99,148,132,13.99,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China
,English,2006,CHRISTMAS MOONSHINE,NC-17,7,0.99,149,150,21.99,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse
,English,2006,CIRCUS YOUTH,PG-13,5,2.99,152,90,13.99,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon
,English,2006,CITIZEN SHREK,G,7,0.99,153,165,18.99,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback
,English,2006,CLASH FREDDY,G,6,2.99,154,81,12.99,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia
,English,2006,CLEOPATRA DEVIL,PG-13,6,0.99,155,150,26.99,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon
,English,2006,CLOCKWORK PARADISE,PG-13,7,0.99,157,143,29.99,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon
,English,2006,CLONES PINOCCHIO,R,6,2.99,158,124,16.99,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans
,English,2006,CLUB GRAFFITI,PG-13,4,0.99,160,65,12.99,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat
,English,2006,CLUE GRAIL,NC-17,6,4.99,161,70,27.99,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China
,English,2006,CLUELESS BUCKET,R,4,2.99,162,95,13.99,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House
,English,2006,CLYDE THEORY,PG-13,4,0.99,163,139,29.99,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat
,English,2006,COAST RAINBOW,PG,4,0.99,164,55,20.99,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert
,English,2006,COLDBLOODED DARLING,G,7,4.99,165,70,27.99,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico
,English,2006,COLOR PHILADELPHIA,G,6,2.99,166,149,19.99,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert
,English,2006,COMANCHEROS ENEMY,R,5,0.99,168,67,23.99,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico
,English,2006,COMMAND DARLING,PG-13,5,4.99,170,120,28.99,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan
,English,2006,COMMANDMENTS EXPRESS,R,6,4.99,171,59,13.99,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft
,English,2006,CONEHEADS SMOOCHY,NC-17,7,4.99,172,112,12.99,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria
,English,2006,CONFESSIONS MAGUIRE,PG-13,7,4.99,173,65,25.99,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon
,English,2006,CONFUSED CANDLES,PG-13,3,2.99,175,122,27.99,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon
,English,2006,CONGENIALITY QUEST,PG-13,6,0.99,176,87,21.99,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon
,English,2006,CONNECTICUT TRAMP,R,4,4.99,177,172,20.99,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank
,English,2006,CONNECTION MICROCOSMOS,G,6,0.99,178,115,25.99,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station
,English,2006,CONQUERER NUTS,G,4,4.99,179,173,14.99,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft
,English,2006,CONTROL ANTHEM,G,7,4.99,182,185,9.99,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery
,English,2006,CORE SUIT,PG-13,3,2.99,184,92,24.99,A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse
,English,2006,COWBOY DOOM,PG,3,2.99,185,146,10.99,A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon
,English,2006,CRAFT OUTFIELD,NC-17,6,0.99,186,64,17.99,A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory
,English,2006,CRANES RESERVOIR,NC-17,5,2.99,187,57,12.99,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory
,English,2006,CRAZY HOME,PG,7,2.99,188,136,24.99,A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback
,English,2006,CREATURES SHAKESPEARE,NC-17,3,0.99,189,139,23.99,A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India
,English,2006,CREEPERS KANE,NC-17,5,4.99,190,172,23.99,A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat
,English,2006,CROOKED FROGMEN,PG-13,6,0.99,191,143,27.99,A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park
,English,2006,CROSSROADS CASUALTIES,G,5,2.99,193,153,20.99,A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback
,English,2006,CROW GREASE,PG,6,0.99,194,104,22.99,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station
,English,2006,CROWDS TELEMARK,R,3,4.99,195,112,16.99,A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House
,English,2006,CRUSADE HONEY,R,4,2.99,197,112,27.99,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park
,English,2006,CRYSTAL BREAKING,NC-17,6,2.99,198,184,22.99,A Fast-Paced Character Study of a Feminist And a Explorer who must Face a Pastry Chef in Ancient Japan
,English,2006,CUPBOARD SINNERS,R,4,2.99,199,56,29.99,A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park
,English,2006,CYCLONE FAMILY,PG,7,2.99,201,176,18.99,A Lacklusture Drama of a Student And a Monkey who must Sink a Womanizer in A MySQL Convention
,English,2006,DADDY PITTSBURGH,G,5,4.99,202,161,26.99,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico
,English,2006,DAISY MENAGERIE,G,5,4.99,203,84,9.99,A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India
,English,2006,DALMATIONS SWEDEN,PG,4,0.99,204,106,25.99,A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse
,English,2006,DANCES NONE,NC-17,3,0.99,205,58,22.99,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park
,English,2006,DANCING FEVER,G,6,0.99,206,144,25.99,A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank
,English,2006,DANGEROUS UPTOWN,PG,7,4.99,207,121,26.99,A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California
,English,2006,DARES PLUTO,PG-13,7,2.99,208,89,16.99,A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans
,English,2006,DARLING BREAKING,PG-13,7,4.99,211,165,20.99,A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico
,English,2006,DARN FORRESTER,G,7,4.99,212,185,14.99,A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat
,English,2006,DATE SPEED,R,4,0.99,213,104,19.99,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention
,English,2006,DAUGHTER MADIGAN,PG-13,3,4.99,214,59,13.99,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station
,English,2006,DAWN POND,PG,4,4.99,215,57,27.99,A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin
,English,2006,DAY UNFAITHFUL,G,3,4.99,216,113,16.99,A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat
,English,2006,DAZED PUNK,G,6,4.99,217,120,20.99,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park
,English,2006,DECEIVER BETRAYED,NC-17,7,0.99,218,122,22.99,A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India
,English,2006,DEEP CRUSADE,PG-13,6,4.99,219,51,20.99,A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia
,English,2006,DEER VIRGINIAN,NC-17,7,2.99,220,106,13.99,A Thoughtful Story of a Mad Cow And a Womanizer who must Overcome a Mad Scientist in Soviet Georgia
