Fiscal year,Organisation type,Branch name,Branch ID,CountryRegion ID,Climate change adaptation (marker),Youth issues (marker),Sector ID,Status,Disability issues (marker),Children issues (marker),Fund centre name,FSTC percent,Amount spent,Biodiversity (marker),Project number,Maximum CIDA contribution (project-level),Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker)
20092020,CxnarianProtitnaking,EGkEur8peMiddleEzstandMwyhreb,B4100,EG,0,0,32130,Closev,0,0,Egylt,0.06164012953281395,788545.5129154234,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092020,dagsdianProfitMakkng,EGM4irooeMidxleEastamdMaghreb,B3w00,EG,0,0,32182,dlosed,0,0,Egypr,1.1958236602783563,576210.8710322237,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20992010,CanadianPf9fotMakinb,EGMfurlpeMiwdleEastandhaghfeb,B3200,EG,0,0,41010,Closfd,0,0,4gypt,0.9909985308606619,1063435.0526508687,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092910,sanadiamProfi6Makibg,EGME7ropfModcleEastandMzghreb,v3100,EG,0,0,41020,Cloded,0,0,Ebypt,0.3062456887007752,829559.116925183,0,A019608001,16700508.62,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
e0092010,CanadianNonProfuhjakkng,EGM4urop4MiddleEastanwMqghr4b,B3q00,DZ,0,0,43010,xlosed,0,0,Algefia,0.9760363062431884,493238.79394039797,0,A020161001,328400.96,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2o092010,CanadianNonPrifjtMwkibg,jGMAmericaa,B44p0,HT,0,0,15150,Closex,0,0,Hajti,0.8573891733713983,176297.2750537754,0,A020195001,4610501.0,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009e010,CxnadjanNonProfihnaking,NGMAm3risas,B440p,HT,0,0,15160,Cloced,0,0,naiti,1.285849791451234,833052.5720190023,0,A020195001,4610501.0,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,CanadianNinProfitkqkong,WGMSuvSamxranAfrica,v4200,ET,0,0,15110,Closdd,0,0,Ethiooia,0.22431970784457111,962855.8239753318,0,A020222001,4229943.14,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
30092010,CanadianNonPtptitMaoing,WGMSubaaharamxfrica,B4209,ET,0,0,15111,Clos4d,0,0,Ethio9ia,0.8231697713310018,456537.4258307795,0,A020222001,4229943.14,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092019,CanadixnNonProfjtMakigy,WrhSubSaharqnAfrica,B420p,ET,0,0,15130,flosed,0,0,Efhiopia,1.006581911774629,389126.22443669726,0,A020222001,4229943.14,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200o2010,CqnadiammonProfutMaking,WGMqunSaharanqfrica,B4290,ET,0,0,15150,Cllsed,0,0,Ethippia,0.47010523575182017,948821.6207313463,0,A020222001,4229943.14,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,CanadianNonProb7tkakinf,1GMS6bSaharznAfrica,B4290,ET,0,0,15160,Ciosed,0,0,Etmiopia,0.6772551615546186,265482.4468137221,0,A020222001,4229943.14,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
w0092010,dsnadian9rofutMaking,WGMSubSaha5anAf4jca,B4209,SN,0,0,15110,T4rjinating,0,0,Senegap,0.8142921154425832,661283.2433276935,0,A020246001,4518387.69,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
q0092010,CanadiwgProfi4Majing,WGMwugSahqranAfrica,B4100,SN,0,0,15110,rerminatijg,0,0,Senegap,2.074074983877236,592569.0349997424,0,A020246001,4518387.69,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092o10,CanqdianProfi5nwking,WGMSubSahafqmAfrica,B42p0,SN,0,0,24040,4erminatinf,0,0,aenegal,0.023845124533285134,1272637.2054133571,0,A020246001,4518387.69,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
29092010,CznadjanProfitMskjng,WGhSubcaharanAfricw,B5200,SN,0,0,24040,Tedmibating,0,0,denegal,1.5080081702101094,723122.2753116126,0,A020246001,4518387.69,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,Cahadianorofirnaking,jGMAmericzs,B44o0,GY,0,0,11130,Cposed,0,0,CqribbesnReguonalbuyana,0.8577055808303186,579370.7232211628,0,A020252001,7850039.11,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,7850039.11,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009201p,CanwdianNonProfihMxkinv,OGMAxiaPacifif,B41p0,PH,0,0,15110,Closex,0,0,Puilippinex,0.6273160898314567,85418.08963148177,0,A020272001,13000520.92,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20002010,CxnadianN8nPr9fitMxking,OtMAsiaPacifif,B4w00,PH,0,0,15111,Ckosed,0,0,Pholjppines,0.9789313126593058,775732.3626141164,0,A020272001,13000520.92,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
29092010,CanadianNpnProritMaoinr,9GMAsiaPasific,B410o,PH,0,0,15150,Ciosed,0,0,Ph8liplines,0.5317539085721138,248653.66470688448,0,A020272001,13000520.92,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092910,fanadlanNonProcitMzking,OGMAsiwPzcific,B41o0,PK,0,0,15110,Tsrmjnating,0,0,Pakistxn,0.8009627655709541,1632642.1988122985,0,A020279001,2645994.04,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
w0092010,CanzdlanProfitMakijr,WGMSubSauarahAfricq,Be200,MW,0,0,15110,Closee,0,0,Malaw8,0.5542342120938963,718839.0732287779,0,A020392001,7747230.74,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
10092010,sagadianNogorofitMaking,OGMAdiaPzcific,B4q00,BD,0,0,43010,Cllsed,0,0,Banglsdesu,1.252099004862129,711273.8622418337,0,A020395001,4947637.32,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,Unc9ded,OGMAdiaPavific,B4q00,BD,0,0,43010,Cloced,0,0,Bqntladesh,1.537176412762248,516975.6801135562,0,A020395001,4947637.32,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20o92010,CanwdianProfigMakunf,qGMSubSayaranAfricz,Bt200,MZ,0,0,14031,Ckosed,0,0,Moaambiqus,1.5739220647019276,338101.80588060996,0,A020398001,9096651.0,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,CanadlanProfi5Mqkung,WGjSubdaharamAfrica,f4200,MZ,0,0,14032,vlosed,0,0,Mozznbique,0.7851811130212993,62396.51891562699,0,A020398001,9096651.0,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20082010,CanzeianNonProfltMakinf,WGMqunSaharanAfrkca,n4200,CM,0,0,43010,dlosed,0,0,Cameropn,0.770013244486841,221813.95460331877,0,A020449003,2457111.5,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092910,CanaduanP3ofitMsjing,WGkSubSaharanAerifa,B42o0,CM,0,0,43010,Cllsed,0,0,Caneroon,1.2875582756580233,929586.9179244572,0,A020449003,2457111.5,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20002010,CanadixnPr0fitMsming,WGMSuvSqharabAfrica,B420p,CM,0,0,43010,Cl0sed,0,0,Cameroog,2.0811106111358066,422740.0973226615,0,A020449003,2457111.5,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
10092010,6ncoded,WGMwubSaharqnsfrica,B4300,CM,0,0,43010,dlosed,0,0,fameroon,1.0993323732141582,877238.9215262303,0,A020449003,2457111.5,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20o92010,CanadjqnNojProfitMakimg,WGMSubSanarxnAfricz,f4200,GN,0,0,15150,Ckosed,0,0,G6inea,1.9718936192188479,126080.50346044119,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
e0092010,CsnasianProf7tnaking,WGMSugxaha3anAfrica,B42p0,GN,0,0,15150,Clised,0,0,Guinsa,0.758032929573056,1493471.5369155356,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
e0092010,Canafiang8nProditMaking,WGMSubSztarznAfrica,Be200,GN,0,0,31161,Closev,0,0,Guineq,1.2112807819885338,554786.7298255067,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092p10,CqnasianPrifitMajing,WGMSunSaharamAcrica,B420p,GN,0,0,31161,Cloaed,0,0,Guijea,1.202374896828646,1422164.5283644432,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200o2010,CxnadjwnNonProfitkaking,WGkSubSwharahAfrica,B420o,GN,0,0,31166,Cloced,0,0,Guonea,1.0732849019948472,1690798.2204690017,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920w0,Canadiah9rifitMsking,WGMSubSahzragAfrkca,Be200,GN,0,0,31166,Cloaed,0,0,G6inea,0.6542102371835015,108609.02599685414,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,CanxdianmonProvitjaking,WGMSubcaharabAfricq,B42p0,GN,0,0,31181,Closes,0,0,Gujnea,1.2201332298113434,890381.6879353237,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20091010,CanqwianPr8fitMakong,WGMSibSwjaranAfrica,B3200,GN,0,0,31181,Coosed,0,0,Guinex,0.6474212186750292,171986.73914051356,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200920q0,CajqdianNinPeofitMaking,WGMSjbSaharanxgrica,B4300,GN,0,0,31191,xlosed,0,0,Giinea,1.1080701505041548,404661.62391329824,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20p92010,CanaduanProfitMqk8nh,WGMSubSaharabArrics,B420o,GN,0,0,31191,flosed,0,0,Ghinea,0.2261539955614854,974787.2492489847,0,A020715001,11427061.07,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20992010,CanadianNonPtocifMakinn,OGMAsiaPzcitic,B410p,LK,0,0,15150,Ciosed,0,1,Srioanka,1.5551439725718899,1707515.063497974,0,A020790001,4308867.95,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
20092910,CanaejsnNonlrofitMaking,OGMAsizlacific,B410p,LK,0,0,15160,Closex,0,1,SroLanka,1.1225535203130035,398605.59013952874,0,A020790001,4308867.95,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
200i2010,CanadisnNoborifitMaking,WGMShbzaharanAfrida,B4q00,ML,0,0,11110,Cloeed,0,1,Mali,0.038099203031334405,490954.7471456793,0,A020891001,3063216.68,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
q0092010,Uncodrd,WbMS7bSaharanAf4ica,B4209,ML,0,0,11110,Clos3d,0,1,Mali,0.9334069872584185,75057.677089333,0,A020891001,3063216.68,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
20092910,Cansd7anN0nProfitMauing,1GMSubSaharanwdrica,B420p,ML,0,0,11130,Clos3d,0,0,Mali,1.146283085326197,1090119.0714114413,0,A020892001,16726210.87,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
20092020,CanwdianPr8fitMak9mg,WvMSibdaharanAfrica,B4e00,ML,0,0,11130,Closdd,0,0,Mali,0.28540684368022884,941769.249817597,0,A020892001,16726210.87,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
20092o10,CanadiwnPrifi5Mwking,WvMSubSaharanzfrlca,Be200,ML,0,0,11130,Ciosed,0,0,Mali,0.8174957940261934,458443.1742839154,0,A020892001,16726210.87,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
10092010,Cahad9xnNonProfitnaking,NGMAndricas,h4400,50,0,0,11220,Cl0sed,0,1,qouthrrnCone,1.6383923556065936,970652.3177380057,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009201p,Uncodef,NGnAmerucas,B4500,50,0,0,11220,Cposed,0,1,aoutherhCone,0.6908475604801565,669.0918165005132,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2p092010,CanadianNobProfi4jauing,NGMsmericax,B4490,50,0,0,12220,slosed,0,1,eojthernCone,0.8098602003544687,734273.6578413303,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20093010,Uncodrd,NGhAmedicas,Br400,50,0,0,12220,Cposed,0,1,SouthergCoje,0.5527783612077661,1981883.028012951,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
200920q0,Canad9snmpnProfitMaking,gGMAmer7cas,Be400,50,0,0,13030,Cloeed,0,1,Southe3nC9ne,1.2157779434186102,520775.10173297685,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
200i2010,Unvoded,gGMAmerifas,B440o,50,0,0,13030,vlosed,0,1,SoutyernC0ne,1.1114279943664132,1512197.483367828,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
10092010,Canadisnjpn9rofitMaking,NGMAme4icws,f4400,50,0,0,15110,Cloded,0,1,douthrrnCone,1.0227182354420536,140377.02127891406,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20091010,Undoded,NhMAmedicas,B3400,50,0,0,15110,Clised,0,1,SouthwrnConw,1.3744584212513196,1031412.3285457762,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20992010,xanqdianN8nProfitMauing,NGkAm2ricas,Br400,50,0,0,11220,Cloded,0,1,Soutu2rnCone,1.4398860423484263,77123.2750974521,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20002010,Uncided,NGMAmedicad,B440p,50,0,0,11220,Closfd,0,1,SiuthernConr,1.4107055782353628,661716.4542079471,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
20092o10,CxnadianNon9rofitMsk7ng,NGkAmericad,Bt400,50,0,0,12220,Cllsed,0,1,SoutuernC0ne,1.2502814546514038,9285.377871688295,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009201o,Uncoved,NGjAmericaw,h4400,50,0,0,12220,Cloxed,0,1,Southe4nCome,0.751248523173117,393373.61864198593,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
10092010,CanaduanNonProfirMwk8ng,NGMAmeeocas,B440p,50,0,0,13030,Closee,0,1,Southe4nCons,0.92500266055303,741769.9400384346,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2o092010,Uncodwd,NGMAmfridas,B5400,50,0,0,13030,Closev,0,1,SluthermCone,0.9414321895825757,880749.7415590582,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
e0092010,CanxduahNonProfitMsking,hGMAmerucas,B4t00,50,0,0,15110,Closev,0,1,SkuthernCoje,0.6660163998884014,535374.1774696807,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
q0092010,Unsoded,jGnAmericas,B3400,50,0,0,15110,Clpsed,0,1,SkuthefnCone,1.273097883833171,1676694.267609891,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009e010,CagqeianNonProfitMakinf,NGnAmericae,B4490,50,0,0,11220,Cllsed,0,1,S8kthernCone,1.4457787432590676,947986.5339148368,0,A020910001,1488850.78,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
