assay_id,curated_by,tid,assay_tissue,assay_category,description,doc_id,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
15,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,Staphylococcus aureus,1280.0,,,
16,Intermediate,50185,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,F,,Staphylococcus aureus,1280.0,,,
17,Expert,100122,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,11347,A,,Rattus norvegicus,10116.0,,,
18,Autocuration,12054,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,
19,Autocuration,12054,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,10091,B,,,,,,
20,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,
21,Autocuration,12054,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,
22,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,B,,,,,,
23,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,B,,,,,,
24,Autocuration,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,B,,,,,,
25,Autocuration,22226,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",14352,B,,,,,,
26,Autocuration,12054,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,5646,B,,Oryctolagus cuniculus,9986.0,,,
27,Autocuration,12054,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),5646,B,,Oryctolagus cuniculus,9986.0,,,
28,Autocuration,12426,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,10997,B,,,,,,
29,Autocuration,12054,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,6309,B,,soya bean,3847.0,,,
30,Autocuration,12054,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,167,B,,Glycine max,3847.0,,,
31,Autocuration,12054,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,167,B,,Glycine max,3847.0,,,
32,Autocuration,12054,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,11087,B,,Glycine max,3847.0,,,
33,Autocuration,12054,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,11087,B,,Glycine max,3847.0,,,
34,Autocuration,12054,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,B,,Glycine max,3847.0,,,
35,Autocuration,12054,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,B,,Glycine max,3847.0,,,
36,Autocuration,22226,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,11347,A,,Rattus norvegicus,10116.0,,,
37,Autocuration,22226,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,5926,B,,Escherichia coli,562.0,,,
38,Autocuration,22226,,,Dissociation constant with dimeric 16S rRNA RNA construct B,4567,B,,,,,,
39,Intermediate,22222,,,Dissociation constant towards 16S rRNA construct A,3782,B,,,,,,
40,Intermediate,22222,,,Dissociation constant towards 16S rRNA construct B,3782,B,,,,,,
41,Expert,100263,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,4466,B,,Escherichia coli,562.0,,,
42,Expert,100263,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,6592,B,,Escherichia coli,562.0,,,
43,Autocuration,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,
44,Autocuration,13053,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,
45,Autocuration,20001,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,B,,Homo sapiens,9606.0,,,
46,Autocuration,20001,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,B,,Homo sapiens,9606.0,,,
47,Expert,12971,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,B,,Rattus norvegicus,10116.0,,,
48,Expert,12971,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,B,,Rattus norvegicus,10116.0,,,
49,Expert,12971,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,B,,Rattus norvegicus,10116.0,,,
50,Expert,12971,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,B,,Rattus norvegicus,10116.0,,,
51,Autocuration,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,
52,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),912,B,,,,,,
53,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,912,B,,,,,,
54,Autocuration,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,912,B,,,,,,
55,Autocuration,104740,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,15103,B,,Rattus norvegicus,10116.0,,,Membranes
56,Intermediate,80002,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,5116,F,,Homo sapiens,9606.0,,1A9,
57,Autocuration,104835,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,14578,F,,Rattus norvegicus,10116.0,,Oocytes,
58,Autocuration,104821,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,14578,F,,Rattus norvegicus,10116.0,,Oocytes,
59,Autocuration,104848,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,14578,F,,Rattus norvegicus,10116.0,,Oocytes,
60,Expert,80002,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,4787,F,,Homo sapiens,9606.0,,1A9,
61,Intermediate,80002,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,4787,F,,Homo sapiens,9606.0,,1A9,
62,Intermediate,80002,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,3547,F,,Homo sapiens,9606.0,,1A9,
63,Intermediate,80002,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,3547,F,,Homo sapiens,9606.0,,1A9,
64,Intermediate,80002,,,Effective dose of compound against replication of 1A9 cell line was evaluated,6726,F,,Homo sapiens,9606.0,,1A9,
65,Expert,80002,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,3455,F,,Homo sapiens,9606.0,,1A9,
66,Intermediate,80002,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),5726,F,,Homo sapiens,9606.0,,1A9,
67,Intermediate,80002,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,5726,F,,Homo sapiens,9606.0,,1A9,
68,Intermediate,80002,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,5726,F,,Homo sapiens,9606.0,,1A9,
69,Intermediate,80002,,,Inhibitory activity against Taxol resistant 1A9 cell lines,3395,F,,Homo sapiens,9606.0,,1A9,
70,Expert,80002,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,3415,F,,Homo sapiens,9606.0,,1A9,
71,Expert,80002,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,3415,F,,Homo sapiens,9606.0,,1A9,
72,Expert,80002,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,17099,F,,Homo sapiens,9606.0,,1A9,
73,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,17099,F,,Homo sapiens,9606.0,,1A9,
74,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,17099,F,,Homo sapiens,9606.0,,1A9,
75,Intermediate,80002,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,17099,F,,Homo sapiens,9606.0,,1A9,
76,Intermediate,81072,,,Inhibitory concentration against Jurkat cells,17721,F,,Homo sapiens,9606.0,,Jurkat,
77,Intermediate,22226,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1229,F,,,,,,
78,Expert,100121,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,11347,A,,Rattus norvegicus,10116.0,,,
79,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,B,,,,,,
80,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,B,,,,,,
81,Expert,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",17117,B,,,,,,
82,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11375,B,,Candida albicans,5476.0,,,Microsomes
83,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11375,B,,Candida albicans,5476.0,,,Microsomes
84,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11375,B,,Saccharomyces cerevisiae,4932.0,,,Microsomes
85,Autocuration,11231,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11375,B,,Saccharomyces cerevisiae,4932.0,,,Microsomes
86,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",11375,B,,Sus scrofa,9823.0,,,Microsomes
87,Autocuration,11231,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",791,B,,Rattus norvegicus,10116.0,,,
88,Autocuration,11231,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",791,B,,Rattus norvegicus,10116.0,,,
89,Autocuration,11231,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",791,B,,Rattus norvegicus,10116.0,,,
90,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",11375,B,,Rattus norvegicus,10116.0,,,Microsomes
91,Autocuration,12083,Liver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",11375,B,,Rattus norvegicus,10116.0,,,Microsomes
92,Autocuration,12083,Liver,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",153,B,,Rattus norvegicus,10116.0,,,Microsomes
93,Expert,11377,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),8269,B,,,,,,
94,Expert,11377,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,8269,B,,,,,,
95,Expert,81020,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,F,,Homo sapiens,9606.0,,HepG2,
96,Intermediate,81020,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,14277,F,,Homo sapiens,9606.0,,HepG2,
97,Intermediate,81020,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1717,F,,Homo sapiens,9606.0,,HepG2,
98,Intermediate,81020,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,14091,F,,Homo sapiens,9606.0,,HepG2,
99,Intermediate,81020,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,14091,F,,Homo sapiens,9606.0,,HepG2,
100,Expert,50606,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,F,,Hepatitis B virus,10407.0,,,
101,Intermediate,81020,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,13105,F,,Homo sapiens,9606.0,,HepG2,
102,Intermediate,81020,,,Concentration required to inhibit 50% of 2.2.15 cell line,1717,F,,Homo sapiens,9606.0,,HepG2,
103,Intermediate,81020,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,13105,A,,Homo sapiens,9606.0,,HepG2,
104,Intermediate,50587,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,13600,F,,Homo sapiens,9606.0,,2.2.15,
105,Intermediate,50587,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,13467,F,,Homo sapiens,9606.0,,2.2.15,
106,Expert,50606,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",17477,F,,Hepatitis B virus,10407.0,,2.2.15,
107,Intermediate,50587,,,In vitro anti-HBV activity in 2.2.15 cells,1593,F,,Homo sapiens,9606.0,,2.2.15,
108,Intermediate,50587,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1593,F,,Homo sapiens,9606.0,,2.2.15,
109,Intermediate,50587,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,15089,F,,Homo sapiens,9606.0,,2.2.15,
110,Intermediate,50587,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,15089,F,,Homo sapiens,9606.0,,2.2.15,
111,Intermediate,50587,,,Cytotoxicity in 2.2.15 cells,1593,F,,Homo sapiens,9606.0,,2.2.15,
112,Intermediate,50587,,,Cytotoxicity in 2.2.15 cells; Not determined,1593,F,,Homo sapiens,9606.0,,2.2.15,
113,Intermediate,50587,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,13600,F,,Homo sapiens,9606.0,,2.2.15,
114,Intermediate,50587,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,13467,F,,Homo sapiens,9606.0,,2.2.15,
115,Intermediate,50587,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,13467,F,,Homo sapiens,9606.0,,2.2.15,
116,Intermediate,81020,,,Antiviral activity against HBV was determined in 2.215 cell line,14764,F,,Homo sapiens,9606.0,,HepG2,
117,Autocuration,22226,,,Inhibition of 20-HETE synthesis in human renal microsomes,6531,B,,Homo sapiens,9606.0,,,Microsomes
118,Autocuration,22226,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,17322,B,,,,,,
119,Intermediate,80612,,,Inhibitory concentration against 2008 (ovarian) cells,17072,F,,Homo sapiens,9606.0,,2008,
120,Intermediate,80612,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,16936,F,,Homo sapiens,9606.0,,2008,
121,Intermediate,80612,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),16936,F,,Homo sapiens,9606.0,,2008,
122,Intermediate,80612,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,17146,F,,Homo sapiens,9606.0,,2008,
123,Intermediate,80612,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,17146,F,,Homo sapiens,9606.0,,2008,
124,Intermediate,80613,,,In vitro inhibition of 2008/R ovarian cancer cell line,10797,F,,Homo sapiens,9606.0,,2008/R,
125,Intermediate,80613,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,10797,F,,Homo sapiens,9606.0,,2008/R,
126,Intermediate,80614,,,In vitro inhibition of 2008/S ovarian cancer cell line,10797,F,,Homo sapiens,9606.0,,2008/S,
127,Intermediate,80614,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,10797,F,,Homo sapiens,9606.0,,2008/S,
128,Expert,100256,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,4823,B,,Homo sapiens,9606.0,,,
129,Intermediate,100256,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,12912,B,,Homo sapiens,9606.0,,,
130,Expert,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome,2957,B,,,,,,
131,Expert,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,2957,B,,,,,,
132,Intermediate,100256,,,Inhibitory activity against 20S proteosome,3260,B,,,,,,
133,Autocuration,22226,,,Compound was tested for inhibitory activity against tryptase,3451,B,,Homo sapiens,9606.0,,,
134,Intermediate,81020,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,13885,F,,Homo sapiens,9606.0,,HepG2,
135,Intermediate,81020,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,13885,F,,Homo sapiens,9606.0,,HepG2,
136,Autocuration,22226,,,Compound was tested for the inhibition of Alpha-glucosidase,3676,B,,,,,,
137,Autocuration,235,,,Inhibitory concentration against human neutrophil elastase (HNE),6043,B,,,,,,
138,Autocuration,22226,Heart,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,11140,F,,Rattus norvegicus,10116.0,,,
139,Autocuration,19640,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,
140,Expert,19640,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,
141,Autocuration,19640,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,10543,B,,,,,,
142,Expert,19640,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,
143,Intermediate,80360,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,11365,F,,Mus musculus,10090.0,,P338,
144,Intermediate,80360,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,11365,F,,Mus musculus,10090.0,,P338,
145,Intermediate,80384,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,11803,F,,Homo sapiens,9606.0,,PBL,
146,Autocuration,22226,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,11803,F,,Ovis aries,9940.0,,,
147,Autocuration,22226,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,11803,F,,Ovis aries,9940.0,,,
148,Autocuration,191,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),12278,B,,,,,,
149,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,8249,F,,Homo sapiens,9606.0,,,
150,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,8249,F,,Homo sapiens,9606.0,,,
151,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,8249,F,,Homo sapiens,9606.0,,CCRF-CEM,
152,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,8249,F,,Homo sapiens,9606.0,,CCRF-CEM,
153,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,8249,F,,Homo sapiens,9606.0,,CCRF-CEM,
154,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,8249,F,,Homo sapiens,9606.0,,CCRF-CEM,
155,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,8249,F,,Homo sapiens,9606.0,,,
156,Autocuration,22226,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,8249,F,,Homo sapiens,9606.0,,,
157,Autocuration,104290,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,16992,B,,,,,,
158,Intermediate,50264,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,10543,F,,Streptococcus pyogenes,1314.0,,,
159,Intermediate,50527,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),17833,F,,Human herpesvirus 3,10335.0,,,
160,Expert,50527,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,17290,F,,vericilla zoster virus,10335.0,,HEL,
161,Intermediate,50527,,,Antiviral activity against 07/1 strain of VZV; ND: No data,17290,F,,vericilla zoster virus,10335.0,,,
162,Intermediate,50527,,,Antiviral activity against 07/1 strain of VZV; ND=No data,17290,F,,vericilla zoster virus,10335.0,,,
163,Intermediate,50145,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",10932,F,,escherichia cloac,561.0,,,
164,Autocuration,22226,,,Ratio of Ki at A2 to Ki at A1 receptors,9707,B,,,,,,
165,Expert,11143,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",2346,B,,Candida albicans,5476.0,,,
166,Expert,18077,,,"Inhibition of 1,3-beta-glucan synthase",2205,B,,Candida glabrata CBS 138,284593.0,,,
167,Intermediate,80609,,,Inhibition of growth of 1-87 human tumor cell line,11900,F,,Homo sapiens,9606.0,,1-87 tumor cell line,
168,Expert,12166,,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,14864,B,,Rattus norvegicus,10116.0,,,
169,Autocuration,100171,,,Inhibitory activity against soybean 1-lipoxygenase (SLO),16474,B,,Glycine max,3847.0,,,
170,Autocuration,100171,,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,16474,B,,Glycine max,3847.0,,,
171,Autocuration,100171,,,% inhibition against soybean 1-lipoxygenase (SLO),16474,B,,Glycine max,3847.0,,,
172,Autocuration,100171,,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,16474,B,,Glycine max,3847.0,,,
173,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,3094,B,,Glycine max,3847.0,,,
174,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,3094,B,,Glycine max,3847.0,,,
175,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,3094,B,,Glycine max,3847.0,,,
176,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,3094,B,,Glycine max,3847.0,,,
177,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,3094,B,,Glycine max,3847.0,,,
178,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,3094,B,,Glycine max,3847.0,,,
179,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,3094,B,,Glycine max,3847.0,,,
180,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,3094,B,,Glycine max,3847.0,,,
181,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,3094,B,,Glycine max,3847.0,,,
182,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,3094,B,,Glycine max,3847.0,,,
183,Autocuration,100171,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,3094,B,,Glycine max,3847.0,,,
184,Autocuration,22226,,,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,10413,B,,Mus musculus,10090.0,,,
185,Intermediate,80049,,,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),16929,F,,Mus musculus,10090.0,,C3H 10T1/2,
186,Intermediate,22226,,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,1229,F,,,,,,
187,Autocuration,11489,,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),16587,B,,,,,,
188,Autocuration,11862,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),16587,B,,,,,,
189,Autocuration,11862,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,16587,B,,,,,,
