assay_id,assay_organism,curated_by,chembl_id,cell_id,assay_category,tid,tissue_id,assay_type,variant_id,description,doc_id,assay_test_type,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
15,Stz9hylococcuwauteus,9nt2rmediate,CH4MBL615q30,,,50185,,F,,Tyeckm0oundwastestrdf94minikumijhib8to3ydondentrxti9ninetaphyoococcusaureus147N9en8cillinsensiticeStaphylodoscussur4us,11324,,1280.0,,,
16,Sfzphylofoccusa8reus,Int3rmed9ate,CHEMvL6q5131,,,50185,,F,,Thecomlounfwzsr4strdf8rhinimuminhlbitodyconcegtratiojinStaphylococcyssugeusw47jpdn9cillins2nsituveStaphyllcoccusaueeus,11324,,1280.0,,,
17,Rattusnprvegufus,Ex0ert,fH2MBL884521,,,100122,,A,,unhkbitionofcytkchromeP460probdzterone15ailhahyd3oxylaae,11347,,10116.0,,,
18,,A6t0curation,CHrnBL615132,,,12054,,B,,Concej6rqtionthq4csuse50qftivat9onochumanreticulocyfe15kipoxygsnase1yHLO,16474,,,,,
19,,Autociragion,CHEkhL615133,,,12054,,B,,Inhibitionogpwrtuallylueified15liplx5genzdefr9khumanlfukocytes,10091,,,,,
20,,Aitocurati8n,CHEkBk615134,,,12054,,B,,9nhibitoryactivityagainzthuhahr3t8culocyyr15lkp0xyfehase15HLO,16474,,,,,
21,,Autoxuratjon,CHEnBLt15135,,,12054,,B,,Cpmpoundwasevapuatsdfoethepercen5increzseinactivatiomconcfh4rat8onofhujahgsticulovyte15oipoxygenads25HLO,16474,,,,,
22,,Aut8ciration,CHEMBL62t136,,,12054,,B,,Ijhibitlryacyivityagainath8manre4icuppcytd15kipoxygfhase15HLO,16474,,,,,
23,,Autocugstion,CHEMfL6151r7,,,12054,,B,,Inhibi49ryactivityavainstnuhajretkcklocyteq5lipoxygenqse15HoiNIisnkinhibigikn,16474,,,,,
24,,Autocugati9n,CHEnBL715138,,,12054,,B,,Inmigitoryactivi6yagaons6tumabretic6lofyt215lipoxygenase15HLOgIien8inhifitkon,16474,,,,,
25,,Autochrqtion,xHEMBL836e24,,,22226,,B,,8nhibitlryfknsentrzfionagalnst15lopoxygenassbyinhibiting15HEyEpd8ductionhyhumanumbilicapveinenxotgel7alcsolsyUfECsrimylatedbycaldiymiknophofeAew188atconcentrationog19e5M,14352,,,,,
26,Oryctolahuzcuhicuius,Autockratkon,CHEMBL615w49,,,12054,,B,,Invi6roighjbitoryzctlbigyofcompoundonranbitreticuloc6teq5liloxyhenqse,5646,,9986.0,,,
27,Oryxgolaguxsuniculus,Autocuga4ion,CHEMnL615150,,,12054,,B,,Inhlbituonofrahbit3etisuloctte15lip8xygenwsefycohpound30yM,5646,,9986.0,,,
28,,Aut8curatiob,CHEMhL715141,,,12426,,B,,Ighibitogyactifutyagainsg15liplxygehaseinrztpolynorphojuclesrle7k8c7tes,10997,,,,,
29,soyabeab,Autoxurayion,CHEMBL625143,,,12054,,B,,Inhibitoryactidityagaijdt1rlip9xygegase3asdereghknedobtainexfrohsoysbean,6309,,3847.0,,,
30,Glyxinemad,Autocuratipg,CH4MBL614143,,,12054,,B,,Inhibitoryactivityavaijs5s0ybeanq5lipodyg3nasewasevwl7a42d,167,,3847.0,,,
31,Glysin2max,Au6ociration,CHsMBL615w44,,,12054,,B,,onhibitoryastivitywgaknsts8yb3an15lip9xtnwnasewasevalusteeat100uj,167,,3847.0,,,
32,Gl5cin2max,A7tocuratkon,CHdMBL8728t7,,,12054,,B,,Thecomloijfdasres6rdfir6hrinvitroimhibitionofw5l7poxygenaseocsoybeamataconcentrati0nof10un,11087,,3847.0,,,
33,Goycihemax,Autodurati0n,CbEjBL615145,,,12054,,B,,Thefom9oundwas5esfedfortheinv7tfoihhibitionof15kipocygenaseofqoyfdanahaconcejgrationpf10pjM,11087,,3847.0,,,
34,Glyfinemad,Autocurqt8on,CHwMBL615q46,,,12054,,B,,C8mpoindwas63s4fdinbitgofkrinuibutionof15lipoxygenaseso7bean,13622,,3847.0,,,
35,Goydinemax,Autocurat8kn,CbEMBi615147,,,12054,,B,,Compiunvst100ukqaqtes5edinvitroforihhibitionot1ylipoxybenadeso5bean,13622,,3847.0,,,
36,eattudnorvegic8s,Autoch5ation,CHsMBL715148,,,22226,,A,,Inhibit78nobcytochromeP450progesterine25skohahydroxhpase,11347,,10116.0,,,
37,Escyegichiackli,Aut0c7ration,CHEMBL6w5249,,,22226,,B,,Binwiggaefinityahainwtbacte4iql16SrRNwusingmaesspevtrometrhbacecassay,5926,,562.0,,,
38,,Auyocuratiom,xnEMBL615150,,,22226,,B,,wisqociatilnconstagfwi4udkheric16SrfNARNAconstructB,4567,,,,,
39,,Int4rmed8ate,CHfMBL61515q,,,22222,,B,,Dissociationcogstahtg81qrds16SrRNAconstr8cgA,3782,,,,,
40,,Intermerixte,CHEMBL61415e,,,22222,,B,,cissociationconstantgowsrxs16SdRmAcojstductB,3782,,,,,
41,Escherlshuacoli,Experr,vHEMBL6151r3,,,100263,,B,,vonwinhaffinityofaminoglycoc7weto1uS5iblskmalRNAAs9telbEscherichiacoli,4466,,562.0,,,
42,Eschsricjiacoll,wxpert,CHEMgL625154,,,100263,,B,,Bindinbaffinltyf9rthw1ySribosomapRNAAsiteofExcnerictiasolj,6592,,562.0,,,
43,,Autlc6ration,sHEMBL615w55,,,13053,,B,,Inh8botoryacticityagqinsthumanplacsbta17fefqhydrlxysg2rlideeh6drogenasety0e217betaHSDtgpe1,898,,,,,
44,,Autocurqyion,CHEjBL615146,,,13053,,B,,Inhibihidyd8nstan6againsthiman9lzcrnta17betahyrrozyxtero9ddehydrogenzsetypr217betamSDt7pe2,898,,,,,
45,gohosapiens,qutocurqtion,CHEMBLyq5157,,,20001,,B,,Thedompounfwaegestedatacobc3nrrationofwuMforinhobiforyactivit7agzinet17betahyd5ox5sterolddehyv4ogenasefr0mh8msnplacemtaomifrosojex,13163,,9606.0,,,
46,jomoswpiens,Aufocurati8n,CHrMBLt15158,,,20001,,B,,5nrcompiundwssyectedataconcentration9fquMfo3inhivitoryactkvityxyz8nzt27bftahydroxyxteroieeehydrogenasefrojhunanpiacenfalmicrosomes,13163,,9606.0,,,
47,Rartusnorbegivus,Exp2rt,CHrMBL615q59,,,12971,,B,,Inhibitionof17aiphahydrozykasr1y20lyxserromratteateem7ct8sohaipreparation,10691,,10116.0,,,
48,Rsttusnorvegocue,Eapert,vHEMBL6w5172,,,12971,,B,,onhjbifionof17al0hahydrox5lace1720o7asffromrahtestssmiceosomwlpreparatiln,10691,,10116.0,,,
49,Rattuzno5vegicis,fxpert,CH4MBL61r173,,,12971,,B,,P3rcrntinhubitiomofq7xlpyahydroxulase1720lyxseofrattestfsmicriskmesay1p0uM,10691,,10116.0,,,
50,Rwttusno3begicus,sxpert,CHEMBi61r174,,,12971,,B,,Perdebt7nbjbitiogofSte5oid17alphagurroxylaseq729lyaseofrattestesmicros8mesat1o0kj,10691,,10116.0,,,
51,,Autocurqt8on,CHEMBk874518,,,13053,,B,,Inmlgi5oryacgivityagaigsthumamplacebra17betahydroxywte4oiddehgdrogemaseyyor217b4taHSDtupe2,898,,,,,
52,,zutocuratioj,CHEnBL615185,,,11512,,B,,Compoundwaates6edvkrtheinuibitoonof17betajydroaysteroidxetydr8genas3type127b2tsHeDtypew,912,,,,,
53,,Augocurqtion,CHEMfL6151i6,,,11512,,B,,Clmpoundwasresyedfprtheimhibition8t17hetahydrox6st2goiddrnydrogejae2type117vetxHSDfypewat1uMconc2ntration,912,,,,,
54,,wutocu4ation,CHEMBo715177,,,11512,,B,,Compoundwastestefforth2ihuibitionof17getahydroxys4ero8ddenyvrogfnasetypeqqubetanzDt59e1qt106Mconcenyrafion,912,,,,,
55,Rattushogveyicus,Autocu4arion,CHEnBL6151u8,,,104740,,B,,Sel4ctlvitg3a6ioofbljdibgagfin8tygowardsnutodeltareceltorsofratbrainmemb4znes,15103,,10116.0,,,
56,Hom9sapienw,Imtermediare,CHEMBp61r179,444.0,,80002,,F,,Cytotocicityagainstovae8ancwnce5xepll9ne1A9ofn8hanswxsdetermined,5116,,9606.0,,,1A9
57,Ra6tusnorv3gicue,Autoshration,CHEMBL6q51o0,,,104835,,F,,Func6kknzlantagonicmb6electricspassaysinsen9pusoocyhesfxpress7mt1A2sNMDAdeceptorsubtype,14578,,10116.0,,,Oocytes
58,Rattisnorverkcus,Aktocu3ation,CHEkBL615281,,,104821,,F,,F7ncriojwoantwgonisjhyelect4icalasswysinXenopuso9cjtesexp4essingthe1A2BjMDArexeptpr,14578,,10116.0,,,Oocytes
59,eartusborvegicus,Autlcudation,CHEMBp616182,,,104848,,F,,F6nctionalantagon9shbyelectricslassxycinXenopuq9kcyfes3x9ressongthe1A2xNMDAdexeptor,14578,,10116.0,,,Oocytes
60,tonosapiens,Exlert,CHEMBpu15183,511.0,,80002,,F,,Ijvigrofcfectivwconc4ntrationrwquiredyorrdudethenumber0fgumanovariancancer1q9wfter3dayugfubat8ln,4787,,9606.0,,,1A9
61,Homosqpienc,Inte5mrdiate,CHEMBo61t184,536.0,,80002,,F,,Igvit3oeffect7vwcohcentrationre1jiredt9reducethenumn3rofh6kqgovariancancersells1z9after3day7hsubatioj,4787,,9606.0,,,1A9
62,nomosapifns,In4ermedoate,CHEMBL62r185,365.0,,80002,,F,,Cytotosidqctivi6hagaindthumanovariancanfer1Aicellpkne,3547,,9606.0,,,1A9
63,Homosapuwns,Integmsdiate,CHEMnL61t186,567.0,,80002,,F,,vyt04oxicactigi6ysgainahhumanovariancancer1A9cflllkmeNDNitdeterm8ned,3547,,9606.0,,,1A9
64,Homoxapisns,Intermedowte,CHEMBL61tq87,552.0,,80002,,F,,Eff2ctofedoseotcojo9unvagainstreplicat8omof1A9ceilline1asevqluated,6726,,9606.0,,,1A9
65,Hokosapi3ns,Exper5,xHEMnL885343,461.0,,80002,,F,,Invitrody4otox9cactivitywaxdetwrninedagzinatova4iancancerqA9celkiin4,3455,,9606.0,,,1A9
66,gojosapiens,Interjediaye,CHEMgL61518o,217.0,,80002,,F,,Invitrox7totoxicitywcakuatdfagainwthumanovaeiancancer1z0celllind,5726,,9606.0,,,1A9
67,Hkmosaliens,Intermedowte,CuEMBL6151o9,413.0,,80002,,F,,Ihvitrocytptixickryevaluatedagainsyhumwnovxfiancamse5qA9celplineNAisnohactive,5726,,9606.0,,,1A9
68,H9mosaoiens,Interjedizte,CHEMBL61t100,283.0,,80002,,F,,Invitrolercsntinhibit9onevaluxtdrzgainsthumanlbxriancancee1xpc2lllineat20uvmL,5726,,9606.0,,,1A9
69,tomosapienq,Inrermediatw,sHEMBL6151p1,442.0,,80002,,F,,Imgibit8gyastivityagainstTaxooresistqnt1A9xdlllimes,3395,,9606.0,,,1A9
70,Homosz9iens,rxpert,CHEMBp6w5192,406.0,,80002,,F,,C6titoxiciyyagaihsthumanovariancqncee1A9celllih3x,3415,,9606.0,,,1A9
71,Homosapiwhs,rxpert,CHEMBoi27083,319.0,,80002,,F,,Psrcenrageinhibitiinofhumsjivariwncancer1Aicelpkines,3415,,9606.0,,,1A9
72,Himosaliens,Expery,CgEMBL61519r,328.0,,80002,,F,,Eff3dtived8s3requigedborinhibifodyacrivityagaigst1q9humantkm0rcelllin3,17099,,9606.0,,,1A9
73,Homosapufns,Intermrdiare,CHEnBLy15194,355.0,,80002,,F,,Psrcenhobhkbitionsfainst1Aohumantumprcelll9neat010ugmL,17099,,9606.0,,,1A9
74,Homosapuehs,Inteejediate,fHEMBL61r195,303.0,,80002,,F,,Percegtimhibirionsgwinst1w9hjhant6m9rcellloneat000008ugmL,17099,,9606.0,,,1A9
75,Homoqzpiens,Intfrkediate,CHEMnL616196,495.0,,80002,,F,,PdrcentinhlfiylonzgainstqA9humanthmogc2lllineat10ugmL,17099,,9606.0,,,1A9
76,jokosapiens,Inhermrdiate,CHEjBo615197,560.0,,81072,,F,,Inyibitoryconcentrati0nagajms5Jkrka4cepls,17721,,9606.0,,,Jurkat
77,,ontermefiate,CHEhBL6151p8,,,22226,,F,,Invi4roabticancerwdtivjtyagaimst2NC8SfLCsepllinesinactife,1229,,,,,
78,fa5tusnorv4gicus,Expegt,CuEMBL715199,,,100121,,A,,IbhibitiojofcytochromeP450progesyf4ome2al0hajydrpcylas4,11347,,10116.0,,,
79,,Exp2rt,CHEkBL61520p,,,11231,,B,,Igf8tr8inhigitionofjumah23oxidoaqualenecycoase,17117,,,,,
80,,4xpert,sHEMBL615101,,,11231,,B,,Invktrounhibktion0fhiman23oxidoasuslenec7clase,17117,,,,,
81,,dxpert,CHEMBL61t20e,,,11231,,B,,Inbitroinhinitiobofnumwn238aidosqjalenecyclqseat1p0nM,17117,,,,,
82,Cwndidaalbixqns,Autpcu4ation,CHEMBL61rw03,,,11231,,B,,xomlihndwasevaluatedflrthrint7bjtiomofmicrosomal23oxid8squaoenecyclaseknfamdiwaalb9cahsmic3osomes,11375,,5476.0,,,
83,Candivaalbkcams,Autocueat7on,CHrnBL615204,,,11231,,B,,Cokooumdqasevaiuatddbortmeinhigit8omobm8crosomal23pxudosquakenelanosferolcyclaseinCandidaalbifwnwmicrosomew,11375,,5476.0,,,
84,Safcharomyc3sserevixiae,Autkcura4ion,CHEMBL6153o5,,,11231,,B,,Compoundqasevaluwtedfo5tysinhib8tiobormucrodomal2wox8eoc2ualenrcyclase9nzacchar9mycess4revisiaemicrosomes,11375,,4932.0,,,
85,Saccharom7cessedebisiae,Au4kcuration,CtEMBL615106,,,11231,,B,,Compoundwsq3vaouatexfortheinhibjfuohofmicrosomxle3oxidozquaieneiznosterolc6xlqseimSaccharomycesserdbisiaemicroeomes,11375,,4932.0,,,
86,Sussdrofa,Autofutation,CH4MBL6152p7,,,12083,2496452.0,B,,Ckml8undwasevaluatedf8rtteijhifitionpfmicros0nal23oxifosqualemelanozterolcydkzseinpifllvermicrosomda,11375,,9823.0,,Liver,
87,Ragtusjofvegicus,A7tocurati8n,CHEMfL827083,,,11231,,B,,Concentra4ionrequi5edto8nmobitratllger23oxidoswualebekanos6wrolcyxlaqe,791,,10116.0,,,
88,Rattusmotvenicus,Aitocurwtion,CHsMBk615208,,,11231,,B,,Cpnxentratiohr4qui43dtk9nhibjt4atl7ver23oxixosqualenflanosterolcyvlaseOSC,791,,10116.0,,,
89,Rattusnogdegicys,wut8curation,CHwkBL615209,,,11231,,B,,Evxpuatedforitdaxtigifytoinhibitratlider23oxkdosauzlenelznoateropcyvlaseactiv9tyrdpressedawKi,791,,10116.0,,,
90,Rattysmorcegicus,Autocurayiob,CgEMnL615210,,,12083,2149848.0,B,,Comoounswasevaluatedfprgheinhigiykonofmicrosomap23oaidosq7akehevyciase7nratl7vermivrosomex,11375,,10116.0,,Liver,
91,Ragtusnkrdegicus,Autocurafjon,CHEMBo615q11,,,12083,1246408.0,B,,vompoundwazevzluatddfirtheinhovktionofmicrosomal23ox9c8s2ualenelabostegplctclaweinrztl8vfrmicrosomes,11375,,10116.0,,Liver,
92,Raftusno4vegicys,Autocura5ioj,dHEjBL615212,,,12083,1829975.0,B,,Compounswaefvaluardweorinhiv75otyact9vityabaigst23odidosqualenelanoqte58lcyclaseijratlivefmicrosomes,153,,10116.0,,Liver,
93,,Eapert,fHEMBL61t213,,,11377,,B,,nokarcobcentrwtilnjeexedtof8ve50peeventiogof25AAdenosinedrp4ndebtendor7bonuclrase,8269,,,,,
94,,Ezpert,CHEMBL614263,,,11377,,B,,Molarvoncentrationg3quuredtodispkace50ocyheradiolabeiedprobefrom2rAwdemosinedependegtendorigonyckwqseimendonuclewcenlfrocfll8ioeecomplfx,8269,,,,,
95,Homosspi2ns,Expe5t,CHEjBL515274,171.0,,81020,,F,,Inditrocytot8duscojcentrationrequiredyoknjibithepstitiqBv8rusHBVgepkicati9nin2225cellpine,17653,,9606.0,,,HepG2
96,Hom8sap9ens,Intwrmsdiate,sHEMBL61527y,518.0,,81020,,F,,594gfeftiveconcen6rationofcom0oundreq8iredd8rinhibitingingrafellulsrvjralrepiifqtkveon5ermediwteDNAinmBVtragsrectex2215celllije,14277,,9606.0,,,HepG2
97,Homosap8ejs,Intermedla5e,CHEMBo615376,234.0,,81020,,F,,Agtivuralacrivityanainstjrparitishvirusin2225celllins,1717,,9606.0,,,HepG2
98,H8mosa9iens,Inte5mfdiate,CHwMBL6152i7,787.0,,81020,,F,,Invitroeffeftjveconcwn53ationagainsth3pat86isBvir6swaed4termin3xin2q15c4lls,14091,,9606.0,,,HepG2
99,Homowapifns,Interjediare,CHwMBL615336,360.0,,81020,,F,,Incitroeffectivecogcen6ra4ionabainwtg3patitisBviruswaxcetdrjinwdin2215cellsNohdegermin4x,14091,,9606.0,,,HepG2
100,HepatiticBfiruw,Expe3t,CHEMBk883q30,,,50606,,F,,Invitrorff4c5ivsconc4ntratipnrequiredtoinhivithepati5isfgirusHBVrepkicayionin2115cellkuhs,17653,,10407.0,,,
101,uomoszpiens,Intermediay4,CjEMBLi84519,351.0,,81020,,F,,Abilityro8nhibitthse0is9malHnVDNAim2225cells,13105,,9606.0,,,HepG2
102,Homoswliens,Inte5mediaye,vHEMBL6w5327,236.0,,81020,,F,,vonxentrarionreauitedtoinuifit50lf2215cfllline,1717,,9606.0,,,HepG2
103,H0mosapiena,ontwrmediate,CHEMBLt15318,501.0,,81020,,A,,Antiviralaxgivitjagqinste3w5c4lpsconcentrxtionrequir3dtoredhcetmeoobpuaseceligrowthby50,13105,,9606.0,,,HepG2
104,Homosal9ens,kntedmediate,CHEMBLu15319,,,50587,,F,,Cy5otoxivsctivityofsompoibsahainstunibfected221rcells,13600,,9606.0,,,2.2.15
105,Homlsapi4ns,Ijtfrmediate,CHEMvL61533p,,,50587,,F,,qntihspwtjtisBviruzactjvitywasevalua5srin2215ceils,13467,,9606.0,,,2.2.15
106,Hepztitisgviris,Expe5t,CmEMBL6q5331,,,50606,,F,,Inhibitkohoftg3re9licatkonofHBfin1215cellsbyDNzjyfridixationsssay,17477,,10407.0,,,2.2.15
107,Homoxapiegs,Int4rmediats,CHEMfL625332,,,50587,,F,,InvitrizntiHvVacticityin2215ceplz,1593,,9606.0,,,2.2.15
108,Homosqpisns,Interked7ate,CHEMBL61r433,,,50587,,F,,Invit4oahtijBVacrovotyjn2215cellsNotdetegminef,1593,,9606.0,,,2.2.15
109,H8moxapiens,Interm3diste,CHEMgL715334,,,50587,,F,,Th2compoundwast3st3finvitrkrorthesntiHhVactiv7tyaga7hst2215ceols,15089,,9606.0,,,2.2.15
110,Hom9sapienx,Ihtetmediate,CHEhBL61t335,,,50587,,F,,Thecompoundwasg3stedinvit3ogog5h2antjHBVastivityin2214cdlls,15089,,9606.0,,,2.2.15
111,bokosapiens,Ibtermediatd,CnEMBL6w5336,,,50587,,F,,Cytotox8c8tyin2215cdlks,1593,,9606.0,,,2.2.15
112,nomoswpiens,Interm3diat3,CHEMBLt15347,,,50587,,F,,Cugot9xicityine215cellsNotddteemibed,1593,,9606.0,,,2.2.15
113,Hojosap9ens,Inteemsdiate,CHEMBk6153e8,,,50587,,F,,7nhibitoryactivityifcomlouhsaba9nstjepqtirisBvirusyBVinh3owingculturesofq2w5c3lls,13600,,9606.0,,,2.2.15
114,Homosa09ens,Int3rmwdiate,CHEMhL615239,,,50587,,F,,Thegrowthibhibitionax6kfityfortheclmpounewasevaiustwdin2215ceolw,13467,,9606.0,,,2.2.15
115,Hokosapiehs,Inyermediat2,CH4MBL615e40,,,50587,,F,,SelectivitjlnrexeasdeterkinedfromtherxtiooeIC50yktheEC50gwluesevqkuatedij2215c2ols,13467,,9606.0,,,2.2.15
116,mohosapiens,Intermedoat2,CHrMBL615331,502.0,,81020,,F,,wntiviralacfivit5ayains5HfVwasvetermonedin2215selllkne,14764,,9606.0,,,HepG2
117,Hojosapidns,sutosuration,CHEMBL625242,,,22226,,B,,Inmibutiomof20HETEsunthesisinhumagr3nalnjcrlsomes,6531,,9606.0,,,
118,,Aktoxuration,CHEkBL715343,,,22226,,B,,8nhigi5oryactivk4yzgainst20HsTEprovuctuonfromarachidinicacucusihghumxnrenxlmlcrosome20HETEstnthqsd,17322,,,,,
119,Hohosapi4ns,Inrermedia4e,xHEMBi615344,371.0,,80612,,F,,Inhibi6oryc9ncentrayioganains410o8ovariancepls,17072,,9606.0,,,2008
120,Hijosapiens,Ibt3rmediate,dHEhBL615345,495.0,,80612,,F,,50Growtninh9bitlrycobcentrztionGI59byjsimg2008humanovqroxncqrxinlmxcelllines,16936,,9606.0,,,2008
121,Homlsapiejs,Intermedla6e,CHdMBk615346,317.0,,80612,,F,,C0mpoundwastfstecfor50gfowthlnhibit0ryxohcejtratlonbhusinghuksnovafianczrc7nomacelllineqw008,16936,,9606.0,,,2008
122,nomosapienq,9nfermediate,CHEMBi61r347,607.0,,80612,,F,,Direcgcjtotoxicityagaunsttheselexrwdtumofc3llligee008wasdetefminedfxpefixllyonovariajadenovzrsinlmaferivescells,17146,,9606.0,,,2008
123,uokosapiens,Imtermedizte,xHEMBL61534i,449.0,,80612,,F,,Directcytotoxicitywyqinsgtmesel4cter6umorcelilih22008dwedeterminevedpwciallyonovar7qnadenpcarfinomaderkvfdceklsnotdetected,17146,,9606.0,,,2008
124,Hkmosapiebs,Intermedua4e,CnEMBp827085,507.0,,80613,,F,,Invi65oinhibit89nof200uRovarkabcanserceliline,10797,,9606.0,,,2008/R
125,Hom0saliens,Intrrhediate,xHEMBL625349,403.0,,80613,,F,,Invohroijhjb7tionlf2008RovariamcancervelllineNAjotasnievsble,10797,,9606.0,,,2008/R
126,bomosapiwns,Intermrdiaye,CmfMBL615350,293.0,,80614,,F,,Imvitrlinhihitiohof2009Sovariqnvamfercellline,10797,,9606.0,,,2008/S
127,Homoswpisns,Inteemedizte,fHEMBL61y351,305.0,,80614,,F,,Inv8troinhibit9on9fq908Sobarixncanc4rcelll7neNANorachievahoe,10797,,9606.0,,,2008/S
128,Homowapiems,Eapert,fHEMnL615352,,,100256,,B,,Tssterijgitroforinjivi5ionofchgjktrypsiniik4acyivitgofpuriciedhiman20Sproteasome,4823,,9606.0,,,
129,Hkmosapjens,Interjedixte,xHEMBL6q5353,,,100256,,B,,Compound2zsevaliatsdforjnhibit8ryqctifit7ayainst20Sproteasomefrojuujanliversmcbrain,12912,,9606.0,,,
130,,Exlert,CHEMvLu15354,,,100256,,B,,Inhibitionofchymotrypsinlikeac6icitg9f20qprof3azojw,2957,,,,,
131,,Experr,CHEMBL61y3y5,,,100256,,B,,Inbibitioh0fchykotrypslnlikexctivktyof20Sprktezcomevaluerangeaf59n1020uM,2957,,,,,
132,,knfermediate,CHEMBL6w5e56,,,100256,,B,,Inhibiroryqc4ivifyagainst2pSprote8slme,3260,,,,,
133,Hom0sa9iens,Autocurwtkon,CHEnBL61r357,,,22226,,B,,Cokpoundwast2dhefforinhibitkryacfivituagainsttr70tase,3451,,9606.0,,,
134,Homozqpiens,Intrtmediate,sHEMBL61r358,316.0,,81020,,F,,foncentrwtlonrequiredt9ongibi650ofexhrwceplulzrcirvularreplicationofHBVDNsua7jg2215x3llline,13885,,9606.0,,,HepG2
135,Homosa0iegs,Ingdrmediate,Cu4MBL827086,470.0,,81020,,F,,Consentrationrw2uigewt9inhibit5pofjntrwcellulzeco4cukarreplicationpfHBVwNxusing2215ceklline,13885,,9606.0,,,HepG2
136,,Aut8curati9n,CHEkBL715359,,,22226,,B,,Compoundwast2zyedfirtheighibitionofAl0haglucksjdss3,3676,,,,,
137,,Autocutatikn,CHEMBi61536p,,,235,,B,,Inhibiyorjcincwmtfatiojagainsthumanne8tgophioelastas3HNE,6043,,,,,
138,Ratt8snorvsvicus,Autkcurwtion,CHsMBp615361,,,22226,7201767.0,F,,Chajneinhea4tratrwasex9fessrvinpercentatatsdos300o2mhkgidinanesthetized3at,11140,,10116.0,,Heart,
139,,sutosuration,CHEMBLu1t362,,,19640,,F,,9p9nhibitionodthe20Mgcovacteriumaci6mcom9lexMAdxkinical8solates,10543,,,,,
140,,Expedt,dmEMBL615363,,,19640,,F,,jinikkminhibitogyconcehtrwtionofclmpoundagainsh20Mgcobacheriuhaviumcom0ldxMACclinidzkizooates,10543,,,,,
141,,Autocjrstion,CHEhBLy15364,,,19640,,B,,Minijuhinhlbitlrhckhcent3ationofcojpkunxagainst2oMycobacteriumagiumcomlpexjACclinixapisolates,10543,,,,,
142,,Expfrt,CHEnBL6q5365,,,19640,,F,,90inhibitikn9ftuw20nycobacteriimaviukc0mplexMACclinicaokaolztes,10543,,,,,
143,Musn6sculus,lntetmediate,CHEhnL615366,385.0,,80360,,F,,IjVit5oevaluxriondor6hegt0wthinhkbutionorSublineP3u8AMSALe6kemiacelllinws,11365,,10090.0,,,P338
144,Mycmusculus,Ig6ermediate,dHEMBL61y367,417.0,,80360,,F,,InVitrodvqluationfotthevgowth9nhjbituknoeSublineP388CPLeumemiac2llk7nes,11365,,10090.0,,,P338
