assays_ASSI,assays_ASSTI,assays_RELATITY,assays_ASTI,assays_TISI,assays_VAI,assays_ASSUBCEFRAC,assays_T,assays_CONFISCO,assays_CURB,assays_SRI,assays_SRASSI,assays_CHI,assays_CI,assays_BAFOR
69,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615191,506.0,BAO_0000219
70,,N,9606.0,,,,80002,1,Expert,1,,CHEMBL615192,506.0,BAO_0000219
71,,N,9606.0,,,,80002,1,Expert,1,,CHEMBL827083,506.0,BAO_0000219
72,,N,9606.0,,,,80002,1,Expert,1,,CHEMBL615193,506.0,BAO_0000219
73,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615194,506.0,BAO_0000219
74,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615195,506.0,BAO_0000219
75,,N,9606.0,,,,80002,1,Intermediate,1,,CHEMBL615196,506.0,BAO_0000219
76,,N,9606.0,,,,81072,1,Intermediate,1,,CHEMBL615197,503.0,BAO_0000219
77,,U,,,,,22226,0,Intermediate,1,,CHEMBL615198,,BAO_0000019
78,,D,10116.0,,,,100121,9,Expert,1,,CHEMBL615199,,BAO_0000357
79,,H,,,,,11231,8,Expert,1,,CHEMBL615200,,BAO_0000357
80,,H,,,,,11231,8,Expert,1,,CHEMBL615201,,BAO_0000357
81,,H,,,,,11231,8,Expert,1,,CHEMBL615202,,BAO_0000357
82,,H,5476.0,,,Microsomes,11231,8,Autocuration,1,,CHEMBL615203,,BAO_0000251
83,,H,5476.0,,,Microsomes,11231,8,Autocuration,1,,CHEMBL615204,,BAO_0000251
84,,H,4932.0,,,Microsomes,11231,8,Autocuration,1,,CHEMBL615205,,BAO_0000251
85,,H,4932.0,,,Microsomes,11231,8,Autocuration,1,,CHEMBL615206,,BAO_0000251
86,Liver,H,9823.0,2107.0,,Microsomes,12083,8,Autocuration,1,,CHEMBL615207,,BAO_0000251
87,,H,10116.0,,,,11231,8,Autocuration,1,,CHEMBL827084,,BAO_0000019
88,,H,10116.0,,,,11231,8,Autocuration,1,,CHEMBL615208,,BAO_0000019
89,,H,10116.0,,,,11231,8,Autocuration,1,,CHEMBL615209,,BAO_0000019
90,Liver,D,10116.0,2107.0,,Microsomes,12083,9,Autocuration,1,,CHEMBL615210,,BAO_0000251
91,Liver,D,10116.0,2107.0,,Microsomes,12083,9,Autocuration,1,,CHEMBL615211,,BAO_0000251
92,Liver,D,10116.0,2107.0,,Microsomes,12083,9,Autocuration,1,,CHEMBL615212,,BAO_0000251
93,,H,,,,,11377,8,Expert,1,,CHEMBL615213,,BAO_0000357
94,,H,,,,,11377,8,Expert,1,,CHEMBL615273,,BAO_0000357
95,,N,9606.0,,,,81020,1,Expert,1,,CHEMBL615274,726.0,BAO_0000219
96,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615275,726.0,BAO_0000219
97,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615276,726.0,BAO_0000219
98,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615277,726.0,BAO_0000219
99,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615326,726.0,BAO_0000219
100,,N,10407.0,,,,50606,1,Expert,1,,CHEMBL883130,,BAO_0000218
101,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL884519,726.0,BAO_0000219
102,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615327,726.0,BAO_0000219
103,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615328,726.0,BAO_0000219
104,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615329,,BAO_0000218
105,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615330,,BAO_0000218
106,,N,10407.0,,,,50606,1,Expert,1,,CHEMBL615331,,BAO_0000218
107,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615332,,BAO_0000218
108,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615333,,BAO_0000218
109,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615334,,BAO_0000218
110,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615335,,BAO_0000218
111,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615336,,BAO_0000218
112,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615337,,BAO_0000218
113,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615338,,BAO_0000218
114,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615339,,BAO_0000218
115,,N,9606.0,,,,50587,1,Intermediate,1,,CHEMBL615340,,BAO_0000218
116,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615341,726.0,BAO_0000219
117,,U,9606.0,,,Microsomes,22226,0,Autocuration,1,,CHEMBL615342,,BAO_0000251
118,,U,,,,,22226,0,Autocuration,1,,CHEMBL615343,,BAO_0000019
119,,N,9606.0,,,,80612,1,Intermediate,1,,CHEMBL615344,388.0,BAO_0000219
120,,N,9606.0,,,,80612,1,Intermediate,1,,CHEMBL615345,388.0,BAO_0000219
121,,N,9606.0,,,,80612,1,Intermediate,1,,CHEMBL615346,388.0,BAO_0000219
122,,N,9606.0,,,,80612,1,Intermediate,1,,CHEMBL615347,388.0,BAO_0000219
123,,N,9606.0,,,,80612,1,Intermediate,1,,CHEMBL615348,388.0,BAO_0000219
124,,N,9606.0,,,,80613,1,Intermediate,1,,CHEMBL827085,561.0,BAO_0000219
125,,N,9606.0,,,,80613,1,Intermediate,1,,CHEMBL615349,561.0,BAO_0000219
126,,N,9606.0,,,,80614,1,Intermediate,1,,CHEMBL615350,389.0,BAO_0000219
127,,N,9606.0,,,,80614,1,Intermediate,1,,CHEMBL615351,389.0,BAO_0000219
128,,S,9606.0,,,,100256,2,Expert,1,,CHEMBL615352,,BAO_0000220
129,,S,9606.0,,,,100256,2,Intermediate,1,,CHEMBL615353,,BAO_0000220
130,,S,,,,,100256,2,Expert,1,,CHEMBL615354,,BAO_0000220
131,,S,,,,,100256,2,Expert,1,,CHEMBL615355,,BAO_0000220
132,,S,,,,,100256,2,Intermediate,1,,CHEMBL615356,,BAO_0000220
133,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615357,,BAO_0000019
134,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL615358,726.0,BAO_0000219
135,,N,9606.0,,,,81020,1,Intermediate,1,,CHEMBL827086,726.0,BAO_0000219
136,,U,,,,,22226,0,Autocuration,1,,CHEMBL615359,,BAO_0000019
137,,H,,,,,235,8,Autocuration,1,,CHEMBL615360,,BAO_0000357
138,Heart,U,10116.0,948.0,,,22226,0,Autocuration,1,,CHEMBL615361,,BAO_0000218
139,,H,,,,,19640,8,Autocuration,1,,CHEMBL615362,,BAO_0000019
140,,H,,,,,19640,8,Expert,1,,CHEMBL615363,,BAO_0000019
141,,H,,,,,19640,8,Autocuration,1,,CHEMBL615364,,BAO_0000357
142,,H,,,,,19640,8,Expert,1,,CHEMBL615365,,BAO_0000019
143,,N,10090.0,,,,80360,1,Intermediate,1,,CHEMBL615366,524.0,BAO_0000219
144,,N,10090.0,,,,80360,1,Intermediate,1,,CHEMBL615367,524.0,BAO_0000219
145,,N,9606.0,,,,80384,1,Intermediate,1,,CHEMBL615368,554.0,BAO_0000219
146,,U,9940.0,,,,22226,0,Autocuration,1,,CHEMBL615369,,BAO_0000019
147,,U,9940.0,,,,22226,0,Autocuration,1,,CHEMBL615370,,BAO_0000019
148,,H,,,,,191,8,Autocuration,1,,CHEMBL615673,,BAO_0000357
149,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615674,,BAO_0000019
150,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615675,,BAO_0000019
151,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615676,635.0,BAO_0000219
152,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615677,635.0,BAO_0000219
153,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615678,635.0,BAO_0000219
154,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615679,635.0,BAO_0000219
155,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615680,,BAO_0000019
156,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615681,,BAO_0000019
157,,H,,,,,104290,6,Autocuration,1,,CHEMBL857972,,BAO_0000249
158,,N,1314.0,,,,50264,1,Intermediate,1,,CHEMBL857899,,BAO_0000218
159,,N,10335.0,,,,50527,1,Intermediate,1,,CHEMBL615371,,BAO_0000218
160,,N,10335.0,,,,50527,1,Expert,1,,CHEMBL615372,468.0,BAO_0000218
161,,N,10335.0,,,,50527,1,Intermediate,1,,CHEMBL615373,,BAO_0000218
162,,N,10335.0,,,,50527,1,Intermediate,1,,CHEMBL615374,,BAO_0000218
163,,N,561.0,,,,50145,1,Intermediate,1,,CHEMBL615375,,BAO_0000218
164,,U,,,,,22226,0,Autocuration,1,,CHEMBL615376,,BAO_0000019
165,,H,5476.0,,,,11143,8,Expert,1,,CHEMBL615377,,BAO_0000249
166,,H,284593.0,,,,18077,8,Expert,1,,CHEMBL615378,,BAO_0000357
167,,N,9606.0,,,,80609,1,Intermediate,1,,CHEMBL615379,832.0,BAO_0000219
168,,D,10116.0,,,,12166,9,Expert,1,,CHEMBL615380,,BAO_0000219
169,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615381,,BAO_0000357
170,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615382,,BAO_0000357
171,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615383,,BAO_0000357
172,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615384,,BAO_0000357
173,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615385,,BAO_0000357
174,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615386,,BAO_0000357
175,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615387,,BAO_0000357
176,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615388,,BAO_0000357
177,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615214,,BAO_0000357
178,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL827087,,BAO_0000357
179,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615215,,BAO_0000357
180,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615216,,BAO_0000357
181,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615217,,BAO_0000357
182,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615218,,BAO_0000357
183,,D,3847.0,,,,100171,9,Autocuration,1,,CHEMBL615219,,BAO_0000357
184,,U,10090.0,,,,22226,0,Autocuration,1,,CHEMBL615220,,BAO_0000019
185,,N,10090.0,,,,80049,1,Intermediate,1,,CHEMBL615221,294.0,BAO_0000219
186,,U,,,,,22226,0,Intermediate,1,,CHEMBL615222,,BAO_0000019
187,,H,,,,,11489,8,Autocuration,1,,CHEMBL615223,,BAO_0000357
188,,H,,,,,11862,8,Autocuration,1,,CHEMBL615224,,BAO_0000357
189,,H,,,,,11862,8,Autocuration,1,,CHEMBL615225,,BAO_0000357
190,,H,,,,,11489,8,Autocuration,1,,CHEMBL615226,,BAO_0000357
191,,H,,,,,11862,8,Autocuration,1,,CHEMBL615227,,BAO_0000357
192,,D,9913.0,,,,12347,9,Expert,1,,CHEMBL615228,,BAO_0000019
193,,D,10116.0,,,,100120,9,Expert,1,,CHEMBL615229,,BAO_0000357
194,Adrenal gland,D,10116.0,2369.0,,,100120,9,Expert,1,,CHEMBL615230,,BAO_0000357
195,,D,10116.0,,,,100120,9,Expert,1,,CHEMBL615231,,BAO_0000357
196,,D,10116.0,,,,100120,9,Expert,1,,CHEMBL884520,,BAO_0000357
197,,D,10116.0,,,,100120,9,Expert,1,,CHEMBL615232,,BAO_0000357
198,,H,,,,,10328,8,Autocuration,1,,CHEMBL615233,,BAO_0000019
199,,H,,,,,11490,8,Autocuration,1,,CHEMBL827088,,BAO_0000357
200,,H,,,,,11490,8,Autocuration,1,,CHEMBL615234,,BAO_0000357
201,,H,,,,,11134,8,Autocuration,1,,CHEMBL615235,,BAO_0000019
202,,H,,,,,12052,8,Autocuration,1,,CHEMBL615236,,BAO_0000019
203,,H,,,,,11134,8,Autocuration,1,,CHEMBL615237,,BAO_0000019
204,,H,,,,,11134,8,Autocuration,1,,CHEMBL615238,,BAO_0000019
205,,H,,,,,11134,8,Autocuration,1,,CHEMBL615239,,BAO_0000019
206,,D,9606.0,,,,11134,9,Autocuration,1,,CHEMBL615240,,BAO_0000019
207,,H,,,,,11835,8,Expert,1,,CHEMBL615241,,BAO_0000019
208,,H,,,,,11601,8,Expert,1,,CHEMBL615242,,BAO_0000357
209,,H,,,,,11134,8,Autocuration,1,,CHEMBL615243,,BAO_0000019
210,,H,,,,,11134,8,Autocuration,1,,CHEMBL615244,,BAO_0000019
211,,H,,,,,11134,8,Autocuration,1,,CHEMBL615245,,BAO_0000019
212,,H,,,,,11134,8,Autocuration,1,,CHEMBL615246,,BAO_0000019
213,,H,,,,,11134,8,Autocuration,1,,CHEMBL615247,,BAO_0000019
214,,H,,,,,11134,8,Autocuration,1,,CHEMBL615248,,BAO_0000019
215,,H,,,,,11601,8,Autocuration,1,,CHEMBL615249,,BAO_0000357
216,,H,,,,,11601,8,Autocuration,1,,CHEMBL615250,,BAO_0000357
217,,H,,,,,12052,8,Autocuration,1,,CHEMBL615251,,BAO_0000019
218,,H,,,,,12052,8,Autocuration,1,,CHEMBL615252,,BAO_0000019
219,,H,,,,,12052,8,Expert,1,,CHEMBL828340,,BAO_0000019
220,,H,,,,,12052,8,Autocuration,1,,CHEMBL615253,,BAO_0000019
221,,H,,,,,12052,8,Autocuration,1,,CHEMBL615254,,BAO_0000019
222,,H,,,,,12052,8,Autocuration,1,,CHEMBL615255,,BAO_0000019
223,,H,,,,,12052,8,Autocuration,1,,CHEMBL615256,,BAO_0000019
224,,H,,,,,12052,8,Autocuration,1,,CHEMBL615257,,BAO_0000019
225,,H,,,,,12052,8,Autocuration,1,,CHEMBL615258,,BAO_0000019
226,,N,9606.0,,,,80007,1,Intermediate,1,,CHEMBL615259,621.0,BAO_0000219
227,,N,9606.0,,,,80007,1,Expert,1,,CHEMBL615260,621.0,BAO_0000219
228,,N,9606.0,,,,80007,1,Intermediate,1,,CHEMBL615261,621.0,BAO_0000219
229,,N,9606.0,,,,80007,1,Intermediate,1,,CHEMBL615262,621.0,BAO_0000219
230,,N,9606.0,,,,80007,1,Expert,1,,CHEMBL615263,621.0,BAO_0000219
231,,N,9606.0,,,,80007,1,Expert,1,,CHEMBL838393,621.0,BAO_0000219
232,,N,9606.0,,,,80007,1,Intermediate,1,,CHEMBL615264,621.0,BAO_0000219
233,,D,9606.0,,,,84,9,Expert,1,,CHEMBL615265,,BAO_0000357
234,,D,9606.0,,,,68,9,Expert,1,,CHEMBL615266,,BAO_0000357
235,,H,,,,,68,8,Expert,1,,CHEMBL615267,,BAO_0000357
236,,H,,,,,10201,8,Expert,1,,CHEMBL615268,,BAO_0000357
237,,H,,,,,10201,8,Expert,1,,CHEMBL615269,,BAO_0000357
238,,H,,,,,10201,8,Expert,1,,CHEMBL615270,,BAO_0000357
239,,H,,,,,12220,8,Autocuration,1,,CHEMBL615271,,BAO_0000357
240,,H,562.0,,,,11303,8,Autocuration,1,,CHEMBL615272,,BAO_0000357
241,,H,562.0,,,,11303,8,Autocuration,1,,CHEMBL615103,,BAO_0000357
242,,H,562.0,,,,11303,8,Autocuration,1,,CHEMBL615104,,BAO_0000357
243,,H,,,,,12220,8,Autocuration,1,,CHEMBL615105,,BAO_0000357
244,,H,,,,,12220,8,Autocuration,1,,CHEMBL872866,,BAO_0000357
245,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615106,,BAO_0000357
246,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615107,,BAO_0000019
247,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615108,,BAO_0000357
248,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615109,,BAO_0000357
249,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615110,,BAO_0000357
250,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL840105,,BAO_0000019
251,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615111,,BAO_0000019
252,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615112,,BAO_0000019
253,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615113,,BAO_0000019
254,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615114,,BAO_0000019
255,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615115,,BAO_0000357
256,,H,9823.0,,,,11303,8,Autocuration,1,,CHEMBL615116,,BAO_0000019
257,,H,,,,,11303,8,Autocuration,1,,CHEMBL615698,,BAO_0000357
258,,U,9823.0,,,,22226,0,Autocuration,1,,CHEMBL615699,,BAO_0000019
259,,U,9823.0,,,,22226,0,Autocuration,1,,CHEMBL615700,,BAO_0000019
260,,H,4932.0,,,,100249,8,Expert,1,,CHEMBL615701,,BAO_0000357
261,,U,10116.0,,,,22226,0,Autocuration,1,,CHEMBL615702,,BAO_0000019
262,,U,10116.0,,,,22226,0,Autocuration,1,,CHEMBL615703,,BAO_0000019
263,,U,10116.0,,,,22226,0,Autocuration,1,,CHEMBL615704,,BAO_0000019
264,,H,,,,,104698,6,Autocuration,1,,CHEMBL615705,,BAO_0000019
265,,H,,,,,104698,6,Autocuration,1,,CHEMBL615706,,BAO_0000019
266,Ileum,D,10141.0,2116.0,,,20033,9,Intermediate,1,,CHEMBL615707,,BAO_0000221
267,,H,,,,,10623,8,Expert,1,,CHEMBL615708,,BAO_0000019
268,,H,,,,,121,8,Autocuration,1,,CHEMBL615709,,BAO_0000357
269,,U,10116.0,,,,22226,0,Autocuration,1,,CHEMBL615710,,BAO_0000218
270,,H,,,,,12688,8,Autocuration,1,,CHEMBL615711,,BAO_0000019
271,,D,9606.0,,,,121,9,Expert,1,,CHEMBL615712,,BAO_0000357
272,,D,9606.0,,,,121,9,Expert,1,,CHEMBL836325,,BAO_0000357
273,,H,,,,,12198,8,Autocuration,1,,CHEMBL615713,,BAO_0000019
274,,H,,,,,12198,8,Autocuration,1,,CHEMBL615714,,BAO_0000357
275,,H,,,,,12198,8,Autocuration,1,,CHEMBL615715,,BAO_0000019
276,,H,,,,,12198,8,Autocuration,1,,CHEMBL615716,,BAO_0000019
277,,H,,,,,104714,4,Autocuration,1,,CHEMBL615717,,BAO_0000019
278,,H,,,,,10577,8,Expert,1,,CHEMBL881818,,BAO_0000019
279,,H,9913.0,,,,105,8,Expert,1,,CHEMBL884540,,BAO_0000357
280,,D,10116.0,,,,104744,5,Autocuration,1,,CHEMBL615718,,BAO_0000224
281,,H,,,,,104744,4,Autocuration,1,,CHEMBL615719,,BAO_0000224
282,,H,,,,Membranes,104744,4,Autocuration,1,,CHEMBL615720,,BAO_0000249
283,,H,,,,Membranes,104744,4,Autocuration,1,,CHEMBL615721,,BAO_0000249
284,,H,,,,,104744,4,Autocuration,1,,CHEMBL615722,,BAO_0000019
285,,H,,,,,51,8,Autocuration,1,,CHEMBL615723,,BAO_0000019
286,Hippocampus,H,,10000000.0,,,51,8,Autocuration,1,,CHEMBL615724,,BAO_0000221
287,Hippocampus,H,,10000000.0,,,51,8,Autocuration,1,,CHEMBL615725,,BAO_0000221
288,Hippocampus,H,,10000000.0,,,51,8,Autocuration,1,,CHEMBL615726,,BAO_0000221
289,,H,,,,,10576,8,Autocuration,1,,CHEMBL615727,,BAO_0000218
290,,D,10141.0,,,,105570,9,Intermediate,1,,CHEMBL615728,,BAO_0000019
291,,H,,,,,279,8,Autocuration,1,,CHEMBL857971,449.0,BAO_0000219
292,,H,,,,,107,8,Autocuration,1,,CHEMBL615729,,BAO_0000357
293,,D,10116.0,,,,12687,9,Expert,1,,CHEMBL615730,,BAO_0000019
294,,H,,,,,12687,8,Expert,1,,CHEMBL615731,,BAO_0000019
295,,H,,,,,12687,8,Expert,1,,CHEMBL615732,,BAO_0000019
296,,H,,,,,12687,8,Expert,1,,CHEMBL615733,,BAO_0000019
297,,H,,,,,12687,8,Expert,1,,CHEMBL615734,,BAO_0000019
298,,H,,,,,12687,8,Autocuration,1,,CHEMBL615735,,BAO_0000019
299,,H,,,,,12687,8,Expert,1,,CHEMBL615736,,BAO_0000019
300,Ileum,D,10141.0,2116.0,,,20033,9,Intermediate,1,,CHEMBL615737,,BAO_0000221
301,Ileum,D,10141.0,2116.0,,,20033,9,Intermediate,1,,CHEMBL615738,,BAO_0000221
302,Ileum,D,10141.0,2116.0,,,20033,9,Intermediate,1,,CHEMBL615739,,BAO_0000221
303,,H,,,,,10623,8,Autocuration,1,,CHEMBL615278,,BAO_0000357
304,,D,10116.0,,,,10623,9,Expert,1,,CHEMBL615279,,BAO_0000019
305,,H,,,,,168,8,Expert,1,,CHEMBL615280,,BAO_0000357
306,,U,9031.0,,,,22226,0,Autocuration,1,,CHEMBL615281,,BAO_0000019
307,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615282,,BAO_0000019
308,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615283,,BAO_0000019
309,,N,9606.0,,,,80156,1,Autocuration,1,,CHEMBL615284,649.0,BAO_0000219
310,,U,9606.0,,,,22226,0,Autocuration,1,,CHEMBL615285,,BAO_0000019
