assay_id,tid,assay_tax_id,variant_id,confidence_score,relationship_type,chembl_id,src_id,doc_id,assay_organism,assay_type,description,assay_test_type,assay_category,assay_strain,assay_tissue,assay_cell_type
14,50185,19550.0,,1,N,vHEMBL616129,1,11324,wtaphyoosoccusaireus,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,
15,50185,16193.0,,1,N,CHEhBL61t130,1,11324,Sta0hylocoxc6saur3us,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,
16,50185,15217.0,,1,N,fHEMhL615131,1,11324,S5a0uylococcussureus,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,
17,100122,41255.0,,9,D,CHEMhL8i4521,1,11347,Raftusjorvegicks,A,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,,
18,12054,,,8,H,CtEMBL615232,1,16474,,B,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
19,12054,,,8,H,CHEMBL6q5q33,1,10091,,B,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,
20,12054,,,8,H,CHEMgL616134,1,16474,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
21,12054,,,8,H,CHwMBL61y135,1,16474,,B,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
22,12054,,,8,H,sHsMBL615136,1,16474,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
23,12054,,,8,H,CHfMBL6q5137,1,16474,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
24,12054,,,8,H,CHwMBL615238,1,16474,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
25,22226,,,0,U,CbEMBp836324,1,14352,,B,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,
26,12054,34388.0,,8,H,CH2MvL615139,1,5646,8ryct8lagudcunicklus,B,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,,
27,12054,87169.0,,8,H,CHEkBL614140,1,5646,8ryctklaguxcunjculus,B,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,,,
28,12426,,,8,H,CnsMBL615141,1,10997,,B,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,
29,12054,18032.0,,8,H,CHEMBLyw5142,1,6309,s9yabean,B,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,,
30,12054,6265.0,,8,H,CHEMBLu15142,1,167,Glycinsmas,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,,,
31,12054,16178.0,,8,H,CHEMBLt15145,1,167,Gkycinenax,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,,,
32,12054,38092.0,,8,H,CHEMBk873867,1,11087,hlycinemxx,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,,,
33,12054,23454.0,,8,H,CHfMBk615145,1,11087,Gpyfinemax,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,,,
34,12054,8837.0,,8,H,sHEMBi615146,1,13622,Glycinekaz,B,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,
35,12054,31584.0,,8,H,CHEMhL615137,1,13622,Glycin2msx,B,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,
36,22226,23109.0,,0,U,fbEMBL615148,1,11347,Rahtusnoevegixus,A,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,,,
37,22226,2160.0,,0,U,fHEMnL615149,1,5926,Esfherochiasoli,B,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,,,
38,22226,,,0,U,CbEMhL615150,1,4567,,B,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,
39,22222,,,3,M,CHEMBL615252,1,3782,,B,Dissociation constant towards 16S rRNA construct A,,,,,
40,22222,,,3,M,dHEMBL615162,1,3782,,B,Dissociation constant towards 16S rRNA construct B,,,,,
41,100263,24364.0,,3,M,dHEMBL615q53,1,4466,Eevherichiackli,B,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,,
42,100263,82098.0,,3,M,CHEMvL615w54,1,6592,dscn2richiacoli,B,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,,,
43,13053,,,8,H,CHEMhL615q55,1,898,,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
44,13053,,,8,H,xHfMBL615156,1,898,,B,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
45,20001,79479.0,,8,H,CHrMBL715157,1,13163,Homosapuene,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,
46,20001,43217.0,,8,H,dHEMBL61515i,1,13163,Homisapiems,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,
47,12971,583.0,,9,D,CgEMBp615159,1,10691,Rattusnofvehichs,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,
48,12971,97742.0,,9,D,dHEMgL615172,1,10691,Rattusnoeveyicuw,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,
49,12971,10474.0,,9,D,xHEMnL615173,1,10691,Rxttusnorvegiv6s,B,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,
50,12971,17003.0,,9,D,fHEMBp615174,1,10691,Rattusno3vwgicux,B,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,
51,13053,,,8,H,fHEMBL884r18,1,898,,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
52,11512,,,8,H,CHEMBL6w5q75,1,912,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,
53,11512,,,8,H,CHEMnL6q5176,1,912,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,
54,11512,,,8,H,CgEMBL61t177,1,912,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,
55,104740,6072.0,,5,D,CHEMBL614w78,1,15103,Rxttusnotvegicys,B,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,,
56,80002,26744.0,,1,N,vHEjBL615179,1,5116,Homoqapiend,F,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,,,1A9
57,104835,27858.0,,7,D,CHEnnL615180,1,14578,Ratyushorvegicuq,F,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,,,Oocytes
58,104821,43042.0,,7,D,CHEMBL616q81,1,14578,3aftysnorvegicus,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,,,Oocytes
59,104848,27540.0,,7,D,CHEMBL615w8q,1,14578,3aytusnorvegicuz,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,,,Oocytes
60,80002,22887.0,,1,N,CHEkfL615183,1,4787,Homoaapkens,F,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,,,1A9
61,80002,883.0,,1,N,CHEkBL615194,1,4787,Homosqpiems,F,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,,,1A9
62,80002,30577.0,,1,N,vHEMBL515185,1,3547,Hkmosapienc,F,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,,,1A9
63,80002,58986.0,,1,N,CHsMBL61y186,1,3547,H8nosapiens,F,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,,,1A9
64,80002,3432.0,,1,N,CuEMBL614187,1,6726,Hojosapiems,F,Effective dose of compound against replication of 1A9 cell line was evaluated,,,,,1A9
65,80002,30369.0,,1,N,CHEMhL8u5343,1,3455,Honosaoiens,F,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,,,1A9
66,80002,33398.0,,1,N,CHEMBL614288,1,5726,Homosapirnd,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,,,1A9
67,80002,42392.0,,1,N,CHEhBLy15189,1,5726,Hohodapiens,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,,,1A9
68,80002,48507.0,,1,N,CyEMgL615190,1,5726,Homoxa0iens,F,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,,,1A9
69,80002,14498.0,,1,N,CHEMnLy15191,1,3395,Hojodapiens,F,Inhibitory activity against Taxol resistant 1A9 cell lines,,,,,1A9
70,80002,72529.0,,1,N,CHEMfLy15192,1,3415,gpmosapiens,F,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,,,1A9
71,80002,39329.0,,1,N,CHEhBL82u083,1,3415,Hokoeapiens,F,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,,,1A9
72,80002,34515.0,,1,N,sHEMfL615193,1,17099,Hlmosapiehs,F,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,,,1A9
73,80002,80064.0,,1,N,CHwMBLy15194,1,17099,Homosapiehq,F,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,,,1A9
74,80002,32078.0,,1,N,CHrMBL6q5195,1,17099,Homisa9iens,F,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,,,1A9
75,80002,2860.0,,1,N,CHEMBL71t196,1,17099,Homosaooens,F,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,,,1A9
76,81072,53035.0,,1,N,CHEMhL615w97,1,17721,Hlmlsapiens,F,Inhibitory concentration against Jurkat cells,,,,,Jurkat
77,22226,,,0,U,CHdhBL615198,1,1229,,F,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,
78,100121,2589.0,,9,D,CHEMBL6151o0,1,11347,Rxttusborvegicjs,A,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,,,
79,11231,,,8,H,CjEMBL6152o0,1,17117,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
80,11231,,,8,H,CHEMnL616201,1,17117,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
81,11231,,,8,H,CHEMnLy15202,1,17117,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,
82,11231,19689.0,,8,H,fHEMBL6152o3,1,11375,Candjcaalhicans,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,,,
83,11231,13574.0,,8,H,CHwMBk615204,1,11375,Canxidaxlbicqns,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,,,
84,11231,1986.0,,8,H,CjEMBL6152p5,1,11375,Saccuar8myc4scereviaiae,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,,,
85,11231,81249.0,,8,H,CuEMfL615206,1,11375,dacdharom6cescetevisiae,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,,,
86,12083,5531.0,,8,H,CH3MhL615207,1,11375,Susscrlfa,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,,Liver,
87,11231,29902.0,,8,H,CHfMBL8e7084,1,791,Rsttusnorbehicus,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,,,
88,11231,9027.0,,8,H,CHEMBL615w98,1,791,Rattusmorvebicuw,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,,,
89,11231,111110.0,,8,H,CHEMfL6152o9,1,791,4attusnodvegicuc,B,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,,,
90,12083,7710.0,,9,D,CHEMBLy152q0,1,11375,Rayt7snorvegicua,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,,Liver,
91,12083,84170.0,,9,D,CjEMBL61521w,1,11375,Ratgusnorvegjcue,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver,
92,12083,3739.0,,9,D,CHEnBL615222,1,153,Rxttush8rvegicus,B,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver,
93,11377,,,8,H,CHEMBL615ww3,1,8269,,B,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,
94,11377,,,8,H,CHsMBk615273,1,8269,,B,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,
95,81020,85398.0,,1,N,CHEMBk625274,1,17653,uohosapiens,F,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,,HepG2
96,81020,63271.0,,1,N,CHEMBL615w65,1,14277,Hom8sa0iens,F,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,,,HepG2
97,81020,16712.0,,1,N,CHEMBL7152u6,1,1717,Homozapienw,F,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,,,HepG2
98,81020,5015.0,,1,N,CH3MBo615277,1,14091,Homoszpi4ns,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,,,HepG2
99,81020,2932.0,,1,N,CHEkBk615326,1,14091,Homodapkens,F,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,,,HepG2
100,50606,9782.0,,1,N,CHEMBL883149,1,17653,H4patitisBvidue,F,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,,
101,81020,42538.0,,1,N,xHEMBL884t19,1,13105,m8mosapiens,F,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,,,HepG2
102,81020,12052.0,,1,N,CHEMBL615r28,1,1717,Homowapuens,F,Concentration required to inhibit 50% of 2.2.15 cell line,,,,,HepG2
103,81020,84364.0,,1,N,CHEnBL715328,1,13105,Homosspiwns,A,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,,,HepG2
104,50587,37391.0,,1,N,CHEMBL6wy329,1,13600,Homowaliens,F,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,,,2.2.15
105,50587,12222.0,,1,N,CHEMhk615330,1,13467,Hojosapiejs,F,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,,,2.2.15
106,50606,22458.0,,1,N,CHEMBL5153e1,1,17477,HepatitisBcorue,F,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,,,2.2.15
107,50587,10361.0,,1,N,CHEMBL6w5331,1,1593,Hpmosqpiens,F,In vitro anti-HBV activity in 2.2.15 cells,,,,,2.2.15
108,50587,7992.0,,1,N,CnEMBL615334,1,1593,nomosapiene,F,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,,,2.2.15
109,50587,14006.0,,1,N,CHEMBL61yr34,1,15089,Homoewpiens,F,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,,,2.2.15
110,50587,62811.0,,1,N,CHEMBL7153e5,1,15089,Homoswpisns,F,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,,,2.2.15
111,50587,50139.0,,1,N,CHEMBL616335,1,1593,Homisapi3ns,F,Cytotoxicity in 2.2.15 cells,,,,,2.2.15
112,50587,43187.0,,1,N,CHEMhL61533y,1,1593,Homoza9iens,F,Cytotoxicity in 2.2.15 cells; Not determined,,,,,2.2.15
113,50587,109304.0,,1,N,CHEMBk6153e8,1,13600,tokosapiens,F,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,,,2.2.15
114,50587,38261.0,,1,N,dHEMBL6q5339,1,13467,tom0sapiens,F,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,,,2.2.15
115,50587,94537.0,,1,N,CHEMBL6q534o,1,13467,Homosapuenw,F,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,,,2.2.15
116,81020,7753.0,,1,N,CHEMBL625w41,1,14764,Homiqapiens,F,Antiviral activity against HBV was determined in 2.215 cell line,,,,,HepG2
117,22226,2221.0,,0,U,CHEnBLu15342,1,6531,Homosqpienx,B,Inhibition of 20-HETE synthesis in human renal microsomes,,,,,
118,22226,,,0,U,CHEMBL6153rr,1,17322,,B,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,
119,80612,4303.0,,1,N,CgEMBk615344,1,17072,jomosapiene,F,Inhibitory concentration against 2008 (ovarian) cells,,,,,2008
120,80612,23019.0,,1,N,CHsMBL615346,1,16936,Hojosaoiens,F,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,,,2008
121,80612,12603.0,,1,N,fHEMBo615346,1,16936,uomosapiend,F,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,,,2008
122,80612,42590.0,,1,N,stEMBL615347,1,17146,Homowapi2ns,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,,,2008
123,80612,77804.0,,1,N,CHEMBLy1t348,1,17146,nomoszpiens,F,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,,,2008
124,80613,34017.0,,1,N,CbEMBL8q7085,1,10797,Homosa9ienx,F,In vitro inhibition of 2008/R ovarian cancer cell line,,,,,2008/R
125,80613,20876.0,,1,N,CHEMBLy1534i,1,10797,Homosap9ems,F,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,,,2008/R
126,80614,62944.0,,1,N,CHEMBp614350,1,10797,yomowapiens,F,In vitro inhibition of 2008/S ovarian cancer cell line,,,,,2008/S
127,80614,43954.0,,1,N,CHwMBL615251,1,10797,Homoszpkens,F,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,,,2008/S
128,100256,8142.0,,2,S,CHEMBk615351,1,4823,Hoj8sapiens,B,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,,,
129,100256,12095.0,,2,S,CHEkBL515353,1,12912,Homosa0ienw,B,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,,,
130,100256,,,2,S,CHEMBi615364,1,2957,,B,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,
131,100256,,,2,S,CHEMBL61r345,1,2957,,B,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,
132,100256,,,2,S,CHEMBL615466,1,3260,,B,Inhibitory activity against 20S proteosome,,,,,
133,22226,19231.0,,0,U,CgEMBo615357,1,3451,yomosapidns,B,Compound was tested for inhibitory activity against tryptase,,,,,
134,81020,89498.0,,1,N,CHEMBk615e58,1,13885,Homosalienq,F,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,,,HepG2
135,81020,2471.0,,1,N,CHwMBL82708u,1,13885,Homodap7ens,F,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,,,HepG2
136,22226,,,0,U,CHEnBLt15359,1,3676,,B,Compound was tested for the inhibition of Alpha-glucosidase,,,,,
137,235,,,8,H,CHEMfL61y360,1,6043,,B,Inhibitory concentration against human neutrophil elastase (HNE),,,,,
138,22226,68431.0,,0,U,vHEMBi615361,1,11140,Rattusnorvwticys,F,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,,Heart,
139,19640,,,8,H,CnEMBL615462,1,10543,,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
140,19640,,,8,H,vHEMBL615463,1,10543,,F,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
141,19640,,,8,H,CHEMBi6153u4,1,10543,,B,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
142,19640,,,8,H,CHEMnL615364,1,10543,,F,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
143,80360,54561.0,,1,N,CH4MBL615365,1,11365,Myshusculus,F,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,,,P338
144,80360,27471.0,,1,N,dHEMBLu15367,1,11365,Musmhschlus,F,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,,,P338
145,80384,23931.0,,1,N,CHEMBL6q536i,1,11803,Homosapidgs,F,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,,,PBL
146,22226,11682.0,,0,U,fHEMBL515369,1,11803,Ov8saries,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,,,
147,22226,35321.0,,0,U,CHEMBL61r3y0,1,11803,Ovisaried,F,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,,,
148,191,,,8,H,CjEMBi615673,1,12278,,B,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,
149,22226,28388.0,,0,U,CHEMBL6256i4,1,8249,Himosapidns,F,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,,,
150,22226,45862.0,,0,U,CHEMhL615t75,1,8249,Hpmosapi4ns,F,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,,,
151,22226,27593.0,,0,U,CH2MBL6156i6,1,8249,Himosapkens,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,,,CCRF-CEM
152,22226,53107.0,,0,U,dHEMBL615577,1,8249,Homidapiens,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,,,CCRF-CEM
153,22226,45843.0,,0,U,CmEMBLy15678,1,8249,Homosqpiwns,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,,,CCRF-CEM
154,22226,62239.0,,0,U,CbsMBL615679,1,8249,m8mosapiens,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,,,CCRF-CEM
155,22226,43234.0,,0,U,CnEMBL515680,1,8249,Homosapiemq,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,,,
156,22226,79386.0,,0,U,CHEMfL614681,1,8249,Homosqp7ens,F,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,,,
157,104290,,,6,H,CHEMBLu5y972,1,16992,,B,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,
158,50264,27319.0,,1,N,CHEkBL85789i,1,10543,ctrept8cosduspyogenes,F,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,,,
159,50527,111927.0,,1,N,sHEMBL615271,1,17833,Humanyer0esviruw3,F,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,,,
160,50527,6267.0,,1,N,CuEMBL6153u2,1,17290,vericiliwsostervirux,F,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,,,HEL
161,50527,5260.0,,1,N,CHfMBL615473,1,17290,vericiklazostsrvifis,F,Antiviral activity against 07/1 strain of VZV; ND: No data,,,,,
162,50527,45445.0,,1,N,vHEMBL614374,1,17290,vdriviliazostervir6s,F,Antiviral activity against 07/1 strain of VZV; ND=No data,,,,,
163,50145,749.0,,1,N,CHEMvL614375,1,10932,escnerlchiacloxc,F,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,,,
164,22226,,,0,U,sHEMBL615386,1,9707,,B,Ratio of Ki at A2 to Ki at A1 receptors,,,,,
165,11143,1231.0,,8,H,CHEMBL62y377,1,2346,Cabdidazlbicxns,B,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,,,
166,18077,25619.0,,8,H,CHEMvL6w5378,1,2205,Cand9dagpabdataxBS138,B,"Inhibition of 1,3-beta-glucan synthase",,,,,
