città_id,città,stato_id
371,Nuuk,40
176,Gandhinagar,44
188,Guadalajara,60
77,Bhusawal,44
575,Witten,38
90,Bratislava,84
293,Laohekou,23
193,Haining,23
261,Kanchrapara,44
17,Alessandria,49
376,Okayama,50
257,Kamarhati,44
52,Bamenda,19
576,Woodridge,8
110,Chapra,44
539,Tonghae,86
30,Araçatuba,15
444,Salala,71
342,Monywa,64
554,Uluberia,44
422,Qinhuangdao,23
82,Bislig,75
346,Munger (Monghyr),44
3,Abu Dhabi,101
80,Binzhou,23
56,Basel,91
111,Charlotte Amalie,106
290,La Romana,27
286,Kursk,80
395,Palghat (Palakkad),44
54,Banjul,37
317,Luziânia,15
281,Kütahya,97
231,Jaipur,44
106,Celaya,60
325,Mannheim,38
461,Santo André,15
36,Ashqelon,48
160,Erlangen,38
216,Idfu,29
426,Rajkot,44
581,Xinxiang,23
163,Eskisehir,97
396,Pangkal Pinang,45
306,Lincoln,103
278,Korolev,80
348,Mwene-Ditu,25
198,Halle/Saale,38
81,Birgunj,66
149,Dundee,102
430,Richmond Hill,20
68,Beni-Mellal,62
283,Kumbakonam,44
21,Alvorada,15
173,Funafuti,99
55,Barcelona,104
498,Stara Zagora,17
10,Akishima,50
175,Fuzhou,23
508,Sunnyvale,103
543,Toulon,34
70,Bergamo,49
218,Ikerre,69
282,Kuching,59
465,Sawhaj,29
356,Najafabad,46
592,Zalantun,23
223,Ipoh,59
161,Escobar,6
407,Pingxiang,23
359,Nam Dinh,105
375,Okara,72
546,Tsaotun,92
552,Ueda,50
154,El Fuerte,60
563,Valle de Santiago,60
312,London,102
138,Davao,75
410,Poá,15
591,Yuzhou,23
379,Omdurman,89
545,Tórshavn,32
527,Tanza,75
124,Coacalco de Berriozábal,60
373,Ocumare del Tuy,104
42,Aurora,103
162,Esfahan,46
7,Aden,107
416,Pudukkottai,44
542,Touliu,92
18,Allappuzha (Alleppey),44
65,Bellevue,103
294,Lapu-Lapu,75
555,Urawa,50
229,Izumisano,50
148,Duisburg,38
194,Haiphong,105
345,Mukatševe,100
192,Hagonoy,75
432,Rizhao,23
330,Matamoros,60
