città_id,città,stato_id
569,Vila Velha,15
447,Salzburg,9
575,Witten,38
65,Bellevue,103
162,Esfahan,46
36,Ashqelon,48
327,Mardan,72
60,Battambang,18
152,Effon-Alaiye,69
101,Cape Coral,103
416,Pudukkottai,44
178,Garland,103
125,Coatzacoalcos,60
542,Touliu,92
600,Ziguinchor,83
425,Rae Bareli,44
96,Buenaventura,24
332,Meixian,23
72,Bern,91
577,Wroclaw,76
453,San Lorenzo,73
