pagamento_id,cliente_id,personale_id,noleggio_id,ammontare,data_pagamento
15492,578,2,5876,4.99,2005-07-10 19:07:15
3183,118,2,13193,6.99,2005-08-19 14:33:45
2438,89,1,12756,2.99,2005-08-18 22:52:13
12702,470,2,6703,4.99,2005-07-12 12:50:19
11043,408,1,7053,4.99,2005-07-27 03:38:54
6020,222,2,10043,1.99,2005-07-31 19:02:07
14277,530,1,12649,4.99,2005-08-18 18:31:47
8572,316,1,7945,1.99,2005-07-28 12:53:58
15843,591,1,13867,9.99,2005-08-20 15:05:42
5368,198,2,6889,4.99,2005-07-12 21:01:22
6869,254,2,14497,4.99,2005-08-21 14:09:47
10159,375,2,4335,4.99,2005-07-07 18:33:57
11245,416,2,1596,2.99,2005-06-16 05:30:58
1486,54,2,545,3.99,2005-05-28 07:10:20
292,11,1,8950,9.99,2005-07-30 03:17:13
12484,462,1,8066,2.99,2005-07-28 17:20:09
4170,153,2,10015,4.99,2005-07-31 18:11:17
6076,225,2,7347,4.99,2005-07-27 14:31:24
2433,89,2,10164,4.99,2005-07-31 23:17:57
15135,565,1,5124,4.99,2005-07-09 07:25:19
4752,175,2,10229,7.99,2005-08-01 01:45:26
7318,270,2,10579,5.99,2005-08-01 13:48:22
4051,148,2,14713,0.99,2005-08-21 21:27:24
7796,288,1,4692,2.99,2005-07-08 11:07:06
6139,228,2,3433,3.99,2005-06-21 19:07:19
4857,178,1,14104,4.99,2005-08-21 00:37:44
6978,258,2,13897,2.99,2005-08-20 16:02:28
11015,407,1,8109,4.99,2005-07-28 19:07:44
15213,568,2,3462,1.99,2005-06-21 21:52:52
8525,314,2,9318,6.99,2005-07-30 17:14:30
8677,321,1,3410,0.99,2005-06-21 16:20:47
1203,44,1,29,0.99,2005-05-25 03:47:12
1972,73,1,1669,0.99,2005-06-16 10:20:20
10648,393,2,4275,2.99,2005-07-07 14:43:51
15782,589,2,10544,4.99,2005-08-01 12:36:21
8865,328,1,12175,4.99,2005-08-18 01:10:17
2527,92,2,13020,5.99,2005-08-19 08:07:50
14222,528,1,10084,3.99,2005-07-31 20:11:29
13219,490,2,6230,2.99,2005-07-11 14:02:19
14362,533,1,10614,6.99,2005-08-01 14:57:00
265,10,1,5444,0.99,2005-07-09 21:58:57
15784,589,1,12738,7.99,2005-08-18 22:11:47
6819,253,1,3658,7.99,2005-07-06 08:01:08
7762,287,1,655,2.99,2005-05-28 20:16:20
4873,179,1,7028,6.99,2005-07-27 02:54:25
7429,274,1,14066,7.99,2005-08-20 22:45:58
1699,62,2,10080,0.99,2005-07-31 20:07:10
15188,566,1,14297,2.99,2005-08-21 07:13:46
7073,262,2,2850,8.99,2005-06-19 23:06:28
10625,392,1,7692,2.99,2005-07-28 03:30:21
3461,128,2,12910,0.99,2005-08-19 04:23:13
7736,286,1,2195,4.99,2005-06-18 01:44:46
1451,52,2,14961,6.99,2005-08-22 06:35:50
1226,44,2,12982,4.99,2005-08-19 07:06:34
8195,302,2,5821,4.99,2005-07-10 16:07:16
3663,135,2,14136,5.99,2005-08-21 01:57:26
11089,410,2,2971,0.99,2005-06-20 07:56:00
15395,575,1,395,0.99,2005-05-27 11:45:49
14399,535,2,959,4.99,2005-05-30 18:07:00
12729,471,1,4020,2.99,2005-07-07 01:42:22
13828,513,1,12559,5.99,2005-08-18 14:53:58
9878,365,1,12804,8.99,2005-08-19 00:33:15
7165,265,2,6921,6.99,2005-07-12 22:39:03
11114,410,2,13948,6.99,2005-08-20 17:50:48
15813,590,2,11578,5.99,2005-08-17 01:54:13
10241,378,1,9868,2.99,2005-07-31 13:20:08
8278,305,2,5582,4.99,2005-07-10 04:08:25
6021,222,2,12179,2.99,2005-08-18 01:21:21
14114,524,1,14366,2.99,2005-08-21 09:31:39
12388,459,1,5695,0.99,2005-07-10 09:43:40
6106,226,2,15472,2.99,2005-08-23 01:39:05
12516,463,1,10275,3.99,2005-08-01 03:20:08
4626,170,2,13862,6.99,2005-08-20 14:57:01
14923,557,1,9341,2.99,2005-07-30 18:07:58
13906,516,2,11939,1.99,2005-08-17 16:55:57
12538,464,2,13943,2.99,2005-08-20 17:31:18
1815,66,1,12699,0.99,2005-08-18 20:20:59
11500,425,2,13040,0.99,2005-08-19 09:04:24
9340,346,1,3421,2.99,2005-06-21 17:22:58
15972,596,2,10804,0.99,2005-08-01 22:22:11
12659,469,2,4067,3.99,2005-07-07 04:34:23
5060,186,1,11982,0.99,2005-08-17 18:13:07
9023,334,2,5818,5.99,2005-07-10 15:51:12
7648,282,1,13278,2.99,2005-08-19 17:57:53
2695,100,1,4209,2.99,2005-07-07 11:35:08
13794,512,2,10670,3.99,2005-08-01 17:07:16
9245,342,2,6787,7.99,2005-07-12 16:33:28
13631,506,1,1042,2.99,2005-05-31 05:53:00
7996,295,2,5994,4.99,2005-07-11 01:14:10
9054,335,1,6906,0.99,2005-07-12 22:03:02
1229,45,2,277,2.99,2005-05-26 17:32:11
13694,508,1,7283,5.99,2005-07-27 12:02:41
7772,287,2,6379,3.99,2005-07-11 21:51:25
6472,239,2,13999,3.99,2005-08-20 19:53:32
2725,101,2,10218,0.99,2005-08-01 01:09:44
7245,268,1,1394,2.99,2005-06-15 16:17:21
3885,144,1,3145,2.99,2005-06-20 20:21:17
11915,442,2,466,0.99,2005-05-27 20:57:07
9145,338,1,10897,0.99,2005-08-02 01:23:42
4932,181,2,10362,6.99,2005-08-01 05:55:13
12567,466,1,6073,6.99,2005-07-11 04:54:31
15194,567,1,4949,4.99,2005-07-08 22:57:10
9507,351,1,15664,4.99,2005-08-23 08:57:11
1322,48,1,8716,6.99,2005-07-29 17:39:09
13087,485,1,1721,8.99,2005-06-16 15:01:36
2495,91,2,13222,4.99,2005-08-19 15:47:58
3179,118,2,8760,7.99,2005-07-29 19:22:40
524,20,1,6254,2.99,2005-07-11 15:10:18
13682,507,2,12275,4.99,2005-08-18 04:42:02
14970,559,2,5396,1.99,2005-07-09 19:42:52
14270,530,1,8736,0.99,2005-07-29 18:31:15
8240,303,1,14750,5.99,2005-08-21 23:09:32
15250,569,1,12157,2.99,2005-08-18 00:33:45
11255,416,2,8648,2.99,2005-07-29 14:56:21
3097,115,2,3544,0.99,2005-07-06 02:06:32
8440,311,2,4836,3.99,2005-07-08 18:09:08
2309,85,2,3418,3.99,2005-06-21 17:06:38
13148,487,2,8510,1.99,2005-07-29 09:41:38
4422,163,2,1265,4.99,2005-06-15 07:00:50
4324,159,2,475,2.99,2005-05-27 22:16:26
6072,225,1,6317,2.99,2005-07-11 18:47:41
9515,352,2,3331,4.99,2005-06-21 09:37:53
8788,325,2,7223,9.99,2005-07-27 09:42:27
6927,257,1,5858,4.99,2005-07-10 18:00:07
13199,489,2,11119,9.99,2005-08-02 08:44:44
14879,555,2,10076,7.99,2005-07-31 20:00:34
2618,96,1,13855,4.99,2005-08-20 14:48:55
8673,321,2,200,4.99,2005-05-26 07:12:21
6799,252,2,7168,0.99,2005-07-27 07:51:11
4735,174,2,12886,5.99,2005-08-19 03:38:32
57,2,2,14743,5.99,2005-08-21 22:41:56
583,22,2,4215,2.99,2005-07-07 12:00:52
3755,139,1,1736,2.99,2005-06-16 15:52:32
1901,70,1,11274,9.99,2005-08-02 14:24:08
12211,452,2,5480,0.99,2005-07-09 23:49:07
3038,113,1,4333,2.99,2005-07-07 18:31:50
6809,252,2,13756,4.99,2006-02-14 15:16:03
14781,551,1,728,2.99,2005-05-29 06:12:38
10271,380,1,847,3.99,2005-05-30 01:18:15
15114,564,2,10352,1.99,2005-08-01 05:44:36
6983,259,1,1641,7.99,2005-06-16 08:46:26
6105,226,2,14934,4.99,2005-08-22 05:47:15
6604,244,2,8454,0.99,2005-07-29 07:49:04
7788,287,1,15614,2.99,2005-08-23 07:05:15
14631,544,2,11766,2.99,2005-08-17 09:58:40
12766,472,2,8929,5.99,2005-07-30 02:28:22
5701,210,2,5957,0.99,2005-07-10 23:24:02
1986,73,2,11155,0.99,2005-08-02 09:55:28
3209,119,2,12576,2.99,2005-08-18 15:38:31
4450,163,1,15282,0.0,2006-02-14 15:16:03
13306,494,2,4551,7.99,2005-07-08 04:36:21
6518,241,1,7860,2.99,2005-07-28 09:58:02
9311,344,2,14624,0.99,2005-08-21 18:32:42
13587,504,2,7342,3.99,2005-07-27 14:25:17
8948,331,1,9401,5.99,2005-07-30 20:18:19
5689,210,2,1177,2.99,2005-06-15 00:33:04
13607,505,2,1799,5.99,2005-06-16 20:17:20
13947,518,1,6957,2.99,2005-07-27 00:00:00
15992,597,1,6508,2.99,2005-07-12 03:34:50
5059,186,1,10985,0.99,2005-08-02 04:30:19
684,25,1,15972,5.99,2005-08-23 20:00:30
10914,404,1,2715,4.99,2005-06-19 14:29:35
6300,234,2,3185,6.99,2005-06-20 22:58:01
10733,396,2,13355,4.99,2005-08-19 20:59:19
9182,339,1,14636,4.99,2005-08-21 18:59:17
864,31,2,3967,4.99,2005-07-06 22:45:10
728,27,2,4038,0.99,2005-07-07 02:52:53
8284,305,2,10426,4.99,2005-08-01 08:26:08
432,16,2,7489,0.99,2005-07-27 19:39:38
2216,81,1,15858,2.99,2005-08-23 16:07:15
4591,169,2,6488,9.99,2005-07-12 02:20:09
14506,538,1,15343,6.99,2005-08-22 21:01:25
13289,493,1,10777,6.99,2005-08-01 21:03:50
5209,192,1,10843,7.99,2005-08-01 23:43:03
10577,390,2,12803,2.99,2005-08-19 00:28:21
1796,66,2,3395,6.99,2005-06-21 15:19:19
9614,356,1,6593,4.99,2005-07-12 07:21:17
8020,296,2,956,2.99,2005-05-30 17:30:28
15330,572,2,11415,2.99,2005-08-02 19:43:38
15449,576,1,12245,4.99,2005-08-18 03:46:40
6644,245,2,9169,4.99,2005-07-30 11:35:00
5674,209,2,7752,5.99,2005-07-28 06:01:00
12641,468,2,14154,4.99,2005-08-21 02:30:00
10870,402,1,9657,6.99,2005-07-31 06:00:41
12603,467,1,12266,2.99,2005-08-18 04:22:31
5410,199,2,10517,4.99,2005-08-01 11:41:57
13872,515,2,5697,4.99,2005-07-10 09:44:44
242,9,2,7616,0.99,2005-07-28 00:15:26
4343,159,2,14575,8.99,2005-08-21 16:51:34
13773,511,1,9760,4.99,2005-07-31 09:29:33
3947,145,2,14044,5.99,2005-08-20 21:48:38
4521,167,2,2381,5.99,2005-06-18 15:00:30
15619,583,1,3779,2.99,2005-07-06 13:46:36
6888,255,2,14600,3.99,2005-08-21 17:45:21
2763,102,2,11099,4.99,2005-08-02 08:07:12
8062,297,2,7867,0.99,2005-07-28 10:08:54
2552,93,2,15631,2.99,2005-08-23 07:30:23
2880,107,2,3120,0.99,2005-06-20 18:19:29
14375,534,1,1673,2.99,2005-06-16 10:40:17
510,19,2,13804,8.99,2005-08-20 12:46:32
3131,116,2,4737,4.99,2005-07-08 13:23:53
10089,373,1,1472,6.99,2005-06-15 20:54:55
1960,72,2,12020,2.99,2005-08-17 19:50:33
3021,112,2,13611,8.99,2005-08-20 06:20:42
13775,511,2,10429,2.99,2005-08-01 08:34:18
7572,279,2,12935,2.99,2005-08-19 05:20:25
10025,371,2,1212,2.99,2005-06-15 03:03:33
14152,526,2,5121,3.99,2005-07-09 07:18:31
5686,209,1,15254,2.99,2005-08-22 18:13:07
6660,246,1,1968,2.99,2005-06-17 09:20:36
11615,430,1,13007,0.99,2005-08-19 07:47:43
8644,319,1,11575,0.99,2005-08-17 01:50:26
5803,214,1,1076,2.99,2005-05-31 10:14:31
13116,486,2,1129,0.99,2005-05-31 18:00:48
6682,247,2,4198,6.99,2005-07-07 11:08:11
11076,409,1,8037,4.99,2005-07-28 16:31:20
8808,326,2,3886,0.99,2005-07-06 18:44:24
10073,372,2,8837,8.99,2005-07-29 22:49:00
16025,598,1,10054,4.99,2005-07-31 19:15:52
1617,58,1,14665,6.99,2005-08-21 19:49:46
13150,487,1,8814,4.99,2005-07-29 21:49:43
6559,242,2,12724,7.99,2005-08-18 21:37:20
11876,440,1,9195,2.99,2005-07-30 12:29:43
1897,70,2,7421,7.99,2005-07-27 17:10:05
8589,317,2,4700,0.99,2005-07-08 11:37:21
3228,120,1,2803,9.99,2005-06-19 19:18:27
2879,107,1,3033,3.99,2005-06-20 12:02:05
14907,556,2,11804,3.99,2005-08-17 11:42:45
4674,172,1,9118,2.99,2005-07-30 09:24:18
235,9,2,3262,4.99,2005-06-21 04:08:43
15808,590,1,8195,5.99,2005-07-28 22:52:58
4020,148,1,4746,2.99,2005-07-08 13:47:55
11980,444,1,5753,2.99,2005-07-10 12:29:43
10627,392,1,8254,0.99,2005-07-29 00:59:31
5626,207,2,13809,8.99,2005-08-20 12:56:03
12715,470,1,11742,0.99,2005-08-17 08:48:43
11628,431,1,4144,3.99,2005-07-07 08:25:44
2685,99,2,12379,0.99,2005-08-18 08:26:48
11997,444,1,15557,0.99,2005-08-23 04:52:17
4327,159,1,832,3.99,2005-05-29 22:51:20
11278,417,1,6312,4.99,2005-07-11 18:19:02
10896,403,1,10443,2.99,2005-08-01 09:01:04
14088,523,2,8141,0.99,2005-07-28 20:21:19
6655,246,2,421,8.99,2005-05-27 15:30:13
15879,593,2,3542,2.99,2005-07-06 01:51:42
15245,569,2,10884,0.99,2005-08-02 00:47:33
12605,467,1,12641,2.99,2005-08-18 18:18:08
3983,147,2,3011,5.99,2005-06-20 10:39:10
14981,559,2,10876,0.99,2005-08-02 00:31:58
6119,227,1,4680,2.99,2005-07-08 10:35:28
2041,75,2,7897,2.99,2005-07-28 11:01:51
14990,559,1,15877,4.99,2005-08-23 16:33:33
12751,472,2,800,0.99,2005-05-29 17:28:12
5989,221,2,8486,0.99,2005-07-29 08:53:38
2451,90,1,7946,6.99,2005-07-28 13:01:22
5058,186,1,10104,1.99,2005-07-31 20:49:14
8477,312,2,14362,2.99,2005-08-21 09:19:49
4156,152,2,11848,4.99,2006-02-14 15:16:03
7618,281,2,6825,0.99,2005-07-12 18:28:12
14449,536,2,13505,4.99,2005-08-20 02:05:57
548,21,1,2268,4.99,2005-06-18 06:13:41
8571,316,1,7592,4.99,2005-07-27 23:26:04
212,8,1,4003,0.99,2005-07-07 00:09:02
14275,530,1,12220,4.99,2005-08-18 02:50:02
7243,267,2,12066,7.98,2006-02-14 15:16:03
6214,230,2,12523,7.99,2005-08-18 13:45:41
5028,185,2,4822,7.99,2005-07-08 17:28:47
5938,219,1,8652,6.99,2005-07-29 15:02:54
4555,168,1,5459,0.99,2005-07-09 22:43:56
11037,408,2,2728,2.99,2005-06-19 15:04:04
5456,201,2,7606,2.99,2005-07-28 00:02:15
11231,415,1,10553,2.99,2005-08-01 12:54:06
8913,330,2,3061,2.99,2005-06-20 13:48:21
9061,335,2,13267,0.99,2005-08-19 17:31:36
14209,528,2,793,5.99,2005-05-29 16:44:08
14826,552,2,15700,2.99,2005-08-23 10:21:21
1262,46,1,2203,2.99,2005-06-18 02:10:42
7885,291,1,8690,0.99,2005-07-29 16:39:28
12545,465,1,2159,8.99,2005-06-17 23:37:29
5946,219,1,15283,4.99,2005-08-22 19:16:04
2265,83,1,13875,4.99,2005-08-20 15:13:11
6209,230,2,10874,2.99,2005-08-02 00:31:00
4898,180,1,5860,3.99,2005-07-10 18:08:49
15710,587,1,361,0.99,2005-05-27 07:03:28
4691,173,2,1188,2.99,2005-06-15 01:04:07
4230,155,2,14549,2.99,2005-08-21 15:54:21
8450,311,2,13310,0.99,2005-08-19 19:05:16
5347,197,1,11478,2.99,2005-08-02 22:09:05
9749,361,2,5154,2.99,2005-07-09 08:46:18
10014,370,1,14602,3.99,2005-08-21 17:48:49
10630,392,1,10435,4.99,2005-08-01 08:50:51
365,14,1,4952,0.99,2005-07-08 23:00:07
272,10,2,11289,2.99,2005-08-02 14:55:00
14360,533,2,10090,3.99,2005-07-31 20:22:01
4331,159,2,4273,4.99,2005-07-07 14:40:22
10668,393,1,15132,2.99,2005-08-22 13:11:25
9537,353,2,4380,5.99,2005-07-07 20:35:00
7508,277,1,5913,2.99,2005-07-10 20:58:55
4447,163,1,15520,8.99,2005-08-23 03:30:45
11792,437,2,13838,7.99,2005-08-20 14:22:46
2426,89,2,7995,4.99,2005-07-28 15:00:09
14456,537,1,2586,8.99,2005-06-19 05:05:11
8476,312,1,12945,0.99,2005-08-19 05:51:46
11681,433,1,9294,3.99,2005-07-30 16:14:37
1935,71,1,14228,3.99,2005-08-21 04:57:08
7785,287,2,15076,1.99,2005-08-22 11:05:34
9031,334,1,10408,4.99,2005-08-01 07:42:10
10250,379,1,1383,8.99,2005-06-15 15:20:06
6275,233,1,4015,5.99,2005-07-07 00:59:46
6855,254,1,7413,4.99,2005-07-27 16:45:40
87,4,1,1633,0.99,2005-06-16 08:08:40
12203,452,2,3638,3.99,2005-07-06 07:08:17
9101,337,1,2014,5.99,2005-06-17 12:03:28
1095,39,2,13101,7.99,2005-08-19 11:01:54
4946,181,2,15482,4.99,2005-08-23 02:01:20
3524,130,1,12777,6.99,2005-08-18 23:39:22
2420,89,2,5144,7.99,2005-07-09 08:09:53
15190,567,1,3010,2.99,2005-06-20 10:29:59
12878,476,1,10346,4.99,2005-08-01 05:19:23
7986,295,1,2999,2.99,2005-06-20 09:30:34
13904,516,2,9243,4.99,2005-07-30 14:06:27
13596,504,1,12769,1.99,2005-08-18 23:26:40
947,34,1,12651,0.99,2005-08-18 18:36:16
2067,76,2,2397,1.99,2005-06-18 15:51:25
538,20,2,13317,2.99,2005-08-19 19:25:42
6270,233,2,1992,2.99,2005-06-17 10:58:53
4778,176,2,4121,3.99,2005-07-07 07:13:50
3628,134,1,11280,3.99,2005-08-02 14:34:33
980,35,1,13735,2.99,2005-08-20 10:31:01
4833,178,1,5057,4.99,2005-07-09 04:20:29
9545,353,1,12928,5.99,2005-08-19 05:04:09
4822,177,2,14883,0.99,2005-08-22 03:55:02
1658,60,1,9356,4.99,2005-07-30 18:36:24
13788,512,1,7219,2.99,2005-07-27 09:35:36
8654,320,2,1484,3.99,2005-06-15 21:22:35
14577,542,1,220,4.99,2005-05-26 10:06:49
3746,138,2,12550,2.99,2005-08-18 14:40:38
572,21,1,13699,9.99,2005-08-20 09:26:14
7230,267,2,9807,2.99,2005-07-31 11:13:52
1868,69,2,765,1.99,2005-05-29 11:38:34
4892,180,2,2700,2.99,2005-06-19 13:31:52
2283,84,2,6259,2.99,2005-07-11 15:25:52
3089,114,1,16047,0.99,2005-08-23 22:42:48
13889,516,1,571,1.99,2005-05-28 10:17:41
3352,124,2,15266,4.99,2005-08-22 18:37:24
14894,556,2,2593,5.99,2005-06-19 05:40:11
6929,257,2,6711,5.99,2005-07-12 13:23:40
7657,283,1,3534,4.99,2005-07-06 01:32:27
782,29,2,194,1.99,2005-05-26 06:52:33
9032,334,1,10492,2.99,2005-08-01 10:42:28
6651,245,1,13286,0.99,2005-08-19 18:28:07
6779,251,2,12047,3.99,2005-08-17 20:48:32
1741,64,1,4690,1.99,2005-07-08 11:04:02
12299,455,1,12314,4.99,2005-08-18 06:10:02
2200,81,1,3879,2.99,2005-07-06 18:31:20
13353,495,2,13818,4.99,2005-08-20 13:20:09
12059,447,2,1890,2.99,2005-06-17 04:06:13
5152,190,1,1347,2.99,2005-06-15 12:43:43
9911,366,1,14147,4.99,2005-08-21 02:14:03
10246,378,2,14502,4.99,2005-08-21 14:22:28
11667,433,1,691,10.99,2005-05-29 01:01:26
10346,382,1,2489,1.99,2005-06-18 22:00:44
8340,307,1,5871,3.99,2005-07-10 18:46:08
1495,54,1,6338,7.99,2005-07-11 19:39:41
4934,181,1,10748,4.99,2005-08-01 20:01:24
10768,397,1,15083,6.99,2005-08-22 11:17:37
3398,126,2,6755,6.99,2005-07-12 15:07:49
2637,97,2,14323,4.99,2005-08-21 08:08:43
15906,594,1,2276,6.99,2005-06-18 06:33:48
7810,288,2,14113,0.99,2005-08-21 01:03:30
4919,181,1,3862,6.99,2005-07-06 17:35:22
6825,253,2,8752,2.99,2005-07-29 19:15:07
1798,66,2,3757,2.99,2005-07-06 12:42:26
8230,303,1,8409,0.99,2005-07-29 06:41:22
8806,326,2,2317,4.99,2005-06-18 09:12:18
6272,233,1,2424,2.99,2005-06-18 17:35:08
7038,260,1,13966,2.99,2005-08-20 18:28:28
11256,416,2,9383,2.99,2005-07-30 19:24:50
14135,525,1,14954,2.99,2006-02-14 15:16:03
2881,107,2,3174,0.99,2005-06-20 22:24:00
6762,251,2,1155,2.99,2005-05-31 22:17:11
10742,397,2,3027,1.99,2005-06-20 11:50:30
907,33,1,165,2.99,2005-05-26 02:28:36
14985,559,2,13322,4.99,2005-08-19 19:43:08
6155,228,1,10585,4.99,2005-08-01 14:00:42
5819,214,2,11450,2.99,2005-08-02 20:45:54
15053,562,1,2746,3.99,2005-06-19 16:21:40
12535,464,1,9600,5.99,2005-07-31 03:35:34
8986,332,1,15210,3.99,2005-08-22 16:37:36
2056,75,1,12426,4.99,2005-08-18 10:24:11
10458,386,2,6715,4.99,2005-07-12 13:32:28
15145,565,1,11399,3.99,2005-08-02 18:56:28
5728,211,2,5699,3.99,2005-07-10 09:48:04
12033,446,2,3168,0.99,2005-06-20 21:46:01
3150,117,1,1755,2.99,2005-06-16 17:18:44
15273,570,2,5638,4.99,2005-07-10 06:32:49
1615,58,2,13973,4.99,2005-08-20 18:52:43
14177,526,1,14590,7.99,2005-08-21 17:29:10
7209,267,2,91,6.99,2005-05-25 14:57:22
14218,528,1,7569,7.99,2005-07-27 22:38:53
6778,251,1,11733,0.99,2005-08-17 08:31:03
12138,450,2,2278,0.99,2005-06-18 06:37:57
264,10,2,5068,2.99,2005-07-09 04:53:18
6580,243,2,9514,4.99,2005-07-31 00:29:44
4628,170,2,14675,2.99,2005-08-21 20:01:51
853,31,1,1838,1.99,2005-06-16 23:20:16
2323,85,1,13727,3.99,2005-08-20 10:08:53
12279,454,1,15301,3.99,2005-08-22 19:44:16
2886,107,2,6131,2.99,2005-07-11 08:22:05
6022,222,1,13477,2.99,2005-08-20 01:07:00
3986,147,2,4792,0.99,2005-07-08 16:29:38
7269,268,2,13880,5.99,2005-08-20 15:18:20
3024,112,1,14358,0.99,2005-08-21 09:14:28
4960,182,2,4784,0.99,2005-07-08 16:09:56
6148,228,1,5320,4.99,2005-07-09 16:23:32
389,15,1,3550,7.99,2005-07-06 02:29:21
15463,577,1,3785,7.99,2005-07-06 14:00:13
8478,312,1,14504,3.99,2005-08-21 14:23:01
11084,409,1,14697,4.99,2005-08-21 20:49:21
8466,312,1,6866,2.99,2005-07-12 20:03:44
9104,337,2,4093,4.99,2005-07-07 05:54:50
11151,412,1,717,0.99,2005-05-29 04:37:44
10340,381,2,15299,4.99,2005-08-22 19:42:57
5300,196,2,8266,0.99,2005-07-29 01:20:16
9881,366,2,911,6.99,2005-05-30 10:50:22
12326,456,2,14253,2.99,2005-08-21 05:47:52
9890,366,1,6366,4.99,2005-07-11 21:18:16
9373,347,2,3605,0.99,2005-07-06 05:27:15
4645,171,2,9066,4.99,2005-07-30 07:28:54
2918,108,1,6841,0.99,2005-07-12 19:04:24
10570,390,1,7595,5.99,2005-07-27 23:32:23
9128,338,1,1807,5.99,2005-06-16 20:58:59
15419,575,2,13465,2.99,2005-08-20 00:54:14
5863,216,1,3432,2.99,2005-06-21 19:02:03
10995,406,2,9224,0.99,2005-07-30 13:25:37
15911,594,2,3960,2.99,2005-07-06 22:08:53
11887,441,1,823,4.99,2005-05-29 21:39:37
4353,160,1,8184,4.99,2005-07-28 22:22:35
11697,434,1,3014,2.99,2005-06-20 10:45:20
8833,327,1,4445,4.99,2005-07-07 23:08:22
6531,241,2,15137,2.99,2005-08-22 13:20:28
10763,397,2,12700,0.99,2005-08-18 20:24:46
9923,367,2,5538,4.99,2005-07-10 02:39:40
10333,381,2,12237,4.99,2005-08-18 03:24:38
3684,137,2,3058,3.99,2005-06-20 13:28:35
10812,400,2,1923,6.99,2005-06-17 06:06:10
3111,115,2,10022,3.99,2005-07-31 18:25:30
13817,513,1,7655,0.99,2005-07-28 02:01:11
7386,273,2,9391,0.99,2005-07-30 19:48:41
2807,104,2,4438,6.99,2005-07-07 22:56:17
11537,427,1,1857,1.99,2005-06-17 01:12:58
6234,231,2,11113,2.99,2005-08-02 08:26:24
9572,354,2,8321,4.99,2005-07-29 03:50:54
3725,138,2,3481,2.99,2005-07-05 23:13:07
6344,236,2,262,2.99,2005-05-26 15:46:56
5189,191,1,7520,2.99,2005-07-27 21:02:02
12511,463,1,7013,0.99,2005-07-27 02:03:21
7637,282,2,5319,8.99,2005-07-09 16:17:44
2870,106,2,14431,2.99,2005-08-21 11:31:15
15961,596,1,974,6.99,2005-05-30 20:28:42
8759,324,2,4368,4.99,2005-07-07 19:55:19
8864,328,1,11174,2.99,2005-08-02 10:32:11
9304,344,2,8561,2.99,2005-07-29 11:29:12
9701,359,1,12611,1.99,2005-08-18 17:09:42
14554,541,1,1066,4.99,2005-05-31 09:07:33
11549,427,1,10417,4.99,2005-08-01 08:10:36
3522,130,1,11811,2.99,2005-08-17 11:59:18
10027,371,1,1573,6.99,2005-06-16 03:31:39
13429,498,1,10225,0.99,2005-08-01 01:38:40
3306,122,2,11197,2.99,2005-08-02 11:45:07
258,10,1,2814,0.99,2005-06-19 20:01:59
4986,183,2,7359,0.99,2005-07-27 14:51:04
15004,560,2,8861,5.99,2005-07-29 23:47:29
8371,308,1,11765,2.99,2005-08-17 09:55:28
1166,42,2,8785,2.99,2005-07-29 20:36:26
1829,67,2,4090,4.99,2005-07-07 05:47:33
5236,193,1,13529,2.99,2005-08-20 03:07:47
