assay_id,cell_id,assay_category,tissue_id,confidence_score,assay_tissue,assay_test_type,chembl_id,src_assay_id,curated_by,assay_type,variant_id,src_id,assay_subcellular_fraction,relationship_type,description,assay_strain,assay_cell_type,tid,bao_format
17,,,,9,,,CHEMBL884521,,Expert,A,,1,,D,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,100122,BAO_0000357
18,,,,8,,,CHEMBL615132,,Autocuration,B,,1,,H,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,12054,BAO_0000357
19,,,,8,,,CHEMBL615133,,Autocuration,B,,1,,H,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,12054,BAO_0000019
20,,,,8,,,CHEMBL615134,,Autocuration,B,,1,,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,12054,BAO_0000357
21,,,,8,,,CHEMBL615135,,Autocuration,B,,1,,H,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,12054,BAO_0000357
22,,,,8,,,CHEMBL615136,,Autocuration,B,,1,,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,12054,BAO_0000357
23,,,,8,,,CHEMBL615137,,Autocuration,B,,1,,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,12054,BAO_0000357
24,,,,8,,,CHEMBL615138,,Autocuration,B,,1,,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,12054,BAO_0000357
25,,,,0,,,CHEMBL836324,,Autocuration,B,,1,,U,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,22226,BAO_0000219
26,,,,8,,,CHEMBL615139,,Autocuration,B,,1,,H,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,12054,BAO_0000357
27,,,,8,,,CHEMBL615140,,Autocuration,B,,1,,H,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,12054,BAO_0000357
28,,,,8,,,CHEMBL615141,,Autocuration,B,,1,,H,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,12426,BAO_0000219
29,,,,8,,,CHEMBL615142,,Autocuration,B,,1,,H,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,12054,BAO_0000357
30,,,,8,,,CHEMBL615143,,Autocuration,B,,1,,H,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,12054,BAO_0000357
31,,,,8,,,CHEMBL615144,,Autocuration,B,,1,,H,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,12054,BAO_0000357
32,,,,8,,,CHEMBL872867,,Autocuration,B,,1,,H,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,12054,BAO_0000357
33,,,,8,,,CHEMBL615145,,Autocuration,B,,1,,H,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,12054,BAO_0000357
34,,,,8,,,CHEMBL615146,,Autocuration,B,,1,,H,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,12054,BAO_0000357
35,,,,8,,,CHEMBL615147,,Autocuration,B,,1,,H,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,12054,BAO_0000357
36,,,,0,,,CHEMBL615148,,Autocuration,A,,1,,U,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,22226,BAO_0000019
37,,,,0,,,CHEMBL615149,,Autocuration,B,,1,,U,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,22226,BAO_0000019
38,,,,0,,,CHEMBL615150,,Autocuration,B,,1,,U,Dissociation constant with dimeric 16S rRNA RNA construct B,,,22226,BAO_0000019
39,,,,3,,,CHEMBL615151,,Intermediate,B,,1,,M,Dissociation constant towards 16S rRNA construct A,,,22222,BAO_0000225
40,,,,3,,,CHEMBL615152,,Intermediate,B,,1,,M,Dissociation constant towards 16S rRNA construct B,,,22222,BAO_0000225
41,,,,3,,,CHEMBL615153,,Expert,B,,1,,M,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,100263,BAO_0000225
42,,,,3,,,CHEMBL615154,,Expert,B,,1,,M,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,100263,BAO_0000225
43,,,,8,,,CHEMBL615155,,Autocuration,B,,1,,H,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,BAO_0000019
44,,,,8,,,CHEMBL615156,,Autocuration,B,,1,,H,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,BAO_0000019
45,,,,8,,,CHEMBL615157,,Autocuration,B,,1,,H,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,20001,BAO_0000019
46,,,,8,,,CHEMBL615158,,Autocuration,B,,1,,H,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,20001,BAO_0000019
47,,,,9,,,CHEMBL615159,,Expert,B,,1,,D,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,12971,BAO_0000019
48,,,,9,,,CHEMBL615172,,Expert,B,,1,,D,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,12971,BAO_0000019
49,,,,9,,,CHEMBL615173,,Expert,B,,1,,D,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,12971,BAO_0000019
50,,,,9,,,CHEMBL615174,,Expert,B,,1,,D,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,12971,BAO_0000019
51,,,,8,,,CHEMBL884518,,Autocuration,B,,1,,H,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,BAO_0000019
52,,,,8,,,CHEMBL615175,,Autocuration,B,,1,,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,11512,BAO_0000357
53,,,,8,,,CHEMBL615176,,Autocuration,B,,1,,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,11512,BAO_0000357
54,,,,8,,,CHEMBL615177,,Autocuration,B,,1,,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,11512,BAO_0000357
55,,,,5,,,CHEMBL615178,,Autocuration,B,,1,Membranes,D,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,104740,BAO_0000249
56,506.0,,,1,,,CHEMBL615179,,Intermediate,F,,1,,N,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,1A9,80002,BAO_0000219
57,,,,7,,,CHEMBL615180,,Autocuration,F,,1,,D,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Oocytes,104835,BAO_0000219
58,,,,7,,,CHEMBL615181,,Autocuration,F,,1,,D,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Oocytes,104821,BAO_0000219
59,,,,7,,,CHEMBL615182,,Autocuration,F,,1,,D,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Oocytes,104848,BAO_0000219
60,506.0,,,1,,,CHEMBL615183,,Expert,F,,1,,N,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,1A9,80002,BAO_0000219
61,506.0,,,1,,,CHEMBL615184,,Intermediate,F,,1,,N,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,1A9,80002,BAO_0000219
62,506.0,,,1,,,CHEMBL615185,,Intermediate,F,,1,,N,Cytotoxic activity against human ovarian cancer (1A9) cell line,,1A9,80002,BAO_0000219
63,506.0,,,1,,,CHEMBL615186,,Intermediate,F,,1,,N,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,1A9,80002,BAO_0000219
64,506.0,,,1,,,CHEMBL615187,,Intermediate,F,,1,,N,Effective dose of compound against replication of 1A9 cell line was evaluated,,1A9,80002,BAO_0000219
65,506.0,,,1,,,CHEMBL885343,,Expert,F,,1,,N,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,1A9,80002,BAO_0000219
66,506.0,,,1,,,CHEMBL615188,,Intermediate,F,,1,,N,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,1A9,80002,BAO_0000219
67,506.0,,,1,,,CHEMBL615189,,Intermediate,F,,1,,N,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,1A9,80002,BAO_0000219
68,506.0,,,1,,,CHEMBL615190,,Intermediate,F,,1,,N,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,1A9,80002,BAO_0000219
69,506.0,,,1,,,CHEMBL615191,,Intermediate,F,,1,,N,Inhibitory activity against Taxol resistant 1A9 cell lines,,1A9,80002,BAO_0000219
70,506.0,,,1,,,CHEMBL615192,,Expert,F,,1,,N,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,1A9,80002,BAO_0000219
71,506.0,,,1,,,CHEMBL827083,,Expert,F,,1,,N,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,1A9,80002,BAO_0000219
72,506.0,,,1,,,CHEMBL615193,,Expert,F,,1,,N,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,1A9,80002,BAO_0000219
73,506.0,,,1,,,CHEMBL615194,,Intermediate,F,,1,,N,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,1A9,80002,BAO_0000219
74,506.0,,,1,,,CHEMBL615195,,Intermediate,F,,1,,N,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,1A9,80002,BAO_0000219
75,506.0,,,1,,,CHEMBL615196,,Intermediate,F,,1,,N,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,1A9,80002,BAO_0000219
76,503.0,,,1,,,CHEMBL615197,,Intermediate,F,,1,,N,Inhibitory concentration against Jurkat cells,,Jurkat,81072,BAO_0000219
77,,,,0,,,CHEMBL615198,,Intermediate,F,,1,,U,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,22226,BAO_0000019
78,,,,9,,,CHEMBL615199,,Expert,A,,1,,D,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,100121,BAO_0000357
79,,,,8,,,CHEMBL615200,,Expert,B,,1,,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,11231,BAO_0000357
80,,,,8,,,CHEMBL615201,,Expert,B,,1,,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,11231,BAO_0000357
81,,,,8,,,CHEMBL615202,,Expert,B,,1,,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,11231,BAO_0000357
82,,,,8,,,CHEMBL615203,,Autocuration,B,,1,Microsomes,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,11231,BAO_0000251
83,,,,8,,,CHEMBL615204,,Autocuration,B,,1,Microsomes,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,11231,BAO_0000251
84,,,,8,,,CHEMBL615205,,Autocuration,B,,1,Microsomes,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,11231,BAO_0000251
85,,,,8,,,CHEMBL615206,,Autocuration,B,,1,Microsomes,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,11231,BAO_0000251
86,,,2107.0,8,Liver,,CHEMBL615207,,Autocuration,B,,1,Microsomes,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,12083,BAO_0000251
87,,,,8,,,CHEMBL827084,,Autocuration,B,,1,,H,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,11231,BAO_0000019
88,,,,8,,,CHEMBL615208,,Autocuration,B,,1,,H,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,11231,BAO_0000019
89,,,,8,,,CHEMBL615209,,Autocuration,B,,1,,H,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,11231,BAO_0000019
90,,,2107.0,9,Liver,,CHEMBL615210,,Autocuration,B,,1,Microsomes,D,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,12083,BAO_0000251
91,,,2107.0,9,Liver,,CHEMBL615211,,Autocuration,B,,1,Microsomes,D,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,12083,BAO_0000251
92,,,2107.0,9,Liver,,CHEMBL615212,,Autocuration,B,,1,Microsomes,D,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,12083,BAO_0000251
93,,,,8,,,CHEMBL615213,,Expert,B,,1,,H,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,11377,BAO_0000357
94,,,,8,,,CHEMBL615273,,Expert,B,,1,,H,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,11377,BAO_0000357
95,726.0,,,1,,,CHEMBL615274,,Expert,F,,1,,N,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,HepG2,81020,BAO_0000219
96,726.0,,,1,,,CHEMBL615275,,Intermediate,F,,1,,N,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,HepG2,81020,BAO_0000219
97,726.0,,,1,,,CHEMBL615276,,Intermediate,F,,1,,N,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,HepG2,81020,BAO_0000219
98,726.0,,,1,,,CHEMBL615277,,Intermediate,F,,1,,N,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,HepG2,81020,BAO_0000219
99,726.0,,,1,,,CHEMBL615326,,Intermediate,F,,1,,N,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,HepG2,81020,BAO_0000219
100,,,,1,,,CHEMBL883130,,Expert,F,,1,,N,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,50606,BAO_0000218
101,726.0,,,1,,,CHEMBL884519,,Intermediate,F,,1,,N,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,HepG2,81020,BAO_0000219
102,726.0,,,1,,,CHEMBL615327,,Intermediate,F,,1,,N,Concentration required to inhibit 50% of 2.2.15 cell line,,HepG2,81020,BAO_0000219
103,726.0,,,1,,,CHEMBL615328,,Intermediate,A,,1,,N,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,HepG2,81020,BAO_0000219
104,,,,1,,,CHEMBL615329,,Intermediate,F,,1,,N,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,2.2.15,50587,BAO_0000218
105,,,,1,,,CHEMBL615330,,Intermediate,F,,1,,N,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,2.2.15,50587,BAO_0000218
106,,,,1,,,CHEMBL615331,,Expert,F,,1,,N,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,2.2.15,50606,BAO_0000218
107,,,,1,,,CHEMBL615332,,Intermediate,F,,1,,N,In vitro anti-HBV activity in 2.2.15 cells,,2.2.15,50587,BAO_0000218
108,,,,1,,,CHEMBL615333,,Intermediate,F,,1,,N,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,2.2.15,50587,BAO_0000218
109,,,,1,,,CHEMBL615334,,Intermediate,F,,1,,N,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,2.2.15,50587,BAO_0000218
110,,,,1,,,CHEMBL615335,,Intermediate,F,,1,,N,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,2.2.15,50587,BAO_0000218
111,,,,1,,,CHEMBL615336,,Intermediate,F,,1,,N,Cytotoxicity in 2.2.15 cells,,2.2.15,50587,BAO_0000218
112,,,,1,,,CHEMBL615337,,Intermediate,F,,1,,N,Cytotoxicity in 2.2.15 cells; Not determined,,2.2.15,50587,BAO_0000218
113,,,,1,,,CHEMBL615338,,Intermediate,F,,1,,N,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,2.2.15,50587,BAO_0000218
114,,,,1,,,CHEMBL615339,,Intermediate,F,,1,,N,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,2.2.15,50587,BAO_0000218
115,,,,1,,,CHEMBL615340,,Intermediate,F,,1,,N,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,2.2.15,50587,BAO_0000218
116,726.0,,,1,,,CHEMBL615341,,Intermediate,F,,1,,N,Antiviral activity against HBV was determined in 2.215 cell line,,HepG2,81020,BAO_0000219
117,,,,0,,,CHEMBL615342,,Autocuration,B,,1,Microsomes,U,Inhibition of 20-HETE synthesis in human renal microsomes,,,22226,BAO_0000251
118,,,,0,,,CHEMBL615343,,Autocuration,B,,1,,U,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,22226,BAO_0000019
119,388.0,,,1,,,CHEMBL615344,,Intermediate,F,,1,,N,Inhibitory concentration against 2008 (ovarian) cells,,2008,80612,BAO_0000219
120,388.0,,,1,,,CHEMBL615345,,Intermediate,F,,1,,N,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,2008,80612,BAO_0000219
121,388.0,,,1,,,CHEMBL615346,,Intermediate,F,,1,,N,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,2008,80612,BAO_0000219
122,388.0,,,1,,,CHEMBL615347,,Intermediate,F,,1,,N,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,2008,80612,BAO_0000219
123,388.0,,,1,,,CHEMBL615348,,Intermediate,F,,1,,N,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,2008,80612,BAO_0000219
124,561.0,,,1,,,CHEMBL827085,,Intermediate,F,,1,,N,In vitro inhibition of 2008/R ovarian cancer cell line,,2008/R,80613,BAO_0000219
125,561.0,,,1,,,CHEMBL615349,,Intermediate,F,,1,,N,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,2008/R,80613,BAO_0000219
126,389.0,,,1,,,CHEMBL615350,,Intermediate,F,,1,,N,In vitro inhibition of 2008/S ovarian cancer cell line,,2008/S,80614,BAO_0000219
127,389.0,,,1,,,CHEMBL615351,,Intermediate,F,,1,,N,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,2008/S,80614,BAO_0000219
128,,,,2,,,CHEMBL615352,,Expert,B,,1,,S,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,100256,BAO_0000220
129,,,,2,,,CHEMBL615353,,Intermediate,B,,1,,S,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,100256,BAO_0000220
130,,,,2,,,CHEMBL615354,,Expert,B,,1,,S,Inhibition of chymotrypsin-like activity of 20S proteasome,,,100256,BAO_0000220
131,,,,2,,,CHEMBL615355,,Expert,B,,1,,S,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,100256,BAO_0000220
132,,,,2,,,CHEMBL615356,,Intermediate,B,,1,,S,Inhibitory activity against 20S proteosome,,,100256,BAO_0000220
133,,,,0,,,CHEMBL615357,,Autocuration,B,,1,,U,Compound was tested for inhibitory activity against tryptase,,,22226,BAO_0000019
134,726.0,,,1,,,CHEMBL615358,,Intermediate,F,,1,,N,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,HepG2,81020,BAO_0000219
135,726.0,,,1,,,CHEMBL827086,,Intermediate,F,,1,,N,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,HepG2,81020,BAO_0000219
136,,,,0,,,CHEMBL615359,,Autocuration,B,,1,,U,Compound was tested for the inhibition of Alpha-glucosidase,,,22226,BAO_0000019
137,,,,8,,,CHEMBL615360,,Autocuration,B,,1,,H,Inhibitory concentration against human neutrophil elastase (HNE),,,235,BAO_0000357
138,,,948.0,0,Heart,,CHEMBL615361,,Autocuration,F,,1,,U,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,22226,BAO_0000218
139,,,,8,,,CHEMBL615362,,Autocuration,F,,1,,H,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,BAO_0000019
140,,,,8,,,CHEMBL615363,,Expert,F,,1,,H,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,BAO_0000019
141,,,,8,,,CHEMBL615364,,Autocuration,B,,1,,H,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,BAO_0000357
142,,,,8,,,CHEMBL615365,,Expert,F,,1,,H,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,BAO_0000019
143,524.0,,,1,,,CHEMBL615366,,Intermediate,F,,1,,N,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,P338,80360,BAO_0000219
144,524.0,,,1,,,CHEMBL615367,,Intermediate,F,,1,,N,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,P338,80360,BAO_0000219
145,554.0,,,1,,,CHEMBL615368,,Intermediate,F,,1,,N,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,PBL,80384,BAO_0000219
146,,,,0,,,CHEMBL615369,,Autocuration,F,,1,,U,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,22226,BAO_0000019
147,,,,0,,,CHEMBL615370,,Autocuration,F,,1,,U,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,22226,BAO_0000019
148,,,,8,,,CHEMBL615673,,Autocuration,B,,1,,H,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,191,BAO_0000357
149,,,,0,,,CHEMBL615674,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,22226,BAO_0000019
150,,,,0,,,CHEMBL615675,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,22226,BAO_0000019
151,635.0,,,0,,,CHEMBL615676,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,CCRF-CEM,22226,BAO_0000219
152,635.0,,,0,,,CHEMBL615677,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,CCRF-CEM,22226,BAO_0000219
153,635.0,,,0,,,CHEMBL615678,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,CCRF-CEM,22226,BAO_0000219
154,635.0,,,0,,,CHEMBL615679,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,CCRF-CEM,22226,BAO_0000219
155,,,,0,,,CHEMBL615680,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,22226,BAO_0000019
156,,,,0,,,CHEMBL615681,,Autocuration,F,,1,,U,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,22226,BAO_0000019
157,,,,6,,,CHEMBL857972,,Autocuration,B,,1,,H,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,104290,BAO_0000249
