assays_assay_id,assays_curated_by,assays_assay_test_type,assays_assay_strain,assays_assay_type,assays_relationship_type,assays_tid,assays_confidence_score,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id,assays_variant_id
7578,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618517,,BAO_0000218,,
7579,Intermediate,,,A,N,50597,1,1,,CHEMBL618518,,BAO_0000218,,
7580,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618519,,BAO_0000218,,
7581,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618698,,BAO_0000218,,
7582,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618862,,BAO_0000218,,
7583,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618863,,BAO_0000218,,
7584,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618864,,BAO_0000218,,
7585,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618865,,BAO_0000218,,
7586,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618866,,BAO_0000218,,
7587,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618867,,BAO_0000218,,
7588,Intermediate,,,A,N,50597,1,1,,CHEMBL875828,,BAO_0000218,,
7589,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618868,,BAO_0000218,,
7590,Intermediate,,,A,N,50597,1,1,,CHEMBL618869,,BAO_0000218,,
7591,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618870,,BAO_0000218,,
7592,Intermediate,,,A,N,50597,1,1,,CHEMBL618871,,BAO_0000218,1969.0,
7593,Intermediate,,,A,N,50597,1,1,,CHEMBL618872,,BAO_0000218,1969.0,
7594,Intermediate,,,A,N,50597,1,1,,CHEMBL873816,,BAO_0000218,,
7595,Autocuration,,,A,U,22224,0,1,,CHEMBL618873,,BAO_0000218,,
7596,Autocuration,,,A,U,22224,0,1,,CHEMBL621602,,BAO_0000019,,
7597,Autocuration,,,A,U,22224,0,1,,CHEMBL621603,,BAO_0000218,,
7598,Autocuration,,,A,U,22224,0,1,,CHEMBL621604,,BAO_0000218,,
7599,Autocuration,,,A,U,22224,0,1,,CHEMBL621605,,BAO_0000218,,
7600,Autocuration,,,A,U,22224,0,1,,CHEMBL621606,,BAO_0000218,,
7601,Autocuration,,,A,U,22224,0,1,,CHEMBL621607,,BAO_0000218,,
7602,Autocuration,,,A,U,22224,0,1,,CHEMBL621608,,BAO_0000218,,
7603,Autocuration,,,A,U,22224,0,1,,CHEMBL621609,,BAO_0000019,,
7604,Autocuration,,,A,U,22224,0,1,,CHEMBL621610,,BAO_0000218,,
7605,Intermediate,,,A,N,50597,1,1,,CHEMBL621611,,BAO_0000218,,
7606,Intermediate,,,A,N,50597,1,1,,CHEMBL621612,,BAO_0000218,,
7607,Intermediate,,,A,N,50597,1,1,,CHEMBL622308,,BAO_0000218,,
7608,Intermediate,,,A,N,50597,1,1,,CHEMBL622309,,BAO_0000218,,
7609,Intermediate,,,A,N,50597,1,1,,CHEMBL622310,,BAO_0000218,,
7610,Intermediate,,,A,N,50597,1,1,,CHEMBL622311,,BAO_0000218,,
7611,Intermediate,,,A,N,50597,1,1,,CHEMBL622312,,BAO_0000218,,
7612,Intermediate,,,A,N,50597,1,1,,CHEMBL622931,,BAO_0000218,,
7613,Intermediate,,,A,N,50597,1,1,,CHEMBL622932,,BAO_0000218,,
7614,Intermediate,,,A,N,50597,1,1,,CHEMBL622736,,BAO_0000218,1969.0,
7615,Intermediate,,,A,N,50597,1,1,,CHEMBL622737,,BAO_0000218,1969.0,
7616,Intermediate,,,A,N,50597,1,1,,CHEMBL622738,,BAO_0000218,1969.0,
7617,Intermediate,,,A,N,50597,1,1,,CHEMBL622739,,BAO_0000218,1969.0,
7618,Intermediate,,,A,N,50597,1,1,,CHEMBL622740,,BAO_0000218,1969.0,
7619,Intermediate,,,A,N,50597,1,1,,CHEMBL622741,,BAO_0000218,1969.0,
7620,Intermediate,,,A,N,50597,1,1,,CHEMBL622742,,BAO_0000218,1969.0,
7621,Intermediate,,,A,N,50597,1,1,,CHEMBL622743,,BAO_0000218,1969.0,
7622,Intermediate,,,A,N,50594,1,1,,CHEMBL622744,,BAO_0000218,1969.0,
7623,Autocuration,,,A,U,22224,0,1,,CHEMBL624134,,BAO_0000019,,
7624,Autocuration,,,A,U,22224,0,1,,CHEMBL624135,,BAO_0000019,,
7625,Intermediate,,,A,N,50597,1,1,,CHEMBL624136,,BAO_0000218,,
7626,Intermediate,,,A,N,50597,1,1,,CHEMBL624137,,BAO_0000218,,
7627,Intermediate,,,A,N,50597,1,1,,CHEMBL624320,,BAO_0000218,,
7628,Intermediate,,,A,N,50588,1,1,,CHEMBL624321,,BAO_0000218,,
7629,Intermediate,,,A,N,50597,1,1,,CHEMBL624322,,BAO_0000218,,
7630,Intermediate,,,A,N,50597,1,1,,CHEMBL624323,,BAO_0000218,,
7631,Intermediate,,,A,N,50597,1,1,,CHEMBL624324,,BAO_0000218,,
7632,Intermediate,,,A,N,50597,1,1,,CHEMBL624325,,BAO_0000218,,
7633,Intermediate,,,A,N,50597,1,1,,CHEMBL624326,,BAO_0000218,,
7634,Intermediate,,,A,N,50597,1,1,,CHEMBL624327,,BAO_0000218,,
7635,Intermediate,,,A,N,50597,1,1,,CHEMBL624328,,BAO_0000218,,
7636,Intermediate,,,A,N,50588,1,1,,CHEMBL627848,,BAO_0000218,,
7637,Intermediate,,,A,N,50597,1,1,,CHEMBL627849,,BAO_0000218,,
7638,Intermediate,,,A,N,50597,1,1,,CHEMBL627850,,BAO_0000218,,
7639,Intermediate,,,A,N,50597,1,1,,CHEMBL627851,,BAO_0000218,,
7640,Intermediate,,,A,N,50594,1,1,,CHEMBL627852,,BAO_0000218,,
7641,Intermediate,,,A,N,50594,1,1,,CHEMBL627853,,BAO_0000218,,
7642,Intermediate,,,A,N,50594,1,1,,CHEMBL627854,,BAO_0000218,,
7643,Intermediate,,,A,N,50594,1,1,,CHEMBL627855,,BAO_0000218,,
7644,Intermediate,,,A,N,50594,1,1,,CHEMBL627856,,BAO_0000218,,
7645,Intermediate,,,A,N,50594,1,1,,CHEMBL875339,,BAO_0000218,,
7646,Intermediate,,,A,N,50594,1,1,,CHEMBL627857,,BAO_0000218,,
7647,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627858,,BAO_0000218,2106.0,
7648,Intermediate,,,A,N,50597,1,1,,CHEMBL627859,,BAO_0000218,178.0,
7649,Intermediate,,,A,N,50597,1,1,,CHEMBL627860,,BAO_0000218,955.0,
7650,Intermediate,,,A,N,50597,1,1,,CHEMBL627019,,BAO_0000218,948.0,
7651,Intermediate,,,A,N,50597,1,1,,CHEMBL627020,,BAO_0000218,2107.0,
7652,Intermediate,,,A,N,50597,1,1,,CHEMBL627021,,BAO_0000218,2048.0,
7653,Intermediate,,,A,N,50597,1,1,,CHEMBL627022,,BAO_0000218,2385.0,
7654,Intermediate,,,A,N,50597,1,1,,CHEMBL627023,,BAO_0000218,,
7655,Intermediate,,,A,N,50597,1,1,,CHEMBL627024,,BAO_0000218,2106.0,
7656,Intermediate,,,A,N,50597,1,1,,CHEMBL627025,,BAO_0000218,2046.0,
7657,Intermediate,,,A,N,50597,1,1,,CHEMBL627026,,BAO_0000218,2113.0,
7658,Intermediate,,,A,N,50597,1,1,,CHEMBL627027,,BAO_0000218,178.0,
7659,Intermediate,,,A,N,50597,1,1,,CHEMBL627028,,BAO_0000218,955.0,
7660,Intermediate,,,A,N,50597,1,1,,CHEMBL627029,,BAO_0000218,948.0,
7661,Intermediate,,,A,N,50597,1,1,,CHEMBL627030,,BAO_0000218,2113.0,
7662,Intermediate,,,A,N,50597,1,1,,CHEMBL627031,,BAO_0000218,2107.0,
7663,Intermediate,,,A,N,50597,1,1,,CHEMBL627032,,BAO_0000218,2048.0,
7664,Intermediate,,,A,N,50597,1,1,,CHEMBL627033,,BAO_0000218,2385.0,
7665,Intermediate,,,A,N,50597,1,1,,CHEMBL627034,,BAO_0000218,,
7666,Intermediate,,,A,N,50597,1,1,,CHEMBL627035,,BAO_0000218,2106.0,
7667,Intermediate,,,A,N,50597,1,1,,CHEMBL627036,,BAO_0000218,2046.0,
7668,Intermediate,,,A,N,50597,1,1,,CHEMBL875340,,BAO_0000218,178.0,
7669,Intermediate,,,A,N,50597,1,1,,CHEMBL627037,,BAO_0000218,948.0,
7670,Intermediate,,,A,N,50597,1,1,,CHEMBL627038,,BAO_0000218,2113.0,
7671,Intermediate,,,A,N,50597,1,1,,CHEMBL627039,,BAO_0000218,2107.0,
7672,Intermediate,,,A,N,50597,1,1,,CHEMBL627040,,BAO_0000218,2385.0,
7673,Intermediate,,,A,N,50597,1,1,,CHEMBL624663,,BAO_0000218,2106.0,
7674,Intermediate,,,A,N,50597,1,1,,CHEMBL625963,,BAO_0000218,2046.0,
7675,Intermediate,,,A,N,50597,1,1,,CHEMBL876799,,BAO_0000218,955.0,
7676,Intermediate,,,A,N,50597,1,1,,CHEMBL626133,,BAO_0000218,2048.0,
7677,Intermediate,,,A,N,50597,1,1,,CHEMBL626134,,BAO_0000218,,
7678,Intermediate,,,A,N,50597,1,1,,CHEMBL626135,,BAO_0000218,,
7679,Intermediate,,,A,N,50597,1,1,,CHEMBL626136,,BAO_0000218,,
7680,Intermediate,,,A,N,50597,1,1,,CHEMBL626137,,BAO_0000218,,
7681,Intermediate,,,A,N,50597,1,1,,CHEMBL626138,,BAO_0000218,,
7682,Intermediate,,,A,N,50597,1,1,,CHEMBL626139,,BAO_0000218,,
7683,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL626140,,BAO_0000218,,
7684,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL626141,,BAO_0000218,,
7685,Intermediate,,,A,N,50597,1,1,,CHEMBL626142,,BAO_0000218,,
7686,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627930,,BAO_0000218,2385.0,
7687,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627931,,BAO_0000218,2385.0,
7688,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627932,,BAO_0000218,2385.0,
7689,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627933,,BAO_0000218,2106.0,
7690,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627934,,BAO_0000218,2106.0,
7691,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627935,,BAO_0000218,2106.0,
7692,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627936,,BAO_0000218,178.0,
7693,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627937,,BAO_0000218,178.0,
7694,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627938,,BAO_0000218,178.0,
7695,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627939,,BAO_0000218,178.0,
7696,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627940,,BAO_0000218,178.0,
7697,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627941,,BAO_0000218,178.0,
7698,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876800,,BAO_0000218,178.0,
7699,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627942,,BAO_0000218,178.0,
7700,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627943,,BAO_0000218,178.0,
7701,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627944,,BAO_0000218,178.0,
7702,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627945,,BAO_0000218,178.0,
7703,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628584,,BAO_0000218,178.0,
7704,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628585,,BAO_0000218,178.0,
7705,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628586,,BAO_0000218,178.0,
7706,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628587,,BAO_0000218,178.0,
7707,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628588,,BAO_0000218,178.0,
7708,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL628589,,BAO_0000218,178.0,
7709,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL625304,,BAO_0000218,178.0,
7710,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL625305,,BAO_0000218,178.0,
7711,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL625306,,BAO_0000218,178.0,
7712,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL625307,,BAO_0000218,178.0,
7713,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL625308,,BAO_0000218,178.0,
7714,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627740,,BAO_0000218,178.0,
7715,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627741,,BAO_0000218,178.0,
7716,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627742,,BAO_0000218,178.0,
7717,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627743,,BAO_0000218,178.0,
7718,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627744,,BAO_0000218,178.0,
7719,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627745,,BAO_0000218,10000001.0,
7720,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627746,,BAO_0000218,10000001.0,
7721,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627747,,BAO_0000218,10000001.0,
7722,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876810,,BAO_0000218,10000001.0,
7723,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627748,,BAO_0000218,10000001.0,
7724,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627749,,BAO_0000218,10000001.0,
7725,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL627750,,BAO_0000218,10000001.0,
7726,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618728,,BAO_0000218,10000001.0,
7727,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618729,,BAO_0000218,10000001.0,
7728,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618730,,BAO_0000218,10000001.0,
7729,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618731,,BAO_0000218,10000001.0,
7730,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618732,,BAO_0000218,10000001.0,
7731,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618733,,BAO_0000218,10000001.0,
7732,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618734,,BAO_0000218,10000001.0,
7733,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618735,,BAO_0000218,10000001.0,
7734,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876602,,BAO_0000218,10000001.0,
7735,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618736,,BAO_0000218,10000001.0,
7736,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618737,,BAO_0000218,10000001.0,
7737,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618738,,BAO_0000218,10000001.0,
7738,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618739,,BAO_0000218,10000001.0,
7739,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618740,,BAO_0000218,10000001.0,
7740,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618741,,BAO_0000218,10000001.0,
7741,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618742,,BAO_0000218,10000001.0,
7742,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618743,,BAO_0000218,10000001.0,
7743,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618744,,BAO_0000218,1969.0,
7744,Intermediate,,,A,N,50597,1,1,,CHEMBL618745,,BAO_0000218,,
7745,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620479,,BAO_0000218,,
7746,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620480,,BAO_0000218,,
7747,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620481,,BAO_0000218,,
7748,Intermediate,,,A,N,50597,1,1,,CHEMBL620482,,BAO_0000218,,
7749,Intermediate,,,A,N,50597,1,1,,CHEMBL876603,,BAO_0000218,,
7750,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620483,,BAO_0000218,,
7751,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620484,,BAO_0000218,,
7752,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620485,,BAO_0000218,,
7753,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620486,,BAO_0000218,,
7754,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620487,,BAO_0000218,,
7755,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620488,,BAO_0000218,,
7756,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620489,,BAO_0000218,,
7757,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620490,,BAO_0000218,,
7758,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620491,,BAO_0000218,,
7759,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876604,,BAO_0000218,1969.0,
7760,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620492,,BAO_0000218,,
7761,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620493,,BAO_0000218,,
7762,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620494,,BAO_0000218,,
7763,Intermediate,,,A,N,50597,1,1,,CHEMBL620495,,BAO_0000218,1969.0,
7764,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620496,,BAO_0000218,1969.0,
7765,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620497,,BAO_0000218,1969.0,
7766,Intermediate,,,A,N,50597,1,1,,CHEMBL620498,,BAO_0000218,1969.0,
7767,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620499,,BAO_0000218,1969.0,
7768,Intermediate,,,A,N,50597,1,1,,CHEMBL620500,,BAO_0000218,1969.0,
7769,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL873809,,BAO_0000218,1969.0,
7770,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620501,,BAO_0000218,,
7771,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620502,,BAO_0000218,,
7772,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620503,,BAO_0000218,,
7773,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620504,,BAO_0000218,,
7774,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876605,,BAO_0000218,,
7775,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620505,,BAO_0000218,,
7776,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL873811,,BAO_0000218,1969.0,
7777,Expert,In vivo,,A,N,50597,1,1,,CHEMBL624016,,BAO_0000218,,
7778,Intermediate,,,A,N,50597,1,1,,CHEMBL624017,,BAO_0000218,,
7779,Intermediate,,,A,N,50597,1,1,,CHEMBL624018,,BAO_0000218,,
7780,Intermediate,,,A,N,50597,1,1,,CHEMBL624019,,BAO_0000218,,
7781,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL624020,,BAO_0000218,955.0,
7782,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL624201,,BAO_0000218,,
7783,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL872528,,BAO_0000218,,
7784,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL624202,,BAO_0000218,,
7785,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL624203,,BAO_0000218,,
7786,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL624350,,BAO_0000218,,
7787,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621320,,BAO_0000218,,
7788,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621321,,BAO_0000218,,
7789,Intermediate,,,A,N,50597,1,1,,CHEMBL621322,,BAO_0000218,,
7790,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621323,,BAO_0000218,,
7791,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621324,,BAO_0000218,,
7792,Intermediate,,,A,N,50597,1,1,,CHEMBL621325,,BAO_0000218,,
7793,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL875837,,BAO_0000218,1969.0,
7794,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621326,,BAO_0000218,1969.0,
7795,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621327,,BAO_0000218,,
7796,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621328,,BAO_0000218,,
7797,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621329,,BAO_0000218,,
7798,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621330,,BAO_0000218,,
7799,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621331,,BAO_0000218,,
7800,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621332,,BAO_0000218,,
7801,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621333,,BAO_0000218,,
7802,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621334,,BAO_0000218,,
7803,Intermediate,,,A,N,50594,1,1,,CHEMBL621335,,BAO_0000218,,
7804,Intermediate,,,A,N,50588,1,1,,CHEMBL621336,,BAO_0000218,,
7805,Intermediate,,,A,N,50597,1,1,,CHEMBL621337,,BAO_0000218,,
7806,Intermediate,,,A,N,50588,1,1,,CHEMBL621338,,BAO_0000218,,
7807,Intermediate,,,A,N,50588,1,1,,CHEMBL875838,,BAO_0000218,,
7808,Intermediate,,,A,N,50588,1,1,,CHEMBL621339,,BAO_0000218,,
7809,Intermediate,,,A,N,50588,1,1,,CHEMBL621340,,BAO_0000218,,
7810,Autocuration,,,A,U,22224,0,1,,CHEMBL621341,,BAO_0000218,,
7811,Autocuration,,,A,U,22224,0,1,,CHEMBL621342,,BAO_0000019,,
7812,Autocuration,,,A,U,22224,0,1,,CHEMBL621343,,BAO_0000019,,
7813,Intermediate,,,A,N,50594,1,1,,CHEMBL621344,,BAO_0000218,,
7814,Intermediate,,,A,N,50594,1,1,,CHEMBL621345,,BAO_0000218,,
7815,Autocuration,,,A,U,22224,0,1,,CHEMBL621346,,BAO_0000019,,
7816,Autocuration,,,A,U,22224,0,1,,CHEMBL621347,,BAO_0000218,,
7817,Intermediate,,,A,N,50588,1,1,,CHEMBL621348,,BAO_0000218,,
